"Status","Year","Ethnicity","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Asian","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Declared non-disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Declared non-disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Declared non-disabled","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Declared non-disabled","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Declared non-disabled","Operational Delivery","210","190","27150","23850"
"Leaver CS","2021","Asian","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Declared non-disabled","Other","30","30","[c]","[c]"
"Leaver CS","2021","Asian","Declared non-disabled","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Declared non-disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Declared non-disabled","Policy","30","30","[c]","[c]"
"Leaver CS","2021","Asian","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Declared non-disabled","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Declared non-disabled","Science and Engineering","50","50","29590","26070"
"Leaver CS","2021","Asian","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Declared non-disabled","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Declared non-disabled","Unknown","440","380","26530","25110"
"Leaver CS","2021","Asian","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Undeclared","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Unknown","60","50","[c]","[c]"
"Leaver CS","2021","Black","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared disabled","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared non-disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared non-disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared non-disabled","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared non-disabled","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared non-disabled","Operational Delivery","150","140","26340","23940"
"Leaver CS","2021","Black","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared non-disabled","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared non-disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared non-disabled","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared non-disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared non-disabled","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Declared non-disabled","Unknown","200","180","28120","25110"
"Leaver CS","2021","Black","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Undeclared","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared disabled","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared non-disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared non-disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared non-disabled","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared non-disabled","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared non-disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared non-disabled","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared non-disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared non-disabled","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared non-disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared non-disabled","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared disabled","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared non-disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared non-disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared non-disabled","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared non-disabled","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared non-disabled","Operational Delivery","100","100","28330","23270"
"Leaver CS","2021","Mixed","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared non-disabled","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared non-disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared non-disabled","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared non-disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared non-disabled","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Declared non-disabled","Unknown","110","90","27030","25110"
"Leaver CS","2021","Mixed","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Declared disabled","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Declared disabled","Security","[c]","[c]","[c]","[c]"
