"Status","Year","Sex","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Male","SEO/HEO","Counter Fraud","640","620","35950","34780"
"In post","2022","Male","SEO/HEO","Digital, Data and Technology","6450","6360","38240","37710"
"In post","2022","Male","SEO/HEO","Economics","570","570","35430","34320"
"In post","2022","Male","SEO/HEO","Finance","2630","2590","37930","37100"
"In post","2022","Male","SEO/HEO","Geography","170","160","35550","33290"
"In post","2022","Male","SEO/HEO","Human Resources","1300","1270","37110","36740"
"In post","2022","Male","SEO/HEO","Inspector of Education and Training","40","40","[c]","[c]"
"In post","2022","Male","SEO/HEO","Intelligence Analysis","770","760","37600","37000"
"In post","2022","Male","SEO/HEO","Internal Audit","210","200","40810","40580"
"In post","2022","Male","SEO/HEO","International Trade","400","400","36690","38160"
"In post","2022","Male","SEO/HEO","Knowledge and Information Management","500","500","36910","36610"
"In post","2022","Male","SEO/HEO","Legal","1700","1650","39010","37930"
"In post","2022","Male","SEO/HEO","Medicine","200","190","40550","39630"
"In post","2022","Male","SEO/HEO","Operational Delivery","17650","17090","37970","36500"
"In post","2022","Male","SEO/HEO","Operational Research","310","300","37250","38070"
"In post","2022","Male","SEO/HEO","Other","3290","3220","36440","35430"
"In post","2022","Male","SEO/HEO","Planning","60","60","38760","39100"
"In post","2022","Male","SEO/HEO","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Male","SEO/HEO","Policy","6400","6330","37330","36740"
"In post","2022","Male","SEO/HEO","Project Delivery","3920","3840","37810","38600"
"In post","2022","Male","SEO/HEO","Property","2070","2010","38280","37100"
"In post","2022","Male","SEO/HEO","Psychology","90","80","36910","34340"
"In post","2022","Male","SEO/HEO","Science and Engineering","4540","4440","37580","38070"
"In post","2022","Male","SEO/HEO","Security","1190","1170","40380","38160"
"In post","2022","Male","SEO/HEO","Social Research","240","240","36200","37380"
"In post","2022","Male","SEO/HEO","Statistics","690","680","37520","37830"
"In post","2022","Male","SEO/HEO","Tax","4440","4310","36140","33370"
"In post","2022","Male","SEO/HEO","Unknown","5680","5620","37290","36130"
"In post","2022","Male","SEO/HEO","Veterinarian","100","100","40470","37910"
"In post","2022","Male","Unknown","Commercial","100","100","42150","39860"
"In post","2022","Male","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Finance","50","40","[c]","[c]"
"In post","2022","Male","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Operational Delivery","4840","4570","31200","28200"
"In post","2022","Male","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Other","1700","1700","38030","34460"
"In post","2022","Male","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Project Delivery","320","320","47090","44430"
"In post","2022","Male","Unknown","Property","40","40","[c]","[c]"
"In post","2022","Male","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Science and Engineering","720","710","41020","39860"
"In post","2022","Male","Unknown","Security","140","140","31800","28280"
"In post","2022","Male","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","EO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","EO","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","G6/G7","Other","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","G6/G7","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","AA/AO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","AA/AO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","AA/AO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","AA/AO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","AA/AO","Human Resources","40","40","[c]","[c]"
"Leaver CS","2021","Female","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","AA/AO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","AA/AO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","AA/AO","Medicine","40","40","[c]","[c]"
"Leaver CS","2021","Female","AA/AO","Operational Delivery","2580","2240","20520","20470"
"Leaver CS","2021","Female","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","AA/AO","Other","280","250","20900","20920"
"Leaver CS","2021","Female","AA/AO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","AA/AO","Policy","50","40","[c]","[c]"
"Leaver CS","2021","Female","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","AA/AO","Property","40","40","[c]","[c]"
"Leaver CS","2021","Female","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","AA/AO","Science and Engineering","110","100","20830","20230"
"Leaver CS","2021","Female","AA/AO","Security","40","40","[c]","[c]"
"Leaver CS","2021","Female","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","AA/AO","Unknown","3280","2530","21220","21010"
"Leaver CS","2021","Female","EO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","EO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","EO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","EO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","EO","Human Resources","40","30","[c]","[c]"
"Leaver CS","2021","Female","EO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","EO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","EO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","EO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","EO","Medicine","40","30","[c]","[c]"
"Leaver CS","2021","Female","EO","Operational Delivery","590","520","26460","26410"
"Leaver CS","2021","Female","EO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","EO","Other","120","110","25680","26670"
"Leaver CS","2021","Female","EO","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","EO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","EO","Policy","80","70","24650","26550"
"Leaver CS","2021","Female","EO","Project Delivery","50","40","[c]","[c]"
"Leaver CS","2021","Female","EO","Property","50","40","25830","26000"
"Leaver CS","2021","Female","EO","Psychology","40","40","[c]","[c]"
"Leaver CS","2021","Female","EO","Science and Engineering","40","40","[c]","[c]"
"Leaver CS","2021","Female","EO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","EO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","EO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","EO","Unknown","2140","1700","27890","27570"
"Leaver CS","2021","Female","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","G6/G7","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","G6/G7","Digital, Data and Technology","30","30","[c]","[c]"
"Leaver CS","2021","Female","G6/G7","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","G6/G7","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","G6/G7","Human Resources","40","40","[c]","[c]"
"Leaver CS","2021","Female","G6/G7","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","G6/G7","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","G6/G7","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","G6/G7","Legal","130","110","58930","55610"
"Leaver CS","2021","Female","G6/G7","Medicine","30","20","[c]","[c]"
"Leaver CS","2021","Female","G6/G7","Operational Delivery","120","120","58120","56290"
"Leaver CS","2021","Female","G6/G7","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","G6/G7","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","G6/G7","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","G6/G7","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","G6/G7","Policy","120","110","58350","55660"
"Leaver CS","2021","Female","G6/G7","Project Delivery","40","30","[c]","[c]"
"Leaver CS","2021","Female","G6/G7","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","G6/G7","Science and Engineering","40","30","[c]","[c]"
"Leaver CS","2021","Female","G6/G7","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","G6/G7","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","G6/G7","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","G6/G7","Unknown","390","320","60890","59650"
"Leaver CS","2021","Female","G6/G7","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SCS","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SCS","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SCS","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SCS","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SCS","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SCS","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SCS","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SCS","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SCS","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SCS","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SCS","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SCS","Policy","40","30","[c]","[c]"
"Leaver CS","2021","Female","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SCS","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SCS","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SCS","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SCS","Unknown","60","50","[c]","[c]"
"Leaver CS","2021","Female","SEO/HEO","Commercial","40","40","[c]","[c]"
"Leaver CS","2021","Female","SEO/HEO","Communications","70","70","36210","35500"
"Leaver CS","2021","Female","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SEO/HEO","Digital, Data and Technology","60","60","37990","38280"
"Leaver CS","2021","Female","SEO/HEO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SEO/HEO","Finance","50","50","[c]","[c]"
"Leaver CS","2021","Female","SEO/HEO","Human Resources","70","70","38780","38770"
"Leaver CS","2021","Female","SEO/HEO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SEO/HEO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SEO/HEO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SEO/HEO","Legal","90","70","41040","42460"
"Leaver CS","2021","Female","SEO/HEO","Medicine","50","40","38210","37890"
"Leaver CS","2021","Female","SEO/HEO","Operational Delivery","390","350","35490","33840"
"Leaver CS","2021","Female","SEO/HEO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SEO/HEO","Other","140","130","35870","36960"
"Leaver CS","2021","Female","SEO/HEO","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SEO/HEO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SEO/HEO","Policy","140","130","36650","36720"
"Leaver CS","2021","Female","SEO/HEO","Project Delivery","90","80","34850","33630"
"Leaver CS","2021","Female","SEO/HEO","Property","40","40","[c]","[c]"
"Leaver CS","2021","Female","SEO/HEO","Psychology","50","40","[c]","[c]"
"Leaver CS","2021","Female","SEO/HEO","Science and Engineering","120","110","35830","35160"
"Leaver CS","2021","Female","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SEO/HEO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SEO/HEO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","SEO/HEO","Unknown","1080","920","35460","34290"
"Leaver CS","2021","Female","SEO/HEO","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Operational Delivery","450","390","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Unknown","280","260","[c]","[c]"
"Leaver CS","2021","Male","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","AA/AO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","AA/AO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","AA/AO","Digital, Data and Technology","30","30","[c]","[c]"
"Leaver CS","2021","Male","AA/AO","Economics","40","40","[c]","[c]"
"Leaver CS","2021","Male","AA/AO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","AA/AO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","AA/AO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","AA/AO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","AA/AO","Operational Delivery","2620","2400","20870","20690"
"Leaver CS","2021","Male","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","AA/AO","Other","210","200","20560","20180"
"Leaver CS","2021","Male","AA/AO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","AA/AO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","AA/AO","Property","50","40","[c]","[c]"
"Leaver CS","2021","Male","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","AA/AO","Science and Engineering","120","120","19850","20150"
"Leaver CS","2021","Male","AA/AO","Security","270","260","27960","24610"
"Leaver CS","2021","Male","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","AA/AO","Unknown","1820","1660","21430","21010"
"Leaver CS","2021","Male","EO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","EO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","EO","Digital, Data and Technology","60","50","27590","26710"
"Leaver CS","2021","Male","EO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","EO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","EO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","EO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","EO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","EO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","EO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","EO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","EO","Operational Delivery","690","610","28220","27000"
"Leaver CS","2021","Male","EO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","EO","Other","310","300","27750","29100"
"Leaver CS","2021","Male","EO","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","EO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","EO","Policy","50","50","[c]","[c]"
"Leaver CS","2021","Male","EO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","EO","Property","90","80","26060","25500"
"Leaver CS","2021","Male","EO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","EO","Science and Engineering","70","70","24470","25190"
"Leaver CS","2021","Male","EO","Security","40","40","[c]","[c]"
"Leaver CS","2021","Male","EO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","EO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","EO","Unknown","1360","1190","27980","27570"
"Leaver CS","2021","Male","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","G6/G7","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","G6/G7","Digital, Data and Technology","90","80","59490","57680"
"Leaver CS","2021","Male","G6/G7","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","G6/G7","Finance","40","40","[c]","[c]"
"Leaver CS","2021","Male","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","G6/G7","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","G6/G7","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","G6/G7","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","G6/G7","Legal","110","100","58300","55610"
"Leaver CS","2021","Male","G6/G7","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","G6/G7","Operational Delivery","150","140","61030","58230"
"Leaver CS","2021","Male","G6/G7","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","G6/G7","Other","40","40","[c]","[c]"
"Leaver CS","2021","Male","G6/G7","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","G6/G7","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","G6/G7","Policy","150","140","59660","57600"
"Leaver CS","2021","Male","G6/G7","Project Delivery","60","50","57190","54990"
"Leaver CS","2021","Male","G6/G7","Property","40","30","[c]","[c]"
"Leaver CS","2021","Male","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","G6/G7","Science and Engineering","50","40","[c]","[c]"
"Leaver CS","2021","Male","G6/G7","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","G6/G7","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","G6/G7","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","G6/G7","Unknown","480","410","61970","59700"
"Leaver CS","2021","Male","G6/G7","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SCS","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SCS","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SCS","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SCS","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SCS","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SCS","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SCS","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SCS","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SCS","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SCS","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SCS","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SCS","Policy","40","30","[c]","[c]"
"Leaver CS","2021","Male","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SCS","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SCS","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SCS","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SCS","Unknown","100","80","104330","92000"
"Leaver CS","2021","Male","SEO/HEO","Commercial","50","50","37630","37250"
"Leaver CS","2021","Male","SEO/HEO","Communications","40","40","[c]","[c]"
"Leaver CS","2021","Male","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SEO/HEO","Digital, Data and Technology","130","130","37980","38000"
"Leaver CS","2021","Male","SEO/HEO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SEO/HEO","Finance","60","60","40870","39890"
"Leaver CS","2021","Male","SEO/HEO","Human Resources","50","50","[c]","[c]"
"Leaver CS","2021","Male","SEO/HEO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SEO/HEO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SEO/HEO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SEO/HEO","Legal","40","40","[c]","[c]"
"Leaver CS","2021","Male","SEO/HEO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SEO/HEO","Operational Delivery","460","420","39390","38160"
"Leaver CS","2021","Male","SEO/HEO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SEO/HEO","Other","170","160","35280","34340"
"Leaver CS","2021","Male","SEO/HEO","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SEO/HEO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SEO/HEO","Policy","150","150","36770","36790"
"Leaver CS","2021","Male","SEO/HEO","Project Delivery","130","130","38320","39250"
"Leaver CS","2021","Male","SEO/HEO","Property","110","100","38360","37210"
"Leaver CS","2021","Male","SEO/HEO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SEO/HEO","Science and Engineering","220","200","36150","36330"
"Leaver CS","2021","Male","SEO/HEO","Security","30","30","[c]","[c]"
"Leaver CS","2021","Male","SEO/HEO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SEO/HEO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","SEO/HEO","Unknown","1070","930","36480","35110"
"Leaver CS","2021","Male","SEO/HEO","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Unknown","Communications","[c]","[c]","[c]","[c]"
