"Status","Year","Responsibility_level","Profession_of_post","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","G6/G7","Digital, Data and Technology","No function","40","40","[c]","[c]"
"In post","2022","G6/G7","Digital, Data and Technology","Project Delivery","80","80","55090","52770"
"In post","2022","G6/G7","Digital, Data and Technology","Property","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Digital, Data and Technology","Security","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Digital, Data and Technology","Unknown","720","710","62640","61440"
"In post","2022","G6/G7","Economics","Analysis","570","550","59660","55980"
"In post","2022","G6/G7","Economics","Finance","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Economics","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Economics","No function","180","170","59550","57840"
"In post","2022","G6/G7","Economics","Project Delivery","80","80","59110","57970"
"In post","2022","G6/G7","Economics","Unknown","70","70","64450","61440"
"In post","2022","G6/G7","Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Finance","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Finance","Finance","2160","2100","58750","57400"
"In post","2022","G6/G7","Finance","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Finance","No function","60","60","56000","53680"
"In post","2022","G6/G7","Finance","Project Delivery","90","80","60380","58640"
"In post","2022","G6/G7","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Finance","Unknown","360","340","60000","58230"
"In post","2022","G6/G7","Geography","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Geography","No function","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Human Resources","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Human Resources","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Human Resources","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Human Resources","Human Resources","1820","1760","57810","55740"
"In post","2022","G6/G7","Human Resources","No function","30","30","[c]","[c]"
"In post","2022","G6/G7","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Human Resources","Property","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Human Resources","Unknown","190","190","60370","57680"
"In post","2022","G6/G7","Inspector of Education and Training","No function","480","470","75430","75500"
"In post","2022","G6/G7","Inspector of Education and Training","Project Delivery","70","60","75110","75480"
"In post","2022","G6/G7","Intelligence Analysis","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Intelligence Analysis","Counter Fraud","30","30","[c]","[c]"
"In post","2022","G6/G7","Intelligence Analysis","No function","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Intelligence Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Intelligence Analysis","Security","120","120","59430","58550"
"In post","2022","G6/G7","Intelligence Analysis","Unknown","40","40","[c]","[c]"
"In post","2022","G6/G7","Internal Audit","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Internal Audit","Internal Audit","210","200","58600","56500"
"In post","2022","G6/G7","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","International Trade","No function","670","670","56200","53600"
"In post","2022","G6/G7","Knowledge and Information Management","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Knowledge and Information Management","Communications","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Knowledge and Information Management","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Knowledge and Information Management","Digital, Data & Technology","80","80","57290","54880"
"In post","2022","G6/G7","Knowledge and Information Management","Finance","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Knowledge and Information Management","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Knowledge and Information Management","Legal","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Knowledge and Information Management","No function","120","120","57950","54500"
"In post","2022","G6/G7","Knowledge and Information Management","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Knowledge and Information Management","Property","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Knowledge and Information Management","Security","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Knowledge and Information Management","Unknown","30","30","[c]","[c]"
"In post","2022","G6/G7","Legal","Counter Fraud","180","170","59430","58710"
"In post","2022","G6/G7","Legal","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Legal","Legal","5640","5200","59340","57570"
"In post","2022","G6/G7","Legal","No function","290","280","60080","59200"
"In post","2022","G6/G7","Legal","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Legal","Unknown","130","120","61400","61440"
"In post","2022","G6/G7","Medicine","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Medicine","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Medicine","No function","200","170","71900","67750"
"In post","2022","G6/G7","Medicine","Project Delivery","50","40","[c]","[c]"
"In post","2022","G6/G7","Medicine","Unknown","500","420","76070","78250"
"In post","2022","G6/G7","Operational Delivery","Analysis","130","130","56410","53260"
"In post","2022","G6/G7","Operational Delivery","Commercial","90","90","63230","60380"
"In post","2022","G6/G7","Operational Delivery","Communications","60","60","54920","55210"
"In post","2022","G6/G7","Operational Delivery","Counter Fraud","190","180","59150","55210"
"In post","2022","G6/G7","Operational Delivery","Debt","40","40","[c]","[c]"
"In post","2022","G6/G7","Operational Delivery","Digital, Data & Technology","90","80","57440","55210"
"In post","2022","G6/G7","Operational Delivery","Finance","70","60","58470","55210"
"In post","2022","G6/G7","Operational Delivery","Grants Management","60","60","51750","49360"
"In post","2022","G6/G7","Operational Delivery","Human Resources","90","80","55110","54160"
"In post","2022","G6/G7","Operational Delivery","Legal","70","60","60260","58000"
"In post","2022","G6/G7","Operational Delivery","No function","5720","5570","58950","55210"
"In post","2022","G6/G7","Operational Delivery","Project Delivery","360","340","55170","54070"
"In post","2022","G6/G7","Operational Delivery","Property","110","110","57800","56170"
"In post","2022","G6/G7","Operational Delivery","Unknown","970","950","59240","57680"
"In post","2022","G6/G7","Operational Research","Analysis","300","280","56180","56130"
"In post","2022","G6/G7","Operational Research","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Operational Research","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Operational Research","No function","160","150","53410","49030"
"In post","2022","G6/G7","Operational Research","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Other","Analysis","190","170","76090","67150"
"In post","2022","G6/G7","Other","Commercial","30","30","[c]","[c]"
"In post","2022","G6/G7","Other","Communications","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Other","Counter Fraud","110","100","59470","56840"
"In post","2022","G6/G7","Other","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Other","Finance","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Other","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Other","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Other","Legal","60","60","59460","57260"
"In post","2022","G6/G7","Other","No function","610","600","58050","54940"
"In post","2022","G6/G7","Other","Project Delivery","560","550","56840","55210"
"In post","2022","G6/G7","Other","Property","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Other","Security","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Other","Unknown","480","460","60850","58570"
"In post","2022","G6/G7","Planning","No function","50","50","[c]","[c]"
"In post","2022","G6/G7","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Planning Inspectors","No function","360","320","56940","58810"
"In post","2022","G6/G7","Policy","Analysis","290","280","58420","56420"
"In post","2022","G6/G7","Policy","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Policy","Communications","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Policy","Digital, Data & Technology","100","100","56960","54400"
"In post","2022","G6/G7","Policy","Finance","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Policy","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Policy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Policy","Legal","40","40","[c]","[c]"
"In post","2022","G6/G7","Policy","No function","9240","8980","57330","54700"
"In post","2022","G6/G7","Policy","Project Delivery","1350","1300","60740","60720"
"In post","2022","G6/G7","Policy","Property","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Policy","Security","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Policy","Unknown","2000","1940","60370","57740"
"In post","2022","G6/G7","Project Delivery","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Project Delivery","Commercial","40","40","[c]","[c]"
"In post","2022","G6/G7","Project Delivery","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2022","G6/G7","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Project Delivery","Legal","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Project Delivery","No function","210","210","55920","53360"
"In post","2022","G6/G7","Project Delivery","Project Delivery","3750","3650","57400","55210"
"In post","2022","G6/G7","Project Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Project Delivery","Unknown","630","620","59500","57460"
"In post","2022","G6/G7","Property","Finance","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Property","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Property","Legal","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Property","No function","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Property","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Property","Property","1450","1410","58460","57150"
"In post","2022","G6/G7","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Psychology","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Psychology","No function","120","110","64700","65000"
"In post","2022","G6/G7","Psychology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Science and Engineering","Analysis","170","160","53770","49970"
"In post","2022","G6/G7","Science and Engineering","Commercial","30","30","[c]","[c]"
"In post","2022","G6/G7","Science and Engineering","Digital, Data & Technology","210","190","51960","48540"
"In post","2022","G6/G7","Science and Engineering","Finance","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Science and Engineering","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Science and Engineering","Legal","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Science and Engineering","No function","2070","1970","55680","53860"
"In post","2022","G6/G7","Science and Engineering","Project Delivery","420","410","56960","56000"
"In post","2022","G6/G7","Science and Engineering","Unknown","240","230","61950","60940"
"In post","2022","G6/G7","Security","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Security","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Security","Finance","90","90","58220","57370"
"In post","2022","G6/G7","Security","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Security","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Security","No function","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Security","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Security","Property","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Security","Security","350","340","59690","57960"
"In post","2022","G6/G7","Security","Unknown","30","30","[c]","[c]"
"In post","2022","G6/G7","Social Research","Analysis","300","280","56650","55210"
"In post","2022","G6/G7","Social Research","No function","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Social Research","Unknown","70","70","61390","59460"
"In post","2022","G6/G7","Statistics","Analysis","660","630","58090","57300"
"In post","2022","G6/G7","Statistics","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Statistics","Finance","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Statistics","No function","30","30","[c]","[c]"
"In post","2022","G6/G7","Statistics","Project Delivery","30","30","[c]","[c]"
"In post","2022","G6/G7","Statistics","Unknown","40","40","[c]","[c]"
"In post","2022","G6/G7","Tax","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Tax","Communications","30","30","[c]","[c]"
"In post","2022","G6/G7","Tax","Counter Fraud","560","530","59800","55210"
"In post","2022","G6/G7","Tax","Debt","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Tax","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Tax","Finance","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Tax","Human Resources","30","30","[c]","[c]"
"In post","2022","G6/G7","Tax","Legal","100","90","57340","55210"
"In post","2022","G6/G7","Tax","No function","2210","2120","59530","55210"
"In post","2022","G6/G7","Tax","Project Delivery","40","40","[c]","[c]"
"In post","2022","G6/G7","Unknown","Analysis","50","50","[c]","[c]"
"In post","2022","G6/G7","Unknown","Commercial","1240","1220","64910","64500"
"In post","2022","G6/G7","Unknown","Communications","170","160","59640","56610"
"In post","2022","G6/G7","Unknown","Counter Fraud","80","80","57680","55210"
"In post","2022","G6/G7","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Unknown","Digital, Data & Technology","810","800","57480","54700"
"In post","2022","G6/G7","Unknown","Finance","110","110","58920","58600"
"In post","2022","G6/G7","Unknown","Human Resources","350","340","57390","55210"
"In post","2022","G6/G7","Unknown","Legal","80","70","65260","62120"
"In post","2022","G6/G7","Unknown","No function","1440","1420","60270","56600"
"In post","2022","G6/G7","Unknown","Project Delivery","120","120","60160","60500"
"In post","2022","G6/G7","Unknown","Property","60","60","55870","54700"
"In post","2022","G6/G7","Unknown","Security","110","100","58250","54700"
"In post","2022","G6/G7","Unknown","Unknown","3480","3350","63070","62170"
"In post","2022","G6/G7","Veterinarian","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Veterinarian","No function","110","110","54630","54310"
"In post","2022","G6/G7","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Commercial","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Commercial","Commercial","70","70","84990","78520"
"In post","2022","SCS","Commercial","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Commercial","No function","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Communications","100","100","89290","85000"
"In post","2022","SCS","Communications","No function","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Corporate Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Corporate Finance","No function","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Counter Fraud","No function","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data and Technology","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data and Technology","Digital, Data & Technology","240","240","90350","85460"
"In post","2022","SCS","Digital, Data and Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data and Technology","No function","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data and Technology","Property","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data and Technology","Security","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data and Technology","Unknown","40","40","[c]","[c]"
"In post","2022","SCS","Economics","Analysis","60","60","95230","85770"
"In post","2022","SCS","Economics","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Economics","No function","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Economics","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Finance","250","240","87300","80050"
"In post","2022","SCS","Finance","No function","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Unknown","70","70","91010","83360"
"In post","2022","SCS","Geography","No function","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Human Resources","200","190","86170","78970"
"In post","2022","SCS","Human Resources","No function","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Property","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Inspector of Education and Training","No function","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Intelligence Analysis","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Intelligence Analysis","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Intelligence Analysis","Security","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","International Trade","No function","120","110","82590","75040"
"In post","2022","SCS","Knowledge and Information Management","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Knowledge and Information Management","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Knowledge and Information Management","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Knowledge and Information Management","Legal","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Legal","380","360","87990","82720"
"In post","2022","SCS","Legal","No function","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Medicine","No function","290","260","108250","104180"
"In post","2022","SCS","Medicine","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Medicine","Unknown","50","40","96010","95140"
"In post","2022","SCS","Operational Delivery","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Operational Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Operational Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Operational Delivery","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Operational Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Operational Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Operational Delivery","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Operational Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Operational Delivery","Legal","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Operational Delivery","No function","670","650","91690","84860"
"In post","2022","SCS","Operational Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Operational Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Operational Delivery","Unknown","120","120","88090","81490"
"In post","2022","SCS","Operational Research","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Operational Research","No function","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Other","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Other","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Other","Communications","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Other","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Other","Finance","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Other","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Other","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Other","Legal","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Other","No function","170","170","97480","90750"
"In post","2022","SCS","Other","Project Delivery","90","90","92350","79720"
"In post","2022","SCS","Other","Property","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Other","Security","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Planning","No function","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Planning Inspectors","No function","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Policy","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Policy","Communications","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Policy","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Policy","Finance","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Policy","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Policy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Policy","Legal","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Policy","No function","1500","1450","85240","77060"
"In post","2022","SCS","Policy","Project Delivery","70","70","85850","79930"
"In post","2022","SCS","Policy","Property","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Policy","Unknown","300","290","85920","78470"
"In post","2022","SCS","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Project Delivery","320","320","90450","84890"
"In post","2022","SCS","Project Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Unknown","30","30","[c]","[c]"
"In post","2022","SCS","Property","No function","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","Property","90","90","90420","86600"
"In post","2022","SCS","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Psychology","No function","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Science and Engineering","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Science and Engineering","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Science and Engineering","No function","50","50","94370","93050"
"In post","2022","SCS","Science and Engineering","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","Finance","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","Property","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","Security","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Social Research","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Statistics","Analysis","50","50","85310","79130"
"In post","2022","SCS","Statistics","No function","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Tax","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Tax","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Tax","Finance","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Tax","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Tax","No function","70","70","82030","78860"
"In post","2022","SCS","Tax","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Commercial","240","230","118900","117230"
"In post","2022","SCS","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Digital, Data & Technology","60","60","102150","95800"
"In post","2022","SCS","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Human Resources","60","50","89160","80000"
"In post","2022","SCS","Unknown","Legal","60","60","86720","79760"
"In post","2022","SCS","Unknown","No function","350","340","89540","80000"
"In post","2022","SCS","Unknown","Project Delivery","70","60","112060","115000"
"In post","2022","SCS","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Unknown","310","300","89330","83230"
"In post","2022","SCS","Veterinarian","No function","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Commercial","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Commercial","Commercial","2210","2140","37150","37100"
"In post","2022","SEO/HEO","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Commercial","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Commercial","Finance","340","320","34800","34290"
"In post","2022","SEO/HEO","Commercial","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Commercial","No function","260","250","43480","44630"
"In post","2022","SEO/HEO","Commercial","Project Delivery","490","470","35210","35000"
"In post","2022","SEO/HEO","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Commercial","Security","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Commercial","Unknown","110","110","38510","39080"
"In post","2022","SEO/HEO","Communications","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Communications","Communications","1740","1690","37820","37650"
