"Status","Year","Sex","Age","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Female","60-64","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Female","60-64","Department for Business, Energy and Industrial Strategy","330","280","34120","28970"
"In post","2022","Female","60-64","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Female","60-64","Department for Education","160","150","42480","37100"
"In post","2022","Female","60-64","Department for Environment, Food and Rural Affairs","370","330","30950","26520"
"In post","2022","Female","60-64","Department for International Trade","40","40","[c]","[c]"
"In post","2022","Female","60-64","Department for Levelling Up, Housing and Communities","70","70","49290","47660"
"In post","2022","Female","60-64","Department for Transport","640","470","25550","21840"
"In post","2022","Female","60-64","Department for Work and Pensions","7150","5400","26820","27570"
"In post","2022","Female","60-64","Department of Health and Social Care","350","300","47960","39030"
"In post","2022","Female","60-64","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Female","60-64","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","60-64","Foreign, Commonwealth and Development Office","160","150","47700","38550"
"In post","2022","Female","60-64","HM Land Registry","310","220","30540","27130"
"In post","2022","Female","60-64","HM Revenue and Customs","3400","2550","29580","26820"
"In post","2022","Female","60-64","HM Treasury","40","40","[c]","[c]"
"In post","2022","Female","60-64","Home Office","1230","1000","29260","25630"
"In post","2022","Female","60-64","Ministry of Defence","1790","1610","29030","24380"
"In post","2022","Female","60-64","Ministry of Justice","3600","3010","27730","24180"
"In post","2022","Female","60-64","National Crime Agency","80","70","37460","36630"
"In post","2022","Female","60-64","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Female","60-64","Office for Standards in Education, Children's Services and Skills","100","90","52810","51360"
"In post","2022","Female","60-64","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Female","60-64","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Female","60-64","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Female","60-64","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Female","60-64","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Female","60-64","Scottish Government","670","560","35540","30040"
"In post","2022","Female","60-64","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Female","60-64","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Female","60-64","UK Statistics Authority","270","190","26100","20350"
"In post","2022","Female","60-64","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Female","60-64","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Female","60-64","Welsh Government","240","200","39620","38160"
"In post","2022","Female","65+","Attorney General's Departments","90","70","44400","33310"
"In post","2022","Female","65+","Cabinet Office","40","30","[c]","[c]"
"In post","2022","Female","65+","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Female","65+","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Female","65+","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Female","65+","Department for Business, Energy and Industrial Strategy","100","80","34890","28750"
"In post","2022","Female","65+","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Female","65+","Department for Education","40","40","[c]","[c]"
"In post","2022","Female","65+","Department for Environment, Food and Rural Affairs","140","120","28790","25560"
"In post","2022","Female","65+","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Female","65+","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Female","65+","Department for Transport","180","120","25320","21840"
"In post","2022","Female","65+","Department for Work and Pensions","1800","1260","26010","27570"
"In post","2022","Female","65+","Department of Health and Social Care","120","100","47400","36330"
"In post","2022","Female","65+","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Female","65+","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","65+","Foreign, Commonwealth and Development Office","40","30","[c]","[c]"
"In post","2022","Female","65+","HM Land Registry","70","50","32060","27130"
"In post","2022","Female","65+","HM Revenue and Customs","790","560","27870","25900"
"In post","2022","Female","65+","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Female","65+","Home Office","390","290","27200","25630"
"In post","2022","Female","65+","Ministry of Defence","530","460","27560","22330"
"In post","2022","Female","65+","Ministry of Justice","1050","800","26940","24010"
"In post","2022","Female","65+","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","65+","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Female","65+","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Female","65+","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Female","65+","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Female","65+","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Female","65+","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Female","65+","Scottish Government","170","130","32380","25930"
"In post","2022","Female","65+","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Female","65+","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Female","65+","UK Statistics Authority","130","90","24450","20350"
"In post","2022","Female","65+","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Female","65+","Welsh Government","100","80","37670","29430"
"In post","2022","Female","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Department for Transport","40","40","[c]","[c]"
"In post","2022","Male","16-19","Department for Work and Pensions","70","70","22700","21260"
"In post","2022","Male","16-19","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","HM Revenue and Customs","120","110","22300","21250"
"In post","2022","Male","16-19","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Ministry of Defence","160","160","18640","17930"
"In post","2022","Male","16-19","Ministry of Justice","70","70","22970","23140"
"In post","2022","Male","16-19","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Scottish Government","40","40","[c]","[c]"
"In post","2022","Male","16-19","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Male","20-29","Attorney General's Departments","430","430","30880","26950"
"In post","2022","Male","20-29","Cabinet Office","1520","1520","34790","32000"
"In post","2022","Male","20-29","Chancellor's other departments","50","50","37660","34980"
"In post","2022","Male","20-29","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Male","20-29","Competition and Markets Authority","70","70","39760","33610"
"In post","2022","Male","20-29","Department for Business, Energy and Industrial Strategy","1530","1520","37090","33880"
"In post","2022","Male","20-29","Department for Digital, Culture, Media and Sport","340","340","39470","34020"
"In post","2022","Male","20-29","Department for Education","670","670","34870","32940"
"In post","2022","Male","20-29","Department for Environment, Food and Rural Affairs","1070","1050","30460","29180"
"In post","2022","Male","20-29","Department for International Trade","500","500","38250","38160"
"In post","2022","Male","20-29","Department for Levelling Up, Housing and Communities","500","500","37090","33210"
"In post","2022","Male","20-29","Department for Transport","1130","1120","31380","29970"
"In post","2022","Male","20-29","Department for Work and Pensions","4720","4700","26960","27570"
"In post","2022","Male","20-29","Department of Health and Social Care","970","950","34330","32640"
"In post","2022","Male","20-29","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Male","20-29","Food Standards Agency","40","40","[c]","[c]"
"In post","2022","Male","20-29","Foreign, Commonwealth and Development Office","550","550","33810","33290"
"In post","2022","Male","20-29","HM Land Registry","480","470","26470","27130"
"In post","2022","Male","20-29","HM Revenue and Customs","6210","6140","29010","26820"
"In post","2022","Male","20-29","HM Treasury","540","540","39100","33730"
"In post","2022","Male","20-29","Home Office","2510","2490","29150","24890"
"In post","2022","Male","20-29","Ministry of Defence","4660","4650","29020","27680"
"In post","2022","Male","20-29","Ministry of Justice","5710","5670","26810","25610"
"In post","2022","Male","20-29","National Crime Agency","330","330","34080","34060"
"In post","2022","Male","20-29","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Male","20-29","Office for Standards in Education, Children's Services and Skills","50","50","[c]","[c]"
"In post","2022","Male","20-29","Office of Gas and Electricity Markets","190","190","30490","29000"
"In post","2022","Male","20-29","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Male","20-29","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Male","20-29","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Male","20-29","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Male","20-29","Scottish Government","1740","1720","28720","27230"
"In post","2022","Male","20-29","The National Archives","40","40","[c]","[c]"
"In post","2022","Male","20-29","UK Export Finance","50","50","38080","34190"
"In post","2022","Male","20-29","UK Statistics Authority","550","540","30560","30710"
"In post","2022","Male","20-29","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Male","20-29","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Male","20-29","Welsh Government","240","240","28750","25860"
"In post","2022","Male","30-39","Attorney General's Departments","720","710","45510","48990"
"In post","2022","Male","30-39","Cabinet Office","1300","1300","49570","54700"
"In post","2022","Male","30-39","Chancellor's other departments","60","60","56410","48930"
"In post","2022","Male","30-39","Charity Commission","50","50","33800","29160"
"In post","2022","Male","30-39","Competition and Markets Authority","150","150","62600","59870"
"In post","2022","Male","30-39","Department for Business, Energy and Industrial Strategy","1830","1810","43360","40220"
"In post","2022","Male","30-39","Department for Digital, Culture, Media and Sport","320","320","50510","51730"
"In post","2022","Male","30-39","Department for Education","960","950","43230","40230"
"In post","2022","Male","30-39","Department for Environment, Food and Rural Affairs","1200","1180","36960","35900"
"In post","2022","Male","30-39","Department for International Trade","440","440","50760","51970"
"In post","2022","Male","30-39","Department for Levelling Up, Housing and Communities","540","530","47440","48200"
"In post","2022","Male","30-39","Department for Transport","1940","1920","35840","30730"
"In post","2022","Male","30-39","Department for Work and Pensions","6390","6320","29410","27570"
"In post","2022","Male","30-39","Department of Health and Social Care","1010","990","45250","40850"
"In post","2022","Male","30-39","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Male","30-39","Food Standards Agency","120","120","38990","37350"
"In post","2022","Male","30-39","Foreign, Commonwealth and Development Office","1070","1070","46890","48500"
"In post","2022","Male","30-39","HM Land Registry","450","450","30040","27130"
"In post","2022","Male","30-39","HM Revenue and Customs","8710","8620","34200","33080"
"In post","2022","Male","30-39","HM Treasury","420","420","55480","55840"
"In post","2022","Male","30-39","Home Office","4220","4170","32990","28650"
"In post","2022","Male","30-39","Ministry of Defence","5890","5870","36900","36300"
"In post","2022","Male","30-39","Ministry of Justice","8650","8560","30330","28140"
"In post","2022","Male","30-39","National Crime Agency","680","670","39270","37560"
"In post","2022","Male","30-39","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Male","30-39","Office for Standards in Education, Children's Services and Skills","150","150","43230","34850"
"In post","2022","Male","30-39","Office of Gas and Electricity Markets","280","280","44470","40770"
"In post","2022","Male","30-39","Office of Qualifications and Examinations Regulation","30","30","[c]","[c]"
"In post","2022","Male","30-39","Office of Rail and Road","50","50","47760","50810"
"In post","2022","Male","30-39","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Male","30-39","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Male","30-39","Scottish Government","2790","2770","35730","33070"
"In post","2022","Male","30-39","The National Archives","50","50","[c]","[c]"
"In post","2022","Male","30-39","UK Export Finance","50","50","54080","52500"
"In post","2022","Male","30-39","UK Statistics Authority","620","600","37920","36840"
"In post","2022","Male","30-39","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Male","30-39","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Male","30-39","Welsh Government","480","480","38900","38160"
"In post","2022","Male","40-49","Attorney General's Departments","930","920","49890","51830"
"In post","2022","Male","40-49","Cabinet Office","1120","1120","58890","55320"
"In post","2022","Male","40-49","Chancellor's other departments","70","70","71270","64800"
"In post","2022","Male","40-49","Charity Commission","50","50","38230","29330"
"In post","2022","Male","40-49","Competition and Markets Authority","110","110","75110","72430"
"In post","2022","Male","40-49","Department for Business, Energy and Industrial Strategy","1630","1600","47090","43740"
"In post","2022","Male","40-49","Department for Digital, Culture, Media and Sport","140","140","57480","57460"
"In post","2022","Male","40-49","Department for Education","940","930","48520","49860"
"In post","2022","Male","40-49","Department for Environment, Food and Rural Affairs","1440","1420","39530","36520"
"In post","2022","Male","40-49","Department for International Trade","240","240","57510","54700"
"In post","2022","Male","40-49","Department for Levelling Up, Housing and Communities","450","450","50600","48200"
"In post","2022","Male","40-49","Department for Transport","2110","2090","37220","31040"
"In post","2022","Male","40-49","Department for Work and Pensions","7860","7710","30960","27570"
"In post","2022","Male","40-49","Department of Health and Social Care","1010","980","53070","51440"
"In post","2022","Male","40-49","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Male","40-49","Food Standards Agency","190","190","40210","37910"
"In post","2022","Male","40-49","Foreign, Commonwealth and Development Office","1110","1100","52450","54270"
"In post","2022","Male","40-49","HM Land Registry","460","450","36250","33840"
"In post","2022","Male","40-49","HM Revenue and Customs","7330","7230","36330","33370"
"In post","2022","Male","40-49","HM Treasury","190","190","62020","62430"
"In post","2022","Male","40-49","Home Office","4400","4340","35000","29080"
"In post","2022","Male","40-49","Ministry of Defence","6550","6500","39110","38070"
"In post","2022","Male","40-49","Ministry of Justice","7810","7700","33440","31650"
"In post","2022","Male","40-49","National Crime Agency","660","660","45150","43710"
"In post","2022","Male","40-49","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Male","40-49","Office for Standards in Education, Children's Services and Skills","190","190","53930","51360"
"In post","2022","Male","40-49","Office of Gas and Electricity Markets","150","150","53580","46710"
"In post","2022","Male","40-49","Office of Qualifications and Examinations Regulation","40","40","[c]","[c]"
"In post","2022","Male","40-49","Office of Rail and Road","50","50","[c]","[c]"
"In post","2022","Male","40-49","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Male","40-49","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Male","40-49","Scottish Government","2570","2540","42240","36390"
"In post","2022","Male","40-49","The National Archives","80","70","40250","36800"
"In post","2022","Male","40-49","UK Export Finance","70","70","59920","56770"
"In post","2022","Male","40-49","UK Statistics Authority","490","470","41590","37770"
"In post","2022","Male","40-49","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Male","40-49","Water Services Regulation Authority","40","40","[c]","[c]"
"In post","2022","Male","40-49","Welsh Government","690","680","46030","41980"
"In post","2022","Male","50-59","Attorney General's Departments","1100","1080","52480","55610"
"In post","2022","Male","50-59","Cabinet Office","940","930","61090","54700"
"In post","2022","Male","50-59","Chancellor's other departments","40","40","[c]","[c]"
"In post","2022","Male","50-59","Charity Commission","40","30","[c]","[c]"
"In post","2022","Male","50-59","Competition and Markets Authority","80","80","72560","59600"
"In post","2022","Male","50-59","Department for Business, Energy and Industrial Strategy","1590","1560","46480","42990"
"In post","2022","Male","50-59","Department for Digital, Culture, Media and Sport","90","90","51330","52190"
"In post","2022","Male","50-59","Department for Education","770","760","49440","49860"
"In post","2022","Male","50-59","Department for Environment, Food and Rural Affairs","1380","1360","39790","36030"
"In post","2022","Male","50-59","Department for International Trade","250","250","50360","47980"
"In post","2022","Male","50-59","Department for Levelling Up, Housing and Communities","380","370","48490","47660"
"In post","2022","Male","50-59","Department for Transport","2450","2400","36170","30720"
"In post","2022","Male","50-59","Department for Work and Pensions","10580","10230","31020","27570"
"In post","2022","Male","50-59","Department of Health and Social Care","850","840","56090","52010"
"In post","2022","Male","50-59","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Male","50-59","Food Standards Agency","330","320","35630","30280"
"In post","2022","Male","50-59","Foreign, Commonwealth and Development Office","1140","1130","54820","54240"
"In post","2022","Male","50-59","HM Land Registry","920","880","34630","33840"
"In post","2022","Male","50-59","HM Revenue and Customs","8560","8300","37540","33370"
"In post","2022","Male","50-59","HM Treasury","190","190","58550","54060"
"In post","2022","Male","50-59","Home Office","4880","4680","34630","29370"
"In post","2022","Male","50-59","Ministry of Defence","11840","11730","37270","33950"
"In post","2022","Male","50-59","Ministry of Justice","10660","10250","34140","31650"
"In post","2022","Male","50-59","National Crime Agency","1100","1090","45580","43630"
"In post","2022","Male","50-59","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Male","50-59","Office for Standards in Education, Children's Services and Skills","160","160","59840","64500"
"In post","2022","Male","50-59","Office of Gas and Electricity Markets","80","80","58520","56370"
"In post","2022","Male","50-59","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Male","50-59","Office of Rail and Road","60","60","63540","63230"
"In post","2022","Male","50-59","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Male","50-59","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Male","50-59","Scottish Government","3360","3270","41010","35000"
"In post","2022","Male","50-59","The National Archives","80","80","40200","37080"
"In post","2022","Male","50-59","UK Export Finance","70","70","66830","55460"
"In post","2022","Male","50-59","UK Statistics Authority","520","450","36660","31860"
"In post","2022","Male","50-59","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Male","50-59","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Male","50-59","Welsh Government","720","710","48080","47470"
"In post","2022","Male","60-64","Attorney General's Departments","250","220","53700","55610"
"In post","2022","Male","60-64","Cabinet Office","190","180","55470","49460"
"In post","2022","Male","60-64","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Male","60-64","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Male","60-64","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Male","60-64","Department for Business, Energy and Industrial Strategy","340","300","41640","38510"
"In post","2022","Male","60-64","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Male","60-64","Department for Education","150","140","48510","50400"
"In post","2022","Male","60-64","Department for Environment, Food and Rural Affairs","340","310","38580","32810"
"In post","2022","Male","60-64","Department for International Trade","50","50","49390","43470"
"In post","2022","Male","60-64","Department for Levelling Up, Housing and Communities","100","90","48770","47660"
"In post","2022","Male","60-64","Department for Transport","850","760","34070","27930"
"In post","2022","Male","60-64","Department for Work and Pensions","3140","2650","29140","27570"
"In post","2022","Male","60-64","Department of Health and Social Care","220","210","64300","56310"
"In post","2022","Male","60-64","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Male","60-64","Food Standards Agency","90","80","32220","28800"
"In post","2022","Male","60-64","Foreign, Commonwealth and Development Office","240","230","50690","47790"
"In post","2022","Male","60-64","HM Land Registry","240","180","34110","33840"
"In post","2022","Male","60-64","HM Revenue and Customs","2310","1890","35460","33370"
"In post","2022","Male","60-64","HM Treasury","50","40","53820","45390"
"In post","2022","Male","60-64","Home Office","1170","970","32650","28650"
"In post","2022","Male","60-64","Ministry of Defence","4200","3930","34500","33000"
"In post","2022","Male","60-64","Ministry of Justice","3240","2640","31230","30910"
"In post","2022","Male","60-64","National Crime Agency","250","230","43620","42710"
"In post","2022","Male","60-64","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Male","60-64","Office for Standards in Education, Children's Services and Skills","40","30","[c]","[c]"
"In post","2022","Male","60-64","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Male","60-64","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Male","60-64","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Male","60-64","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Male","60-64","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Male","60-64","Scottish Government","940","770","38710","35000"
"In post","2022","Male","60-64","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Male","60-64","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Male","60-64","UK Statistics Authority","200","150","27690","20350"
"In post","2022","Male","60-64","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Male","60-64","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Male","60-64","Welsh Government","190","170","48760","47470"
"In post","2022","Male","65+","Attorney General's Departments","80","60","51970","55610"
"In post","2022","Male","65+","Cabinet Office","50","50","55860","43710"
"In post","2022","Male","65+","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Male","65+","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Male","65+","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Male","65+","Department for Business, Energy and Industrial Strategy","140","110","42240","40990"
"In post","2022","Male","65+","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Male","65+","Department for Education","30","30","[c]","[c]"
"In post","2022","Male","65+","Department for Environment, Food and Rural Affairs","120","100","35590","31430"
"In post","2022","Male","65+","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Male","65+","Department for Levelling Up, Housing and Communities","60","50","54190","58810"
"In post","2022","Male","65+","Department for Transport","370","280","31730","26830"
"In post","2022","Male","65+","Department for Work and Pensions","990","760","28270","27570"
"In post","2022","Male","65+","Department of Health and Social Care","80","70","57720","50130"
"In post","2022","Male","65+","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Male","65+","Food Standards Agency","40","30","[c]","[c]"
"In post","2022","Male","65+","Foreign, Commonwealth and Development Office","90","70","51330","53430"
"In post","2022","Male","65+","HM Land Registry","60","40","33540","33840"
"In post","2022","Male","65+","HM Revenue and Customs","780","570","34590","28920"
"In post","2022","Male","65+","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Male","65+","Home Office","450","340","30270","27610"
"In post","2022","Male","65+","Ministry of Defence","1510","1350","32900","29730"
"In post","2022","Male","65+","Ministry of Justice","1170","890","29140","26310"
"In post","2022","Male","65+","National Crime Agency","40","40","[c]","[c]"
"In post","2022","Male","65+","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Male","65+","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Male","65+","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Male","65+","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Male","65+","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Male","65+","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Male","65+","Scottish Government","290","220","36140","32040"
"In post","2022","Male","65+","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Male","65+","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Male","65+","UK Statistics Authority","120","80","24360","20350"
"In post","2022","Male","65+","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Male","65+","Welsh Government","90","70","45210","38160"
"In post","2022","Male","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","20-29","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","30-39","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","40-49","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","50-59","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","16-19","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","16-19","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","16-19","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","16-19","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","16-19","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","16-19","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","16-19","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","16-19","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","16-19","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","16-19","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","16-19","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","16-19","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","16-19","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","16-19","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","16-19","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","20-29","Attorney General's Departments","50","50","28650","24590"
"Leaver CS","2021","Female","20-29","Cabinet Office","80","80","28100","26000"
"Leaver CS","2021","Female","20-29","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","20-29","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","20-29","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","20-29","Department for Business, Energy and Industrial Strategy","50","50","[c]","[c]"
"Leaver CS","2021","Female","20-29","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","20-29","Department for Education","70","70","30710","28500"
"Leaver CS","2021","Female","20-29","Department for Environment, Food and Rural Affairs","110","110","24680","24370"
"Leaver CS","2021","Female","20-29","Department for International Trade","50","50","[c]","[c]"
