"Status","Year","Function_of_post","Disability","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Property","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Declared non-disabled","Female","100","80","29590","26000"
"Leaver CS","2021","Property","Declared non-disabled","Male","210","200","33940","31060"
"Leaver CS","2021","Property","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Unknown","Female","60","50","25450","21070"
"Leaver CS","2021","Property","Unknown","Male","100","90","26810","24500"
"Leaver CS","2021","Security","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Declared disabled","Male","40","40","[c]","[c]"
"Leaver CS","2021","Security","Declared non-disabled","Female","30","30","[c]","[c]"
"Leaver CS","2021","Security","Declared non-disabled","Male","170","160","30550","27050"
"Leaver CS","2021","Security","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Undeclared","Male","30","30","[c]","[c]"
"Leaver CS","2021","Security","Unknown","Female","40","30","[c]","[c]"
"Leaver CS","2021","Security","Unknown","Male","120","110","28230","25680"
"Leaver CS","2021","Unknown","Declared disabled","Female","1000","780","27890","26890"
"Leaver CS","2021","Unknown","Declared disabled","Male","700","610","29290","26890"
"Leaver CS","2021","Unknown","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Female","4780","3850","28310","25490"
"Leaver CS","2021","Unknown","Declared non-disabled","Male","3390","3030","31620","27570"
"Leaver CS","2021","Unknown","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Female","370","310","29850","26890"
"Leaver CS","2021","Unknown","Undeclared","Male","340","310","31150","27570"
"Leaver CS","2021","Unknown","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Female","1960","1620","30470","27570"
"Leaver CS","2021","Unknown","Unknown","Male","1600","1440","32970","28680"
"Leaver CS","2021","Unknown","Unknown","Unknown","90","80","45590","40010"
"Leaver CS","2022","Analysis","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Declared non-disabled","Female","130","120","37780","33210"
"Leaver CS","2022","Analysis","Declared non-disabled","Male","170","160","40240","36220"
"Leaver CS","2022","Analysis","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Unknown","Female","70","50","[c]","[c]"
"Leaver CS","2022","Analysis","Unknown","Male","90","70","35480","31990"
"Leaver CS","2022","Commercial","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Declared non-disabled","Female","100","90","40280","36640"
"Leaver CS","2022","Commercial","Declared non-disabled","Male","110","110","46940","39850"
"Leaver CS","2022","Commercial","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","Female","110","70","64420","61710"
"Leaver CS","2022","Commercial","Unknown","Male","150","120","63560","61710"
"Leaver CS","2022","Communications","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Declared non-disabled","Female","130","120","40830","37640"
"Leaver CS","2022","Communications","Declared non-disabled","Male","80","80","42240","39600"
"Leaver CS","2022","Communications","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Female","100","70","40290","34770"
"Leaver CS","2022","Communications","Unknown","Male","70","50","44860","40580"
"Leaver CS","2022","Counter Fraud","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Declared non-disabled","Female","140","100","28030","27570"
"Leaver CS","2022","Counter Fraud","Declared non-disabled","Male","120","100","31960","27570"
"Leaver CS","2022","Counter Fraud","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Declared non-disabled","Female","100","70","22600","21260"
"Leaver CS","2022","Debt","Declared non-disabled","Male","60","60","22610","21260"
"Leaver CS","2022","Debt","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Declared disabled","Female","50","40","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Declared disabled","Male","70","70","39270","36430"
"Leaver CS","2022","Digital, Data & Technology","Declared non-disabled","Female","260","240","41530","37710"
"Leaver CS","2022","Digital, Data & Technology","Declared non-disabled","Male","540","520","43540","40030"
"Leaver CS","2022","Digital, Data & Technology","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Undeclared","Male","60","60","42270","39670"
"Leaver CS","2022","Digital, Data & Technology","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Unknown","Female","130","100","37520","32450"
"Leaver CS","2022","Digital, Data & Technology","Unknown","Male","280","260","40280","36970"
"Leaver CS","2022","Finance","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Declared non-disabled","Female","150","130","36090","33000"
"Leaver CS","2022","Finance","Declared non-disabled","Male","160","150","44000","40190"
"Leaver CS","2022","Finance","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Unknown","Female","70","30","[c]","[c]"
"Leaver CS","2022","Finance","Unknown","Male","60","40","[c]","[c]"
"Leaver CS","2022","Grants Management","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","Declared non-disabled","Female","70","60","24160","21300"
"Leaver CS","2022","Grants Management","Declared non-disabled","Male","70","70","23730","21300"
"Leaver CS","2022","Human Resources","Declared disabled","Female","60","50","[c]","[c]"
"Leaver CS","2022","Human Resources","Declared disabled","Male","30","30","[c]","[c]"
"Leaver CS","2022","Human Resources","Declared non-disabled","Female","290","260","36540","33000"
"Leaver CS","2022","Human Resources","Declared non-disabled","Male","120","110","36560","33350"
"Leaver CS","2022","Human Resources","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Unknown","Female","100","80","32390","27200"
"Leaver CS","2022","Human Resources","Unknown","Male","60","50","[c]","[c]"
"Leaver CS","2022","Internal Audit","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Declared non-disabled","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Declared non-disabled","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Declared disabled","Female","40","30","[c]","[c]"
"Leaver CS","2022","Legal","Declared disabled","Male","30","30","[c]","[c]"
"Leaver CS","2022","Legal","Declared non-disabled","Female","290","250","46290","50500"
"Leaver CS","2022","Legal","Declared non-disabled","Male","180","170","50990","52500"
"Leaver CS","2022","Legal","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Unknown","Female","120","110","40190","38000"
"Leaver CS","2022","Legal","Unknown","Male","70","70","45210","49100"
"Leaver CS","2022","No function","Declared disabled","Female","1610","1360","28250","27570"
"Leaver CS","2022","No function","Declared disabled","Male","1070","970","29220","27130"
"Leaver CS","2022","No function","Declared non-disabled","Female","8660","7550","30720","27570"
"Leaver CS","2022","No function","Declared non-disabled","Male","6300","5930","32960","27570"
"Leaver CS","2022","No function","Undeclared","Female","620","530","29730","26780"
"Leaver CS","2022","No function","Undeclared","Male","690","610","31470","27570"
"Leaver CS","2022","No function","Unknown","Female","2960","2620","32310","26900"
"Leaver CS","2022","No function","Unknown","Male","2550","2330","33230","27570"
"Leaver CS","2022","Project Delivery","Declared disabled","Female","50","40","[c]","[c]"
"Leaver CS","2022","Project Delivery","Declared disabled","Male","80","70","39500","35810"
"Leaver CS","2022","Project Delivery","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Declared non-disabled","Female","300","270","38250","34290"
"Leaver CS","2022","Project Delivery","Declared non-disabled","Male","560","530","39930","37880"
"Leaver CS","2022","Project Delivery","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Undeclared","Male","50","50","[c]","[c]"
"Leaver CS","2022","Project Delivery","Unknown","Female","100","90","41060","34510"
"Leaver CS","2022","Project Delivery","Unknown","Male","150","140","39110","35480"
"Leaver CS","2022","Property","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Declared non-disabled","Female","150","140","31730","26030"
"Leaver CS","2022","Property","Declared non-disabled","Male","200","190","37650","33300"
"Leaver CS","2022","Property","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Unknown","Female","60","60","24360","22010"
"Leaver CS","2022","Property","Unknown","Male","110","100","29290","25000"
"Leaver CS","2022","Security","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Declared disabled","Male","50","40","[c]","[c]"
"Leaver CS","2022","Security","Declared non-disabled","Female","110","100","30180","26750"
"Leaver CS","2022","Security","Declared non-disabled","Male","350","340","33140","29250"
"Leaver CS","2022","Security","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Undeclared","Male","50","50","[c]","[c]"
"Leaver CS","2022","Security","Unknown","Female","30","30","[c]","[c]"
"Leaver CS","2022","Security","Unknown","Male","200","190","30860","28750"
"Leaver CS","2022","Unknown","Declared disabled","Female","580","460","28820","26160"
"Leaver CS","2022","Unknown","Declared disabled","Male","460","400","30340","26670"
"Leaver CS","2022","Unknown","Declared non-disabled","Female","3320","2740","30350","25630"
"Leaver CS","2022","Unknown","Declared non-disabled","Male","2950","2610","33860","28650"
"Leaver CS","2022","Unknown","Undeclared","Female","250","210","31380","27570"
"Leaver CS","2022","Unknown","Undeclared","Male","270","240","31760","27640"
"Leaver CS","2022","Unknown","Unknown","Female","1780","1500","29790","27570"
"Leaver CS","2022","Unknown","Unknown","Male","1850","1690","33110","28650"
"Leaver Dept.","2021","Analysis","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Female","90","80","40800","35290"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Male","80","80","43160","40100"
"Leaver Dept.","2021","Analysis","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","Male","40","40","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","Female","40","40","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","Male","30","30","[c]","[c]"
"Leaver Dept.","2021","Commercial","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","Female","30","30","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","Female","60","60","41110","36660"
"Leaver Dept.","2021","Communications","Declared non-disabled","Male","50","50","[c]","[c]"
"Leaver Dept.","2021","Communications","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Unknown","Female","50","50","[c]","[c]"
"Leaver Dept.","2021","Communications","Unknown","Male","30","30","[c]","[c]"
"Leaver Dept.","2021","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Declared non-disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Declared non-disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Debt","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Debt","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Debt","Declared non-disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Debt","Declared non-disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Declared non-disabled","Female","60","60","45610","40600"
"Leaver Dept.","2021","Digital, Data & Technology","Declared non-disabled","Male","80","80","46260","40600"
"Leaver Dept.","2021","Digital, Data & Technology","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Unknown","Male","40","40","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Declared non-disabled","Female","70","70","49110","49000"
"Leaver Dept.","2021","Finance","Declared non-disabled","Male","60","60","43740","38700"
"Leaver Dept.","2021","Finance","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Declared non-disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Declared non-disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Declared disabled","Female","30","30","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Declared non-disabled","Female","190","190","37820","32000"
"Leaver Dept.","2021","Human Resources","Declared non-disabled","Male","100","100","37390","33300"
"Leaver Dept.","2021","Human Resources","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Unknown","Female","60","60","42290","37570"
"Leaver Dept.","2021","Human Resources","Unknown","Male","30","30","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Declared non-disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Declared non-disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Declared non-disabled","Female","100","90","44140","38690"
"Leaver Dept.","2021","Legal","Declared non-disabled","Male","50","50","[c]","[c]"
"Leaver Dept.","2021","Legal","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Unknown","Female","30","30","[c]","[c]"
"Leaver Dept.","2021","Legal","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Declared disabled","Female","170","160","35310","32000"
"Leaver Dept.","2021","No function","Declared disabled","Male","140","140","36430","32360"
"Leaver Dept.","2021","No function","Declared non-disabled","Female","1180","1140","38280","32750"
"Leaver Dept.","2021","No function","Declared non-disabled","Male","860","840","40050","34140"
"Leaver Dept.","2021","No function","Undeclared","Female","110","100","33270","32000"
"Leaver Dept.","2021","No function","Undeclared","Male","90","90","38780","33570"
"Leaver Dept.","2021","No function","Unknown","Female","790","770","36650","32000"
"Leaver Dept.","2021","No function","Unknown","Male","680","680","37550","32320"
"Leaver Dept.","2021","Project Delivery","Declared disabled","Female","30","30","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Declared non-disabled","Female","160","160","41160","34510"
"Leaver Dept.","2021","Project Delivery","Declared non-disabled","Male","180","180","40780","37530"
"Leaver Dept.","2021","Project Delivery","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Unknown","Female","50","50","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Unknown","Male","50","50","41570","37910"
"Leaver Dept.","2021","Property","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Declared non-disabled","Female","40","30","[c]","[c]"
"Leaver Dept.","2021","Property","Declared non-disabled","Male","30","30","[c]","[c]"
"Leaver Dept.","2021","Property","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Declared non-disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Declared non-disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","Female","240","220","33980","30200"
"Leaver Dept.","2021","Unknown","Declared disabled","Male","190","180","33950","28760"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Female","1950","1770","34260","29290"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Male","1440","1340","34650","29860"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Female","150","140","36720","31700"
"Leaver Dept.","2021","Unknown","Undeclared","Male","150","140","34180","30830"
"Leaver Dept.","2021","Unknown","Unknown","Female","650","500","32800","28630"
"Leaver Dept.","2021","Unknown","Unknown","Male","600","480","39340","33960"
"Leaver Dept.","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Declared non-disabled","Female","130","120","42490","39440"
"Leaver Dept.","2022","Analysis","Declared non-disabled","Male","140","130","44370","39980"
"Leaver Dept.","2022","Analysis","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Unknown","Female","80","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","Unknown","Male","120","50","[c]","[c]"
"Leaver Dept.","2022","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Declared non-disabled","Female","110","100","40700","37580"
"Leaver Dept.","2022","Commercial","Declared non-disabled","Male","90","90","45630","40960"
"Leaver Dept.","2022","Commercial","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Unknown","Female","130","40","[c]","[c]"
"Leaver Dept.","2022","Commercial","Unknown","Male","100","40","[c]","[c]"
"Leaver Dept.","2022","Communications","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Declared non-disabled","Female","150","140","41090","37060"
"Leaver Dept.","2022","Communications","Declared non-disabled","Male","100","100","43840","37290"
"Leaver Dept.","2022","Communications","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Unknown","Female","110","50","[c]","[c]"
"Leaver Dept.","2022","Communications","Unknown","Male","80","30","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Declared non-disabled","Female","60","50","31230","27570"
"Leaver Dept.","2022","Counter Fraud","Declared non-disabled","Male","50","50","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Debt","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Debt","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Debt","Declared non-disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Debt","Declared non-disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Debt","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Debt","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data & Technology","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data & Technology","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data & Technology","Declared non-disabled","Female","200","190","41880","36940"
"Leaver Dept.","2022","Digital, Data & Technology","Declared non-disabled","Male","240","240","42610","38000"
"Leaver Dept.","2022","Digital, Data & Technology","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data & Technology","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data & Technology","Unknown","Female","110","50","40860","37040"
"Leaver Dept.","2022","Digital, Data & Technology","Unknown","Male","140","100","43040","39630"
"Leaver Dept.","2022","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Declared non-disabled","Female","170","160","41230","36330"
"Leaver Dept.","2022","Finance","Declared non-disabled","Male","160","150","42760","39960"
"Leaver Dept.","2022","Finance","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Undeclared","Male","[c]","[c]","[c]","[c]"
