"Status","Year","Profession_of_post","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Human Resources","Declared disabled","Human Resources","1100","1040","39350","34900"
"In post","2022","Human Resources","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Declared disabled","No function","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Declared disabled","Unknown","110","110","42780","37810"
"In post","2022","Human Resources","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Declared non-disabled","Human Resources","5680","5380","39160","34610"
"In post","2022","Human Resources","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Declared non-disabled","No function","50","50","[c]","[c]"
"In post","2022","Human Resources","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Declared non-disabled","Unknown","610","570","40390","36620"
"In post","2022","Human Resources","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Undeclared","Human Resources","450","430","37740","34260"
"In post","2022","Human Resources","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Human Resources","1230","1180","35940","32560"
"In post","2022","Human Resources","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Unknown","130","130","40050","35050"
"In post","2022","Inspector of Education and Training","Declared disabled","No function","60","60","62130","51360"
"In post","2022","Inspector of Education and Training","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Declared non-disabled","No function","740","730","65690","70500"
"In post","2022","Inspector of Education and Training","Declared non-disabled","Project Delivery","60","50","75040","75480"
"In post","2022","Inspector of Education and Training","Unknown","No function","70","60","59270","51360"
"In post","2022","Inspector of Education and Training","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Declared disabled","No function","50","50","29430","27380"
"In post","2022","Intelligence Analysis","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Declared disabled","Security","100","90","38230","35480"
"In post","2022","Intelligence Analysis","Declared disabled","Unknown","120","110","30260","28760"
"In post","2022","Intelligence Analysis","Declared non-disabled","Analysis","80","80","38630","37350"
"In post","2022","Intelligence Analysis","Declared non-disabled","Counter Fraud","160","150","40090","37610"
"In post","2022","Intelligence Analysis","Declared non-disabled","No function","300","290","30870","28350"
"In post","2022","Intelligence Analysis","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Declared non-disabled","Security","690","670","38920","36140"
"In post","2022","Intelligence Analysis","Declared non-disabled","Unknown","1080","1020","29670","27370"
"In post","2022","Intelligence Analysis","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Undeclared","No function","70","70","31090","28960"
"In post","2022","Intelligence Analysis","Undeclared","Security","90","80","39660","37000"
"In post","2022","Intelligence Analysis","Undeclared","Unknown","100","90","31280","28800"
"In post","2022","Intelligence Analysis","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Unknown","Counter Fraud","60","60","36160","33370"
"In post","2022","Intelligence Analysis","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Unknown","Security","160","150","38790","36210"
"In post","2022","Intelligence Analysis","Unknown","Unknown","110","110","28490","24880"
"In post","2022","Internal Audit","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Declared disabled","Internal Audit","90","80","45230","41040"
"In post","2022","Internal Audit","Declared disabled","No function","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Declared non-disabled","Internal Audit","540","510","46720","43710"
"In post","2022","Internal Audit","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Undeclared","Internal Audit","50","50","52180","49980"
"In post","2022","Internal Audit","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","Internal Audit","50","40","[c]","[c]"
"In post","2022","International Trade","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Declared disabled","No function","130","130","47380","43820"
"In post","2022","International Trade","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Declared non-disabled","No function","870","860","48120","47980"
"In post","2022","International Trade","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Undeclared","No function","50","40","[c]","[c]"
"In post","2022","International Trade","Unknown","No function","590","580","46060","40520"
"In post","2022","International Trade","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Declared disabled","Digital, Data & Technology","130","130","33650","30550"
"In post","2022","Knowledge and Information Management","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Declared disabled","No function","100","100","36160","34200"
"In post","2022","Knowledge and Information Management","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Declared non-disabled","Analysis","30","30","[c]","[c]"
"In post","2022","Knowledge and Information Management","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Declared non-disabled","Communications","80","70","40820","40660"
"In post","2022","Knowledge and Information Management","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Declared non-disabled","Digital, Data & Technology","600","580","32490","29670"
"In post","2022","Knowledge and Information Management","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Declared non-disabled","Legal","60","50","34370","27570"
"In post","2022","Knowledge and Information Management","Declared non-disabled","No function","580","550","35240","31990"
"In post","2022","Knowledge and Information Management","Declared non-disabled","Project Delivery","70","70","41480","38600"
"In post","2022","Knowledge and Information Management","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Declared non-disabled","Security","50","50","[c]","[c]"
"In post","2022","Knowledge and Information Management","Declared non-disabled","Unknown","170","160","38540","37980"
"In post","2022","Knowledge and Information Management","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Undeclared","Digital, Data & Technology","80","80","32330","30570"
"In post","2022","Knowledge and Information Management","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Undeclared","No function","40","30","[c]","[c]"
"In post","2022","Knowledge and Information Management","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Unknown","Digital, Data & Technology","100","100","34310","29200"
"In post","2022","Knowledge and Information Management","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Unknown","No function","100","100","37870","33290"
"In post","2022","Knowledge and Information Management","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Declared disabled","Counter Fraud","240","220","33580","33080"
"In post","2022","Legal","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Declared disabled","Legal","670","620","55770","55610"
"In post","2022","Legal","Declared disabled","No function","130","120","43490","42860"
"In post","2022","Legal","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Declared non-disabled","Counter Fraud","2030","1940","34000","33080"
"In post","2022","Legal","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Declared non-disabled","Legal","5440","5060","56700","55610"
"In post","2022","Legal","Declared non-disabled","No function","940","840","45560","44780"
"In post","2022","Legal","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Declared non-disabled","Unknown","140","130","57970","61440"
"In post","2022","Legal","Undeclared","Counter Fraud","230","220","35440","33370"
"In post","2022","Legal","Undeclared","Legal","220","200","58740","60960"
"In post","2022","Legal","Undeclared","No function","100","90","46570","44780"
"In post","2022","Legal","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Unknown","Counter Fraud","900","870","32800","33080"
"In post","2022","Legal","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Unknown","Legal","1430","1340","53480","53050"
"In post","2022","Legal","Unknown","No function","170","170","36360","34260"
"In post","2022","Legal","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Declared disabled","No function","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Declared disabled","Unknown","90","90","52890","41320"
"In post","2022","Medicine","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Declared non-disabled","No function","320","280","78200","83320"
"In post","2022","Medicine","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Declared non-disabled","Unknown","1190","1050","46730","39030"
"In post","2022","Medicine","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Undeclared","Unknown","80","70","51740","40060"
"In post","2022","Medicine","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Unknown","No function","230","210","92160","87600"
"In post","2022","Medicine","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Unknown","Unknown","490","420","46220","39030"
"In post","2022","Operational Delivery","Declared disabled","Analysis","90","80","36890","34260"
"In post","2022","Operational Delivery","Declared disabled","Commercial","30","30","[c]","[c]"
"In post","2022","Operational Delivery","Declared disabled","Communications","130","120","28760","26820"
"In post","2022","Operational Delivery","Declared disabled","Counter Fraud","470","430","29850","27570"
"In post","2022","Operational Delivery","Declared disabled","Debt","350","300","24510","22080"
"In post","2022","Operational Delivery","Declared disabled","Digital, Data & Technology","60","50","38380","33440"
"In post","2022","Operational Delivery","Declared disabled","Finance","140","110","27060","22080"
"In post","2022","Operational Delivery","Declared disabled","Grants Management","180","160","25350","21300"
"In post","2022","Operational Delivery","Declared disabled","Human Resources","220","210","29820","27570"
"In post","2022","Operational Delivery","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Declared disabled","Legal","400","360","27770","26090"
"In post","2022","Operational Delivery","Declared disabled","No function","26710","23880","27750","27570"
"In post","2022","Operational Delivery","Declared disabled","Project Delivery","200","190","35130","32300"
"In post","2022","Operational Delivery","Declared disabled","Property","100","100","29520","22080"
"In post","2022","Operational Delivery","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Declared disabled","Unknown","2250","2060","28480","25630"
"In post","2022","Operational Delivery","Declared non-disabled","Analysis","510","490","34880","31670"
"In post","2022","Operational Delivery","Declared non-disabled","Commercial","310","300","44240","40150"
"In post","2022","Operational Delivery","Declared non-disabled","Communications","1080","1040","31490","26820"
"In post","2022","Operational Delivery","Declared non-disabled","Counter Fraud","2500","2290","31180","27570"
"In post","2022","Operational Delivery","Declared non-disabled","Debt","1900","1690","25500","22080"
"In post","2022","Operational Delivery","Declared non-disabled","Digital, Data & Technology","350","330","38130","33930"
"In post","2022","Operational Delivery","Declared non-disabled","Finance","940","820","28310","22080"
"In post","2022","Operational Delivery","Declared non-disabled","Grants Management","2080","1920","25020","21300"
"In post","2022","Operational Delivery","Declared non-disabled","Human Resources","1070","1000","30860","27570"
"In post","2022","Operational Delivery","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Declared non-disabled","Legal","2120","1960","27610","26820"
"In post","2022","Operational Delivery","Declared non-disabled","No function","132400","120780","28540","27570"
"In post","2022","Operational Delivery","Declared non-disabled","Project Delivery","1370","1300","37370","34260"
"In post","2022","Operational Delivery","Declared non-disabled","Property","780","730","31670","26030"
"In post","2022","Operational Delivery","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Declared non-disabled","Unknown","20360","18720","29250","26030"
"In post","2022","Operational Delivery","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Undeclared","Communications","70","70","29880","26820"
"In post","2022","Operational Delivery","Undeclared","Counter Fraud","200","190","30740","28920"
"In post","2022","Operational Delivery","Undeclared","Debt","170","150","24720","22080"
"In post","2022","Operational Delivery","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Undeclared","Finance","80","70","29340","22080"
"In post","2022","Operational Delivery","Undeclared","Grants Management","50","40","[c]","[c]"
"In post","2022","Operational Delivery","Undeclared","Human Resources","70","60","28480","27570"
"In post","2022","Operational Delivery","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Undeclared","Legal","40","40","[c]","[c]"
"In post","2022","Operational Delivery","Undeclared","No function","12770","11640","29120","27570"
"In post","2022","Operational Delivery","Undeclared","Project Delivery","60","50","36070","36190"
"In post","2022","Operational Delivery","Undeclared","Property","70","60","31630","26800"
"In post","2022","Operational Delivery","Undeclared","Unknown","1250","1150","30350","27370"
"In post","2022","Operational Delivery","Unknown","Analysis","230","220","35130","30710"
"In post","2022","Operational Delivery","Unknown","Commercial","30","30","[c]","[c]"
"In post","2022","Operational Delivery","Unknown","Communications","530","510","28570","26820"
"In post","2022","Operational Delivery","Unknown","Counter Fraud","730","670","29500","26820"
"In post","2022","Operational Delivery","Unknown","Debt","920","840","24160","21250"
"In post","2022","Operational Delivery","Unknown","Digital, Data & Technology","120","110","37300","33370"
"In post","2022","Operational Delivery","Unknown","Finance","340","300","26270","21680"
"In post","2022","Operational Delivery","Unknown","Human Resources","160","150","27950","26820"
"In post","2022","Operational Delivery","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Unknown","Legal","690","650","25690","24590"
"In post","2022","Operational Delivery","Unknown","No function","33200","30970","29260","26780"
"In post","2022","Operational Delivery","Unknown","Project Delivery","240","220","35200","33080"
"In post","2022","Operational Delivery","Unknown","Property","330","320","24420","22010"
"In post","2022","Operational Delivery","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Unknown","Unknown","3470","3330","26510","24880"
"In post","2022","Operational Research","Declared disabled","Analysis","60","60","43310","41550"
"In post","2022","Operational Research","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Declared disabled","No function","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Declared non-disabled","Analysis","570","540","44770","44220"
"In post","2022","Operational Research","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Declared non-disabled","No function","240","230","45740","47010"
"In post","2022","Operational Research","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Declared non-disabled","Unknown","50","50","51620","47880"
"In post","2022","Operational Research","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Unknown","Analysis","60","60","41800","37930"
"In post","2022","Operational Research","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Unknown","Unknown","30","30","[c]","[c]"
"In post","2022","Other","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Other","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Other","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Other","Declared disabled","Counter Fraud","50","40","36910","34670"
"In post","2022","Other","Declared disabled","Debt","400","330","22520","21260"
"In post","2022","Other","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Other","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Other","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Other","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Other","Declared disabled","Legal","40","30","[c]","[c]"
"In post","2022","Other","Declared disabled","No function","1120","1030","29570","27570"
"In post","2022","Other","Declared disabled","Project Delivery","350","330","32480","29000"
"In post","2022","Other","Declared disabled","Property","50","50","29020","26900"
"In post","2022","Other","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2022","Other","Declared disabled","Unknown","1250","1190","26880","22330"
"In post","2022","Other","Declared non-disabled","Analysis","280","270","58790","52140"
"In post","2022","Other","Declared non-disabled","Commercial","70","60","43530","39880"
"In post","2022","Other","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Other","Declared non-disabled","Counter Fraud","200","180","43690","40180"
"In post","2022","Other","Declared non-disabled","Debt","1890","1610","22680","21260"
"In post","2022","Other","Declared non-disabled","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2022","Other","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Other","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Other","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Other","Declared non-disabled","Legal","330","320","33650","27580"
"In post","2022","Other","Declared non-disabled","No function","5200","4910","32110","27570"
"In post","2022","Other","Declared non-disabled","Project Delivery","2420","2320","35420","30900"
"In post","2022","Other","Declared non-disabled","Property","180","180","27100","22230"
"In post","2022","Other","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"In post","2022","Other","Declared non-disabled","Unknown","8930","8590","28250","24630"
"In post","2022","Other","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Other","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Other","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Other","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Other","Undeclared","Debt","140","120","22230","21260"
"In post","2022","Other","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Other","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Other","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Other","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Other","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Other","Undeclared","No function","290","280","30180","27570"
"In post","2022","Other","Undeclared","Project Delivery","210","200","33660","31980"
"In post","2022","Other","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2022","Other","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2022","Other","Undeclared","Unknown","950","910","27070","22330"
"In post","2022","Other","Unknown","Analysis","80","70","53460","51150"
"In post","2022","Other","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Other","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Other","Unknown","Counter Fraud","60","50","39670","33440"
"In post","2022","Other","Unknown","Debt","80","70","21760","21260"
"In post","2022","Other","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Other","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Other","Unknown","Human Resources","40","40","[c]","[c]"
"In post","2022","Other","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Other","Unknown","Legal","80","70","34590","27710"
"In post","2022","Other","Unknown","No function","890","830","37160","31990"
"In post","2022","Other","Unknown","Project Delivery","410","390","36740","32220"
"In post","2022","Other","Unknown","Property","250","250","30410","29900"
"In post","2022","Other","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2022","Other","Unknown","Unknown","3810","3750","33200","30780"
"In post","2022","Planning","Declared disabled","No function","[c]","[c]","[c]","[c]"
"In post","2022","Planning","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Planning","Declared non-disabled","No function","110","110","46640","41650"
"In post","2022","Planning","Declared non-disabled","Unknown","60","60","44770","38160"
"In post","2022","Planning","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2022","Planning","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Planning","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2022","Planning","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectors","Declared disabled","No function","[c]","[c]","[c]","[c]"
