"Status","Year","Profession_of_post","Responsibility_level","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Geography","AA/AO","White","40","40","[c]","[c]"
"In post","2022","Geography","EO","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Geography","EO","Black","[c]","[c]","[c]","[c]"
"In post","2022","Geography","EO","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Geography","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Geography","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Geography","EO","Unknown","40","40","[c]","[c]"
"In post","2022","Geography","EO","White","110","100","27500","26740"
"In post","2022","Geography","G6/G7","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Geography","G6/G7","Black","[c]","[c]","[c]","[c]"
"In post","2022","Geography","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Geography","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Geography","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Geography","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Geography","G6/G7","White","[c]","[c]","[c]","[c]"
"In post","2022","Geography","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Geography","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2022","Geography","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Geography","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Geography","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Geography","SCS","White","[c]","[c]","[c]","[c]"
"In post","2022","Geography","SEO/HEO","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Geography","SEO/HEO","Black","[c]","[c]","[c]","[c]"
"In post","2022","Geography","SEO/HEO","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Geography","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Geography","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Geography","SEO/HEO","Unknown","60","50","35870","33290"
"In post","2022","Geography","SEO/HEO","White","180","170","35570","33290"
"In post","2022","Human Resources","AA/AO","Asian","60","50","22450","21530"
"In post","2022","Human Resources","AA/AO","Black","30","30","[c]","[c]"
"In post","2022","Human Resources","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","AA/AO","Undeclared","40","40","[c]","[c]"
"In post","2022","Human Resources","AA/AO","Unknown","120","110","21920","21250"
"In post","2022","Human Resources","AA/AO","White","950","870","21860","21380"
"In post","2022","Human Resources","EO","Asian","120","120","28100","27570"
"In post","2022","Human Resources","EO","Black","80","80","28170","27720"
"In post","2022","Human Resources","EO","Mixed","40","40","[c]","[c]"
"In post","2022","Human Resources","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","EO","Undeclared","60","50","28180","27570"
"In post","2022","Human Resources","EO","Unknown","180","170","26910","26820"
"In post","2022","Human Resources","EO","White","1230","1150","27270","26880"
"In post","2022","Human Resources","G6/G7","Asian","100","90","58580","57460"
"In post","2022","Human Resources","G6/G7","Black","50","50","57540","56630"
"In post","2022","Human Resources","G6/G7","Mixed","50","50","57860","57600"
"In post","2022","Human Resources","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","G6/G7","Undeclared","40","40","[c]","[c]"
"In post","2022","Human Resources","G6/G7","Unknown","160","160","58590","57490"
"In post","2022","Human Resources","G6/G7","White","1680","1630","57940","56260"
"In post","2022","Human Resources","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","SCS","White","190","180","87350","80000"
"In post","2022","Human Resources","SEO/HEO","Asian","260","260","36830","36650"
"In post","2022","Human Resources","SEO/HEO","Black","180","170","37250","36370"
"In post","2022","Human Resources","SEO/HEO","Mixed","110","110","37370","37450"
"In post","2022","Human Resources","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","SEO/HEO","Undeclared","140","130","36970","36500"
"In post","2022","Human Resources","SEO/HEO","Unknown","340","330","35910","35900"
"In post","2022","Human Resources","SEO/HEO","White","3240","3080","36520","35980"
"In post","2022","Human Resources","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","White","30","30","[c]","[c]"
"In post","2022","Inspector of Education and Training","G6/G7","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","G6/G7","Black","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","G6/G7","White","500","490","75390","75500"
"In post","2022","Inspector of Education and Training","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","SCS","White","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","SEO/HEO","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","SEO/HEO","Black","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","SEO/HEO","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","SEO/HEO","White","320","310","50470","51360"
"In post","2022","Intelligence Analysis","AA/AO","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","AA/AO","Black","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","AA/AO","White","80","70","22790","21680"
"In post","2022","Intelligence Analysis","EO","Asian","110","110","28360","28850"
"In post","2022","Intelligence Analysis","EO","Black","30","30","[c]","[c]"
"In post","2022","Intelligence Analysis","EO","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","EO","Undeclared","80","70","28250","27870"
"In post","2022","Intelligence Analysis","EO","Unknown","120","120","27250","26680"
"In post","2022","Intelligence Analysis","EO","White","1210","1140","27580","27370"
"In post","2022","Intelligence Analysis","G6/G7","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","G6/G7","Black","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","G6/G7","White","170","170","59850","58350"
"In post","2022","Intelligence Analysis","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","SCS","White","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","SEO/HEO","Asian","50","50","36990","35200"
"In post","2022","Intelligence Analysis","SEO/HEO","Black","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","SEO/HEO","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","SEO/HEO","Undeclared","90","90","37440","37000"
"In post","2022","Intelligence Analysis","SEO/HEO","Unknown","120","110","37950","37640"
"In post","2022","Intelligence Analysis","SEO/HEO","White","970","940","36920","36140"
"In post","2022","Intelligence Analysis","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","AA/AO","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","AA/AO","Black","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","AA/AO","White","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","EO","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","EO","Black","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","EO","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","EO","White","30","30","[c]","[c]"
"In post","2022","Internal Audit","G6/G7","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","G6/G7","Black","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","G6/G7","White","160","160","58540","58910"
"In post","2022","Internal Audit","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","SCS","White","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","SEO/HEO","Asian","60","50","41240","40180"
"In post","2022","Internal Audit","SEO/HEO","Black","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","SEO/HEO","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","SEO/HEO","White","340","320","40170","40080"
"In post","2022","International Trade","AA/AO","Asian","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","AA/AO","Black","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","AA/AO","White","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","EO","Asian","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","EO","Black","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","EO","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","EO","Unknown","30","30","[c]","[c]"
"In post","2022","International Trade","EO","White","50","40","[c]","[c]"
"In post","2022","International Trade","G6/G7","Asian","40","40","[c]","[c]"
"In post","2022","International Trade","G6/G7","Black","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","G6/G7","Unknown","170","170","55220","51970"
"In post","2022","International Trade","G6/G7","White","390","390","56530","54110"
"In post","2022","International Trade","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","SCS","White","70","70","82780","75570"
"In post","2022","International Trade","SEO/HEO","Asian","80","80","36440","36580"
"In post","2022","International Trade","SEO/HEO","Black","40","40","[c]","[c]"
"In post","2022","International Trade","SEO/HEO","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","SEO/HEO","Unknown","210","210","36330","37930"
"In post","2022","International Trade","SEO/HEO","White","360","360","36410","38160"
"In post","2022","Knowledge and Information Management","AA/AO","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","AA/AO","Black","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","AA/AO","Unknown","40","40","[c]","[c]"
"In post","2022","Knowledge and Information Management","AA/AO","White","280","260","22220","21380"
"In post","2022","Knowledge and Information Management","EO","Asian","30","30","[c]","[c]"
"In post","2022","Knowledge and Information Management","EO","Black","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","EO","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","EO","Undeclared","40","40","[c]","[c]"
"In post","2022","Knowledge and Information Management","EO","Unknown","40","40","[c]","[c]"
"In post","2022","Knowledge and Information Management","EO","White","430","410","27530","27570"
"In post","2022","Knowledge and Information Management","G6/G7","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","G6/G7","Black","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","G6/G7","Unknown","30","30","[c]","[c]"
"In post","2022","Knowledge and Information Management","G6/G7","White","240","230","57850","56100"
"In post","2022","Knowledge and Information Management","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","SCS","White","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","SEO/HEO","Asian","50","50","35900","35000"
"In post","2022","Knowledge and Information Management","SEO/HEO","Black","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","SEO/HEO","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","SEO/HEO","Undeclared","60","60","37080","37170"
"In post","2022","Knowledge and Information Management","SEO/HEO","Unknown","90","90","35380","34320"
"In post","2022","Knowledge and Information Management","SEO/HEO","White","790","760","36840","36420"
"In post","2022","Knowledge and Information Management","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Unknown","White","30","30","[c]","[c]"
"In post","2022","Legal","AA/AO","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Legal","AA/AO","Black","[c]","[c]","[c]","[c]"
"In post","2022","Legal","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Legal","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Legal","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Legal","AA/AO","Unknown","50","40","[c]","[c]"
"In post","2022","Legal","AA/AO","White","180","160","22280","22080"
"In post","2022","Legal","EO","Asian","130","130","28880","28440"
"In post","2022","Legal","EO","Black","70","70","29880","31020"
"In post","2022","Legal","EO","Mixed","40","40","[c]","[c]"
"In post","2022","Legal","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Legal","EO","Undeclared","80","70","28900","28040"
"In post","2022","Legal","EO","Unknown","400","380","28280","26820"
"In post","2022","Legal","EO","White","1140","1080","28140","26820"
"In post","2022","Legal","G6/G7","Asian","590","550","57490","54400"
"In post","2022","Legal","G6/G7","Black","240","240","59030","57570"
"In post","2022","Legal","G6/G7","Mixed","180","160","58730","56960"
"In post","2022","Legal","G6/G7","Other ethnicity","60","50","59050","59550"
"In post","2022","Legal","G6/G7","Undeclared","200","190","61310","61440"
"In post","2022","Legal","G6/G7","Unknown","700","650","60550","59340"
"In post","2022","Legal","G6/G7","White","4300","3960","59480","58040"
"In post","2022","Legal","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Legal","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2022","Legal","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Legal","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Legal","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Legal","SCS","Unknown","40","40","[c]","[c]"
"In post","2022","Legal","SCS","White","300","290","87850","82750"
"In post","2022","Legal","SEO/HEO","Asian","300","280","39180","38590"
"In post","2022","Legal","SEO/HEO","Black","150","140","39410","39470"
"In post","2022","Legal","SEO/HEO","Mixed","60","60","39150","38000"
"In post","2022","Legal","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Legal","SEO/HEO","Undeclared","190","180","39790","39480"
"In post","2022","Legal","SEO/HEO","Unknown","560","550","37170","37230"
"In post","2022","Legal","SEO/HEO","White","2600","2430","40000","38710"
"In post","2022","Legal","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","AA/AO","Asian","30","30","[c]","[c]"
"In post","2022","Medicine","AA/AO","Black","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","AA/AO","Unknown","100","90","21170","20770"
"In post","2022","Medicine","AA/AO","White","210","190","23130","23280"
"In post","2022","Medicine","EO","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","EO","Black","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","EO","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","EO","Unknown","40","30","[c]","[c]"
"In post","2022","Medicine","EO","White","250","220","31880","31530"
"In post","2022","Medicine","G6/G7","Asian","70","60","74890","74070"
"In post","2022","Medicine","G6/G7","Black","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","G6/G7","Unknown","130","100","72750","76700"
"In post","2022","Medicine","G6/G7","White","490","420","74120","75970"
"In post","2022","Medicine","SCS","Asian","60","50","107960","107700"
"In post","2022","Medicine","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","SCS","Unknown","30","30","[c]","[c]"
"In post","2022","Medicine","SCS","White","210","180","106460","101430"
"In post","2022","Medicine","SEO/HEO","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","SEO/HEO","Black","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","SEO/HEO","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","SEO/HEO","Unknown","110","90","39210","39030"
"In post","2022","Medicine","SEO/HEO","White","580","530","40210","39030"
"In post","2022","Operational Delivery","AA/AO","Asian","6510","5710","22670","21260"
"In post","2022","Operational Delivery","AA/AO","Black","3310","3060","24870","24080"
"In post","2022","Operational Delivery","AA/AO","Mixed","1580","1450","23740","21680"
"In post","2022","Operational Delivery","AA/AO","Other ethnicity","440","400","24300","23140"
"In post","2022","Operational Delivery","AA/AO","Undeclared","3430","3020","22840","21490"
"In post","2022","Operational Delivery","AA/AO","Unknown","17040","15700","22830","21680"
"In post","2022","Operational Delivery","AA/AO","White","70850","62620","22940","21440"
"In post","2022","Operational Delivery","EO","Asian","7350","6810","28450","27570"
"In post","2022","Operational Delivery","EO","Black","3850","3660","29470","29290"
"In post","2022","Operational Delivery","EO","Mixed","1510","1420","28520","27570"
"In post","2022","Operational Delivery","EO","Other ethnicity","470","440","28880","28310"
"In post","2022","Operational Delivery","EO","Undeclared","3770","3440","28630","27570"
"In post","2022","Operational Delivery","EO","Unknown","9430","8900","28320","27570"
"In post","2022","Operational Delivery","EO","White","58860","53590","27940","27570"
"In post","2022","Operational Delivery","G6/G7","Asian","340","330","57800","55140"
"In post","2022","Operational Delivery","G6/G7","Black","150","150","57870","54850"
"In post","2022","Operational Delivery","G6/G7","Mixed","120","110","60620","57650"
"In post","2022","Operational Delivery","G6/G7","Other ethnicity","40","40","[c]","[c]"
"In post","2022","Operational Delivery","G6/G7","Undeclared","310","310","59750","57500"
"In post","2022","Operational Delivery","G6/G7","Unknown","970","950","58060","55210"
"In post","2022","Operational Delivery","G6/G7","White","6110","5950","58770","55330"
"In post","2022","Operational Delivery","SCS","Asian","30","30","[c]","[c]"
"In post","2022","Operational Delivery","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","SCS","Unknown","140","140","91970","80320"
"In post","2022","Operational Delivery","SCS","White","650","630","91280","83790"
"In post","2022","Operational Delivery","SEO/HEO","Asian","2450","2350","37000","35200"
"In post","2022","Operational Delivery","SEO/HEO","Black","1110","1080","37660","36300"
"In post","2022","Operational Delivery","SEO/HEO","Mixed","630","610","37500","36310"
"In post","2022","Operational Delivery","SEO/HEO","Other ethnicity","210","200","38520","36650"
"In post","2022","Operational Delivery","SEO/HEO","Undeclared","1710","1620","37350","35920"
"In post","2022","Operational Delivery","SEO/HEO","Unknown","3600","3450","36440","34500"
"In post","2022","Operational Delivery","SEO/HEO","White","28530","27140","36960","35510"
"In post","2022","Operational Delivery","Unknown","Asian","750","700","29320","27980"
"In post","2022","Operational Delivery","Unknown","Black","1170","1130","31520","28690"
"In post","2022","Operational Delivery","Unknown","Mixed","530","500","30640","28200"
"In post","2022","Operational Delivery","Unknown","Other ethnicity","100","100","31220","29080"
"In post","2022","Operational Delivery","Unknown","Undeclared","470","430","32180","32090"
"In post","2022","Operational Delivery","Unknown","Unknown","3620","3260","28250","26310"
"In post","2022","Operational Delivery","Unknown","White","12820","11920","30440","28200"
