"Status","Year","Sexual_orientation","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Undeclared","Project Delivery","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","East of England","70","60","39400","35480"
"In post","2021","Undeclared","Project Delivery","London","330","320","52460","51440"
"In post","2021","Undeclared","Project Delivery","North East (England)","60","50","37830","38630"
"In post","2021","Undeclared","Project Delivery","North West (England)","110","110","39160","35450"
"In post","2021","Undeclared","Project Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Scotland","60","60","42120","38630"
"In post","2021","Undeclared","Project Delivery","South East (England)","170","170","40120","38030"
"In post","2021","Undeclared","Project Delivery","South West (England)","490","470","43570","40680"
"In post","2021","Undeclared","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Wales","40","40","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","West Midlands (England)","50","50","39360","38630"
"In post","2021","Undeclared","Project Delivery","Yorkshire and The Humber","50","50","[c]","[c]"
"In post","2021","Undeclared","Property","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","Undeclared","Property","East of England","60","50","35180","33300"
"In post","2021","Undeclared","Property","London","140","130","44470","38430"
"In post","2021","Undeclared","Property","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Property","North West (England)","40","40","[c]","[c]"
"In post","2021","Undeclared","Property","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Property","Scotland","60","60","36420","33300"
"In post","2021","Undeclared","Property","South East (England)","110","110","35690","33460"
"In post","2021","Undeclared","Property","South West (England)","90","90","36640","33490"
"In post","2021","Undeclared","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Property","Wales","50","50","32030","27270"
"In post","2021","Undeclared","Property","West Midlands (England)","50","50","36750","33250"
"In post","2021","Undeclared","Property","Yorkshire and The Humber","60","50","35220","32110"
"In post","2021","Undeclared","Psychology","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Psychology","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Psychology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Psychology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Psychology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Psychology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Psychology","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Psychology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Psychology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Science and Engineering","East Midlands (England)","80","80","42670","39390"
"In post","2021","Undeclared","Science and Engineering","East of England","100","90","37090","35370"
"In post","2021","Undeclared","Science and Engineering","London","130","120","49410","44730"
"In post","2021","Undeclared","Science and Engineering","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Science and Engineering","North West (England)","50","50","37720","37580"
"In post","2021","Undeclared","Science and Engineering","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Science and Engineering","Scotland","40","30","[c]","[c]"
"In post","2021","Undeclared","Science and Engineering","South East (England)","220","210","41000","39750"
"In post","2021","Undeclared","Science and Engineering","South West (England)","640","610","40110","40000"
"In post","2021","Undeclared","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Science and Engineering","Wales","210","200","31870","28750"
"In post","2021","Undeclared","Science and Engineering","West Midlands (England)","40","40","[c]","[c]"
"In post","2021","Undeclared","Science and Engineering","Yorkshire and The Humber","50","40","[c]","[c]"
"In post","2021","Undeclared","Security","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Security","East of England","70","70","35990","39070"
"In post","2021","Undeclared","Security","London","130","130","42860","42320"
"In post","2021","Undeclared","Security","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Security","North West (England)","30","30","[c]","[c]"
"In post","2021","Undeclared","Security","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Security","Scotland","130","130","34950","39070"
"In post","2021","Undeclared","Security","South East (England)","190","180","34920","39070"
"In post","2021","Undeclared","Security","South West (England)","160","160","30740","32830"
"In post","2021","Undeclared","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Security","Wales","50","50","28630","25390"
"In post","2021","Undeclared","Security","West Midlands (England)","40","40","[c]","[c]"
"In post","2021","Undeclared","Security","Yorkshire and The Humber","60","60","37490","39070"
"In post","2021","Undeclared","Social Research","London","30","30","[c]","[c]"
"In post","2021","Undeclared","Social Research","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Social Research","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Social Research","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Social Research","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Statistics","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Statistics","London","60","60","45230","41760"
"In post","2021","Undeclared","Statistics","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Statistics","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Statistics","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Statistics","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Statistics","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Statistics","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Statistics","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Tax","East Midlands (England)","120","110","37340","31870"
"In post","2021","Undeclared","Tax","East of England","30","30","[c]","[c]"
"In post","2021","Undeclared","Tax","London","210","190","44330","39800"
"In post","2021","Undeclared","Tax","North East (England)","110","100","35910","31810"
"In post","2021","Undeclared","Tax","North West (England)","230","210","38030","32280"
"In post","2021","Undeclared","Tax","Northern Ireland","30","30","[c]","[c]"
"In post","2021","Undeclared","Tax","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Tax","Scotland","150","130","36400","31810"
"In post","2021","Undeclared","Tax","South East (England)","80","70","35420","31870"
"In post","2021","Undeclared","Tax","South West (England)","60","60","41720","35000"
"In post","2021","Undeclared","Tax","Wales","90","90","34240","31810"
"In post","2021","Undeclared","Tax","West Midlands (England)","100","90","39440","35000"
"In post","2021","Undeclared","Tax","Yorkshire and The Humber","120","110","35520","31810"
"In post","2021","Undeclared","Unknown","East Midlands (England)","410","360","25910","27570"
"In post","2021","Undeclared","Unknown","East of England","380","340","28410","27570"
"In post","2021","Undeclared","Unknown","London","1280","1210","39340","31880"
"In post","2021","Undeclared","Unknown","North East (England)","710","630","26890","26120"
"In post","2021","Undeclared","Unknown","North West (England)","1420","1270","26990","27570"
"In post","2021","Undeclared","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Overseas","40","40","[c]","[c]"
"In post","2021","Undeclared","Unknown","Scotland","1250","1150","31300","27570"
"In post","2021","Undeclared","Unknown","South East (England)","610","550","27800","27570"
"In post","2021","Undeclared","Unknown","South West (England)","620","550","28460","27570"
"In post","2021","Undeclared","Unknown","Unknown","90","80","30510","27570"
"In post","2021","Undeclared","Unknown","Wales","460","410","25360","27570"
"In post","2021","Undeclared","Unknown","West Midlands (England)","630","550","25840","27570"
"In post","2021","Undeclared","Unknown","Yorkshire and The Humber","780","690","28830","27570"
"In post","2021","Undeclared","Veterinarian","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Veterinarian","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Veterinarian","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Veterinarian","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Veterinarian","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Veterinarian","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Veterinarian","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Veterinarian","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Veterinarian","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Veterinarian","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Veterinarian","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","East of England","40","40","[c]","[c]"
"In post","2021","Unknown","Commercial","London","200","190","46890","40650"
"In post","2021","Unknown","Commercial","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","North West (England)","90","90","34430","34800"
"In post","2021","Unknown","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","Scotland","80","80","31510","26120"
"In post","2021","Unknown","Commercial","South East (England)","30","30","[c]","[c]"
"In post","2021","Unknown","Commercial","South West (England)","320","300","40750","38300"
"In post","2021","Unknown","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","West Midlands (England)","40","40","[c]","[c]"
"In post","2021","Unknown","Commercial","Yorkshire and The Humber","70","70","39760","36800"
"In post","2021","Unknown","Communications","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","London","540","530","45480","41760"
"In post","2021","Unknown","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","South East (England)","50","50","34820","33300"
"In post","2021","Unknown","Communications","South West (England)","70","70","38300","37320"
"In post","2021","Unknown","Communications","Wales","40","40","[c]","[c]"
"In post","2021","Unknown","Communications","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Yorkshire and The Humber","40","40","[c]","[c]"
"In post","2021","Unknown","Corporate Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Corporate Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Corporate Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Corporate Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Corporate Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Corporate Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","London","100","100","44970","40350"
"In post","2021","Unknown","Counter Fraud","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Digital, Data and Technology","East Midlands (England)","60","60","36860","32010"
"In post","2021","Unknown","Digital, Data and Technology","East of England","140","130","35340","31810"
"In post","2021","Unknown","Digital, Data and Technology","London","760","760","48560","44950"
"In post","2021","Unknown","Digital, Data and Technology","North East (England)","160","160","37810","36510"
"In post","2021","Unknown","Digital, Data and Technology","North West (England)","190","180","37990","36000"
"In post","2021","Unknown","Digital, Data and Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Digital, Data and Technology","Scotland","180","180","39420","36980"
"In post","2021","Unknown","Digital, Data and Technology","South East (England)","150","150","38100","33960"
"In post","2021","Unknown","Digital, Data and Technology","South West (England)","700","680","37090","34980"
"In post","2021","Unknown","Digital, Data and Technology","Wales","420","410","38390","36030"
"In post","2021","Unknown","Digital, Data and Technology","West Midlands (England)","240","230","41540","38630"
"In post","2021","Unknown","Digital, Data and Technology","Yorkshire and The Humber","190","180","41330","38630"
"In post","2021","Unknown","Economics","London","380","380","46930","40650"
"In post","2021","Unknown","Economics","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Economics","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Economics","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Economics","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Economics","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Economics","Wales","50","50","[c]","[c]"
"In post","2021","Unknown","Economics","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Economics","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Finance","East of England","60","50","30360","25560"
"In post","2021","Unknown","Finance","London","420","410","45830","40650"
"In post","2021","Unknown","Finance","North East (England)","60","60","39690","35010"
"In post","2021","Unknown","Finance","North West (England)","80","80","35420","31810"
"In post","2021","Unknown","Finance","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Finance","Scotland","190","160","28100","21440"
"In post","2021","Unknown","Finance","South East (England)","80","80","35010","32760"
"In post","2021","Unknown","Finance","South West (England)","120","120","38460","33900"
"In post","2021","Unknown","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Finance","Wales","70","70","34610","28850"
"In post","2021","Unknown","Finance","West Midlands (England)","110","110","42570","38590"
"In post","2021","Unknown","Finance","Yorkshire and The Humber","210","190","31160","27380"
"In post","2021","Unknown","Human Resources","East Midlands (England)","60","60","35550","31810"
"In post","2021","Unknown","Human Resources","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","London","260","250","42630","37170"
"In post","2021","Unknown","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","North West (England)","130","120","32060","28710"
"In post","2021","Unknown","Human Resources","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","Scotland","90","80","29970","26050"
"In post","2021","Unknown","Human Resources","South East (England)","40","30","[c]","[c]"
"In post","2021","Unknown","Human Resources","South West (England)","140","130","34740","32790"
"In post","2021","Unknown","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","Wales","80","70","33100","29540"
"In post","2021","Unknown","Human Resources","West Midlands (England)","40","40","[c]","[c]"
"In post","2021","Unknown","Human Resources","Yorkshire and The Humber","40","40","[c]","[c]"
"In post","2021","Unknown","Inspector of Education and Training","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inspector of Education and Training","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inspector of Education and Training","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inspector of Education and Training","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inspector of Education and Training","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inspector of Education and Training","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inspector of Education and Training","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","London","220","210","48170","53360"
"In post","2021","Unknown","Intelligence Analysis","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","International Trade","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","International Trade","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","International Trade","London","360","360","45260","39590"
"In post","2021","Unknown","International Trade","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","International Trade","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","International Trade","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","International Trade","Overseas","50","50","[c]","[c]"
"In post","2021","Unknown","International Trade","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","International Trade","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","International Trade","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","International Trade","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","International Trade","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","London","150","140","39640","36590"
"In post","2021","Unknown","Knowledge and Information Management","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","South West (England)","50","50","33040","32260"
"In post","2021","Unknown","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","East Midlands (England)","130","120","39890","34480"
"In post","2021","Unknown","Legal","East of England","170","150","36930","28130"
"In post","2021","Unknown","Legal","London","1220","1140","54680","56140"
"In post","2021","Unknown","Legal","North East (England)","80","80","39820","32860"
"In post","2021","Unknown","Legal","North West (England)","320","310","40750","34480"
"In post","2021","Unknown","Legal","Northern Ireland","50","40","[c]","[c]"
"In post","2021","Unknown","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","Scotland","120","110","46830","52490"
"In post","2021","Unknown","Legal","South East (England)","180","170","46460","45100"
"In post","2021","Unknown","Legal","South West (England)","140","130","44020","42680"
"In post","2021","Unknown","Legal","Wales","110","100","44340","50120"
"In post","2021","Unknown","Legal","West Midlands (England)","170","160","44870","46530"
"In post","2021","Unknown","Legal","Yorkshire and The Humber","240","220","47060","53490"
"In post","2021","Unknown","Medicine","East Midlands (England)","40","30","[c]","[c]"
"In post","2021","Unknown","Medicine","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","London","120","110","83400","76160"
"In post","2021","Unknown","Medicine","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","South East (England)","80","70","50520","38190"
"In post","2021","Unknown","Medicine","South West (England)","120","100","42660","30620"
"In post","2021","Unknown","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","West Midlands (England)","30","30","[c]","[c]"
"In post","2021","Unknown","Medicine","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Delivery","East Midlands (England)","2000","1830","25960","24440"
"In post","2021","Unknown","Operational Delivery","East of England","1630","1510","27500","25850"
"In post","2021","Unknown","Operational Delivery","London","4520","4300","33380","30150"
"In post","2021","Unknown","Operational Delivery","North East (England)","3720","3180","24230","21440"
"In post","2021","Unknown","Operational Delivery","North West (England)","5330","4790","25720","22850"
"In post","2021","Unknown","Operational Delivery","Northern Ireland","440","400","23990","21440"
"In post","2021","Unknown","Operational Delivery","Overseas","40","40","[c]","[c]"
"In post","2021","Unknown","Operational Delivery","Scotland","4660","4300","27470","25870"
"In post","2021","Unknown","Operational Delivery","South East (England)","3190","2880","27770","26520"
"In post","2021","Unknown","Operational Delivery","South West (England)","2020","1850","28880","26290"
"In post","2021","Unknown","Operational Delivery","Unknown","40","40","[c]","[c]"
"In post","2021","Unknown","Operational Delivery","Wales","3310","2960","24920","22350"
"In post","2021","Unknown","Operational Delivery","West Midlands (England)","2640","2450","26760","24250"
"In post","2021","Unknown","Operational Delivery","Yorkshire and The Humber","2680","2470","26140","24250"
"In post","2021","Unknown","Operational Research","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Research","London","60","60","45140","40480"
"In post","2021","Unknown","Operational Research","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Research","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Research","South East (England)","50","50","[c]","[c]"
"In post","2021","Unknown","Operational Research","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Research","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Research","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Research","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","Unknown","Other","East of England","130","130","25710","21580"
"In post","2021","Unknown","Other","London","910","870","42930","35020"
"In post","2021","Unknown","Other","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","North West (England)","70","60","30690","25880"
"In post","2021","Unknown","Other","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","Overseas","230","230","47740","46620"
"In post","2021","Unknown","Other","Scotland","620","570","31830","28870"
"In post","2021","Unknown","Other","South East (England)","220","210","29530","25670"
"In post","2021","Unknown","Other","South West (England)","330","310","29660","25880"
"In post","2021","Unknown","Other","Unknown","1830","1830","37620","34460"
"In post","2021","Unknown","Other","Wales","50","40","[c]","[c]"
"In post","2021","Unknown","Other","West Midlands (England)","80","80","25330","20920"
"In post","2021","Unknown","Other","Yorkshire and The Humber","90","90","26040","24880"
"In post","2021","Unknown","Planning","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Planning","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Planning","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Planning Inspectors","South West (England)","40","30","[c]","[c]"
"In post","2021","Unknown","Policy","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Policy","East of England","40","40","[c]","[c]"
"In post","2021","Unknown","Policy","London","3530","3440","47750","42570"
"In post","2021","Unknown","Policy","North East (England)","40","40","[c]","[c]"
"In post","2021","Unknown","Policy","North West (England)","130","130","39480","36660"
"In post","2021","Unknown","Policy","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Policy","Overseas","230","230","53990","54080"
"In post","2021","Unknown","Policy","Scotland","70","70","40930","33930"
"In post","2021","Unknown","Policy","South East (England)","50","40","[c]","[c]"
"In post","2021","Unknown","Policy","South West (England)","100","90","39870","36620"
"In post","2021","Unknown","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Policy","Wales","90","90","43490","39280"
"In post","2021","Unknown","Policy","West Midlands (England)","130","120","40780","36500"
"In post","2021","Unknown","Policy","Yorkshire and The Humber","410","400","41740","36820"
"In post","2021","Unknown","Project Delivery","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","Unknown","Project Delivery","East of England","70","70","38890","38510"
"In post","2021","Unknown","Project Delivery","London","530","520","47580","41950"
"In post","2021","Unknown","Project Delivery","North East (England)","190","180","39670","38630"
"In post","2021","Unknown","Project Delivery","North West (England)","200","200","38270","36520"
