"Status","Year","Profession_of_post","Function_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Communications","Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Human Resources","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Human Resources","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Human Resources","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Human Resources","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Legal","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Legal","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Legal","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Legal","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Legal","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Communications","No function","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Communications","No function","20-29","70","60","35650","32940"
"In post","2022","Communications","No function","30-39","50","50","39960","36640"
"In post","2022","Communications","No function","40-49","80","70","45790","42850"
"In post","2022","Communications","No function","50-59","50","50","[c]","[c]"
"In post","2022","Communications","No function","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Property","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Property","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Property","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Property","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","20-29","60","60","37670","36850"
"In post","2022","Communications","Unknown","30-39","120","110","46340","44200"
"In post","2022","Communications","Unknown","40-49","100","90","46510","45210"
"In post","2022","Communications","Unknown","50-59","50","50","[c]","[c]"
"In post","2022","Communications","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Analysis","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Commercial","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Commercial","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Commercial","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Finance","30-39","30","30","[c]","[c]"
"In post","2022","Corporate Finance","Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Human Resources","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","No function","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","No function","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","No function","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","No function","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Counter Fraud","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Counter Fraud","20-29","630","630","27390","27570"
"In post","2022","Counter Fraud","Counter Fraud","30-39","840","790","29160","27570"
"In post","2022","Counter Fraud","Counter Fraud","40-49","1360","1260","29780","27570"
"In post","2022","Counter Fraud","Counter Fraud","50-59","2440","2260","29730","27570"
"In post","2022","Counter Fraud","Counter Fraud","60-64","810","610","28830","27570"
"In post","2022","Counter Fraud","Counter Fraud","65+","300","210","28730","27570"
"In post","2022","Counter Fraud","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","No function","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","No function","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","No function","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","No function","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","30-39","40","40","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","40-49","60","50","28360","25310"
"In post","2022","Counter Fraud","Unknown","50-59","50","40","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Analysis","20-29","50","50","[c]","[c]"
"In post","2022","Digital, Data and Technology","Analysis","30-39","50","50","[c]","[c]"
"In post","2022","Digital, Data and Technology","Analysis","40-49","50","50","[c]","[c]"
"In post","2022","Digital, Data and Technology","Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Analysis","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Analysis","65+","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Commercial","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Commercial","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Commercial","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Commercial","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Communications","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Digital, Data & Technology","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Digital, Data & Technology","20-29","2470","2460","33390","32260"
"In post","2022","Digital, Data and Technology","Digital, Data & Technology","30-39","4000","3930","41270","38550"
"In post","2022","Digital, Data and Technology","Digital, Data & Technology","40-49","4770","4670","44580","40580"
"In post","2022","Digital, Data and Technology","Digital, Data & Technology","50-59","4820","4710","43090","40000"
"In post","2022","Digital, Data and Technology","Digital, Data & Technology","60-64","1010","880","39920","36460"
"In post","2022","Digital, Data and Technology","Digital, Data & Technology","65+","290","240","37570","34090"
"In post","2022","Digital, Data and Technology","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Finance","20-29","50","50","33610","30500"
"In post","2022","Digital, Data and Technology","Finance","30-39","50","50","37140","36500"
"In post","2022","Digital, Data and Technology","Finance","40-49","70","70","41870","39200"
"In post","2022","Digital, Data and Technology","Finance","50-59","60","50","42580","39860"
"In post","2022","Digital, Data and Technology","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Human Resources","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Human Resources","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Human Resources","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Human Resources","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Legal","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Legal","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Legal","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","No function","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","No function","20-29","40","40","[c]","[c]"
"In post","2022","Digital, Data and Technology","No function","30-39","50","50","43550","41990"
"In post","2022","Digital, Data and Technology","No function","40-49","30","30","[c]","[c]"
"In post","2022","Digital, Data and Technology","No function","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","No function","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","No function","65+","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Project Delivery","30-39","40","40","[c]","[c]"
"In post","2022","Digital, Data and Technology","Project Delivery","40-49","30","30","[c]","[c]"
"In post","2022","Digital, Data and Technology","Project Delivery","50-59","40","40","[c]","[c]"
"In post","2022","Digital, Data and Technology","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Property","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Property","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Property","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Property","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Property","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Security","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Security","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Security","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Security","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Security","65+","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","20-29","280","280","37520","36550"
"In post","2022","Digital, Data and Technology","Unknown","30-39","450","440","46450","42170"
"In post","2022","Digital, Data and Technology","Unknown","40-49","530","520","51830","52050"
"In post","2022","Digital, Data and Technology","Unknown","50-59","480","480","53090","52050"
"In post","2022","Digital, Data and Technology","Unknown","60-64","90","90","53110","47850"
"In post","2022","Digital, Data and Technology","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Analysis","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Analysis","20-29","810","810","37680","34260"
"In post","2022","Economics","Analysis","30-39","310","290","56630","55410"
"In post","2022","Economics","Analysis","40-49","150","140","64010","60940"
"In post","2022","Economics","Analysis","50-59","80","70","72590","68050"
"In post","2022","Economics","Analysis","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Analysis","65+","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Human Resources","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Economics","No function","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Economics","No function","20-29","200","200","39630","34710"
"In post","2022","Economics","No function","30-39","120","120","56340","57850"
"In post","2022","Economics","No function","40-49","40","40","[c]","[c]"
"In post","2022","Economics","No function","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Economics","No function","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Economics","No function","65+","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Project Delivery","30-39","40","40","[c]","[c]"
"In post","2022","Economics","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","20-29","140","140","39300","35050"
"In post","2022","Economics","Unknown","30-39","30","30","[c]","[c]"
"In post","2022","Economics","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Analysis","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Analysis","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Analysis","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Analysis","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Commercial","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Commercial","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Commercial","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Commercial","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Commercial","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Communications","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Debt","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Debt","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Digital, Data & Technology","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Digital, Data & Technology","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Digital, Data & Technology","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Finance","16-19","30","30","[c]","[c]"
"In post","2022","Finance","Finance","20-29","1280","1260","33050","30450"
"In post","2022","Finance","Finance","30-39","1830","1760","41470","38330"
"In post","2022","Finance","Finance","40-49","2380","2290","43520","40080"
"In post","2022","Finance","Finance","50-59","2650","2560","42860","39020"
"In post","2022","Finance","Finance","60-64","590","510","39420","35980"
"In post","2022","Finance","Finance","65+","160","140","36550","33100"
"In post","2022","Finance","Grants Management","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Grants Management","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Grants Management","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Human Resources","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Human Resources","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Human Resources","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Legal","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Legal","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Legal","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Legal","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Legal","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Legal","65+","[c]","[c]","[c]","[c]"
"In post","2022","Finance","No function","20-29","30","30","[c]","[c]"
"In post","2022","Finance","No function","30-39","50","50","[c]","[c]"
"In post","2022","Finance","No function","40-49","40","40","[c]","[c]"
"In post","2022","Finance","No function","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Finance","No function","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Finance","No function","65+","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Project Delivery","20-29","40","40","[c]","[c]"
"In post","2022","Finance","Project Delivery","30-39","60","50","44490","45000"
"In post","2022","Finance","Project Delivery","40-49","60","60","47710","46000"
"In post","2022","Finance","Project Delivery","50-59","60","60","57700","56270"
"In post","2022","Finance","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Property","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Property","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Property","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Property","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Property","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","20-29","210","210","32330","30200"
"In post","2022","Finance","Unknown","30-39","450","430","38790","33300"
"In post","2022","Finance","Unknown","40-49","630","610","38940","33300"
"In post","2022","Finance","Unknown","50-59","1050","1030","39260","33630"
"In post","2022","Finance","Unknown","60-64","270","260","36290","33300"
"In post","2022","Finance","Unknown","65+","110","100","36060","33300"
"In post","2022","Geography","Analysis","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Analysis","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Analysis","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Analysis","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Geography","No function","20-29","110","110","25600","26740"
"In post","2022","Geography","No function","30-39","100","100","32700","33290"
"In post","2022","Geography","No function","40-49","90","80","33720","33290"
"In post","2022","Geography","No function","50-59","90","80","34060","33290"
"In post","2022","Geography","No function","60-64","30","30","[c]","[c]"
"In post","2022","Geography","No function","65+","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Analysis","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Analysis","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Analysis","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Commercial","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Commercial","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Commercial","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Commercial","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Communications","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Digital, Data & Technology","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Digital, Data & Technology","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Human Resources","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Human Resources","20-29","1160","1150","31430","29370"
"In post","2022","Human Resources","Human Resources","30-39","1870","1780","37680","33380"
"In post","2022","Human Resources","Human Resources","40-49","2180","2060","41880","37900"
"In post","2022","Human Resources","Human Resources","50-59","2540","2440","40690","36740"
"In post","2022","Human Resources","Human Resources","60-64","560","480","36460","33300"
"In post","2022","Human Resources","Human Resources","65+","130","100","34270","31270"
"In post","2022","Human Resources","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Legal","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Legal","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Legal","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Legal","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Legal","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","No function","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","No function","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","No function","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","No function","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","No function","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Property","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Property","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Property","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Property","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Property","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Security","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Security","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Security","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","20-29","110","110","33370","30820"
"In post","2022","Human Resources","Unknown","30-39","200","190","38440","35070"
"In post","2022","Human Resources","Unknown","40-49","250","230","43900","38020"
"In post","2022","Human Resources","Unknown","50-59","250","240","42620","38160"
"In post","2022","Human Resources","Unknown","60-64","50","40","39110","37030"
"In post","2022","Human Resources","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","No function","30-39","100","100","58060","51360"
"In post","2022","Inspector of Education and Training","No function","40-49","290","290","64260","64500"
"In post","2022","Inspector of Education and Training","No function","50-59","380","370","65780","70500"
"In post","2022","Inspector of Education and Training","No function","60-64","90","80","70050","75500"
"In post","2022","Inspector of Education and Training","No function","65+","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Project Delivery","50-59","30","30","[c]","[c]"
"In post","2022","Inspector of Education and Training","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Analysis","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Analysis","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Analysis","40-49","30","30","[c]","[c]"
"In post","2022","Intelligence Analysis","Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Analysis","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Analysis","65+","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Counter Fraud","20-29","60","60","33960","33080"
"In post","2022","Intelligence Analysis","Counter Fraud","30-39","80","80","38570","37770"
"In post","2022","Intelligence Analysis","Counter Fraud","40-49","60","60","42200","40520"
"In post","2022","Intelligence Analysis","Counter Fraud","50-59","40","40","[c]","[c]"
"In post","2022","Intelligence Analysis","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","No function","20-29","70","60","27770","26330"
"In post","2022","Intelligence Analysis","No function","30-39","140","130","30920","27380"
"In post","2022","Intelligence Analysis","No function","40-49","90","90","32210","28640"
"In post","2022","Intelligence Analysis","No function","50-59","130","120","31410","28640"
"In post","2022","Intelligence Analysis","No function","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","No function","65+","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Security","20-29","250","250","33270","33000"
"In post","2022","Intelligence Analysis","Security","30-39","270","260","40110","37560"
"In post","2022","Intelligence Analysis","Security","40-49","190","180","43690","40580"
"In post","2022","Intelligence Analysis","Security","50-59","230","230","39750","36420"
"In post","2022","Intelligence Analysis","Security","60-64","60","50","39410","35380"
"In post","2022","Intelligence Analysis","Security","65+","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Unknown","20-29","100","100","27070","24890"
"In post","2022","Intelligence Analysis","Unknown","30-39","330","310","29240","27370"
"In post","2022","Intelligence Analysis","Unknown","40-49","410","390","30340","28650"
"In post","2022","Intelligence Analysis","Unknown","50-59","460","440","30280","27370"
"In post","2022","Intelligence Analysis","Unknown","60-64","80","70","29380","27370"
"In post","2022","Intelligence Analysis","Unknown","65+","30","20","[c]","[c]"
"In post","2022","Internal Audit","Analysis","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Digital, Data & Technology","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Internal Audit","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Internal Audit","20-29","40","40","[c]","[c]"
"In post","2022","Internal Audit","Internal Audit","30-39","120","120","43460","40580"
"In post","2022","Internal Audit","Internal Audit","40-49","180","170","47560","44020"
"In post","2022","Internal Audit","Internal Audit","50-59","300","290","50040","47100"
"In post","2022","Internal Audit","Internal Audit","60-64","70","60","44530","43710"
"In post","2022","Internal Audit","Internal Audit","65+","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","No function","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","No function","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","No function","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","No function","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","No function","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Analysis","30-39","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Commercial","20-29","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","No function","16-19","[c]","[c]","[c]","[c]"
