"Status","Year","Ethnicity","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Other ethnicity","60-64","Unknown","40","40","[c]","[c]"
"In post","2021","Other ethnicity","60-64","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Other","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Property","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Security","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","65+","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Digital, Data and Technology","50","50","34510","32910"
"In post","2021","Undeclared","20-29","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Finance","30","30","[c]","[c]"
"In post","2021","Undeclared","20-29","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Operational Delivery","510","490","26440","25290"
"In post","2021","Undeclared","20-29","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Other","60","50","30150","27510"
"In post","2021","Undeclared","20-29","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Policy","180","180","39330","36500"
"In post","2021","Undeclared","20-29","Project Delivery","50","50","35180","31950"
"In post","2021","Undeclared","20-29","Property","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Science and Engineering","110","110","30730","28900"
"In post","2021","Undeclared","20-29","Security","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Tax","40","30","[c]","[c]"
"In post","2021","Undeclared","20-29","Unknown","270","260","29580","27570"
"In post","2021","Undeclared","20-29","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","30-39","Commercial","50","50","38030","39720"
"In post","2021","Undeclared","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","30-39","Digital, Data and Technology","150","150","42880","41090"
"In post","2021","Undeclared","30-39","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","30-39","Finance","70","70","41690","38630"
"In post","2021","Undeclared","30-39","Human Resources","40","40","[c]","[c]"
"In post","2021","Undeclared","30-39","Intelligence Analysis","40","40","[c]","[c]"
"In post","2021","Undeclared","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","30-39","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","30-39","Legal","100","100","43770","41360"
"In post","2021","Undeclared","30-39","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","30-39","Operational Delivery","1150","1110","29530","26740"
"In post","2021","Undeclared","30-39","Operational Research","30","30","[c]","[c]"
"In post","2021","Undeclared","30-39","Other","110","110","33390","28810"
"In post","2021","Undeclared","30-39","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","30-39","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","30-39","Policy","330","320","49190","52520"
"In post","2021","Undeclared","30-39","Project Delivery","140","140","44470","40580"
"In post","2021","Undeclared","30-39","Property","50","40","[c]","[c]"
"In post","2021","Undeclared","30-39","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","30-39","Science and Engineering","250","240","39690","39440"
"In post","2021","Undeclared","30-39","Security","70","70","36970","39070"
"In post","2021","Undeclared","30-39","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","30-39","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","30-39","Tax","120","120","36470","31810"
"In post","2021","Undeclared","30-39","Unknown","680","630","30640","27570"
"In post","2021","Undeclared","30-39","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","40-49","Commercial","60","50","40500","37320"
"In post","2021","Undeclared","40-49","Communications","30","30","[c]","[c]"
"In post","2021","Undeclared","40-49","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","40-49","Digital, Data and Technology","170","170","43130","40580"
"In post","2021","Undeclared","40-49","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","40-49","Finance","120","120","43930","39980"
"In post","2021","Undeclared","40-49","Human Resources","50","50","38780","33640"
"In post","2021","Undeclared","40-49","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","40-49","Intelligence Analysis","60","60","36980","33300"
"In post","2021","Undeclared","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","40-49","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","40-49","Knowledge and Information Management","60","50","41770","38230"
"In post","2021","Undeclared","40-49","Legal","130","120","45710","40800"
"In post","2021","Undeclared","40-49","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","40-49","Operational Delivery","1720","1630","30810","27680"
"In post","2021","Undeclared","40-49","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","40-49","Other","190","180","35170","29550"
"In post","2021","Undeclared","40-49","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","40-49","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","40-49","Policy","270","270","50910","53130"
"In post","2021","Undeclared","40-49","Project Delivery","220","220","43540","40580"
"In post","2021","Undeclared","40-49","Property","80","80","37470","33750"
"In post","2021","Undeclared","40-49","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","40-49","Science and Engineering","250","240","44960","42380"
"In post","2021","Undeclared","40-49","Security","110","110","34810","39070"
"In post","2021","Undeclared","40-49","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","40-49","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","40-49","Tax","170","160","39150","36160"
"In post","2021","Undeclared","40-49","Unknown","1180","1070","29650","27570"
"In post","2021","Undeclared","40-49","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","50-59","Commercial","70","70","42970","41450"
"In post","2021","Undeclared","50-59","Communications","40","30","[c]","[c]"
"In post","2021","Undeclared","50-59","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","50-59","Digital, Data and Technology","270","260","42580","40150"
"In post","2021","Undeclared","50-59","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","50-59","Finance","130","120","39750","36460"
"In post","2021","Undeclared","50-59","Human Resources","90","90","36690","33300"
"In post","2021","Undeclared","50-59","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","50-59","Intelligence Analysis","80","80","35220","31520"
"In post","2021","Undeclared","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","50-59","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","50-59","Knowledge and Information Management","70","70","37620","33670"
"In post","2021","Undeclared","50-59","Legal","170","160","43850","40000"
"In post","2021","Undeclared","50-59","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","50-59","Operational Delivery","2580","2420","30960","28130"
"In post","2021","Undeclared","50-59","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","50-59","Other","410","400","31730","26900"
"In post","2021","Undeclared","50-59","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","50-59","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","50-59","Policy","340","330","49980","47000"
"In post","2021","Undeclared","50-59","Project Delivery","330","320","44010","40580"
"In post","2021","Undeclared","50-59","Property","190","190","39960","36460"
"In post","2021","Undeclared","50-59","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","50-59","Science and Engineering","360","350","43140","42560"
"In post","2021","Undeclared","50-59","Security","170","170","34990","39070"
"In post","2021","Undeclared","50-59","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","50-59","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","50-59","Tax","320","300","39850","36160"
"In post","2021","Undeclared","50-59","Unknown","2120","1920","29210","27570"
"In post","2021","Undeclared","50-59","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","60-64","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","60-64","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","60-64","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","60-64","Digital, Data and Technology","40","30","[c]","[c]"
"In post","2021","Undeclared","60-64","Finance","30","30","[c]","[c]"
"In post","2021","Undeclared","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","60-64","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","60-64","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","60-64","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","60-64","Legal","30","30","[c]","[c]"
"In post","2021","Undeclared","60-64","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","60-64","Operational Delivery","660","520","29170","27370"
"In post","2021","Undeclared","60-64","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","60-64","Other","160","150","29520","26670"
"In post","2021","Undeclared","60-64","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","60-64","Policy","60","50","45990","42460"
"In post","2021","Undeclared","60-64","Project Delivery","70","60","43760","40580"
"In post","2021","Undeclared","60-64","Property","50","40","[c]","[c]"
"In post","2021","Undeclared","60-64","Science and Engineering","90","80","39810","38290"
"In post","2021","Undeclared","60-64","Security","50","50","[c]","[c]"
"In post","2021","Undeclared","60-64","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","60-64","Tax","90","70","41640","35000"
"In post","2021","Undeclared","60-64","Unknown","580","450","28780","27570"
"In post","2021","Undeclared","60-64","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Operational Delivery","220","160","28130","26550"
"In post","2021","Undeclared","65+","Other","70","60","30790","32200"
"In post","2021","Undeclared","65+","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Property","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Science and Engineering","40","30","[c]","[c]"
"In post","2021","Undeclared","65+","Security","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Unknown","170","130","26950","26120"
"In post","2021","Undeclared","65+","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Operational Delivery","180","170","20860","20850"
"In post","2021","Unknown","16-19","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Other","60","60","19020","16780"
"In post","2021","Unknown","16-19","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Science and Engineering","50","50","[c]","[c]"
"In post","2021","Unknown","16-19","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Tax","90","90","20310","20140"
"In post","2021","Unknown","16-19","Unknown","60","60","21530","20800"
"In post","2021","Unknown","20-29","Commercial","170","170","31900","29550"
"In post","2021","Unknown","20-29","Communications","230","230","34020","32120"
"In post","2021","Unknown","20-29","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","20-29","Digital, Data and Technology","570","570","32700","31810"
"In post","2021","Unknown","20-29","Economics","260","260","35690","33880"
"In post","2021","Unknown","20-29","Finance","280","270","31360","30420"
"In post","2021","Unknown","20-29","Human Resources","160","160","29130","27270"
"In post","2021","Unknown","20-29","Intelligence Analysis","100","100","39970","37000"
"In post","2021","Unknown","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","20-29","International Trade","160","160","38280","34980"
"In post","2021","Unknown","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","20-29","Legal","280","280","29590","26550"
"In post","2021","Unknown","20-29","Medicine","30","30","[c]","[c]"
"In post","2021","Unknown","20-29","Operational Delivery","7330","7190","24370","22850"
"In post","2021","Unknown","20-29","Operational Research","50","50","34820","34540"
"In post","2021","Unknown","20-29","Other","780","770","28750","28650"
"In post","2021","Unknown","20-29","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","20-29","Policy","1590","1580","38100","34710"
"In post","2021","Unknown","20-29","Project Delivery","330","330","33680","32620"
"In post","2021","Unknown","20-29","Property","170","160","28550","26560"
"In post","2021","Unknown","20-29","Psychology","60","60","26360","26850"
"In post","2021","Unknown","20-29","Science and Engineering","330","330","27790","28560"
"In post","2021","Unknown","20-29","Security","300","300","26490","25680"
"In post","2021","Unknown","20-29","Social Research","60","60","32550","30130"
"In post","2021","Unknown","20-29","Statistics","110","110","32720","31800"
"In post","2021","Unknown","20-29","Tax","1760","1720","24060","20140"
"In post","2021","Unknown","20-29","Unknown","4570","4520","29570","28000"
"In post","2021","Unknown","20-29","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","30-39","Commercial","140","140","40630","39500"
"In post","2021","Unknown","30-39","Communications","210","210","44760","43110"
"In post","2021","Unknown","30-39","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","30-39","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Unknown","30-39","Digital, Data and Technology","650","640","41340","38420"
"In post","2021","Unknown","30-39","Economics","100","100","54260","55070"
"In post","2021","Unknown","30-39","Finance","240","230","40120","36820"
"In post","2021","Unknown","30-39","Human Resources","190","180","36830","32310"
"In post","2021","Unknown","30-39","Intelligence Analysis","90","90","43820","41610"
"In post","2021","Unknown","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","30-39","International Trade","140","140","48160","51730"
"In post","2021","Unknown","30-39","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","Unknown","30-39","Legal","450","440","43090","40800"
"In post","2021","Unknown","30-39","Medicine","130","110","41050","36370"
"In post","2021","Unknown","30-39","Operational Delivery","6120","5770","26460","24920"
"In post","2021","Unknown","30-39","Operational Research","30","30","[c]","[c]"
"In post","2021","Unknown","30-39","Other","840","820","36250","32700"
"In post","2021","Unknown","30-39","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","30-39","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","30-39","Policy","1240","1200","49200","52540"
"In post","2021","Unknown","30-39","Project Delivery","410","400","42440","38650"
"In post","2021","Unknown","30-39","Property","170","160","34150","31100"
"In post","2021","Unknown","30-39","Psychology","70","70","34180","33650"
"In post","2021","Unknown","30-39","Science and Engineering","220","210","37790","38720"
"In post","2021","Unknown","30-39","Security","290","280","32230","30440"
"In post","2021","Unknown","30-39","Social Research","50","50","40270","37880"
"In post","2021","Unknown","30-39","Statistics","90","80","39880","37020"
"In post","2021","Unknown","30-39","Tax","1300","1260","27530","25560"
"In post","2021","Unknown","30-39","Unknown","3660","3450","35410","29250"
"In post","2021","Unknown","30-39","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","40-49","Commercial","140","130","44760","39820"
"In post","2021","Unknown","40-49","Communications","160","150","51180","49170"
"In post","2021","Unknown","40-49","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","40-49","Counter Fraud","30","30","[c]","[c]"
"In post","2021","Unknown","40-49","Digital, Data and Technology","550","540","44830","41870"
"In post","2021","Unknown","40-49","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","40-49","Finance","220","210","42240","40480"
"In post","2021","Unknown","40-49","Human Resources","170","160","37550","35120"
"In post","2021","Unknown","40-49","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","40-49","Intelligence Analysis","50","50","50080","53360"
"In post","2021","Unknown","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","40-49","International Trade","60","60","51210","51970"
"In post","2021","Unknown","40-49","Knowledge and Information Management","50","40","[c]","[c]"
"In post","2021","Unknown","40-49","Legal","410","380","49810","51120"
"In post","2021","Unknown","40-49","Medicine","110","100","51600","43110"
"In post","2021","Unknown","40-49","Operational Delivery","4530","4200","27680","24920"
"In post","2021","Unknown","40-49","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","40-49","Other","830","800","39050","34460"
"In post","2021","Unknown","40-49","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","40-49","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","40-49","Policy","750","720","54490","53360"
"In post","2021","Unknown","40-49","Project Delivery","310","300","45210","40640"
"In post","2021","Unknown","40-49","Property","180","170","36500","31960"
"In post","2021","Unknown","40-49","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","40-49","Science and Engineering","170","160","42500","40610"
"In post","2021","Unknown","40-49","Security","180","180","34370","38630"
"In post","2021","Unknown","40-49","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","40-49","Statistics","40","30","[c]","[c]"
"In post","2021","Unknown","40-49","Tax","750","720","28190","25560"
"In post","2021","Unknown","40-49","Unknown","2920","2730","39770","30650"
"In post","2021","Unknown","40-49","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","50-59","Commercial","100","100","41970","39630"
"In post","2021","Unknown","50-59","Communications","80","80","44560","40770"
"In post","2021","Unknown","50-59","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","50-59","Counter Fraud","50","50","45930","39490"
"In post","2021","Unknown","50-59","Digital, Data and Technology","330","330","45260","40580"
"In post","2021","Unknown","50-59","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","50-59","Finance","170","160","40130","35000"
"In post","2021","Unknown","50-59","Human Resources","130","120","40250","36270"
"In post","2021","Unknown","50-59","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","50-59","Intelligence Analysis","40","30","[c]","[c]"
"In post","2021","Unknown","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","50-59","International Trade","60","60","49480","39440"
"In post","2021","Unknown","50-59","Knowledge and Information Management","40","30","[c]","[c]"
"In post","2021","Unknown","50-59","Legal","460","430","50550","51730"
"In post","2021","Unknown","50-59","Medicine","70","60","55440","40860"
"In post","2021","Unknown","50-59","Operational Delivery","5510","5050","27910","24890"
"In post","2021","Unknown","50-59","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","50-59","Other","990","970","38610","33650"
"In post","2021","Unknown","50-59","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","50-59","Policy","490","480","49430","46060"
"In post","2021","Unknown","50-59","Project Delivery","290","290","46830","40860"
"In post","2021","Unknown","50-59","Property","270","260","38200","33250"
"In post","2021","Unknown","50-59","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","50-59","Science and Engineering","180","170","45390","42000"
"In post","2021","Unknown","50-59","Security","180","180","34950","38150"
"In post","2021","Unknown","50-59","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","50-59","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","50-59","Tax","770","730","31750","31810"
"In post","2021","Unknown","50-59","Unknown","2470","2340","39390","28110"
"In post","2021","Unknown","50-59","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Digital, Data and Technology","70","60","42050","36640"
"In post","2021","Unknown","60-64","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Finance","40","30","[c]","[c]"
"In post","2021","Unknown","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Legal","90","80","50040","46390"
"In post","2021","Unknown","60-64","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Operational Delivery","1640","1300","26000","21760"
"In post","2021","Unknown","60-64","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Other","250","240","35910","33570"
"In post","2021","Unknown","60-64","Policy","80","70","46930","43700"
"In post","2021","Unknown","60-64","Project Delivery","50","50","41810","39040"
"In post","2021","Unknown","60-64","Property","90","70","35230","31960"
"In post","2021","Unknown","60-64","Psychology","[c]","[c]","[c]","[c]"
