"Status","Year","Function_of_post","Ethnicity","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Communications","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Declared non-disabled","90","90","37470","34820"
"In post","2022","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Unknown","1990","1950","34320","27270"
"In post","2022","Communications","White","Declared disabled","490","470","34700","33080"
"In post","2022","Communications","White","Declared non-disabled","3940","3780","37580","33370"
"In post","2022","Communications","White","Undeclared","190","190","36440","33080"
"In post","2022","Communications","White","Unknown","430","410","38570","33370"
"In post","2022","Counter Fraud","Asian","Declared disabled","130","120","30530","27570"
"In post","2022","Counter Fraud","Asian","Declared non-disabled","1070","1000","30940","28920"
"In post","2022","Counter Fraud","Asian","Undeclared","50","50","30880","28160"
"In post","2022","Counter Fraud","Asian","Unknown","100","90","32420","31020"
"In post","2022","Counter Fraud","Black","Declared disabled","100","80","30030","29620"
"In post","2022","Counter Fraud","Black","Declared non-disabled","470","440","31010","31020"
"In post","2022","Counter Fraud","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Black","Unknown","40","40","[c]","[c]"
"In post","2022","Counter Fraud","Mixed","Declared disabled","40","30","[c]","[c]"
"In post","2022","Counter Fraud","Mixed","Declared non-disabled","190","180","33560","30920"
"In post","2022","Counter Fraud","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Other ethnicity","Declared non-disabled","50","50","31530","30330"
"In post","2022","Counter Fraud","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Undeclared","Declared disabled","90","90","30450","27570"
"In post","2022","Counter Fraud","Undeclared","Declared non-disabled","380","340","30560","27570"
"In post","2022","Counter Fraud","Undeclared","Undeclared","400","380","36900","33370"
"In post","2022","Counter Fraud","Undeclared","Unknown","80","80","36510","33440"
"In post","2022","Counter Fraud","Unknown","Declared disabled","50","40","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Declared non-disabled","300","270","33850","31010"
"In post","2022","Counter Fraud","Unknown","Undeclared","40","30","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Unknown","1860","1790","32610","31020"
"In post","2022","Counter Fraud","White","Declared disabled","1560","1410","31090","27570"
"In post","2022","Counter Fraud","White","Declared non-disabled","8900","8200","32830","28920"
"In post","2022","Counter Fraud","White","Undeclared","440","400","32250","28920"
"In post","2022","Counter Fraud","White","Unknown","620","570","33670","33080"
"In post","2022","Debt","Asian","Declared disabled","70","60","24100","22030"
"In post","2022","Debt","Asian","Declared non-disabled","610","530","23230","21260"
"In post","2022","Debt","Asian","Undeclared","40","30","[c]","[c]"
"In post","2022","Debt","Asian","Unknown","50","40","27340","26400"
"In post","2022","Debt","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Black","Declared non-disabled","170","150","24830","21260"
"In post","2022","Debt","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Mixed","Declared non-disabled","60","50","23300","21260"
"In post","2022","Debt","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Other ethnicity","Declared non-disabled","30","30","[c]","[c]"
"In post","2022","Debt","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Undeclared","Declared disabled","30","30","[c]","[c]"
"In post","2022","Debt","Undeclared","Declared non-disabled","110","100","23820","21260"
"In post","2022","Debt","Undeclared","Undeclared","80","70","23860","22080"
"In post","2022","Debt","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Unknown","Declared non-disabled","100","90","23680","21260"
"In post","2022","Debt","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Unknown","Unknown","1140","1060","22650","21250"
"In post","2022","Debt","White","Declared disabled","650","560","23310","21260"
"In post","2022","Debt","White","Declared non-disabled","3180","2800","24100","21260"
"In post","2022","Debt","White","Undeclared","180","170","23490","21260"
"In post","2022","Debt","White","Unknown","190","160","26930","22080"
"In post","2022","Digital, Data & Technology","Asian","Declared disabled","90","90","38880","35010"
"In post","2022","Digital, Data & Technology","Asian","Declared non-disabled","1050","1030","42470","39660"
"In post","2022","Digital, Data & Technology","Asian","Undeclared","50","40","[c]","[c]"
"In post","2022","Digital, Data & Technology","Asian","Unknown","220","210","41330","37650"
"In post","2022","Digital, Data & Technology","Black","Declared disabled","60","60","39620","38260"
"In post","2022","Digital, Data & Technology","Black","Declared non-disabled","490","490","39560","36330"
"In post","2022","Digital, Data & Technology","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Black","Unknown","80","70","38540","36740"
"In post","2022","Digital, Data & Technology","Mixed","Declared disabled","50","40","[c]","[c]"
"In post","2022","Digital, Data & Technology","Mixed","Declared non-disabled","270","260","42120","40140"
"In post","2022","Digital, Data & Technology","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Mixed","Unknown","30","30","[c]","[c]"
"In post","2022","Digital, Data & Technology","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Other ethnicity","Declared non-disabled","100","90","42880","37930"
"In post","2022","Digital, Data & Technology","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Declared disabled","90","80","38700","34450"
"In post","2022","Digital, Data & Technology","Undeclared","Declared non-disabled","510","490","42130","39650"
"In post","2022","Digital, Data & Technology","Undeclared","Undeclared","450","440","41380","38450"
"In post","2022","Digital, Data & Technology","Undeclared","Unknown","110","110","41540","39220"
"In post","2022","Digital, Data & Technology","Unknown","Declared disabled","40","40","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Declared non-disabled","460","440","38880","35310"
"In post","2022","Digital, Data & Technology","Unknown","Undeclared","30","30","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Unknown","2510","2470","41840","38450"
"In post","2022","Digital, Data & Technology","White","Declared disabled","1670","1600","38950","35310"
"In post","2022","Digital, Data & Technology","White","Declared non-disabled","11800","11410","41860","38650"
"In post","2022","Digital, Data & Technology","White","Undeclared","640","620","39740","36500"
"In post","2022","Digital, Data & Technology","White","Unknown","1240","1210","41330","38330"
"In post","2022","Finance","Asian","Declared disabled","80","70","39140","36500"
"In post","2022","Finance","Asian","Declared non-disabled","880","860","39140","36500"
"In post","2022","Finance","Asian","Undeclared","50","50","38660","34350"
"In post","2022","Finance","Asian","Unknown","130","130","37050","33370"
"In post","2022","Finance","Black","Declared disabled","30","30","[c]","[c]"
"In post","2022","Finance","Black","Declared non-disabled","360","350","39700","36990"
"In post","2022","Finance","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Black","Unknown","30","30","[c]","[c]"
"In post","2022","Finance","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Mixed","Declared non-disabled","150","150","41590","37800"
"In post","2022","Finance","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other ethnicity","Declared non-disabled","40","40","[c]","[c]"
"In post","2022","Finance","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Undeclared","Declared disabled","50","50","35600","31990"
"In post","2022","Finance","Undeclared","Declared non-disabled","210","200","39550","36540"
"In post","2022","Finance","Undeclared","Undeclared","210","190","39650","36070"
"In post","2022","Finance","Undeclared","Unknown","50","50","[c]","[c]"
"In post","2022","Finance","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Declared non-disabled","220","200","37810","34290"
"In post","2022","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Unknown","1210","1160","37140","33370"
"In post","2022","Finance","White","Declared disabled","920","850","37400","33300"
"In post","2022","Finance","White","Declared non-disabled","6580","6210","40200","36190"
"In post","2022","Finance","White","Undeclared","330","310","39360","34550"
"In post","2022","Finance","White","Unknown","710","670","38900","35300"
"In post","2022","Grants Management","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Asian","Declared non-disabled","30","30","[c]","[c]"
"In post","2022","Grants Management","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Black","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Mixed","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Undeclared","Declared non-disabled","50","50","26740","26030"
"In post","2022","Grants Management","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Unknown","Declared non-disabled","840","790","23870","21300"
"In post","2022","Grants Management","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","White","Declared disabled","160","140","25600","21300"
"In post","2022","Grants Management","White","Declared non-disabled","1140","1030","25970","24920"
"In post","2022","Grants Management","White","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Asian","Declared disabled","90","90","37950","34550"
"In post","2022","Human Resources","Asian","Declared non-disabled","470","460","37170","33120"
"In post","2022","Human Resources","Asian","Undeclared","30","30","[c]","[c]"
"In post","2022","Human Resources","Asian","Unknown","70","70","33810","32640"
"In post","2022","Human Resources","Black","Declared disabled","50","40","[c]","[c]"
"In post","2022","Human Resources","Black","Declared non-disabled","290","280","35640","32700"
"In post","2022","Human Resources","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Mixed","Declared disabled","60","60","42770","35700"
"In post","2022","Human Resources","Mixed","Declared non-disabled","160","160","39770","36010"
"In post","2022","Human Resources","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other ethnicity","Declared non-disabled","40","40","[c]","[c]"
"In post","2022","Human Resources","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Undeclared","Declared disabled","50","50","36600","33430"
"In post","2022","Human Resources","Undeclared","Declared non-disabled","120","120","36270","33240"
"In post","2022","Human Resources","Undeclared","Undeclared","150","140","36740","33300"
"In post","2022","Human Resources","Undeclared","Unknown","30","30","[c]","[c]"
"In post","2022","Human Resources","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Declared non-disabled","130","120","36950","31990"
"In post","2022","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Unknown","880","850","35780","32000"
"In post","2022","Human Resources","White","Declared disabled","1320","1240","37870","33350"
"In post","2022","Human Resources","White","Declared non-disabled","6640","6260","38400","33370"
"In post","2022","Human Resources","White","Undeclared","380","360","36450","33300"
"In post","2022","Human Resources","White","Unknown","600","560","34840","31780"
"In post","2022","Internal Audit","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Asian","Declared non-disabled","70","60","45800","43360"
"In post","2022","Internal Audit","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Black","Declared non-disabled","30","30","[c]","[c]"
"In post","2022","Internal Audit","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Mixed","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","White","Declared disabled","80","70","44800","39980"
"In post","2022","Internal Audit","White","Declared non-disabled","440","410","46830","43710"
"In post","2022","Internal Audit","White","Undeclared","30","30","[c]","[c]"
"In post","2022","Internal Audit","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Asian","Declared disabled","110","100","41200","34480"
"In post","2022","Legal","Asian","Declared non-disabled","870","820","44670","48080"
"In post","2022","Legal","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Asian","Unknown","180","170","40360","40000"
"In post","2022","Legal","Black","Declared disabled","70","70","42420","39380"
"In post","2022","Legal","Black","Declared non-disabled","470","460","42300","37930"
"In post","2022","Legal","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Black","Unknown","80","80","34630","27670"
"In post","2022","Legal","Mixed","Declared disabled","40","30","[c]","[c]"
"In post","2022","Legal","Mixed","Declared non-disabled","240","220","48490","50500"
"In post","2022","Legal","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Mixed","Unknown","50","40","[c]","[c]"
"In post","2022","Legal","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Other ethnicity","Declared non-disabled","80","80","49340","50880"
"In post","2022","Legal","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Undeclared","Declared disabled","30","30","[c]","[c]"
"In post","2022","Legal","Undeclared","Declared non-disabled","170","160","48270","48830"
"In post","2022","Legal","Undeclared","Undeclared","100","90","53360","55210"
"In post","2022","Legal","Undeclared","Unknown","50","40","[c]","[c]"
"In post","2022","Legal","Unknown","Declared disabled","40","40","[c]","[c]"
"In post","2022","Legal","Unknown","Declared non-disabled","350","320","46480","48830"
"In post","2022","Legal","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Unknown","Unknown","990","930","48180","50500"
"In post","2022","Legal","White","Declared disabled","920","850","44450","41750"
"In post","2022","Legal","White","Declared non-disabled","6310","5850","48520","51250"
"In post","2022","Legal","White","Undeclared","160","150","50950","52630"
"In post","2022","Legal","White","Unknown","1020","960","41380","40000"
"In post","2022","No function","Asian","Declared disabled","1830","1670","30210","27570"
"In post","2022","No function","Asian","Declared non-disabled","14010","13030","31160","27570"
"In post","2022","No function","Asian","Undeclared","810","750","31560","27570"
"In post","2022","No function","Asian","Unknown","1300","1230","37020","32960"
"In post","2022","No function","Black","Declared disabled","1350","1270","31580","30430"
"In post","2022","No function","Black","Declared non-disabled","7800","7500","31300","30220"
"In post","2022","No function","Black","Undeclared","560","530","31870","31060"
"In post","2022","No function","Black","Unknown","520","500","37050","32940"
"In post","2022","No function","Mixed","Declared disabled","870","810","31200","28200"
"In post","2022","No function","Mixed","Declared non-disabled","3830","3660","33560","29300"
"In post","2022","No function","Mixed","Undeclared","290","280","33020","30160"
"In post","2022","No function","Mixed","Unknown","360","340","37610","33560"
"In post","2022","No function","Other ethnicity","Declared disabled","260","240","33180","31060"
"In post","2022","No function","Other ethnicity","Declared non-disabled","1110","1050","34620","31060"
"In post","2022","No function","Other ethnicity","Undeclared","90","90","34510","31060"
"In post","2022","No function","Other ethnicity","Unknown","130","130","41310","36280"
"In post","2022","No function","Undeclared","Declared disabled","1160","1050","29820","27570"
"In post","2022","No function","Undeclared","Declared non-disabled","4680","4250","31480","27570"
"In post","2022","No function","Undeclared","Undeclared","2930","2760","34390","30780"
"In post","2022","No function","Undeclared","Unknown","1170","1090","38620","35000"
"In post","2022","No function","Unknown","Declared disabled","760","670","30970","27570"
"In post","2022","No function","Unknown","Declared non-disabled","5200","4700","30600","27570"
"In post","2022","No function","Unknown","Undeclared","790","720","31210","28920"
"In post","2022","No function","Unknown","Unknown","32810","31080","30340","27080"
"In post","2022","No function","White","Declared disabled","26740","24110","29790","27570"
"In post","2022","No function","White","Declared non-disabled","140980","130030","32320","27570"
"In post","2022","No function","White","Undeclared","10600","9700","31010","28200"
"In post","2022","No function","White","Unknown","11600","10790","36030","33080"
"In post","2022","Project Delivery","Asian","Declared disabled","110","100","40920","37930"
"In post","2022","Project Delivery","Asian","Declared non-disabled","980","940","41920","38600"
"In post","2022","Project Delivery","Asian","Undeclared","50","50","41430","37900"
"In post","2022","Project Delivery","Asian","Unknown","120","120","43800","40180"
"In post","2022","Project Delivery","Black","Declared disabled","70","70","35900","33370"
"In post","2022","Project Delivery","Black","Declared non-disabled","530","520","39680","37610"
"In post","2022","Project Delivery","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Black","Unknown","70","70","43210","40180"
"In post","2022","Project Delivery","Mixed","Declared disabled","60","50","40370","37900"
"In post","2022","Project Delivery","Mixed","Declared non-disabled","330","320","42070","38600"
"In post","2022","Project Delivery","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Mixed","Unknown","30","30","[c]","[c]"
"In post","2022","Project Delivery","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Other ethnicity","Declared non-disabled","90","80","43890","42210"
"In post","2022","Project Delivery","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Undeclared","Declared disabled","130","120","39840","40520"
"In post","2022","Project Delivery","Undeclared","Declared non-disabled","520","500","41840","40370"
"In post","2022","Project Delivery","Undeclared","Undeclared","540","520","43190","40580"
"In post","2022","Project Delivery","Undeclared","Unknown","90","90","43540","40520"
"In post","2022","Project Delivery","Unknown","Declared disabled","70","60","37940","33500"
"In post","2022","Project Delivery","Unknown","Declared non-disabled","490","470","39810","37410"
"In post","2022","Project Delivery","Unknown","Undeclared","50","50","[c]","[c]"
"In post","2022","Project Delivery","Unknown","Unknown","2100","2040","43210","40180"
"In post","2022","Project Delivery","White","Declared disabled","2180","2070","39820","36980"
"In post","2022","Project Delivery","White","Declared non-disabled","15830","15200","42540","40000"
"In post","2022","Project Delivery","White","Undeclared","710","670","40750","39860"
"In post","2022","Project Delivery","White","Unknown","1370","1310","42830","40520"
"In post","2022","Property","Asian","Declared disabled","40","40","[c]","[c]"
"In post","2022","Property","Asian","Declared non-disabled","360","340","35780","32280"
"In post","2022","Property","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Property","Asian","Unknown","40","40","[c]","[c]"
"In post","2022","Property","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Property","Black","Declared non-disabled","150","140","37220","34260"
"In post","2022","Property","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Property","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Property","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Property","Mixed","Declared non-disabled","80","80","36100","33380"
"In post","2022","Property","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Property","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Property","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Property","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Property","Undeclared","Declared disabled","60","60","37230","33370"
"In post","2022","Property","Undeclared","Declared non-disabled","330","310","37260","33500"
"In post","2022","Property","Undeclared","Undeclared","270","250","37710","33370"
"In post","2022","Property","Undeclared","Unknown","40","40","[c]","[c]"
"In post","2022","Property","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Property","Unknown","Declared non-disabled","100","90","37500","32630"
"In post","2022","Property","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Property","Unknown","Unknown","1210","1170","31750","26880"
"In post","2022","Property","White","Declared disabled","620","590","36150","33300"
"In post","2022","Property","White","Declared non-disabled","5240","5030","38100","33380"
"In post","2022","Property","White","Undeclared","330","310","37470","34000"
"In post","2022","Property","White","Unknown","510","500","33570","31900"
"In post","2022","Security","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Security","Asian","Declared non-disabled","230","220","33860","31660"
"In post","2022","Security","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Security","Asian","Unknown","50","50","[c]","[c]"
"In post","2022","Security","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Security","Black","Declared non-disabled","100","100","33590","30800"
"In post","2022","Security","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Security","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Security","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Security","Mixed","Declared non-disabled","80","80","35930","34550"
"In post","2022","Security","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Security","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Security","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Security","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Security","Undeclared","Declared disabled","40","40","[c]","[c]"
"In post","2022","Security","Undeclared","Declared non-disabled","180","170","35180","33300"
"In post","2022","Security","Undeclared","Undeclared","270","270","37230","39070"
"In post","2022","Security","Undeclared","Unknown","50","50","[c]","[c]"
"In post","2022","Security","Unknown","Declared disabled","30","30","[c]","[c]"
"In post","2022","Security","Unknown","Declared non-disabled","160","150","32430","29250"
"In post","2022","Security","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Security","Unknown","Unknown","1210","1190","31410","27680"
"In post","2022","Security","White","Declared disabled","720","690","32620","30450"
"In post","2022","Security","White","Declared non-disabled","5950","5810","32690","30450"
"In post","2022","Security","White","Undeclared","530","520","33660","33300"
"In post","2022","Security","White","Unknown","920","890","32770","33200"
"In post","2022","Unknown","Asian","Declared disabled","450","410","33310","29080"
"In post","2022","Unknown","Asian","Declared non-disabled","4430","4140","32340","28990"
"In post","2022","Unknown","Asian","Undeclared","160","150","32790","29080"
"In post","2022","Unknown","Asian","Unknown","350","340","34290","28650"
"In post","2022","Unknown","Black","Declared disabled","230","220","33060","29130"
"In post","2022","Unknown","Black","Declared non-disabled","1810","1720","33350","29130"
"In post","2022","Unknown","Black","Undeclared","70","60","30840","29130"
"In post","2022","Unknown","Black","Unknown","110","110","38120","35050"
"In post","2022","Unknown","Mixed","Declared disabled","150","140","35200","30090"
"In post","2022","Unknown","Mixed","Declared non-disabled","850","800","36170","30820"
"In post","2022","Unknown","Mixed","Undeclared","40","40","[c]","[c]"
"In post","2022","Unknown","Mixed","Unknown","90","90","38330","34630"
"In post","2022","Unknown","Other ethnicity","Declared disabled","30","30","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Declared non-disabled","220","200","33730","29110"
"In post","2022","Unknown","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Declared disabled","300","280","32770","28650"
"In post","2022","Unknown","Undeclared","Declared non-disabled","1490","1390","34740","30410"
"In post","2022","Unknown","Undeclared","Undeclared","1420","1340","35000","30980"
"In post","2022","Unknown","Undeclared","Unknown","200","190","41540","36580"
"In post","2022","Unknown","Unknown","Declared disabled","150","150","34870","30070"
"In post","2022","Unknown","Unknown","Declared non-disabled","480","460","34740","29500"
"In post","2022","Unknown","Unknown","Undeclared","60","60","35910","33300"
"In post","2022","Unknown","Unknown","Unknown","10500","10180","35100","30820"
"In post","2022","Unknown","White","Declared disabled","5270","4970","33660","29080"
"In post","2022","Unknown","White","Declared non-disabled","44140","41740","35220","30500"
"In post","2022","Unknown","White","Undeclared","1750","1660","32140","27370"
"In post","2022","Unknown","White","Unknown","4870","4680","37420","31540"
"Leaver CS","2021","Analysis","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Asian","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Black","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Black","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Chinese","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Mixed","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
