"Status","Year","Responsibility_level","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","SCS","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Unknown","160","160","94100","84710"
"In post","2022","SEO/HEO","Declared disabled","Analysis","410","390","36590","36840"
"In post","2022","SEO/HEO","Declared disabled","Commercial","250","240","37150","37420"
"In post","2022","SEO/HEO","Declared disabled","Communications","260","250","36250","33370"
"In post","2022","SEO/HEO","Declared disabled","Counter Fraud","550","510","36110","34290"
"In post","2022","SEO/HEO","Declared disabled","Debt","40","30","[c]","[c]"
"In post","2022","SEO/HEO","Declared disabled","Digital, Data & Technology","970","930","36870","36050"
"In post","2022","SEO/HEO","Declared disabled","Finance","500","470","36480","35470"
"In post","2022","SEO/HEO","Declared disabled","Grants Management","40","30","[c]","[c]"
"In post","2022","SEO/HEO","Declared disabled","Human Resources","680","650","36670","36050"
"In post","2022","SEO/HEO","Declared disabled","Internal Audit","60","60","39470","39190"
"In post","2022","SEO/HEO","Declared disabled","Legal","220","210","39120","38000"
"In post","2022","SEO/HEO","Declared disabled","No function","5370","5100","36900","35630"
"In post","2022","SEO/HEO","Declared disabled","Project Delivery","1320","1260","36500","36460"
"In post","2022","SEO/HEO","Declared disabled","Property","310","290","36880","34640"
"In post","2022","SEO/HEO","Declared disabled","Security","260","260","37990","36460"
"In post","2022","SEO/HEO","Declared disabled","Unknown","2010","1930","37610","36650"
"In post","2022","SEO/HEO","Declared non-disabled","Analysis","2780","2700","36440","36650"
"In post","2022","SEO/HEO","Declared non-disabled","Commercial","1760","1710","37360","37300"
"In post","2022","SEO/HEO","Declared non-disabled","Communications","2160","2090","36720","34710"
"In post","2022","SEO/HEO","Declared non-disabled","Counter Fraud","3760","3580","36340","34290"
"In post","2022","SEO/HEO","Declared non-disabled","Debt","280","260","34960","33370"
"In post","2022","SEO/HEO","Declared non-disabled","Digital, Data & Technology","7230","7020","37380","36900"
"In post","2022","SEO/HEO","Declared non-disabled","Finance","3740","3600","37320","36560"
"In post","2022","SEO/HEO","Declared non-disabled","Grants Management","310","290","32520","31040"
"In post","2022","SEO/HEO","Declared non-disabled","Human Resources","3250","3100","36170","35310"
"In post","2022","SEO/HEO","Declared non-disabled","Internal Audit","340","320","40870","40690"
"In post","2022","SEO/HEO","Declared non-disabled","Legal","1530","1460","39870","38180"
"In post","2022","SEO/HEO","Declared non-disabled","No function","36590","35070","37080","35900"
"In post","2022","SEO/HEO","Declared non-disabled","Project Delivery","9260","8900","36610","36910"
"In post","2022","SEO/HEO","Declared non-disabled","Property","2740","2630","37640","36460"
"In post","2022","SEO/HEO","Declared non-disabled","Security","1780","1740","38860","37280"
"In post","2022","SEO/HEO","Declared non-disabled","Unknown","16920","16330","38030","37460"
"In post","2022","SEO/HEO","Undeclared","Analysis","150","140","37010","36840"
"In post","2022","SEO/HEO","Undeclared","Commercial","140","140","38340","39260"
"In post","2022","SEO/HEO","Undeclared","Communications","130","130","36730","34810"
"In post","2022","SEO/HEO","Undeclared","Counter Fraud","350","340","36380","34390"
"In post","2022","SEO/HEO","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Undeclared","Digital, Data & Technology","630","620","37970","37300"
"In post","2022","SEO/HEO","Undeclared","Finance","290","280","37780","36870"
"In post","2022","SEO/HEO","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Undeclared","Human Resources","280","270","37010","36200"
"In post","2022","SEO/HEO","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Undeclared","Legal","80","70","40820","37470"
"In post","2022","SEO/HEO","Undeclared","No function","3140","3010","37870","36720"
"In post","2022","SEO/HEO","Undeclared","Project Delivery","760","720","37250","37930"
"In post","2022","SEO/HEO","Undeclared","Property","290","280","38600","37300"
"In post","2022","SEO/HEO","Undeclared","Security","260","260","41070","39200"
"In post","2022","SEO/HEO","Undeclared","Unknown","1140","1100","37690","37000"
"In post","2022","SEO/HEO","Unknown","Analysis","980","960","35530","35460"
"In post","2022","SEO/HEO","Unknown","Commercial","670","650","37050","37660"
"In post","2022","SEO/HEO","Unknown","Communications","910","890","36260","33370"
"In post","2022","SEO/HEO","Unknown","Counter Fraud","1050","1010","36410","34350"
"In post","2022","SEO/HEO","Unknown","Debt","40","40","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","Digital, Data & Technology","2080","2050","37660","36840"
"In post","2022","SEO/HEO","Unknown","Finance","900","880","37070","36820"
"In post","2022","SEO/HEO","Unknown","Human Resources","640","620","35990","35980"
"In post","2022","SEO/HEO","Unknown","Internal Audit","30","30","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","Legal","370","360","37820","38000"
"In post","2022","SEO/HEO","Unknown","No function","11650","11290","36130","34500"
"In post","2022","SEO/HEO","Unknown","Project Delivery","1710","1640","37250","37930"
"In post","2022","SEO/HEO","Unknown","Property","570","550","37220","36720"
"In post","2022","SEO/HEO","Unknown","Security","370","360","37960","36680"
"In post","2022","SEO/HEO","Unknown","Unknown","4230","4110","38810","38160"
"In post","2022","Unknown","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","No function","3290","3070","30760","28290"
"In post","2022","Unknown","Declared disabled","Project Delivery","160","160","39430","36550"
"In post","2022","Unknown","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","Commercial","120","120","40230","37450"
"In post","2022","Unknown","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","Digital, Data & Technology","50","50","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","Finance","50","40","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","Human Resources","30","30","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","No function","11720","10910","30540","28200"
"In post","2022","Unknown","Declared non-disabled","Project Delivery","1150","1120","41100","39760"
"In post","2022","Unknown","Declared non-disabled","Property","40","40","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","Security","130","130","32850","28610"
"In post","2022","Unknown","Declared non-disabled","Unknown","50","50","[c]","[c]"
"In post","2022","Unknown","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","No function","760","710","31030","28690"
"In post","2022","Unknown","Undeclared","Project Delivery","110","110","44020","41650"
"In post","2022","Unknown","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","No function","3430","3090","27710","25780"
"In post","2022","Unknown","Unknown","Project Delivery","190","190","40550","37450"
"In post","2022","Unknown","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Unknown","2000","2000","37350","34160"
"Leaver CS","2021","AA/AO","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Declared disabled","No function","460","400","19890","19830"
"Leaver CS","2021","AA/AO","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Declared disabled","Security","30","30","[c]","[c]"
"Leaver CS","2021","AA/AO","Declared disabled","Unknown","710","560","21130","21010"
"Leaver CS","2021","AA/AO","Declared non-disabled","Analysis","40","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Declared non-disabled","Human Resources","40","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Declared non-disabled","Legal","50","50","23030","23470"
"Leaver CS","2021","AA/AO","Declared non-disabled","No function","2640","2370","20390","20100"
"Leaver CS","2021","AA/AO","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Declared non-disabled","Property","90","80","21230","21010"
"Leaver CS","2021","AA/AO","Declared non-disabled","Security","160","150","27670","22440"
"Leaver CS","2021","AA/AO","Declared non-disabled","Unknown","3400","2820","21240","21010"
"Leaver CS","2021","AA/AO","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Undeclared","No function","490","400","20650","20100"
"Leaver CS","2021","AA/AO","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Undeclared","Unknown","270","230","21120","21010"
"Leaver CS","2021","AA/AO","Unknown","Analysis","60","60","20240","19130"
"Leaver CS","2021","AA/AO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Unknown","Grants Management","50","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Unknown","Legal","90","80","21360","20850"
"Leaver CS","2021","AA/AO","Unknown","No function","1530","1440","20740","20810"
"Leaver CS","2021","AA/AO","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Unknown","Property","80","70","20560","19850"
"Leaver CS","2021","AA/AO","Unknown","Security","110","110","25390","22650"
"Leaver CS","2021","AA/AO","Unknown","Unknown","1330","1120","21260","21010"
"Leaver CS","2021","EO","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Declared disabled","No function","140","120","27930","26780"
"Leaver CS","2021","EO","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Declared disabled","Unknown","600","490","27860","27570"
"Leaver CS","2021","EO","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Declared non-disabled","Digital, Data & Technology","40","40","[c]","[c]"
"Leaver CS","2021","EO","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Declared non-disabled","Human Resources","30","30","[c]","[c]"
"Leaver CS","2021","EO","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Declared non-disabled","Legal","50","40","[c]","[c]"
"Leaver CS","2021","EO","Declared non-disabled","No function","630","560","26430","26470"
"Leaver CS","2021","EO","Declared non-disabled","Project Delivery","110","100","23220","22780"
"Leaver CS","2021","EO","Declared non-disabled","Property","90","80","26970","26150"
"Leaver CS","2021","EO","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Declared non-disabled","Unknown","2450","2050","27870","27570"
"Leaver CS","2021","EO","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Undeclared","No function","100","90","[c]","[c]"
"Leaver CS","2021","EO","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Undeclared","Unknown","210","180","27880","27570"
"Leaver CS","2021","EO","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Digital, Data & Technology","30","30","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Legal","30","30","[c]","[c]"
"Leaver CS","2021","EO","Unknown","No function","350","330","27950","27020"
"Leaver CS","2021","EO","Unknown","Project Delivery","60","50","19670","19000"
"Leaver CS","2021","EO","Unknown","Property","50","40","25590","25100"
"Leaver CS","2021","EO","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Unknown","910","790","28320","27570"
"Leaver CS","2021","G6/G7","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Declared disabled","Unknown","100","90","61730","57460"
"Leaver CS","2021","G6/G7","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Declared non-disabled","Commercial","40","30","[c]","[c]"
"Leaver CS","2021","G6/G7","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Declared non-disabled","Digital, Data & Technology","50","50","59940","59740"
"Leaver CS","2021","G6/G7","Declared non-disabled","Finance","40","40","[c]","[c]"
"Leaver CS","2021","G6/G7","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Declared non-disabled","Human Resources","40","40","[c]","[c]"
"Leaver CS","2021","G6/G7","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Declared non-disabled","Legal","170","140","59170","55610"
"Leaver CS","2021","G6/G7","Declared non-disabled","No function","360","330","60400","57940"
"Leaver CS","2021","G6/G7","Declared non-disabled","Project Delivery","90","80","60000","56840"
"Leaver CS","2021","G6/G7","Declared non-disabled","Property","30","30","[c]","[c]"
"Leaver CS","2021","G6/G7","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Declared non-disabled","Unknown","630","550","61840","60830"
"Leaver CS","2021","G6/G7","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Undeclared","No function","50","40","[c]","[c]"
"Leaver CS","2021","G6/G7","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Undeclared","Unknown","60","50","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Commercial","30","30","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Digital, Data & Technology","50","50","58670","57280"
"Leaver CS","2021","G6/G7","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Legal","60","50","58300","55000"
"Leaver CS","2021","G6/G7","Unknown","No function","170","160","59440","56500"
"Leaver CS","2021","G6/G7","Unknown","Project Delivery","30","30","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Unknown","230","170","62560","61010"
"Leaver CS","2021","SCS","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Declared non-disabled","No function","90","80","107620","104580"
"Leaver CS","2021","SCS","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Declared non-disabled","Unknown","110","90","90550","84390"
"Leaver CS","2021","SCS","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Undeclared","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","No function","40","40","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Unknown","50","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Declared disabled","No function","120","110","35690","33840"
"Leaver CS","2021","SEO/HEO","Declared disabled","Project Delivery","40","40","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Declared disabled","Unknown","280","250","36310","35110"
"Leaver CS","2021","SEO/HEO","Declared non-disabled","Analysis","50","40","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Declared non-disabled","Commercial","60","60","38490","37430"
"Leaver CS","2021","SEO/HEO","Declared non-disabled","Communications","70","70","35760","34140"
"Leaver CS","2021","SEO/HEO","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Declared non-disabled","Digital, Data & Technology","80","80","37970","38360"
