"Status","Year","Responsibility_level","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","SCS","Commercial","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Commercial","Department of Health and Social Care (excl. agencies)","40","30","[c]","[c]"
"In post","2021","SCS","Commercial","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Commercial","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Commercial","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Commercial","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Commercial","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Commercial","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Commercial","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Commercial","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Commercial","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Commercial","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Commercial","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Corporate Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Corporate Finance","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Corporate Finance","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Corporate Finance","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Corporate Finance","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Corporate Finance","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Corporate Finance","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Counter Fraud","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Counter Fraud","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Counter Fraud","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","HM Revenue and Customs (excl. agencies)","40","30","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Economics","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Economics","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Economics","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Economics","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Economics","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Economics","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Economics","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Economics","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Economics","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Economics","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Economics","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Economics","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Economics","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Economics","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Economics","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Economics","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Economics","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Economics","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Economics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Economics","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Economics","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Economics","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Economics","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"In post","2021","SCS","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Finance","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Inspector of Education and Training","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Intelligence Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Intelligence Analysis","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Intelligence Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Intelligence Analysis","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Intelligence Analysis","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Intelligence Analysis","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Internal Audit","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Internal Audit","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Internal Audit","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Internal Audit","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Internal Audit","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","International Trade","Department for International Trade","110","110","85740","75570"
"In post","2021","SCS","International Trade","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Knowledge and Information Management","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Knowledge and Information Management","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Knowledge and Information Management","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Knowledge and Information Management","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Knowledge and Information Management","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Knowledge and Information Management","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Knowledge and Information Management","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Knowledge and Information Management","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Knowledge and Information Management","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Knowledge and Information Management","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Legal","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Legal","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Legal","Crown Prosecution Service","70","70","94440","90410"
"In post","2021","SCS","Legal","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Legal","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Legal","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Legal","Government Legal Department","190","180","83440","79180"
"In post","2021","SCS","Legal","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Legal","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Legal","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Legal","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Legal","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Legal","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Legal","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Legal","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Legal","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Legal","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Legal","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Legal","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Legal","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Medicine","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Medicine","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Medicine","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Medicine","Medicines and Healthcare Products Regulatory Agency","60","60","83350","83700"
"In post","2021","SCS","Medicine","Public Health England","340","290","111700","109370"
"In post","2021","SCS","Medicine","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Operational Delivery","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Operational Delivery","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Operational Delivery","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Operational Delivery","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Operational Delivery","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Operational Delivery","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Operational Delivery","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Operational Delivery","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Operational Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Operational Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Operational Delivery","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Operational Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Operational Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Operational Delivery","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
