"Status","Year","Sexual_orientation","Parent_department","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","LGBO","Department for Environment, Food and Rural Affairs","16-19","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Department for Environment, Food and Rural Affairs","20-29","260","260","31980","30000"
"In post","2022","LGBO","Department for Environment, Food and Rural Affairs","30-39","200","190","37470","35900"
"In post","2022","LGBO","Department for Environment, Food and Rural Affairs","40-49","130","120","43290","37100"
"In post","2022","LGBO","Department for Environment, Food and Rural Affairs","50-59","80","80","37620","33120"
"In post","2022","LGBO","Department for Environment, Food and Rural Affairs","60-64","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Department for Environment, Food and Rural Affairs","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Department for International Trade","16-19","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Department for International Trade","20-29","100","100","37980","38160"
"In post","2022","LGBO","Department for International Trade","30-39","60","60","49550","51970"
"In post","2022","LGBO","Department for International Trade","40-49","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Department for International Trade","50-59","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Department for International Trade","60-64","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Department for International Trade","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Department for Levelling Up, Housing and Communities","16-19","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Department for Levelling Up, Housing and Communities","20-29","140","140","36980","33210"
"In post","2022","LGBO","Department for Levelling Up, Housing and Communities","30-39","90","90","46670","48200"
"In post","2022","LGBO","Department for Levelling Up, Housing and Communities","40-49","60","60","55170","54940"
"In post","2022","LGBO","Department for Levelling Up, Housing and Communities","50-59","40","40","[c]","[c]"
"In post","2022","LGBO","Department for Levelling Up, Housing and Communities","60-64","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Department for Levelling Up, Housing and Communities","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Department for Transport","16-19","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Department for Transport","20-29","170","170","32720","30730"
"In post","2022","LGBO","Department for Transport","30-39","210","200","35870","30200"
"In post","2022","LGBO","Department for Transport","40-49","140","140","39450","31860"
"In post","2022","LGBO","Department for Transport","50-59","110","100","35830","30470"
"In post","2022","LGBO","Department for Transport","60-64","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Department for Transport","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Department for Work and Pensions","16-19","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Department for Work and Pensions","20-29","1060","1050","26280","27570"
"In post","2022","LGBO","Department for Work and Pensions","30-39","960","930","28990","27570"
"In post","2022","LGBO","Department for Work and Pensions","40-49","840","810","29940","27570"
"In post","2022","LGBO","Department for Work and Pensions","50-59","850","810","29360","27570"
"In post","2022","LGBO","Department for Work and Pensions","60-64","240","190","28580","27570"
"In post","2022","LGBO","Department for Work and Pensions","65+","60","50","26180","27570"
"In post","2022","LGBO","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Department of Health and Social Care","16-19","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Department of Health and Social Care","20-29","250","250","33570","32330"
"In post","2022","LGBO","Department of Health and Social Care","30-39","160","160","42870","40070"
"In post","2022","LGBO","Department of Health and Social Care","40-49","120","120","54260","53120"
"In post","2022","LGBO","Department of Health and Social Care","50-59","60","50","55010","45670"
"In post","2022","LGBO","Department of Health and Social Care","60-64","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Department of Health and Social Care","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Estyn","20-29","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Estyn","30-39","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Estyn","40-49","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Estyn","50-59","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Estyn","60-64","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Estyn","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Food Standards Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Food Standards Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Food Standards Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Food Standards Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Food Standards Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Food Standards Agency","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Foreign, Commonwealth and Development Office","16-19","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Foreign, Commonwealth and Development Office","20-29","100","100","35390","33900"
"In post","2022","LGBO","Foreign, Commonwealth and Development Office","30-39","150","150","48300","51500"
"In post","2022","LGBO","Foreign, Commonwealth and Development Office","40-49","90","90","53980","56130"
"In post","2022","LGBO","Foreign, Commonwealth and Development Office","50-59","50","50","59770","58470"
"In post","2022","LGBO","Foreign, Commonwealth and Development Office","60-64","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Foreign, Commonwealth and Development Office","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","HM Land Registry","16-19","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","HM Land Registry","20-29","60","60","25950","22600"
"In post","2022","LGBO","HM Land Registry","30-39","40","40","[c]","[c]"
"In post","2022","LGBO","HM Land Registry","40-49","30","30","[c]","[c]"
"In post","2022","LGBO","HM Land Registry","50-59","30","30","[c]","[c]"
"In post","2022","LGBO","HM Land Registry","60-64","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","HM Land Registry","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","HM Revenue and Customs","16-19","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","HM Revenue and Customs","20-29","790","770","29150","26590"
"In post","2022","LGBO","HM Revenue and Customs","30-39","840","830","35180","33080"
"In post","2022","LGBO","HM Revenue and Customs","40-49","540","520","36930","33370"
"In post","2022","LGBO","HM Revenue and Customs","50-59","520","490","36300","33370"
"In post","2022","LGBO","HM Revenue and Customs","60-64","110","90","33040","28920"
"In post","2022","LGBO","HM Revenue and Customs","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","HM Treasury","16-19","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","HM Treasury","20-29","110","110","37820","33210"
"In post","2022","LGBO","HM Treasury","30-39","60","60","52460","54700"
"In post","2022","LGBO","HM Treasury","40-49","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","HM Treasury","50-59","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","HM Treasury","60-64","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","HM Treasury","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Home Office","16-19","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Home Office","20-29","240","240","31210","25630"
"In post","2022","LGBO","Home Office","30-39","380","370","33270","28670"
"In post","2022","LGBO","Home Office","40-49","300","290","35850","30480"
"In post","2022","LGBO","Home Office","50-59","220","210","35580","30820"
"In post","2022","LGBO","Home Office","60-64","30","30","[c]","[c]"
"In post","2022","LGBO","Home Office","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Ministry of Defence","16-19","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Ministry of Defence","20-29","430","430","29570","27680"
"In post","2022","LGBO","Ministry of Defence","30-39","410","410","34610","33290"
"In post","2022","LGBO","Ministry of Defence","40-49","260","250","37910","35650"
"In post","2022","LGBO","Ministry of Defence","50-59","280","270","35630","33300"
"In post","2022","LGBO","Ministry of Defence","60-64","60","50","29350","26670"
"In post","2022","LGBO","Ministry of Defence","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Ministry of Justice","16-19","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Ministry of Justice","20-29","1220","1210","26710","24800"
"In post","2022","LGBO","Ministry of Justice","30-39","1270","1250","30940","28310"
"In post","2022","LGBO","Ministry of Justice","40-49","820","810","34390","31650"
"In post","2022","LGBO","Ministry of Justice","50-59","740","710","33910","31650"
"In post","2022","LGBO","Ministry of Justice","60-64","140","120","31690","28310"
"In post","2022","LGBO","Ministry of Justice","65+","50","40","[c]","[c]"
"In post","2022","LGBO","National Crime Agency","16-19","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","National Crime Agency","20-29","70","70","33020","32770"
"In post","2022","LGBO","National Crime Agency","30-39","80","80","37310","36410"
"In post","2022","LGBO","National Crime Agency","40-49","40","40","[c]","[c]"
"In post","2022","LGBO","National Crime Agency","50-59","30","30","[c]","[c]"
"In post","2022","LGBO","National Crime Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","National Crime Agency","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Northern Ireland Office","16-19","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Northern Ireland Office","20-29","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Northern Ireland Office","30-39","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Northern Ireland Office","40-49","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Northern Ireland Office","50-59","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Northern Ireland Office","60-64","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Northern Ireland Office","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office for Standards in Education, Children's Services and Skills","16-19","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office for Standards in Education, Children's Services and Skills","20-29","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office for Standards in Education, Children's Services and Skills","30-39","30","30","[c]","[c]"
"In post","2022","LGBO","Office for Standards in Education, Children's Services and Skills","40-49","50","50","[c]","[c]"
"In post","2022","LGBO","Office for Standards in Education, Children's Services and Skills","50-59","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office for Standards in Education, Children's Services and Skills","60-64","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office for Standards in Education, Children's Services and Skills","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of Gas and Electricity Markets","16-19","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of Gas and Electricity Markets","20-29","40","40","[c]","[c]"
"In post","2022","LGBO","Office of Gas and Electricity Markets","30-39","30","30","[c]","[c]"
"In post","2022","LGBO","Office of Gas and Electricity Markets","40-49","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of Gas and Electricity Markets","50-59","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of Gas and Electricity Markets","60-64","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of Gas and Electricity Markets","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of Qualifications and Examinations Regulation","16-19","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of Qualifications and Examinations Regulation","20-29","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of Qualifications and Examinations Regulation","30-39","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of Qualifications and Examinations Regulation","40-49","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of Qualifications and Examinations Regulation","50-59","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of Qualifications and Examinations Regulation","60-64","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of Qualifications and Examinations Regulation","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of Rail and Road","16-19","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of Rail and Road","20-29","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of Rail and Road","30-39","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of Rail and Road","40-49","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of Rail and Road","50-59","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of Rail and Road","60-64","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of Rail and Road","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of the Secretary of State for Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of the Secretary of State for Scotland","30-39","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of the Secretary of State for Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of the Secretary of State for Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of the Secretary of State for Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of the Secretary of State for Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of the Secretary of State for Wales","20-29","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of the Secretary of State for Wales","30-39","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of the Secretary of State for Wales","40-49","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of the Secretary of State for Wales","50-59","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of the Secretary of State for Wales","60-64","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Scottish Government","16-19","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Scottish Government","20-29","380","370","29090","27230"
"In post","2022","LGBO","Scottish Government","30-39","400","390","36980","34600"
"In post","2022","LGBO","Scottish Government","40-49","190","190","44940","40290"
"In post","2022","LGBO","Scottish Government","50-59","130","130","43190","36130"
"In post","2022","LGBO","Scottish Government","60-64","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Scottish Government","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","The National Archives","16-19","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","The National Archives","20-29","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","The National Archives","30-39","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","The National Archives","40-49","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","The National Archives","50-59","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","The National Archives","60-64","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","The National Archives","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","UK Export Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","UK Export Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","UK Export Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","UK Export Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","UK Export Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","UK Export Finance","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","UK Statistics Authority","16-19","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","UK Statistics Authority","20-29","120","120","31440","30710"
"In post","2022","LGBO","UK Statistics Authority","30-39","80","80","37280","36840"
"In post","2022","LGBO","UK Statistics Authority","40-49","40","40","[c]","[c]"
"In post","2022","LGBO","UK Statistics Authority","50-59","30","30","[c]","[c]"
"In post","2022","LGBO","UK Statistics Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","UK Statistics Authority","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","UK Supreme Court","20-29","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","UK Supreme Court","30-39","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","UK Supreme Court","40-49","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","UK Supreme Court","50-59","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","UK Supreme Court","60-64","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","UK Supreme Court","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Water Services Regulation Authority","20-29","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Water Services Regulation Authority","30-39","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Water Services Regulation Authority","40-49","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Water Services Regulation Authority","50-59","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Water Services Regulation Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Government","16-19","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Government","20-29","50","40","[c]","[c]"
"In post","2022","LGBO","Welsh Government","30-39","60","60","43060","38160"
"In post","2022","LGBO","Welsh Government","40-49","60","60","46940","43090"
"In post","2022","LGBO","Welsh Government","50-59","60","60","49130","47470"
"In post","2022","LGBO","Welsh Government","60-64","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Government","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Attorney General's Departments","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Attorney General's Departments","20-29","80","80","29280","26950"
"In post","2022","Undeclared","Attorney General's Departments","30-39","100","100","46880","50500"
"In post","2022","Undeclared","Attorney General's Departments","40-49","110","100","53770","55000"
"In post","2022","Undeclared","Attorney General's Departments","50-59","110","100","51380","53050"
"In post","2022","Undeclared","Attorney General's Departments","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Attorney General's Departments","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Cabinet Office","20-29","140","140","38960","34550"
"In post","2022","Undeclared","Cabinet Office","30-39","150","150","49760","54700"
"In post","2022","Undeclared","Cabinet Office","40-49","140","130","50430","54440"
"In post","2022","Undeclared","Cabinet Office","50-59","110","110","53720","47240"
"In post","2022","Undeclared","Cabinet Office","60-64","30","30","[c]","[c]"
"In post","2022","Undeclared","Cabinet Office","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Chancellor's other departments","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Chancellor's other departments","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Chancellor's other departments","40-49","30","30","[c]","[c]"
"In post","2022","Undeclared","Chancellor's other departments","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Chancellor's other departments","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Chancellor's other departments","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Charity Commission","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Charity Commission","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Charity Commission","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy","20-29","240","230","38360","37420"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy","30-39","320","310","43980","40140"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy","40-49","330","310","45880","41940"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy","50-59","320","310","45310","42060"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy","60-64","70","60","39370","35990"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy","65+","30","30","[c]","[c]"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","20-29","70","70","35470","34020"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","30-39","50","50","[c]","[c]"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Education","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Education","20-29","90","90","35430","33300"
"In post","2022","Undeclared","Department for Education","30-39","180","180","46150","49860"
"In post","2022","Undeclared","Department for Education","40-49","150","140","45880","40940"
"In post","2022","Undeclared","Department for Education","50-59","150","140","44550","40940"
"In post","2022","Undeclared","Department for Education","60-64","40","30","[c]","[c]"
"In post","2022","Undeclared","Department for Education","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs","20-29","180","180","30920","29750"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs","30-39","190","190","37350","35900"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs","40-49","230","220","39920","36970"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs","50-59","270","260","37300","34980"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs","60-64","80","60","34570","30900"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for International Trade","20-29","30","30","[c]","[c]"
"In post","2022","Undeclared","Department for International Trade","30-39","50","50","50580","51970"
"In post","2022","Undeclared","Department for International Trade","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for International Trade","50-59","30","30","[c]","[c]"
"In post","2022","Undeclared","Department for International Trade","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for International Trade","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities","20-29","60","60","36880","33210"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities","30-39","60","50","46640","46000"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities","40-49","70","70","50440","48200"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities","50-59","70","70","45310","43740"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Transport","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Transport","20-29","90","90","32640","30730"
"In post","2022","Undeclared","Department for Transport","30-39","380","350","31250","26700"
"In post","2022","Undeclared","Department for Transport","40-49","750","680","30870","26700"
"In post","2022","Undeclared","Department for Transport","50-59","890","810","31380","26780"
"In post","2022","Undeclared","Department for Transport","60-64","430","320","27530","26700"
"In post","2022","Undeclared","Department for Transport","65+","180","120","27430","26780"
"In post","2022","Undeclared","Department for Work and Pensions","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Work and Pensions","20-29","520","510","27040","27570"
"In post","2022","Undeclared","Department for Work and Pensions","30-39","940","880","29170","27570"
"In post","2022","Undeclared","Department for Work and Pensions","40-49","1670","1530","28850","27570"
"In post","2022","Undeclared","Department for Work and Pensions","50-59","3300","2990","28580","27570"
"In post","2022","Undeclared","Department for Work and Pensions","60-64","1090","850","27380","27570"
"In post","2022","Undeclared","Department for Work and Pensions","65+","290","210","26800","27570"
"In post","2022","Undeclared","Department of Health and Social Care","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department of Health and Social Care","20-29","700","680","35320","32790"
"In post","2022","Undeclared","Department of Health and Social Care","30-39","590","560","46180","41990"
"In post","2022","Undeclared","Department of Health and Social Care","40-49","470","440","51740","51060"
"In post","2022","Undeclared","Department of Health and Social Care","50-59","390","370","53840","51300"
"In post","2022","Undeclared","Department of Health and Social Care","60-64","80","70","58280","52610"
"In post","2022","Undeclared","Department of Health and Social Care","65+","40","40","[c]","[c]"
"In post","2022","Undeclared","Estyn","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","40-49","30","30","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","50-59","40","40","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office","20-29","70","70","35160","35700"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office","30-39","140","140","47440","44640"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office","40-49","160","150","51590","54470"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office","50-59","220","210","52290","49040"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office","60-64","40","30","[c]","[c]"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","HM Land Registry","20-29","30","30","[c]","[c]"
"In post","2022","Undeclared","HM Land Registry","30-39","40","40","[c]","[c]"
"In post","2022","Undeclared","HM Land Registry","40-49","100","90","34120","33840"
"In post","2022","Undeclared","HM Land Registry","50-59","360","330","33330","33840"
"In post","2022","Undeclared","HM Land Registry","60-64","110","70","34210","33840"
"In post","2022","Undeclared","HM Land Registry","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","HM Revenue and Customs","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","HM Revenue and Customs","20-29","390","390","31260","27220"
"In post","2022","Undeclared","HM Revenue and Customs","30-39","760","730","34560","33080"
"In post","2022","Undeclared","HM Revenue and Customs","40-49","1130","1070","35950","33370"
"In post","2022","Undeclared","HM Revenue and Customs","50-59","1900","1760","36640","33370"
"In post","2022","Undeclared","HM Revenue and Customs","60-64","580","440","34150","28920"
"In post","2022","Undeclared","HM Revenue and Customs","65+","180","130","31650","28920"
"In post","2022","Undeclared","HM Treasury","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","HM Treasury","20-29","130","130","38210","32320"
"In post","2022","Undeclared","HM Treasury","30-39","90","80","53390","52850"
"In post","2022","Undeclared","HM Treasury","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","HM Treasury","50-59","40","40","[c]","[c]"
"In post","2022","Undeclared","HM Treasury","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","HM Treasury","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Home Office","20-29","220","210","30640","25040"
"In post","2022","Undeclared","Home Office","30-39","580","550","33990","28670"
"In post","2022","Undeclared","Home Office","40-49","1040","970","34320","29450"
"In post","2022","Undeclared","Home Office","50-59","1540","1440","33370","29080"
"In post","2022","Undeclared","Home Office","60-64","400","320","31430","27570"
"In post","2022","Undeclared","Home Office","65+","130","100","29460","28910"
"In post","2022","Undeclared","Ministry of Defence","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Ministry of Defence","20-29","350","350","30240","28750"
"In post","2022","Undeclared","Ministry of Defence","30-39","720","700","36750","36300"
"In post","2022","Undeclared","Ministry of Defence","40-49","1170","1130","37860","34970"
"In post","2022","Undeclared","Ministry of Defence","50-59","2540","2480","35720","33300"
"In post","2022","Undeclared","Ministry of Defence","60-64","850","780","33250","31870"
"In post","2022","Undeclared","Ministry of Defence","65+","270","240","32560","29470"
