"Status","Year","Function_of_post","Ethnicity","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Digital, Data & Technology","Other ethnicity","SEO/HEO","60","60","37330","37440"
"In post","2022","Digital, Data & Technology","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","AA/AO","50","50","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","EO","200","190","28250","27570"
"In post","2022","Digital, Data & Technology","Undeclared","G6/G7","290","290","58940","57300"
"In post","2022","Digital, Data & Technology","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","SEO/HEO","610","590","38310","38000"
"In post","2022","Digital, Data & Technology","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","AA/AO","120","120","21550","21250"
"In post","2022","Digital, Data & Technology","Unknown","EO","560","550","27580","27130"
"In post","2022","Digital, Data & Technology","Unknown","G6/G7","810","790","58260","55620"
"In post","2022","Digital, Data & Technology","Unknown","SCS","40","40","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","SEO/HEO","1500","1470","37590","36840"
"In post","2022","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","White","AA/AO","690","670","21820","21380"
"In post","2022","Digital, Data & Technology","White","EO","2570","2440","27510","27130"
"In post","2022","Digital, Data & Technology","White","G6/G7","4210","4120","57600","55210"
"In post","2022","Digital, Data & Technology","White","SCS","240","240","91120","84270"
"In post","2022","Digital, Data & Technology","White","SEO/HEO","7580","7330","37350","36840"
"In post","2022","Digital, Data & Technology","White","Unknown","60","50","35370","32710"
"In post","2022","Finance","Asian","AA/AO","120","100","21900","21250"
"In post","2022","Finance","Asian","EO","220","210","27530","27140"
"In post","2022","Finance","Asian","G6/G7","210","200","58930","57540"
"In post","2022","Finance","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Asian","SEO/HEO","570","560","37770","37030"
"In post","2022","Finance","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Black","AA/AO","40","30","[c]","[c]"
"In post","2022","Finance","Black","EO","80","80","28630","28920"
"In post","2022","Finance","Black","G6/G7","80","80","57660","55540"
"In post","2022","Finance","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Black","SEO/HEO","240","240","38590","37930"
"In post","2022","Finance","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Mixed","EO","30","30","[c]","[c]"
"In post","2022","Finance","Mixed","G6/G7","60","50","58200","56340"
"In post","2022","Finance","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Mixed","SEO/HEO","100","90","37350","36350"
"In post","2022","Finance","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Undeclared","AA/AO","70","60","21870","21260"
"In post","2022","Finance","Undeclared","EO","90","90","27470","26870"
"In post","2022","Finance","Undeclared","G6/G7","100","100","58920","57400"
"In post","2022","Finance","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Undeclared","SEO/HEO","240","230","37880","36540"
"In post","2022","Finance","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","AA/AO","340","300","21760","21250"
"In post","2022","Finance","Unknown","EO","210","210","26530","26590"
"In post","2022","Finance","Unknown","G6/G7","290","280","57950","55210"
"In post","2022","Finance","Unknown","SCS","30","30","[c]","[c]"
"In post","2022","Finance","Unknown","SEO/HEO","600","580","37200","36820"
"In post","2022","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","White","AA/AO","1130","950","21700","21260"
"In post","2022","Finance","White","EO","1450","1360","26690","26750"
"In post","2022","Finance","White","G6/G7","2020","1970","58360","56860"
"In post","2022","Finance","White","SCS","230","230","88020","80190"
"In post","2022","Finance","White","SEO/HEO","3650","3490","36980","36500"
"In post","2022","Finance","White","Unknown","50","50","[c]","[c]"
"In post","2022","Grants Management","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Asian","EO","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Asian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Black","EO","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Undeclared","EO","40","30","[c]","[c]"
"In post","2022","Grants Management","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Unknown","AA/AO","580","550","21270","21300"
"In post","2022","Grants Management","Unknown","EO","180","170","25060","24920"
"In post","2022","Grants Management","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Unknown","SEO/HEO","70","70","31780","30490"
"In post","2022","Grants Management","White","AA/AO","630","550","21280","21300"
"In post","2022","Grants Management","White","EO","380","340","25580","25190"
"In post","2022","Grants Management","White","G6/G7","40","40","[c]","[c]"
"In post","2022","Grants Management","White","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","White","SEO/HEO","250","230","32720","31080"
"In post","2022","Human Resources","Asian","AA/AO","70","70","21920","21250"
"In post","2022","Human Resources","Asian","EO","180","170","28010","27570"
"In post","2022","Human Resources","Asian","G6/G7","120","110","57830","55980"
"In post","2022","Human Resources","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Asian","SEO/HEO","280","280","36510","36570"
"In post","2022","Human Resources","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Black","AA/AO","30","30","[c]","[c]"
"In post","2022","Human Resources","Black","EO","110","110","28070","27570"
"In post","2022","Human Resources","Black","G6/G7","50","50","[c]","[c]"
"In post","2022","Human Resources","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Black","SEO/HEO","180","180","37500","37000"
"In post","2022","Human Resources","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Mixed","EO","60","50","27730","27530"
"In post","2022","Human Resources","Mixed","G6/G7","60","60","57830","57590"
"In post","2022","Human Resources","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Mixed","SEO/HEO","110","100","36380","36320"
"In post","2022","Human Resources","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Undeclared","AA/AO","60","50","21640","21380"
"In post","2022","Human Resources","Undeclared","EO","90","80","28020","27570"
"In post","2022","Human Resources","Undeclared","G6/G7","50","50","58880","57480"
"In post","2022","Human Resources","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Undeclared","SEO/HEO","160","150","36800","36050"
"In post","2022","Human Resources","Unknown","AA/AO","190","170","21590","21250"
"In post","2022","Human Resources","Unknown","EO","250","240","27120","26820"
"In post","2022","Human Resources","Unknown","G6/G7","180","180","57910","56630"
"In post","2022","Human Resources","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","SEO/HEO","420","410","35840","35560"
"In post","2022","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","White","AA/AO","1260","1140","21660","21280"
"In post","2022","Human Resources","White","EO","1880","1750","27140","27130"
"In post","2022","Human Resources","White","G6/G7","1880","1820","57640","55410"
"In post","2022","Human Resources","White","SCS","210","200","87760","80000"
"In post","2022","Human Resources","White","SEO/HEO","3690","3500","36220","35310"
"In post","2022","Human Resources","White","Unknown","30","30","[c]","[c]"
"In post","2022","Internal Audit","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Asian","EO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Asian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Asian","SEO/HEO","60","50","41240","40180"
"In post","2022","Internal Audit","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Black","EO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","White","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","White","EO","40","30","[c]","[c]"
"In post","2022","Internal Audit","White","G6/G7","160","160","58630","58930"
"In post","2022","Internal Audit","White","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","White","SEO/HEO","330","310","40400","40520"
"In post","2022","Legal","Asian","AA/AO","190","170","22980","23770"
"In post","2022","Legal","Asian","EO","220","210","27970","27350"
"In post","2022","Legal","Asian","G6/G7","570","530","57450","54200"
"In post","2022","Legal","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Asian","SEO/HEO","180","170","38090","38000"
"In post","2022","Legal","Black","AA/AO","130","120","23390","23770"
"In post","2022","Legal","Black","EO","150","150","28460","27760"
"In post","2022","Legal","Black","G6/G7","240","230","58810","57280"
"In post","2022","Legal","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Black","SEO/HEO","110","110","37230","37930"
"In post","2022","Legal","Mixed","AA/AO","40","30","[c]","[c]"
"In post","2022","Legal","Mixed","EO","50","50","[c]","[c]"
"In post","2022","Legal","Mixed","G6/G7","170","160","58870","56360"
"In post","2022","Legal","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Mixed","SEO/HEO","50","50","37220","37400"
"In post","2022","Legal","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Other ethnicity","G6/G7","60","60","59750","59850"
"In post","2022","Legal","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Undeclared","AA/AO","40","30","[c]","[c]"
"In post","2022","Legal","Undeclared","EO","50","50","28340","28420"
"In post","2022","Legal","Undeclared","G6/G7","180","170","61470","61360"
"In post","2022","Legal","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Undeclared","SEO/HEO","60","60","39870","38020"
"In post","2022","Legal","Unknown","AA/AO","180","160","23220","23720"
"In post","2022","Legal","Unknown","EO","230","220","28230","27790"
"In post","2022","Legal","Unknown","G6/G7","700","650","60790","59990"
"In post","2022","Legal","Unknown","SCS","50","50","[c]","[c]"
"In post","2022","Legal","Unknown","SEO/HEO","240","230","37300","37610"
"In post","2022","Legal","White","AA/AO","1050","970","22580","22200"
"In post","2022","Legal","White","EO","1400","1300","27920","27740"
"In post","2022","Legal","White","G6/G7","4080","3750","59420","57750"
"In post","2022","Legal","White","SCS","350","330","87950","82720"
"In post","2022","Legal","White","SEO/HEO","1540","1460","40220","38550"
"In post","2022","No function","Asian","AA/AO","5370","4750","22430","21260"
"In post","2022","No function","Asian","EO","6370","5940","28630","27570"
"In post","2022","No function","Asian","G6/G7","1300","1270","58290","55210"
"In post","2022","No function","Asian","SCS","190","180","92470","87600"
"In post","2022","No function","Asian","SEO/HEO","3970","3840","37130","36260"
"In post","2022","No function","Asian","Unknown","740","690","29380","27980"
"In post","2022","No function","Black","AA/AO","2910","2730","24940","23950"
"In post","2022","No function","Black","EO","3680","3530","29600","30170"
"In post","2022","No function","Black","G6/G7","490","490","57190","54270"
"In post","2022","No function","Black","SCS","60","60","91960","82510"
"In post","2022","No function","Black","SEO/HEO","1910","1870","37630","36820"
"In post","2022","No function","Black","Unknown","1170","1130","31510","28690"
"In post","2022","No function","Mixed","AA/AO","1470","1360","23790","21650"
"In post","2022","No function","Mixed","EO","1480","1400","28630","27570"
"In post","2022","No function","Mixed","G6/G7","580","570","58130","54790"
"In post","2022","No function","Mixed","SCS","80","70","85020","78000"
"In post","2022","No function","Mixed","SEO/HEO","1220","1190","37020","35930"
"In post","2022","No function","Mixed","Unknown","530","500","30720","28300"
"In post","2022","No function","Other ethnicity","AA/AO","410","390","24310","23140"
"In post","2022","No function","Other ethnicity","EO","450","420","29050","28310"
"In post","2022","No function","Other ethnicity","G6/G7","200","200","58930","55720"
"In post","2022","No function","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Other ethnicity","SEO/HEO","390","380","38160","36830"
"In post","2022","No function","Other ethnicity","Unknown","100","100","31220","29080"
"In post","2022","No function","Undeclared","AA/AO","3020","2670","22870","21260"
"In post","2022","No function","Undeclared","EO","3120","2850","28950","27570"
"In post","2022","No function","Undeclared","G6/G7","1070","1030","58540","56340"
"In post","2022","No function","Undeclared","SCS","100","100","88540","78230"
"In post","2022","No function","Undeclared","SEO/HEO","2190","2080","37890","36970"
"In post","2022","No function","Undeclared","Unknown","460","420","31980","31980"
"In post","2022","No function","Unknown","AA/AO","16100","14820","22860","21260"
"In post","2022","No function","Unknown","EO","8210","7780","28730","27570"
"In post","2022","No function","Unknown","G6/G7","2910","2840","58010","55210"
"In post","2022","No function","Unknown","SCS","400","390","90710","80900"
"In post","2022","No function","Unknown","SEO/HEO","8310","8080","35020","33370"
"In post","2022","No function","Unknown","Unknown","3630","3270","28280","26310"
"In post","2022","No function","White","AA/AO","64500","57200","23030","21260"
"In post","2022","No function","White","EO","53490","48860","28170","27570"
"In post","2022","No function","White","G6/G7","18110","17480","58620","55410"
"In post","2022","No function","White","SCS","2480","2380","89660","81030"
"In post","2022","No function","White","SEO/HEO","38770","37050","37190","36040"
"In post","2022","No function","White","Unknown","12560","11670","30430","28200"
"In post","2022","Project Delivery","Asian","AA/AO","60","40","23590","23460"
"In post","2022","Project Delivery","Asian","EO","170","160","26900","27200"
"In post","2022","Project Delivery","Asian","G6/G7","320","310","59630","58030"
"In post","2022","Project Delivery","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Asian","SEO/HEO","640","630","37460","37640"
"In post","2022","Project Delivery","Asian","Unknown","40","40","[c]","[c]"
"In post","2022","Project Delivery","Black","AA/AO","50","40","[c]","[c]"
"In post","2022","Project Delivery","Black","EO","100","100","27790","28270"
"In post","2022","Project Delivery","Black","G6/G7","150","150","58640","58650"
"In post","2022","Project Delivery","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Black","SEO/HEO","380","370","37170","37730"
"In post","2022","Project Delivery","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Mixed","EO","50","50","[c]","[c]"
"In post","2022","Project Delivery","Mixed","G6/G7","130","120","58970","58110"
"In post","2022","Project Delivery","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Mixed","SEO/HEO","230","220","36440","37000"
"In post","2022","Project Delivery","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Other ethnicity","G6/G7","40","40","[c]","[c]"
"In post","2022","Project Delivery","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Other ethnicity","SEO/HEO","60","50","37530","38330"
"In post","2022","Project Delivery","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Undeclared","AA/AO","40","30","[c]","[c]"
"In post","2022","Project Delivery","Undeclared","EO","110","110","26000","26670"
"In post","2022","Project Delivery","Undeclared","G6/G7","320","310","57770","55710"
"In post","2022","Project Delivery","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Undeclared","SEO/HEO","700","670","37640","38180"
"In post","2022","Project Delivery","Undeclared","Unknown","90","90","44630","42250"
"In post","2022","Project Delivery","Unknown","AA/AO","80","70","22250","21300"
"In post","2022","Project Delivery","Unknown","EO","400","380","24540","26030"
"In post","2022","Project Delivery","Unknown","G6/G7","870","860","57620","55210"
"In post","2022","Project Delivery","Unknown","SCS","50","50","95860","84410"
"In post","2022","Project Delivery","Unknown","SEO/HEO","1190","1160","36700","37620"
"In post","2022","Project Delivery","Unknown","Unknown","110","110","35740","32710"
"In post","2022","Project Delivery","White","AA/AO","390","350","21530","21260"
"In post","2022","Project Delivery","White","EO","2600","2450","24590","25500"
"In post","2022","Project Delivery","White","G6/G7","5410","5250","58040","55390"
"In post","2022","Project Delivery","White","SCS","490","480","92330","83980"
"In post","2022","Project Delivery","White","SEO/HEO","9860","9430","36600","36840"
"In post","2022","Project Delivery","White","Unknown","1340","1300","41430","39860"
"In post","2022","Property","Asian","AA/AO","50","40","[c]","[c]"
"In post","2022","Property","Asian","EO","160","150","26330","26820"
"In post","2022","Property","Asian","G6/G7","70","70","58300","55110"
"In post","2022","Property","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Property","Asian","SEO/HEO","180","170","37850","36990"
"In post","2022","Property","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Property","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Black","EO","60","60","27580","28500"
"In post","2022","Property","Black","G6/G7","30","30","[c]","[c]"
"In post","2022","Property","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Property","Black","SEO/HEO","100","90","38530","37320"
"In post","2022","Property","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Property","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Property","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Property","Mixed","SEO/HEO","50","50","38190","37550"
"In post","2022","Property","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Property","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Property","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Property","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Property","Undeclared","AA/AO","120","100","22610","22040"
"In post","2022","Property","Undeclared","EO","160","150","27850","27000"
"In post","2022","Property","Undeclared","G6/G7","130","120","59460","58250"
"In post","2022","Property","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Property","Undeclared","SEO/HEO","300","280","38530","37580"
"In post","2022","Property","Unknown","AA/AO","490","470","22380","22010"
"In post","2022","Property","Unknown","EO","310","300","27060","26350"
"In post","2022","Property","Unknown","G6/G7","140","140","59070","56500"
"In post","2022","Property","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Property","Unknown","SEO/HEO","380","370","36960","36050"
"In post","2022","Property","White","AA/AO","1150","1080","20890","21750"
"In post","2022","Property","White","EO","1190","1120","26550","26670"
"In post","2022","Property","White","G6/G7","1340","1310","58280","57150"
"In post","2022","Property","White","SCS","100","90","90290","83740"
"In post","2022","Property","White","SEO/HEO","2890","2780","37530","36460"
"In post","2022","Property","White","Unknown","40","40","[c]","[c]"
"In post","2022","Security","Asian","AA/AO","130","130","25060","22900"
"In post","2022","Security","Asian","EO","50","40","[c]","[c]"
"In post","2022","Security","Asian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Security","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Security","Asian","SEO/HEO","110","110","38400","37600"
"In post","2022","Security","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Security","Black","AA/AO","60","60","24740","22900"
"In post","2022","Security","Black","EO","[c]","[c]","[c]","[c]"
"In post","2022","Security","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Security","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Security","Black","SEO/HEO","40","40","[c]","[c]"
"In post","2022","Security","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Security","Mixed","AA/AO","50","50","[c]","[c]"
"In post","2022","Security","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2022","Security","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Security","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Security","Mixed","SEO/HEO","50","50","39180","36510"
"In post","2022","Security","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Security","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Security","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2022","Security","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Security","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Security","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Security","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Security","Undeclared","AA/AO","220","210","29720","27680"
"In post","2022","Security","Undeclared","EO","80","80","34400","30620"
"In post","2022","Security","Undeclared","G6/G7","50","50","[c]","[c]"
"In post","2022","Security","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Security","Undeclared","SEO/HEO","180","180","39310","37640"
"In post","2022","Security","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Security","Unknown","AA/AO","860","850","27430","25000"
"In post","2022","Security","Unknown","EO","190","190","29580","26670"
"In post","2022","Security","Unknown","G6/G7","70","70","58550","55210"
"In post","2022","Security","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Security","Unknown","SEO/HEO","280","280","37790","35490"
"In post","2022","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Security","White","AA/AO","4340","4220","26780","22280"
"In post","2022","Security","White","EO","1150","1110","32080","28700"
"In post","2022","Security","White","G6/G7","430","430","59390","57990"
"In post","2022","Security","White","SCS","50","50","[c]","[c]"
"In post","2022","Security","White","SEO/HEO","2000","1960","38980","37300"
"In post","2022","Security","White","Unknown","150","150","32480","31020"
"In post","2022","Unknown","Asian","AA/AO","1380","1220","23320","22460"
"In post","2022","Unknown","Asian","EO","1980","1840","28020","28670"
"In post","2022","Unknown","Asian","G6/G7","440","420","61640","57740"
"In post","2022","Unknown","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Asian","SEO/HEO","1550","1510","37650","35860"
"In post","2022","Unknown","Asian","Unknown","40","40","[c]","[c]"
"In post","2022","Unknown","Black","AA/AO","510","460","23820","25630"
"In post","2022","Unknown","Black","EO","820","770","28590","28810"
"In post","2022","Unknown","Black","G6/G7","190","180","60820","57680"
"In post","2022","Unknown","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Black","SEO/HEO","700","690","38240","36650"
"In post","2022","Unknown","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Mixed","AA/AO","230","210","22720","21680"
"In post","2022","Unknown","Mixed","EO","340","320","27560","27330"
"In post","2022","Unknown","Mixed","G6/G7","190","180","60920","57740"
