"Status","Year","Sexual_orientation","Function_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Undeclared","Commercial","40-49","130","130","44270","40580"
"In post","2022","Undeclared","Commercial","50-59","160","150","47040","42000"
"In post","2022","Undeclared","Commercial","60-64","50","40","[c]","[c]"
"In post","2022","Undeclared","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Communications","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Communications","20-29","140","140","33190","27450"
"In post","2022","Undeclared","Communications","30-39","190","180","39550","34830"
"In post","2022","Undeclared","Communications","40-49","130","120","40960","33370"
"In post","2022","Undeclared","Communications","50-59","130","130","40040","34610"
"In post","2022","Undeclared","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Counter Fraud","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Counter Fraud","20-29","80","80","30940","27570"
"In post","2022","Undeclared","Counter Fraud","30-39","150","150","33620","33080"
"In post","2022","Undeclared","Counter Fraud","40-49","360","340","33760","31990"
"In post","2022","Undeclared","Counter Fraud","50-59","700","650","33800","31020"
"In post","2022","Undeclared","Counter Fraud","60-64","200","150","32210","28060"
"In post","2022","Undeclared","Counter Fraud","65+","70","50","31490","27570"
"In post","2022","Undeclared","Debt","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Debt","20-29","30","30","[c]","[c]"
"In post","2022","Undeclared","Debt","30-39","70","60","23230","21260"
"In post","2022","Undeclared","Debt","40-49","100","90","23410","21260"
"In post","2022","Undeclared","Debt","50-59","200","170","24190","22080"
"In post","2022","Undeclared","Debt","60-64","80","60","23650","22080"
"In post","2022","Undeclared","Debt","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","20-29","240","240","33960","32790"
"In post","2022","Undeclared","Digital, Data & Technology","30-39","460","450","42650","40070"
"In post","2022","Undeclared","Digital, Data & Technology","40-49","630","610","42710","40000"
"In post","2022","Undeclared","Digital, Data & Technology","50-59","780","760","41490","38450"
"In post","2022","Undeclared","Digital, Data & Technology","60-64","170","160","39140","37020"
"In post","2022","Undeclared","Digital, Data & Technology","65+","50","40","[c]","[c]"
"In post","2022","Undeclared","Finance","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","20-29","150","150","33700","32790"
"In post","2022","Undeclared","Finance","30-39","200","190","43440","40650"
"In post","2022","Undeclared","Finance","40-49","280","270","42390","37590"
"In post","2022","Undeclared","Finance","50-59","430","410","39610","35340"
"In post","2022","Undeclared","Finance","60-64","130","110","37280","34200"
"In post","2022","Undeclared","Finance","65+","40","30","[c]","[c]"
"In post","2022","Undeclared","Grants Management","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Grants Management","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Grants Management","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Grants Management","50-59","30","30","[c]","[c]"
"In post","2022","Undeclared","Grants Management","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Grants Management","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","20-29","100","100","31560","28310"
"In post","2022","Undeclared","Human Resources","30-39","130","120","36630","33000"
"In post","2022","Undeclared","Human Resources","40-49","190","180","36410","33300"
"In post","2022","Undeclared","Human Resources","50-59","300","280","36910","33300"
"In post","2022","Undeclared","Human Resources","60-64","80","70","34120","31740"
"In post","2022","Undeclared","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","50-59","50","50","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","20-29","90","90","30530","26950"
"In post","2022","Undeclared","Legal","30-39","150","140","49690","51510"
"In post","2022","Undeclared","Legal","40-49","170","160","55610","60070"
"In post","2022","Undeclared","Legal","50-59","190","180","52330","53270"
"In post","2022","Undeclared","Legal","60-64","50","40","[c]","[c]"
"In post","2022","Undeclared","Legal","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","20-29","2460","2420","31160","28970"
"In post","2022","Undeclared","No function","30-39","3880","3690","34370","30950"
"In post","2022","Undeclared","No function","40-49","4970","4620","33950","28310"
"In post","2022","Undeclared","No function","50-59","7850","7230","32450","27570"
"In post","2022","Undeclared","No function","60-64","2550","2020","30060","27570"
"In post","2022","Undeclared","No function","65+","820","590","30120","26780"
"In post","2022","Undeclared","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","20-29","180","180","32200","31430"
"In post","2022","Undeclared","Project Delivery","30-39","360","360","41060","39610"
"In post","2022","Undeclared","Project Delivery","40-49","560","540","44400","40580"
"In post","2022","Undeclared","Project Delivery","50-59","900","870","44700","40910"
"In post","2022","Undeclared","Project Delivery","60-64","260","220","40530","39750"
"In post","2022","Undeclared","Project Delivery","65+","70","60","42220","39550"
"In post","2022","Undeclared","Property","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","20-29","40","40","[c]","[c]"
"In post","2022","Undeclared","Property","30-39","90","90","38550","36050"
"In post","2022","Undeclared","Property","40-49","200","190","39220","35790"
"In post","2022","Undeclared","Property","50-59","350","340","39380","35860"
"In post","2022","Undeclared","Property","60-64","110","90","37270","33300"
"In post","2022","Undeclared","Property","65+","40","40","[c]","[c]"
"In post","2022","Undeclared","Security","20-29","80","80","31840","30200"
"In post","2022","Undeclared","Security","30-39","160","160","36930","37560"
"In post","2022","Undeclared","Security","40-49","260","260","37900","39070"
"In post","2022","Undeclared","Security","50-59","440","440","36380","39070"
"In post","2022","Undeclared","Security","60-64","130","110","33110","33300"
"In post","2022","Undeclared","Security","65+","40","30","[c]","[c]"
"In post","2022","Undeclared","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","20-29","490","480","31330","27940"
"In post","2022","Undeclared","Unknown","30-39","1110","1070","36280","31540"
"In post","2022","Undeclared","Unknown","40-49","1760","1660","36860","30980"
"In post","2022","Undeclared","Unknown","50-59","2830","2710","34950","29880"
"In post","2022","Undeclared","Unknown","60-64","830","720","32140","27670"
"In post","2022","Undeclared","Unknown","65+","300","250","31960","29080"
"In post","2022","Unknown","Analysis","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","20-29","570","560","33690","31020"
"In post","2022","Unknown","Analysis","30-39","480","470","41690","38340"
"In post","2022","Unknown","Analysis","40-49","370","350","44650","42560"
"In post","2022","Unknown","Analysis","50-59","240","230","47520","44510"
"In post","2022","Unknown","Analysis","60-64","60","50","44830","47060"
"In post","2022","Unknown","Analysis","65+","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","20-29","270","270","38800","33570"
"In post","2022","Unknown","Commercial","30-39","460","450","54780","54700"
"In post","2022","Unknown","Commercial","40-49","600","590","64700","62130"
"In post","2022","Unknown","Commercial","50-59","540","530","66080","61850"
"In post","2022","Unknown","Commercial","60-64","90","90","58250","55250"
"In post","2022","Unknown","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","20-29","760","760","30090","26820"
"In post","2022","Unknown","Communications","30-39","770","750","34280","31020"
"In post","2022","Unknown","Communications","40-49","470","450","37440","33080"
"In post","2022","Unknown","Communications","50-59","270","250","35610","29910"
"In post","2022","Unknown","Communications","60-64","50","40","[c]","[c]"
"In post","2022","Unknown","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","20-29","590","590","29750","26820"
"In post","2022","Unknown","Counter Fraud","30-39","790","760","31960","30750"
"In post","2022","Unknown","Counter Fraud","40-49","880","820","32050","31000"
"In post","2022","Unknown","Counter Fraud","50-59","1310","1220","32100","29560"
"In post","2022","Unknown","Counter Fraud","60-64","410","310","30410","27570"
"In post","2022","Unknown","Counter Fraud","65+","140","100","29960","27570"
"In post","2022","Unknown","Debt","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Debt","20-29","500","480","22260","21250"
"In post","2022","Unknown","Debt","30-39","410","380","22820","21250"
"In post","2022","Unknown","Debt","40-49","350","300","23750","21260"
"In post","2022","Unknown","Debt","50-59","500","440","24860","22080"
"In post","2022","Unknown","Debt","60-64","190","150","24280","22080"
"In post","2022","Unknown","Debt","65+","50","40","25200","22080"
"In post","2022","Unknown","Digital, Data & Technology","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","20-29","790","790","34000","33080"
"In post","2022","Unknown","Digital, Data & Technology","30-39","1000","990","42350","39270"
"In post","2022","Unknown","Digital, Data & Technology","40-49","1040","1020","44500","40520"
"In post","2022","Unknown","Digital, Data & Technology","50-59","860","840","43720","40180"
"In post","2022","Unknown","Digital, Data & Technology","60-64","180","160","41310","37430"
"In post","2022","Unknown","Digital, Data & Technology","65+","50","40","35670","33980"
"In post","2022","Unknown","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","20-29","360","350","30530","27570"
"In post","2022","Unknown","Finance","30-39","450","430","38540","36500"
"In post","2022","Unknown","Finance","40-49","540","510","40340","36050"
"In post","2022","Unknown","Finance","50-59","620","570","37120","33170"
"In post","2022","Unknown","Finance","60-64","170","140","33040","29590"
"In post","2022","Unknown","Finance","65+","40","30","[c]","[c]"
"In post","2022","Unknown","Grants Management","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Grants Management","20-29","230","230","22220","21300"
"In post","2022","Unknown","Grants Management","30-39","250","230","23680","21300"
"In post","2022","Unknown","Grants Management","40-49","320","290","24690","21300"
"In post","2022","Unknown","Grants Management","50-59","230","210","26600","21300"
"In post","2022","Unknown","Grants Management","60-64","70","60","24450","21300"
"In post","2022","Unknown","Grants Management","65+","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","20-29","260","260","29410","26820"
"In post","2022","Unknown","Human Resources","30-39","350","340","36620","33080"
"In post","2022","Unknown","Human Resources","40-49","340","320","36730","33080"
"In post","2022","Unknown","Human Resources","50-59","360","340","37450","33370"
"In post","2022","Unknown","Human Resources","60-64","90","80","32590","28920"
"In post","2022","Unknown","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","65+","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","20-29","190","190","33140","30600"
"In post","2022","Unknown","Legal","30-39","440","410","47930","51370"
"In post","2022","Unknown","Legal","40-49","810","720","50890","54200"
"In post","2022","Unknown","Legal","50-59","940","860","48720","54200"
"In post","2022","Unknown","Legal","60-64","210","170","46880","53050"
"In post","2022","Unknown","Legal","65+","70","50","50870","55610"
"In post","2022","Unknown","No function","16-19","260","240","21720","21250"
"In post","2022","Unknown","No function","20-29","12990","12780","27880","26840"
"In post","2022","Unknown","No function","30-39","12670","11850","31280","27570"
"In post","2022","Unknown","No function","40-49","12410","11260","32040","27570"
"In post","2022","Unknown","No function","50-59","15740","14250","30800","27570"
"In post","2022","Unknown","No function","60-64","4970","3860","29310","27080"
"In post","2022","Unknown","No function","65+","1660","1190","29920","26800"
"In post","2022","Unknown","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Project Delivery","16-19","50","50","17640","17140"
"In post","2022","Unknown","Project Delivery","20-29","740","740","33120","33000"
"In post","2022","Unknown","Project Delivery","30-39","1090","1060","41990","40180"
"In post","2022","Unknown","Project Delivery","40-49","990","940","46620","44770"
"In post","2022","Unknown","Project Delivery","50-59","1120","1070","45760","41290"
"In post","2022","Unknown","Project Delivery","60-64","260","220","42270","38390"
"In post","2022","Unknown","Project Delivery","65+","80","60","40790","37910"
"In post","2022","Unknown","Property","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Property","20-29","400","390","28180","26030"
"In post","2022","Unknown","Property","30-39","360","350","33270","30430"
"In post","2022","Unknown","Property","40-49","360","340","35390","31000"
"In post","2022","Unknown","Property","50-59","500","480","35660","31270"
"In post","2022","Unknown","Property","60-64","180","160","33960","29980"
"In post","2022","Unknown","Property","65+","60","50","29030","25490"
"In post","2022","Unknown","Security","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Security","20-29","440","440","27870","26610"
"In post","2022","Unknown","Security","30-39","430","430","32970","32650"
"In post","2022","Unknown","Security","40-49","310","300","36580","37090"
"In post","2022","Unknown","Security","50-59","390","380","35310","33950"
"In post","2022","Unknown","Security","60-64","90","80","32410","29170"
"In post","2022","Unknown","Security","65+","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","16-19","100","100","21370","21260"
"In post","2022","Unknown","Unknown","20-29","3470","3430","29310","27230"
"In post","2022","Unknown","Unknown","30-39","3110","3020","35510","31540"
"In post","2022","Unknown","Unknown","40-49","2610","2510","38990","33090"
"In post","2022","Unknown","Unknown","50-59","3020","2880","39180","34630"
"In post","2022","Unknown","Unknown","60-64","760","690","36960","32700"
"In post","2022","Unknown","Unknown","65+","250","210","35120","30040"
"Leaver CS","2021","Heterosexual / straight","Analysis","20-29","80","80","27820","26340"
"Leaver CS","2021","Heterosexual / straight","Analysis","30-39","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Analysis","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Analysis","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Analysis","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Analysis","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Commercial","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Commercial","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Commercial","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Commercial","50-59","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Commercial","60-64","40","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Commercial","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Communications","20-29","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Communications","30-39","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Communications","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Communications","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Communications","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Communications","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Debt","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Debt","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Debt","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Digital, Data & Technology","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Digital, Data & Technology","20-29","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Digital, Data & Technology","30-39","60","60","46330","42510"
"Leaver CS","2021","Heterosexual / straight","Digital, Data & Technology","40-49","40","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Digital, Data & Technology","50-59","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Digital, Data & Technology","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Finance","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Finance","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Finance","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Finance","50-59","50","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Finance","60-64","40","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Finance","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Grants Management","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Grants Management","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Grants Management","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Grants Management","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Grants Management","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Grants Management","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Human Resources","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Human Resources","20-29","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Human Resources","30-39","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Human Resources","40-49","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Human Resources","50-59","50","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Human Resources","60-64","50","50","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Human Resources","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Internal Audit","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Legal","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Legal","20-29","70","70","27960","25480"
"Leaver CS","2021","Heterosexual / straight","Legal","30-39","60","60","45810","50260"
"Leaver CS","2021","Heterosexual / straight","Legal","40-49","40","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Legal","50-59","80","70","53130","55000"
"Leaver CS","2021","Heterosexual / straight","Legal","60-64","60","50","52990","55610"
"Leaver CS","2021","Heterosexual / straight","Legal","65+","40","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","No function","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","No function","20-29","1180","1160","24000","22220"
"Leaver CS","2021","Heterosexual / straight","No function","30-39","920","860","32990","28760"
"Leaver CS","2021","Heterosexual / straight","No function","40-49","650","590","36500","30300"
"Leaver CS","2021","Heterosexual / straight","No function","50-59","920","850","37530","29570"
"Leaver CS","2021","Heterosexual / straight","No function","60-64","670","560","38170","27130"
"Leaver CS","2021","Heterosexual / straight","No function","65+","620","450","27800","21270"
"Leaver CS","2021","Heterosexual / straight","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Project Delivery","20-29","100","100","26600","25560"
"Leaver CS","2021","Heterosexual / straight","Project Delivery","30-39","80","80","38450","37320"
"Leaver CS","2021","Heterosexual / straight","Project Delivery","40-49","60","50","42750","37610"
"Leaver CS","2021","Heterosexual / straight","Project Delivery","50-59","130","120","45690","40690"
"Leaver CS","2021","Heterosexual / straight","Project Delivery","60-64","110","100","43690","39900"
"Leaver CS","2021","Heterosexual / straight","Project Delivery","65+","80","70","36320","33300"
"Leaver CS","2021","Heterosexual / straight","Property","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Property","20-29","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Property","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Property","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Property","50-59","70","70","35200","31480"
"Leaver CS","2021","Heterosexual / straight","Property","60-64","60","50","36340","33300"
"Leaver CS","2021","Heterosexual / straight","Property","65+","60","50","29810","29630"
"Leaver CS","2021","Heterosexual / straight","Security","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Security","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Security","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Security","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Security","50-59","70","70","33460","38120"
"Leaver CS","2021","Heterosexual / straight","Security","60-64","70","60","31650","33630"
"Leaver CS","2021","Heterosexual / straight","Security","65+","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","20-29","770","750","25650","24110"
"Leaver CS","2021","Heterosexual / straight","Unknown","30-39","640","590","30080","27570"
"Leaver CS","2021","Heterosexual / straight","Unknown","40-49","610","550","32620","27570"
"Leaver CS","2021","Heterosexual / straight","Unknown","50-59","1110","1000","31670","27570"
"Leaver CS","2021","Heterosexual / straight","Unknown","60-64","970","800","32230","27570"
"Leaver CS","2021","Heterosexual / straight","Unknown","65+","820","610","27220","25160"
"Leaver CS","2021","Heterosexual / straight","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Analysis","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Analysis","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Analysis","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Analysis","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Analysis","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Analysis","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Commercial","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Commercial","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Commercial","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Commercial","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Commercial","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Commercial","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Communications","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Communications","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Communications","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Communications","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Communications","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Communications","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Debt","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Debt","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Debt","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Digital, Data & Technology","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Digital, Data & Technology","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Digital, Data & Technology","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Digital, Data & Technology","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Digital, Data & Technology","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Finance","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Finance","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Finance","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Finance","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Finance","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Finance","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Grants Management","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Grants Management","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Grants Management","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Grants Management","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Grants Management","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Grants Management","65+","[c]","[c]","[c]","[c]"
