"Status","Year","Profession_of_post","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Other","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","Other","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","Other","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Other","Human Resources","Female","50","50","33530","32340"
"In post","2022","Other","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","Other","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","Other","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","Other","Legal","Female","300","290","33910","27580"
"In post","2022","Other","Legal","Male","160","150","33840","28990"
"In post","2022","Other","No function","Female","4640","4280","31300","27570"
"In post","2022","Other","No function","Male","2860","2770","33800","27570"
"In post","2022","Other","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other","Project Delivery","Female","1410","1290","34250","28940"
"In post","2022","Other","Project Delivery","Male","1980","1950","35820","32120"
"In post","2022","Other","Property","Female","120","120","28110","26900"
"In post","2022","Other","Property","Male","390","380","29140","26900"
"In post","2022","Other","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","Other","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","Other","Unknown","Female","7350","6950","27660","22330"
"In post","2022","Other","Unknown","Male","7590","7500","30850","27720"
"In post","2022","Planning","No function","Female","80","70","44960","40720"
"In post","2022","Planning","No function","Male","80","80","44590","40590"
"In post","2022","Planning","Unknown","Female","30","30","[c]","[c]"
"In post","2022","Planning","Unknown","Male","40","40","[c]","[c]"
"In post","2022","Planning Inspectors","No function","Female","140","120","55350","58810"
"In post","2022","Planning Inspectors","No function","Male","240","210","56840","58810"
"In post","2022","Policy","Analysis","Female","300","280","49110","50630"
"In post","2022","Policy","Analysis","Male","270","270","49070","50400"
"In post","2022","Policy","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Digital, Data & Technology","Female","160","150","43760","40230"
"In post","2022","Policy","Digital, Data & Technology","Male","100","90","45390","40300"
"In post","2022","Policy","Finance","Female","30","30","[c]","[c]"
"In post","2022","Policy","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Legal","Female","50","50","44540","41750"
"In post","2022","Policy","Legal","Male","50","40","[c]","[c]"
"In post","2022","Policy","No function","Female","12690","12200","45820","40650"
"In post","2022","Policy","No function","Male","10860","10750","48090","45440"
"In post","2022","Policy","Project Delivery","Female","1150","1090","52640","53000"
"In post","2022","Policy","Project Delivery","Male","1010","980","55100","55210"
"In post","2022","Policy","Property","Female","30","30","[c]","[c]"
"In post","2022","Policy","Property","Male","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Unknown","Female","3440","3280","45440","41950"
"In post","2022","Policy","Unknown","Male","2670","2640","48520","44500"
"In post","2022","Project Delivery","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Commercial","Female","30","30","[c]","[c]"
"In post","2022","Project Delivery","Commercial","Male","60","60","47790","45610"
"In post","2022","Project Delivery","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Digital, Data & Technology","Female","110","100","38560","34290"
"In post","2022","Project Delivery","Digital, Data & Technology","Male","80","80","42080","39650"
"In post","2022","Project Delivery","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","No function","Female","270","270","42430","38810"
"In post","2022","Project Delivery","No function","Male","210","210","48630","51710"
"In post","2022","Project Delivery","Project Delivery","Female","6540","6140","41330","39330"
"In post","2022","Project Delivery","Project Delivery","Male","6430","6300","45360","40860"
"In post","2022","Project Delivery","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Property","Female","30","30","[c]","[c]"
"In post","2022","Project Delivery","Property","Male","40","40","[c]","[c]"
"In post","2022","Project Delivery","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Unknown","Female","1090","1040","43180","38160"
"In post","2022","Project Delivery","Unknown","Male","860","840","45570","41950"
"In post","2022","Property","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","Property","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","Property","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","Property","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","Property","Finance","Female","30","30","[c]","[c]"
"In post","2022","Property","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Property","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","Property","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","Property","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2022","Property","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","Property","No function","Female","[c]","[c]","[c]","[c]"
"In post","2022","Property","No function","Male","[c]","[c]","[c]","[c]"
"In post","2022","Property","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","Property","Project Delivery","Male","40","40","[c]","[c]"
"In post","2022","Property","Property","Female","3000","2800","35830","33080"
"In post","2022","Property","Property","Male","4360","4240","39380","35900"
"In post","2022","Property","Unknown","Female","30","30","[c]","[c]"
"In post","2022","Property","Unknown","Male","50","50","[c]","[c]"
"In post","2022","Psychology","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","No function","Female","1330","1270","35570","31180"
"In post","2022","Psychology","No function","Male","190","180","36600","31180"
"In post","2022","Psychology","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Analysis","Female","300","280","34790","30220"
"In post","2022","Science and Engineering","Analysis","Male","400","390","39640","37960"
"In post","2022","Science and Engineering","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Commercial","Male","100","100","43020","42120"
"In post","2022","Science and Engineering","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Digital, Data & Technology","Female","340","310","36280","37420"
"In post","2022","Science and Engineering","Digital, Data & Technology","Male","640","610","40280","39650"
"In post","2022","Science and Engineering","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","No function","Female","2960","2760","39120","38070"
"In post","2022","Science and Engineering","No function","Male","3700","3600","41640","39330"
"In post","2022","Science and Engineering","Project Delivery","Female","410","400","38150","34560"
"In post","2022","Science and Engineering","Project Delivery","Male","3110","3040","39020","38000"
"In post","2022","Science and Engineering","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Unknown","Female","320","310","40810","37730"
"In post","2022","Science and Engineering","Unknown","Male","1620","1590","34960","29670"
"In post","2022","Security","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2022","Security","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2022","Security","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","Security","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","Security","Finance","Female","130","120","39700","36600"
"In post","2022","Security","Finance","Male","190","180","44060","38430"
"In post","2022","Security","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","Security","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","Security","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","Security","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","Security","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2022","Security","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","Security","No function","Female","[c]","[c]","[c]","[c]"
"In post","2022","Security","No function","Male","[c]","[c]","[c]","[c]"
"In post","2022","Security","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","Security","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","Security","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","Security","Property","Male","[c]","[c]","[c]","[c]"
"In post","2022","Security","Security","Female","1830","1770","32330","29360"
"In post","2022","Security","Security","Male","6680","6560","31850","28750"
"In post","2022","Security","Unknown","Female","130","120","33980","30820"
"In post","2022","Security","Unknown","Male","220","220","29840","25630"
"In post","2022","Social Research","Analysis","Female","760","720","41550","38340"
"In post","2022","Social Research","Analysis","Male","330","320","42490","38340"
"In post","2022","Social Research","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","No function","Female","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","No function","Male","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","Unknown","Female","170","160","44590","43560"
"In post","2022","Social Research","Unknown","Male","70","70","46870","43950"
"In post","2022","Statistics","Analysis","Female","940","890","44140","40180"
"In post","2022","Statistics","Analysis","Male","1120","1100","43890","39840"
"In post","2022","Statistics","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","No function","Female","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","No function","Male","40","40","[c]","[c]"
"In post","2022","Statistics","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Unknown","Female","120","110","37800","35490"
"In post","2022","Statistics","Unknown","Male","110","110","38890","35490"
"In post","2022","Tax","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2022","Tax","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2022","Tax","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","Tax","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","Tax","Communications","Female","1140","1070","28940","26820"
"In post","2022","Tax","Communications","Male","1360","1340","29020","26820"
"In post","2022","Tax","Counter Fraud","Female","820","750","40050","37610"
"In post","2022","Tax","Counter Fraud","Male","1090","1040","43290","40180"
"In post","2022","Tax","Debt","Female","440","410","22370","21250"
"In post","2022","Tax","Debt","Male","420","410","22030","21250"
"In post","2022","Tax","Digital, Data & Technology","Female","40","40","[c]","[c]"
"In post","2022","Tax","Digital, Data & Technology","Male","40","40","[c]","[c]"
"In post","2022","Tax","Finance","Female","50","50","[c]","[c]"
"In post","2022","Tax","Finance","Male","50","50","[c]","[c]"
"In post","2022","Tax","Human Resources","Female","110","110","34650","33080"
"In post","2022","Tax","Human Resources","Male","100","90","35840","33370"
"In post","2022","Tax","Legal","Female","170","150","40260","35980"
"In post","2022","Tax","Legal","Male","180","170","42760","40520"
"In post","2022","Tax","No function","Female","6210","5770","34720","33370"
"In post","2022","Tax","No function","Male","6730","6510","37240","33370"
"In post","2022","Tax","Project Delivery","Female","310","280","35240","33370"
"In post","2022","Tax","Project Delivery","Male","340","320","35460","33370"
"In post","2022","Unknown","Analysis","Female","70","60","42560","37610"
"In post","2022","Unknown","Analysis","Male","90","80","39700","37610"
"In post","2022","Unknown","Commercial","Female","820","800","64780","62820"
"In post","2022","Unknown","Commercial","Male","860","860","72930","65640"
"In post","2022","Unknown","Communications","Female","340","330","45110","40600"
"In post","2022","Unknown","Communications","Male","220","220","43370","37300"
"In post","2022","Unknown","Counter Fraud","Female","390","380","33610","30750"
"In post","2022","Unknown","Counter Fraud","Male","400","400","33850","30750"
"In post","2022","Unknown","Debt","Female","60","50","26130","21250"
"In post","2022","Unknown","Debt","Male","60","50","26360","21250"
"In post","2022","Unknown","Digital, Data & Technology","Female","660","640","47600","49700"
"In post","2022","Unknown","Digital, Data & Technology","Male","870","870","51000","54700"
"In post","2022","Unknown","Finance","Female","140","130","44020","40180"
"In post","2022","Unknown","Finance","Male","190","190","48210","43430"
"In post","2022","Unknown","Human Resources","Female","870","820","39610","35430"
"In post","2022","Unknown","Human Resources","Male","450","450","40790","35590"
"In post","2022","Unknown","Legal","Female","120","110","55680","58600"
"In post","2022","Unknown","Legal","Male","110","110","61990","62120"
"In post","2022","Unknown","No function","Female","4080","3960","37560","32000"
"In post","2022","Unknown","No function","Male","3700","3670","39400","33080"
"In post","2022","Unknown","Project Delivery","Female","170","170","52260","42440"
"In post","2022","Unknown","Project Delivery","Male","190","190","61190","54700"
"In post","2022","Unknown","Property","Female","60","60","46170","40420"
"In post","2022","Unknown","Property","Male","60","50","53610","54700"
"In post","2022","Unknown","Security","Female","510","480","32990","32000"
"In post","2022","Unknown","Security","Male","480","470","34860","33300"
"In post","2022","Unknown","Unknown","Female","9010","8510","39970","34600"
"In post","2022","Unknown","Unknown","Male","7290","7160","40740","36130"
"In post","2022","Veterinarian","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","No function","Female","220","210","42700","37910"
"In post","2022","Veterinarian","No function","Male","180","170","44110","40820"
"In post","2022","Veterinarian","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Commercial","Female","60","60","40530","36070"
"Leaver CS","2021","Commercial","Commercial","Male","70","70","39810","36470"
"Leaver CS","2021","Commercial","Communications","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Communications","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Internal Audit","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Internal Audit","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Project Delivery","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Project Delivery","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Property","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Property","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Analysis","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Analysis","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Communications","Female","100","90","36910","33850"
"Leaver CS","2021","Communications","Communications","Male","70","70","37750","32700"
"Leaver CS","2021","Communications","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Human Resources","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Human Resources","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","No function","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","No function","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Project Delivery","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Project Delivery","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","Female","30","30","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Finance","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Finance","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Analysis","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Analysis","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Digital, Data & Technology","Female","110","100","40880","36700"
"Leaver CS","2021","Digital, Data and Technology","Digital, Data & Technology","Male","250","240","42010","38450"
"Leaver CS","2021","Digital, Data and Technology","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Legal","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Legal","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","No function","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","No function","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Project Delivery","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Project Delivery","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Property","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Property","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Unknown","Male","50","50","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Analysis","Female","30","30","[c]","[c]"
"Leaver CS","2021","Economics","Analysis","Male","70","70","[c]","[c]"
"Leaver CS","2021","Economics","No function","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","No function","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Project Delivery","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Project Delivery","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Analysis","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Analysis","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Commercial","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Commercial","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Debt","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Debt","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Finance","Female","100","90","39750","33940"
"Leaver CS","2021","Finance","Finance","Male","90","90","45340","44790"
"Leaver CS","2021","Finance","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Human Resources","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Human Resources","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","No function","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","No function","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Project Delivery","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Project Delivery","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Property","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Property","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Analysis","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Analysis","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Communications","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Communications","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Human Resources","Female","170","160","38010","32430"
"Leaver CS","2021","Human Resources","Human Resources","Male","90","90","40340","35250"
"Leaver CS","2021","Human Resources","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Legal","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Legal","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","No function","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","No function","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Project Delivery","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Project Delivery","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","No function","Female","50","40","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","No function","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Analysis","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Analysis","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","No function","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","No function","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Unknown","Male","50","40","[c]","[c]"
"Leaver CS","2021","Internal Audit","Internal Audit","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Internal Audit","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","No function","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","No function","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","No function","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","No function","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Analysis","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Analysis","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Commercial","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Commercial","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Finance","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Finance","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Human Resources","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Human Resources","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Legal","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Legal","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","No function","Female","50","50","36210","32490"
"Leaver CS","2021","Knowledge and Information Management","No function","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Project Delivery","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Project Delivery","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Property","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Property","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Legal","Female","240","200","52340","52160"
"Leaver CS","2021","Legal","Legal","Male","170","150","54030","55000"
"Leaver CS","2021","Legal","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","No function","Female","40","30","[c]","[c]"
"Leaver CS","2021","Medicine","No function","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","Project Delivery","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","Project Delivery","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","Unknown","Female","140","120","37900","30620"
"Leaver CS","2021","Medicine","Unknown","Male","50","40","[c]","[c]"
"Leaver CS","2021","Medicine","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Analysis","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Analysis","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Commercial","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Commercial","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Communications","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Communications","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Debt","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Debt","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Finance","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Finance","Male","[c]","[c]","[c]","[c]"
