"Status","Year","Sexual_orientation","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","240","230","34540","30220"
"In post","2022","Heterosexual / straight","Charity Commission","Charity Commission","240","230","34960","29160"
"In post","2022","Heterosexual / straight","Companies House","Department for Business, Energy and Industrial Strategy","810","760","31940","27460"
"In post","2022","Heterosexual / straight","Competition and Markets Authority","Competition and Markets Authority","700","680","60890","56630"
"In post","2022","Heterosexual / straight","Criminal Injuries Compensation Authority","Ministry of Justice","200","180","28320","25120"
"In post","2022","Heterosexual / straight","Crown Commercial Service","Cabinet Office","600","590","40520","38980"
"In post","2022","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Scottish Government","2020","1900","36260","31230"
"In post","2022","Heterosexual / straight","Crown Prosecution Service","Attorney General's Departments","5140","4830","40990","38000"
"In post","2022","Heterosexual / straight","Defence Electronics and Components Agency","Ministry of Defence","150","150","29710","28150"
"In post","2022","Heterosexual / straight","Defence Equipment and Support","Ministry of Defence","8570","8260","36860","34000"
"In post","2022","Heterosexual / straight","Defence Science and Technology Laboratory","Ministry of Defence","960","930","41720","39500"
"In post","2022","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","4460","4360","49110","49080"
"In post","2022","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","1490","1470","47390","51730"
"In post","2022","Heterosexual / straight","Department for Education (excl. agencies)","Department for Education","4620","4450","44220","40360"
"In post","2022","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","4630","4470","42280","38560"
"In post","2022","Heterosexual / straight","Department for International Trade","Department for International Trade","1740","1720","47330","44030"
"In post","2022","Heterosexual / straight","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","2430","2360","45880","41560"
"In post","2022","Heterosexual / straight","Department for Transport (excl. agencies)","Department for Transport","2430","2370","49590","46620"
"In post","2022","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","62200","56230","28320","27570"
"In post","2022","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","2250","2170","48400","49530"
"In post","2022","Heterosexual / straight","Disclosure Scotland","Scottish Government","220","210","30850","25930"
"In post","2022","Heterosexual / straight","Driver and Vehicle Licensing Agency","Department for Transport","4020","3620","27070","21840"
"In post","2022","Heterosexual / straight","Driver and Vehicle Standards Agency","Department for Transport","2880","2730","30360","27930"
"In post","2022","Heterosexual / straight","Education and Skills Funding Agency","Department for Education","1350","1300","41230","36960"
"In post","2022","Heterosexual / straight","Education Scotland","Scottish Government","200","190","59540","65280"
"In post","2022","Heterosexual / straight","Estyn","Estyn","100","90","59530","75480"
"In post","2022","Heterosexual / straight","FCDO Services","Foreign, Commonwealth and Development Office","850","810","39970","36450"
"In post","2022","Heterosexual / straight","Food Standards Agency","Food Standards Agency","1030","1000","38430","37350"
"In post","2022","Heterosexual / straight","Food Standards Scotland","Scottish Government","170","160","36190","31540"
"In post","2022","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","4850","4750","49350","45940"
"In post","2022","Heterosexual / straight","Forestry and Land Scotland","Scottish Government","320","310","35010","31060"
"In post","2022","Heterosexual / straight","Government Actuary's Department","Chancellor's other departments","170","160","68040","62730"
"In post","2022","Heterosexual / straight","Government Internal Audit Agency","HM Treasury","380","360","48510","46360"
"In post","2022","Heterosexual / straight","Government Legal Department","Attorney General's Departments","1750","1640","53020","51250"
"In post","2022","Heterosexual / straight","Government Property Agency","Cabinet Office","240","240","50930","49700"
"In post","2022","Heterosexual / straight","Health and Safety Executive","Department for Work and Pensions","1940","1840","43040","39600"
"In post","2022","Heterosexual / straight","HM Courts and Tribunals Service","Ministry of Justice","11590","10420","26820","23720"
"In post","2022","Heterosexual / straight","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","HM Land Registry","HM Land Registry","3970","3600","32240","27130"
"In post","2022","Heterosexual / straight","HM Prison and Probation Service","Ministry of Justice","42810","40510","30610","28200"
"In post","2022","Heterosexual / straight","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","39460","36770","34660","33080"
"In post","2022","Heterosexual / straight","HM Treasury (excl. agencies)","HM Treasury","1640","1600","48010","52500"
"In post","2022","Heterosexual / straight","Home Office","Home Office","27010","25200","32580","28650"
"In post","2022","Heterosexual / straight","Institute for Apprenticeships and Technical Education","Department for Education","180","170","50210","49960"
"In post","2022","Heterosexual / straight","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","1030","970","38640","32100"
"In post","2022","Heterosexual / straight","Legal Aid Agency","Ministry of Justice","930","860","30430","25120"
"In post","2022","Heterosexual / straight","Maritime and Coastguard Agency","Department for Transport","920","890","37980","34860"
"In post","2022","Heterosexual / straight","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","690","670","47800","41010"
"In post","2022","Heterosexual / straight","Met Office","Department for Business, Energy and Industrial Strategy","1650","1570","39950","39650"
"In post","2022","Heterosexual / straight","Ministry of Defence (excl. agencies)","Ministry of Defence","28500","27520","32640","29200"
"In post","2022","Heterosexual / straight","Ministry of Justice (excl. agencies)","Ministry of Justice","4210","4100","43400","41100"
"In post","2022","Heterosexual / straight","National Crime Agency","National Crime Agency","4260","4150","40750","37790"
"In post","2022","Heterosexual / straight","National Infrastructure Commission","HM Treasury","40","40","[c]","[c]"
"In post","2022","Heterosexual / straight","National Records of Scotland","Scottish Government","200","190","39390","36130"
"In post","2022","Heterosexual / straight","National Savings and Investments","Chancellor's other departments","140","140","49730","44840"
"In post","2022","Heterosexual / straight","Northern Ireland Office","Northern Ireland Office","100","100","46390","41750"
"In post","2022","Heterosexual / straight","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","1510","1450","51180","51360"
"In post","2022","Heterosexual / straight","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","700","690","41730","35050"
"In post","2022","Heterosexual / straight","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","200","190","43980","38760"
"In post","2022","Heterosexual / straight","Office of Rail and Road","Office of Rail and Road","220","210","52910","51660"
"In post","2022","Heterosexual / straight","Office of the Public Guardian","Ministry of Justice","1000","920","24250","20970"
"In post","2022","Heterosexual / straight","Office of the Scottish Charity Regulator","Scottish Government","30","30","[c]","[c]"
"In post","2022","Heterosexual / straight","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","50","50","50770","49860"
"In post","2022","Heterosexual / straight","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Planning Inspectorate","Department for Levelling Up, Housing and Communities","540","500","45160","47660"
"In post","2022","Heterosexual / straight","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Registers of Scotland","Scottish Government","690","670","34990","30840"
"In post","2022","Heterosexual / straight","Revenue Scotland","Scottish Government","40","40","[c]","[c]"
"In post","2022","Heterosexual / straight","Royal Fleet Auxiliary","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Rural Payments Agency","Department for Environment, Food and Rural Affairs","1180","1070","27430","25100"
"In post","2022","Heterosexual / straight","Scottish Courts and Tribunals Service","Scottish Government","450","430","31000","27080"
"In post","2022","Heterosexual / straight","Scottish Fiscal Commission","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Scottish Forestry","Scottish Government","80","80","37830","36390"
"In post","2022","Heterosexual / straight","Scottish Government (excl. agencies)","Scottish Government","5670","5450","45010","40810"
"In post","2022","Heterosexual / straight","Scottish Housing Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Scottish Prison Service","Scottish Government","1500","1390","35330","35000"
"In post","2022","Heterosexual / straight","Scottish Public Pensions Agency","Scottish Government","140","130","31500","27230"
"In post","2022","Heterosexual / straight","Serious Fraud Office","Attorney General's Departments","320","310","46690","41030"
"In post","2022","Heterosexual / straight","Social Security Scotland","Scottish Government","1500","1460","31880","27940"
"In post","2022","Heterosexual / straight","Standards and Testing Agency","Department for Education","110","100","41770","40860"
"In post","2022","Heterosexual / straight","Student Awards Agency for Scotland","Scottish Government","80","80","33690","30790"
"In post","2022","Heterosexual / straight","Submarine Delivery Agency","Ministry of Defence","1550","1520","41330","39860"
"In post","2022","Heterosexual / straight","Teaching Regulation Agency","Department for Education","70","60","31920","29360"
"In post","2022","Heterosexual / straight","The Insolvency Service","Department for Business, Energy and Industrial Strategy","950","900","34620","32060"
"In post","2022","Heterosexual / straight","The National Archives","The National Archives","250","240","37280","34260"
"In post","2022","Heterosexual / straight","Transport Scotland","Scottish Government","340","330","46920","43000"
"In post","2022","Heterosexual / straight","UK Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","UK Export Finance","UK Export Finance","410","410","52180","47190"
"In post","2022","Heterosexual / straight","UK Health Security Agency","Department of Health and Social Care","3890","3590","40630","35610"
"In post","2022","Heterosexual / straight","UK Hydrographic Office","Ministry of Defence","590","560","35920","33290"
"In post","2022","Heterosexual / straight","UK Space Agency","Department for Business, Energy and Industrial Strategy","160","160","46810","40220"
"In post","2022","Heterosexual / straight","UK Statistics Authority","UK Statistics Authority","3960","3530","34020","30710"
"In post","2022","Heterosexual / straight","UK Supreme Court","UK Supreme Court","40","40","[c]","[c]"
"In post","2022","Heterosexual / straight","Valuation Office Agency","HM Revenue and Customs","2340","2190","36350","32890"
"In post","2022","Heterosexual / straight","Vehicle Certification Agency","Department for Transport","180","170","36090","34290"
"In post","2022","Heterosexual / straight","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","120","120","39180","35580"
"In post","2022","Heterosexual / straight","Water Services Regulation Authority","Water Services Regulation Authority","160","160","55160","49970"
"In post","2022","Heterosexual / straight","Welsh Government (excl. agencies)","Welsh Government","4800","4530","41770","38160"
"In post","2022","Heterosexual / straight","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Wilton Park","Foreign, Commonwealth and Development Office","60","60","35020","30700"
"In post","2022","LGBO","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","50","50","30420","30950"
"In post","2022","LGBO","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","160","150","27160","24920"
"In post","2022","LGBO","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Cabinet Office (excl. agencies)","Cabinet Office","510","510","44510","40600"
"In post","2022","LGBO","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Companies House","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2022","LGBO","Competition and Markets Authority","Competition and Markets Authority","60","60","59140","56110"
"In post","2022","LGBO","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Crown Commercial Service","Cabinet Office","40","40","[c]","[c]"
"In post","2022","LGBO","Crown Office and Procurator Fiscal Service","Scottish Government","110","110","33170","27580"
"In post","2022","LGBO","Crown Prosecution Service","Attorney General's Departments","290","280","39010","30110"
"In post","2022","LGBO","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Defence Equipment and Support","Ministry of Defence","290","290","33190","31390"
"In post","2022","LGBO","Defence Science and Technology Laboratory","Ministry of Defence","110","110","35300","29230"
"In post","2022","LGBO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","510","510","46880","41500"
"In post","2022","LGBO","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","210","210","45920","51400"
"In post","2022","LGBO","Department for Education (excl. agencies)","Department for Education","400","390","43670","40230"
"In post","2022","LGBO","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","430","420","41770","37270"
"In post","2022","LGBO","Department for International Trade","Department for International Trade","200","200","45830","40600"
"In post","2022","LGBO","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","300","300","44010","39600"
"In post","2022","LGBO","Department for Transport (excl. agencies)","Department for Transport","260","250","47650","44030"
"In post","2022","LGBO","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","3910","3730","28180","27570"
"In post","2022","LGBO","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","280","280","45900","40650"
"In post","2022","LGBO","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Driver and Vehicle Licensing Agency","Department for Transport","190","180","24530","21840"
"In post","2022","LGBO","Driver and Vehicle Standards Agency","Department for Transport","160","160","29250","26780"
"In post","2022","LGBO","Education and Skills Funding Agency","Department for Education","100","100","38760","36500"
"In post","2022","LGBO","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","FCDO Services","Foreign, Commonwealth and Development Office","30","30","[c]","[c]"
"In post","2022","LGBO","Food Standards Agency","Food Standards Agency","70","70","40540","37350"
"In post","2022","LGBO","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","370","370","49380","50480"
"In post","2022","LGBO","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Government Legal Department","Attorney General's Departments","170","160","52860","51250"
"In post","2022","LGBO","Government Property Agency","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Health and Safety Executive","Department for Work and Pensions","120","120","37950","31710"
"In post","2022","LGBO","HM Courts and Tribunals Service","Ministry of Justice","560","540","27010","21490"
"In post","2022","LGBO","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","HM Land Registry","HM Land Registry","180","170","30220","27130"
"In post","2022","LGBO","HM Prison and Probation Service","Ministry of Justice","3190","3110","30140","28010"
"In post","2022","LGBO","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","2680","2590","33890","33080"
"In post","2022","LGBO","HM Treasury (excl. agencies)","HM Treasury","180","180","45690","40360"
"In post","2022","LGBO","Home Office","Home Office","1190","1150","33810","28670"
"In post","2022","LGBO","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","70","70","35550","30770"
"In post","2022","LGBO","Legal Aid Agency","Ministry of Justice","50","50","[c]","[c]"
"In post","2022","LGBO","Maritime and Coastguard Agency","Department for Transport","50","50","[c]","[c]"
"In post","2022","LGBO","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","30","30","[c]","[c]"
"In post","2022","LGBO","Met Office","Department for Business, Energy and Industrial Strategy","120","110","35570","37420"
"In post","2022","LGBO","Ministry of Defence (excl. agencies)","Ministry of Defence","970","950","33670","33000"
"In post","2022","LGBO","Ministry of Justice (excl. agencies)","Ministry of Justice","380","370","44070","41750"
"In post","2022","LGBO","National Crime Agency","National Crime Agency","220","220","37860","36410"
"In post","2022","LGBO","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","National Records of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","120","120","49730","46360"
"In post","2022","LGBO","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","100","90","36120","30950"
"In post","2022","LGBO","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of the Public Guardian","Ministry of Justice","50","50","25280","25120"
"In post","2022","LGBO","Office of the Scottish Charity Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Planning Inspectorate","Department for Levelling Up, Housing and Communities","30","30","[c]","[c]"
"In post","2022","LGBO","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Registers of Scotland","Scottish Government","40","40","[c]","[c]"
"In post","2022","LGBO","Revenue Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Royal Fleet Auxiliary","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Rural Payments Agency","Department for Environment, Food and Rural Affairs","90","80","26260","24920"
"In post","2022","LGBO","Scottish Courts and Tribunals Service","Scottish Government","40","40","[c]","[c]"
"In post","2022","LGBO","Scottish Fiscal Commission","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Scottish Forestry","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Scottish Government (excl. agencies)","Scottish Government","520","510","41940","39600"
"In post","2022","LGBO","Scottish Housing Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Scottish Prison Service","Scottish Government","90","90","32980","35000"
"In post","2022","LGBO","Scottish Public Pensions Agency","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Social Security Scotland","Scottish Government","180","180","29010","27230"
"In post","2022","LGBO","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Submarine Delivery Agency","Ministry of Defence","60","60","32640","31430"
"In post","2022","LGBO","Teaching Regulation Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","The Insolvency Service","Department for Business, Energy and Industrial Strategy","50","50","[c]","[c]"
"In post","2022","LGBO","The National Archives","The National Archives","40","40","[c]","[c]"
"In post","2022","LGBO","Transport Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","UK Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","UK Health Security Agency","Department of Health and Social Care","290","280","38530","32330"
"In post","2022","LGBO","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","UK Statistics Authority","UK Statistics Authority","280","270","34390","30710"
"In post","2022","LGBO","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Valuation Office Agency","HM Revenue and Customs","140","140","33660","31660"
"In post","2022","LGBO","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Government (excl. agencies)","Welsh Government","240","230","42590","38160"
"In post","2022","LGBO","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","110","100","34660","34500"
"In post","2022","Undeclared","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","350","330","33510","30230"
"In post","2022","Undeclared","Cabinet Office (excl. agencies)","Cabinet Office","530","520","48080","42440"
"In post","2022","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","40","30","[c]","[c]"
"In post","2022","Undeclared","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Companies House","Department for Business, Energy and Industrial Strategy","90","90","31380","25100"
"In post","2022","Undeclared","Competition and Markets Authority","Competition and Markets Authority","70","70","63140","60850"
"In post","2022","Undeclared","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Crown Commercial Service","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Crown Office and Procurator Fiscal Service","Scottish Government","120","110","40300","36130"
"In post","2022","Undeclared","Crown Prosecution Service","Attorney General's Departments","230","220","39710","33120"
"In post","2022","Undeclared","Defence Electronics and Components Agency","Ministry of Defence","280","260","29600","29470"
"In post","2022","Undeclared","Defence Equipment and Support","Ministry of Defence","1170","1120","38890","37840"
"In post","2022","Undeclared","Defence Science and Technology Laboratory","Ministry of Defence","70","70","41890","42010"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","550","540","50650","53380"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","150","140","44510","38020"
"In post","2022","Undeclared","Department for Education (excl. agencies)","Department for Education","460","450","44570","40780"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","470","450","40830","36970"
"In post","2022","Undeclared","Department for International Trade","Department for International Trade","150","150","46560","44030"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","220","220","45570","41980"
"In post","2022","Undeclared","Department for Transport (excl. agencies)","Department for Transport","300","290","50560","46710"
"In post","2022","Undeclared","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","7400","6590","27530","27570"
"In post","2022","Undeclared","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","1540","1500","46380","41320"
"In post","2022","Undeclared","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Driver and Vehicle Licensing Agency","Department for Transport","1400","1170","25490","21840"
"In post","2022","Undeclared","Driver and Vehicle Standards Agency","Department for Transport","830","750","29620","26780"
"In post","2022","Undeclared","Education and Skills Funding Agency","Department for Education","120","120","42070","37270"
"In post","2022","Undeclared","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","FCDO Services","Foreign, Commonwealth and Development Office","80","80","44460","41840"
"In post","2022","Undeclared","Food Standards Agency","Food Standards Agency","130","120","38870","37350"
"In post","2022","Undeclared","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","540","530","49980","47340"
"In post","2022","Undeclared","Forestry and Land Scotland","Scottish Government","40","30","[c]","[c]"
"In post","2022","Undeclared","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Government Internal Audit Agency","HM Treasury","50","50","49370","44590"
"In post","2022","Undeclared","Government Legal Department","Attorney General's Departments","180","170","54250","52730"
"In post","2022","Undeclared","Government Property Agency","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Health and Safety Executive","Department for Work and Pensions","410","390","43680","41480"
"In post","2022","Undeclared","HM Courts and Tribunals Service","Ministry of Justice","1840","1660","27420","23720"
"In post","2022","Undeclared","HM Land Registry","HM Land Registry","650","570","33080","31740"
"In post","2022","Undeclared","HM Prison and Probation Service","Ministry of Justice","4200","3930","32160","31650"
"In post","2022","Undeclared","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","4600","4210","35090","33370"
"In post","2022","Undeclared","HM Treasury (excl. agencies)","HM Treasury","230","230","45140","40850"
"In post","2022","Undeclared","Home Office","Home Office","3910","3590","33220","28850"
"In post","2022","Undeclared","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","90","80","42590","41480"
"In post","2022","Undeclared","Legal Aid Agency","Ministry of Justice","120","110","30110","25120"
"In post","2022","Undeclared","Maritime and Coastguard Agency","Department for Transport","160","160","38380","36040"
"In post","2022","Undeclared","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","120","120","52550","53100"
"In post","2022","Undeclared","Met Office","Department for Business, Energy and Industrial Strategy","400","380","39520","39650"
"In post","2022","Undeclared","Ministry of Defence (excl. agencies)","Ministry of Defence","4130","3990","34340","33300"
"In post","2022","Undeclared","Ministry of Justice (excl. agencies)","Ministry of Justice","490","480","44360","41750"
"In post","2022","Undeclared","National Crime Agency","National Crime Agency","360","350","39640","37390"
"In post","2022","Undeclared","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","National Records of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","National Savings and Investments","Chancellor's other departments","50","50","55370","48750"
"In post","2022","Undeclared","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","100","90","47480","39850"
"In post","2022","Undeclared","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","80","80","42610","38500"
"In post","2022","Undeclared","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of Rail and Road","Office of Rail and Road","30","30","[c]","[c]"
"In post","2022","Undeclared","Office of the Public Guardian","Ministry of Justice","120","110","24980","21410"
"In post","2022","Undeclared","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Planning Inspectorate","Department for Levelling Up, Housing and Communities","60","50","43800","43740"
