"Status","Year","Ethnicity","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Undeclared","Male","Counter Fraud","580","540","35270","32900"
"In post","2022","Undeclared","Male","Debt","110","100","24280","21260"
"In post","2022","Undeclared","Male","Digital, Data & Technology","890","870","42060","39500"
"In post","2022","Undeclared","Male","Finance","310","300","40090","36500"
"In post","2022","Undeclared","Male","Grants Management","60","60","27510","26420"
"In post","2022","Undeclared","Male","Human Resources","150","140","36570","33080"
"In post","2022","Undeclared","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Male","Legal","170","170","50040","52730"
"In post","2022","Undeclared","Male","No function","5350","5110","34640","31060"
"In post","2022","Undeclared","Male","Project Delivery","890","870","43530","40850"
"In post","2022","Undeclared","Male","Property","420","400","39220","34720"
"In post","2022","Undeclared","Male","Security","440","430","36690","38630"
"In post","2022","Undeclared","Male","Unknown","2100","2020","35650","31100"
"In post","2022","Undeclared","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Analysis","390","370","41070","37930"
"In post","2022","Unknown","Female","Commercial","910","880","57270","54700"
"In post","2022","Unknown","Female","Communications","1030","990","35580","30730"
"In post","2022","Unknown","Female","Counter Fraud","1050","970","31670","28920"
"In post","2022","Unknown","Female","Debt","680","600","22790","21250"
"In post","2022","Unknown","Female","Digital, Data & Technology","960","920","40860","37300"
"In post","2022","Unknown","Female","Finance","770","710","35840","33000"
"In post","2022","Unknown","Female","Grants Management","490","450","23780","21300"
"In post","2022","Unknown","Female","Human Resources","690","660","35580","31740"
"In post","2022","Unknown","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Legal","890","810","46830","49470"
"In post","2022","Unknown","Female","No function","21550","19790","29630","26820"
"In post","2022","Unknown","Female","Project Delivery","1230","1170","42420","40000"
"In post","2022","Unknown","Female","Property","540","510","29660","26030"
"In post","2022","Unknown","Female","Security","340","330","31650","28700"
"In post","2022","Unknown","Female","Unknown","5100","4870","34270","28650"
"In post","2022","Unknown","Male","Analysis","570","570","41870","37930"
"In post","2022","Unknown","Male","Commercial","930","930","62630","61710"
"In post","2022","Unknown","Male","Communications","1090","1080","33500","26820"
"In post","2022","Unknown","Male","Counter Fraud","1190","1160","33930","31850"
"In post","2022","Unknown","Male","Debt","600","580","22790","21250"
"In post","2022","Unknown","Male","Digital, Data & Technology","2080","2060","41580","38230"
"In post","2022","Unknown","Male","Finance","710","690","38970","35310"
"In post","2022","Unknown","Male","Grants Management","370","360","24130","21300"
"In post","2022","Unknown","Male","Human Resources","370","360","36760","33080"
"In post","2022","Unknown","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Legal","500","490","48850","51070"
"In post","2022","Unknown","Male","No function","18010","17390","31320","27570"
"In post","2022","Unknown","Male","Project Delivery","1470","1450","42400","40000"
"In post","2022","Unknown","Male","Property","800","780","33850","29900"
"In post","2022","Unknown","Male","Security","1090","1080","31730","27700"
"In post","2022","Unknown","Male","Unknown","6090","5970","35760","31540"
"In post","2022","Unknown","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","White","Female","Analysis","2950","2760","42760","38340"
"In post","2022","White","Female","Commercial","2080","1970","40340","37130"
"In post","2022","White","Female","Communications","2820","2660","37680","33370"
"In post","2022","White","Female","Counter Fraud","6240","5540","31220","27570"
"In post","2022","White","Female","Debt","2680","2250","23880","21260"
"In post","2022","White","Female","Digital, Data & Technology","6000","5670","39860","36660"
"In post","2022","White","Female","Finance","4910","4500","37650","33370"
"In post","2022","White","Female","Grants Management","800","680","25520","24920"
"In post","2022","White","Female","Human Resources","6180","5730","37540","33300"
"In post","2022","White","Female","Internal Audit","300","280","44570","42010"
"In post","2022","White","Female","Legal","5450","4940","45670","48080"
"In post","2022","White","Female","No function","112630","100420","30830","27570"
"In post","2022","White","Female","Project Delivery","8940","8340","40910","38000"
"In post","2022","White","Female","Property","2900","2720","35430","33000"
"In post","2022","White","Female","Security","2100","2020","33050","31180"
"In post","2022","White","Female","Unknown","29740","27470","34590","29430"
"In post","2022","White","Male","Analysis","3180","3110","45200","39850"
"In post","2022","White","Male","Commercial","1900","1870","45460","40330"
"In post","2022","White","Male","Communications","2220","2190","36920","33250"
"In post","2022","White","Male","Counter Fraud","5280","5050","34270","31990"
"In post","2022","White","Male","Debt","1520","1440","24420","21260"
"In post","2022","White","Male","Digital, Data & Technology","9350","9180","42410","39570"
"In post","2022","White","Male","Finance","3630","3540","42600","38650"
"In post","2022","White","Male","Grants Management","510","490","26580","24920"
"In post","2022","White","Male","Human Resources","2770","2700","39020","34260"
"In post","2022","White","Male","Internal Audit","260","250","48560","45660"
"In post","2022","White","Male","Legal","2960","2870","50180","51830"
"In post","2022","White","Male","No function","77280","74220","34000","29290"
"In post","2022","White","Male","Project Delivery","11150","10910","43240","40520"
"In post","2022","White","Male","Property","3800","3710","39150","35410"
"In post","2022","White","Male","Security","6020","5900","32650","30890"
"In post","2022","White","Male","Unknown","26300","25580","35820","30820"
"In post","2022","White","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","White","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","No function","200","180","29780","23610"
"Leaver CS","2021","Asian","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Unknown","380","310","26910","25120"
"Leaver CS","2021","Asian","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","No function","140","130","32730","26790"
"Leaver CS","2021","Asian","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Unknown","300","270","28600","26890"
"Leaver CS","2021","Asian","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","No function","120","120","28380","23510"
"Leaver CS","2021","Black","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Unknown","170","150","29180","25740"
"Leaver CS","2021","Black","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Male","No function","90","90","[c]","[c]"
"Leaver CS","2021","Black","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Male","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Male","Unknown","100","100","29180","25630"
"Leaver CS","2021","Black","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Female","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Male","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Male","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Female","No function","80","70","[c]","[c]"
"Leaver CS","2021","Mixed","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Female","Unknown","110","100","28840","25220"
"Leaver CS","2021","Mixed","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Male","No function","60","60","[c]","[c]"
"Leaver CS","2021","Mixed","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Male","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Male","Unknown","80","70","30110","27570"
"Leaver CS","2021","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Female","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Male","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Male","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","No function","210","170","28510","22680"
"Leaver CS","2021","Undeclared","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Unknown","310","250","27230","26670"
"Leaver CS","2021","Undeclared","Male","Analysis","30","30","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","No function","200","180","32850","30460"
"Leaver CS","2021","Undeclared","Male","Project Delivery","30","30","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Unknown","360","320","31350","27570"
"Leaver CS","2021","Undeclared","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Commercial","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Communications","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Digital, Data & Technology","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Grants Management","50","40","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Legal","110","90","36130","26550"
"Leaver CS","2021","Unknown","Female","No function","1120","1050","27670","22430"
"Leaver CS","2021","Unknown","Female","Project Delivery","50","40","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Property","70","60","27010","23670"
"Leaver CS","2021","Unknown","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Unknown","1700","1420","29860","27570"
"Leaver CS","2021","Unknown","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Commercial","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Communications","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Digital, Data & Technology","90","80","41270","38450"
"Leaver CS","2021","Unknown","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Grants Management","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Legal","100","90","37220","29350"
"Leaver CS","2021","Unknown","Male","No function","1180","1120","32690","26380"
"Leaver CS","2021","Unknown","Male","Project Delivery","90","80","33880","30760"
"Leaver CS","2021","Unknown","Male","Property","100","80","27840","25100"
"Leaver CS","2021","Unknown","Male","Security","80","80","28240","25680"
"Leaver CS","2021","Unknown","Male","Unknown","1460","1310","32660","28170"
"Leaver CS","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Female","Analysis","70","70","33510","29540"
"Leaver CS","2021","White","Female","Commercial","70","70","39320","34090"
"Leaver CS","2021","White","Female","Communications","70","60","36950","33340"
"Leaver CS","2021","White","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Female","Digital, Data & Technology","80","70","41980","38100"
"Leaver CS","2021","White","Female","Finance","90","80","36170","32430"
"Leaver CS","2021","White","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Female","Human Resources","140","130","36260","32000"
"Leaver CS","2021","White","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Female","Legal","220","180","45880","45960"
"Leaver CS","2021","White","Female","No function","2860","2480","30740","23360"
"Leaver CS","2021","White","Female","Project Delivery","220","200","35940","32880"
"Leaver CS","2021","White","Female","Property","110","90","29190","26000"
"Leaver CS","2021","White","Female","Security","40","40","[c]","[c]"
"Leaver CS","2021","White","Female","Unknown","5410","4310","28540","26120"
"Leaver CS","2021","White","Male","Analysis","90","90","41670","35770"
"Leaver CS","2021","White","Male","Commercial","80","80","42820","40000"
"Leaver CS","2021","White","Male","Communications","70","70","39170","31420"
"Leaver CS","2021","White","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Male","Digital, Data & Technology","150","140","43050","39210"
"Leaver CS","2021","White","Male","Finance","70","70","47220","46890"
"Leaver CS","2021","White","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Male","Human Resources","90","90","40770","36800"
"Leaver CS","2021","White","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Male","Legal","150","130","50780","52440"
"Leaver CS","2021","White","Male","No function","2820","2550","35730","27830"
"Leaver CS","2021","White","Male","Project Delivery","400","380","40640","37390"
"Leaver CS","2021","White","Male","Property","230","210","33320","30660"
"Leaver CS","2021","White","Male","Security","240","230","30290","27050"
"Leaver CS","2021","White","Male","Unknown","3690","3290","31620","27570"
"Leaver CS","2021","White","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Unknown","Unknown","50","50","49630","41090"
"Leaver CS","2022","Asian","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Female","Digital, Data & Technology","40","40","[c]","[c]"
"Leaver CS","2022","Asian","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Female","Human Resources","40","40","[c]","[c]"
"Leaver CS","2022","Asian","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Female","Legal","40","40","[c]","[c]"
"Leaver CS","2022","Asian","Female","No function","730","660","32030","27570"
"Leaver CS","2022","Asian","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Female","Unknown","320","260","29660","27570"
"Leaver CS","2022","Asian","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Male","Counter Fraud","[c]","[c]","[c]","[c]"
