"Status","Year","Region_ITL3","Sexual_orientation","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Wolverhampton","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Wolverhampton","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Wolverhampton","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Wolverhampton","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Wolverhampton","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Wolverhampton","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Wolverhampton","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Wolverhampton","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Wolverhampton","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Wolverhampton","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Wolverhampton","Unknown","40-49","60","50","24740","26720"
"In post","2021","Wolverhampton","Unknown","50-59","100","90","24550","24300"
"In post","2021","Wolverhampton","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Wolverhampton","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Heterosexual / straight","20-29","240","230","23800","23970"
"In post","2021","Worcestershire","Heterosexual / straight","30-39","320","310","27760","26630"
"In post","2021","Worcestershire","Heterosexual / straight","40-49","370","350","31070","29070"
"In post","2021","Worcestershire","Heterosexual / straight","50-59","470","440","31410","27700"
"In post","2021","Worcestershire","Heterosexual / straight","60-64","110","90","27150","26590"
"In post","2021","Worcestershire","Heterosexual / straight","65+","30","20","[c]","[c]"
"In post","2021","Worcestershire","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Undeclared","40-49","40","40","[c]","[c]"
"In post","2021","Worcestershire","Undeclared","50-59","90","80","30400","30460"
"In post","2021","Worcestershire","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Unknown","20-29","70","70","23680","23990"
"In post","2021","Worcestershire","Unknown","30-39","70","70","26310","24440"
"In post","2021","Worcestershire","Unknown","40-49","90","80","28830","27570"
"In post","2021","Worcestershire","Unknown","50-59","140","130","29520","27570"
"In post","2021","Worcestershire","Unknown","60-64","40","30","[c]","[c]"
"In post","2021","Worcestershire","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","York","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2021","York","Heterosexual / straight","20-29","240","240","26920","26370"
"In post","2021","York","Heterosexual / straight","30-39","370","340","35580","33300"
"In post","2021","York","Heterosexual / straight","40-49","500","480","40490","37610"
"In post","2021","York","Heterosexual / straight","50-59","610","580","40060","35520"
"In post","2021","York","Heterosexual / straight","60-64","160","140","37530","31650"
"In post","2021","York","Heterosexual / straight","65+","40","30","[c]","[c]"
"In post","2021","York","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","York","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","York","LGBO","20-29","40","40","[c]","[c]"
"In post","2021","York","LGBO","30-39","40","40","[c]","[c]"
"In post","2021","York","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","York","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","York","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","York","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2021","York","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","York","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2021","York","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","York","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","York","Undeclared","40-49","60","60","38510","36520"
"In post","2021","York","Undeclared","50-59","80","70","36940","33340"
"In post","2021","York","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","York","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","York","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","York","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","York","Unknown","20-29","100","100","24490","21050"
"In post","2021","York","Unknown","30-39","100","90","29900","26670"
"In post","2021","York","Unknown","40-49","140","130","37470","33300"
"In post","2021","York","Unknown","50-59","160","150","38050","33300"
"In post","2021","York","Unknown","60-64","50","40","[c]","[c]"
"In post","2021","York","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","Heterosexual / straight","20-29","140","130","28430","27230"
"In post","2022","Aberdeen City and Aberdeenshire","Heterosexual / straight","30-39","270","250","36050","31660"
"In post","2022","Aberdeen City and Aberdeenshire","Heterosexual / straight","40-49","280","270","43120","36130"
"In post","2022","Aberdeen City and Aberdeenshire","Heterosexual / straight","50-59","360","340","41140","34860"
"In post","2022","Aberdeen City and Aberdeenshire","Heterosexual / straight","60-64","100","80","35470","27570"
"In post","2022","Aberdeen City and Aberdeenshire","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","Undeclared","40-49","30","30","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","Undeclared","50-59","50","50","43120","33100"
"In post","2022","Aberdeen City and Aberdeenshire","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","Unknown","20-29","80","70","27840","27230"
"In post","2022","Aberdeen City and Aberdeenshire","Unknown","30-39","140","130","30770","29900"
"In post","2022","Aberdeen City and Aberdeenshire","Unknown","40-49","100","100","33160","29550"
"In post","2022","Aberdeen City and Aberdeenshire","Unknown","50-59","180","170","35120","31540"
"In post","2022","Aberdeen City and Aberdeenshire","Unknown","60-64","50","40","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","Angus and Dundee City","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Angus and Dundee City","Heterosexual / straight","20-29","170","170","24460","21260"
"In post","2022","Angus and Dundee City","Heterosexual / straight","30-39","350","330","27900","27230"
"In post","2022","Angus and Dundee City","Heterosexual / straight","40-49","330","320","29350","27570"
"In post","2022","Angus and Dundee City","Heterosexual / straight","50-59","380","360","29650","27230"
"In post","2022","Angus and Dundee City","Heterosexual / straight","60-64","100","90","27060","23230"
"In post","2022","Angus and Dundee City","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2022","Angus and Dundee City","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Angus and Dundee City","LGBO","20-29","40","40","[c]","[c]"
"In post","2022","Angus and Dundee City","LGBO","30-39","30","30","[c]","[c]"
"In post","2022","Angus and Dundee City","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Angus and Dundee City","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Angus and Dundee City","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Angus and Dundee City","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2022","Angus and Dundee City","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Angus and Dundee City","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Angus and Dundee City","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Angus and Dundee City","Undeclared","50-59","30","30","[c]","[c]"
"In post","2022","Angus and Dundee City","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Angus and Dundee City","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2022","Angus and Dundee City","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Angus and Dundee City","Unknown","20-29","80","80","23640","21260"
"In post","2022","Angus and Dundee City","Unknown","30-39","120","110","26380","24400"
"In post","2022","Angus and Dundee City","Unknown","40-49","130","120","26550","23230"
"In post","2022","Angus and Dundee City","Unknown","50-59","110","100","25970","23230"
"In post","2022","Angus and Dundee City","Unknown","60-64","40","30","[c]","[c]"
"In post","2022","Angus and Dundee City","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Heterosexual / straight","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Heterosexual / straight","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Heterosexual / straight","40-49","40","40","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Heterosexual / straight","50-59","80","80","25750","21060"
"In post","2022","Antrim and Newtownabbey","Heterosexual / straight","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","Heterosexual / straight","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","Heterosexual / straight","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","Heterosexual / straight","40-49","60","50","28340","21920"
"In post","2022","Ards and North Down","Heterosexual / straight","50-59","90","90","25370","21500"
"In post","2022","Ards and North Down","Heterosexual / straight","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Heterosexual / straight","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Heterosexual / straight","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Heterosexual / straight","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Heterosexual / straight","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Heterosexual / straight","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","Heterosexual / straight","20-29","90","90","30200","31060"
"In post","2022","Barking & Dagenham and Havering","Heterosexual / straight","30-39","90","80","32150","31060"
"In post","2022","Barking & Dagenham and Havering","Heterosexual / straight","40-49","100","90","32800","31060"
"In post","2022","Barking & Dagenham and Havering","Heterosexual / straight","50-59","160","150","32410","31060"
"In post","2022","Barking & Dagenham and Havering","Heterosexual / straight","60-64","40","40","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","Unknown","40-49","40","40","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","Unknown","50-59","40","40","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","Barnet","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Barnet","Heterosexual / straight","20-29","290","280","30550","29910"
"In post","2022","Barnet","Heterosexual / straight","30-39","270","260","38210","33790"
"In post","2022","Barnet","Heterosexual / straight","40-49","240","220","43960","39100"
"In post","2022","Barnet","Heterosexual / straight","50-59","270","260","40210","35050"
"In post","2022","Barnet","Heterosexual / straight","60-64","90","90","38550","32090"
"In post","2022","Barnet","Heterosexual / straight","65+","50","40","[c]","[c]"
"In post","2022","Barnet","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Barnet","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Barnet","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Barnet","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Barnet","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Barnet","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Barnet","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2022","Barnet","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Barnet","Undeclared","20-29","30","20","[c]","[c]"
"In post","2022","Barnet","Undeclared","30-39","40","40","[c]","[c]"
"In post","2022","Barnet","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Barnet","Undeclared","50-59","50","40","[c]","[c]"
"In post","2022","Barnet","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Barnet","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2022","Barnet","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Barnet","Unknown","30-39","40","30","[c]","[c]"
"In post","2022","Barnet","Unknown","40-49","110","100","47910","43240"
"In post","2022","Barnet","Unknown","50-59","120","110","44880","38930"
"In post","2022","Barnet","Unknown","60-64","40","40","[c]","[c]"
"In post","2022","Barnet","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Heterosexual / straight","20-29","280","270","25020","24800"
"In post","2022","Barnsley, Doncaster and Rotherham","Heterosexual / straight","30-39","440","400","27840","27380"
"In post","2022","Barnsley, Doncaster and Rotherham","Heterosexual / straight","40-49","500","450","28610","27570"
"In post","2022","Barnsley, Doncaster and Rotherham","Heterosexual / straight","50-59","710","640","29170","27570"
"In post","2022","Barnsley, Doncaster and Rotherham","Heterosexual / straight","60-64","200","150","26690","27370"
"In post","2022","Barnsley, Doncaster and Rotherham","Heterosexual / straight","65+","60","40","26760","27570"
"In post","2022","Barnsley, Doncaster and Rotherham","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","LGBO","20-29","30","30","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","LGBO","30-39","40","40","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Undeclared","30-39","30","30","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Undeclared","40-49","60","60","30180","27570"
"In post","2022","Barnsley, Doncaster and Rotherham","Undeclared","50-59","110","100","28620","27570"
"In post","2022","Barnsley, Doncaster and Rotherham","Undeclared","60-64","30","20","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Unknown","20-29","90","90","24360","23140"
"In post","2022","Barnsley, Doncaster and Rotherham","Unknown","30-39","120","110","26860","25180"
"In post","2022","Barnsley, Doncaster and Rotherham","Unknown","40-49","120","100","26860","27570"
"In post","2022","Barnsley, Doncaster and Rotherham","Unknown","50-59","160","140","27330","27570"
"In post","2022","Barnsley, Doncaster and Rotherham","Unknown","60-64","60","40","25800","26830"
"In post","2022","Barnsley, Doncaster and Rotherham","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","16-19","60","60","19460","19460"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","20-29","2060","2040","28110","27540"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","30-39","2680","2540","36540","35080"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","40-49","2350","2250","41960","40030"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","50-59","2670","2590","43980","40980"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","60-64","720","640","41700","40580"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","65+","190","160","38870","37610"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","20-29","180","180","27880","27540"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","30-39","150","140","34230","33300"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","40-49","70","70","41530","38230"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","50-59","60","60","41320","39410"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","20-29","160","160","29210","28820"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","30-39","250","240","36650","36520"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","40-49","330","310","42820","40590"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","50-59","510","490","43950","41930"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","60-64","140","120","41980","41080"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","65+","50","40","[c]","[c]"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","16-19","40","40","[c]","[c]"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","20-29","330","330","28380","27540"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","30-39","290","270","35590","34000"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","40-49","210","200","40960","37750"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","50-59","200","190","41360","36460"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","60-64","50","40","[c]","[c]"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","Heterosexual / straight","20-29","100","100","27490","28140"
"In post","2022","Bedford","Heterosexual / straight","30-39","120","110","29130","28140"
"In post","2022","Bedford","Heterosexual / straight","40-49","140","130","31870","28140"
"In post","2022","Bedford","Heterosexual / straight","50-59","180","160","33460","28840"
"In post","2022","Bedford","Heterosexual / straight","60-64","40","30","[c]","[c]"
"In post","2022","Bedford","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","Unknown","20-29","40","40","[c]","[c]"
"In post","2022","Bedford","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","Unknown","50-59","40","40","[c]","[c]"
"In post","2022","Bedford","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","Unknown","65+","[c]","[c]","[c]","[c]"
