"Status","Year","Function_of_post","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Internal Audit","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Foreign, Commonwealth and Development Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Foreign, Commonwealth and Development Office","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Foreign, Commonwealth and Development Office","SEO/HEO","30","30","[c]","[c]"
"In post","2022","Internal Audit","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","HM Land Registry","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","HM Revenue and Customs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","HM Revenue and Customs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","HM Revenue and Customs","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","HM Revenue and Customs","SEO/HEO","40","40","[c]","[c]"
"In post","2022","Internal Audit","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","HM Treasury","G6/G7","130","130","57730","56450"
"In post","2022","Internal Audit","HM Treasury","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","HM Treasury","SEO/HEO","190","180","41070","40960"
"In post","2022","Internal Audit","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Ministry of Defence","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Ministry of Defence","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Ministry of Defence","SEO/HEO","100","90","38410","37000"
"In post","2022","Internal Audit","Ministry of Justice","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Ministry of Justice","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Ministry of Justice","SEO/HEO","40","40","[c]","[c]"
"In post","2022","Internal Audit","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","UK Statistics Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Attorney General's Departments","AA/AO","1430","1310","22730","22200"
"In post","2022","Legal","Attorney General's Departments","EO","1630","1530","27920","27760"
"In post","2022","Legal","Attorney General's Departments","G6/G7","4660","4300","58000","55610"
"In post","2022","Legal","Attorney General's Departments","SCS","280","270","86010","82360"
"In post","2022","Legal","Attorney General's Departments","SEO/HEO","900","870","36390","36240"
"In post","2022","Legal","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Cabinet Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Cabinet Office","SCS","50","50","85440","79760"
"In post","2022","Legal","Cabinet Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Charity Commission","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Competition and Markets Authority","G6/G7","110","100","67210","71370"
"In post","2022","Legal","Competition and Markets Authority","SCS","30","30","[c]","[c]"
"In post","2022","Legal","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department for Business, Energy and Industrial Strategy","G6/G7","50","50","59580","58340"
"In post","2022","Legal","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department for Business, Energy and Industrial Strategy","SEO/HEO","60","50","40290","41420"
"In post","2022","Legal","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department for Education","G6/G7","60","50","60440","61010"
"In post","2022","Legal","Department for Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department for Work and Pensions","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department for Work and Pensions","EO","40","40","[c]","[c]"
"In post","2022","Legal","Department for Work and Pensions","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department for Work and Pensions","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department for Work and Pensions","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department of Health and Social Care","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department of Health and Social Care","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department of Health and Social Care","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Foreign, Commonwealth and Development Office","G6/G7","100","70","62610","60900"
"In post","2022","Legal","Foreign, Commonwealth and Development Office","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Foreign, Commonwealth and Development Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","HM Land Registry","EO","60","60","27490","27130"
"In post","2022","Legal","HM Land Registry","G6/G7","140","120","63960","64940"
"In post","2022","Legal","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Legal","HM Land Registry","SEO/HEO","60","60","36810","33840"
"In post","2022","Legal","HM Revenue and Customs","AA/AO","150","140","23070","22080"
"In post","2022","Legal","HM Revenue and Customs","EO","250","220","28220","26820"
"In post","2022","Legal","HM Revenue and Customs","G6/G7","420","390","63450","62120"
"In post","2022","Legal","HM Revenue and Customs","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Legal","HM Revenue and Customs","SEO/HEO","520","500","36210","33370"
"In post","2022","Legal","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Ministry of Defence","G6/G7","40","40","[c]","[c]"
"In post","2022","Legal","Ministry of Defence","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Ministry of Defence","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Ministry of Justice","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Ministry of Justice","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","National Crime Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","National Crime Agency","G6/G7","30","30","[c]","[c]"
"In post","2022","Legal","National Crime Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Legal","National Crime Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office for Standards in Education, Children's Services and Skills","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office for Standards in Education, Children's Services and Skills","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office for Standards in Education, Children's Services and Skills","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office of Gas and Electricity Markets","G6/G7","70","70","62470","63740"
"In post","2022","Legal","Office of Gas and Electricity Markets","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office of Gas and Electricity Markets","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office of Qualifications and Examinations Regulation","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office of Rail and Road","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Scottish Government","EO","60","60","29020","30360"
"In post","2022","Legal","Scottish Government","G6/G7","200","190","68650","69780"
"In post","2022","Legal","Scottish Government","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Scottish Government","SEO/HEO","510","470","49440","47490"
"In post","2022","Legal","The National Archives","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Legal","The National Archives","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Export Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Statistics Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Supreme Court","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Supreme Court","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Supreme Court","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Supreme Court","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Water Services Regulation Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","No function","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","No function","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Cabinet Office","AA/AO","110","110","23320","24490"
"In post","2022","No function","Cabinet Office","EO","310","300","27540","27500"
"In post","2022","No function","Cabinet Office","G6/G7","1030","1020","58060","54700"
"In post","2022","No function","Cabinet Office","SCS","240","240","86940","78000"
"In post","2022","No function","Cabinet Office","SEO/HEO","2520","2510","32120","32000"
"In post","2022","No function","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","No function","Chancellor's other departments","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Charity Commission","EO","90","90","25110","24440"
"In post","2022","No function","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","No function","Charity Commission","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Charity Commission","SEO/HEO","170","160","31850","29160"
"In post","2022","No function","Department for Business, Energy and Industrial Strategy","AA/AO","1190","1080","21620","21130"
"In post","2022","No function","Department for Business, Energy and Industrial Strategy","EO","1330","1270","26240","25460"
"In post","2022","No function","Department for Business, Energy and Industrial Strategy","G6/G7","2650","2580","58330","56590"
"In post","2022","No function","Department for Business, Energy and Industrial Strategy","SCS","320","310","87110","79110"
"In post","2022","No function","Department for Business, Energy and Industrial Strategy","SEO/HEO","3300","3210","37430","36740"
"In post","2022","No function","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Department for Digital, Culture, Media and Sport","EO","140","140","26830","26180"
"In post","2022","No function","Department for Digital, Culture, Media and Sport","G6/G7","720","710","55570","52250"
"In post","2022","No function","Department for Digital, Culture, Media and Sport","SCS","100","90","83910","75840"
"In post","2022","No function","Department for Digital, Culture, Media and Sport","SEO/HEO","610","610","34930","34020"
"In post","2022","No function","Department for Education","AA/AO","50","50","22290","21250"
"In post","2022","No function","Department for Education","EO","460","440","26350","25000"
"In post","2022","No function","Department for Education","G6/G7","1780","1700","55690","53420"
"In post","2022","No function","Department for Education","SCS","220","210","84010","74100"
"In post","2022","No function","Department for Education","SEO/HEO","2280","2190","35610","36500"
"In post","2022","No function","Department for Environment, Food and Rural Affairs","AA/AO","890","830","22260","21300"
"In post","2022","No function","Department for Environment, Food and Rural Affairs","EO","1140","1090","26630","25730"
"In post","2022","No function","Department for Environment, Food and Rural Affairs","G6/G7","1540","1480","54930","53660"
"In post","2022","No function","Department for Environment, Food and Rural Affairs","SCS","150","140","82890","76660"
"In post","2022","No function","Department for Environment, Food and Rural Affairs","SEO/HEO","3090","2980","35320","35900"
"In post","2022","No function","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","No function","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Department for International Trade","EO","160","160","27500","26510"
"In post","2022","No function","Department for International Trade","G6/G7","810","800","56290","53380"
"In post","2022","No function","Department for International Trade","SCS","140","140","86680","75570"
"In post","2022","No function","Department for International Trade","SEO/HEO","880","880","36340","38160"
"In post","2022","No function","Department for Levelling Up, Housing and Communities","AA/AO","180","170","22310","22560"
"In post","2022","No function","Department for Levelling Up, Housing and Communities","EO","340","330","27540","27850"
"In post","2022","No function","Department for Levelling Up, Housing and Communities","G6/G7","1330","1260","56370","53870"
"In post","2022","No function","Department for Levelling Up, Housing and Communities","SCS","140","140","86280","76260"
"In post","2022","No function","Department for Levelling Up, Housing and Communities","SEO/HEO","1160","1130","35670","34860"
"In post","2022","No function","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","No function","Department for Transport","AA/AO","5380","4670","22000","21840"
"In post","2022","No function","Department for Transport","EO","3480","3270","28030","26780"
"In post","2022","No function","Department for Transport","G6/G7","1050","1020","61240","55650"
"In post","2022","No function","Department for Transport","SCS","160","150","89360","79740"
"In post","2022","No function","Department for Transport","SEO/HEO","2030","1980","37600","35980"
"In post","2022","No function","Department for Work and Pensions","AA/AO","24510","21160","21340","21260"
"In post","2022","No function","Department for Work and Pensions","EO","41710","37710","28100","27570"
"In post","2022","No function","Department for Work and Pensions","G6/G7","1110","1070","56710","53430"
"In post","2022","No function","Department for Work and Pensions","SCS","130","120","88650","78140"
"In post","2022","No function","Department for Work and Pensions","SEO/HEO","5530","5210","36490","34290"
"In post","2022","No function","Department of Health and Social Care","AA/AO","740","630","21540","21820"
"In post","2022","No function","Department of Health and Social Care","EO","1090","1020","26450","26880"
"In post","2022","No function","Department of Health and Social Care","G6/G7","2580","2470","58390","54180"
"In post","2022","No function","Department of Health and Social Care","SCS","630","590","99860","95140"
"In post","2022","No function","Department of Health and Social Care","SEO/HEO","3480","3290","36200","36330"
"In post","2022","No function","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Food Standards Agency","EO","400","380","27150","26750"
"In post","2022","No function","Food Standards Agency","G6/G7","150","150","55270","55300"
"In post","2022","No function","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Food Standards Agency","SEO/HEO","490","490","35610","37350"
"In post","2022","No function","Foreign, Commonwealth and Development Office","AA/AO","260","250","26410","25000"
"In post","2022","No function","Foreign, Commonwealth and Development Office","EO","370","370","30720","30510"
"In post","2022","No function","Foreign, Commonwealth and Development Office","G6/G7","1190","1170","60120","58600"
"In post","2022","No function","Foreign, Commonwealth and Development Office","SCS","360","350","87170","78010"
"In post","2022","No function","Foreign, Commonwealth and Development Office","SEO/HEO","1420","1400","37330","36550"
"In post","2022","No function","HM Land Registry","AA/AO","1650","1550","22710","22600"
"In post","2022","No function","HM Land Registry","EO","2040","1810","27250","27130"
"In post","2022","No function","HM Land Registry","G6/G7","40","40","[c]","[c]"
"In post","2022","No function","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","HM Land Registry","SEO/HEO","1480","1300","36100","33840"
"In post","2022","No function","HM Revenue and Customs","AA/AO","13610","11800","21570","21250"
"In post","2022","No function","HM Revenue and Customs","EO","6780","6240","27160","26820"
"In post","2022","No function","HM Revenue and Customs","G6/G7","2990","2870","59590","55210"
"In post","2022","No function","HM Revenue and Customs","SCS","130","120","83680","78420"
"In post","2022","No function","HM Revenue and Customs","SEO/HEO","10320","9910","35820","33370"
"In post","2022","No function","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","HM Treasury","EO","170","160","26990","26750"
"In post","2022","No function","HM Treasury","G6/G7","820","800","57910","55500"
"In post","2022","No function","HM Treasury","SCS","150","140","85440","78000"
"In post","2022","No function","HM Treasury","SEO/HEO","690","680","33950","32320"
"In post","2022","No function","Ministry of Defence","AA/AO","300","290","20330","20420"
"In post","2022","No function","Ministry of Defence","EO","520","500","27630","27520"
"In post","2022","No function","Ministry of Defence","G6/G7","1200","1150","52670","47910"
"In post","2022","No function","Ministry of Defence","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Ministry of Defence","SEO/HEO","1720","1680","34550","34010"
"In post","2022","No function","Ministry of Justice","AA/AO","39450","36590","24920","23720"
"In post","2022","No function","Ministry of Justice","EO","10010","9530","29200","28310"
"In post","2022","No function","Ministry of Justice","G6/G7","1880","1820","63880","60500"
"In post","2022","No function","Ministry of Justice","SCS","230","220","88440","83180"
"In post","2022","No function","Ministry of Justice","SEO/HEO","10270","9790","39120","38150"
"In post","2022","No function","Ministry of Justice","Unknown","19170","17740","30090","28200"
"In post","2022","No function","National Crime Agency","AA/AO","200","190","24130","24470"
"In post","2022","No function","National Crime Agency","EO","2320","2260","34470","34140"
"In post","2022","No function","National Crime Agency","G6/G7","250","250","66890","65940"
"In post","2022","No function","National Crime Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","National Crime Agency","SEO/HEO","1980","1940","44810","43710"
"In post","2022","No function","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Northern Ireland Office","G6/G7","30","30","[c]","[c]"
"In post","2022","No function","Northern Ireland Office","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Northern Ireland Office","SEO/HEO","60","60","37870","36720"
"In post","2022","No function","Office for Standards in Education, Children's Services and Skills","AA/AO","180","160","21290","21410"
"In post","2022","No function","Office for Standards in Education, Children's Services and Skills","EO","140","140","26470","25880"
"In post","2022","No function","Office for Standards in Education, Children's Services and Skills","G6/G7","520","510","74420","75500"
"In post","2022","No function","Office for Standards in Education, Children's Services and Skills","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Office for Standards in Education, Children's Services and Skills","SEO/HEO","550","530","46210","51360"
"In post","2022","No function","Office of Gas and Electricity Markets","AA/AO","50","50","[c]","[c]"
"In post","2022","No function","Office of Gas and Electricity Markets","EO","270","270","25640","25150"
"In post","2022","No function","Office of Gas and Electricity Markets","G6/G7","240","240","57490","55280"
"In post","2022","No function","Office of Gas and Electricity Markets","SCS","40","30","[c]","[c]"
"In post","2022","No function","Office of Gas and Electricity Markets","SEO/HEO","280","270","35370","34240"
"In post","2022","No function","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Office of Qualifications and Examinations Regulation","G6/G7","90","90","52810","48350"
"In post","2022","No function","Office of Qualifications and Examinations Regulation","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Office of Qualifications and Examinations Regulation","SEO/HEO","100","100","35550","36540"
"In post","2022","No function","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Office of Rail and Road","G6/G7","150","140","61410","60260"
"In post","2022","No function","Office of Rail and Road","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Office of Rail and Road","SEO/HEO","60","60","39380","38650"
"In post","2022","No function","Office of the Secretary of State for Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Office of the Secretary of State for Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Office of the Secretary of State for Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","No function","Office of the Secretary of State for Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Office of the Secretary of State for Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Office of the Secretary of State for Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Office of the Secretary of State for Wales","EO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Office of the Secretary of State for Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","No function","Office of the Secretary of State for Wales","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Office of the Secretary of State for Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Scottish Government","AA/AO","3430","3170","23450","23230"
"In post","2022","No function","Scottish Government","EO","3020","2840","32680","35000"
"In post","2022","No function","Scottish Government","G6/G7","160","160","62760","60820"
"In post","2022","No function","Scottish Government","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Scottish Government","SEO/HEO","1420","1310","38900","37710"
"In post","2022","No function","The National Archives","AA/AO","70","60","21250","20900"
"In post","2022","No function","The National Archives","EO","40","40","[c]","[c]"
"In post","2022","No function","The National Archives","G6/G7","40","40","[c]","[c]"
"In post","2022","No function","The National Archives","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","The National Archives","SEO/HEO","180","170","33740","34260"
"In post","2022","No function","UK Statistics Authority","AA/AO","1430","1000","20360","20350"
"In post","2022","No function","UK Statistics Authority","EO","380","360","24590","23880"
"In post","2022","No function","UK Statistics Authority","G6/G7","210","200","53860","51210"
"In post","2022","No function","UK Statistics Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","UK Statistics Authority","SEO/HEO","580","550","33730","32660"
"In post","2022","No function","Water Services Regulation Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","No function","Water Services Regulation Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Water Services Regulation Authority","SEO/HEO","50","50","[c]","[c]"
"In post","2022","No function","Welsh Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Welsh Government","EO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","No function","Welsh Government","SCS","[c]","[c]","[c]","[c]"
"In post","2022","No function","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Cabinet Office","G6/G7","90","80","58680","56610"
"In post","2022","Project Delivery","Cabinet Office","SCS","60","60","114370","115000"
"In post","2022","Project Delivery","Cabinet Office","SEO/HEO","50","50","[c]","[c]"
"In post","2022","Project Delivery","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
