"Status","Year","Region_ITL1","Age","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","London","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","20-29","2200","2040","35640","33300"
"Leaver Dept.","2021","London","30-39","1710","1580","46850","47860"
"Leaver Dept.","2021","London","40-49","850","780","55900","55100"
"Leaver Dept.","2021","London","50-59","440","420","52970","46070"
"Leaver Dept.","2021","London","60-64","40","30","[c]","[c]"
"Leaver Dept.","2021","London","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Unknown","90","40","[c]","[c]"
"Leaver Dept.","2021","North East (England)","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","20-29","180","180","23560","21010"
"Leaver Dept.","2021","North East (England)","30-39","200","190","26320","24960"
"Leaver Dept.","2021","North East (England)","40-49","130","120","29220","27570"
"Leaver Dept.","2021","North East (England)","50-59","90","90","34030","27570"
"Leaver Dept.","2021","North East (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","20-29","290","280","24810","24110"
"Leaver Dept.","2021","North West (England)","30-39","320","300","27860","25750"
"Leaver Dept.","2021","North West (England)","40-49","270","250","30870","27570"
"Leaver Dept.","2021","North West (England)","50-59","190","180","35170","29160"
"Leaver Dept.","2021","North West (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","30-39","40","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","20-29","150","150","26000","24050"
"Leaver Dept.","2021","Scotland","30-39","190","190","30140","27570"
"Leaver Dept.","2021","Scotland","40-49","120","110","31880","27570"
"Leaver Dept.","2021","Scotland","50-59","140","130","33150","27570"
"Leaver Dept.","2021","Scotland","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","20-29","130","120","26980","26520"
"Leaver Dept.","2021","South East (England)","30-39","100","100","32350","30830"
"Leaver Dept.","2021","South East (England)","40-49","100","90","36810","31990"
"Leaver Dept.","2021","South East (England)","50-59","90","80","35670","29290"
"Leaver Dept.","2021","South East (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South West (England)","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South West (England)","20-29","250","250","26660","26940"
"Leaver Dept.","2021","South West (England)","30-39","240","230","34590","32710"
"Leaver Dept.","2021","South West (England)","40-49","170","160","42480","39570"
"Leaver Dept.","2021","South West (England)","50-59","120","120","40210","36970"
"Leaver Dept.","2021","South West (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South West (England)","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","20-29","470","470","32260","32000"
"Leaver Dept.","2021","Unknown","30-39","160","160","39720","32040"
"Leaver Dept.","2021","Unknown","40-49","40","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales","20-29","170","170","25780","23280"
"Leaver Dept.","2021","Wales","30-39","220","210","31980","29540"
"Leaver Dept.","2021","Wales","40-49","110","100","34780","28370"
"Leaver Dept.","2021","Wales","50-59","80","80","38160","36030"
"Leaver Dept.","2021","Wales","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","West Midlands (England)","20-29","150","150","23140","21050"
"Leaver Dept.","2021","West Midlands (England)","30-39","190","180","27490","24570"
"Leaver Dept.","2021","West Midlands (England)","40-49","130","120","32150","27570"
"Leaver Dept.","2021","West Midlands (England)","50-59","70","70","34280","27570"
"Leaver Dept.","2021","West Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Yorkshire and The Humber","20-29","190","180","27390","27570"
"Leaver Dept.","2021","Yorkshire and The Humber","30-39","170","160","34190","31990"
"Leaver Dept.","2021","Yorkshire and The Humber","40-49","160","150","36280","33300"
"Leaver Dept.","2021","Yorkshire and The Humber","50-59","90","90","38520","32620"
"Leaver Dept.","2021","Yorkshire and The Humber","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Yorkshire and The Humber","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","20-29","180","170","25120","23390"
"Leaver Dept.","2022","East Midlands (England)","30-39","160","160","30120","27570"
"Leaver Dept.","2022","East Midlands (England)","40-49","160","150","36460","31990"
"Leaver Dept.","2022","East Midlands (England)","50-59","120","110","38680","31980"
"Leaver Dept.","2022","East Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","20-29","140","130","28200","25620"
"Leaver Dept.","2022","East of England","30-39","160","160","33340","30760"
"Leaver Dept.","2022","East of England","40-49","160","140","38730","33370"
"Leaver Dept.","2022","East of England","50-59","150","140","46910","37440"
"Leaver Dept.","2022","East of England","60-64","40","40","[c]","[c]"
"Leaver Dept.","2022","East of England","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","London","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","London","20-29","3650","3250","34420","32330"
"Leaver Dept.","2022","London","30-39","3050","2660","44650","40780"
"Leaver Dept.","2022","London","40-49","1960","1660","51890","51550"
"Leaver Dept.","2022","London","50-59","1290","1080","52560","47100"
"Leaver Dept.","2022","London","60-64","230","180","55860","45850"
"Leaver Dept.","2022","London","65+","100","70","56990","40570"
"Leaver Dept.","2022","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North East (England)","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North East (England)","20-29","250","250","25640","24950"
"Leaver Dept.","2022","North East (England)","30-39","290","280","30260","27570"
"Leaver Dept.","2022","North East (England)","40-49","260","240","34890","29390"
"Leaver Dept.","2022","North East (England)","50-59","170","160","36220","28700"
"Leaver Dept.","2022","North East (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North East (England)","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North West (England)","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North West (England)","20-29","560","550","25610","24890"
"Leaver Dept.","2022","North West (England)","30-39","590","570","30400","27570"
"Leaver Dept.","2022","North West (England)","40-49","500","470","35890","30820"
"Leaver Dept.","2022","North West (England)","50-59","360","340","37600","31250"
"Leaver Dept.","2022","North West (England)","60-64","40","40","[c]","[c]"
"Leaver Dept.","2022","North West (England)","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scotland","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scotland","20-29","300","300","26290","26670"
"Leaver Dept.","2022","Scotland","30-39","400","380","29350","27570"
"Leaver Dept.","2022","Scotland","40-49","310","290","32050","27570"
"Leaver Dept.","2022","Scotland","50-59","220","210","32610","27570"
"Leaver Dept.","2022","Scotland","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scotland","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","South East (England)","20-29","230","220","27960","27570"
"Leaver Dept.","2022","South East (England)","30-39","240","230","36760","35770"
"Leaver Dept.","2022","South East (England)","40-49","280","260","42740","38580"
"Leaver Dept.","2022","South East (England)","50-59","240","230","45520","40110"
"Leaver Dept.","2022","South East (England)","60-64","50","40","[c]","[c]"
"Leaver Dept.","2022","South East (England)","65+","30","20","[c]","[c]"
"Leaver Dept.","2022","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","South West (England)","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","South West (England)","20-29","550","540","26260","26050"
"Leaver Dept.","2022","South West (England)","30-39","560","530","34820","33480"
"Leaver Dept.","2022","South West (England)","40-49","520","490","41240","38300"
"Leaver Dept.","2022","South West (England)","50-59","370","350","44850","40580"
"Leaver Dept.","2022","South West (England)","60-64","100","90","49070","40790"
"Leaver Dept.","2022","South West (England)","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","20-29","300","240","32290","32000"
"Leaver Dept.","2022","Unknown","30-39","210","170","39790","33250"
"Leaver Dept.","2022","Unknown","40-49","140","90","41860","32440"
"Leaver Dept.","2022","Unknown","50-59","80","40","[c]","[c]"
"Leaver Dept.","2022","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Wales","20-29","220","220","28470","27570"
"Leaver Dept.","2022","Wales","30-39","260","250","33450","29540"
"Leaver Dept.","2022","Wales","40-49","160","160","36830","31990"
"Leaver Dept.","2022","Wales","50-59","90","90","35640","27570"
"Leaver Dept.","2022","Wales","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Wales","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","West Midlands (England)","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","West Midlands (England)","20-29","340","330","25000","24250"
"Leaver Dept.","2022","West Midlands (England)","30-39","380","360","29490","27570"
"Leaver Dept.","2022","West Midlands (England)","40-49","330","310","36090","29730"
"Leaver Dept.","2022","West Midlands (England)","50-59","200","190","41110","33890"
"Leaver Dept.","2022","West Midlands (England)","60-64","50","40","[c]","[c]"
"Leaver Dept.","2022","West Midlands (England)","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Yorkshire and The Humber","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Yorkshire and The Humber","20-29","450","360","28810","27570"
"Leaver Dept.","2022","Yorkshire and The Humber","30-39","460","370","35500","31990"
"Leaver Dept.","2022","Yorkshire and The Humber","40-49","400","300","41300","37300"
"Leaver Dept.","2022","Yorkshire and The Humber","50-59","310","220","42520","36330"
"Leaver Dept.","2022","Yorkshire and The Humber","60-64","40","[c]","[c]","[c]"
"Leaver Dept.","2022","Yorkshire and The Humber","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Midlands (England)","16-19","50","50","[c]","[c]"
"New entrant CS","2021","East Midlands (England)","20-29","920","900","23990","22920"
"New entrant CS","2021","East Midlands (England)","30-39","590","570","27010","25560"
"New entrant CS","2021","East Midlands (England)","40-49","430","420","29230","27570"
"New entrant CS","2021","East Midlands (England)","50-59","420","410","27460","27570"
"New entrant CS","2021","East Midlands (England)","60-64","60","60","26560","27570"
"New entrant CS","2021","East Midlands (England)","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","16-19","40","40","[c]","[c]"
"New entrant CS","2021","East of England","20-29","1060","1040","25390","25560"
"New entrant CS","2021","East of England","30-39","690","660","27490","27570"
"New entrant CS","2021","East of England","40-49","580","550","28240","27570"
"New entrant CS","2021","East of England","50-59","550","530","28210","27570"
"New entrant CS","2021","East of England","60-64","100","90","27690","27570"
"New entrant CS","2021","East of England","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","16-19","120","120","24800","24300"
"New entrant CS","2021","London","20-29","7910","7850","31110","31060"
"New entrant CS","2021","London","30-39","3480","3390","39040","32960"
"New entrant CS","2021","London","40-49","2000","1930","42730","33780"
"New entrant CS","2021","London","50-59","1350","1310","42200","32660"
"New entrant CS","2021","London","60-64","200","180","43880","33390"
"New entrant CS","2021","London","65+","60","50","40970","30460"
"New entrant CS","2021","North East (England)","16-19","80","80","21150","21010"
"New entrant CS","2021","North East (England)","20-29","1340","1330","23210","21010"
"New entrant CS","2021","North East (England)","30-39","780","760","25530","22850"
"New entrant CS","2021","North East (England)","40-49","540","520","26600","22850"
"New entrant CS","2021","North East (England)","50-59","420","410","25100","21010"
"New entrant CS","2021","North East (England)","60-64","90","90","25360","21010"
"New entrant CS","2021","North East (England)","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North West (England)","16-19","100","100","21090","21010"
"New entrant CS","2021","North West (England)","20-29","2440","2400","24200","22570"
"New entrant CS","2021","North West (England)","30-39","1450","1420","27770","26180"
"New entrant CS","2021","North West (England)","40-49","1030","1010","29990","27570"
"New entrant CS","2021","North West (England)","50-59","820","800","28200","24880"
"New entrant CS","2021","North West (England)","60-64","170","160","26360","21010"
"New entrant CS","2021","North West (England)","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Northern Ireland","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Northern Ireland","20-29","130","120","22090","20140"
"New entrant CS","2021","Northern Ireland","30-39","110","110","25680","20140"
"New entrant CS","2021","Northern Ireland","40-49","60","60","23960","20610"
"New entrant CS","2021","Northern Ireland","50-59","50","40","[c]","[c]"
"New entrant CS","2021","Northern Ireland","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Northern Ireland","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","16-19","100","90","20130","20140"
"New entrant CS","2021","Scotland","20-29","1570","1540","24290","21010"
"New entrant CS","2021","Scotland","30-39","1170","1140","28720","26160"
"New entrant CS","2021","Scotland","40-49","860","830","30500","27570"
"New entrant CS","2021","Scotland","50-59","690","680","29800","26160"
"New entrant CS","2021","Scotland","60-64","90","90","28780","23800"
"New entrant CS","2021","Scotland","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South East (England)","16-19","90","80","22580","21430"
"New entrant CS","2021","South East (England)","20-29","1900","1880","25310","25500"
"New entrant CS","2021","South East (England)","30-39","1280","1230","28940","27570"
"New entrant CS","2021","South East (England)","40-49","1010","970","30430","27570"
"New entrant CS","2021","South East (England)","50-59","1080","1020","29490","27570"
"New entrant CS","2021","South East (England)","60-64","220","210","26780","27570"
"New entrant CS","2021","South East (England)","65+","60","50","27350","25390"
"New entrant CS","2021","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South West (England)","16-19","100","100","18590","18850"
"New entrant CS","2021","South West (England)","20-29","1780","1740","24720","23140"
"New entrant CS","2021","South West (England)","30-39","1200","1140","30240","27570"
"New entrant CS","2021","South West (England)","40-49","930","890","33180","27570"
"New entrant CS","2021","South West (England)","50-59","770","740","31810","27570"
"New entrant CS","2021","South West (England)","60-64","160","140","31130","27570"
"New entrant CS","2021","South West (England)","65+","40","30","[c]","[c]"
"New entrant CS","2021","Unknown","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","20-29","340","340","28020","27570"
"New entrant CS","2021","Unknown","30-39","190","180","33450","27570"
"New entrant CS","2021","Unknown","40-49","150","150","37330","27780"
"New entrant CS","2021","Unknown","50-59","150","150","39340","27570"
"New entrant CS","2021","Unknown","60-64","50","40","[c]","[c]"
"New entrant CS","2021","Unknown","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales","16-19","90","80","20390","20140"
"New entrant CS","2021","Wales","20-29","1270","1250","23510","21590"
"New entrant CS","2021","Wales","30-39","780","750","27530","24000"
"New entrant CS","2021","Wales","40-49","430","410","29430","26130"
"New entrant CS","2021","Wales","50-59","310","300","28080","22920"
"New entrant CS","2021","Wales","60-64","60","50","26850","21590"
"New entrant CS","2021","Wales","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","16-19","50","50","21640","21010"
"New entrant CS","2021","West Midlands (England)","20-29","1330","1310","24000","22850"
"New entrant CS","2021","West Midlands (England)","30-39","860","830","28370","27570"
"New entrant CS","2021","West Midlands (England)","40-49","640","610","31260","27570"
"New entrant CS","2021","West Midlands (England)","50-59","480","460","30740","27570"
"New entrant CS","2021","West Midlands (England)","60-64","80","70","28280","26280"
"New entrant CS","2021","West Midlands (England)","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Yorkshire and The Humber","16-19","90","80","21100","21010"
"New entrant CS","2021","Yorkshire and The Humber","20-29","1930","1910","24600","22920"
"New entrant CS","2021","Yorkshire and The Humber","30-39","1020","990","28850","27570"
"New entrant CS","2021","Yorkshire and The Humber","40-49","760","730","31930","27570"
"New entrant CS","2021","Yorkshire and The Humber","50-59","610","590","30550","27570"
"New entrant CS","2021","Yorkshire and The Humber","60-64","90","80","29610","27570"
"New entrant CS","2021","Yorkshire and The Humber","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","East Midlands (England)","16-19","50","50","21950","21250"
"New entrant CS","2022","East Midlands (England)","20-29","1370","1360","24280","23140"
"New entrant CS","2022","East Midlands (England)","30-39","840","800","26950","24800"
"New entrant CS","2022","East Midlands (England)","40-49","660","630","29160","26590"
"New entrant CS","2022","East Midlands (England)","50-59","560","520","28150","26130"
"New entrant CS","2022","East Midlands (England)","60-64","110","100","28460","27570"
"New entrant CS","2022","East Midlands (England)","65+","40","30","[c]","[c]"
"New entrant CS","2022","East of England","16-19","40","40","[c]","[c]"
"New entrant CS","2022","East of England","20-29","1120","1110","25040","24620"
"New entrant CS","2022","East of England","30-39","740","700","27980","26140"
"New entrant CS","2022","East of England","40-49","620","580","30390","27570"
"New entrant CS","2022","East of England","50-59","580","530","29510","27570"
"New entrant CS","2022","East of England","60-64","150","130","27570","26070"
"New entrant CS","2022","East of England","65+","40","30","[c]","[c]"
"New entrant CS","2022","London","16-19","120","120","25270","25110"
"New entrant CS","2022","London","20-29","7000","6870","31690","30520"
"New entrant CS","2022","London","30-39","3120","2990","39830","35070"
"New entrant CS","2022","London","40-49","1850","1750","43180","37750"
"New entrant CS","2022","London","50-59","1300","1230","42440","35290"
"New entrant CS","2022","London","60-64","280","260","40930","34630"
"New entrant CS","2022","London","65+","80","70","40550","36930"
"New entrant CS","2022","London","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","North East (England)","16-19","50","50","21560","21260"
"New entrant CS","2022","North East (England)","20-29","1580","1560","24370","22470"
"New entrant CS","2022","North East (England)","30-39","1060","1030","27430","24960"
"New entrant CS","2022","North East (England)","40-49","730","710","28660","26130"
"New entrant CS","2022","North East (England)","50-59","630","610","27860","24920"
"New entrant CS","2022","North East (England)","60-64","130","120","26190","22990"
"New entrant CS","2022","North East (England)","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","North West (England)","16-19","120","120","22140","21260"
"New entrant CS","2022","North West (England)","20-29","3460","3400","24750","23170"
"New entrant CS","2022","North West (England)","30-39","2330","2250","28010","25330"
"New entrant CS","2022","North West (England)","40-49","1410","1350","30340","26590"
"New entrant CS","2022","North West (England)","50-59","1150","1100","29400","26310"
"New entrant CS","2022","North West (England)","60-64","290","260","27990","24800"
"New entrant CS","2022","North West (England)","65+","80","60","28330","27570"
"New entrant CS","2022","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Northern Ireland","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Northern Ireland","20-29","250","240","25480","24880"
"New entrant CS","2022","Northern Ireland","30-39","190","190","29510","26590"
"New entrant CS","2022","Northern Ireland","40-49","110","110","30960","26590"
"New entrant CS","2022","Northern Ireland","50-59","50","50","[c]","[c]"
"New entrant CS","2022","Northern Ireland","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Northern Ireland","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Overseas","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Overseas","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Overseas","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Overseas","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Overseas","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Scotland","16-19","110","100","21310","21050"
"New entrant CS","2022","Scotland","20-29","2750","2710","25590","23450"
"New entrant CS","2022","Scotland","30-39","2160","2110","29880","27230"
"New entrant CS","2022","Scotland","40-49","1330","1290","32260","27570"
"New entrant CS","2022","Scotland","50-59","1040","1000","31370","27230"
"New entrant CS","2022","Scotland","60-64","170","160","28580","23640"
"New entrant CS","2022","Scotland","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","South East (England)","16-19","100","100","23080","21790"
"New entrant CS","2022","South East (England)","20-29","1970","1940","25610","24880"
"New entrant CS","2022","South East (England)","30-39","1200","1150","29330","27570"
"New entrant CS","2022","South East (England)","40-49","950","900","31710","27570"
"New entrant CS","2022","South East (England)","50-59","980","890","30200","26350"
"New entrant CS","2022","South East (England)","60-64","250","200","28760","26730"
"New entrant CS","2022","South East (England)","65+","80","60","32840","28700"
"New entrant CS","2022","South West (England)","16-19","130","130","19300","19460"
"New entrant CS","2022","South West (England)","20-29","2160","2130","25040","23550"
"New entrant CS","2022","South West (England)","30-39","1350","1290","30940","28590"
"New entrant CS","2022","South West (England)","40-49","960","910","34210","29230"
"New entrant CS","2022","South West (England)","50-59","870","840","33540","28760"
"New entrant CS","2022","South West (England)","60-64","170","150","31500","28480"
"New entrant CS","2022","South West (England)","65+","60","50","31280","27700"
"New entrant CS","2022","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","20-29","350","320","25550","27500"
"New entrant CS","2022","Unknown","30-39","190","170","30390","27570"
"New entrant CS","2022","Unknown","40-49","140","120","36970","29290"
"New entrant CS","2022","Unknown","50-59","120","100","36230","29390"
"New entrant CS","2022","Unknown","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Wales","16-19","100","90","19870","18310"
"New entrant CS","2022","Wales","20-29","1640","1610","24180","22520"
"New entrant CS","2022","Wales","30-39","1140","1090","28050","24800"
"New entrant CS","2022","Wales","40-49","700","670","30810","26590"
"New entrant CS","2022","Wales","50-59","520","500","30850","26310"
"New entrant CS","2022","Wales","60-64","110","100","29170","27570"
"New entrant CS","2022","Wales","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","West Midlands (England)","16-19","60","60","22260","21260"
"New entrant CS","2022","West Midlands (England)","20-29","1960","1930","24910","23170"
"New entrant CS","2022","West Midlands (England)","30-39","1300","1250","28470","26590"
"New entrant CS","2022","West Midlands (England)","40-49","990","940","31850","27570"
"New entrant CS","2022","West Midlands (England)","50-59","720","680","31010","27570"
"New entrant CS","2022","West Midlands (England)","60-64","160","130","30640","27570"
"New entrant CS","2022","West Midlands (England)","65+","70","40","30970","27570"
"New entrant CS","2022","Yorkshire and The Humber","16-19","90","90","21960","21250"
"New entrant CS","2022","Yorkshire and The Humber","20-29","2370","2310","25460","23690"
"New entrant CS","2022","Yorkshire and The Humber","30-39","1440","1360","30660","27570"
"New entrant CS","2022","Yorkshire and The Humber","40-49","980","920","33110","27570"
"New entrant CS","2022","Yorkshire and The Humber","50-59","770","710","31520","27570"
"New entrant CS","2022","Yorkshire and The Humber","60-64","180","160","29210","27880"
"New entrant CS","2022","Yorkshire and The Humber","65+","50","40","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 30 civil servants for FTE or Headcount, and less than 50 civil servants for median and mean salary (shown as [c]). Additionally, zero responses have been suppressed for GPDR protected characteristics. Figures are rounded to the nearest 10, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2022-07-26, with GIT 03ee02c.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. The Defence Electronics and Components Agency does not record the date in which their employees first enter the Civil Service and so entrants data is not available. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","",""
"Year","Year of data collection (as at March 31st).","","","","","",""
"Region_ITL1","Workplace postcode data are used to derive geographical information using the International Territorial Level (ITL) classification standard.","","","","","",""
"","Following the UK's withdrawal from the EU, a new UK-managed international statistical geography - International Territorial Levels (ITL) - was introduced from 1st January 2021, replacing the former NUTS classification. They align with international standards, enabling comparability both over time and internationally. To ensure continued alignment, the ITLs mirror the NUTS system. They also follow a similar review timetable - every three years.","","","","","",""
