"Status","Year","Disability","Sexual_orientation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Undeclared","Department of Health and Social Care","60","60","43780","40990"
"In post","2022","Declared disabled","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Foreign, Commonwealth and Development Office","50","50","47450","43180"
"In post","2022","Declared disabled","Undeclared","HM Land Registry","70","60","31170","27130"
"In post","2022","Declared disabled","Undeclared","HM Revenue and Customs","530","480","33210","29610"
"In post","2022","Declared disabled","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Home Office","390","360","32550","28790"
"In post","2022","Declared disabled","Undeclared","Ministry of Defence","620","600","35240","33300"
"In post","2022","Declared disabled","Undeclared","Ministry of Justice","940","870","31030","28200"
"In post","2022","Declared disabled","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Scottish Government","110","100","38210","34600"
"In post","2022","Declared disabled","Undeclared","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","UK Statistics Authority","40","30","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Welsh Government","40","40","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Attorney General's Departments","100","90","44000","48830"
"In post","2022","Declared disabled","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Department for Business, Energy and Industrial Strategy","70","60","30900","25710"
"In post","2022","Declared disabled","Unknown","Department for Education","40","40","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Department for Environment, Food and Rural Affairs","100","90","28230","25190"
"In post","2022","Declared disabled","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Department for Transport","30","30","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Department for Work and Pensions","1310","1100","26500","27570"
"In post","2022","Declared disabled","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2022","Declared disabled","Unknown","HM Land Registry","80","70","27510","27130"
"In post","2022","Declared disabled","Unknown","HM Revenue and Customs","640","550","29800","26590"
"In post","2022","Declared disabled","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Home Office","50","50","31680","28650"
"In post","2022","Declared disabled","Unknown","Ministry of Defence","260","250","36270","34010"
"In post","2022","Declared disabled","Unknown","Ministry of Justice","270","240","29680","28760"
"In post","2022","Declared disabled","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Scottish Government","340","310","34060","35000"
"In post","2022","Declared disabled","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","UK Statistics Authority","60","50","32680","30710"
"In post","2022","Declared disabled","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Heterosexual / straight","Attorney General's Departments","5370","5030","45210","48830"
"In post","2022","Declared non-disabled","Heterosexual / straight","Cabinet Office","4330","4220","48110","40600"
"In post","2022","Declared non-disabled","Heterosexual / straight","Chancellor's other departments","270","260","60360","49920"
"In post","2022","Declared non-disabled","Heterosexual / straight","Charity Commission","190","180","35730","29160"
"In post","2022","Declared non-disabled","Heterosexual / straight","Competition and Markets Authority","620","600","60550","56360"
"In post","2022","Declared non-disabled","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","7980","7660","43110","40050"
"In post","2022","Declared non-disabled","Heterosexual / straight","Department for Digital, Culture, Media and Sport","1300","1280","47530","51730"
"In post","2022","Declared non-disabled","Heterosexual / straight","Department for Education","4200","4030","45710","42750"
"In post","2022","Declared non-disabled","Heterosexual / straight","Department for Environment, Food and Rural Affairs","6930","6600","37000","33340"
"In post","2022","Declared non-disabled","Heterosexual / straight","Department for International Trade","1240","1220","47580","47980"
"In post","2022","Declared non-disabled","Heterosexual / straight","Department for Levelling Up, Housing and Communities","2470","2380","46490","46040"
"In post","2022","Declared non-disabled","Heterosexual / straight","Department for Transport","8820","8300","34870","30130"
"In post","2022","Declared non-disabled","Heterosexual / straight","Department for Work and Pensions","49480","45050","29040","27570"
"In post","2022","Declared non-disabled","Heterosexual / straight","Department of Health and Social Care","4300","4010","42660","37470"
"In post","2022","Declared non-disabled","Heterosexual / straight","Estyn","90","80","58800","75480"
"In post","2022","Declared non-disabled","Heterosexual / straight","Food Standards Agency","650","630","38770","36960"
"In post","2022","Declared non-disabled","Heterosexual / straight","Foreign, Commonwealth and Development Office","4790","4680","48000","43320"
"In post","2022","Declared non-disabled","Heterosexual / straight","HM Land Registry","2900","2620","33320","30600"
"In post","2022","Declared non-disabled","Heterosexual / straight","HM Revenue and Customs","34160","32030","35150","33080"
"In post","2022","Declared non-disabled","Heterosexual / straight","HM Treasury","1610","1560","48780","49680"
"In post","2022","Declared non-disabled","Heterosexual / straight","Home Office","22830","21260","32630","28650"
"In post","2022","Declared non-disabled","Heterosexual / straight","Ministry of Defence","31640","30600","34330","32750"
"In post","2022","Declared non-disabled","Heterosexual / straight","Ministry of Justice","48020","45210","30710","27700"
"In post","2022","Declared non-disabled","Heterosexual / straight","National Crime Agency","1400","1350","44160","41870"
"In post","2022","Declared non-disabled","Heterosexual / straight","Northern Ireland Office","90","90","46910","41750"
"In post","2022","Declared non-disabled","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","1320","1270","51950","51360"
"In post","2022","Declared non-disabled","Heterosexual / straight","Office of Gas and Electricity Markets","630","620","42000","35050"
"In post","2022","Declared non-disabled","Heterosexual / straight","Office of Qualifications and Examinations Regulation","170","160","44430","38760"
"In post","2022","Declared non-disabled","Heterosexual / straight","Office of Rail and Road","200","190","53240","52500"
"In post","2022","Declared non-disabled","Heterosexual / straight","Office of the Secretary of State for Scotland","40","30","[c]","[c]"
"In post","2022","Declared non-disabled","Heterosexual / straight","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Heterosexual / straight","Scottish Government","9220","8850","39740","34600"
"In post","2022","Declared non-disabled","Heterosexual / straight","The National Archives","200","190","38460","34770"
"In post","2022","Declared non-disabled","Heterosexual / straight","UK Export Finance","370","370","52210","47300"
"In post","2022","Declared non-disabled","Heterosexual / straight","UK Statistics Authority","2310","2060","35050","30810"
"In post","2022","Declared non-disabled","Heterosexual / straight","UK Supreme Court","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","Heterosexual / straight","Water Services Regulation Authority","150","150","54780","49810"
"In post","2022","Declared non-disabled","Heterosexual / straight","Welsh Government","4320","4080","42190","38160"
"In post","2022","Declared non-disabled","LGBO","Attorney General's Departments","310","300","46630","50500"
"In post","2022","Declared non-disabled","LGBO","Cabinet Office","380","380","44520","40600"
"In post","2022","Declared non-disabled","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","LGBO","Competition and Markets Authority","50","50","59360","55860"
"In post","2022","Declared non-disabled","LGBO","Department for Business, Energy and Industrial Strategy","590","580","42770","40050"
"In post","2022","Declared non-disabled","LGBO","Department for Digital, Culture, Media and Sport","170","170","46670","51730"
"In post","2022","Declared non-disabled","LGBO","Department for Education","290","280","45900","42220"
"In post","2022","Declared non-disabled","LGBO","Department for Environment, Food and Rural Affairs","500","490","36330","32560"
"In post","2022","Declared non-disabled","LGBO","Department for International Trade","120","120","47050","41750"
"In post","2022","Declared non-disabled","LGBO","Department for Levelling Up, Housing and Communities","220","220","45600","42980"
"In post","2022","Declared non-disabled","LGBO","Department for Transport","480","460","36070","30730"
"In post","2022","Declared non-disabled","LGBO","Department for Work and Pensions","2570","2470","28790","27570"
"In post","2022","Declared non-disabled","LGBO","Department of Health and Social Care","290","270","42510","36820"
"In post","2022","Declared non-disabled","LGBO","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","LGBO","Food Standards Agency","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","LGBO","Foreign, Commonwealth and Development Office","300","290","48220","44880"
"In post","2022","Declared non-disabled","LGBO","HM Land Registry","80","80","32330","27130"
"In post","2022","Declared non-disabled","LGBO","HM Revenue and Customs","1980","1930","34390","33080"
"In post","2022","Declared non-disabled","LGBO","HM Treasury","140","130","47060","50000"
"In post","2022","Declared non-disabled","LGBO","Home Office","810","780","33860","28660"
"In post","2022","Declared non-disabled","LGBO","Ministry of Defence","980","960","33930","31890"
"In post","2022","Declared non-disabled","LGBO","Ministry of Justice","2920","2850","30980","27700"
"In post","2022","Declared non-disabled","LGBO","National Crime Agency","60","60","41230","37560"
"In post","2022","Declared non-disabled","LGBO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","LGBO","Office for Standards in Education, Children's Services and Skills","110","110","50740","46360"
"In post","2022","Declared non-disabled","LGBO","Office of Gas and Electricity Markets","80","70","37710","32160"
"In post","2022","Declared non-disabled","LGBO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","LGBO","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","LGBO","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","LGBO","Scottish Government","630","620","36860","31540"
"In post","2022","Declared non-disabled","LGBO","The National Archives","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","LGBO","UK Statistics Authority","120","110","35480","31320"
"In post","2022","Declared non-disabled","LGBO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","LGBO","Welsh Government","190","190","42410","38160"
"In post","2022","Declared non-disabled","Undeclared","Attorney General's Departments","230","220","47770","51250"
"In post","2022","Declared non-disabled","Undeclared","Cabinet Office","330","330","49920","49700"
"In post","2022","Declared non-disabled","Undeclared","Chancellor's other departments","60","60","60270","51750"
"In post","2022","Declared non-disabled","Undeclared","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","Competition and Markets Authority","50","50","60550","60230"
"In post","2022","Declared non-disabled","Undeclared","Department for Business, Energy and Industrial Strategy","840","800","43840","40050"
"In post","2022","Declared non-disabled","Undeclared","Department for Digital, Culture, Media and Sport","80","80","44310","37930"
"In post","2022","Declared non-disabled","Undeclared","Department for Education","310","300","45940","44250"
"In post","2022","Declared non-disabled","Undeclared","Department for Environment, Food and Rural Affairs","600","570","36350","32960"
"In post","2022","Declared non-disabled","Undeclared","Department for International Trade","80","80","45040","40820"
"In post","2022","Declared non-disabled","Undeclared","Department for Levelling Up, Housing and Communities","130","120","43830","40720"
"In post","2022","Declared non-disabled","Undeclared","Department for Transport","1780","1550","29930","26780"
"In post","2022","Declared non-disabled","Undeclared","Department for Work and Pensions","5000","4450","28400","27570"
"In post","2022","Declared non-disabled","Undeclared","Department of Health and Social Care","460","420","42730","36820"
"In post","2022","Declared non-disabled","Undeclared","Food Standards Agency","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","Foreign, Commonwealth and Development Office","370","360","48650","44710"
"In post","2022","Declared non-disabled","Undeclared","HM Land Registry","390","340","33110","31740"
"In post","2022","Declared non-disabled","Undeclared","HM Revenue and Customs","2210","2020","34620","33080"
"In post","2022","Declared non-disabled","Undeclared","HM Treasury","130","130","46860","44310"
"In post","2022","Declared non-disabled","Undeclared","Home Office","2370","2170","32930","28650"
"In post","2022","Declared non-disabled","Undeclared","Ministry of Defence","2770","2660","35410","33300"
"In post","2022","Declared non-disabled","Undeclared","Ministry of Justice","3560","3290","31400","28310"
"In post","2022","Declared non-disabled","Undeclared","National Crime Agency","100","100","42510","41340"
"In post","2022","Declared non-disabled","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","Office for Standards in Education, Children's Services and Skills","70","70","47650","46360"
"In post","2022","Declared non-disabled","Undeclared","Office of Gas and Electricity Markets","60","60","41640","37120"
"In post","2022","Declared non-disabled","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","Office of Rail and Road","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","Scottish Government","480","460","40810","36390"
"In post","2022","Declared non-disabled","Undeclared","The National Archives","50","50","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","UK Statistics Authority","120","110","34980","33710"
"In post","2022","Declared non-disabled","Undeclared","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","Welsh Government","480","450","42550","38160"
"In post","2022","Declared non-disabled","Unknown","Attorney General's Departments","1070","950","47080","52100"
"In post","2022","Declared non-disabled","Unknown","Cabinet Office","170","170","60450","54700"
"In post","2022","Declared non-disabled","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Department for Business, Energy and Industrial Strategy","560","520","37860","33720"
"In post","2022","Declared non-disabled","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Department for Education","560","530","45800","42930"
"In post","2022","Declared non-disabled","Unknown","Department for Environment, Food and Rural Affairs","1570","1470","27780","24920"
"In post","2022","Declared non-disabled","Unknown","Department for International Trade","100","100","43630","38540"
"In post","2022","Declared non-disabled","Unknown","Department for Levelling Up, Housing and Communities","110","100","36270","32760"
"In post","2022","Declared non-disabled","Unknown","Department for Transport","200","170","28980","26780"
"In post","2022","Declared non-disabled","Unknown","Department for Work and Pensions","13310","11290","27260","27570"
"In post","2022","Declared non-disabled","Unknown","Department of Health and Social Care","110","110","57800","53100"
"In post","2022","Declared non-disabled","Unknown","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Food Standards Agency","190","180","32230","27190"
"In post","2022","Declared non-disabled","Unknown","Foreign, Commonwealth and Development Office","210","210","45720","42890"
"In post","2022","Declared non-disabled","Unknown","HM Land Registry","780","680","30380","27130"
"In post","2022","Declared non-disabled","Unknown","HM Revenue and Customs","3500","3050","31390","26820"
"In post","2022","Declared non-disabled","Unknown","HM Treasury","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Home Office","110","110","31900","28650"
"In post","2022","Declared non-disabled","Unknown","Ministry of Defence","4140","3980","39880","38070"
"In post","2022","Declared non-disabled","Unknown","Ministry of Justice","2730","2410","31470","31650"
"In post","2022","Declared non-disabled","Unknown","National Crime Agency","70","70","42150","40210"
"In post","2022","Declared non-disabled","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Office for Standards in Education, Children's Services and Skills","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Office of Gas and Electricity Markets","410","410","47930","43650"
"In post","2022","Declared non-disabled","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Office of Rail and Road","70","70","59670","60020"
"In post","2022","Declared non-disabled","Unknown","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Scottish Government","1650","1550","37680","32040"
"In post","2022","Declared non-disabled","Unknown","The National Archives","90","80","35080","34770"
"In post","2022","Declared non-disabled","Unknown","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","UK Statistics Authority","390","340","35500","31860"
"In post","2022","Declared non-disabled","Unknown","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Water Services Regulation Authority","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Welsh Government","50","50","[c]","[c]"
"In post","2022","Undeclared","Heterosexual / straight","Attorney General's Departments","80","80","51360","51250"
"In post","2022","Undeclared","Heterosexual / straight","Cabinet Office","170","160","45330","40600"
"In post","2022","Undeclared","Heterosexual / straight","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Heterosexual / straight","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","200","200","42970","39620"
"In post","2022","Undeclared","Heterosexual / straight","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"In post","2022","Undeclared","Heterosexual / straight","Department for Education","220","210","43010","37030"
"In post","2022","Undeclared","Heterosexual / straight","Department for Environment, Food and Rural Affairs","240","230","37920","35900"
"In post","2022","Undeclared","Heterosexual / straight","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Heterosexual / straight","Department for Levelling Up, Housing and Communities","100","90","43580","39600"
"In post","2022","Undeclared","Heterosexual / straight","Department for Transport","500","470","33250","27930"
"In post","2022","Undeclared","Heterosexual / straight","Department for Work and Pensions","2390","2210","28330","27570"
"In post","2022","Undeclared","Heterosexual / straight","Department of Health and Social Care","50","50","43220","39420"
"In post","2022","Undeclared","Heterosexual / straight","Food Standards Agency","260","260","37780","37350"
"In post","2022","Undeclared","Heterosexual / straight","Foreign, Commonwealth and Development Office","120","110","47080","40380"
"In post","2022","Undeclared","Heterosexual / straight","HM Land Registry","90","80","31860","27130"
"In post","2022","Undeclared","Heterosexual / straight","HM Revenue and Customs","1090","1010","33020","30750"
"In post","2022","Undeclared","Heterosexual / straight","HM Treasury","230","230","46030","43600"
"In post","2022","Undeclared","Heterosexual / straight","Home Office","540","500","31820","28790"
"In post","2022","Undeclared","Heterosexual / straight","Ministry of Defence","1830","1770","32850","29290"
"In post","2022","Undeclared","Heterosexual / straight","Ministry of Justice","4000","3680","31420","31180"
"In post","2022","Undeclared","Heterosexual / straight","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Heterosexual / straight","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Heterosexual / straight","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Heterosexual / straight","Scottish Government","220","210","39760","36130"
"In post","2022","Undeclared","Heterosexual / straight","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Heterosexual / straight","UK Statistics Authority","90","70","28020","23880"
"In post","2022","Undeclared","Heterosexual / straight","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Heterosexual / straight","Welsh Government","60","50","37060","38160"
"In post","2022","Undeclared","LGBO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","LGBO","Cabinet Office","30","30","[c]","[c]"
"In post","2022","Undeclared","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","LGBO","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2022","Undeclared","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","LGBO","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","LGBO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","LGBO","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","LGBO","Department for Transport","60","50","34150","30730"
"In post","2022","Undeclared","LGBO","Department for Work and Pensions","210","200","28250","27570"
"In post","2022","Undeclared","LGBO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","LGBO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","LGBO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","LGBO","HM Revenue and Customs","150","140","31490","26820"
"In post","2022","Undeclared","LGBO","HM Treasury","40","40","[c]","[c]"
"In post","2022","Undeclared","LGBO","Home Office","40","40","[c]","[c]"
"In post","2022","Undeclared","LGBO","Ministry of Defence","100","100","33430","33000"
"In post","2022","Undeclared","LGBO","Ministry of Justice","300","290","31720","30450"
"In post","2022","Undeclared","LGBO","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","LGBO","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","LGBO","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Attorney General's Departments","50","50","53460","53770"
"In post","2022","Undeclared","Undeclared","Cabinet Office","120","120","43700","40600"
"In post","2022","Undeclared","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Department for Business, Energy and Industrial Strategy","220","220","46500","45250"
"In post","2022","Undeclared","Undeclared","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Department for Education","110","100","45740","45540"
"In post","2022","Undeclared","Undeclared","Department for Environment, Food and Rural Affairs","230","220","37720","35900"
"In post","2022","Undeclared","Undeclared","Department for International Trade","30","30","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Department for Levelling Up, Housing and Communities","80","70","45790","46120"
"In post","2022","Undeclared","Undeclared","Department for Transport","540","500","34040","29730"
"In post","2022","Undeclared","Undeclared","Department for Work and Pensions","1060","990","30290","27570"
"In post","2022","Undeclared","Undeclared","Department of Health and Social Care","50","50","46740","41020"
"In post","2022","Undeclared","Undeclared","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Food Standards Agency","70","60","38860","37350"
"In post","2022","Undeclared","Undeclared","Foreign, Commonwealth and Development Office","200","190","50110","44740"
"In post","2022","Undeclared","Undeclared","HM Land Registry","160","140","34420","33840"
"In post","2022","Undeclared","Undeclared","HM Revenue and Customs","1910","1760","36980","33370"
"In post","2022","Undeclared","Undeclared","HM Treasury","130","130","45670","43220"
"In post","2022","Undeclared","Undeclared","Home Office","1070","990","34080","30460"
"In post","2022","Undeclared","Undeclared","Ministry of Defence","1920","1860","35320","33300"
"In post","2022","Undeclared","Undeclared","Ministry of Justice","2250","2100","32100","31080"
"In post","2022","Undeclared","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Scottish Government","120","110","42010","37710"
"In post","2022","Undeclared","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Welsh Government","120","120","44780","47470"
"In post","2022","Undeclared","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Department for Work and Pensions","640","570","27210","27570"
"In post","2022","Undeclared","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","HM Land Registry","30","30","[c]","[c]"
"In post","2022","Undeclared","Unknown","HM Revenue and Customs","310","280","34680","30610"
"In post","2022","Undeclared","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Ministry of Defence","120","110","34910","33300"
"In post","2022","Undeclared","Unknown","Ministry of Justice","1980","1750","31190","31650"
"In post","2022","Undeclared","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
