"Status","Year","Sexual_orientation","Parent_department","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","LGBO","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","HM Land Registry","Unknown","50","50","[c]","[c]"
"In post","2022","LGBO","HM Revenue and Customs","Declared disabled","570","550","33320","33080"
"In post","2022","LGBO","HM Revenue and Customs","Declared non-disabled","1980","1930","34390","33080"
"In post","2022","LGBO","HM Revenue and Customs","Undeclared","150","140","31490","26820"
"In post","2022","LGBO","HM Revenue and Customs","Unknown","120","110","31080","26820"
"In post","2022","LGBO","HM Treasury","Declared disabled","30","30","[c]","[c]"
"In post","2022","LGBO","HM Treasury","Declared non-disabled","140","130","47060","50000"
"In post","2022","LGBO","HM Treasury","Undeclared","40","40","[c]","[c]"
"In post","2022","LGBO","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Home Office","Declared disabled","230","220","34180","30500"
"In post","2022","LGBO","Home Office","Declared non-disabled","810","780","33860","28660"
"In post","2022","LGBO","Home Office","Undeclared","40","40","[c]","[c]"
"In post","2022","LGBO","Home Office","Unknown","110","110","33130","27740"
"In post","2022","LGBO","Ministry of Defence","Declared disabled","260","250","33330","30280"
"In post","2022","LGBO","Ministry of Defence","Declared non-disabled","980","960","33930","31890"
"In post","2022","LGBO","Ministry of Defence","Undeclared","100","100","33430","33000"
"In post","2022","LGBO","Ministry of Defence","Unknown","120","110","31280","27780"
"In post","2022","LGBO","Ministry of Justice","Declared disabled","980","950","30460","28140"
"In post","2022","LGBO","Ministry of Justice","Declared non-disabled","2920","2850","30980","27700"
"In post","2022","LGBO","Ministry of Justice","Undeclared","300","290","31720","30450"
"In post","2022","LGBO","Ministry of Justice","Unknown","50","50","[c]","[c]"
"In post","2022","LGBO","National Crime Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","National Crime Agency","Declared non-disabled","60","60","41230","37560"
"In post","2022","LGBO","National Crime Agency","Unknown","140","140","36720","36200"
"In post","2022","LGBO","Northern Ireland Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Northern Ireland Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office for Standards in Education, Children's Services and Skills","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","110","110","50740","46360"
"In post","2022","LGBO","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of Gas and Electricity Markets","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of Gas and Electricity Markets","Declared non-disabled","80","70","37710","32160"
"In post","2022","LGBO","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of Qualifications and Examinations Regulation","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of Qualifications and Examinations Regulation","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of Rail and Road","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of Rail and Road","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of the Secretary of State for Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of the Secretary of State for Scotland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of the Secretary of State for Wales","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of the Secretary of State for Wales","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Scottish Government","Declared disabled","270","260","34860","31540"
"In post","2022","LGBO","Scottish Government","Declared non-disabled","630","620","36860","31540"
"In post","2022","LGBO","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Scottish Government","Unknown","200","190","36850","35000"
"In post","2022","LGBO","The National Archives","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","The National Archives","Declared non-disabled","30","30","[c]","[c]"
"In post","2022","LGBO","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","UK Export Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","UK Export Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","UK Statistics Authority","Declared disabled","70","60","34460","31320"
"In post","2022","LGBO","UK Statistics Authority","Declared non-disabled","120","110","35480","31320"
"In post","2022","LGBO","UK Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","UK Statistics Authority","Unknown","90","90","33140","30210"
"In post","2022","LGBO","UK Supreme Court","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","UK Supreme Court","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Water Services Regulation Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Water Services Regulation Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Government","Declared disabled","30","30","[c]","[c]"
"In post","2022","LGBO","Welsh Government","Declared non-disabled","190","190","42410","38160"
"In post","2022","LGBO","Welsh Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Attorney General's Departments","Declared disabled","60","60","46630","51160"
"In post","2022","Undeclared","Attorney General's Departments","Declared non-disabled","230","220","47770","51250"
"In post","2022","Undeclared","Attorney General's Departments","Undeclared","50","50","53460","53770"
"In post","2022","Undeclared","Attorney General's Departments","Unknown","90","80","38610","32290"
"In post","2022","Undeclared","Cabinet Office","Declared disabled","90","80","45590","40590"
"In post","2022","Undeclared","Cabinet Office","Declared non-disabled","330","330","49920","49700"
"In post","2022","Undeclared","Cabinet Office","Undeclared","120","120","43700","40600"
"In post","2022","Undeclared","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Chancellor's other departments","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Chancellor's other departments","Declared non-disabled","60","60","60270","51750"
"In post","2022","Undeclared","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Charity Commission","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","Declared non-disabled","50","50","60550","60230"
"In post","2022","Undeclared","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy","Declared disabled","100","90","39790","36740"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy","Declared non-disabled","840","800","43840","40050"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy","Undeclared","220","220","46500","45250"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy","Unknown","160","150","39390","37860"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","Declared non-disabled","80","80","44310","37930"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","Undeclared","40","40","[c]","[c]"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Education","Declared disabled","70","70","40980","37100"
"In post","2022","Undeclared","Department for Education","Declared non-disabled","310","300","45940","44250"
"In post","2022","Undeclared","Department for Education","Undeclared","110","100","45740","45540"
"In post","2022","Undeclared","Department for Education","Unknown","120","120","39490","36500"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs","Declared disabled","140","130","35120","32560"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs","Declared non-disabled","600","570","36350","32960"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs","Undeclared","230","220","37720","35900"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for International Trade","Declared non-disabled","80","80","45040","40820"
"In post","2022","Undeclared","Department for International Trade","Undeclared","30","30","[c]","[c]"
"In post","2022","Undeclared","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities","Declared non-disabled","130","120","43830","40720"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities","Undeclared","80","70","45790","46120"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities","Unknown","50","50","46280","45060"
"In post","2022","Undeclared","Department for Transport","Declared disabled","350","290","26720","21840"
"In post","2022","Undeclared","Department for Transport","Declared non-disabled","1780","1550","29930","26780"
"In post","2022","Undeclared","Department for Transport","Undeclared","540","500","34040","29730"
"In post","2022","Undeclared","Department for Transport","Unknown","40","40","[c]","[c]"
"In post","2022","Undeclared","Department for Work and Pensions","Declared disabled","1720","1500","27050","27570"
"In post","2022","Undeclared","Department for Work and Pensions","Declared non-disabled","5000","4450","28400","27570"
"In post","2022","Undeclared","Department for Work and Pensions","Undeclared","1060","990","30290","27570"
"In post","2022","Undeclared","Department for Work and Pensions","Unknown","40","30","[c]","[c]"
"In post","2022","Undeclared","Department of Health and Social Care","Declared disabled","60","60","43780","40990"
"In post","2022","Undeclared","Department of Health and Social Care","Declared non-disabled","460","420","42730","36820"
"In post","2022","Undeclared","Department of Health and Social Care","Undeclared","50","50","46740","41020"
"In post","2022","Undeclared","Department of Health and Social Care","Unknown","1690","1630","46830","41130"
"In post","2022","Undeclared","Estyn","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","Declared non-disabled","40","40","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","Undeclared","70","60","38860","37350"
"In post","2022","Undeclared","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office","Declared disabled","50","50","47450","43180"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office","Declared non-disabled","370","360","48650","44710"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office","Undeclared","200","190","50110","44740"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","HM Land Registry","Declared disabled","70","60","31170","27130"
"In post","2022","Undeclared","HM Land Registry","Declared non-disabled","390","340","33110","31740"
"In post","2022","Undeclared","HM Land Registry","Undeclared","160","140","34420","33840"
"In post","2022","Undeclared","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","HM Revenue and Customs","Declared disabled","530","480","33210","29610"
"In post","2022","Undeclared","HM Revenue and Customs","Declared non-disabled","2210","2020","34620","33080"
"In post","2022","Undeclared","HM Revenue and Customs","Undeclared","1910","1760","36980","33370"
"In post","2022","Undeclared","HM Revenue and Customs","Unknown","300","260","32430","28920"
"In post","2022","Undeclared","HM Treasury","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","HM Treasury","Declared non-disabled","130","130","46860","44310"
"In post","2022","Undeclared","HM Treasury","Undeclared","130","130","45670","43220"
"In post","2022","Undeclared","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Home Office","Declared disabled","390","360","32550","28790"
"In post","2022","Undeclared","Home Office","Declared non-disabled","2370","2170","32930","28650"
"In post","2022","Undeclared","Home Office","Undeclared","1070","990","34080","30460"
"In post","2022","Undeclared","Home Office","Unknown","80","80","[c]","[c]"
"In post","2022","Undeclared","Ministry of Defence","Declared disabled","620","600","35240","33300"
"In post","2022","Undeclared","Ministry of Defence","Declared non-disabled","2770","2660","35410","33300"
"In post","2022","Undeclared","Ministry of Defence","Undeclared","1920","1860","35320","33300"
"In post","2022","Undeclared","Ministry of Defence","Unknown","600","580","36070","33300"
"In post","2022","Undeclared","Ministry of Justice","Declared disabled","940","870","31030","28200"
"In post","2022","Undeclared","Ministry of Justice","Declared non-disabled","3560","3290","31400","28310"
"In post","2022","Undeclared","Ministry of Justice","Undeclared","2250","2100","32100","31080"
"In post","2022","Undeclared","Ministry of Justice","Unknown","50","50","[c]","[c]"
"In post","2022","Undeclared","National Crime Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","National Crime Agency","Declared non-disabled","100","100","42510","41340"
"In post","2022","Undeclared","National Crime Agency","Unknown","230","230","38500","36410"
"In post","2022","Undeclared","Northern Ireland Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Northern Ireland Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Northern Ireland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office for Standards in Education, Children's Services and Skills","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","70","70","47650","46360"
"In post","2022","Undeclared","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of Gas and Electricity Markets","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of Gas and Electricity Markets","Declared non-disabled","60","60","41640","37120"
"In post","2022","Undeclared","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of Qualifications and Examinations Regulation","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of Qualifications and Examinations Regulation","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of Rail and Road","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of Rail and Road","Declared non-disabled","30","30","[c]","[c]"
"In post","2022","Undeclared","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of the Secretary of State for Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of the Secretary of State for Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of the Secretary of State for Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of the Secretary of State for Wales","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Declared disabled","110","100","38210","34600"
"In post","2022","Undeclared","Scottish Government","Declared non-disabled","480","460","40810","36390"
"In post","2022","Undeclared","Scottish Government","Undeclared","120","110","42010","37710"
"In post","2022","Undeclared","Scottish Government","Unknown","170","160","41390","36130"
"In post","2022","Undeclared","The National Archives","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","The National Archives","Declared non-disabled","50","50","[c]","[c]"
"In post","2022","Undeclared","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Export Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Export Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Declared disabled","40","30","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Declared non-disabled","120","110","34980","33710"
"In post","2022","Undeclared","UK Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Unknown","70","60","32930","30710"
"In post","2022","Undeclared","UK Supreme Court","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Water Services Regulation Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Water Services Regulation Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Water Services Regulation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Declared disabled","40","40","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Declared non-disabled","480","450","42550","38160"
"In post","2022","Undeclared","Welsh Government","Undeclared","120","120","44780","47470"
"In post","2022","Undeclared","Welsh Government","Unknown","50","50","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Declared disabled","100","90","44000","48830"
"In post","2022","Unknown","Attorney General's Departments","Declared non-disabled","1070","950","47080","52100"
"In post","2022","Unknown","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Unknown","870","800","49360","52130"
"In post","2022","Unknown","Cabinet Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Cabinet Office","Declared non-disabled","170","170","60450","54700"
"In post","2022","Unknown","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Cabinet Office","Unknown","4200","4150","46120","34020"
"In post","2022","Unknown","Chancellor's other departments","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Charity Commission","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Charity Commission","Unknown","170","160","32510","29160"
"In post","2022","Unknown","Competition and Markets Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Business, Energy and Industrial Strategy","Declared disabled","70","60","30900","25710"
"In post","2022","Unknown","Department for Business, Energy and Industrial Strategy","Declared non-disabled","560","520","37860","33720"
"In post","2022","Unknown","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Business, Energy and Industrial Strategy","Unknown","1490","1440","35310","31000"
"In post","2022","Unknown","Department for Digital, Culture, Media and Sport","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Digital, Culture, Media and Sport","Unknown","150","150","47100","51730"
"In post","2022","Unknown","Department for Education","Declared disabled","40","40","[c]","[c]"
"In post","2022","Unknown","Department for Education","Declared non-disabled","560","530","45800","42930"
"In post","2022","Unknown","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Education","Unknown","640","620","41330","36500"
"In post","2022","Unknown","Department for Environment, Food and Rural Affairs","Declared disabled","100","90","28230","25190"
"In post","2022","Unknown","Department for Environment, Food and Rural Affairs","Declared non-disabled","1570","1470","27780","24920"
"In post","2022","Unknown","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Environment, Food and Rural Affairs","Unknown","1150","1090","38860","35900"
"In post","2022","Unknown","Department for International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for International Trade","Declared non-disabled","100","100","43630","38540"
"In post","2022","Unknown","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for International Trade","Unknown","660","660","45420","40050"
"In post","2022","Unknown","Department for Levelling Up, Housing and Communities","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Levelling Up, Housing and Communities","Declared non-disabled","110","100","36270","32760"
"In post","2022","Unknown","Department for Levelling Up, Housing and Communities","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Levelling Up, Housing and Communities","Unknown","450","430","44650","40600"
"In post","2022","Unknown","Department for Transport","Declared disabled","30","30","[c]","[c]"
"In post","2022","Unknown","Department for Transport","Declared non-disabled","200","170","28980","26780"
"In post","2022","Unknown","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Transport","Unknown","2350","2240","31280","26700"
"In post","2022","Unknown","Department for Work and Pensions","Declared disabled","1310","1100","26500","27570"
"In post","2022","Unknown","Department for Work and Pensions","Declared non-disabled","13310","11290","27260","27570"
"In post","2022","Unknown","Department for Work and Pensions","Undeclared","640","570","27210","27570"
"In post","2022","Unknown","Department for Work and Pensions","Unknown","2920","2800","30130","27570"
"In post","2022","Unknown","Department of Health and Social Care","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department of Health and Social Care","Declared non-disabled","110","110","57800","53100"
"In post","2022","Unknown","Department of Health and Social Care","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department of Health and Social Care","Unknown","1970","1890","48840","42120"
"In post","2022","Unknown","Estyn","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Estyn","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Food Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Food Standards Agency","Declared non-disabled","190","180","32230","27190"
"In post","2022","Unknown","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Food Standards Agency","Unknown","30","30","[c]","[c]"
"In post","2022","Unknown","Foreign, Commonwealth and Development Office","Declared disabled","40","40","[c]","[c]"
"In post","2022","Unknown","Foreign, Commonwealth and Development Office","Declared non-disabled","210","210","45720","42890"
"In post","2022","Unknown","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Foreign, Commonwealth and Development Office","Unknown","1190","1170","48200","51420"
"In post","2022","Unknown","HM Land Registry","Declared disabled","80","70","27510","27130"
"In post","2022","Unknown","HM Land Registry","Declared non-disabled","780","680","30380","27130"
"In post","2022","Unknown","HM Land Registry","Undeclared","30","30","[c]","[c]"
"In post","2022","Unknown","HM Land Registry","Unknown","960","920","27440","22600"
"In post","2022","Unknown","HM Revenue and Customs","Declared disabled","640","550","29800","26590"
"In post","2022","Unknown","HM Revenue and Customs","Declared non-disabled","3500","3050","31390","26820"
"In post","2022","Unknown","HM Revenue and Customs","Undeclared","310","280","34680","30610"
"In post","2022","Unknown","HM Revenue and Customs","Unknown","17350","16240","30060","26820"
"In post","2022","Unknown","HM Treasury","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Treasury","Declared non-disabled","30","30","[c]","[c]"
"In post","2022","Unknown","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Treasury","Unknown","130","130","57360","52500"
"In post","2022","Unknown","Home Office","Declared disabled","50","50","31680","28650"
"In post","2022","Unknown","Home Office","Declared non-disabled","110","110","31900","28650"
"In post","2022","Unknown","Home Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Home Office","Unknown","4250","4110","32350","27370"
"In post","2022","Unknown","Ministry of Defence","Declared disabled","260","250","36270","34010"
"In post","2022","Unknown","Ministry of Defence","Declared non-disabled","4140","3980","39880","38070"
"In post","2022","Unknown","Ministry of Defence","Undeclared","120","110","34910","33300"
"In post","2022","Unknown","Ministry of Defence","Unknown","5640","5500","34620","32700"
"In post","2022","Unknown","Ministry of Justice","Declared disabled","270","240","29680","28760"
"In post","2022","Unknown","Ministry of Justice","Declared non-disabled","2730","2410","31470","31650"
"In post","2022","Unknown","Ministry of Justice","Undeclared","1980","1750","31190","31650"
"In post","2022","Unknown","Ministry of Justice","Unknown","10140","9630","27920","25210"
"In post","2022","Unknown","National Crime Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","National Crime Agency","Declared non-disabled","70","70","42150","40210"
"In post","2022","Unknown","National Crime Agency","Unknown","630","600","41660","39840"
"In post","2022","Unknown","Northern Ireland Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Northern Ireland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Northern Ireland Office","Unknown","50","50","46430","41750"
"In post","2022","Unknown","Office for Standards in Education, Children's Services and Skills","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","30","30","[c]","[c]"
"In post","2022","Unknown","Office for Standards in Education, Children's Services and Skills","Unknown","60","60","38920","32010"
"In post","2022","Unknown","Office of Gas and Electricity Markets","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of Gas and Electricity Markets","Declared non-disabled","410","410","47930","43650"
"In post","2022","Unknown","Office of Gas and Electricity Markets","Unknown","50","40","[c]","[c]"
"In post","2022","Unknown","Office of Qualifications and Examinations Regulation","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of Qualifications and Examinations Regulation","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of Qualifications and Examinations Regulation","Unknown","60","50","49340","46660"
"In post","2022","Unknown","Office of Rail and Road","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of Rail and Road","Declared non-disabled","70","70","59670","60020"
"In post","2022","Unknown","Office of the Secretary of State for Scotland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of the Secretary of State for Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of the Secretary of State for Scotland","Unknown","50","40","[c]","[c]"
"In post","2022","Unknown","Office of the Secretary of State for Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Scottish Government","Declared disabled","340","310","34060","35000"
"In post","2022","Unknown","Scottish Government","Declared non-disabled","1650","1550","37680","32040"
"In post","2022","Unknown","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Scottish Government","Unknown","7560","7120","33120","30450"
"In post","2022","Unknown","The National Archives","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","The National Archives","Declared non-disabled","90","80","35080","34770"
"In post","2022","Unknown","The National Archives","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","The National Archives","Unknown","120","120","35780","31310"
"In post","2022","Unknown","UK Export Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","UK Export Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","UK Statistics Authority","Declared disabled","60","50","32680","30710"
"In post","2022","Unknown","UK Statistics Authority","Declared non-disabled","390","340","35500","31860"
"In post","2022","Unknown","UK Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","UK Statistics Authority","Unknown","930","830","32000","30210"
"In post","2022","Unknown","UK Supreme Court","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","UK Supreme Court","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Water Services Regulation Authority","Declared disabled","[c]","[c]","[c]","[c]"
