"Status","Year","Parent_department","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Department for Transport","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","No function","Female","5570","4820","28050","21840"
"In post","2022","Department for Transport","No function","Male","6530","6270","32870","27620"
"In post","2022","Department for Transport","Project Delivery","Female","280","270","43880","41230"
"In post","2022","Department for Transport","Project Delivery","Male","310","310","49360","48770"
"In post","2022","Department for Transport","Property","Female","70","60","32670","30730"
"In post","2022","Department for Transport","Property","Male","70","70","35400","30890"
"In post","2022","Department for Transport","Security","Female","70","70","40510","35980"
"In post","2022","Department for Transport","Security","Male","160","160","37280","36630"
"In post","2022","Department for Transport","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Analysis","Female","330","300","43290","37380"
"In post","2022","Department for Work and Pensions","Analysis","Male","350","340","42800","37380"
"In post","2022","Department for Work and Pensions","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Communications","Female","130","120","41510","39360"
"In post","2022","Department for Work and Pensions","Communications","Male","80","80","43130","41880"
"In post","2022","Department for Work and Pensions","Counter Fraud","Female","3930","3390","27370","27570"
"In post","2022","Department for Work and Pensions","Counter Fraud","Male","2460","2300","27890","27570"
"In post","2022","Department for Work and Pensions","Debt","Female","1710","1390","22650","21260"
"In post","2022","Department for Work and Pensions","Debt","Male","800","750","22540","21260"
"In post","2022","Department for Work and Pensions","Digital, Data & Technology","Female","1400","1300","40010","35310"
"In post","2022","Department for Work and Pensions","Digital, Data & Technology","Male","2730","2660","43200","38000"
"In post","2022","Department for Work and Pensions","Finance","Female","1040","940","36400","34290"
"In post","2022","Department for Work and Pensions","Finance","Male","930","890","40150","35310"
"In post","2022","Department for Work and Pensions","Human Resources","Female","1040","950","35100","31990"
"In post","2022","Department for Work and Pensions","Human Resources","Male","580","560","33670","29530"
"In post","2022","Department for Work and Pensions","Legal","Female","50","40","[c]","[c]"
"In post","2022","Department for Work and Pensions","Legal","Male","40","30","[c]","[c]"
"In post","2022","Department for Work and Pensions","No function","Female","48660","41890","26730","27570"
"In post","2022","Department for Work and Pensions","No function","Male","24320","23390","27560","27570"
"In post","2022","Department for Work and Pensions","Project Delivery","Female","950","810","34070","31990"
"In post","2022","Department for Work and Pensions","Project Delivery","Male","540","510","36880","33170"
"In post","2022","Department for Work and Pensions","Property","Female","90","90","40300","36910"
"In post","2022","Department for Work and Pensions","Property","Male","110","110","44580","38500"
"In post","2022","Department for Work and Pensions","Security","Female","70","60","29910","27570"
"In post","2022","Department for Work and Pensions","Security","Male","60","60","32780","31990"
"In post","2022","Department for Work and Pensions","Unknown","Female","1000","920","38860","35310"
"In post","2022","Department for Work and Pensions","Unknown","Male","740","720","39110","35310"
"In post","2022","Department of Health and Social Care","Analysis","Female","260","250","50440","53360"
"In post","2022","Department of Health and Social Care","Analysis","Male","190","190","51410","53360"
"In post","2022","Department of Health and Social Care","Commercial","Female","240","230","48050","49340"
"In post","2022","Department of Health and Social Care","Commercial","Male","190","190","49390","49530"
"In post","2022","Department of Health and Social Care","Communications","Female","310","300","45450","41010"
"In post","2022","Department of Health and Social Care","Communications","Male","180","170","46800","45990"
"In post","2022","Department of Health and Social Care","Digital, Data & Technology","Female","230","220","43820","40070"
"In post","2022","Department of Health and Social Care","Digital, Data & Technology","Male","230","230","43140","40070"
"In post","2022","Department of Health and Social Care","Finance","Female","400","390","39660","36820"
"In post","2022","Department of Health and Social Care","Finance","Male","250","240","46430","40850"
"In post","2022","Department of Health and Social Care","Human Resources","Female","330","320","41880","36330"
"In post","2022","Department of Health and Social Care","Human Resources","Male","130","130","41710","36330"
"In post","2022","Department of Health and Social Care","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","No function","Female","5680","5250","43370","38770"
"In post","2022","Department of Health and Social Care","No function","Male","2850","2750","48680","41130"
"In post","2022","Department of Health and Social Care","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Property","Female","40","30","[c]","[c]"
"In post","2022","Department of Health and Social Care","Property","Male","40","40","[c]","[c]"
"In post","2022","Department of Health and Social Care","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Unknown","Female","150","150","46910","49530"
"In post","2022","Department of Health and Social Care","Unknown","Male","80","80","49970","49530"
"In post","2022","Estyn","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Project Delivery","Female","50","50","59930","75480"
"In post","2022","Estyn","Project Delivery","Male","40","40","[c]","[c]"
"In post","2022","Estyn","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Property","Male","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Communications","Female","40","40","[c]","[c]"
"In post","2022","Food Standards Agency","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Counter Fraud","Male","40","40","[c]","[c]"
"In post","2022","Food Standards Agency","Digital, Data & Technology","Female","30","30","[c]","[c]"
"In post","2022","Food Standards Agency","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","No function","Female","430","420","37970","37350"
"In post","2022","Food Standards Agency","No function","Male","640","620","34630","29720"
"In post","2022","Food Standards Agency","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Property","Male","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Analysis","Male","40","30","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Commercial","Female","90","90","38850","33930"
"In post","2022","Foreign, Commonwealth and Development Office","Commercial","Male","70","70","47210","44750"
"In post","2022","Foreign, Commonwealth and Development Office","Communications","Female","50","50","46460","43330"
"In post","2022","Foreign, Commonwealth and Development Office","Communications","Male","50","50","52430","47340"
"In post","2022","Foreign, Commonwealth and Development Office","Digital, Data & Technology","Female","110","100","41700","39310"
"In post","2022","Foreign, Commonwealth and Development Office","Digital, Data & Technology","Male","240","240","42630","39190"
"In post","2022","Foreign, Commonwealth and Development Office","Finance","Female","170","160","43660","38600"
"In post","2022","Foreign, Commonwealth and Development Office","Finance","Male","150","150","45420","43300"
"In post","2022","Foreign, Commonwealth and Development Office","Human Resources","Female","220","210","43520","37560"
"In post","2022","Foreign, Commonwealth and Development Office","Human Resources","Male","120","120","52560","52460"
"In post","2022","Foreign, Commonwealth and Development Office","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Legal","Female","50","50","56750","57400"
"In post","2022","Foreign, Commonwealth and Development Office","Legal","Male","80","60","57320","57540"
"In post","2022","Foreign, Commonwealth and Development Office","No function","Female","1750","1710","46210","39110"
"In post","2022","Foreign, Commonwealth and Development Office","No function","Male","1850","1840","50340","45660"
"In post","2022","Foreign, Commonwealth and Development Office","Project Delivery","Female","1130","1090","50560","52430"
"In post","2022","Foreign, Commonwealth and Development Office","Project Delivery","Male","760","750","54190","55060"
"In post","2022","Foreign, Commonwealth and Development Office","Property","Female","80","80","40740","36220"
"In post","2022","Foreign, Commonwealth and Development Office","Property","Male","350","350","42750","41090"
"In post","2022","Foreign, Commonwealth and Development Office","Security","Female","180","170","39620","36440"
"In post","2022","Foreign, Commonwealth and Development Office","Security","Male","440","430","39550","34770"
"In post","2022","Foreign, Commonwealth and Development Office","Unknown","Female","140","140","48950","45870"
"In post","2022","Foreign, Commonwealth and Development Office","Unknown","Male","70","60","52960","44110"
"In post","2022","HM Land Registry","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","Digital, Data & Technology","Female","250","230","37520","38450"
"In post","2022","HM Land Registry","Digital, Data & Technology","Male","450","440","38060","38450"
"In post","2022","HM Land Registry","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","Human Resources","Female","80","70","37540","33840"
"In post","2022","HM Land Registry","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","Legal","Female","180","160","47740","55090"
"In post","2022","HM Land Registry","Legal","Male","90","90","52050","57000"
"In post","2022","HM Land Registry","No function","Female","3310","2910","28290","27130"
"In post","2022","HM Land Registry","No function","Male","1910","1790","29320","27130"
"In post","2022","HM Land Registry","Project Delivery","Female","110","100","37670","38550"
"In post","2022","HM Land Registry","Project Delivery","Male","70","70","40230","38550"
"In post","2022","HM Land Registry","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","Property","Male","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs","Analysis","Female","360","340","45350","40520"
"In post","2022","HM Revenue and Customs","Analysis","Male","440","430","46480","40520"
"In post","2022","HM Revenue and Customs","Commercial","Female","80","70","37010","40180"
"In post","2022","HM Revenue and Customs","Commercial","Male","70","70","40000","33430"
"In post","2022","HM Revenue and Customs","Communications","Female","2250","2130","30850","26820"
"In post","2022","HM Revenue and Customs","Communications","Male","2390","2360","30100","26820"
"In post","2022","HM Revenue and Customs","Counter Fraud","Female","4630","4240","33840","33080"
"In post","2022","HM Revenue and Customs","Counter Fraud","Male","5050","4900","36290","33370"
"In post","2022","HM Revenue and Customs","Debt","Female","2470","2140","24380","21680"
"In post","2022","HM Revenue and Customs","Debt","Male","1830","1750","24300","21250"
"In post","2022","HM Revenue and Customs","Digital, Data & Technology","Female","1160","1110","40950","40180"
"In post","2022","HM Revenue and Customs","Digital, Data & Technology","Male","1850","1810","42440","40180"
"In post","2022","HM Revenue and Customs","Finance","Female","1580","1370","32800","26820"
"In post","2022","HM Revenue and Customs","Finance","Male","1180","1140","36950","33370"
"In post","2022","HM Revenue and Customs","Human Resources","Female","1160","1060","37530","33370"
"In post","2022","HM Revenue and Customs","Human Resources","Male","610","590","36210","33370"
"In post","2022","HM Revenue and Customs","Internal Audit","Female","40","40","[c]","[c]"
"In post","2022","HM Revenue and Customs","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs","Legal","Female","740","680","42090","33370"
"In post","2022","HM Revenue and Customs","Legal","Male","620","610","43450","37930"
"In post","2022","HM Revenue and Customs","No function","Female","18290","16050","29640","26590"
"In post","2022","HM Revenue and Customs","No function","Male","15530","14900","31790","26820"
"In post","2022","HM Revenue and Customs","Project Delivery","Female","2630","2470","44990","40520"
"In post","2022","HM Revenue and Customs","Project Delivery","Male","2430","2350","47020","40520"
"In post","2022","HM Revenue and Customs","Property","Female","1880","1710","32660","28030"
"In post","2022","HM Revenue and Customs","Property","Male","1860","1790","36510","32890"
"In post","2022","HM Revenue and Customs","Security","Female","80","70","39640","40520"
"In post","2022","HM Revenue and Customs","Security","Male","120","120","46130","40520"
"In post","2022","HM Revenue and Customs","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Analysis","Male","40","40","[c]","[c]"
"In post","2022","HM Treasury","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Communications","Female","30","30","[c]","[c]"
"In post","2022","HM Treasury","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Debt","Female","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Debt","Male","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Digital, Data & Technology","Male","50","50","[c]","[c]"
"In post","2022","HM Treasury","Finance","Female","60","60","48910","46820"
"In post","2022","HM Treasury","Finance","Male","70","60","53030","55840"
"In post","2022","HM Treasury","Human Resources","Female","90","80","40350","37900"
"In post","2022","HM Treasury","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Internal Audit","Female","190","170","46160","43270"
"In post","2022","HM Treasury","Internal Audit","Male","180","170","52610","49750"
"In post","2022","HM Treasury","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","No function","Female","890","850","46580","42300"
"In post","2022","HM Treasury","No function","Male","960","950","49250","52500"
"In post","2022","HM Treasury","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Property","Male","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Unknown","Female","18870","17210","32070","28350"
"In post","2022","Home Office","Unknown","Male","17660","17020","33290","28650"
"In post","2022","Ministry of Defence","Analysis","Female","290","270","38680","38070"
"In post","2022","Ministry of Defence","Analysis","Male","520","510","41010","38250"
"In post","2022","Ministry of Defence","Commercial","Female","890","850","36410","34500"
"In post","2022","Ministry of Defence","Commercial","Male","840","830","40510","39880"
"In post","2022","Ministry of Defence","Communications","Female","310","290","36630","33300"
"In post","2022","Ministry of Defence","Communications","Male","310","300","35700","33300"
"In post","2022","Ministry of Defence","Digital, Data & Technology","Female","1200","1150","32420","31070"
"In post","2022","Ministry of Defence","Digital, Data & Technology","Male","2010","1990","35700","33300"
"In post","2022","Ministry of Defence","Finance","Female","1220","1150","36380","33000"
"In post","2022","Ministry of Defence","Finance","Male","860","840","40640","35740"
"In post","2022","Ministry of Defence","Human Resources","Female","1560","1440","31800","26670"
"In post","2022","Ministry of Defence","Human Resources","Male","630","620","34590","30750"
"In post","2022","Ministry of Defence","Internal Audit","Female","80","80","38310","34820"
"In post","2022","Ministry of Defence","Internal Audit","Male","70","70","40230","37000"
"In post","2022","Ministry of Defence","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","No function","Female","1060","1000","36870","35630"
"In post","2022","Ministry of Defence","No function","Male","2700","2630","39020","38070"
"In post","2022","Ministry of Defence","Project Delivery","Female","5040","4740","36750","33900"
"In post","2022","Ministry of Defence","Project Delivery","Male","9140","8980","40300","39460"
"In post","2022","Ministry of Defence","Property","Female","910","870","30570","33000"
"In post","2022","Ministry of Defence","Property","Male","1550","1520","31730","33000"
"In post","2022","Ministry of Defence","Security","Female","1300","1260","30240","26740"
"In post","2022","Ministry of Defence","Security","Male","6050","5940","30800","27670"
"In post","2022","Ministry of Defence","Unknown","Female","9130","8580","30270","26350"
"In post","2022","Ministry of Defence","Unknown","Male","10100","9940","33550","29930"
"In post","2022","Ministry of Justice","Analysis","Female","270","260","47070","42010"
"In post","2022","Ministry of Justice","Analysis","Male","290","280","46030","42010"
"In post","2022","Ministry of Justice","Commercial","Female","130","130","34660","34260"
"In post","2022","Ministry of Justice","Commercial","Male","120","120","35200","34260"
"In post","2022","Ministry of Justice","Communications","Female","100","100","44480","41750"
"In post","2022","Ministry of Justice","Communications","Male","80","80","44800","41750"
"In post","2022","Ministry of Justice","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice","Digital, Data & Technology","Female","500","490","44750","41750"
"In post","2022","Ministry of Justice","Digital, Data & Technology","Male","780","770","47540","47000"
"In post","2022","Ministry of Justice","Finance","Female","400","380","40930","39430"
"In post","2022","Ministry of Justice","Finance","Male","310","310","44420","41750"
"In post","2022","Ministry of Justice","Human Resources","Female","830","800","40800","36050"
"In post","2022","Ministry of Justice","Human Resources","Male","350","340","42030","38750"
"In post","2022","Ministry of Justice","Internal Audit","Female","40","30","[c]","[c]"
"In post","2022","Ministry of Justice","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice","No function","Female","46500","42700","28860","25700"
"In post","2022","Ministry of Justice","No function","Male","34500","33000","30490","28550"
"In post","2022","Ministry of Justice","Project Delivery","Female","160","160","41080","39360"
"In post","2022","Ministry of Justice","Project Delivery","Male","120","120","42850","41420"
"In post","2022","Ministry of Justice","Property","Female","250","240","37660","34990"
"In post","2022","Ministry of Justice","Property","Male","310","300","47100","46360"
"In post","2022","Ministry of Justice","Security","Female","410","410","37210","33480"
"In post","2022","Ministry of Justice","Security","Male","420","420","41930","38750"
"In post","2022","Ministry of Justice","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","National Crime Agency","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","National Crime Agency","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","National Crime Agency","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","National Crime Agency","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","National Crime Agency","Digital, Data & Technology","Female","120","120","40870","37700"
"In post","2022","National Crime Agency","Digital, Data & Technology","Male","150","140","44390","42350"
"In post","2022","National Crime Agency","Finance","Female","40","40","[c]","[c]"
"In post","2022","National Crime Agency","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","National Crime Agency","Human Resources","Female","110","100","39960","38210"
"In post","2022","National Crime Agency","Human Resources","Male","60","60","41660","39980"
"In post","2022","National Crime Agency","Legal","Female","40","30","[c]","[c]"
"In post","2022","National Crime Agency","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","National Crime Agency","No function","Female","2050","1970","37580","36410"
"In post","2022","National Crime Agency","No function","Male","2720","2700","42480","40170"
"In post","2022","National Crime Agency","Project Delivery","Female","60","50","43180","40170"
"In post","2022","National Crime Agency","Project Delivery","Male","40","40","[c]","[c]"
"In post","2022","National Crime Agency","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","National Crime Agency","Property","Male","[c]","[c]","[c]","[c]"
"In post","2022","National Crime Agency","Security","Female","30","30","[c]","[c]"
"In post","2022","National Crime Agency","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","No function","Female","60","60","45840","41750"
"In post","2022","Northern Ireland Office","No function","Male","60","60","47490","42350"
"In post","2022","Northern Ireland Office","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Property","Male","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Analysis","Female","70","70","40690","34850"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Analysis","Male","60","60","40060","35010"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Digital, Data & Technology","Male","50","50","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Human Resources","Female","30","30","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","No function","Female","1010","960","51210","51360"
"In post","2022","Office for Standards in Education, Children's Services and Skills","No function","Male","410","400","56070","59810"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Property","Male","[c]","[c]","[c]","[c]"
"In post","2022","Office of Gas and Electricity Markets","Analysis","Female","60","60","41200","34000"
"In post","2022","Office of Gas and Electricity Markets","Analysis","Male","120","120","45460","38500"
"In post","2022","Office of Gas and Electricity Markets","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","Office of Gas and Electricity Markets","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","Office of Gas and Electricity Markets","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","Office of Gas and Electricity Markets","Digital, Data & Technology","Male","60","60","57010","55000"
"In post","2022","Office of Gas and Electricity Markets","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","Office of Gas and Electricity Markets","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Office of Gas and Electricity Markets","Human Resources","Female","40","30","[c]","[c]"
"In post","2022","Office of Gas and Electricity Markets","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","Office of Gas and Electricity Markets","Legal","Female","60","50","61340","60180"
"In post","2022","Office of Gas and Electricity Markets","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","Office of Gas and Electricity Markets","No function","Female","390","380","38930","33400"
"In post","2022","Office of Gas and Electricity Markets","No function","Male","480","480","41430","34000"
"In post","2022","Office of Gas and Electricity Markets","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","Office of Gas and Electricity Markets","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","Office of Gas and Electricity Markets","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","Office of Gas and Electricity Markets","Property","Male","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
