"Status","Year","Sex","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Male","Department of Health and Social Care (excl. agencies)","Policy","690","680","49750","49530"
"In post","2021","Male","Department of Health and Social Care (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department of Health and Social Care (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department of Health and Social Care (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department of Health and Social Care (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department of Health and Social Care (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Disclosure Scotland","Unknown","160","150","28210","22230"
"In post","2021","Male","Driver and Vehicle Licensing Agency","Commercial","80","70","34290","31040"
"In post","2021","Male","Driver and Vehicle Licensing Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Driver and Vehicle Licensing Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","Driver and Vehicle Licensing Agency","Digital, Data and Technology","530","520","41770","40860"
"In post","2021","Male","Driver and Vehicle Licensing Agency","Finance","60","60","35160","32180"
"In post","2021","Male","Driver and Vehicle Licensing Agency","Human Resources","40","40","[c]","[c]"
"In post","2021","Male","Driver and Vehicle Licensing Agency","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Male","Driver and Vehicle Licensing Agency","Operational Delivery","1480","1420","22320","21590"
"In post","2021","Male","Driver and Vehicle Licensing Agency","Other","[c]","[c]","[c]","[c]"
"In post","2021","Male","Driver and Vehicle Licensing Agency","Policy","50","40","[c]","[c]"
"In post","2021","Male","Driver and Vehicle Licensing Agency","Project Delivery","50","50","[c]","[c]"
"In post","2021","Male","Driver and Vehicle Licensing Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Driver and Vehicle Licensing Agency","Security","90","90","30240","25390"
"In post","2021","Male","Driver and Vehicle Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Driver and Vehicle Standards Agency","Communications","40","30","[c]","[c]"
"In post","2021","Male","Driver and Vehicle Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","Driver and Vehicle Standards Agency","Digital, Data and Technology","130","130","36580","32180"
"In post","2021","Male","Driver and Vehicle Standards Agency","Finance","40","40","[c]","[c]"
"In post","2021","Male","Driver and Vehicle Standards Agency","Human Resources","50","50","[c]","[c]"
"In post","2021","Male","Driver and Vehicle Standards Agency","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","Male","Driver and Vehicle Standards Agency","Operational Delivery","2890","2740","28960","26780"
"In post","2021","Male","Driver and Vehicle Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Driver and Vehicle Standards Agency","Other","[c]","[c]","[c]","[c]"
"In post","2021","Male","Driver and Vehicle Standards Agency","Policy","50","50","[c]","[c]"
"In post","2021","Male","Driver and Vehicle Standards Agency","Project Delivery","40","40","[c]","[c]"
"In post","2021","Male","Driver and Vehicle Standards Agency","Property","40","30","[c]","[c]"
"In post","2021","Male","Education and Skills Funding Agency","Commercial","100","90","43150","38710"
"In post","2021","Male","Education and Skills Funding Agency","Communications","30","30","[c]","[c]"
"In post","2021","Male","Education and Skills Funding Agency","Digital, Data and Technology","160","160","38480","36780"
"In post","2021","Male","Education and Skills Funding Agency","Finance","150","150","42830","37370"
"In post","2021","Male","Education and Skills Funding Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Education and Skills Funding Agency","Operational Delivery","280","280","42190","37100"
"In post","2021","Male","Education and Skills Funding Agency","Policy","80","70","52630","50400"
"In post","2021","Male","Education and Skills Funding Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Education and Skills Funding Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Education Scotland","Unknown","80","80","60070","66290"
"In post","2021","Male","ESTYN","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","ESTYN","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","ESTYN","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","ESTYN","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","ESTYN","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","ESTYN","Inspector of Education and Training","30","30","[c]","[c]"
"In post","2021","Male","ESTYN","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","ESTYN","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","ESTYN","Other","[c]","[c]","[c]","[c]"
"In post","2021","Male","ESTYN","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","ESTYN","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","ESTYN","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","ESTYN","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Male","FCDO Services","Commercial","40","40","[c]","[c]"
"In post","2021","Male","FCDO Services","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","FCDO Services","Digital, Data and Technology","90","90","44910","40670"
"In post","2021","Male","FCDO Services","Finance","30","30","[c]","[c]"
"In post","2021","Male","FCDO Services","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","FCDO Services","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","FCDO Services","Legal","40","20","[c]","[c]"
"In post","2021","Male","FCDO Services","Other","[c]","[c]","[c]","[c]"
"In post","2021","Male","FCDO Services","Project Delivery","30","30","[c]","[c]"
"In post","2021","Male","FCDO Services","Property","320","320","39880","39410"
"In post","2021","Male","FCDO Services","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Male","FCDO Services","Security","190","180","35310","32610"
"In post","2021","Male","Food Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Food Standards Agency","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Male","Food Standards Agency","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Male","Food Standards Agency","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Male","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Food Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Food Standards Agency","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Food Standards Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Food Standards Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Male","Food Standards Agency","Operational Delivery","450","440","30720","26750"
"In post","2021","Male","Food Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Food Standards Agency","Policy","90","90","43740","40350"
"In post","2021","Male","Food Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Food Standards Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Food Standards Agency","Science and Engineering","40","40","[c]","[c]"
"In post","2021","Male","Food Standards Agency","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Food Standards Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Male","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Food Standards Agency","Veterinarian","30","30","[c]","[c]"
"In post","2021","Male","Food Standards Scotland","Unknown","140","140","35170","30650"
"In post","2021","Male","Foreign, Commonwealth and Development Office (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","60","60","49430","46880"
"In post","2021","Male","Foreign, Commonwealth and Development Office (excl. agencies)","Digital, Data and Technology","140","130","41160","39190"
"In post","2021","Male","Foreign, Commonwealth and Development Office (excl. agencies)","Economics","100","100","52810","55230"
"In post","2021","Male","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","80","80","44500","39880"
"In post","2021","Male","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","60","60","49330","48580"
"In post","2021","Male","Foreign, Commonwealth and Development Office (excl. agencies)","Intelligence Analysis","100","100","47960","39770"
"In post","2021","Male","Foreign, Commonwealth and Development Office (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Foreign, Commonwealth and Development Office (excl. agencies)","Knowledge and Information Management","60","60","48050","40400"
"In post","2021","Male","Foreign, Commonwealth and Development Office (excl. agencies)","Legal","40","40","[c]","[c]"
"In post","2021","Male","Foreign, Commonwealth and Development Office (excl. agencies)","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Male","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","230","220","34620","30300"
"In post","2021","Male","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Research","50","40","[c]","[c]"
"In post","2021","Male","Foreign, Commonwealth and Development Office (excl. agencies)","Other","120","120","68610","69940"
"In post","2021","Male","Foreign, Commonwealth and Development Office (excl. agencies)","Policy","2060","2050","52040","53350"
"In post","2021","Male","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","140","140","43240","38600"
"In post","2021","Male","Foreign, Commonwealth and Development Office (excl. agencies)","Property","50","50","[c]","[c]"
"In post","2021","Male","Foreign, Commonwealth and Development Office (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Male","Foreign, Commonwealth and Development Office (excl. agencies)","Security","120","120","41610","34770"
"In post","2021","Male","Foreign, Commonwealth and Development Office (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Male","Foreign, Commonwealth and Development Office (excl. agencies)","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Male","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","120","120","55080","54450"
"In post","2021","Male","Forestry and Land Scotland","Unknown","660","650","31520","30160"
"In post","2021","Male","Government Actuary's Department","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Actuary's Department","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Actuary's Department","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Actuary's Department","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Actuary's Department","Other","120","110","70660","59410"
"In post","2021","Male","Government Actuary's Department","Security","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Internal Audit Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Internal Audit Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Internal Audit Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Internal Audit Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Internal Audit Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Internal Audit Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Internal Audit Agency","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Internal Audit Agency","Internal Audit","180","170","52650","49750"
"In post","2021","Male","Government Internal Audit Agency","Other","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Internal Audit Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Internal Audit Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Internal Audit Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Legal Department","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Legal Department","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Legal Department","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Legal Department","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Legal Department","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Legal Department","Legal","690","670","60980","63730"
"In post","2021","Male","Government Legal Department","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Legal Department","Other","140","140","32800","27580"
"In post","2021","Male","Government Legal Department","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Legal Department","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Legal Department","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Property Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Property Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Property Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Property Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Property Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Property Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Property Agency","Other","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Property Agency","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Property Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Property Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Property Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Male","Government Property Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Health and Safety Executive","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Health and Safety Executive","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Health and Safety Executive","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Male","Health and Safety Executive","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Male","Health and Safety Executive","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Health and Safety Executive","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Health and Safety Executive","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Health and Safety Executive","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Male","Health and Safety Executive","Operational Delivery","840","820","50450","46320"
"In post","2021","Male","Health and Safety Executive","Policy","40","30","[c]","[c]"
"In post","2021","Male","Health and Safety Executive","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Health and Safety Executive","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Health and Safety Executive","Science and Engineering","250","240","41820","39390"
"In post","2021","Male","Health and Safety Executive","Security","[c]","[c]","[c]","[c]"
"In post","2021","Male","Health and Safety Executive","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Courts and Tribunals Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Courts and Tribunals Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Courts and Tribunals Service","Digital, Data and Technology","80","80","35160","30920"
"In post","2021","Male","HM Courts and Tribunals Service","Finance","80","80","44840","40810"
"In post","2021","Male","HM Courts and Tribunals Service","Human Resources","30","30","[c]","[c]"
"In post","2021","Male","HM Courts and Tribunals Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Courts and Tribunals Service","Legal","320","300","43330","43460"
"In post","2021","Male","HM Courts and Tribunals Service","Operational Delivery","4170","4010","22890","20650"
"In post","2021","Male","HM Courts and Tribunals Service","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Courts and Tribunals Service","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Courts and Tribunals Service","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Courts and Tribunals Service","Project Delivery","110","110","41290","36800"
"In post","2021","Male","HM Courts and Tribunals Service","Property","40","40","[c]","[c]"
"In post","2021","Male","HM Courts and Tribunals Service","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Courts and Tribunals Service","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Land Registry","Digital, Data and Technology","440","420","38350","38450"
"In post","2021","Male","HM Land Registry","Finance","30","30","[c]","[c]"
"In post","2021","Male","HM Land Registry","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Land Registry","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Land Registry","Legal","100","90","53190","58760"
"In post","2021","Male","HM Land Registry","Operational Delivery","1850","1730","28960","27130"
"In post","2021","Male","HM Land Registry","Other","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Land Registry","Project Delivery","70","70","40930","38550"
"In post","2021","Male","HM Land Registry","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Prison and Probation Service","Commercial","310","300","53970","52370"
"In post","2021","Male","HM Prison and Probation Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Prison and Probation Service","Human Resources","60","60","49080","51150"
"In post","2021","Male","HM Prison and Probation Service","Intelligence Analysis","160","160","33390","31570"
"In post","2021","Male","HM Prison and Probation Service","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Prison and Probation Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Prison and Probation Service","Operational Delivery","25780","24700","30390","30400"
"In post","2021","Male","HM Prison and Probation Service","Policy","210","210","40880","33900"
"In post","2021","Male","HM Prison and Probation Service","Psychology","160","150","35160","29750"
"In post","2021","Male","HM Prison and Probation Service","Security","360","360","41590","38750"
"In post","2021","Male","HM Prison and Probation Service","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Revenue and Customs (excl. agencies)","Commercial","30","30","[c]","[c]"
"In post","2021","Male","HM Revenue and Customs (excl. agencies)","Communications","90","80","44720","39250"
"In post","2021","Male","HM Revenue and Customs (excl. agencies)","Digital, Data and Technology","1230","1190","39490","38630"
"In post","2021","Male","HM Revenue and Customs (excl. agencies)","Economics","80","80","46780","36160"
"In post","2021","Male","HM Revenue and Customs (excl. agencies)","Finance","580","550","37610","33390"
"In post","2021","Male","HM Revenue and Customs (excl. agencies)","Human Resources","230","220","39680","35000"
"In post","2021","Male","HM Revenue and Customs (excl. agencies)","Intelligence Analysis","110","110","38700","36160"
"In post","2021","Male","HM Revenue and Customs (excl. agencies)","Internal Audit","30","30","[c]","[c]"
"In post","2021","Male","HM Revenue and Customs (excl. agencies)","International Trade","70","70","32310","31810"
"In post","2021","Male","HM Revenue and Customs (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Revenue and Customs (excl. agencies)","Legal","2100","2040","33960","31810"
"In post","2021","Male","HM Revenue and Customs (excl. agencies)","Operational Delivery","10990","10420","25830","24120"
"In post","2021","Male","HM Revenue and Customs (excl. agencies)","Operational Research","90","80","43470","38630"
"In post","2021","Male","HM Revenue and Customs (excl. agencies)","Other","230","210","43170","38630"
"In post","2021","Male","HM Revenue and Customs (excl. agencies)","Policy","570","550","54350","58650"
"In post","2021","Male","HM Revenue and Customs (excl. agencies)","Project Delivery","1170","1140","43900","38630"
"In post","2021","Male","HM Revenue and Customs (excl. agencies)","Property","140","130","40340","36160"
"In post","2021","Male","HM Revenue and Customs (excl. agencies)","Security","120","110","43150","38630"
"In post","2021","Male","HM Revenue and Customs (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Revenue and Customs (excl. agencies)","Statistics","170","160","43040","38630"
"In post","2021","Male","HM Revenue and Customs (excl. agencies)","Tax","9340","8990","34380","31810"
"In post","2021","Male","HM Revenue and Customs (excl. agencies)","Unknown","2330","2300","31930","25560"
"In post","2021","Male","HM Treasury (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Treasury (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Treasury (excl. agencies)","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Treasury (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Treasury (excl. agencies)","Economics","110","100","41800","34320"
"In post","2021","Male","HM Treasury (excl. agencies)","Finance","50","50","[c]","[c]"
"In post","2021","Male","HM Treasury (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Treasury (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Treasury (excl. agencies)","Operational Delivery","40","40","[c]","[c]"
"In post","2021","Male","HM Treasury (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Treasury (excl. agencies)","Policy","740","730","49920","52500"
"In post","2021","Male","HM Treasury (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Treasury (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Treasury (excl. agencies)","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Male","HM Treasury (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Home Office (incl. agencies)","Commercial","50","50","[c]","[c]"
"In post","2021","Male","Home Office (incl. agencies)","Communications","70","70","49080","42710"
"In post","2021","Male","Home Office (incl. agencies)","Counter Fraud","70","60","29190","25580"
"In post","2021","Male","Home Office (incl. agencies)","Digital, Data and Technology","840","840","50670","46070"
"In post","2021","Male","Home Office (incl. agencies)","Economics","70","70","45690","35070"
"In post","2021","Male","Home Office (incl. agencies)","Finance","140","140","47290","42170"
"In post","2021","Male","Home Office (incl. agencies)","Human Resources","220","210","42510","37450"
"In post","2021","Male","Home Office (incl. agencies)","Intelligence Analysis","710","680","30200","28350"
"In post","2021","Male","Home Office (incl. agencies)","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","Male","Home Office (incl. agencies)","Operational Delivery","11920","11320","28340","25630"
"In post","2021","Male","Home Office (incl. agencies)","Operational Research","60","50","45460","38960"
"In post","2021","Male","Home Office (incl. agencies)","Other","780","730","34400","30830"
"In post","2021","Male","Home Office (incl. agencies)","Policy","950","940","51500","52340"
"In post","2021","Male","Home Office (incl. agencies)","Project Delivery","610","600","46040","41970"
"In post","2021","Male","Home Office (incl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Home Office (incl. agencies)","Science and Engineering","50","50","47830","40410"
"In post","2021","Male","Home Office (incl. agencies)","Security","230","220","29710","25630"
"In post","2021","Male","Home Office (incl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Home Office (incl. agencies)","Statistics","50","40","[c]","[c]"
"In post","2021","Male","Home Office (incl. agencies)","Unknown","170","170","[c]","[c]"
"In post","2021","Male","Insolvency Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Insolvency Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Insolvency Service","Counter Fraud","150","150","39530","38510"
"In post","2021","Male","Insolvency Service","Digital, Data and Technology","40","30","[c]","[c]"
"In post","2021","Male","Insolvency Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Insolvency Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Insolvency Service","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Insolvency Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Insolvency Service","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Male","Insolvency Service","Operational Delivery","480","470","29580","25060"
"In post","2021","Male","Insolvency Service","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Male","Insolvency Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Insolvency Service","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Male","Institute for Apprenticeships and Technical Education","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Institute for Apprenticeships and Technical Education","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Institute for Apprenticeships and Technical Education","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Institute for Apprenticeships and Technical Education","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Institute for Apprenticeships and Technical Education","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Institute for Apprenticeships and Technical Education","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Institute for Apprenticeships and Technical Education","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Institute for Apprenticeships and Technical Education","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Institute for Apprenticeships and Technical Education","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Male","Institute for Apprenticeships and Technical Education","Operational Delivery","60","60","51310","50590"
"In post","2021","Male","Institute for Apprenticeships and Technical Education","Other","[c]","[c]","[c]","[c]"
"In post","2021","Male","Institute for Apprenticeships and Technical Education","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Male","Institute for Apprenticeships and Technical Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Legal Aid Agency","Commercial","40","40","[c]","[c]"
"In post","2021","Male","Legal Aid Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Legal Aid Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Legal Aid Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Legal Aid Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Legal Aid Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Legal Aid Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Male","Legal Aid Agency","Operational Delivery","370","360","26150","21520"
"In post","2021","Male","Legal Aid Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Male","Legal Aid Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Legal Aid Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Legal Aid Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Maritime and Coastguard Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Maritime and Coastguard Agency","Digital, Data and Technology","70","70","39890","34940"
"In post","2021","Male","Maritime and Coastguard Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Maritime and Coastguard Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Maritime and Coastguard Agency","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Maritime and Coastguard Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Maritime and Coastguard Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Maritime and Coastguard Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Male","Maritime and Coastguard Agency","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Male","Maritime and Coastguard Agency","Operational Delivery","530","520","39860","35860"
"In post","2021","Male","Maritime and Coastguard Agency","Other","[c]","[c]","[c]","[c]"
"In post","2021","Male","Maritime and Coastguard Agency","Policy","100","100","41310","39470"
"In post","2021","Male","Maritime and Coastguard Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Medicines and Healthcare Products Regulatory Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Medicines and Healthcare Products Regulatory Agency","Communications","[c]","[c]","[c]","[c]"
