"Status","Year","Disability","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared non-disabled","Charity Commission","Female","130","130","36410","29160"
"In post","2022","Declared non-disabled","Charity Commission","Male","90","90","34540","29160"
"In post","2022","Declared non-disabled","Companies House","Female","450","410","30240","24900"
"In post","2022","Declared non-disabled","Companies House","Male","310","310","34570","32720"
"In post","2022","Declared non-disabled","Competition and Markets Authority","Female","360","340","57740","55860"
"In post","2022","Declared non-disabled","Competition and Markets Authority","Male","370","360","62990","58280"
"In post","2022","Declared non-disabled","Criminal Injuries Compensation Authority","Female","100","90","30420","25120"
"In post","2022","Declared non-disabled","Criminal Injuries Compensation Authority","Male","70","70","28370","25120"
"In post","2022","Declared non-disabled","Crown Commercial Service","Female","170","160","39700","38980"
"In post","2022","Declared non-disabled","Crown Commercial Service","Male","110","110","43620","38980"
"In post","2022","Declared non-disabled","Crown Office and Procurator Fiscal Service","Female","1510","1400","35950","30040"
"In post","2022","Declared non-disabled","Crown Office and Procurator Fiscal Service","Male","590","580","38060","31540"
"In post","2022","Declared non-disabled","Crown Prosecution Service","Female","3120","2810","40370","33310"
"In post","2022","Declared non-disabled","Crown Prosecution Service","Male","1580","1540","45830","48830"
"In post","2022","Declared non-disabled","Defence Electronics and Components Agency","Female","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","Defence Electronics and Components Agency","Male","180","180","29540","29470"
"In post","2022","Declared non-disabled","Defence Equipment and Support","Female","2720","2540","34590","32170"
"In post","2022","Declared non-disabled","Defence Equipment and Support","Male","5150","5050","38410","36500"
"In post","2022","Declared non-disabled","Defence Science and Technology Laboratory","Female","1550","1450","38710","38070"
"In post","2022","Declared non-disabled","Defence Science and Technology Laboratory","Male","2850","2790","42480","42000"
"In post","2022","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","2180","2100","48330","46050"
"In post","2022","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","2200","2180","50880","53380"
"In post","2022","Declared non-disabled","Department for Digital, Culture, Media and Sport","Female","850","830","46490","47070"
"In post","2022","Declared non-disabled","Department for Digital, Culture, Media and Sport","Male","710","710","48090","51730"
"In post","2022","Declared non-disabled","Department for Education (excl. agencies)","Female","2230","2090","45750","45250"
"In post","2022","Declared non-disabled","Department for Education (excl. agencies)","Male","1500","1480","47830","49860"
"In post","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","2510","2380","41150","37070"
"In post","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","2050","2020","43740","39510"
"In post","2022","Declared non-disabled","Department for International Trade","Female","710","690","46250","42630"
"In post","2022","Declared non-disabled","Department for International Trade","Male","830","820","47910","44120"
"In post","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","1210","1170","45920","41450"
"In post","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","1100","1090","47020","46910"
"In post","2022","Declared non-disabled","Department for Transport (excl. agencies)","Female","1140","1090","47300","42890"
"In post","2022","Declared non-disabled","Department for Transport (excl. agencies)","Male","1360","1340","52260","53700"
"In post","2022","Declared non-disabled","Department for Work and Pensions (excl. agencies)","Female","44270","38170","27560","27570"
"In post","2022","Declared non-disabled","Department for Work and Pensions (excl. agencies)","Male","23970","23090","29340","27570"
"In post","2022","Declared non-disabled","Department of Health and Social Care (excl. agencies)","Female","650","610","49210","49530"
"In post","2022","Declared non-disabled","Department of Health and Social Care (excl. agencies)","Male","390","380","50680","50930"
"In post","2022","Declared non-disabled","Disclosure Scotland","Female","80","80","28980","23810"
"In post","2022","Declared non-disabled","Disclosure Scotland","Male","80","80","29510","23230"
"In post","2022","Declared non-disabled","Driver and Vehicle Licensing Agency","Female","2680","2250","25080","21840"
"In post","2022","Declared non-disabled","Driver and Vehicle Licensing Agency","Male","1820","1770","29540","26130"
"In post","2022","Declared non-disabled","Driver and Vehicle Standards Agency","Female","960","870","29570","26780"
"In post","2022","Declared non-disabled","Driver and Vehicle Standards Agency","Male","2300","2180","30420","27930"
"In post","2022","Declared non-disabled","Education and Skills Funding Agency","Female","730","690","42090","37100"
"In post","2022","Declared non-disabled","Education and Skills Funding Agency","Male","560","560","44590","40230"
"In post","2022","Declared non-disabled","Education Scotland","Female","110","110","57910","65280"
"In post","2022","Declared non-disabled","Education Scotland","Male","40","30","[c]","[c]"
"In post","2022","Declared non-disabled","Estyn","Female","60","50","55930","65710"
"In post","2022","Declared non-disabled","Estyn","Male","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","FCDO Services","Female","260","250","38850","32090"
"In post","2022","Declared non-disabled","FCDO Services","Male","650","630","40880","39160"
"In post","2022","Declared non-disabled","Food Standards Agency","Female","380","370","40100","37350"
"In post","2022","Declared non-disabled","Food Standards Agency","Male","540","520","35870","30350"
"In post","2022","Declared non-disabled","Food Standards Scotland","Female","70","70","36050","31540"
"In post","2022","Declared non-disabled","Food Standards Scotland","Male","70","70","35670","30140"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Female","2420","2340","47980","43300"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Male","2280","2260","51410","52400"
"In post","2022","Declared non-disabled","Forestry and Land Scotland","Female","310","290","32610","31060"
"In post","2022","Declared non-disabled","Forestry and Land Scotland","Male","620","600","33290","31060"
"In post","2022","Declared non-disabled","Government Actuary's Department","Female","60","50","63870","59990"
"In post","2022","Declared non-disabled","Government Actuary's Department","Male","100","100","72750","65470"
"In post","2022","Declared non-disabled","Government Internal Audit Agency","Female","180","160","47350","44020"
"In post","2022","Declared non-disabled","Government Internal Audit Agency","Male","180","170","50720","49110"
"In post","2022","Declared non-disabled","Government Legal Department","Female","1280","1160","53480","51250"
"In post","2022","Declared non-disabled","Government Legal Department","Male","670","650","53850","51830"
"In post","2022","Declared non-disabled","Government Property Agency","Female","110","100","46020","44780"
"In post","2022","Declared non-disabled","Government Property Agency","Male","120","120","54820","54700"
"In post","2022","Declared non-disabled","Health and Safety Executive","Female","1060","980","38390","35470"
"In post","2022","Declared non-disabled","Health and Safety Executive","Male","1060","1030","48400","45870"
"In post","2022","Declared non-disabled","HM Courts and Tribunals Service","Female","8080","7060","26700","23720"
"In post","2022","Declared non-disabled","HM Courts and Tribunals Service","Male","3220","3110","28380","23720"
"In post","2022","Declared non-disabled","HM Crown Prosecution Service Inspectorate","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","HM Crown Prosecution Service Inspectorate","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","HM Land Registry","Female","2580","2250","31750","27130"
"In post","2022","Declared non-disabled","HM Land Registry","Male","1570","1470","34340","33840"
"In post","2022","Declared non-disabled","HM Prison and Probation Service","Female","21500","20080","30000","27380"
"In post","2022","Declared non-disabled","HM Prison and Probation Service","Male","18410","17720","31380","30140"
"In post","2022","Declared non-disabled","HM Revenue and Customs (excl. agencies)","Female","21010","18940","33590","31020"
"In post","2022","Declared non-disabled","HM Revenue and Customs (excl. agencies)","Male","18350","17770","35890","33370"
"In post","2022","Declared non-disabled","HM Treasury (excl. agencies)","Female","740","710","46850","42890"
"In post","2022","Declared non-disabled","HM Treasury (excl. agencies)","Male","760","750","49430","52500"
"In post","2022","Declared non-disabled","Home Office","Female","13700","12350","32040","28350"
"In post","2022","Declared non-disabled","Home Office","Male","12420","11970","33410","28670"
"In post","2022","Declared non-disabled","Institute for Apprenticeships and Technical Education","Female","130","120","48930","49960"
"In post","2022","Declared non-disabled","Institute for Apprenticeships and Technical Education","Male","70","70","50770","50230"
"In post","2022","Declared non-disabled","Intellectual Property Office","Female","610","550","35060","30770"
"In post","2022","Declared non-disabled","Intellectual Property Office","Male","600","580","44400","42070"
"In post","2022","Declared non-disabled","Legal Aid Agency","Female","520","470","29550","25120"
"In post","2022","Declared non-disabled","Legal Aid Agency","Male","350","340","32050","26900"
"In post","2022","Declared non-disabled","Maritime and Coastguard Agency","Female","340","310","33850","31040"
"In post","2022","Declared non-disabled","Maritime and Coastguard Agency","Male","510","500","42750","38650"
"In post","2022","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","Female","270","250","53020","53100"
"In post","2022","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","Male","160","150","54120","53620"
"In post","2022","Declared non-disabled","Met Office","Female","760","700","38270","38200"
"In post","2022","Declared non-disabled","Met Office","Male","1290","1250","40830","39650"
"In post","2022","Declared non-disabled","Ministry of Defence (excl. agencies)","Female","11430","10830","31730","26670"
"In post","2022","Declared non-disabled","Ministry of Defence (excl. agencies)","Male","13680","13450","33930","33000"
"In post","2022","Declared non-disabled","Ministry of Justice (excl. agencies)","Female","2340","2260","42330","41100"
"In post","2022","Declared non-disabled","Ministry of Justice (excl. agencies)","Male","1770","1740","45810","41750"
"In post","2022","Declared non-disabled","National Crime Agency","Female","700","660","41500","39840"
"In post","2022","Declared non-disabled","National Crime Agency","Male","930","920","45650","43710"
"In post","2022","Declared non-disabled","National Infrastructure Commission","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","National Infrastructure Commission","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","National Records of Scotland","Female","130","120","37830","34600"
"In post","2022","Declared non-disabled","National Records of Scotland","Male","80","80","37970","36130"
"In post","2022","Declared non-disabled","National Savings and Investments","Female","90","90","46990","43530"
"In post","2022","Declared non-disabled","National Savings and Investments","Male","90","90","55300","49230"
"In post","2022","Declared non-disabled","National Savings and Investments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Northern Ireland Office","Female","60","60","46160","37680"
"In post","2022","Declared non-disabled","Northern Ireland Office","Male","50","50","[c]","[c]"
"In post","2022","Declared non-disabled","Office for Budget Responsibility","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office for Budget Responsibility","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Female","1020","970","50490","51360"
"In post","2022","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Male","500","500","53350","51360"
"In post","2022","Declared non-disabled","Office of Gas and Electricity Markets","Female","540","520","42480","36700"
"In post","2022","Declared non-disabled","Office of Gas and Electricity Markets","Male","640","630","44900","38030"
"In post","2022","Declared non-disabled","Office of Qualifications and Examinations Regulation","Female","120","120","41410","38000"
"In post","2022","Declared non-disabled","Office of Qualifications and Examinations Regulation","Male","70","70","49170","43110"
"In post","2022","Declared non-disabled","Office of Rail and Road","Female","130","120","50590","50810"
"In post","2022","Declared non-disabled","Office of Rail and Road","Male","190","180","57240","55700"
"In post","2022","Declared non-disabled","Office of the Public Guardian","Female","500","450","24120","21190"
"In post","2022","Declared non-disabled","Office of the Public Guardian","Male","400","380","24600","21410"
"In post","2022","Declared non-disabled","Office of the Scottish Charity Regulator","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Scottish Charity Regulator","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Planning Inspectorate","Female","260","230","41160","40720"
"In post","2022","Declared non-disabled","Planning Inspectorate","Male","310","280","46700","47660"
"In post","2022","Declared non-disabled","Queen Elizabeth II Centre","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Queen Elizabeth II Centre","Male","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Registers of Scotland","Female","300","290","35110","30840"
"In post","2022","Declared non-disabled","Registers of Scotland","Male","300","300","35180","30840"
"In post","2022","Declared non-disabled","Revenue Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Revenue Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Royal Fleet Auxiliary","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Royal Fleet Auxiliary","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Rural Payments Agency","Female","1320","1170","25670","21300"
"In post","2022","Declared non-disabled","Rural Payments Agency","Male","980","960","26530","24920"
"In post","2022","Declared non-disabled","Scottish Courts and Tribunals Service","Female","390","370","28090","23780"
"In post","2022","Declared non-disabled","Scottish Courts and Tribunals Service","Male","190","180","30730","23780"
"In post","2022","Declared non-disabled","Scottish Fiscal Commission","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Fiscal Commission","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Forestry","Female","90","80","32130","31060"
"In post","2022","Declared non-disabled","Scottish Forestry","Male","80","80","40080","38110"
"In post","2022","Declared non-disabled","Scottish Government (excl. agencies)","Female","2810","2650","44400","39660"
"In post","2022","Declared non-disabled","Scottish Government (excl. agencies)","Male","2160","2130","46200","42010"
"In post","2022","Declared non-disabled","Scottish Housing Regulator","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Housing Regulator","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Prison Service","Female","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Prison Service","Male","40","30","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Public Pensions Agency","Female","70","60","31360","29510"
"In post","2022","Declared non-disabled","Scottish Public Pensions Agency","Male","60","60","34740","30040"
"In post","2022","Declared non-disabled","Serious Fraud Office","Female","130","120","43570","40000"
"In post","2022","Declared non-disabled","Serious Fraud Office","Male","180","180","48840","42240"
"In post","2022","Declared non-disabled","Social Security Scotland","Female","750","730","31020","27940"
"In post","2022","Declared non-disabled","Social Security Scotland","Male","500","500","32700","27940"
"In post","2022","Declared non-disabled","Standards and Testing Agency","Female","60","50","44330","42420"
"In post","2022","Declared non-disabled","Standards and Testing Agency","Male","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Student Awards Agency for Scotland","Female","50","50","[c]","[c]"
"In post","2022","Declared non-disabled","Student Awards Agency for Scotland","Male","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","Submarine Delivery Agency","Female","420","400","37920","34800"
"In post","2022","Declared non-disabled","Submarine Delivery Agency","Male","970","970","42520","40000"
"In post","2022","Declared non-disabled","Teaching Regulation Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Teaching Regulation Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","The Insolvency Service","Female","620","570","33040","29850"
"In post","2022","Declared non-disabled","The Insolvency Service","Male","430","410","36910","35600"
"In post","2022","Declared non-disabled","The National Archives","Female","200","190","36310","34360"
"In post","2022","Declared non-disabled","The National Archives","Male","160","160","37130","34770"
"In post","2022","Declared non-disabled","Transport Scotland","Female","130","130","42650","39660"
"In post","2022","Declared non-disabled","Transport Scotland","Male","150","140","50100","47490"
"In post","2022","Declared non-disabled","UK Debt Management Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Debt Management Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Export Finance","Female","190","180","48180","43000"
"In post","2022","Declared non-disabled","UK Export Finance","Male","240","240","56270","50530"
"In post","2022","Declared non-disabled","UK Health Security Agency","Female","2510","2290","38400","32330"
"In post","2022","Declared non-disabled","UK Health Security Agency","Male","1190","1130","43080","36330"
"In post","2022","Declared non-disabled","UK Hydrographic Office","Female","190","180","34810","33290"
"In post","2022","Declared non-disabled","UK Hydrographic Office","Male","340","330","36320","33290"
"In post","2022","Declared non-disabled","UK Space Agency","Female","60","60","43170","40050"
"In post","2022","Declared non-disabled","UK Space Agency","Male","60","60","49980","49080"
"In post","2022","Declared non-disabled","UK Statistics Authority","Female","1730","1520","34070","30710"
"In post","2022","Declared non-disabled","UK Statistics Authority","Male","1200","1100","36680","33210"
"In post","2022","Declared non-disabled","UK Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Valuation Office Agency","Female","1320","1200","34740","31630"
"In post","2022","Declared non-disabled","Valuation Office Agency","Male","1170","1130","38410","34000"
"In post","2022","Declared non-disabled","Vehicle Certification Agency","Female","60","60","29050","26710"
"In post","2022","Declared non-disabled","Vehicle Certification Agency","Male","110","110","41200","39360"
"In post","2022","Declared non-disabled","Veterinary Medicines Directorate","Female","90","80","37090","33510"
"In post","2022","Declared non-disabled","Veterinary Medicines Directorate","Male","50","50","[c]","[c]"
"In post","2022","Declared non-disabled","Water Services Regulation Authority","Female","110","110","53830","46000"
"In post","2022","Declared non-disabled","Water Services Regulation Authority","Male","90","90","55400","51630"
"In post","2022","Declared non-disabled","Welsh Government (excl. agencies)","Female","3040","2810","41030","38160"
"In post","2022","Declared non-disabled","Welsh Government (excl. agencies)","Male","2000","1950","44100","38160"
"In post","2022","Declared non-disabled","Welsh Revenue Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Welsh Revenue Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Wilton Park","Female","60","50","34460","30700"
"In post","2022","Declared non-disabled","Wilton Park","Male","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Accountant in Bankruptcy","Female","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Accountant in Bankruptcy","Male","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Advisory, Conciliation and Arbitration Service","Female","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Advisory, Conciliation and Arbitration Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Animal and Plant Health Agency","Female","70","70","29510","26360"
"In post","2022","Undeclared","Animal and Plant Health Agency","Male","80","70","33520","29390"
"In post","2022","Undeclared","Cabinet Office (excl. agencies)","Female","150","140","42330","37300"
"In post","2022","Undeclared","Cabinet Office (excl. agencies)","Male","150","150","46950","40600"
"In post","2022","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","Female","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","Male","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Companies House","Female","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Companies House","Male","40","40","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Criminal Injuries Compensation Authority","Female","30","30","[c]","[c]"
"In post","2022","Undeclared","Criminal Injuries Compensation Authority","Male","30","30","[c]","[c]"
"In post","2022","Undeclared","Crown Commercial Service","Female","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Crown Commercial Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Crown Office and Procurator Fiscal Service","Female","50","40","[c]","[c]"
"In post","2022","Undeclared","Crown Office and Procurator Fiscal Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Crown Prosecution Service","Female","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Crown Prosecution Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Defence Electronics and Components Agency","Male","160","150","29490","29470"
"In post","2022","Undeclared","Defence Equipment and Support","Female","230","220","35640","33310"
"In post","2022","Undeclared","Defence Equipment and Support","Male","510","500","39900","38860"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","140","130","47920","52730"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","190","190","50310","49500"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","Female","40","40","[c]","[c]"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","Male","50","50","44670","41420"
"In post","2022","Undeclared","Department for Education (excl. agencies)","Female","140","140","44110","39790"
"In post","2022","Undeclared","Department for Education (excl. agencies)","Male","120","110","46050","49860"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","170","160","41050","37070"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","120","120","41860","38750"
"In post","2022","Undeclared","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for International Trade","Male","40","40","[c]","[c]"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","80","80","45290","48200"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","80","80","43240","39600"
"In post","2022","Undeclared","Department for Transport (excl. agencies)","Female","100","90","45480","42470"
"In post","2022","Undeclared","Department for Transport (excl. agencies)","Male","170","170","47890","42890"
"In post","2022","Undeclared","Department for Work and Pensions (excl. agencies)","Female","2430","2160","27260","27570"
"In post","2022","Undeclared","Department for Work and Pensions (excl. agencies)","Male","1710","1650","28970","27570"
"In post","2022","Undeclared","Department of Health and Social Care (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department of Health and Social Care (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Disclosure Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Disclosure Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Driver and Vehicle Licensing Agency","Female","230","200","24510","21840"
"In post","2022","Undeclared","Driver and Vehicle Licensing Agency","Male","220","210","30750","26130"
"In post","2022","Undeclared","Driver and Vehicle Standards Agency","Female","70","60","30380","26780"
"In post","2022","Undeclared","Driver and Vehicle Standards Agency","Male","210","200","29780","27930"
"In post","2022","Undeclared","Education and Skills Funding Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Education and Skills Funding Agency","Male","50","50","[c]","[c]"
"In post","2022","Undeclared","Education Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Education Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","FCDO Services","Female","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","FCDO Services","Male","40","40","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","Female","160","160","37670","37350"
"In post","2022","Undeclared","Food Standards Agency","Male","190","180","38190","36340"
"In post","2022","Undeclared","Food Standards Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Food Standards Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","Female","120","110","46810","39580"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","Male","160","160","53200","53000"
"In post","2022","Undeclared","Government Internal Audit Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Government Internal Audit Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Government Legal Department","Female","80","70","55080","53630"
"In post","2022","Undeclared","Government Legal Department","Male","40","40","[c]","[c]"
"In post","2022","Undeclared","Government Property Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Government Property Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Health and Safety Executive","Female","70","60","39190","35910"
"In post","2022","Undeclared","Health and Safety Executive","Male","100","100","49030","46320"
"In post","2022","Undeclared","HM Courts and Tribunals Service","Female","760","670","25990","21490"
"In post","2022","Undeclared","HM Courts and Tribunals Service","Male","350","340","28350","23720"
"In post","2022","Undeclared","HM Land Registry","Female","150","130","32670","27130"
"In post","2022","Undeclared","HM Land Registry","Male","140","130","34350","33840"
"In post","2022","Undeclared","HM Prison and Probation Service","Female","2660","2410","30470","28760"
"In post","2022","Undeclared","HM Prison and Probation Service","Male","4050","3740","32560","31650"
"In post","2022","Undeclared","HM Revenue and Customs (excl. agencies)","Female","1380","1220","33350","32680"
"In post","2022","Undeclared","HM Revenue and Customs (excl. agencies)","Male","1770","1700","36550","33370"
"In post","2022","Undeclared","HM Treasury (excl. agencies)","Female","150","150","42920","37900"
"In post","2022","Undeclared","HM Treasury (excl. agencies)","Male","190","190","46740","49500"
"In post","2022","Undeclared","Home Office","Female","730","650","32850","28990"
"In post","2022","Undeclared","Home Office","Male","930","890","33660","30410"
"In post","2022","Undeclared","Institute for Apprenticeships and Technical Education","Female","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Institute for Apprenticeships and Technical Education","Male","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal Aid Agency","Female","50","40","27660","25120"
"In post","2022","Undeclared","Legal Aid Agency","Male","40","40","[c]","[c]"
"In post","2022","Undeclared","Maritime and Coastguard Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Maritime and Coastguard Agency","Male","50","50","39990","36030"
"In post","2022","Undeclared","Medicines and Healthcare Products Regulatory Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Medicines and Healthcare Products Regulatory Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Ministry of Defence (excl. agencies)","Female","1090","1040","31670","26670"
"In post","2022","Undeclared","Ministry of Defence (excl. agencies)","Male","1770","1740","33470","33230"
"In post","2022","Undeclared","Ministry of Justice (excl. agencies)","Female","260","250","41220","41100"
"In post","2022","Undeclared","Ministry of Justice (excl. agencies)","Male","210","210","44780","41750"
"In post","2022","Undeclared","National Infrastructure Commission","Female","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","National Infrastructure Commission","Male","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","National Records of Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","National Records of Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","National Savings and Investments","Female","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","National Savings and Investments","Male","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","National Savings and Investments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office for Budget Responsibility","Female","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office for Budget Responsibility","Male","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of the Public Guardian","Female","50","40","24540","21080"
"In post","2022","Undeclared","Office of the Public Guardian","Male","40","40","[c]","[c]"
"In post","2022","Undeclared","Office of the Scottish Charity Regulator","Female","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of the Scottish Charity Regulator","Male","[c]","[c]","[c]","[c]"
