"Status","Year","Parent_department","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","HM Treasury","White","Economics","160","150","48960","52500"
"In post","2022","HM Treasury","White","Finance","80","80","52330","55880"
"In post","2022","HM Treasury","White","Human Resources","70","60","46320","48780"
"In post","2022","HM Treasury","White","Internal Audit","250","230","51160","48780"
"In post","2022","HM Treasury","White","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","White","Legal","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","White","Operational Delivery","140","130","38410","29750"
"In post","2022","HM Treasury","White","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","White","Other","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","White","Policy","1130","1110","50360","52500"
"In post","2022","HM Treasury","White","Project Delivery","30","30","[c]","[c]"
"In post","2022","HM Treasury","White","Security","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","White","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","White","Tax","40","40","[c]","[c]"
"In post","2022","Home Office","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Asian","Digital, Data and Technology","230","220","49220","45050"
"In post","2022","Home Office","Asian","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Asian","Finance","70","70","42920","41950"
"In post","2022","Home Office","Asian","Human Resources","90","80","38170","35050"
"In post","2022","Home Office","Asian","Intelligence Analysis","140","130","29460","28850"
"In post","2022","Home Office","Asian","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Asian","Operational Delivery","3110","2840","28360","28650"
"In post","2022","Home Office","Asian","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Asian","Other","260","250","33740","30820"
"In post","2022","Home Office","Asian","Policy","240","240","44960","41950"
"In post","2022","Home Office","Asian","Project Delivery","180","180","41850","41950"
"In post","2022","Home Office","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Asian","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Asian","Security","80","80","28240","25630"
"In post","2022","Home Office","Asian","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Asian","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Black","Digital, Data and Technology","100","100","47080","41970"
"In post","2022","Home Office","Black","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Black","Human Resources","60","50","39930","35200"
"In post","2022","Home Office","Black","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Black","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Black","Operational Delivery","1180","1090","29080","28670"
"In post","2022","Home Office","Black","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Black","Other","120","120","35030","30870"
"In post","2022","Home Office","Black","Policy","110","110","43930","41950"
"In post","2022","Home Office","Black","Project Delivery","120","120","44730","41950"
"In post","2022","Home Office","Black","Property","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Black","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Black","Security","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Black","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Black","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Mixed","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Mixed","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Mixed","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Mixed","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Mixed","Operational Delivery","430","390","28370","25630"
"In post","2022","Home Office","Mixed","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Mixed","Other","40","40","[c]","[c]"
"In post","2022","Home Office","Mixed","Policy","70","70","54260","57430"
"In post","2022","Home Office","Mixed","Project Delivery","40","40","[c]","[c]"
"In post","2022","Home Office","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Mixed","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Mixed","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Mixed","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Other ethnicity","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Other ethnicity","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Other ethnicity","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Other ethnicity","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Other ethnicity","Operational Delivery","140","130","28470","27370"
"In post","2022","Home Office","Other ethnicity","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Other ethnicity","Other","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Other ethnicity","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Other ethnicity","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Other ethnicity","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Other ethnicity","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Undeclared","Digital, Data and Technology","80","80","49440","45810"
"In post","2022","Home Office","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Undeclared","Intelligence Analysis","100","90","30610","28990"
"In post","2022","Home Office","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Undeclared","Operational Delivery","1420","1310","29960","27370"
"In post","2022","Home Office","Undeclared","Other","70","70","38160","35200"
"In post","2022","Home Office","Undeclared","Policy","110","100","52150","57430"
"In post","2022","Home Office","Undeclared","Project Delivery","80","80","49770","52050"
"In post","2022","Home Office","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Unknown","Communications","40","40","[c]","[c]"
"In post","2022","Home Office","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Unknown","Digital, Data and Technology","380","380","47740","42470"
"In post","2022","Home Office","Unknown","Economics","60","60","38560","35050"
"In post","2022","Home Office","Unknown","Finance","30","30","[c]","[c]"
"In post","2022","Home Office","Unknown","Human Resources","70","60","44990","37450"
"In post","2022","Home Office","Unknown","Intelligence Analysis","80","70","28680","25320"
"In post","2022","Home Office","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Unknown","Operational Delivery","2580","2460","26190","24880"
"In post","2022","Home Office","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Unknown","Other","150","150","33690","28650"
"In post","2022","Home Office","Unknown","Policy","430","430","46190","41950"
"In post","2022","Home Office","Unknown","Project Delivery","230","220","40600","35050"
"In post","2022","Home Office","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Unknown","Social Research","40","40","[c]","[c]"
"In post","2022","Home Office","Unknown","Statistics","60","60","28590","22460"
"In post","2022","Home Office","White","Commercial","60","60","41240","41950"
"In post","2022","Home Office","White","Communications","110","110","50770","46320"
"In post","2022","Home Office","White","Counter Fraud","150","140","26880","25310"
"In post","2022","Home Office","White","Digital, Data and Technology","810","790","51870","49140"
"In post","2022","Home Office","White","Economics","60","60","53230","49950"
"In post","2022","Home Office","White","Finance","170","160","47630","42550"
"In post","2022","Home Office","White","Human Resources","400","380","43540","37460"
"In post","2022","Home Office","White","Intelligence Analysis","1050","980","29720","27370"
"In post","2022","Home Office","White","Knowledge and Information Management","60","50","42380","41950"
"In post","2022","Home Office","White","Operational Delivery","16390","15080","28290","25310"
"In post","2022","Home Office","White","Operational Research","60","50","51070","45390"
"In post","2022","Home Office","White","Other","1030","990","36330","30980"
"In post","2022","Home Office","White","Policy","1400","1370","52610","57430"
"In post","2022","Home Office","White","Project Delivery","970","940","46230","41950"
"In post","2022","Home Office","White","Property","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","White","Science and Engineering","80","70","49040","41960"
"In post","2022","Home Office","White","Security","200","190","32390","29370"
"In post","2022","Home Office","White","Social Research","90","90","50960","45540"
"In post","2022","Home Office","White","Statistics","70","60","42750","43560"
"In post","2022","Ministry of Defence","Asian","Commercial","50","50","37110","34190"
"In post","2022","Ministry of Defence","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Asian","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Asian","Digital, Data and Technology","70","70","35920","33170"
"In post","2022","Ministry of Defence","Asian","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Asian","Finance","160","160","38770","33950"
"In post","2022","Ministry of Defence","Asian","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Asian","Human Resources","70","70","34080","31600"
"In post","2022","Ministry of Defence","Asian","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Asian","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Asian","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Asian","Medicine","70","60","51600","40870"
"In post","2022","Ministry of Defence","Asian","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Asian","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Asian","Other","310","290","25810","22590"
"In post","2022","Ministry of Defence","Asian","Policy","60","60","41160","40300"
"In post","2022","Ministry of Defence","Asian","Project Delivery","200","200","40010","37640"
"In post","2022","Ministry of Defence","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Asian","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Asian","Science and Engineering","210","200","38070","38070"
"In post","2022","Ministry of Defence","Asian","Security","130","130","27120","22900"
"In post","2022","Ministry of Defence","Asian","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Asian","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Black","Commercial","40","40","[c]","[c]"
"In post","2022","Ministry of Defence","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Black","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Black","Digital, Data and Technology","40","30","[c]","[c]"
"In post","2022","Ministry of Defence","Black","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Black","Finance","90","90","36140","33270"
"In post","2022","Ministry of Defence","Black","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Black","Human Resources","30","30","[c]","[c]"
"In post","2022","Ministry of Defence","Black","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Black","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Black","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Black","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Black","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Black","Other","180","180","26290","23340"
"In post","2022","Ministry of Defence","Black","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Black","Project Delivery","130","130","37500","36400"
"In post","2022","Ministry of Defence","Black","Property","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Black","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Black","Science and Engineering","90","80","36640","36690"
"In post","2022","Ministry of Defence","Black","Security","60","60","27690","22900"
"In post","2022","Ministry of Defence","Black","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Black","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Mixed","Commercial","30","30","[c]","[c]"
"In post","2022","Ministry of Defence","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Mixed","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Mixed","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2022","Ministry of Defence","Mixed","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Mixed","Finance","50","50","[c]","[c]"
"In post","2022","Ministry of Defence","Mixed","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Mixed","Human Resources","30","30","[c]","[c]"
"In post","2022","Ministry of Defence","Mixed","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Mixed","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Mixed","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Mixed","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Mixed","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Mixed","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Mixed","Other","140","140","27300","25760"
"In post","2022","Ministry of Defence","Mixed","Policy","30","30","[c]","[c]"
"In post","2022","Ministry of Defence","Mixed","Project Delivery","70","60","40160","37000"
"In post","2022","Ministry of Defence","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Mixed","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Mixed","Science and Engineering","110","110","37510","33600"
"In post","2022","Ministry of Defence","Mixed","Security","60","50","31640","26670"
"In post","2022","Ministry of Defence","Mixed","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Mixed","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Other ethnicity","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Other ethnicity","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Other ethnicity","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Other ethnicity","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Other ethnicity","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Other ethnicity","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Other ethnicity","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Other ethnicity","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Other ethnicity","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Other ethnicity","Other","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Other ethnicity","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Other ethnicity","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Other ethnicity","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Other ethnicity","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Other ethnicity","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Undeclared","Commercial","100","100","40700","39060"
"In post","2022","Ministry of Defence","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Undeclared","Digital, Data and Technology","200","200","36290","35550"
"In post","2022","Ministry of Defence","Undeclared","Finance","220","210","37950","33630"
"In post","2022","Ministry of Defence","Undeclared","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Undeclared","Human Resources","90","80","32780","32780"
"In post","2022","Ministry of Defence","Undeclared","Intelligence Analysis","70","60","39520","36460"
"In post","2022","Ministry of Defence","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Undeclared","Knowledge and Information Management","70","70","35050","33300"
"In post","2022","Ministry of Defence","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Undeclared","Medicine","40","40","[c]","[c]"
"In post","2022","Ministry of Defence","Undeclared","Operational Delivery","40","40","[c]","[c]"
"In post","2022","Ministry of Defence","Undeclared","Operational Research","40","40","[c]","[c]"
"In post","2022","Ministry of Defence","Undeclared","Other","690","670","28790","26670"
"In post","2022","Ministry of Defence","Undeclared","Policy","80","80","47130","44500"
"In post","2022","Ministry of Defence","Undeclared","Project Delivery","320","310","44890","41330"
"In post","2022","Ministry of Defence","Undeclared","Property","90","90","33460","33300"
"In post","2022","Ministry of Defence","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Undeclared","Science and Engineering","650","630","40880","40070"
"In post","2022","Ministry of Defence","Undeclared","Security","300","300","33790","37680"
"In post","2022","Ministry of Defence","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Unknown","Commercial","180","180","36230","33290"
"In post","2022","Ministry of Defence","Unknown","Communications","70","60","41770","37980"
"In post","2022","Ministry of Defence","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Unknown","Digital, Data and Technology","220","210","36590","33300"
"In post","2022","Ministry of Defence","Unknown","Finance","230","220","36520","33300"
"In post","2022","Ministry of Defence","Unknown","Geography","130","120","30560","29290"
"In post","2022","Ministry of Defence","Unknown","Human Resources","140","130","32360","26510"
"In post","2022","Ministry of Defence","Unknown","Intelligence Analysis","90","80","35580","34750"
"In post","2022","Ministry of Defence","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Unknown","Knowledge and Information Management","50","50","[c]","[c]"
"In post","2022","Ministry of Defence","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Unknown","Medicine","330","280","45070","39030"
"In post","2022","Ministry of Defence","Unknown","Operational Delivery","70","70","30710","26030"
"In post","2022","Ministry of Defence","Unknown","Operational Research","40","30","[c]","[c]"
"In post","2022","Ministry of Defence","Unknown","Other","2800","2770","34590","32700"
"In post","2022","Ministry of Defence","Unknown","Policy","160","160","44540","44500"
"In post","2022","Ministry of Defence","Unknown","Project Delivery","350","340","40930","40000"
"In post","2022","Ministry of Defence","Unknown","Property","190","180","26560","21170"
"In post","2022","Ministry of Defence","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Unknown","Science and Engineering","620","610","32950","29230"
"In post","2022","Ministry of Defence","Unknown","Security","860","850","29490","26610"
"In post","2022","Ministry of Defence","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Unknown","Unknown","30","30","[c]","[c]"
"In post","2022","Ministry of Defence","White","Commercial","1800","1730","38300","35090"
"In post","2022","Ministry of Defence","White","Communications","500","480","35310","33300"
"In post","2022","Ministry of Defence","White","Corporate Finance","60","60","42060","41920"
"In post","2022","Ministry of Defence","White","Digital, Data and Technology","2020","1970","35710","33300"
"In post","2022","Ministry of Defence","White","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","White","Finance","3480","3370","37390","33300"
"In post","2022","Ministry of Defence","White","Geography","330","310","31500","33290"
"In post","2022","Ministry of Defence","White","Human Resources","1780","1670","32380","26670"
"In post","2022","Ministry of Defence","White","Intelligence Analysis","670","650","36990","35400"
"In post","2022","Ministry of Defence","White","Internal Audit","130","120","38990","36050"
"In post","2022","Ministry of Defence","White","Knowledge and Information Management","660","640","32170","29260"
"In post","2022","Ministry of Defence","White","Legal","40","40","[c]","[c]"
"In post","2022","Ministry of Defence","White","Medicine","1170","1040","46790","39030"
"In post","2022","Ministry of Defence","White","Operational Delivery","730","690","36060","32710"
"In post","2022","Ministry of Defence","White","Operational Research","420","390","44540","47010"
"In post","2022","Ministry of Defence","White","Other","11990","11510","27410","22830"
"In post","2022","Ministry of Defence","White","Policy","940","920","45330","42160"
"In post","2022","Ministry of Defence","White","Project Delivery","4880","4720","42740","40580"
"In post","2022","Ministry of Defence","White","Property","1880","1830","32510","33300"
"In post","2022","Ministry of Defence","White","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","White","Science and Engineering","6460","6290","38460","38070"
"In post","2022","Ministry of Defence","White","Security","5100","4990","29790","26350"
"In post","2022","Ministry of Defence","White","Statistics","200","190","41140","38500"
"In post","2022","Ministry of Defence","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","White","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice","Asian","Commercial","40","40","[c]","[c]"
"In post","2022","Ministry of Justice","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice","Asian","Digital, Data and Technology","130","130","44600","41750"
"In post","2022","Ministry of Justice","Asian","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice","Asian","Finance","100","100","40570","39730"
"In post","2022","Ministry of Justice","Asian","Human Resources","60","60","37640","34260"
"In post","2022","Ministry of Justice","Asian","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice","Asian","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice","Asian","Legal","150","130","42310","41810"
"In post","2022","Ministry of Justice","Asian","Operational Delivery","3660","3370","27680","24920"
"In post","2022","Ministry of Justice","Asian","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice","Asian","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice","Asian","Policy","90","90","39190","38480"
"In post","2022","Ministry of Justice","Asian","Project Delivery","40","40","[c]","[c]"
"In post","2022","Ministry of Justice","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice","Asian","Psychology","40","30","[c]","[c]"
"In post","2022","Ministry of Justice","Asian","Security","30","30","[c]","[c]"
"In post","2022","Ministry of Justice","Asian","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice","Asian","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice","Black","Commercial","50","50","39240","35690"
"In post","2022","Ministry of Justice","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice","Black","Digital, Data and Technology","60","60","42450","41750"
"In post","2022","Ministry of Justice","Black","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice","Black","Finance","60","60","39650","38370"
"In post","2022","Ministry of Justice","Black","Human Resources","40","40","[c]","[c]"
"In post","2022","Ministry of Justice","Black","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice","Black","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice","Black","Legal","80","70","43070","42650"
"In post","2022","Ministry of Justice","Black","Operational Delivery","3610","3450","29900","28200"
"In post","2022","Ministry of Justice","Black","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice","Black","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice","Black","Policy","80","80","36340","34260"
"In post","2022","Ministry of Justice","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice","Black","Property","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice","Black","Psychology","[c]","[c]","[c]","[c]"
