"Status","Year","Responsibility_level","Sexual_orientation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","SEO/HEO","Heterosexual / straight","Human Resources","3740","3560","36370","35590"
"In post","2022","SEO/HEO","Heterosexual / straight","Internal Audit","360","340","40720","40580"
"In post","2022","SEO/HEO","Heterosexual / straight","Legal","1580","1510","39620","38180"
"In post","2022","SEO/HEO","Heterosexual / straight","No function","37280","35730","37260","36050"
"In post","2022","SEO/HEO","Heterosexual / straight","Project Delivery","9380","9020","36660","36890"
"In post","2022","SEO/HEO","Heterosexual / straight","Property","2820","2720","37430","36380"
"In post","2022","SEO/HEO","Heterosexual / straight","Security","1860","1820","38840","37000"
"In post","2022","SEO/HEO","Heterosexual / straight","Unknown","17680","17060","38020","37450"
"In post","2022","SEO/HEO","LGBO","Analysis","320","310","35670","34710"
"In post","2022","SEO/HEO","LGBO","Commercial","100","100","36340","36500"
"In post","2022","SEO/HEO","LGBO","Communications","210","210","36680","34110"
"In post","2022","SEO/HEO","LGBO","Counter Fraud","190","190","35800","33370"
"In post","2022","SEO/HEO","LGBO","Debt","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","LGBO","Digital, Data & Technology","480","470","36540","36050"
"In post","2022","SEO/HEO","LGBO","Finance","190","190","35890","35310"
"In post","2022","SEO/HEO","LGBO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","LGBO","Human Resources","270","260","35500","34020"
"In post","2022","SEO/HEO","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","LGBO","Legal","100","90","39350","38180"
"In post","2022","SEO/HEO","LGBO","No function","2850","2800","36510","35080"
"In post","2022","SEO/HEO","LGBO","Project Delivery","450","450","35980","35630"
"In post","2022","SEO/HEO","LGBO","Property","110","110","36850","36180"
"In post","2022","SEO/HEO","LGBO","Security","100","100","37430","36140"
"In post","2022","SEO/HEO","LGBO","Unknown","980","950","37400","37000"
"In post","2022","SEO/HEO","Undeclared","Analysis","330","320","36840","36660"
"In post","2022","SEO/HEO","Undeclared","Commercial","290","280","38240","39650"
"In post","2022","SEO/HEO","Undeclared","Communications","230","220","36700","34980"
"In post","2022","SEO/HEO","Undeclared","Counter Fraud","530","500","36670","35450"
"In post","2022","SEO/HEO","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Undeclared","Digital, Data & Technology","1240","1200","37640","37300"
"In post","2022","SEO/HEO","Undeclared","Finance","530","510","37680","36820"
"In post","2022","SEO/HEO","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Undeclared","Human Resources","300","290","36680","36140"
"In post","2022","SEO/HEO","Undeclared","Internal Audit","50","50","40620","39980"
"In post","2022","SEO/HEO","Undeclared","Legal","120","110","40070","38000"
"In post","2022","SEO/HEO","Undeclared","No function","4880","4650","37620","36360"
"In post","2022","SEO/HEO","Undeclared","Project Delivery","1270","1200","37440","37930"
"In post","2022","SEO/HEO","Undeclared","Property","370","350","38260","36990"
"In post","2022","SEO/HEO","Undeclared","Security","320","310","40160","38160"
"In post","2022","SEO/HEO","Undeclared","Unknown","2340","2260","38200","37640"
"In post","2022","SEO/HEO","Unknown","Analysis","940","910","35530","36580"
"In post","2022","SEO/HEO","Unknown","Commercial","420","410","37580","38070"
"In post","2022","SEO/HEO","Unknown","Communications","840","820","36070","33370"
"In post","2022","SEO/HEO","Unknown","Counter Fraud","1290","1240","36530","35120"
"In post","2022","SEO/HEO","Unknown","Debt","70","60","35940","33370"
"In post","2022","SEO/HEO","Unknown","Digital, Data & Technology","1940","1900","37610","36840"
"In post","2022","SEO/HEO","Unknown","Finance","880","850","37400","36840"
"In post","2022","SEO/HEO","Unknown","Grants Management","120","110","32230","30760"
"In post","2022","SEO/HEO","Unknown","Human Resources","550","520","35730","35120"
"In post","2022","SEO/HEO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","Legal","400","380","38820","37730"
"In post","2022","SEO/HEO","Unknown","No function","11730","11310","35610","33840"
"In post","2022","SEO/HEO","Unknown","Project Delivery","1950","1860","36710","37930"
"In post","2022","SEO/HEO","Unknown","Property","600","580","38050","37730"
"In post","2022","SEO/HEO","Unknown","Security","390","380","38310","37000"
"In post","2022","SEO/HEO","Unknown","Unknown","3310","3200","38770","38180"
"In post","2022","Unknown","Heterosexual / straight","Commercial","130","130","40030","37560"
"In post","2022","Unknown","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Heterosexual / straight","Digital, Data & Technology","60","60","34760","32020"
"In post","2022","Unknown","Heterosexual / straight","Finance","50","50","[c]","[c]"
"In post","2022","Unknown","Heterosexual / straight","Human Resources","40","30","[c]","[c]"
"In post","2022","Unknown","Heterosexual / straight","No function","13560","12610","30430","28200"
"In post","2022","Unknown","Heterosexual / straight","Project Delivery","1280","1250","41290","39860"
"In post","2022","Unknown","Heterosexual / straight","Property","40","40","[c]","[c]"
"In post","2022","Unknown","Heterosexual / straight","Security","150","140","32470","29680"
"In post","2022","Unknown","Heterosexual / straight","Unknown","210","200","40710","35710"
"In post","2022","Unknown","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","LGBO","No function","960","930","29770","26810"
"In post","2022","Unknown","LGBO","Project Delivery","50","50","[c]","[c]"
"In post","2022","Unknown","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","No function","1130","1040","32270","32090"
"In post","2022","Unknown","Undeclared","Project Delivery","160","160","44760","42680"
"In post","2022","Unknown","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Unknown","50","50","[c]","[c]"
"In post","2022","Unknown","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","No function","3560","3200","28230","26310"
"In post","2022","Unknown","Unknown","Project Delivery","130","120","36930","33180"
"In post","2022","Unknown","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Unknown","1800","1800","37340","34020"
"Leaver CS","2021","AA/AO","Heterosexual / straight","Analysis","50","50","[c]","[c]"
"Leaver CS","2021","AA/AO","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Heterosexual / straight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Heterosexual / straight","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Heterosexual / straight","Human Resources","50","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Heterosexual / straight","Legal","70","60","22240","21950"
"Leaver CS","2021","AA/AO","Heterosexual / straight","No function","2650","2390","20400","20100"
"Leaver CS","2021","AA/AO","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Heterosexual / straight","Property","70","60","19950","19560"
"Leaver CS","2021","AA/AO","Heterosexual / straight","Security","190","180","27470","21720"
"Leaver CS","2021","AA/AO","Heterosexual / straight","Unknown","2030","1760","21250","21010"
"Leaver CS","2021","AA/AO","LGBO","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","LGBO","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","LGBO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","LGBO","No function","200","190","19880","19690"
"Leaver CS","2021","AA/AO","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","LGBO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","LGBO","Unknown","100","100","21590","21010"
"Leaver CS","2021","AA/AO","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Undeclared","Legal","60","60","21840","20850"
"Leaver CS","2021","AA/AO","Undeclared","No function","380","320","20290","20100"
"Leaver CS","2021","AA/AO","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Undeclared","Unknown","250","210","21150","21010"
"Leaver CS","2021","AA/AO","Unknown","Analysis","40","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Unknown","Grants Management","50","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Unknown","No function","1890","1720","20660","20450"
"Leaver CS","2021","AA/AO","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Unknown","Property","100","90","21660","20880"
"Leaver CS","2021","AA/AO","Unknown","Security","90","90","25430","22650"
"Leaver CS","2021","AA/AO","Unknown","Unknown","3330","2660","21130","21010"
"Leaver CS","2021","EO","Heterosexual / straight","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Heterosexual / straight","Digital, Data & Technology","40","40","[c]","[c]"
"Leaver CS","2021","EO","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Heterosexual / straight","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Heterosexual / straight","Human Resources","40","30","[c]","[c]"
"Leaver CS","2021","EO","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Heterosexual / straight","Legal","50","40","[c]","[c]"
"Leaver CS","2021","EO","Heterosexual / straight","No function","650","590","26940","26600"
"Leaver CS","2021","EO","Heterosexual / straight","Project Delivery","130","120","22870","22120"
"Leaver CS","2021","EO","Heterosexual / straight","Property","80","70","26210","26000"
"Leaver CS","2021","EO","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Heterosexual / straight","Unknown","1600","1390","27910","27570"
"Leaver CS","2021","EO","LGBO","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","LGBO","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","LGBO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","LGBO","No function","40","30","[c]","[c]"
"Leaver CS","2021","EO","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","LGBO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","LGBO","Unknown","90","80","27600","27570"
"Leaver CS","2021","EO","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Undeclared","No function","140","120","27730","26780"
"Leaver CS","2021","EO","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Undeclared","Unknown","250","210","27930","27570"
"Leaver CS","2021","EO","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","No function","390","360","27180","26520"
"Leaver CS","2021","EO","Unknown","Project Delivery","50","50","19930","19040"
"Leaver CS","2021","EO","Unknown","Property","70","60","26730","25500"
"Leaver CS","2021","EO","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Unknown","2230","1820","28080","27570"
"Leaver CS","2021","G6/G7","Heterosexual / straight","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Heterosexual / straight","Commercial","30","30","[c]","[c]"
"Leaver CS","2021","G6/G7","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Heterosexual / straight","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Heterosexual / straight","Digital, Data & Technology","60","50","59650","58190"
"Leaver CS","2021","G6/G7","Heterosexual / straight","Finance","40","30","[c]","[c]"
"Leaver CS","2021","G6/G7","Heterosexual / straight","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Heterosexual / straight","Human Resources","40","40","[c]","[c]"
"Leaver CS","2021","G6/G7","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Heterosexual / straight","Legal","150","130","58190","55610"
"Leaver CS","2021","G6/G7","Heterosexual / straight","No function","320","300","60970","57200"
"Leaver CS","2021","G6/G7","Heterosexual / straight","Project Delivery","100","90","58630","56350"
"Leaver CS","2021","G6/G7","Heterosexual / straight","Property","30","30","[c]","[c]"
"Leaver CS","2021","G6/G7","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Heterosexual / straight","Unknown","350","310","61870","60740"
"Leaver CS","2021","G6/G7","LGBO","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","LGBO","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","LGBO","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","LGBO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","LGBO","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","LGBO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Undeclared","No function","70","60","61490","58230"
"Leaver CS","2021","G6/G7","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Undeclared","Unknown","70","60","62960","63180"
"Leaver CS","2021","G6/G7","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Commercial","30","30","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Digital, Data & Technology","50","50","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Legal","70","60","60970","57320"
"Leaver CS","2021","G6/G7","Unknown","No function","180","170","58620","56950"
"Leaver CS","2021","G6/G7","Unknown","Project Delivery","30","30","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Unknown","590","480","61530","59090"
"Leaver CS","2021","SCS","Heterosexual / straight","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Heterosexual / straight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Heterosexual / straight","No function","90","80","105390","104580"
"Leaver CS","2021","SCS","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Heterosexual / straight","Unknown","70","70","88340","81760"
"Leaver CS","2021","SCS","LGBO","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","LGBO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","LGBO","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Undeclared","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","No function","40","40","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Unknown","90","60","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Heterosexual / straight","Analysis","40","40","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Heterosexual / straight","Commercial","70","60","38520","37670"
"Leaver CS","2021","SEO/HEO","Heterosexual / straight","Communications","70","70","35120","33300"
"Leaver CS","2021","SEO/HEO","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Heterosexual / straight","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Heterosexual / straight","Digital, Data & Technology","80","80","38090","38550"
"Leaver CS","2021","SEO/HEO","Heterosexual / straight","Finance","70","60","39190","37900"
"Leaver CS","2021","SEO/HEO","Heterosexual / straight","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Heterosexual / straight","Human Resources","80","80","38770","38580"
"Leaver CS","2021","SEO/HEO","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Heterosexual / straight","Legal","70","60","41930","43460"
"Leaver CS","2021","SEO/HEO","Heterosexual / straight","No function","820","740","37200","36030"
"Leaver CS","2021","SEO/HEO","Heterosexual / straight","Project Delivery","280","260","36260","35660"
"Leaver CS","2021","SEO/HEO","Heterosexual / straight","Property","100","90","37630","36460"
"Leaver CS","2021","SEO/HEO","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Heterosexual / straight","Unknown","870","800","36900","36500"
"Leaver CS","2021","SEO/HEO","LGBO","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","LGBO","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
