"Status","Year","Sexual_orientation","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Undeclared","Digital, Data & Technology","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","HM Courts and Tribunals Service","30","30","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","HM Land Registry","70","70","38480","38450"
"In post","2022","Undeclared","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","240","230","40780","35980"
"In post","2022","Undeclared","Digital, Data & Technology","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","Met Office","270","250","39070","39650"
"In post","2022","Undeclared","Digital, Data & Technology","Ministry of Defence (excl. agencies)","390","380","34500","33300"
"In post","2022","Undeclared","Digital, Data & Technology","Ministry of Justice (excl. agencies)","80","80","50740","53000"
"In post","2022","Undeclared","Digital, Data & Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Defence Equipment and Support","30","30","[c]","[c]"
"In post","2022","Undeclared","Finance","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Department for Education (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Undeclared","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Department for Work and Pensions (excl. agencies)","160","150","37530","34800"
"In post","2022","Undeclared","Finance","Department of Health and Social Care (excl. agencies)","190","190","42490","40650"
"In post","2022","Undeclared","Finance","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Education and Skills Funding Agency","60","60","42250","38530"
"In post","2022","Undeclared","Finance","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","HM Revenue and Customs (excl. agencies)","240","210","32110","26820"
"In post","2022","Undeclared","Finance","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Ministry of Defence (excl. agencies)","210","200","39070","35000"
"In post","2022","Undeclared","Finance","Ministry of Justice (excl. agencies)","50","40","[c]","[c]"
"In post","2022","Undeclared","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Grants Management","Rural Payments Agency","90","80","24990","21300"
"In post","2022","Undeclared","Grants Management","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Cabinet Office (excl. agencies)","60","50","42040","37300"
"In post","2022","Undeclared","Human Resources","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Department for Work and Pensions (excl. agencies)","110","100","30530","27570"
"In post","2022","Undeclared","Human Resources","Department of Health and Social Care (excl. agencies)","50","50","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","HM Revenue and Customs (excl. agencies)","100","90","34660","32050"
"In post","2022","Undeclared","Human Resources","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Ministry of Defence (excl. agencies)","190","170","30960","26670"
"In post","2022","Undeclared","Human Resources","Ministry of Justice (excl. agencies)","70","70","40650","36450"
"In post","2022","Undeclared","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","Government Internal Audit Agency","50","40","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Crown Office and Procurator Fiscal Service","50","40","[c]","[c]"
"In post","2022","Undeclared","Legal","Crown Prosecution Service","200","190","40180","33310"
"In post","2022","Undeclared","Legal","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Government Legal Department","170","160","54810","52730"
"In post","2022","Undeclared","Legal","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","HM Land Registry","40","30","[c]","[c]"
"In post","2022","Undeclared","Legal","HM Revenue and Customs (excl. agencies)","90","90","43830","33440"
"In post","2022","Undeclared","Legal","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","Advisory, Conciliation and Arbitration Service","90","80","32880","31320"
"In post","2022","Undeclared","No function","Animal and Plant Health Agency","330","310","33650","30240"
"In post","2022","Undeclared","No function","Cabinet Office (excl. agencies)","170","170","46670","41700"
"In post","2022","Undeclared","No function","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","Companies House","40","40","[c]","[c]"
"In post","2022","Undeclared","No function","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","Crown Office and Procurator Fiscal Service","60","60","29060","23230"
"In post","2022","Undeclared","No function","Defence Electronics and Components Agency","240","230","29410","29470"
"In post","2022","Undeclared","No function","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","Defence Science and Technology Laboratory","40","40","[c]","[c]"
"In post","2022","Undeclared","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","470","460","51030","53380"
"In post","2022","Undeclared","No function","Department for Digital, Culture, Media and Sport","120","120","44340","37970"
"In post","2022","Undeclared","No function","Department for Education (excl. agencies)","230","220","45480","41990"
"In post","2022","Undeclared","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","290","280","41030","37020"
"In post","2022","Undeclared","No function","Department for International Trade","100","100","47480","51710"
"In post","2022","Undeclared","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","160","160","44520","39600"
"In post","2022","Undeclared","No function","Department for Transport (excl. agencies)","180","170","51010","46710"
"In post","2022","Undeclared","No function","Department for Work and Pensions (excl. agencies)","5630","4990","26020","27570"
"In post","2022","Undeclared","No function","Department of Health and Social Care (excl. agencies)","750","730","48050","47090"
"In post","2022","Undeclared","No function","Driver and Vehicle Licensing Agency","1100","880","22480","21840"
"In post","2022","Undeclared","No function","Driver and Vehicle Standards Agency","720","640","28560","26780"
"In post","2022","Undeclared","No function","Education and Skills Funding Agency","60","60","41880","37030"
"In post","2022","Undeclared","No function","Food Standards Agency","100","100","37880","36210"
"In post","2022","Undeclared","No function","Foreign, Commonwealth and Development Office (excl. agencies)","380","370","48640","43250"
"In post","2022","Undeclared","No function","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","Health and Safety Executive","360","340","44190","41480"
"In post","2022","Undeclared","No function","HM Courts and Tribunals Service","1770","1590","26870","21650"
"In post","2022","Undeclared","No function","HM Land Registry","520","450","30730","27130"
"In post","2022","Undeclared","No function","HM Prison and Probation Service","4100","3820","31850","31650"
"In post","2022","Undeclared","No function","HM Revenue and Customs (excl. agencies)","2130","1920","33060","28920"
"In post","2022","Undeclared","No function","HM Treasury (excl. agencies)","200","200","44950","41500"
"In post","2022","Undeclared","No function","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","Intellectual Property Office","50","50","38640","37600"
"In post","2022","Undeclared","No function","Legal Aid Agency","120","110","30110","25120"
"In post","2022","Undeclared","No function","Maritime and Coastguard Agency","130","130","38250","36040"
"In post","2022","Undeclared","No function","Medicines and Healthcare Products Regulatory Agency","100","100","54200","53360"
"In post","2022","Undeclared","No function","Ministry of Justice (excl. agencies)","170","160","42550","41100"
"In post","2022","Undeclared","No function","National Crime Agency","310","300","39360","36740"
"In post","2022","Undeclared","No function","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","Office for Standards in Education, Children's Services and Skills","70","70","50810","51360"
"In post","2022","Undeclared","No function","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2022","Undeclared","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","Office of the Public Guardian","120","110","24980","21410"
"In post","2022","Undeclared","No function","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","Planning Inspectorate","60","50","44880","47660"
"In post","2022","Undeclared","No function","Registers of Scotland","60","50","32480","30840"
"In post","2022","Undeclared","No function","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","Scottish Prison Service","50","50","35700","35000"
"In post","2022","Undeclared","No function","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","The Insolvency Service","30","30","[c]","[c]"
"In post","2022","Undeclared","No function","The National Archives","40","40","[c]","[c]"
"In post","2022","Undeclared","No function","UK Health Security Agency","540","480","43430","38200"
"In post","2022","Undeclared","No function","UK Hydrographic Office","40","40","[c]","[c]"
"In post","2022","Undeclared","No function","UK Statistics Authority","110","90","28450","23880"
"In post","2022","Undeclared","No function","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","No function","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Defence Equipment and Support","980","940","39150","38240"
"In post","2022","Undeclared","Project Delivery","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Department for Transport (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Department for Work and Pensions (excl. agencies)","130","110","34380","31990"
"In post","2022","Undeclared","Project Delivery","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","HM Revenue and Customs (excl. agencies)","350","330","44970","40520"
"In post","2022","Undeclared","Project Delivery","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Met Office","80","80","40700","39650"
"In post","2022","Undeclared","Project Delivery","Ministry of Defence (excl. agencies)","290","280","45570","40580"
"In post","2022","Undeclared","Project Delivery","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Submarine Delivery Agency","160","160","44760","42680"
"In post","2022","Undeclared","Project Delivery","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Valuation Office Agency","[c]","[c]","[c]","[c]"
