"Status","Year","Region_ITL3","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Shetland Islands","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Shetland Islands","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Shetland Islands","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","No function","AA/AO","260","250","25520","25790"
"In post","2021","Shropshire CC","No function","EO","90","90","28130","26780"
"In post","2021","Shropshire CC","No function","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","No function","SEO/HEO","70","60","39470","37380"
"In post","2021","Shropshire CC","No function","Unknown","40","30","[c]","[c]"
"In post","2021","Shropshire CC","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","Unknown","AA/AO","160","150","20830","20920"
"In post","2021","Shropshire CC","Unknown","EO","280","270","28700","27960"
"In post","2021","Shropshire CC","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Shropshire CC","Unknown","SEO/HEO","60","60","37850","36300"
"In post","2021","Shropshire CC","Unknown","Unknown","50","50","[c]","[c]"
"In post","2021","Solihull","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Solihull","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Solihull","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Solihull","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Solihull","Counter Fraud","EO","70","60","25910","25560"
"In post","2021","Solihull","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Solihull","Counter Fraud","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Solihull","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Solihull","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Solihull","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Solihull","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Solihull","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Solihull","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Solihull","No function","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Solihull","No function","EO","[c]","[c]","[c]","[c]"
"In post","2021","Solihull","No function","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Solihull","No function","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Solihull","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Solihull","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Solihull","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Solihull","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Solihull","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Solihull","Unknown","AA/AO","200","180","21120","21430"
"In post","2021","Solihull","Unknown","EO","450","410","26280","26010"
"In post","2021","Solihull","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Solihull","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Solihull","Unknown","SEO/HEO","220","210","33870","32740"
"In post","2021","Solihull","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Digital, Data & Technology","SEO/HEO","150","140","38130","35340"
"In post","2021","Somerset","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","No function","AA/AO","140","130","20220","20170"
"In post","2021","Somerset","No function","EO","240","220","27210","26740"
"In post","2021","Somerset","No function","G6/G7","30","30","[c]","[c]"
"In post","2021","Somerset","No function","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","No function","SEO/HEO","300","290","36140","33290"
"In post","2021","Somerset","No function","Unknown","70","60","27330","28200"
"In post","2021","Somerset","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Project Delivery","EO","60","50","24220","25000"
"In post","2021","Somerset","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Project Delivery","SEO/HEO","270","250","36750","36460"
"In post","2021","Somerset","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Security","AA/AO","40","40","[c]","[c]"
"In post","2021","Somerset","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Unknown","AA/AO","310","280","20710","21010"
"In post","2021","Somerset","Unknown","EO","360","320","27500","27570"
"In post","2021","Somerset","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Somerset","Unknown","SEO/HEO","90","80","33720","33300"
"In post","2021","South and West Derbyshire","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","South and West Derbyshire","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South and West Derbyshire","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South and West Derbyshire","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","South and West Derbyshire","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","South and West Derbyshire","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South and West Derbyshire","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","South and West Derbyshire","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South and West Derbyshire","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","South and West Derbyshire","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South and West Derbyshire","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South and West Derbyshire","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South and West Derbyshire","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","South and West Derbyshire","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South and West Derbyshire","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South and West Derbyshire","No function","AA/AO","300","280","24970","23970"
"In post","2021","South and West Derbyshire","No function","EO","140","130","28580","27380"
"In post","2021","South and West Derbyshire","No function","G6/G7","80","70","62310","59150"
"In post","2021","South and West Derbyshire","No function","SCS","[c]","[c]","[c]","[c]"
"In post","2021","South and West Derbyshire","No function","SEO/HEO","210","190","38880","38160"
"In post","2021","South and West Derbyshire","No function","Unknown","40","40","[c]","[c]"
"In post","2021","South and West Derbyshire","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","South and West Derbyshire","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","South and West Derbyshire","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South and West Derbyshire","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South and West Derbyshire","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","South and West Derbyshire","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South and West Derbyshire","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South and West Derbyshire","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","South and West Derbyshire","Unknown","AA/AO","40","30","[c]","[c]"
"In post","2021","South and West Derbyshire","Unknown","EO","230","190","27450","27570"
"In post","2021","South and West Derbyshire","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South and West Derbyshire","Unknown","SEO/HEO","50","50","33570","33180"
"In post","2021","South Ayrshire","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South Ayrshire","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","South Ayrshire","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","South Ayrshire","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South Ayrshire","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South Ayrshire","No function","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","South Ayrshire","No function","EO","[c]","[c]","[c]","[c]"
"In post","2021","South Ayrshire","No function","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South Ayrshire","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South Ayrshire","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","South Ayrshire","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","South Ayrshire","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","South Ayrshire","Unknown","AA/AO","30","30","[c]","[c]"
"In post","2021","South Ayrshire","Unknown","EO","160","150","27560","27570"
"In post","2021","South Ayrshire","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South Ayrshire","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Analysis","EO","50","40","[c]","[c]"
"In post","2021","South Hampshire","Analysis","G6/G7","110","100","52390","50090"
"In post","2021","South Hampshire","Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Analysis","SEO/HEO","280","270","33250","32020"
"In post","2021","South Hampshire","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Digital, Data & Technology","EO","30","30","[c]","[c]"
"In post","2021","South Hampshire","Digital, Data & Technology","G6/G7","50","50","[c]","[c]"
"In post","2021","South Hampshire","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Digital, Data & Technology","SEO/HEO","80","80","34890","36030"
"In post","2021","South Hampshire","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Human Resources","SEO/HEO","40","40","[c]","[c]"
"In post","2021","South Hampshire","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Legal","EO","30","30","[c]","[c]"
"In post","2021","South Hampshire","Legal","G6/G7","70","70","59540","62140"
"In post","2021","South Hampshire","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","No function","AA/AO","1110","720","20030","19520"
"In post","2021","South Hampshire","No function","EO","280","270","25000","23050"
"In post","2021","South Hampshire","No function","G6/G7","100","100","51240","49110"
"In post","2021","South Hampshire","No function","SCS","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","No function","SEO/HEO","390","380","33590","33020"
"In post","2021","South Hampshire","No function","Unknown","70","60","26380","22920"
"In post","2021","South Hampshire","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Project Delivery","EO","170","160","21940","20950"
"In post","2021","South Hampshire","Project Delivery","G6/G7","40","40","[c]","[c]"
"In post","2021","South Hampshire","Project Delivery","SEO/HEO","160","160","32890","31510"
"In post","2021","South Hampshire","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Security","AA/AO","90","90","21990","19560"
"In post","2021","South Hampshire","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Unknown","AA/AO","110","90","20960","21010"
"In post","2021","South Hampshire","Unknown","EO","360","330","29230","27570"
"In post","2021","South Hampshire","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","South Hampshire","Unknown","SEO/HEO","140","130","37010","34610"
"In post","2021","South Hampshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Commercial","G6/G7","30","30","[c]","[c]"
"In post","2021","South Lanarkshire","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Commercial","SEO/HEO","40","40","[c]","[c]"
"In post","2021","South Lanarkshire","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Counter Fraud","EO","50","40","[c]","[c]"
"In post","2021","South Lanarkshire","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Debt","AA/AO","250","230","20240","20140"
"In post","2021","South Lanarkshire","Debt","EO","30","30","[c]","[c]"
"In post","2021","South Lanarkshire","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Debt","SCS","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Digital, Data & Technology","EO","50","40","[c]","[c]"
"In post","2021","South Lanarkshire","Digital, Data & Technology","G6/G7","60","50","52820","51930"
"In post","2021","South Lanarkshire","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Digital, Data & Technology","SEO/HEO","150","150","36250","33930"
"In post","2021","South Lanarkshire","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Finance","G6/G7","40","40","[c]","[c]"
"In post","2021","South Lanarkshire","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Finance","SEO/HEO","50","50","35080","33930"
"In post","2021","South Lanarkshire","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Internal Audit","SEO/HEO","30","30","[c]","[c]"
"In post","2021","South Lanarkshire","Legal","AA/AO","40","40","[c]","[c]"
"In post","2021","South Lanarkshire","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Legal","SEO/HEO","50","40","[c]","[c]"
"In post","2021","South Lanarkshire","No function","AA/AO","1020","850","20620","20140"
"In post","2021","South Lanarkshire","No function","EO","380","320","25930","25560"
"In post","2021","South Lanarkshire","No function","G6/G7","40","40","[c]","[c]"
"In post","2021","South Lanarkshire","No function","SCS","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","No function","SEO/HEO","310","280","33240","31810"
"In post","2021","South Lanarkshire","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Project Delivery","EO","100","90","25620","26120"
"In post","2021","South Lanarkshire","Project Delivery","G6/G7","200","200","54760","53800"
"In post","2021","South Lanarkshire","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Project Delivery","SEO/HEO","230","220","34970","33930"
"In post","2021","South Lanarkshire","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Unknown","EO","150","130","27270","27570"
"In post","2021","South Lanarkshire","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South Lanarkshire","Unknown","SEO/HEO","30","30","[c]","[c]"
"In post","2021","South Nottinghamshire","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South Nottinghamshire","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","South Nottinghamshire","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","South Nottinghamshire","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South Nottinghamshire","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","South Nottinghamshire","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South Nottinghamshire","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2021","South Nottinghamshire","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","South Nottinghamshire","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South Nottinghamshire","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South Nottinghamshire","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","South Nottinghamshire","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","South Nottinghamshire","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South Nottinghamshire","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South Nottinghamshire","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","South Nottinghamshire","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South Nottinghamshire","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South Nottinghamshire","No function","AA/AO","260","240","25260","23970"
"In post","2021","South Nottinghamshire","No function","EO","130","120","28600","27380"
"In post","2021","South Nottinghamshire","No function","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South Nottinghamshire","No function","SCS","[c]","[c]","[c]","[c]"
"In post","2021","South Nottinghamshire","No function","SEO/HEO","110","110","39200","38160"
"In post","2021","South Nottinghamshire","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","South Nottinghamshire","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","South Nottinghamshire","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","South Nottinghamshire","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South Nottinghamshire","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South Nottinghamshire","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","South Nottinghamshire","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","South Nottinghamshire","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South Nottinghamshire","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South Nottinghamshire","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","South Nottinghamshire","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South Nottinghamshire","Unknown","AA/AO","70","70","21030","21130"
"In post","2021","South Nottinghamshire","Unknown","EO","60","50","27350","27570"
"In post","2021","South Nottinghamshire","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South Nottinghamshire","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South Teesside","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South Teesside","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South Teesside","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","South Teesside","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","South Teesside","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","South Teesside","Human Resources","EO","[c]","[c]","[c]","[c]"
