"Status","Year","Region_ITL2","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Outer London - East and North East","Property","[c]","[c]","[c]","[c]"
"In post","2022","Outer London - East and North East","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Outer London - East and North East","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Outer London - East and North East","Security","40","40","[c]","[c]"
"In post","2022","Outer London - East and North East","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Outer London - East and North East","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Outer London - East and North East","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Outer London - South","Commercial","110","110","43200","41950"
"In post","2022","Outer London - South","Communications","40","40","[c]","[c]"
"In post","2022","Outer London - South","Counter Fraud","90","80","33920","31880"
"In post","2022","Outer London - South","Digital, Data and Technology","830","810","50540","45170"
"In post","2022","Outer London - South","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Outer London - South","Finance","240","230","47480","43420"
"In post","2022","Outer London - South","Human Resources","380","360","46860","41970"
"In post","2022","Outer London - South","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Outer London - South","Intelligence Analysis","160","160","35160","31520"
"In post","2022","Outer London - South","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Outer London - South","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Outer London - South","Knowledge and Information Management","40","30","[c]","[c]"
"In post","2022","Outer London - South","Legal","470","450","42890","37930"
"In post","2022","Outer London - South","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Outer London - South","Operational Delivery","5840","5470","33150","30110"
"In post","2022","Outer London - South","Operational Research","50","50","46440","41990"
"In post","2022","Outer London - South","Other","650","620","37790","35050"
"In post","2022","Outer London - South","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Outer London - South","Policy","330","320","53040","57430"
"In post","2022","Outer London - South","Project Delivery","690","680","48150","42410"
"In post","2022","Outer London - South","Property","220","210","39780","35290"
"In post","2022","Outer London - South","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Outer London - South","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Outer London - South","Security","170","170","32720","29220"
"In post","2022","Outer London - South","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Outer London - South","Statistics","70","70","39510","36240"
"In post","2022","Outer London - South","Tax","940","890","43650","37930"
"In post","2022","Outer London - South","Unknown","380","370","43300","37930"
"In post","2022","Outer London - West and North West","Commercial","70","60","36850","32090"
"In post","2022","Outer London - West and North West","Communications","40","40","[c]","[c]"
"In post","2022","Outer London - West and North West","Counter Fraud","130","120","32580","31880"
"In post","2022","Outer London - West and North West","Digital, Data and Technology","340","330","42680","41030"
"In post","2022","Outer London - West and North West","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Outer London - West and North West","Finance","70","70","42380","37890"
"In post","2022","Outer London - West and North West","Human Resources","110","100","39660","35050"
"In post","2022","Outer London - West and North West","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Outer London - West and North West","Intelligence Analysis","450","410","32690","30410"
"In post","2022","Outer London - West and North West","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Outer London - West and North West","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Outer London - West and North West","Knowledge and Information Management","120","110","34900","31040"
"In post","2022","Outer London - West and North West","Legal","60","50","50090","48560"
"In post","2022","Outer London - West and North West","Medicine","70","60","95130","96950"
"In post","2022","Outer London - West and North West","Operational Delivery","6170","5700","31490","30780"
"In post","2022","Outer London - West and North West","Other","490","480","29700","28040"
"In post","2022","Outer London - West and North West","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Outer London - West and North West","Policy","90","80","43460","40050"
"In post","2022","Outer London - West and North West","Project Delivery","40","40","[c]","[c]"
"In post","2022","Outer London - West and North West","Property","180","170","37760","31980"
"In post","2022","Outer London - West and North West","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Outer London - West and North West","Science and Engineering","530","520","42340","40070"
"In post","2022","Outer London - West and North West","Security","70","70","27110","23150"
"In post","2022","Outer London - West and North West","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Outer London - West and North West","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Outer London - West and North West","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Outer London - West and North West","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Outer London - West and North West","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Commercial","40","40","[c]","[c]"
"In post","2022","Overseas","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2022","Overseas","Economics","30","30","[c]","[c]"
"In post","2022","Overseas","Finance","80","80","38690","33300"
"In post","2022","Overseas","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Human Resources","40","40","[c]","[c]"
"In post","2022","Overseas","Intelligence Analysis","70","70","44150","40580"
"In post","2022","Overseas","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","International Trade","160","160","55790","53750"
"In post","2022","Overseas","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Medicine","60","60","56210","53480"
"In post","2022","Overseas","Operational Delivery","300","290","46520","45420"
"In post","2022","Overseas","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Other","560","550","48940","46600"
"In post","2022","Overseas","Policy","1700","1690","52460","53470"
"In post","2022","Overseas","Project Delivery","130","130","50230","51500"
"In post","2022","Overseas","Property","180","180","39380","38080"
"In post","2022","Overseas","Science and Engineering","140","140","42290","40580"
"In post","2022","Overseas","Security","90","90","36210","34220"
"In post","2022","Overseas","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Unknown","40","30","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Commercial","120","120","38280","33370"
"In post","2022","Shropshire and Staffordshire","Communications","50","50","35010","33000"
"In post","2022","Shropshire and Staffordshire","Counter Fraud","100","90","28230","27570"
"In post","2022","Shropshire and Staffordshire","Digital, Data and Technology","410","400","42060","40520"
"In post","2022","Shropshire and Staffordshire","Finance","300","290","38870","33300"
"In post","2022","Shropshire and Staffordshire","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Human Resources","120","110","37770","33640"
"In post","2022","Shropshire and Staffordshire","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Knowledge and Information Management","100","90","25610","20970"
"In post","2022","Shropshire and Staffordshire","Legal","70","70","50560","51470"
"In post","2022","Shropshire and Staffordshire","Medicine","100","90","50980","42120"
"In post","2022","Shropshire and Staffordshire","Operational Delivery","5420","4980","27800","26880"
"In post","2022","Shropshire and Staffordshire","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Other","840","800","27450","27570"
"In post","2022","Shropshire and Staffordshire","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Policy","80","70","36210","33630"
"In post","2022","Shropshire and Staffordshire","Project Delivery","280","270","42970","40520"
"In post","2022","Shropshire and Staffordshire","Property","270","260","36410","33300"
"In post","2022","Shropshire and Staffordshire","Psychology","110","100","31040","29060"
"In post","2022","Shropshire and Staffordshire","Science and Engineering","70","70","31400","25190"
"In post","2022","Shropshire and Staffordshire","Security","180","180","30580","26820"
"In post","2022","Shropshire and Staffordshire","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Tax","60","60","38270","33600"
"In post","2022","Shropshire and Staffordshire","Unknown","100","100","50060","40580"
"In post","2022","Shropshire and Staffordshire","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Commercial","260","240","35610","33650"
"In post","2022","South Yorkshire","Communications","50","50","40170","38180"
"In post","2022","South Yorkshire","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Counter Fraud","130","120","28320","27570"
"In post","2022","South Yorkshire","Digital, Data and Technology","660","640","44220","40830"
"In post","2022","South Yorkshire","Economics","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Finance","370","350","39410","35760"
"In post","2022","South Yorkshire","Human Resources","210","190","38410","33300"
"In post","2022","South Yorkshire","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Intelligence Analysis","100","90","28730","27370"
"In post","2022","South Yorkshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2022","South Yorkshire","Legal","90","90","45100","48080"
"In post","2022","South Yorkshire","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Operational Delivery","6240","5630","27550","25700"
"In post","2022","South Yorkshire","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Other","500","440","26930","21830"
"In post","2022","South Yorkshire","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Policy","940","890","42810","37100"
"In post","2022","South Yorkshire","Project Delivery","230","210","40210","37450"
"In post","2022","South Yorkshire","Property","180","170","40110","36500"
"In post","2022","South Yorkshire","Psychology","40","40","[c]","[c]"
"In post","2022","South Yorkshire","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Security","160","150","36050","36910"
"In post","2022","South Yorkshire","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Statistics","60","50","44190","38250"
"In post","2022","South Yorkshire","Unknown","140","130","45700","43160"
"In post","2022","Southern Scotland","Commercial","50","50","[c]","[c]"
"In post","2022","Southern Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Counter Fraud","210","190","23800","21260"
"In post","2022","Southern Scotland","Digital, Data and Technology","210","210","41300","38500"
"In post","2022","Southern Scotland","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Finance","80","70","36830","33930"
"In post","2022","Southern Scotland","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Human Resources","60","50","41880","36750"
"In post","2022","Southern Scotland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Legal","110","100","52760","52520"
"In post","2022","Southern Scotland","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Operational Delivery","3250","2870","26460","26120"
"In post","2022","Southern Scotland","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Other","320","310","29420","26110"
"In post","2022","Southern Scotland","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Policy","130","120","48500","49920"
"In post","2022","Southern Scotland","Project Delivery","180","170","40690","38500"
"In post","2022","Southern Scotland","Property","30","30","[c]","[c]"
"In post","2022","Southern Scotland","Science and Engineering","50","40","[c]","[c]"
"In post","2022","Southern Scotland","Security","60","60","26740","21170"
"In post","2022","Southern Scotland","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Tax","380","340","32190","33080"
"In post","2022","Southern Scotland","Unknown","1040","970","31730","27940"
"In post","2022","Southern Scotland","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Commercial","40","40","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Counter Fraud","170","150","29160","27570"
"In post","2022","Surrey, East and West Sussex","Digital, Data and Technology","210","200","40730","39000"
"In post","2022","Surrey, East and West Sussex","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Finance","230","210","36370","33370"
"In post","2022","Surrey, East and West Sussex","Human Resources","70","70","39510","36010"
"In post","2022","Surrey, East and West Sussex","Inspector of Education and Training","40","40","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Intelligence Analysis","30","30","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Knowledge and Information Management","40","30","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Legal","140","130","52710","53050"
"In post","2022","Surrey, East and West Sussex","Medicine","50","50","47920","39030"
"In post","2022","Surrey, East and West Sussex","Operational Delivery","6290","5720","29250","27570"
"In post","2022","Surrey, East and West Sussex","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Other","330","300","26920","27570"
"In post","2022","Surrey, East and West Sussex","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Policy","70","60","42570","38700"
"In post","2022","Surrey, East and West Sussex","Project Delivery","80","70","39780","38830"
"In post","2022","Surrey, East and West Sussex","Property","160","150","42390","38750"
"In post","2022","Surrey, East and West Sussex","Psychology","50","40","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Science and Engineering","510","480","34290","31310"
"In post","2022","Surrey, East and West Sussex","Security","40","40","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Surrey, East and West Sussex","Unknown","130","120","41370","38750"
"In post","2022","Surrey, East and West Sussex","Veterinarian","40","30","[c]","[c]"
"In post","2022","Tees Valley and Durham","Commercial","100","90","38780","36500"
"In post","2022","Tees Valley and Durham","Communications","30","30","[c]","[c]"
"In post","2022","Tees Valley and Durham","Counter Fraud","220","190","25170","25560"
"In post","2022","Tees Valley and Durham","Digital, Data and Technology","190","180","37550","36430"
"In post","2022","Tees Valley and Durham","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Tees Valley and Durham","Finance","160","150","39590","36500"
"In post","2022","Tees Valley and Durham","Human Resources","80","70","34220","31080"
"In post","2022","Tees Valley and Durham","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Tees Valley and Durham","Intelligence Analysis","40","30","[c]","[c]"
"In post","2022","Tees Valley and Durham","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Tees Valley and Durham","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Tees Valley and Durham","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Tees Valley and Durham","Legal","130","120","48060","48080"
"In post","2022","Tees Valley and Durham","Operational Delivery","7820","7070","27070","26030"
"In post","2022","Tees Valley and Durham","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Tees Valley and Durham","Other","170","160","25380","22330"
"In post","2022","Tees Valley and Durham","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Tees Valley and Durham","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Tees Valley and Durham","Policy","330","320","39830","36500"
"In post","2022","Tees Valley and Durham","Project Delivery","100","90","37150","34430"
"In post","2022","Tees Valley and Durham","Property","160","150","37340","33130"
"In post","2022","Tees Valley and Durham","Psychology","90","90","38500","32760"
"In post","2022","Tees Valley and Durham","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Tees Valley and Durham","Security","50","50","36760","36480"
"In post","2022","Tees Valley and Durham","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Tees Valley and Durham","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Tees Valley and Durham","Tax","70","60","34280","28920"
"In post","2022","Tees Valley and Durham","Unknown","40","40","[c]","[c]"
"In post","2022","Tees Valley and Durham","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","30","30","[c]","[c]"
"In post","2022","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Medicine","40","30","[c]","[c]"
"In post","2022","Unknown","Operational Delivery","550","510","29810","27570"
"In post","2022","Unknown","Other","1940","1930","36690","33430"
"In post","2022","Unknown","Policy","40","40","[c]","[c]"
"In post","2022","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Property","40","40","[c]","[c]"
"In post","2022","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Security","70","60","28790","27370"
"In post","2022","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","500","490","37740","32000"
"In post","2022","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","West Central Scotland","Commercial","130","130","33930","33000"
"In post","2022","West Central Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2022","West Central Scotland","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","West Central Scotland","Counter Fraud","360","320","26980","27570"
"In post","2022","West Central Scotland","Digital, Data and Technology","260","250","37560","33370"
"In post","2022","West Central Scotland","Economics","[c]","[c]","[c]","[c]"
"In post","2022","West Central Scotland","Finance","220","200","32020","27570"
"In post","2022","West Central Scotland","Human Resources","510","480","26450","22330"
"In post","2022","West Central Scotland","Intelligence Analysis","60","60","31370","30900"
"In post","2022","West Central Scotland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","West Central Scotland","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","West Central Scotland","Knowledge and Information Management","40","30","[c]","[c]"
"In post","2022","West Central Scotland","Legal","530","500","46310","41750"
"In post","2022","West Central Scotland","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","West Central Scotland","Operational Delivery","9370","8450","27220","26480"
"In post","2022","West Central Scotland","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","West Central Scotland","Other","1150","1080","29030","26670"
"In post","2022","West Central Scotland","Policy","160","150","37110","30950"
"In post","2022","West Central Scotland","Project Delivery","240","230","41800","40180"
"In post","2022","West Central Scotland","Property","90","80","31450","26510"
"In post","2022","West Central Scotland","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","West Central Scotland","Science and Engineering","230","230","43350","43650"
"In post","2022","West Central Scotland","Security","1110","1070","30400","26750"
"In post","2022","West Central Scotland","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","West Central Scotland","Tax","720","680","36280","33370"
"In post","2022","West Central Scotland","Unknown","4550","4410","39600","34600"
"In post","2022","West Midlands","Commercial","150","140","37940","36500"
"In post","2022","West Midlands","Communications","90","90","42500","38810"
"In post","2022","West Midlands","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","West Midlands","Counter Fraud","380","340","28760","27570"
"In post","2022","West Midlands","Digital, Data and Technology","660","640","40880","36600"
"In post","2022","West Midlands","Economics","[c]","[c]","[c]","[c]"
"In post","2022","West Midlands","Finance","460","450","40010","36630"
"In post","2022","West Midlands","Human Resources","200","200","38370","36050"
"In post","2022","West Midlands","Inspector of Education and Training","40","30","[c]","[c]"
"In post","2022","West Midlands","Intelligence Analysis","50","50","[c]","[c]"
"In post","2022","West Midlands","Internal Audit","30","30","[c]","[c]"
"In post","2022","West Midlands","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","West Midlands","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","West Midlands","Legal","580","550","44920","47100"
"In post","2022","West Midlands","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","West Midlands","Operational Delivery","12850","11750","27840","26590"
"In post","2022","West Midlands","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","West Midlands","Other","650","590","26010","21830"
"In post","2022","West Midlands","Planning","[c]","[c]","[c]","[c]"
"In post","2022","West Midlands","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","West Midlands","Policy","810","790","40320","36500"
"In post","2022","West Midlands","Project Delivery","360","350","40920","39660"
"In post","2022","West Midlands","Property","270","260","36880","32980"
"In post","2022","West Midlands","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","West Midlands","Science and Engineering","200","190","37740","36330"
"In post","2022","West Midlands","Security","70","70","33880","30700"
"In post","2022","West Midlands","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","West Midlands","Statistics","30","30","[c]","[c]"
"In post","2022","West Midlands","Tax","1440","1380","35900","33370"
"In post","2022","West Midlands","Unknown","570","560","37250","33080"
"In post","2022","West Midlands","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","West Wales and The Valleys","Commercial","200","190","33260","31040"
"In post","2022","West Wales and The Valleys","Communications","110","100","32450","29430"
"In post","2022","West Wales and The Valleys","Counter Fraud","360","330","27170","27570"
"In post","2022","West Wales and The Valleys","Digital, Data and Technology","1040","1020","39420","38160"
"In post","2022","West Wales and The Valleys","Economics","[c]","[c]","[c]","[c]"
"In post","2022","West Wales and The Valleys","Finance","350","340","36650","32640"
"In post","2022","West Wales and The Valleys","Human Resources","290","280","33910","31040"
"In post","2022","West Wales and The Valleys","Inspector of Education and Training","30","30","[c]","[c]"
"In post","2022","West Wales and The Valleys","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","West Wales and The Valleys","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","West Wales and The Valleys","Knowledge and Information Management","50","50","[c]","[c]"
"In post","2022","West Wales and The Valleys","Legal","120","110","48350","48080"
"In post","2022","West Wales and The Valleys","Medicine","90","80","63250","61440"
"In post","2022","West Wales and The Valleys","Operational Delivery","11860","10580","25740","22600"
"In post","2022","West Wales and The Valleys","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","West Wales and The Valleys","Other","960","900","34440","29430"
"In post","2022","West Wales and The Valleys","Planning","[c]","[c]","[c]","[c]"
"In post","2022","West Wales and The Valleys","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","West Wales and The Valleys","Policy","750","710","38570","38160"
"In post","2022","West Wales and The Valleys","Project Delivery","250","230","38340","35390"
"In post","2022","West Wales and The Valleys","Property","200","190","34490","30890"
"In post","2022","West Wales and The Valleys","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","West Wales and The Valleys","Science and Engineering","60","60","36340","33160"
"In post","2022","West Wales and The Valleys","Security","120","120","24900","24720"
"In post","2022","West Wales and The Valleys","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","West Wales and The Valleys","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","West Wales and The Valleys","Tax","[c]","[c]","[c]","[c]"
"In post","2022","West Wales and The Valleys","Unknown","60","60","45530","35010"
"In post","2022","West Wales and The Valleys","Veterinarian","40","30","[c]","[c]"
"In post","2022","West Yorkshire","Commercial","310","300","41510","36820"
"In post","2022","West Yorkshire","Communications","90","90","47970","49530"
"In post","2022","West Yorkshire","Counter Fraud","230","200","30020","27570"
"In post","2022","West Yorkshire","Digital, Data and Technology","720","700","42740","39750"
"In post","2022","West Yorkshire","Economics","[c]","[c]","[c]","[c]"
"In post","2022","West Yorkshire","Finance","630","600","39130","36450"
"In post","2022","West Yorkshire","Human Resources","410","390","40540","36700"
"In post","2022","West Yorkshire","Inspector of Education and Training","40","40","[c]","[c]"
"In post","2022","West Yorkshire","Intelligence Analysis","70","70","30100","30450"
"In post","2022","West Yorkshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","West Yorkshire","International Trade","30","30","[c]","[c]"
"In post","2022","West Yorkshire","Knowledge and Information Management","100","90","32520","31990"
"In post","2022","West Yorkshire","Legal","600","560","43850","43920"
"In post","2022","West Yorkshire","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","West Yorkshire","Operational Delivery","10960","10080","28620","27380"
"In post","2022","West Yorkshire","Operational Research","30","30","[c]","[c]"
"In post","2022","West Yorkshire","Other","580","520","27740","25120"
"In post","2022","West Yorkshire","Planning","[c]","[c]","[c]","[c]"
"In post","2022","West Yorkshire","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","West Yorkshire","Policy","680","650","42030","37700"
"In post","2022","West Yorkshire","Project Delivery","420","400","41870","37460"
"In post","2022","West Yorkshire","Property","280","260","38870","34000"
"In post","2022","West Yorkshire","Psychology","70","70","38310","31180"
"In post","2022","West Yorkshire","Science and Engineering","80","80","39650","37630"
"In post","2022","West Yorkshire","Security","130","130","40340","36500"
"In post","2022","West Yorkshire","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","West Yorkshire","Statistics","70","70","41480","36320"
"In post","2022","West Yorkshire","Tax","1750","1670","33290","33080"
"In post","2022","West Yorkshire","Unknown","760","740","37560","33080"
"In post","2022","West Yorkshire","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Operational Delivery","170","150","28700","23540"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Unknown","250","220","27970","26910"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Intelligence Analysis","[c]","[c]","[c]","[c]"
