"Status","Year","Sex","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Female","Unknown","Unknown","5750","5490","39270","32000"
"In post","2022","Female","Veterinarian","Heterosexual / straight","160","150","43520","38390"
"In post","2022","Female","Veterinarian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Female","Veterinarian","Undeclared","40","40","[c]","[c]"
"In post","2022","Female","Veterinarian","Unknown","30","30","[c]","[c]"
"In post","2022","Male","Commercial","Heterosexual / straight","1950","1920","41980","38980"
"In post","2022","Male","Commercial","LGBO","140","140","39300","36860"
"In post","2022","Male","Commercial","Undeclared","310","300","42720","40650"
"In post","2022","Male","Commercial","Unknown","410","390","39540","36650"
"In post","2022","Male","Communications","Heterosexual / straight","1050","1030","42660","38750"
"In post","2022","Male","Communications","LGBO","140","140","41710","39230"
"In post","2022","Male","Communications","Undeclared","200","200","42730","39180"
"In post","2022","Male","Communications","Unknown","300","300","42820","38930"
"In post","2022","Male","Corporate Finance","Heterosexual / straight","40","40","[c]","[c]"
"In post","2022","Male","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Counter Fraud","Heterosexual / straight","1750","1650","30600","27570"
"In post","2022","Male","Counter Fraud","LGBO","100","100","29290","27570"
"In post","2022","Male","Counter Fraud","Undeclared","240","230","29990","27570"
"In post","2022","Male","Counter Fraud","Unknown","580","540","30620","27570"
"In post","2022","Male","Digital, Data and Technology","Heterosexual / straight","8470","8350","43050","40000"
"In post","2022","Male","Digital, Data and Technology","LGBO","480","480","41670","37400"
"In post","2022","Male","Digital, Data and Technology","Undeclared","1340","1320","42090","38710"
"In post","2022","Male","Digital, Data and Technology","Unknown","2720","2690","42330","38450"
"In post","2022","Male","Economics","Heterosexual / straight","880","870","48540","49530"
"In post","2022","Male","Economics","LGBO","80","80","46060","40540"
"In post","2022","Male","Economics","Undeclared","110","110","49470","51120"
"In post","2022","Male","Economics","Unknown","240","240","45660","37610"
"In post","2022","Male","Finance","Heterosexual / straight","3900","3840","43030","39360"
"In post","2022","Male","Finance","LGBO","220","220","43410","40000"
"In post","2022","Male","Finance","Undeclared","580","570","43410","40520"
"In post","2022","Male","Finance","Unknown","730","720","40580","37470"
"In post","2022","Male","Geography","Heterosexual / straight","210","200","32270","33290"
"In post","2022","Male","Geography","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Geography","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","Geography","Unknown","90","80","31150","29290"
"In post","2022","Male","Human Resources","Heterosexual / straight","1970","1930","40260","36650"
"In post","2022","Male","Human Resources","LGBO","280","270","41850","37230"
"In post","2022","Male","Human Resources","Undeclared","260","260","38340","34770"
"In post","2022","Male","Human Resources","Unknown","320","320","37950","33370"
"In post","2022","Male","Inspector of Education and Training","Heterosexual / straight","220","210","73060","75500"
"In post","2022","Male","Inspector of Education and Training","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Intelligence Analysis","Heterosexual / straight","1280","1250","35070","31960"
"In post","2022","Male","Intelligence Analysis","LGBO","50","50","[c]","[c]"
"In post","2022","Male","Intelligence Analysis","Undeclared","240","230","36050","33300"
"In post","2022","Male","Intelligence Analysis","Unknown","190","190","34740","33080"
"In post","2022","Male","Internal Audit","Heterosexual / straight","290","280","48430","46350"
"In post","2022","Male","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Internal Audit","Undeclared","40","40","[c]","[c]"
"In post","2022","Male","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","International Trade","Heterosexual / straight","510","500","48210","48220"
"In post","2022","Male","International Trade","LGBO","80","80","49120","43840"
"In post","2022","Male","International Trade","Undeclared","50","50","48930","51710"
"In post","2022","Male","International Trade","Unknown","250","250","46700","40520"
"In post","2022","Male","Knowledge and Information Management","Heterosexual / straight","690","680","37030","33300"
"In post","2022","Male","Knowledge and Information Management","LGBO","60","60","37760","35850"
"In post","2022","Male","Knowledge and Information Management","Undeclared","150","150","36720","33300"
"In post","2022","Male","Knowledge and Information Management","Unknown","170","160","36450","33080"
"In post","2022","Male","Legal","Heterosexual / straight","3230","3140","48450","48080"
"In post","2022","Male","Legal","LGBO","280","280","52850","52520"
"In post","2022","Male","Legal","Undeclared","460","440","47810","44780"
"In post","2022","Male","Legal","Unknown","1250","1210","46870","41750"
"In post","2022","Male","Medicine","Heterosexual / straight","490","450","64080","63430"
"In post","2022","Male","Medicine","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Medicine","Undeclared","90","80","71600","70330"
"In post","2022","Male","Medicine","Unknown","150","130","65240","54280"
"In post","2022","Male","Operational Delivery","Heterosexual / straight","68090","65440","30210","27570"
"In post","2022","Male","Operational Delivery","LGBO","4690","4550","29030","27570"
"In post","2022","Male","Operational Delivery","Undeclared","9200","8700","30480","27570"
"In post","2022","Male","Operational Delivery","Unknown","22900","21690","28490","26820"
"In post","2022","Male","Operational Research","Heterosexual / straight","310","300","47400","47010"
"In post","2022","Male","Operational Research","LGBO","40","40","[c]","[c]"
"In post","2022","Male","Operational Research","Undeclared","40","40","[c]","[c]"
"In post","2022","Male","Operational Research","Unknown","310","300","44750","47010"
"In post","2022","Male","Other","Heterosexual / straight","9180","8980","31350","27570"
"In post","2022","Male","Other","LGBO","530","520","30970","27570"
"In post","2022","Male","Other","Undeclared","1300","1260","31720","27570"
"In post","2022","Male","Other","Unknown","3300","3250","35700","32700"
"In post","2022","Male","Planning","Heterosexual / straight","90","90","45810","41020"
"In post","2022","Male","Planning","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Planning Inspectors","Heterosexual / straight","170","160","56990","58810"
"In post","2022","Male","Planning Inspectors","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","Planning Inspectors","Unknown","40","30","[c]","[c]"
"In post","2022","Male","Policy","Heterosexual / straight","10200","10070","48970","47470"
"In post","2022","Male","Policy","LGBO","1320","1300","48870","48500"
"In post","2022","Male","Policy","Undeclared","1530","1510","48660","47200"
"In post","2022","Male","Policy","Unknown","1990","1960","46950","42890"
"In post","2022","Male","Project Delivery","Heterosexual / straight","5540","5430","45690","41000"
"In post","2022","Male","Project Delivery","LGBO","340","330","44500","40520"
"In post","2022","Male","Project Delivery","Undeclared","730","710","47200","42700"
"In post","2022","Male","Project Delivery","Unknown","1130","1110","43530","40520"
"In post","2022","Male","Property","Heterosexual / straight","3140","3070","39870","36390"
"In post","2022","Male","Property","LGBO","130","130","40260","35840"
"In post","2022","Male","Property","Undeclared","430","410","39650","36450"
"In post","2022","Male","Property","Unknown","780","760","37280","33370"
"In post","2022","Male","Psychology","Heterosexual / straight","120","120","36900","31180"
"In post","2022","Male","Psychology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","Psychology","Unknown","30","30","[c]","[c]"
"In post","2022","Male","Science and Engineering","Heterosexual / straight","5770","5650","38890","37420"
"In post","2022","Male","Science and Engineering","LGBO","260","260","36980","32910"
"In post","2022","Male","Science and Engineering","Undeclared","1110","1070","39760","38330"
"In post","2022","Male","Science and Engineering","Unknown","2440","2380","41090","38600"
"In post","2022","Male","Security","Heterosexual / straight","5120","5030","31410","27680"
"In post","2022","Male","Security","LGBO","160","160","34650","33630"
"In post","2022","Male","Security","Undeclared","760","740","35800","39070"
"In post","2022","Male","Security","Unknown","1100","1090","33190","30690"
"In post","2022","Male","Social Research","Heterosexual / straight","280","280","44010","39840"
"In post","2022","Male","Social Research","LGBO","30","30","[c]","[c]"
"In post","2022","Male","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","Social Research","Unknown","70","70","41420","38340"
"In post","2022","Male","Statistics","Heterosexual / straight","910","890","44500","40200"
"In post","2022","Male","Statistics","LGBO","90","90","41350","37930"
"In post","2022","Male","Statistics","Undeclared","90","90","43300","38500"
"In post","2022","Male","Statistics","Unknown","200","200","41740","38020"
"In post","2022","Male","Tax","Heterosexual / straight","5880","5710","37830","33370"
"In post","2022","Male","Tax","LGBO","530","520","34080","33020"
"In post","2022","Male","Tax","Undeclared","760","720","40860","35980"
"In post","2022","Male","Tax","Unknown","3140","3040","32420","30750"
"In post","2022","Male","Unknown","Heterosexual / straight","7800","7710","43810","37610"
"In post","2022","Male","Unknown","LGBO","900","890","41520","34640"
"In post","2022","Male","Unknown","Undeclared","770","760","45710","40600"
"In post","2022","Male","Unknown","Unknown","5490","5400","41750","33250"
"In post","2022","Male","Veterinarian","Heterosexual / straight","120","120","44060","40440"
"In post","2022","Male","Veterinarian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Veterinarian","Undeclared","30","30","[c]","[c]"
"In post","2022","Male","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Social Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Statistics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Statistics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Commercial","Heterosexual / straight","60","60","37140","35370"
"Leaver CS","2021","Female","Commercial","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Communications","Heterosexual / straight","70","60","37530","34160"
"Leaver CS","2021","Female","Communications","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Communications","Unknown","50","50","[c]","[c]"
"Leaver CS","2021","Female","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Digital, Data and Technology","Heterosexual / straight","70","60","41980","38100"
"Leaver CS","2021","Female","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Digital, Data and Technology","Unknown","50","40","[c]","[c]"
"Leaver CS","2021","Female","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Economics","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Economics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Economics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Finance","Heterosexual / straight","80","80","36820","32430"
"Leaver CS","2021","Female","Finance","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Human Resources","Heterosexual / straight","130","120","37740","32550"
"Leaver CS","2021","Female","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Human Resources","Unknown","40","30","[c]","[c]"
"Leaver CS","2021","Female","Inspector of Education and Training","Heterosexual / straight","40","30","[c]","[c]"
"Leaver CS","2021","Female","Inspector of Education and Training","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Intelligence Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","International Trade","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","International Trade","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Knowledge and Information Management","Heterosexual / straight","50","40","[c]","[c]"
"Leaver CS","2021","Female","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Legal","Heterosexual / straight","140","120","53480","52670"
"Leaver CS","2021","Female","Legal","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Legal","Unknown","70","60","53260","55610"
"Leaver CS","2021","Female","Medicine","Heterosexual / straight","130","100","46900","37110"
"Leaver CS","2021","Female","Medicine","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Medicine","Unknown","40","30","[c]","[c]"
"Leaver CS","2021","Female","Operational Delivery","Heterosexual / straight","2330","2010","26470","22240"
"Leaver CS","2021","Female","Operational Delivery","LGBO","170","160","26110","21590"
"Leaver CS","2021","Female","Operational Delivery","Undeclared","440","370","27090","22820"
"Leaver CS","2021","Female","Operational Delivery","Unknown","1210","1090","25160","21590"
"Leaver CS","2021","Female","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other","Heterosexual / straight","390","360","27030","21580"
"Leaver CS","2021","Female","Other","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other","Undeclared","50","40","[c]","[c]"
"Leaver CS","2021","Female","Other","Unknown","130","120","32310","26670"
"Leaver CS","2021","Female","Planning","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Planning","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Planning Inspectors","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Planning Inspectors","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Policy","Heterosexual / straight","210","200","45340","40700"
"Leaver CS","2021","Female","Policy","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Policy","Undeclared","30","30","[c]","[c]"
"Leaver CS","2021","Female","Policy","Unknown","150","140","38710","33170"
"Leaver CS","2021","Female","Project Delivery","Heterosexual / straight","140","130","37510","33080"
"Leaver CS","2021","Female","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Project Delivery","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Female","Property","Heterosexual / straight","70","60","32220","26500"
"Leaver CS","2021","Female","Property","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Property","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Property","Unknown","50","40","28380","24800"
"Leaver CS","2021","Female","Psychology","Heterosexual / straight","60","60","[c]","[c]"
"Leaver CS","2021","Female","Psychology","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Psychology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Science and Engineering","Heterosexual / straight","180","170","31460","28170"
"Leaver CS","2021","Female","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Science and Engineering","Unknown","100","80","31800","29750"
"Leaver CS","2021","Female","Security","Heterosexual / straight","40","30","[c]","[c]"
"Leaver CS","2021","Female","Security","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Security","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Social Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Social Research","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Social Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Statistics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Statistics","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Statistics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Heterosexual / straight","2020","1660","27940","26120"
"Leaver CS","2021","Female","Unknown","LGBO","110","100","28960","25110"
"Leaver CS","2021","Female","Unknown","Undeclared","240","190","27440","26890"
"Leaver CS","2021","Female","Unknown","Unknown","4860","3830","28800","27570"
"Leaver CS","2021","Female","Veterinarian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Veterinarian","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Commercial","Heterosexual / straight","70","70","42030","40470"
"Leaver CS","2021","Male","Commercial","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Communications","Heterosexual / straight","60","60","36630","32700"
"Leaver CS","2021","Male","Communications","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Digital, Data and Technology","Heterosexual / straight","160","160","43310","38770"
"Leaver CS","2021","Male","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Digital, Data and Technology","Unknown","110","110","41000","38220"
"Leaver CS","2021","Male","Economics","Heterosexual / straight","40","40","[c]","[c]"
"Leaver CS","2021","Male","Economics","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Economics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Economics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Finance","Heterosexual / straight","90","90","46770","44790"
"Leaver CS","2021","Male","Finance","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Human Resources","Heterosexual / straight","80","80","41280","36100"
"Leaver CS","2021","Male","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Inspector of Education and Training","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Inspector of Education and Training","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Intelligence Analysis","Heterosexual / straight","40","30","[c]","[c]"
"Leaver CS","2021","Male","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","International Trade","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","International Trade","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Legal","Heterosexual / straight","100","80","53740","55000"
"Leaver CS","2021","Male","Legal","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Legal","Unknown","50","50","54390","55610"
"Leaver CS","2021","Male","Medicine","Heterosexual / straight","50","40","[c]","[c]"
"Leaver CS","2021","Male","Medicine","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Medicine","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Operational Delivery","Heterosexual / straight","2250","2050","30310","25710"
"Leaver CS","2021","Male","Operational Delivery","LGBO","100","90","29690","23810"
"Leaver CS","2021","Male","Operational Delivery","Undeclared","400","350","29850","26550"
"Leaver CS","2021","Male","Operational Delivery","Unknown","1350","1240","29030","24250"
"Leaver CS","2021","Male","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Other","Heterosexual / straight","500","490","31140","29200"
"Leaver CS","2021","Male","Other","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Other","Undeclared","80","80","27850","26670"
"Leaver CS","2021","Male","Other","Unknown","290","290","33350","30440"
"Leaver CS","2021","Male","Planning","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Planning","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Planning","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Planning Inspectors","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Planning Inspectors","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Policy","Heterosexual / straight","200","190","49870","41970"
"Leaver CS","2021","Male","Policy","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Policy","Undeclared","30","30","[c]","[c]"
"Leaver CS","2021","Male","Policy","Unknown","150","150","43560","38840"
"Leaver CS","2021","Male","Project Delivery","Heterosexual / straight","180","170","45210","40020"
"Leaver CS","2021","Male","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Project Delivery","Undeclared","30","30","[c]","[c]"
"Leaver CS","2021","Male","Project Delivery","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Male","Property","Heterosexual / straight","170","150","34010","33000"
"Leaver CS","2021","Male","Property","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Property","Undeclared","30","30","[c]","[c]"
"Leaver CS","2021","Male","Property","Unknown","80","70","29450","25500"
"Leaver CS","2021","Male","Psychology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Psychology","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Psychology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Science and Engineering","Heterosexual / straight","310","300","33200","29520"
"Leaver CS","2021","Male","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
