"Status","Year","Sexual_orientation","Profession_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Undeclared","Planning","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Planning","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Planning","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Planning Inspectors","G6/G7","30","30","[c]","[c]"
"In post","2022","Undeclared","Policy","AA/AO","60","50","24090","24370"
"In post","2022","Undeclared","Policy","EO","250","240","28220","27750"
"In post","2022","Undeclared","Policy","G6/G7","1260","1230","58710","57400"
"In post","2022","Undeclared","Policy","SCS","150","150","82160","77060"
"In post","2022","Undeclared","Policy","SEO/HEO","1420","1380","37310","36820"
"In post","2022","Undeclared","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","AA/AO","50","40","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","EO","110","100","27320","27530"
"In post","2022","Undeclared","Project Delivery","G6/G7","410","400","58040","56130"
"In post","2022","Undeclared","Project Delivery","SCS","30","30","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","SEO/HEO","720","690","37980","38500"
"In post","2022","Undeclared","Project Delivery","Unknown","50","50","[c]","[c]"
"In post","2022","Undeclared","Property","AA/AO","100","90","20670","21170"
"In post","2022","Undeclared","Property","EO","130","120","27940","27000"
"In post","2022","Undeclared","Property","G6/G7","130","130","59590","58250"
"In post","2022","Undeclared","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","SEO/HEO","350","330","38570","37660"
"In post","2022","Undeclared","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Psychology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Psychology","SEO/HEO","50","50","37220","32360"
"In post","2022","Undeclared","Science and Engineering","AA/AO","110","110","22280","22300"
"In post","2022","Undeclared","Science and Engineering","EO","250","240","28050","28150"
"In post","2022","Undeclared","Science and Engineering","G6/G7","300","280","57660","56480"
"In post","2022","Undeclared","Science and Engineering","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Science and Engineering","SEO/HEO","800","760","38110","39110"
"In post","2022","Undeclared","Science and Engineering","Unknown","90","90","43850","43180"
"In post","2022","Undeclared","Security","AA/AO","540","520","29490","25630"
"In post","2022","Undeclared","Security","EO","120","120","36710","39190"
"In post","2022","Undeclared","Security","G6/G7","50","50","59600","58060"
"In post","2022","Undeclared","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","SEO/HEO","220","210","41280","39540"
"In post","2022","Undeclared","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Social Research","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Social Research","SEO/HEO","50","50","36360","38020"
"In post","2022","Undeclared","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Statistics","G6/G7","50","50","[c]","[c]"
"In post","2022","Undeclared","Statistics","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Statistics","SEO/HEO","100","90","37100","36840"
"In post","2022","Undeclared","Tax","AA/AO","100","100","21660","21250"
"In post","2022","Undeclared","Tax","EO","280","250","28000","26820"
"In post","2022","Undeclared","Tax","G6/G7","320","300","59940","55410"
"In post","2022","Undeclared","Tax","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Tax","SEO/HEO","650","610","36720","35980"
"In post","2022","Undeclared","Unknown","AA/AO","160","150","22790","22110"
"In post","2022","Undeclared","Unknown","EO","230","230","27910","27500"
"In post","2022","Undeclared","Unknown","G6/G7","480","470","60760","58600"
"In post","2022","Undeclared","Unknown","SCS","70","70","92540","88300"
"In post","2022","Undeclared","Unknown","SEO/HEO","590","570","37910","37300"
"In post","2022","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Veterinarian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Veterinarian","SEO/HEO","40","40","[c]","[c]"
"In post","2022","Unknown","Commercial","AA/AO","100","90","23070","21640"
"In post","2022","Unknown","Commercial","EO","160","150","26890","26670"
"In post","2022","Unknown","Commercial","G6/G7","140","130","57890","54620"
"In post","2022","Unknown","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","SEO/HEO","430","410","36910","36970"
"In post","2022","Unknown","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","EO","90","90","28200","28310"
"In post","2022","Unknown","Communications","G6/G7","180","170","58090","56680"
"In post","2022","Unknown","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","SEO/HEO","400","390","37850","37910"
"In post","2022","Unknown","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Corporate Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","AA/AO","310","250","22640","22480"
"In post","2022","Unknown","Counter Fraud","EO","800","690","28450","27570"
"In post","2022","Unknown","Counter Fraud","G6/G7","40","30","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","SEO/HEO","250","240","36400","35310"
"In post","2022","Unknown","Digital, Data and Technology","AA/AO","110","110","21830","21260"
"In post","2022","Unknown","Digital, Data and Technology","EO","730","700","27830","27570"
"In post","2022","Unknown","Digital, Data and Technology","G6/G7","1120","1100","58790","57430"
"In post","2022","Unknown","Digital, Data and Technology","SCS","40","40","[c]","[c]"
"In post","2022","Unknown","Digital, Data and Technology","SEO/HEO","1960","1920","37800","37100"
"In post","2022","Unknown","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Economics","EO","30","30","[c]","[c]"
"In post","2022","Unknown","Economics","G6/G7","130","130","59940","58640"
"In post","2022","Unknown","Economics","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Economics","SEO/HEO","170","170","34210","33370"
"In post","2022","Unknown","Finance","AA/AO","220","190","22040","21260"
"In post","2022","Unknown","Finance","EO","250","240","27320","26670"
"In post","2022","Unknown","Finance","G6/G7","310","300","59680","58320"
"In post","2022","Unknown","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","SEO/HEO","720","700","37820","37470"
"In post","2022","Unknown","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Geography","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Geography","EO","40","40","[c]","[c]"
"In post","2022","Unknown","Geography","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Geography","SEO/HEO","50","50","36110","33290"
"In post","2022","Unknown","Human Resources","AA/AO","140","130","21940","21300"
"In post","2022","Unknown","Human Resources","EO","240","220","27090","26820"
"In post","2022","Unknown","Human Resources","G6/G7","200","190","57690","57010"
"In post","2022","Unknown","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","SEO/HEO","440","420","35760","35240"
"In post","2022","Unknown","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Inspector of Education and Training","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Inspector of Education and Training","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","EO","160","150","27810","27370"
"In post","2022","Unknown","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","SEO/HEO","140","140","37860","37640"
"In post","2022","Unknown","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","International Trade","EO","30","30","[c]","[c]"
"In post","2022","Unknown","International Trade","G6/G7","180","180","55280","51970"
"In post","2022","Unknown","International Trade","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","International Trade","SEO/HEO","230","230","36170","37220"
"In post","2022","Unknown","Knowledge and Information Management","AA/AO","50","50","21640","21260"
"In post","2022","Unknown","Knowledge and Information Management","EO","80","70","27860","27570"
"In post","2022","Unknown","Knowledge and Information Management","G6/G7","60","60","56580","54610"
"In post","2022","Unknown","Knowledge and Information Management","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Knowledge and Information Management","SEO/HEO","150","140","36260","35840"
"In post","2022","Unknown","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","AA/AO","80","60","22550","22080"
"In post","2022","Unknown","Legal","EO","520","500","28360","26820"
"In post","2022","Unknown","Legal","G6/G7","1370","1240","60970","60000"
"In post","2022","Unknown","Legal","SCS","70","70","87500","82710"
"In post","2022","Unknown","Legal","SEO/HEO","850","820","38310","37610"
"In post","2022","Unknown","Medicine","AA/AO","90","80","21240","20770"
"In post","2022","Unknown","Medicine","EO","50","40","[c]","[c]"
"In post","2022","Unknown","Medicine","G6/G7","140","120","72190","75920"
"In post","2022","Unknown","Medicine","SCS","70","60","115640","114000"
"In post","2022","Unknown","Medicine","SEO/HEO","120","110","39590","39030"
"In post","2022","Unknown","Operational Delivery","AA/AO","26360","23310","22950","21490"
"In post","2022","Unknown","Operational Delivery","EO","16920","15350","28340","27570"
"In post","2022","Unknown","Operational Delivery","G6/G7","1280","1260","58280","55250"
"In post","2022","Unknown","Operational Delivery","SCS","180","170","93230","80320"
"In post","2022","Unknown","Operational Delivery","SEO/HEO","5640","5370","36450","34500"
"In post","2022","Unknown","Operational Delivery","Unknown","3550","3190","28190","26310"
"In post","2022","Unknown","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Research","G6/G7","230","210","53040","48350"
"In post","2022","Unknown","Operational Research","SEO/HEO","210","200","36020","38070"
"In post","2022","Unknown","Other","AA/AO","1360","1230","21940","21260"
"In post","2022","Unknown","Other","EO","1090","1020","27780","27570"
"In post","2022","Unknown","Other","G6/G7","360","350","58560","56530"
"In post","2022","Unknown","Other","SCS","60","60","98310","87940"
"In post","2022","Unknown","Other","SEO/HEO","900","860","38110","38060"
"In post","2022","Unknown","Other","Unknown","1780","1780","37390","34160"
"In post","2022","Unknown","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning Inspectors","G6/G7","50","40","57030","58810"
"In post","2022","Unknown","Policy","AA/AO","100","90","23110","23250"
"In post","2022","Unknown","Policy","EO","370","360","28070","27960"
"In post","2022","Unknown","Policy","G6/G7","1730","1680","57950","56350"
"In post","2022","Unknown","Policy","SCS","170","160","88560","78320"
"In post","2022","Unknown","Policy","SEO/HEO","1920","1870","37320","36730"
"In post","2022","Unknown","Policy","Unknown","30","30","[c]","[c]"
"In post","2022","Unknown","Project Delivery","AA/AO","130","110","22220","21710"
"In post","2022","Unknown","Project Delivery","EO","250","230","27160","26880"
"In post","2022","Unknown","Project Delivery","G6/G7","720","700","56610","55210"
"In post","2022","Unknown","Project Delivery","SCS","30","30","[c]","[c]"
"In post","2022","Unknown","Project Delivery","SEO/HEO","1270","1210","37150","37930"
"In post","2022","Unknown","Project Delivery","Unknown","30","30","[c]","[c]"
"In post","2022","Unknown","Property","AA/AO","220","200","20300","19570"
"In post","2022","Unknown","Property","EO","350","330","27260","26880"
"In post","2022","Unknown","Property","G6/G7","190","190","57930","56900"
"In post","2022","Unknown","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Property","SEO/HEO","520","500","38160","37640"
"In post","2022","Unknown","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Psychology","EO","70","70","29060","27380"
"In post","2022","Unknown","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Psychology","SEO/HEO","110","100","37790","35660"
"In post","2022","Unknown","Science and Engineering","AA/AO","220","210","21300","22080"
"In post","2022","Unknown","Science and Engineering","EO","350","330","25160","25460"
"In post","2022","Unknown","Science and Engineering","G6/G7","1230","1170","54530","52430"
"In post","2022","Unknown","Science and Engineering","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Science and Engineering","SEO/HEO","1630","1580","35680","38070"
"In post","2022","Unknown","Science and Engineering","Unknown","70","70","36820","32710"
"In post","2022","Unknown","Security","AA/AO","900","890","28370","25540"
"In post","2022","Unknown","Security","EO","100","100","32680","28500"
"In post","2022","Unknown","Security","G6/G7","100","100","59100","56780"
"In post","2022","Unknown","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Security","SEO/HEO","290","290","38770","37450"
"In post","2022","Unknown","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Social Research","EO","30","30","[c]","[c]"
"In post","2022","Unknown","Social Research","G6/G7","50","40","[c]","[c]"
"In post","2022","Unknown","Social Research","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Social Research","SEO/HEO","110","100","36980","38340"
"In post","2022","Unknown","Statistics","AA/AO","40","40","[c]","[c]"
"In post","2022","Unknown","Statistics","EO","50","40","[c]","[c]"
"In post","2022","Unknown","Statistics","G6/G7","90","90","55430","53450"
"In post","2022","Unknown","Statistics","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Statistics","SEO/HEO","180","180","37280","37210"
"In post","2022","Unknown","Tax","AA/AO","1630","1510","21330","21250"
"In post","2022","Unknown","Tax","EO","1680","1600","27340","26820"
"In post","2022","Unknown","Tax","G6/G7","470","440","59440","55210"
"In post","2022","Unknown","Tax","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Tax","SEO/HEO","2090","2010","35740","33370"
"In post","2022","Unknown","Unknown","AA/AO","2070","1940","23490","23230"
"In post","2022","Unknown","Unknown","EO","1690","1630","28320","27230"
"In post","2022","Unknown","Unknown","G6/G7","2550","2490","62890","62120"
"In post","2022","Unknown","Unknown","SCS","380","370","103270","95640"
"In post","2022","Unknown","Unknown","SEO/HEO","4540","4450","34940","33080"
"In post","2022","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Veterinarian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Veterinarian","SEO/HEO","40","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Commercial","G6/G7","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Commercial","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Commercial","SEO/HEO","70","60","37070","36940"
"Leaver CS","2021","Heterosexual / straight","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Communications","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Communications","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Communications","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Communications","SEO/HEO","70","70","35860","33840"
"Leaver CS","2021","Heterosexual / straight","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Digital, Data and Technology","EO","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Digital, Data and Technology","G6/G7","60","50","60240","58550"
"Leaver CS","2021","Heterosexual / straight","Digital, Data and Technology","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Digital, Data and Technology","SEO/HEO","100","90","38080","38450"
"Leaver CS","2021","Heterosexual / straight","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Economics","AA/AO","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Economics","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Economics","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Economics","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Finance","G6/G7","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Finance","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Finance","SEO/HEO","70","70","39650","39250"
"Leaver CS","2021","Heterosexual / straight","Human Resources","AA/AO","50","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Human Resources","EO","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Human Resources","G6/G7","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Human Resources","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Human Resources","SEO/HEO","90","80","38640","38130"
"Leaver CS","2021","Heterosexual / straight","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Inspector of Education and Training","G6/G7","40","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Inspector of Education and Training","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Inspector of Education and Training","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Intelligence Analysis","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Internal Audit","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","International Trade","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","International Trade","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","International Trade","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","International Trade","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Knowledge and Information Management","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Legal","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Legal","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Legal","G6/G7","150","130","57930","55610"
"Leaver CS","2021","Heterosexual / straight","Legal","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Legal","SEO/HEO","60","50","42570","43460"
"Leaver CS","2021","Heterosexual / straight","Medicine","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Medicine","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Medicine","G6/G7","40","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Medicine","SCS","30","20","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Medicine","SEO/HEO","50","50","38490","37890"
"Leaver CS","2021","Heterosexual / straight","Operational Delivery","AA/AO","2740","2430","20670","20650"
"Leaver CS","2021","Heterosexual / straight","Operational Delivery","EO","730","650","27010","26700"
"Leaver CS","2021","Heterosexual / straight","Operational Delivery","G6/G7","160","150","60020","56870"
"Leaver CS","2021","Heterosexual / straight","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Operational Delivery","SEO/HEO","510","460","37510","35990"
"Leaver CS","2021","Heterosexual / straight","Operational Delivery","Unknown","420","360","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Operational Research","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Other","AA/AO","340","320","20670","20920"
"Leaver CS","2021","Heterosexual / straight","Other","EO","290","280","27460","27580"
"Leaver CS","2021","Heterosexual / straight","Other","G6/G7","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Other","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Other","SEO/HEO","200","190","35920","35740"
"Leaver CS","2021","Heterosexual / straight","Other","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Planning","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Planning","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Planning","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Planning","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Planning Inspectors","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Planning Inspectors","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Planning Inspectors","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Planning Inspectors","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Policy","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Policy","EO","50","50","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Policy","G6/G7","140","130","59520","57600"
"Leaver CS","2021","Heterosexual / straight","Policy","SCS","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Policy","SEO/HEO","160","150","37300","37350"
"Leaver CS","2021","Heterosexual / straight","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Project Delivery","EO","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Project Delivery","G6/G7","70","70","58910","55860"
"Leaver CS","2021","Heterosexual / straight","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Project Delivery","SEO/HEO","160","150","36430","36210"
"Leaver CS","2021","Heterosexual / straight","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Property","AA/AO","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Property","EO","70","60","26050","25970"
"Leaver CS","2021","Heterosexual / straight","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Property","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Property","SEO/HEO","90","80","37730","36460"
"Leaver CS","2021","Heterosexual / straight","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Psychology","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Psychology","SEO/HEO","30","30","[c]","[c]"
