"Status","Year","Responsibility_level","Region_ITL3","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Herefordshire, County of","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Herefordshire, County of","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Herefordshire, County of","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Herefordshire, County of","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Herefordshire, County of","Security","70","70","34690","39070"
"In post","2021","AA/AO","Herefordshire, County of","Unknown","130","120","20810","20920"
"In post","2021","AA/AO","Hertfordshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Hertfordshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Hertfordshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Hertfordshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Hertfordshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Hertfordshire","Legal","40","30","[c]","[c]"
"In post","2021","AA/AO","Hertfordshire","No function","420","390","26290","27240"
"In post","2021","AA/AO","Hertfordshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Hertfordshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Hertfordshire","Security","30","30","[c]","[c]"
"In post","2021","AA/AO","Hertfordshire","Unknown","190","170","24140","24180"
"In post","2021","AA/AO","Hounslow and Richmond upon Thames","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Hounslow and Richmond upon Thames","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Hounslow and Richmond upon Thames","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Hounslow and Richmond upon Thames","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Hounslow and Richmond upon Thames","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Hounslow and Richmond upon Thames","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Hounslow and Richmond upon Thames","No function","670","630","28130","27240"
"In post","2021","AA/AO","Hounslow and Richmond upon Thames","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Hounslow and Richmond upon Thames","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Hounslow and Richmond upon Thames","Unknown","220","200","24210","25110"
"In post","2021","AA/AO","Inverclyde, East Renfrewshire and Renfrewshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Inverclyde, East Renfrewshire and Renfrewshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Inverclyde, East Renfrewshire and Renfrewshire","Legal","50","40","[c]","[c]"
"In post","2021","AA/AO","Inverclyde, East Renfrewshire and Renfrewshire","No function","110","100","23390","22220"
"In post","2021","AA/AO","Inverclyde, East Renfrewshire and Renfrewshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Inverclyde, East Renfrewshire and Renfrewshire","Unknown","180","150","20680","21010"
"In post","2021","AA/AO","Inverness and Nairn and Moray, Badenoch and Strathspey","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Inverness and Nairn and Moray, Badenoch and Strathspey","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Inverness and Nairn and Moray, Badenoch and Strathspey","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Inverness and Nairn and Moray, Badenoch and Strathspey","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Inverness and Nairn and Moray, Badenoch and Strathspey","No function","70","70","22930","22220"
"In post","2021","AA/AO","Inverness and Nairn and Moray, Badenoch and Strathspey","Project Delivery","30","30","[c]","[c]"
"In post","2021","AA/AO","Inverness and Nairn and Moray, Badenoch and Strathspey","Property","60","60","24010","22920"
"In post","2021","AA/AO","Inverness and Nairn and Moray, Badenoch and Strathspey","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Inverness and Nairn and Moray, Badenoch and Strathspey","Unknown","260","240","20670","20720"
"In post","2021","AA/AO","Isle of Anglesey","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Isle of Anglesey","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Isle of Anglesey","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Isle of Anglesey","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Isle of Anglesey","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Isle of Anglesey","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Isle of Anglesey","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Isle of Anglesey","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Isle of Anglesey","Unknown","40","30","[c]","[c]"
"In post","2021","AA/AO","Isle of Wight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Isle of Wight","No function","470","440","25620","25300"
"In post","2021","AA/AO","Isle of Wight","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Isle of Wight","Unknown","90","80","20880","21010"
"In post","2021","AA/AO","Kensington & Chelsea and Hammersmith & Fulham","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Kensington & Chelsea and Hammersmith & Fulham","No function","400","380","30710","32600"
"In post","2021","AA/AO","Kensington & Chelsea and Hammersmith & Fulham","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Kensington & Chelsea and Hammersmith & Fulham","Unknown","30","30","[c]","[c]"
"In post","2021","AA/AO","Kent Thames Gateway","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Kent Thames Gateway","No function","910","860","27690","30380"
"In post","2021","AA/AO","Kent Thames Gateway","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Kent Thames Gateway","Unknown","60","50","24170","24180"
"In post","2021","AA/AO","Kingston upon Hull, City of","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Kingston upon Hull, City of","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Kingston upon Hull, City of","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Kingston upon Hull, City of","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Kingston upon Hull, City of","No function","560","520","24570","23240"
"In post","2021","AA/AO","Kingston upon Hull, City of","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Kingston upon Hull, City of","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Kingston upon Hull, City of","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Kingston upon Hull, City of","Unknown","230","190","20810","21010"
"In post","2021","AA/AO","Lambeth","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Lambeth","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Lambeth","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Lambeth","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Lambeth","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Lambeth","No function","370","360","28970","28670"
"In post","2021","AA/AO","Lambeth","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Lambeth","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Lambeth","Unknown","70","70","24700","25110"
"In post","2021","AA/AO","Lancaster and Wyre","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Lancaster and Wyre","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Lancaster and Wyre","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Lancaster and Wyre","Human Resources","70","60","20900","21030"
"In post","2021","AA/AO","Lancaster and Wyre","No function","240","220","24900","24120"
"In post","2021","AA/AO","Lancaster and Wyre","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Lancaster and Wyre","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Lancaster and Wyre","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Lancaster and Wyre","Unknown","140","130","21000","21010"
"In post","2021","AA/AO","Leeds","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Leeds","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Leeds","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Leeds","Counter Fraud","80","70","20930","21440"
"In post","2021","AA/AO","Leeds","Debt","50","50","20240","20140"
"In post","2021","AA/AO","Leeds","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Leeds","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Leeds","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Leeds","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Leeds","Legal","80","70","21610","21950"
"In post","2021","AA/AO","Leeds","No function","1870","1740","22300","20600"
"In post","2021","AA/AO","Leeds","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Leeds","Property","50","40","[c]","[c]"
"In post","2021","AA/AO","Leeds","Unknown","550","510","20990","21010"
"In post","2021","AA/AO","Leicester","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Leicester","Legal","40","30","[c]","[c]"
"In post","2021","AA/AO","Leicester","No function","750","670","21320","20270"
"In post","2021","AA/AO","Leicester","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Leicester","Unknown","410","350","20750","21010"
"In post","2021","AA/AO","Leicestershire CC and Rutland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Leicestershire CC and Rutland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Leicestershire CC and Rutland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Leicestershire CC and Rutland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Leicestershire CC and Rutland","No function","700","650","24210","23240"
"In post","2021","AA/AO","Leicestershire CC and Rutland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Leicestershire CC and Rutland","Property","70","70","18980","18760"
"In post","2021","AA/AO","Leicestershire CC and Rutland","Unknown","160","150","20830","20920"
"In post","2021","AA/AO","Lewisham and Southwark","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Lewisham and Southwark","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Lewisham and Southwark","No function","160","140","27110","24260"
"In post","2021","AA/AO","Lewisham and Southwark","Unknown","120","110","24730","25110"
"In post","2021","AA/AO","Lincolnshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Lincolnshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Lincolnshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Lincolnshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Lincolnshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Lincolnshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Lincolnshire","No function","580","540","24370","24120"
"In post","2021","AA/AO","Lincolnshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Lincolnshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Lincolnshire","Security","50","50","[c]","[c]"
"In post","2021","AA/AO","Lincolnshire","Unknown","570","530","20670","20920"
"In post","2021","AA/AO","Lisburn and Castlereagh","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Lisburn and Castlereagh","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Lisburn and Castlereagh","Security","60","60","21050","20310"
"In post","2021","AA/AO","Lisburn and Castlereagh","Unknown","140","130","21570","21880"
"In post","2021","AA/AO","Liverpool","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Liverpool","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Liverpool","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Liverpool","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Liverpool","Debt","230","210","20640","20140"
"In post","2021","AA/AO","Liverpool","Finance","60","60","21270","21440"
"In post","2021","AA/AO","Liverpool","Human Resources","40","40","[c]","[c]"
"In post","2021","AA/AO","Liverpool","Legal","90","80","21840","21950"
"In post","2021","AA/AO","Liverpool","No function","1250","1130","22110","20710"
"In post","2021","AA/AO","Liverpool","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Liverpool","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Liverpool","Security","40","30","[c]","[c]"
"In post","2021","AA/AO","Liverpool","Unknown","1920","1700","21180","21430"
"In post","2021","AA/AO","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Property","90","80","26080","26530"
"In post","2021","AA/AO","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Unknown","30","30","[c]","[c]"
"In post","2021","AA/AO","Luton","No function","80","70","19600","19930"
"In post","2021","AA/AO","Luton","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Luton","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Luton","Unknown","50","50","21570","21430"
"In post","2021","AA/AO","Manchester","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Manchester","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Manchester","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Manchester","Counter Fraud","50","40","20830","21260"
"In post","2021","AA/AO","Manchester","Debt","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Manchester","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Manchester","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Manchester","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Manchester","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Manchester","Legal","80","70","21850","21950"
"In post","2021","AA/AO","Manchester","No function","1450","1350","21930","20670"
"In post","2021","AA/AO","Manchester","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Manchester","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Manchester","Unknown","290","250","20760","21010"
"In post","2021","AA/AO","Medway","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medway","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medway","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medway","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medway","No function","530","500","25610","25850"
"In post","2021","AA/AO","Medway","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medway","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medway","Unknown","90","80","22850","22080"
"In post","2021","AA/AO","Merton, Kingston upon Thames and Sutton","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Merton, Kingston upon Thames and Sutton","No function","90","80","21320","21310"
"In post","2021","AA/AO","Merton, Kingston upon Thames and Sutton","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Merton, Kingston upon Thames and Sutton","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Merton, Kingston upon Thames and Sutton","Unknown","40","30","[c]","[c]"
"In post","2021","AA/AO","Mid and East Antrim","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mid and East Antrim","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mid Kent","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mid Kent","Debt","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mid Kent","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mid Kent","No function","290","270","24500","23240"
"In post","2021","AA/AO","Mid Kent","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mid Kent","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mid Kent","Unknown","30","30","[c]","[c]"
"In post","2021","AA/AO","Mid Lancashire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mid Lancashire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mid Lancashire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mid Lancashire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mid Lancashire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mid Lancashire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mid Lancashire","Legal","50","50","21730","21950"
"In post","2021","AA/AO","Mid Lancashire","No function","1610","1400","22060","21440"
"In post","2021","AA/AO","Mid Lancashire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mid Lancashire","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mid Lancashire","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mid Lancashire","Unknown","1090","950","20770","21010"
"In post","2021","AA/AO","Milton Keynes","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Milton Keynes","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Milton Keynes","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Milton Keynes","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Milton Keynes","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Milton Keynes","No function","670","650","26090","24750"
"In post","2021","AA/AO","Milton Keynes","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Milton Keynes","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Milton Keynes","Security","90","90","22420","22850"
"In post","2021","AA/AO","Milton Keynes","Unknown","70","60","21530","21270"
"In post","2021","AA/AO","Monmouthshire and Newport","Analysis","50","50","[c]","[c]"
"In post","2021","AA/AO","Monmouthshire and Newport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Monmouthshire and Newport","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Monmouthshire and Newport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Monmouthshire and Newport","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Monmouthshire and Newport","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Monmouthshire and Newport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Monmouthshire and Newport","No function","730","650","21010","19520"
"In post","2021","AA/AO","Monmouthshire and Newport","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Monmouthshire and Newport","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Monmouthshire and Newport","Unknown","270","220","21230","21430"
"In post","2021","AA/AO","Na h-Eileanan Siar","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Na h-Eileanan Siar","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Na h-Eileanan Siar","Unknown","90","80","21030","21010"
"In post","2021","AA/AO","Newry, Mourne and Down","Security","50","50","[c]","[c]"
"In post","2021","AA/AO","Newry, Mourne and Down","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North and North East Lincolnshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North and North East Lincolnshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North and North East Lincolnshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North and North East Lincolnshire","Unknown","270","230","21020","21010"
"In post","2021","AA/AO","North and West Norfolk","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North and West Norfolk","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North and West Norfolk","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North and West Norfolk","No function","240","210","25470","25400"
"In post","2021","AA/AO","North and West Norfolk","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North and West Norfolk","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North and West Norfolk","Security","80","70","30120","28890"
"In post","2021","AA/AO","North and West Norfolk","Unknown","180","170","20320","20520"
"In post","2021","AA/AO","North Hampshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North Hampshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North Hampshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North Hampshire","No function","60","50","20080","20520"
"In post","2021","AA/AO","North Hampshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North Hampshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North Hampshire","Security","50","50","23820","19560"
"In post","2021","AA/AO","North Hampshire","Unknown","160","150","21010","21010"
"In post","2021","AA/AO","North Lanarkshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North Lanarkshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North Lanarkshire","Debt","330","270","20500","20140"
"In post","2021","AA/AO","North Lanarkshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North Lanarkshire","Finance","400","310","20650","20140"
"In post","2021","AA/AO","North Lanarkshire","Human Resources","70","60","21000","21420"
"In post","2021","AA/AO","North Lanarkshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North Lanarkshire","No function","170","170","22160","20810"
"In post","2021","AA/AO","North Lanarkshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North Lanarkshire","Unknown","430","350","20720","21010"
"In post","2021","AA/AO","North Northamptonshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North Northamptonshire","Unknown","190","160","20940","21010"
"In post","2021","AA/AO","North Nottinghamshire","No function","380","360","24420","23970"
"In post","2021","AA/AO","North Nottinghamshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North Yorkshire CC","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North Yorkshire CC","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North Yorkshire CC","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North Yorkshire CC","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North Yorkshire CC","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North Yorkshire CC","No function","60","50","21000","20100"
"In post","2021","AA/AO","North Yorkshire CC","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North Yorkshire CC","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North Yorkshire CC","Security","240","230","28760","25680"
"In post","2021","AA/AO","North Yorkshire CC","Unknown","460","440","20820","20920"
"In post","2021","AA/AO","Northumberland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Northumberland","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Northumberland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Northumberland","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Northumberland","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Northumberland","Unknown","60","50","21050","21010"
"In post","2021","AA/AO","Norwich and East Norfolk","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Norwich and East Norfolk","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Norwich and East Norfolk","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Norwich and East Norfolk","No function","410","380","22940","21710"
"In post","2021","AA/AO","Norwich and East Norfolk","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Norwich and East Norfolk","Unknown","170","140","20820","21010"
"In post","2021","AA/AO","Nottingham","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Nottingham","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Nottingham","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Nottingham","Counter Fraud","40","30","[c]","[c]"
"In post","2021","AA/AO","Nottingham","Debt","210","190","20350","20140"
"In post","2021","AA/AO","Nottingham","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Nottingham","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Nottingham","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Nottingham","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Nottingham","Legal","90","80","21150","21440"
"In post","2021","AA/AO","Nottingham","No function","1380","1270","21390","20140"
"In post","2021","AA/AO","Nottingham","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Nottingham","Property","30","30","[c]","[c]"
"In post","2021","AA/AO","Nottingham","Unknown","260","220","20890","21010"
"In post","2021","AA/AO","Orkney Islands","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Orkney Islands","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Orkney Islands","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Orkney Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Overseas","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Overseas","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Overseas","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Overseas","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Overseas","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Overseas","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Overseas","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Oxfordshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Oxfordshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Oxfordshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Oxfordshire","Finance","[c]","[c]","[c]","[c]"
