"Status","Year","Parent_department","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Department for Environment, Food and Rural Affairs","Male","Policy","1730","1710","42860","38750"
"In post","2022","Department for Environment, Food and Rural Affairs","Male","Project Delivery","100","100","35360","35900"
"In post","2022","Department for Environment, Food and Rural Affairs","Male","Property","180","180","42560","38750"
"In post","2022","Department for Environment, Food and Rural Affairs","Male","Science and Engineering","480","470","35740","32560"
"In post","2022","Department for Environment, Food and Rural Affairs","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Male","Veterinarian","160","150","44540","45440"
"In post","2022","Department for International Trade","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Female","Communications","70","70","43640","38540"
"In post","2022","Department for International Trade","Female","Digital, Data and Technology","80","80","45930","44500"
"In post","2022","Department for International Trade","Female","Economics","50","50","42330","31800"
"In post","2022","Department for International Trade","Female","Finance","40","40","[c]","[c]"
"In post","2022","Department for International Trade","Female","Human Resources","90","90","45660","47980"
"In post","2022","Department for International Trade","Female","International Trade","670","660","47310","48220"
"In post","2022","Department for International Trade","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Female","Operational Delivery","70","70","35320","31800"
"In post","2022","Department for International Trade","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Female","Other","80","80","43160","38160"
"In post","2022","Department for International Trade","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Female","Policy","110","110","44560","38830"
"In post","2022","Department for International Trade","Female","Project Delivery","50","50","46660","47130"
"In post","2022","Department for International Trade","Female","Property","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Female","Security","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Female","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Male","Communications","50","50","[c]","[c]"
"In post","2022","Department for International Trade","Male","Digital, Data and Technology","90","90","49350","47980"
"In post","2022","Department for International Trade","Male","Economics","100","100","45110","51710"
"In post","2022","Department for International Trade","Male","Finance","50","50","[c]","[c]"
"In post","2022","Department for International Trade","Male","Human Resources","40","30","[c]","[c]"
"In post","2022","Department for International Trade","Male","International Trade","790","790","48760","49370"
"In post","2022","Department for International Trade","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Male","Operational Delivery","80","70","44660","33300"
"In post","2022","Department for International Trade","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Male","Other","70","70","48670","44030"
"In post","2022","Department for International Trade","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Male","Policy","120","120","47420","40920"
"In post","2022","Department for International Trade","Male","Project Delivery","40","40","[c]","[c]"
"In post","2022","Department for International Trade","Male","Property","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Male","Security","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Male","Statistics","30","30","[c]","[c]"
"In post","2022","Department for International Trade","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Female","Communications","60","60","43870","39600"
"In post","2022","Department for Levelling Up, Housing and Communities","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Female","Digital, Data and Technology","60","50","46970","48200"
"In post","2022","Department for Levelling Up, Housing and Communities","Female","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Female","Finance","80","80","49000","48200"
"In post","2022","Department for Levelling Up, Housing and Communities","Female","Human Resources","70","70","39660","33210"
"In post","2022","Department for Levelling Up, Housing and Communities","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Female","Operational Delivery","400","370","33710","30680"
"In post","2022","Department for Levelling Up, Housing and Communities","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Female","Other","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Female","Planning","70","70","44890","40720"
"In post","2022","Department for Levelling Up, Housing and Communities","Female","Planning Inspectors","140","120","55350","58810"
"In post","2022","Department for Levelling Up, Housing and Communities","Female","Policy","970","940","47020","41980"
"In post","2022","Department for Levelling Up, Housing and Communities","Female","Project Delivery","100","100","45720","48200"
"In post","2022","Department for Levelling Up, Housing and Communities","Female","Security","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Female","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Female","Statistics","60","50","45240","42980"
"In post","2022","Department for Levelling Up, Housing and Communities","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Male","Communications","60","50","45500","39600"
"In post","2022","Department for Levelling Up, Housing and Communities","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Male","Digital, Data and Technology","90","90","47340","41980"
"In post","2022","Department for Levelling Up, Housing and Communities","Male","Economics","40","40","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Male","Finance","60","60","50010","50660"
"In post","2022","Department for Levelling Up, Housing and Communities","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Male","Operational Delivery","330","320","34710","32530"
"In post","2022","Department for Levelling Up, Housing and Communities","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Male","Other","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Male","Planning","70","70","44430","40590"
"In post","2022","Department for Levelling Up, Housing and Communities","Male","Planning Inspectors","240","210","56840","58810"
"In post","2022","Department for Levelling Up, Housing and Communities","Male","Policy","890","880","47560","48200"
"In post","2022","Department for Levelling Up, Housing and Communities","Male","Project Delivery","70","70","44920","48200"
"In post","2022","Department for Levelling Up, Housing and Communities","Male","Security","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Male","Statistics","80","80","46040","42980"
"In post","2022","Department for Transport","Female","Commercial","190","170","37560","34710"
"In post","2022","Department for Transport","Female","Communications","140","130","37920","32760"
"In post","2022","Department for Transport","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Female","Digital, Data and Technology","360","340","36890","33350"
"In post","2022","Department for Transport","Female","Economics","50","50","47020","53690"
"In post","2022","Department for Transport","Female","Finance","240","230","38390","34710"
"In post","2022","Department for Transport","Female","Human Resources","320","300","35770","32180"
"In post","2022","Department for Transport","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Female","Knowledge and Information Management","40","30","[c]","[c]"
"In post","2022","Department for Transport","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Female","Medicine","40","30","[c]","[c]"
"In post","2022","Department for Transport","Female","Operational Delivery","4460","3760","23760","21840"
"In post","2022","Department for Transport","Female","Operational Research","40","40","[c]","[c]"
"In post","2022","Department for Transport","Female","Other","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Female","Policy","700","670","44320","42470"
"In post","2022","Department for Transport","Female","Project Delivery","270","260","44380","42470"
"In post","2022","Department for Transport","Female","Property","80","80","33360","30730"
"In post","2022","Department for Transport","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Female","Security","60","50","42570","37270"
"In post","2022","Department for Transport","Female","Social Research","40","40","[c]","[c]"
"In post","2022","Department for Transport","Female","Statistics","40","40","[c]","[c]"
"In post","2022","Department for Transport","Female","Unknown","340","330","43540","34710"
"In post","2022","Department for Transport","Male","Commercial","200","190","40630","35060"
"In post","2022","Department for Transport","Male","Communications","90","90","40500","38650"
"In post","2022","Department for Transport","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Male","Counter Fraud","30","30","[c]","[c]"
"In post","2022","Department for Transport","Male","Digital, Data and Technology","880","880","41030","39040"
"In post","2022","Department for Transport","Male","Economics","100","90","49100","54110"
"In post","2022","Department for Transport","Male","Finance","230","230","43490","42060"
"In post","2022","Department for Transport","Male","Human Resources","130","120","37630","34120"
"In post","2022","Department for Transport","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Male","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Male","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2022","Department for Transport","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Male","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Male","Operational Delivery","5170","4930","28330","26780"
"In post","2022","Department for Transport","Male","Operational Research","30","30","[c]","[c]"
"In post","2022","Department for Transport","Male","Other","30","30","[c]","[c]"
"In post","2022","Department for Transport","Male","Policy","860","840","46500","42890"
"In post","2022","Department for Transport","Male","Project Delivery","280","280","50450","49940"
"In post","2022","Department for Transport","Male","Property","90","90","36090","31040"
"In post","2022","Department for Transport","Male","Science and Engineering","130","120","47320","43360"
"In post","2022","Department for Transport","Male","Security","140","140","36950","35980"
"In post","2022","Department for Transport","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Male","Statistics","40","40","[c]","[c]"
"In post","2022","Department for Transport","Male","Unknown","360","350","56060","48770"
"In post","2022","Department for Work and Pensions","Female","Commercial","300","270","34340","31990"
"In post","2022","Department for Work and Pensions","Female","Communications","60","60","43230","40330"
"In post","2022","Department for Work and Pensions","Female","Counter Fraud","3420","2960","27670","27570"
"In post","2022","Department for Work and Pensions","Female","Digital, Data and Technology","1330","1250","40290","35310"
"In post","2022","Department for Work and Pensions","Female","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Female","Finance","650","580","36580","35310"
"In post","2022","Department for Work and Pensions","Female","Human Resources","570","520","39240","35310"
"In post","2022","Department for Work and Pensions","Female","Knowledge and Information Management","300","280","35990","31990"
"In post","2022","Department for Work and Pensions","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Female","Operational Delivery","46090","39510","26570","27570"
"In post","2022","Department for Work and Pensions","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Female","Other","5060","4440","26430","27570"
"In post","2022","Department for Work and Pensions","Female","Policy","620","570","45360","40310"
"In post","2022","Department for Work and Pensions","Female","Project Delivery","970","820","34110","32250"
"In post","2022","Department for Work and Pensions","Female","Property","90","90","40150","36880"
"In post","2022","Department for Work and Pensions","Female","Psychology","40","40","[c]","[c]"
"In post","2022","Department for Work and Pensions","Female","Science and Engineering","250","220","36180","32460"
"In post","2022","Department for Work and Pensions","Female","Security","210","190","36430","35310"
"In post","2022","Department for Work and Pensions","Female","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Female","Statistics","100","90","46580","41850"
"In post","2022","Department for Work and Pensions","Female","Unknown","290","270","34070","27570"
"In post","2022","Department for Work and Pensions","Male","Commercial","220","210","36280","33170"
"In post","2022","Department for Work and Pensions","Male","Communications","50","50","[c]","[c]"
"In post","2022","Department for Work and Pensions","Male","Counter Fraud","2150","2010","28350","27570"
"In post","2022","Department for Work and Pensions","Male","Digital, Data and Technology","2670","2600","43290","38180"
"In post","2022","Department for Work and Pensions","Male","Economics","40","30","[c]","[c]"
"In post","2022","Department for Work and Pensions","Male","Finance","560","540","40120","35310"
"In post","2022","Department for Work and Pensions","Male","Human Resources","270","270","37340","32280"
"In post","2022","Department for Work and Pensions","Male","Knowledge and Information Management","170","170","36290","31990"
"In post","2022","Department for Work and Pensions","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Male","Operational Delivery","22950","22050","27340","27570"
"In post","2022","Department for Work and Pensions","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Male","Other","2670","2570","26650","27570"
"In post","2022","Department for Work and Pensions","Male","Policy","500","480","45830","40400"
"In post","2022","Department for Work and Pensions","Male","Project Delivery","530","500","37240","34290"
"In post","2022","Department for Work and Pensions","Male","Property","110","110","44580","38500"
"In post","2022","Department for Work and Pensions","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Male","Science and Engineering","230","220","41510","39390"
"In post","2022","Department for Work and Pensions","Male","Security","260","250","41560","36650"
"In post","2022","Department for Work and Pensions","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Male","Statistics","110","110","44280","37860"
"In post","2022","Department for Work and Pensions","Male","Unknown","230","220","35500","31060"
"In post","2022","Department of Health and Social Care","Female","Commercial","290","280","46520","40650"
"In post","2022","Department of Health and Social Care","Female","Communications","310","300","45040","40650"
"In post","2022","Department of Health and Social Care","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Female","Digital, Data and Technology","190","180","45120","40450"
"In post","2022","Department of Health and Social Care","Female","Economics","50","40","[c]","[c]"
"In post","2022","Department of Health and Social Care","Female","Finance","370","360","40620","37890"
"In post","2022","Department of Health and Social Care","Female","Human Resources","400","390","41220","36330"
"In post","2022","Department of Health and Social Care","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Female","Medicine","370","320","77930","78190"
"In post","2022","Department of Health and Social Care","Female","Operational Delivery","2940","2710","39340","33480"
"In post","2022","Department of Health and Social Care","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Female","Other","190","180","49920","49440"
"In post","2022","Department of Health and Social Care","Female","Policy","720","690","47530","49530"
"In post","2022","Department of Health and Social Care","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Female","Property","30","30","[c]","[c]"
"In post","2022","Department of Health and Social Care","Female","Science and Engineering","1610","1490","41090","40060"
"In post","2022","Department of Health and Social Care","Female","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Female","Statistics","30","30","[c]","[c]"
"In post","2022","Department of Health and Social Care","Female","Unknown","140","130","48060","49530"
"In post","2022","Department of Health and Social Care","Male","Commercial","220","220","49120","49530"
"In post","2022","Department of Health and Social Care","Male","Communications","170","170","46820","43410"
"In post","2022","Department of Health and Social Care","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Male","Digital, Data and Technology","210","200","43620","40550"
"In post","2022","Department of Health and Social Care","Male","Economics","40","40","[c]","[c]"
"In post","2022","Department of Health and Social Care","Male","Finance","250","250","46910","41330"
"In post","2022","Department of Health and Social Care","Male","Human Resources","150","150","40870","33090"
"In post","2022","Department of Health and Social Care","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Male","Medicine","190","180","91000","89310"
"In post","2022","Department of Health and Social Care","Male","Operational Delivery","1480","1420","44980","40070"
"In post","2022","Department of Health and Social Care","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Male","Other","140","140","50460","49530"
"In post","2022","Department of Health and Social Care","Male","Policy","390","380","51080","53360"
"In post","2022","Department of Health and Social Care","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Male","Property","40","40","[c]","[c]"
"In post","2022","Department of Health and Social Care","Male","Science and Engineering","740","720","43700","40070"
"In post","2022","Department of Health and Social Care","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Male","Unknown","70","70","51590","51440"
"In post","2022","Estyn","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Female","Inspector of Education and Training","30","30","[c]","[c]"
"In post","2022","Estyn","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Female","Property","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Male","Inspector of Education and Training","30","30","[c]","[c]"
"In post","2022","Estyn","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Male","Property","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Female","Communications","40","40","[c]","[c]"
"In post","2022","Food Standards Agency","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Female","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2022","Food Standards Agency","Female","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Female","Operational Delivery","180","170","34730","30810"
"In post","2022","Food Standards Agency","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Female","Other","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Female","Policy","140","130","39720","37350"
"In post","2022","Food Standards Agency","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Female","Property","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Female","Science and Engineering","80","70","39440","37350"
"In post","2022","Food Standards Agency","Female","Security","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Female","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Female","Veterinarian","30","30","[c]","[c]"
"In post","2022","Food Standards Agency","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Male","Counter Fraud","40","40","[c]","[c]"
"In post","2022","Food Standards Agency","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Male","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Male","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Male","Operational Delivery","440","420","31170","26750"
"In post","2022","Food Standards Agency","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Male","Other","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Male","Policy","130","120","42390","38850"
"In post","2022","Food Standards Agency","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Male","Property","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Male","Science and Engineering","40","40","[c]","[c]"
"In post","2022","Food Standards Agency","Male","Security","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Female","Commercial","70","70","41820","39630"
"In post","2022","Foreign, Commonwealth and Development Office","Female","Communications","60","50","45910","43300"
"In post","2022","Foreign, Commonwealth and Development Office","Female","Digital, Data and Technology","90","90","43790","42210"
"In post","2022","Foreign, Commonwealth and Development Office","Female","Economics","60","60","49610","53000"
"In post","2022","Foreign, Commonwealth and Development Office","Female","Finance","120","120","41700","38210"
"In post","2022","Foreign, Commonwealth and Development Office","Female","Human Resources","210","200","44740","38860"
"In post","2022","Foreign, Commonwealth and Development Office","Female","Intelligence Analysis","90","80","42920","37560"
"In post","2022","Foreign, Commonwealth and Development Office","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Female","Knowledge and Information Management","70","70","41670","36450"
"In post","2022","Foreign, Commonwealth and Development Office","Female","Legal","50","50","56750","57400"
"In post","2022","Foreign, Commonwealth and Development Office","Female","Medicine","30","30","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Female","Operational Delivery","380","360","34020","29790"
"In post","2022","Foreign, Commonwealth and Development Office","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Female","Other","170","160","61630","64130"
"In post","2022","Foreign, Commonwealth and Development Office","Female","Policy","1990","1940","49450","49370"
"In post","2022","Foreign, Commonwealth and Development Office","Female","Project Delivery","260","250","41580","38600"
"In post","2022","Foreign, Commonwealth and Development Office","Female","Property","70","70","41080","36220"
"In post","2022","Foreign, Commonwealth and Development Office","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Female","Security","90","90","37390","34190"
"In post","2022","Foreign, Commonwealth and Development Office","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Female","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Female","Unknown","120","120","51180","51770"
"In post","2022","Foreign, Commonwealth and Development Office","Male","Commercial","60","60","48930","48820"
"In post","2022","Foreign, Commonwealth and Development Office","Male","Communications","50","50","53250","51170"
"In post","2022","Foreign, Commonwealth and Development Office","Male","Digital, Data and Technology","220","220","42940","39290"
"In post","2022","Foreign, Commonwealth and Development Office","Male","Economics","90","90","52860","54930"
"In post","2022","Foreign, Commonwealth and Development Office","Male","Finance","110","100","43940","40930"
"In post","2022","Foreign, Commonwealth and Development Office","Male","Human Resources","110","110","53650","53970"
"In post","2022","Foreign, Commonwealth and Development Office","Male","Intelligence Analysis","100","100","49220","43300"
"In post","2022","Foreign, Commonwealth and Development Office","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Male","Knowledge and Information Management","60","50","48610","41030"
"In post","2022","Foreign, Commonwealth and Development Office","Male","Legal","80","60","57320","57540"
"In post","2022","Foreign, Commonwealth and Development Office","Male","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Male","Operational Delivery","210","210","35020","30580"
"In post","2022","Foreign, Commonwealth and Development Office","Male","Operational Research","40","30","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Male","Other","130","130","66960","67740"
"In post","2022","Foreign, Commonwealth and Development Office","Male","Policy","1990","1980","52220","53030"
"In post","2022","Foreign, Commonwealth and Development Office","Male","Project Delivery","160","160","46140","42610"
"In post","2022","Foreign, Commonwealth and Development Office","Male","Property","350","350","43000","41620"
"In post","2022","Foreign, Commonwealth and Development Office","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Male","Security","340","330","37240","34260"
"In post","2022","Foreign, Commonwealth and Development Office","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Male","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Male","Unknown","60","60","52340","44110"
"In post","2022","HM Land Registry","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","Female","Digital, Data and Technology","250","230","37520","38450"
"In post","2022","HM Land Registry","Female","Finance","40","40","[c]","[c]"
"In post","2022","HM Land Registry","Female","Human Resources","80","70","37540","33840"
"In post","2022","HM Land Registry","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","Female","Legal","180","160","47740","55090"
"In post","2022","HM Land Registry","Female","Operational Delivery","3280","2890","28200","27130"
"In post","2022","HM Land Registry","Female","Other","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","Female","Project Delivery","110","100","37670","38550"
