"Status","Year","Sexual_orientation","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","LGBO","Security","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Department for Education","40","40","[c]","[c]"
"In post","2021","LGBO","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Department for Work and Pensions","3640","3480","27830","27570"
"In post","2021","LGBO","Unknown","Department of Health and Social Care","30","30","[c]","[c]"
"In post","2021","LGBO","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Home Office","1170","1130","32850","27370"
"In post","2021","LGBO","Unknown","Ministry of Defence","400","390","30690","26670"
"In post","2021","LGBO","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Scottish Government","580","570","38400","33450"
"In post","2021","LGBO","Unknown","Welsh Government","210","200","41760","37410"
"In post","2021","Undeclared","Analysis","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Department for Environment, Food and Rural Affairs","40","30","[c]","[c]"
"In post","2021","Undeclared","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Department for Transport","40","40","[c]","[c]"
"In post","2021","Undeclared","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","HM Revenue and Customs","50","50","44800","38630"
"In post","2021","Undeclared","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Ministry of Defence","70","60","40420","39160"
"In post","2021","Undeclared","Analysis","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Ministry of Justice","50","40","[c]","[c]"
"In post","2021","Undeclared","Analysis","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","United Kingdom Statistics Authority","60","60","35840","32540"
"In post","2021","Undeclared","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Cabinet Office","30","30","[c]","[c]"
"In post","2021","Undeclared","Commercial","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Department for Transport","50","40","[c]","[c]"
"In post","2021","Undeclared","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Ministry of Defence","290","280","37790","35220"
"In post","2021","Undeclared","Commercial","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Ministry of Justice","80","80","43790","40710"
"In post","2021","Undeclared","Commercial","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Department for Transport","40","40","[c]","[c]"
"In post","2021","Undeclared","Communications","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","HM Revenue and Customs","200","190","29490","25560"
"In post","2021","Undeclared","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Ministry of Defence","100","90","30870","28580"
"In post","2021","Undeclared","Communications","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","HM Revenue and Customs","880","820","35440","31810"
"In post","2021","Undeclared","Counter Fraud","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Debt","HM Revenue and Customs","320","270","24020","21440"
"In post","2021","Undeclared","Debt","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Cabinet Office","100","90","52380","54700"
"In post","2021","Undeclared","Digital, Data & Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","70","70","45750","42500"
"In post","2021","Undeclared","Digital, Data & Technology","Department for Education","60","60","38470","36640"
"In post","2021","Undeclared","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","70","60","42020","39910"
"In post","2021","Undeclared","Digital, Data & Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Department for Transport","200","200","39640","40080"
"In post","2021","Undeclared","Digital, Data & Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Department of Health and Social Care","30","30","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","HM Land Registry","70","60","38590","38450"
"In post","2021","Undeclared","Digital, Data & Technology","HM Revenue and Customs","190","180","39030","35000"
"In post","2021","Undeclared","Digital, Data & Technology","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Ministry of Defence","150","140","34240","33300"
"In post","2021","Undeclared","Digital, Data & Technology","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Ministry of Justice","100","100","45670","42800"
"In post","2021","Undeclared","Digital, Data & Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Scottish Government","70","60","35350","29350"
"In post","2021","Undeclared","Digital, Data & Technology","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2021","Undeclared","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Department for Education","40","40","[c]","[c]"
"In post","2021","Undeclared","Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Department for Transport","60","60","39780","38650"
"In post","2021","Undeclared","Finance","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Department of Health and Social Care","30","30","[c]","[c]"
"In post","2021","Undeclared","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","HM Revenue and Customs","230","200","31390","28130"
"In post","2021","Undeclared","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Ministry of Defence","260","250","38670","33950"
"In post","2021","Undeclared","Finance","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Ministry of Justice","70","70","45420","40850"
"In post","2021","Undeclared","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Grants Management","Department for Environment, Food and Rural Affairs","60","60","25920","25190"
"In post","2021","Undeclared","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Cabinet Office","50","50","41150","35670"
"In post","2021","Undeclared","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Department for Transport","50","50","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","HM Revenue and Customs","110","100","33520","28850"
"In post","2021","Undeclared","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Ministry of Defence","220","200","32060","26830"
"In post","2021","Undeclared","Human Resources","Ministry of Justice","80","80","41510","35380"
"In post","2021","Undeclared","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","HM Treasury","40","30","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Attorney General's Departments","350","330","48330","51250"
"In post","2021","Undeclared","Legal","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","HM Land Registry","50","40","[c]","[c]"
"In post","2021","Undeclared","Legal","HM Revenue and Customs","90","80","41930","32520"
"In post","2021","Undeclared","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Ministry of Justice","230","210","45070","43710"
"In post","2021","Undeclared","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Scottish Government","1600","1440","27750","22820"
"In post","2021","Undeclared","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","No function","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","No function","Cabinet Office","190","180","45420","40600"
"In post","2021","Undeclared","No function","Chancellor's other departments","30","30","[c]","[c]"
"In post","2021","Undeclared","No function","Department for Business, Energy and Industrial Strategy","650","620","44310","40050"
"In post","2021","Undeclared","No function","Department for Digital, Culture, Media and Sport","80","80","47880","51730"
"In post","2021","Undeclared","No function","Department for Education","270","260","44450","40940"
"In post","2021","Undeclared","No function","Department for Environment, Food and Rural Affairs","540","510","36340","33510"
"In post","2021","Undeclared","No function","Department for International Trade","100","100","45370","39630"
"In post","2021","Undeclared","No function","Department for Transport","2340","2000","27380","26470"
"In post","2021","Undeclared","No function","Department for Work and Pensions","380","360","44850","44820"
"In post","2021","Undeclared","No function","Department of Health and Social Care","750","660","45070","38890"
"In post","2021","Undeclared","No function","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","No function","Food Standards Agency","90","90","39150","34730"
"In post","2021","Undeclared","No function","Foreign, Commonwealth and Development Office","400","390","48400","40120"
"In post","2021","Undeclared","No function","HM Land Registry","570","490","30340","27130"
"In post","2021","Undeclared","No function","HM Revenue and Customs","2120","1900","31010","28130"
"In post","2021","Undeclared","No function","HM Treasury","220","210","43710","36500"
"In post","2021","Undeclared","No function","Ministry of Defence","250","240","40870","41240"
"In post","2021","Undeclared","No function","Ministry of Housing, Communities and Local Government","190","180","45300","42580"
"In post","2021","Undeclared","No function","Ministry of Justice","6000","5550","28660","26630"
"In post","2021","Undeclared","No function","National Crime Agency","300","290","37620","36410"
"In post","2021","Undeclared","No function","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","No function","Office for Standards in Education","70","70","52060","51360"
"In post","2021","Undeclared","No function","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2021","Undeclared","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","No function","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","No function","Scottish Government","160","150","30970","30080"
"In post","2021","Undeclared","No function","The National Archives","30","30","[c]","[c]"
"In post","2021","Undeclared","No function","United Kingdom Statistics Authority","100","80","25590","19520"
"In post","2021","Undeclared","No function","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Department for Business, Energy and Industrial Strategy","90","80","46700","49080"
"In post","2021","Undeclared","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Department for Education","40","40","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Department for Transport","60","60","51700","42890"
"In post","2021","Undeclared","Project Delivery","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Foreign, Commonwealth and Development Office","60","50","54350","55620"
"In post","2021","Undeclared","Project Delivery","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","HM Revenue and Customs","350","320","44530","38630"
"In post","2021","Undeclared","Project Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Ministry of Defence","2130","2050","38720","36460"
"In post","2021","Undeclared","Project Delivery","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Ministry of Justice","50","50","45610","37870"
"In post","2021","Undeclared","Project Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Property","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Property","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Property","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Property","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Property","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Property","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Property","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Property","Foreign, Commonwealth and Development Office","50","50","[c]","[c]"
"In post","2021","Undeclared","Property","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Property","HM Revenue and Customs","340","310","35840","32110"
"In post","2021","Undeclared","Property","Ministry of Defence","320","310","34640","33300"
"In post","2021","Undeclared","Property","Ministry of Justice","30","30","[c]","[c]"
"In post","2021","Undeclared","Property","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Property","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Property","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Property","Scottish Government","40","40","[c]","[c]"
"In post","2021","Undeclared","Property","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Security","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Security","Cabinet Office","60","60","35870","33300"
"In post","2021","Undeclared","Security","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Security","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Security","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Security","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Security","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Security","Department for Transport","30","30","[c]","[c]"
"In post","2021","Undeclared","Security","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Security","Foreign, Commonwealth and Development Office","60","50","43160","37470"
"In post","2021","Undeclared","Security","HM Revenue and Customs","30","30","[c]","[c]"
"In post","2021","Undeclared","Security","Ministry of Defence","680","670","32880","39070"
"In post","2021","Undeclared","Security","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Security","Ministry of Justice","70","70","42690","40120"
"In post","2021","Undeclared","Security","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Security","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
