"Status","Year","Sexual_orientation","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","LGBO","Ministry of Housing, Communities and Local Government (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Ministry of Housing, Communities and Local Government (excl. agencies)","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Ministry of Housing, Communities and Local Government (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Ministry of Housing, Communities and Local Government (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Ministry of Housing, Communities and Local Government (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Ministry of Housing, Communities and Local Government (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Ministry of Justice (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Ministry of Justice (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Ministry of Justice (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Ministry of Justice (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Ministry of Justice (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Ministry of Justice (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Ministry of Justice (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Ministry of Justice (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Ministry of Justice (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Ministry of Justice (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Ministry of Justice (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Ministry of Justice (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Ministry of Justice (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Ministry of Justice (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Ministry of Justice (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","National Crime Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","National Crime Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","National Crime Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","National Crime Agency","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","National Crime Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","National Crime Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","National Infrastructure Commission","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","National Infrastructure Commission","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","National Records of Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","National Savings and Investments","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","National Savings and Investments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","National Savings and Investments","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","National Savings and Investments","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","National Savings and Investments","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","National Savings and Investments","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Northern Ireland Office","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Northern Ireland Office","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Northern Ireland Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Northern Ireland Office","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Northern Ireland Office","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office for Budget Responsibility","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office for Standards in Education, Children's Services and Skills","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office for Standards in Education, Children's Services and Skills","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office for Standards in Education, Children's Services and Skills","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office for Standards in Education, Children's Services and Skills","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office for Standards in Education, Children's Services and Skills","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office for Standards in Education, Children's Services and Skills","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office for Standards in Education, Children's Services and Skills","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office for Standards in Education, Children's Services and Skills","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office for Standards in Education, Children's Services and Skills","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office for Standards in Education, Children's Services and Skills","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office for Standards in Education, Children's Services and Skills","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office for Standards in Education, Children's Services and Skills","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office for Standards in Education, Children's Services and Skills","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office for Standards in Education, Children's Services and Skills","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office for Standards in Education, Children's Services and Skills","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office of Gas and Electricity Markets","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office of Gas and Electricity Markets","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office of Gas and Electricity Markets","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office of Gas and Electricity Markets","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office of Gas and Electricity Markets","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office of Gas and Electricity Markets","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office of Gas and Electricity Markets","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office of Gas and Electricity Markets","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office of Gas and Electricity Markets","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office of Gas and Electricity Markets","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office of Gas and Electricity Markets","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office of Qualifications and Examinations Regulation","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office of Qualifications and Examinations Regulation","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office of Qualifications and Examinations Regulation","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office of Qualifications and Examinations Regulation","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office of Qualifications and Examinations Regulation","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office of Qualifications and Examinations Regulation","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office of Qualifications and Examinations Regulation","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office of Rail and Road","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office of Rail and Road","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office of Rail and Road","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office of Rail and Road","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office of Rail and Road","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office of Rail and Road","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office of the Public Guardian","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office of the Public Guardian","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office of the Public Guardian","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office of the Public Guardian","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Office of the Scottish Charity Regulator","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Planning Inspectorate","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Planning Inspectorate","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Planning Inspectorate","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Planning Inspectorate","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Planning Inspectorate","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Planning Inspectorate","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Planning Inspectorate","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Public Health England","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Public Health England","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Public Health England","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Public Health England","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Public Health England","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Public Health England","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Public Health England","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Public Health England","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Public Health England","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Public Health England","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Queen Elizabeth II Centre","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Queen Elizabeth II Centre","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Registers of Scotland","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Registers of Scotland","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Registers of Scotland","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Registers of Scotland","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Registers of Scotland","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Registers of Scotland","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Revenue Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Royal Fleet Auxiliary","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Rural Payments Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Rural Payments Agency","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Rural Payments Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Scotland Office (incl. Office of the Advocate General for Scotland)","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Scotland Office (incl. Office of the Advocate General for Scotland)","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Scottish Courts and Tribunals Service","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Scottish Courts and Tribunals Service","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Scottish Fiscal Commission","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Scottish Forestry","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Scottish Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Scottish Housing Regulator","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Scottish Prison Service","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Scottish Prison Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Scottish Prison Service","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Scottish Prison Service","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Scottish Prison Service","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Scottish Prison Service","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Scottish Prison Service","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Scottish Prison Service","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Scottish Prison Service","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Scottish Public Pensions Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Serious Fraud Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Serious Fraud Office","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Serious Fraud Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Serious Fraud Office","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Serious Fraud Office","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Serious Fraud Office","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Social Security Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Standards and Testing Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Standards and Testing Agency","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Student Awards Agency for Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Submarine Delivery Agency","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Submarine Delivery Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Submarine Delivery Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Submarine Delivery Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Submarine Delivery Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Submarine Delivery Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Submarine Delivery Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Submarine Delivery Agency","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","The National Archives","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","The National Archives","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","The National Archives","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","The National Archives","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","The National Archives","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","The National Archives","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","The National Archives","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Transport Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","UK Export Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","UK Export Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","UK Export Finance","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","UK Export Finance","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","UK Export Finance","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","UK Export Finance","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","UK Export Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","UK Export Finance","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","UK Hydrographic Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","UK Hydrographic Office","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","UK Hydrographic Office","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","UK Hydrographic Office","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","UK Intellectual Property Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","UK Intellectual Property Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","UK Intellectual Property Office","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","UK Intellectual Property Office","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","UK Intellectual Property Office","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","UK Intellectual Property Office","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","UK Intellectual Property Office","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","UK Space Agency","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","UK Space Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","UK Supreme Court","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","UK Supreme Court","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","UK Supreme Court","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","UK Supreme Court","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","UK Supreme Court","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","United Kingdom Statistics Authority","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","United Kingdom Statistics Authority","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","United Kingdom Statistics Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","United Kingdom Statistics Authority","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","United Kingdom Statistics Authority","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","United Kingdom Statistics Authority","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","United Kingdom Statistics Authority","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","United Kingdom Statistics Authority","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","United Kingdom Statistics Authority","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","United Kingdom Statistics Authority","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","United Kingdom Statistics Authority","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","United Kingdom Statistics Authority","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","United Kingdom Statistics Authority","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","United Kingdom Statistics Authority","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","United Kingdom Statistics Authority","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","United Kingdom Statistics Authority","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Valuation Office Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Valuation Office Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Valuation Office Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Valuation Office Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Valuation Office Agency","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Vehicle Certification Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Vehicle Certification Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Vehicle Certification Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Veterinary Medicines Directorate","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Veterinary Medicines Directorate","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Veterinary Medicines Directorate","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Veterinary Medicines Directorate","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Veterinary Medicines Directorate","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Wales Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Wales Office","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Water Services Regulation Authority","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Water Services Regulation Authority","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Water Services Regulation Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Water Services Regulation Authority","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Water Services Regulation Authority","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Water Services Regulation Authority","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Water Services Regulation Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Water Services Regulation Authority","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Water Services Regulation Authority","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Water Services Regulation Authority","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Water Services Regulation Authority","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Water Services Regulation Authority","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Welsh Government (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Welsh Government (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Welsh Government (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Welsh Government (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Welsh Government (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Welsh Government (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Welsh Government (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Welsh Government (excl. agencies)","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Welsh Government (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Welsh Government (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Welsh Government (excl. agencies)","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Welsh Government (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Welsh Government (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Welsh Government (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Welsh Government (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Welsh Government (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Welsh Government (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Welsh Revenue Authority","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Welsh Revenue Authority","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Wilton Park","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Wilton Park","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Wilton Park","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Wilton Park","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Wilton Park","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Wilton Park","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Wilton Park","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Wilton Park","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Advisory, Conciliation and Arbitration Service","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Animal and Plant Health Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Companies House","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Companies House","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Competition and Markets Authority","Corporate Finance","[c]","[c]","[c]","[c]"
