"Status","Year","Function_of_post","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Unknown","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Science and Engineering","430","420","37480","33000"
"In post","2021","Unknown","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Unknown","7940","7590","35260","29190"
"In post","2021","Unknown","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Declared disabled","Economics","80","70","46190","37970"
"In post","2022","Analysis","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Declared disabled","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Declared disabled","Operational Delivery","90","80","36890","34260"
"In post","2022","Analysis","Declared disabled","Operational Research","60","60","43310","41550"
"In post","2022","Analysis","Declared disabled","Other","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Declared disabled","Policy","50","40","[c]","[c]"
"In post","2022","Analysis","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Declared disabled","Science and Engineering","40","40","[c]","[c]"
"In post","2022","Analysis","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Declared disabled","Social Research","110","100","40360","38340"
"In post","2022","Analysis","Declared disabled","Statistics","220","210","42110","38340"
"In post","2022","Analysis","Declared disabled","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Declared non-disabled","Digital, Data and Technology","90","90","44880","44740"
"In post","2022","Analysis","Declared non-disabled","Economics","920","900","48290","44260"
"In post","2022","Analysis","Declared non-disabled","Finance","40","40","[c]","[c]"
"In post","2022","Analysis","Declared non-disabled","Geography","40","40","[c]","[c]"
"In post","2022","Analysis","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Declared non-disabled","Intelligence Analysis","80","80","38630","37350"
"In post","2022","Analysis","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Declared non-disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Declared non-disabled","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2022","Analysis","Declared non-disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Declared non-disabled","Operational Delivery","510","490","34880","31670"
"In post","2022","Analysis","Declared non-disabled","Operational Research","570","540","44770","44220"
"In post","2022","Analysis","Declared non-disabled","Other","280","270","58790","52140"
"In post","2022","Analysis","Declared non-disabled","Policy","340","320","48340","49860"
"In post","2022","Analysis","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Declared non-disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Declared non-disabled","Science and Engineering","510","490","36890","35900"
"In post","2022","Analysis","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Declared non-disabled","Social Research","690","650","43420","38340"
"In post","2022","Analysis","Declared non-disabled","Statistics","1410","1360","44920","40520"
"In post","2022","Analysis","Declared non-disabled","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Declared non-disabled","Unknown","110","110","42340","39410"
"In post","2022","Analysis","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Undeclared","Economics","50","50","[c]","[c]"
"In post","2022","Analysis","Undeclared","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Undeclared","Social Research","40","40","[c]","[c]"
"In post","2022","Analysis","Undeclared","Statistics","70","70","44410","42430"
"In post","2022","Analysis","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Digital, Data and Technology","50","50","44520","41990"
"In post","2022","Analysis","Unknown","Economics","330","320","42710","36760"
"In post","2022","Analysis","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Operational Delivery","230","220","35130","30710"
"In post","2022","Analysis","Unknown","Operational Research","60","60","41800","37930"
"In post","2022","Analysis","Unknown","Other","80","70","53460","51150"
"In post","2022","Analysis","Unknown","Policy","170","160","52020","53360"
"In post","2022","Analysis","Unknown","Science and Engineering","150","140","40620","37280"
"In post","2022","Analysis","Unknown","Social Research","260","250","38190","38340"
"In post","2022","Analysis","Unknown","Statistics","370","360","41470","38340"
"In post","2022","Analysis","Unknown","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Declared disabled","Commercial","350","340","38360","37400"
"In post","2022","Commercial","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Declared disabled","Operational Delivery","30","30","[c]","[c]"
"In post","2022","Commercial","Declared disabled","Other","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Declared disabled","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Declared disabled","Unknown","40","30","[c]","[c]"
"In post","2022","Commercial","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Declared non-disabled","Commercial","2510","2420","39760","37420"
"In post","2022","Commercial","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Declared non-disabled","Finance","30","30","[c]","[c]"
"In post","2022","Commercial","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Declared non-disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Declared non-disabled","Operational Delivery","310","300","44240","40150"
"In post","2022","Commercial","Declared non-disabled","Other","70","60","43530","39880"
"In post","2022","Commercial","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Declared non-disabled","Project Delivery","80","70","44840","40050"
"In post","2022","Commercial","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Declared non-disabled","Science and Engineering","100","90","41470","41840"
"In post","2022","Commercial","Declared non-disabled","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Declared non-disabled","Unknown","350","340","71650","64500"
"In post","2022","Commercial","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Undeclared","Commercial","190","190","39990","37400"
"In post","2022","Commercial","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Commercial","1020","990","39180","36820"
"In post","2022","Commercial","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Operational Delivery","30","30","[c]","[c]"
"In post","2022","Commercial","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Unknown","1270","1250","68810","64500"
"In post","2022","Communications","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Declared disabled","Communications","270","260","38860","35000"
"In post","2022","Communications","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Declared disabled","Operational Delivery","130","120","28760","26820"
"In post","2022","Communications","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Declared disabled","Other","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Declared disabled","Tax","150","140","30270","26820"
"In post","2022","Communications","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Declared non-disabled","Communications","2110","2030","42550","38980"
"In post","2022","Communications","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Declared non-disabled","Knowledge and Information Management","80","70","40820","40660"
"In post","2022","Communications","Declared non-disabled","Operational Delivery","1080","1040","31490","26820"
"In post","2022","Communications","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Declared non-disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Declared non-disabled","Tax","1350","1300","29210","26820"
"In post","2022","Communications","Declared non-disabled","Unknown","320","320","45330","40600"
"In post","2022","Communications","Undeclared","Communications","140","130","40710","37910"
"In post","2022","Communications","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Undeclared","Operational Delivery","70","70","29880","26820"
"In post","2022","Communications","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Undeclared","Tax","80","80","29350","26820"
"In post","2022","Communications","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Communications","930","900","43370","39750"
"In post","2022","Communications","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Operational Delivery","530","510","28570","26820"
"In post","2022","Communications","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Tax","920","890","28400","26820"
"In post","2022","Communications","Unknown","Unknown","190","190","42510","40180"
"In post","2022","Counter Fraud","Declared disabled","Counter Fraud","970","860","28380","27570"
"In post","2022","Counter Fraud","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Declared disabled","Legal","240","220","33580","33080"
"In post","2022","Counter Fraud","Declared disabled","Operational Delivery","470","430","29850","27570"
"In post","2022","Counter Fraud","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Declared disabled","Other","50","40","36910","34670"
"In post","2022","Counter Fraud","Declared disabled","Tax","170","160","42520","37970"
"In post","2022","Counter Fraud","Declared disabled","Unknown","50","50","[c]","[c]"
"In post","2022","Counter Fraud","Declared non-disabled","Counter Fraud","4780","4300","29130","27570"
"In post","2022","Counter Fraud","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Declared non-disabled","Intelligence Analysis","160","150","40090","37610"
"In post","2022","Counter Fraud","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Declared non-disabled","Legal","2030","1940","34000","33080"
"In post","2022","Counter Fraud","Declared non-disabled","Operational Delivery","2500","2290","31180","27570"
"In post","2022","Counter Fraud","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Declared non-disabled","Other","200","180","43690","40180"
"In post","2022","Counter Fraud","Declared non-disabled","Tax","1200","1130","42570","40180"
"In post","2022","Counter Fraud","Declared non-disabled","Unknown","470","470","34470","30750"
"In post","2022","Counter Fraud","Undeclared","Counter Fraud","330","300","29800","27570"
"In post","2022","Counter Fraud","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Undeclared","Legal","230","220","35440","33370"
"In post","2022","Counter Fraud","Undeclared","Operational Delivery","200","190","30740","28920"
"In post","2022","Counter Fraud","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Undeclared","Tax","140","130","46110","40870"
"In post","2022","Counter Fraud","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Counter Fraud","310","300","33520","27570"
"In post","2022","Counter Fraud","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Intelligence Analysis","60","60","36160","33370"
"In post","2022","Counter Fraud","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Legal","900","870","32800","33080"
"In post","2022","Counter Fraud","Unknown","Operational Delivery","730","670","29500","26820"
"In post","2022","Counter Fraud","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Other","60","50","39670","33440"
"In post","2022","Counter Fraud","Unknown","Tax","400","380","38160","33370"
"In post","2022","Counter Fraud","Unknown","Unknown","250","250","31960","29380"
"In post","2022","Debt","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Declared disabled","Operational Delivery","350","300","24510","22080"
"In post","2022","Debt","Declared disabled","Other","400","330","22520","21260"
"In post","2022","Debt","Declared disabled","Tax","50","50","22440","21250"
"In post","2022","Debt","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Declared non-disabled","Operational Delivery","1900","1690","25500","22080"
"In post","2022","Debt","Declared non-disabled","Other","1890","1610","22680","21260"
"In post","2022","Debt","Declared non-disabled","Tax","400","380","22350","21250"
"In post","2022","Debt","Declared non-disabled","Unknown","70","60","26350","21250"
"In post","2022","Debt","Undeclared","Operational Delivery","170","150","24720","22080"
"In post","2022","Debt","Undeclared","Other","140","120","22230","21260"
"In post","2022","Debt","Undeclared","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Unknown","Operational Delivery","920","840","24160","21250"
"In post","2022","Debt","Unknown","Other","80","70","21760","21260"
"In post","2022","Debt","Unknown","Tax","390","370","22030","21250"
"In post","2022","Debt","Unknown","Unknown","40","40","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Digital, Data and Technology","1550","1490","39110","35840"
"In post","2022","Digital, Data & Technology","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Knowledge and Information Management","130","130","33650","30550"
"In post","2022","Digital, Data & Technology","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Operational Delivery","60","50","38380","33440"
"In post","2022","Digital, Data & Technology","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Other","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Science and Engineering","50","50","34770","34030"
"In post","2022","Digital, Data & Technology","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Unknown","140","140","45830","45760"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Digital, Data and Technology","11300","10970","41740","38450"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Knowledge and Information Management","600","580","32490","29670"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Operational Delivery","350","330","38130","33930"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Other","30","30","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Policy","140","140","45860","40720"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Project Delivery","150","140","40760","36490"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Science and Engineering","920","860","39160","39650"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Tax","50","50","40310","40180"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Unknown","1050","1040","50420","54700"
"In post","2022","Digital, Data & Technology","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Digital, Data and Technology","990","970","40690","37710"
"In post","2022","Digital, Data & Technology","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Knowledge and Information Management","80","80","32330","30570"
"In post","2022","Digital, Data & Technology","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Unknown","60","60","48530","42560"
"In post","2022","Digital, Data & Technology","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Digital, Data and Technology","3550","3490","41460","38000"
"In post","2022","Digital, Data & Technology","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Knowledge and Information Management","100","100","34310","29200"
"In post","2022","Digital, Data & Technology","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Operational Delivery","120","110","37300","33370"
"In post","2022","Digital, Data & Technology","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Policy","70","70","42810","40230"
"In post","2022","Digital, Data & Technology","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Unknown","270","270","48340","43810"
"In post","2022","Finance","Declared disabled","Commercial","90","80","33620","31990"
"In post","2022","Finance","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Finance","780","740","39080","35310"
"In post","2022","Finance","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Operational Delivery","140","110","27060","22080"
"In post","2022","Finance","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Other","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Policy","[c]","[c]","[c]","[c]"
