"Status","Year","Ethnicity","Profession_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Mixed","Policy","65+","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Project Delivery","20-29","60","60","34930","34350"
"In post","2022","Mixed","Project Delivery","30-39","80","80","43660","40520"
"In post","2022","Mixed","Project Delivery","40-49","60","60","45540","41940"
"In post","2022","Mixed","Project Delivery","50-59","60","50","45390","42300"
"In post","2022","Mixed","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Property","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Property","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Property","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Property","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Property","50-59","30","30","[c]","[c]"
"In post","2022","Mixed","Property","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Property","65+","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Psychology","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Psychology","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Psychology","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Psychology","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Psychology","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Psychology","65+","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Science and Engineering","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Science and Engineering","20-29","80","80","29200","28010"
"In post","2022","Mixed","Science and Engineering","30-39","60","60","39730","38070"
"In post","2022","Mixed","Science and Engineering","40-49","50","40","[c]","[c]"
"In post","2022","Mixed","Science and Engineering","50-59","30","30","[c]","[c]"
"In post","2022","Mixed","Science and Engineering","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Science and Engineering","65+","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Security","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Security","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Security","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Security","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Security","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Security","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Security","65+","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Social Research","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Social Research","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Social Research","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Social Research","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Social Research","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Social Research","65+","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Statistics","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Statistics","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Statistics","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Statistics","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Statistics","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Statistics","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Statistics","65+","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Tax","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Tax","20-29","70","70","31180","30750"
"In post","2022","Mixed","Tax","30-39","100","100","36550","33370"
"In post","2022","Mixed","Tax","40-49","60","60","35480","33370"
"In post","2022","Mixed","Tax","50-59","40","30","[c]","[c]"
"In post","2022","Mixed","Tax","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Tax","65+","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","20-29","170","170","34890","33330"
"In post","2022","Mixed","Unknown","30-39","170","160","43880","40600"
"In post","2022","Mixed","Unknown","40-49","100","100","50900","49700"
"In post","2022","Mixed","Unknown","50-59","50","50","55100","49700"
"In post","2022","Mixed","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Veterinarian","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Veterinarian","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Veterinarian","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Veterinarian","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Veterinarian","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Veterinarian","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Veterinarian","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Commercial","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Commercial","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Commercial","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Commercial","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Commercial","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Commercial","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Communications","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Communications","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Corporate Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Corporate Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Corporate Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Corporate Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Corporate Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Corporate Finance","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Counter Fraud","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Digital, Data and Technology","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Digital, Data and Technology","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Digital, Data and Technology","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Digital, Data and Technology","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Digital, Data and Technology","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Digital, Data and Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Digital, Data and Technology","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Economics","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Economics","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Economics","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Economics","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Economics","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Economics","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Economics","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Finance","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Geography","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Geography","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Geography","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Geography","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Geography","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Geography","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Human Resources","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Human Resources","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Human Resources","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Human Resources","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Human Resources","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Inspector of Education and Training","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Inspector of Education and Training","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Inspector of Education and Training","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Inspector of Education and Training","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Inspector of Education and Training","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Intelligence Analysis","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Intelligence Analysis","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Intelligence Analysis","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Intelligence Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Intelligence Analysis","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Intelligence Analysis","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Internal Audit","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Internal Audit","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","International Trade","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","International Trade","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","International Trade","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","International Trade","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","International Trade","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","International Trade","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","International Trade","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Knowledge and Information Management","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Knowledge and Information Management","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Knowledge and Information Management","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Knowledge and Information Management","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Knowledge and Information Management","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Knowledge and Information Management","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Knowledge and Information Management","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Legal","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Legal","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Legal","30-39","30","30","[c]","[c]"
"In post","2022","Other ethnicity","Legal","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Legal","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Legal","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Legal","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Medicine","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Medicine","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Medicine","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Medicine","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Medicine","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Medicine","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Operational Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Operational Delivery","20-29","220","220","28040","27570"
"In post","2022","Other ethnicity","Operational Delivery","30-39","260","250","30000","28310"
"In post","2022","Other ethnicity","Operational Delivery","40-49","300","280","31210","28310"
"In post","2022","Other ethnicity","Operational Delivery","50-59","330","310","31350","29080"
"In post","2022","Other ethnicity","Operational Delivery","60-64","100","80","29990","27570"
"In post","2022","Other ethnicity","Operational Delivery","65+","40","30","[c]","[c]"
"In post","2022","Other ethnicity","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Operational Research","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Operational Research","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Operational Research","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Operational Research","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Operational Research","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Operational Research","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Operational Research","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Other","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Other","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Other","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Other","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Other","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Other","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Other","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Planning","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Planning","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Planning","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Planning","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Planning","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Planning","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Planning Inspectors","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Planning Inspectors","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Planning Inspectors","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Planning Inspectors","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Planning Inspectors","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Planning Inspectors","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Policy","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Policy","20-29","100","90","38080","35800"
"In post","2022","Other ethnicity","Policy","30-39","100","100","46770","47350"
"In post","2022","Other ethnicity","Policy","40-49","70","70","52430","53380"
"In post","2022","Other ethnicity","Policy","50-59","40","40","[c]","[c]"
"In post","2022","Other ethnicity","Policy","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Policy","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Property","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Property","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Property","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Property","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Property","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Property","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Property","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Psychology","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Psychology","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Psychology","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Psychology","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Psychology","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Psychology","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Science and Engineering","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Science and Engineering","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Science and Engineering","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Science and Engineering","40-49","30","30","[c]","[c]"
"In post","2022","Other ethnicity","Science and Engineering","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Science and Engineering","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Science and Engineering","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Security","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Security","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Security","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Security","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Security","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Security","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Security","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Social Research","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Social Research","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Social Research","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Social Research","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Social Research","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Social Research","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Statistics","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Statistics","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Statistics","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Statistics","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Statistics","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Statistics","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Statistics","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Tax","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Tax","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Tax","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Tax","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Tax","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Tax","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Tax","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","20-29","40","40","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","30-39","40","40","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Veterinarian","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Veterinarian","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Veterinarian","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Veterinarian","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Veterinarian","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Veterinarian","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Veterinarian","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Commercial","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Commercial","30-39","60","50","38680","37530"
"In post","2022","Undeclared","Commercial","40-49","70","60","42560","39360"
"In post","2022","Undeclared","Commercial","50-59","80","80","41780","40190"
"In post","2022","Undeclared","Commercial","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Communications","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Communications","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Communications","50-59","40","40","[c]","[c]"
"In post","2022","Undeclared","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Corporate Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Corporate Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Counter Fraud","40-49","80","80","29950","27570"
"In post","2022","Undeclared","Counter Fraud","50-59","180","170","28960","27570"
"In post","2022","Undeclared","Counter Fraud","60-64","70","50","28500","27570"
"In post","2022","Undeclared","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data and Technology","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data and Technology","20-29","80","80","33520","31560"
"In post","2022","Undeclared","Digital, Data and Technology","30-39","190","190","42980","40520"
"In post","2022","Undeclared","Digital, Data and Technology","40-49","280","270","43220","40380"
"In post","2022","Undeclared","Digital, Data and Technology","50-59","410","400","43740","40520"
"In post","2022","Undeclared","Digital, Data and Technology","60-64","90","80","40070","37920"
"In post","2022","Undeclared","Digital, Data and Technology","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Economics","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Economics","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Economics","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Economics","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","20-29","40","40","[c]","[c]"
"In post","2022","Undeclared","Finance","30-39","90","90","41150","37740"
"In post","2022","Undeclared","Finance","40-49","140","130","41470","37100"
"In post","2022","Undeclared","Finance","50-59","190","190","40740","36650"
"In post","2022","Undeclared","Finance","60-64","60","60","38510","35370"
"In post","2022","Undeclared","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Geography","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Geography","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Geography","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Geography","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Geography","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","30-39","60","60","37830","34260"
"In post","2022","Undeclared","Human Resources","40-49","60","60","39580","35310"
"In post","2022","Undeclared","Human Resources","50-59","110","110","37570","33300"
"In post","2022","Undeclared","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Inspector of Education and Training","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Inspector of Education and Training","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Inspector of Education and Training","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Intelligence Analysis","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Intelligence Analysis","30-39","40","40","[c]","[c]"
"In post","2022","Undeclared","Intelligence Analysis","40-49","50","50","[c]","[c]"
"In post","2022","Undeclared","Intelligence Analysis","50-59","80","70","35680","31520"
