"Status","Year","Disability","Responsibility_level","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Undeclared","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SCS","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SCS","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Heterosexual / straight","180","170","37020","36840"
"Leaver CS","2022","Undeclared","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Undeclared","180","170","38860","38010"
"Leaver CS","2022","Undeclared","SEO/HEO","Unknown","80","70","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Heterosexual / straight","40","30","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Undeclared","30","30","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Heterosexual / straight","440","390","23600","21840"
"Leaver CS","2022","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Undeclared","80","70","23370","21250"
"Leaver CS","2022","Unknown","AA/AO","Unknown","4060","3750","21720","21260"
"Leaver CS","2022","Unknown","EO","Heterosexual / straight","340","300","29270","28500"
"Leaver CS","2022","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Undeclared","130","60","28500","27400"
"Leaver CS","2022","Unknown","EO","Unknown","1720","1610","27350","27570"
"Leaver CS","2022","Unknown","G6/G7","Heterosexual / straight","220","190","59080","55000"
"Leaver CS","2022","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Undeclared","160","60","58640","56950"
"Leaver CS","2022","Unknown","G6/G7","Unknown","740","680","60800","57580"
"Leaver CS","2022","Unknown","SCS","Heterosexual / straight","50","30","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Undeclared","30","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Unknown","120","120","107260","95930"
"Leaver CS","2022","Unknown","SEO/HEO","Heterosexual / straight","450","390","38350","38000"
"Leaver CS","2022","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Undeclared","260","90","38190","39020"
"Leaver CS","2022","Unknown","SEO/HEO","Unknown","1460","1350","36900","36360"
"Leaver CS","2022","Unknown","Unknown","Heterosexual / straight","50","30","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Undeclared","60","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Unknown","830","730","36270","33270"
"Leaver Dept.","2021","Declared disabled","AA/AO","Heterosexual / straight","90","90","21000","21010"
"Leaver Dept.","2021","Declared disabled","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","AA/AO","Unknown","50","40","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","EO","Heterosexual / straight","170","160","26510","27310"
"Leaver Dept.","2021","Declared disabled","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","EO","Unknown","40","30","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","G6/G7","Heterosexual / straight","110","110","56860","54700"
"Leaver Dept.","2021","Declared disabled","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","SCS","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","SCS","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","SEO/HEO","Heterosexual / straight","260","250","35170","33960"
"Leaver Dept.","2021","Declared disabled","SEO/HEO","LGBO","50","50","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","SEO/HEO","Undeclared","40","40","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","SEO/HEO","Unknown","40","30","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","AA/AO","Heterosexual / straight","740","710","21140","21010"
"Leaver Dept.","2021","Declared non-disabled","AA/AO","LGBO","60","60","20920","21010"
"Leaver Dept.","2021","Declared non-disabled","AA/AO","Undeclared","50","50","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","AA/AO","Unknown","410","380","21170","21010"
"Leaver Dept.","2021","Declared non-disabled","EO","Heterosexual / straight","1070","1030","26710","27570"
"Leaver Dept.","2021","Declared non-disabled","EO","LGBO","90","90","26550","27470"
"Leaver Dept.","2021","Declared non-disabled","EO","Undeclared","80","80","27410","27570"
"Leaver Dept.","2021","Declared non-disabled","EO","Unknown","310","280","27690","27570"
"Leaver Dept.","2021","Declared non-disabled","G6/G7","Heterosexual / straight","980","950","57650","55990"
"Leaver Dept.","2021","Declared non-disabled","G6/G7","LGBO","80","80","54730","54240"
"Leaver Dept.","2021","Declared non-disabled","G6/G7","Undeclared","90","80","57970","55650"
"Leaver Dept.","2021","Declared non-disabled","G6/G7","Unknown","190","150","58410","56130"
"Leaver Dept.","2021","Declared non-disabled","SCS","Heterosexual / straight","160","150","87910","79790"
"Leaver Dept.","2021","Declared non-disabled","SCS","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","SCS","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","SCS","Unknown","40","40","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","SEO/HEO","Heterosexual / straight","1800","1770","35340","34240"
"Leaver Dept.","2021","Declared non-disabled","SEO/HEO","LGBO","170","170","35240","34380"
"Leaver Dept.","2021","Declared non-disabled","SEO/HEO","Undeclared","130","130","36340","35750"
"Leaver Dept.","2021","Declared non-disabled","SEO/HEO","Unknown","380","290","36170","35310"
"Leaver Dept.","2021","Declared non-disabled","Unknown","Heterosexual / straight","70","70","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","AA/AO","Heterosexual / straight","30","30","[c]","[c]"
"Leaver Dept.","2021","Undeclared","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","AA/AO","Undeclared","30","30","[c]","[c]"
"Leaver Dept.","2021","Undeclared","AA/AO","Unknown","30","30","[c]","[c]"
"Leaver Dept.","2021","Undeclared","EO","Heterosexual / straight","60","60","26860","27570"
"Leaver Dept.","2021","Undeclared","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","EO","Undeclared","30","30","[c]","[c]"
"Leaver Dept.","2021","Undeclared","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","G6/G7","Undeclared","50","50","[c]","[c]"
"Leaver Dept.","2021","Undeclared","G6/G7","Unknown","40","30","[c]","[c]"
"Leaver Dept.","2021","Undeclared","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","SCS","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","SEO/HEO","Heterosexual / straight","100","100","35470","34050"
"Leaver Dept.","2021","Undeclared","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","SEO/HEO","Undeclared","60","60","[c]","[c]"
"Leaver Dept.","2021","Undeclared","SEO/HEO","Unknown","70","60","37240","35090"
"Leaver Dept.","2021","Undeclared","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","AA/AO","Heterosexual / straight","30","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","AA/AO","Unknown","570","540","20830","20710"
"Leaver Dept.","2021","Unknown","EO","Heterosexual / straight","50","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","EO","Unknown","410","370","27010","27020"
"Leaver Dept.","2021","Unknown","G6/G7","Heterosexual / straight","80","70","56170","54100"
"Leaver Dept.","2021","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","G6/G7","Unknown","590","500","56120","54290"
"Leaver Dept.","2021","Unknown","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SCS","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SCS","Unknown","70","50","[c]","[c]"
"Leaver Dept.","2021","Unknown","SEO/HEO","Heterosexual / straight","110","110","36790","36030"
"Leaver Dept.","2021","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SEO/HEO","Unknown","1320","1200","34030","32690"
"Leaver Dept.","2021","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Unknown","90","80","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","AA/AO","Heterosexual / straight","190","170","21380","21260"
"Leaver Dept.","2022","Declared disabled","AA/AO","LGBO","30","30","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","AA/AO","Unknown","50","40","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","EO","Heterosexual / straight","340","330","27270","27570"
"Leaver Dept.","2022","Declared disabled","EO","LGBO","80","80","27030","27570"
"Leaver Dept.","2022","Declared disabled","EO","Undeclared","50","50","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","EO","Unknown","40","30","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","G6/G7","Heterosexual / straight","200","180","57360","55550"
"Leaver Dept.","2022","Declared disabled","G6/G7","LGBO","30","30","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","G6/G7","Undeclared","30","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","SCS","Heterosexual / straight","40","30","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","SCS","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","SCS","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","SEO/HEO","Heterosexual / straight","470","450","35350","34550"
"Leaver Dept.","2022","Declared disabled","SEO/HEO","LGBO","100","90","35120","34580"
"Leaver Dept.","2022","Declared disabled","SEO/HEO","Undeclared","60","60","36130","35310"
"Leaver Dept.","2022","Declared disabled","SEO/HEO","Unknown","70","60","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","AA/AO","Heterosexual / straight","1580","1470","21450","21260"
"Leaver Dept.","2022","Declared non-disabled","AA/AO","LGBO","100","90","21470","21260"
"Leaver Dept.","2022","Declared non-disabled","AA/AO","Undeclared","130","110","21640","21260"
"Leaver Dept.","2022","Declared non-disabled","AA/AO","Unknown","350","330","21290","21260"
"Leaver Dept.","2022","Declared non-disabled","EO","Heterosexual / straight","2820","2720","26940","27570"
"Leaver Dept.","2022","Declared non-disabled","EO","LGBO","210","200","27300","27570"
"Leaver Dept.","2022","Declared non-disabled","EO","Undeclared","210","200","26580","27500"
"Leaver Dept.","2022","Declared non-disabled","EO","Unknown","330","310","27460","27570"
"Leaver Dept.","2022","Declared non-disabled","G6/G7","Heterosexual / straight","2150","2060","57910","54760"
"Leaver Dept.","2022","Declared non-disabled","G6/G7","LGBO","180","180","57180","54700"
"Leaver Dept.","2022","Declared non-disabled","G6/G7","Undeclared","190","180","59170","56340"
"Leaver Dept.","2022","Declared non-disabled","G6/G7","Unknown","260","200","58660","56240"
"Leaver Dept.","2022","Declared non-disabled","SCS","Heterosexual / straight","400","360","94940","93570"
"Leaver Dept.","2022","Declared non-disabled","SCS","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","SCS","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","SCS","Unknown","50","30","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","SEO/HEO","Heterosexual / straight","4130","3960","35890","35310"
"Leaver Dept.","2022","Declared non-disabled","SEO/HEO","LGBO","350","330","35810","35070"
"Leaver Dept.","2022","Declared non-disabled","SEO/HEO","Undeclared","350","340","35600","34670"
"Leaver Dept.","2022","Declared non-disabled","SEO/HEO","Unknown","440","350","36370","35460"
"Leaver Dept.","2022","Declared non-disabled","Unknown","Heterosexual / straight","110","100","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","AA/AO","Heterosexual / straight","50","50","[c]","[c]"
"Leaver Dept.","2022","Undeclared","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","AA/AO","Undeclared","40","40","[c]","[c]"
"Leaver Dept.","2022","Undeclared","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","EO","Heterosexual / straight","120","120","27260","27570"
"Leaver Dept.","2022","Undeclared","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","EO","Undeclared","50","50","[c]","[c]"
"Leaver Dept.","2022","Undeclared","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","G6/G7","Heterosexual / straight","50","40","[c]","[c]"
"Leaver Dept.","2022","Undeclared","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","G6/G7","Undeclared","60","60","57780","54700"
"Leaver Dept.","2022","Undeclared","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","SCS","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","SEO/HEO","Heterosexual / straight","150","150","36110","35850"
"Leaver Dept.","2022","Undeclared","SEO/HEO","LGBO","30","30","[c]","[c]"
"Leaver Dept.","2022","Undeclared","SEO/HEO","Undeclared","150","150","37140","37000"
"Leaver Dept.","2022","Undeclared","SEO/HEO","Unknown","40","30","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","AA/AO","Heterosexual / straight","110","100","22290","22200"
"Leaver Dept.","2022","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","AA/AO","Undeclared","30","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","AA/AO","Unknown","640","600","21450","21210"
"Leaver Dept.","2022","Unknown","EO","Heterosexual / straight","210","170","27090","27150"
"Leaver Dept.","2022","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","EO","Undeclared","170","30","[c]","[c]"
"Leaver Dept.","2022","Unknown","EO","Unknown","580","550","27450","27570"
"Leaver Dept.","2022","Unknown","G6/G7","Heterosexual / straight","300","240","57570","54450"
"Leaver Dept.","2022","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","G6/G7","Undeclared","420","110","58170","54420"
"Leaver Dept.","2022","Unknown","G6/G7","Unknown","830","750","58590","55130"
"Leaver Dept.","2022","Unknown","SCS","Heterosexual / straight","70","50","107200","107780"
"Leaver Dept.","2022","Unknown","SCS","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","SCS","Undeclared","90","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","SCS","Unknown","140","120","107780","103290"
"Leaver Dept.","2022","Unknown","SEO/HEO","Heterosexual / straight","480","380","37060","37380"
"Leaver Dept.","2022","Unknown","SEO/HEO","LGBO","50","40","[c]","[c]"
"Leaver Dept.","2022","Unknown","SEO/HEO","Undeclared","540","120","37030","38070"
"Leaver Dept.","2022","Unknown","SEO/HEO","Unknown","1670","1600","34940","33300"
"Leaver Dept.","2022","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Undeclared","60","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Unknown","80","80","[c]","[c]"
"New entrant CS","2021","Declared disabled","AA/AO","Heterosexual / straight","940","920","21250","21010"
"New entrant CS","2021","Declared disabled","AA/AO","LGBO","210","210","21120","21010"
"New entrant CS","2021","Declared disabled","AA/AO","Undeclared","90","90","21190","21010"
"New entrant CS","2021","Declared disabled","AA/AO","Unknown","40","40","[c]","[c]"
"New entrant CS","2021","Declared disabled","EO","Heterosexual / straight","1310","1270","27890","27570"
"New entrant CS","2021","Declared disabled","EO","LGBO","320","310","27690","27570"
"New entrant CS","2021","Declared disabled","EO","Undeclared","110","110","28020","27570"
"New entrant CS","2021","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","G6/G7","Heterosexual / straight","130","120","55250","54330"
"New entrant CS","2021","Declared disabled","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","SCS","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","SEO/HEO","Heterosexual / straight","460","450","34500","33570"
"New entrant CS","2021","Declared disabled","SEO/HEO","LGBO","120","120","33060","32330"
"New entrant CS","2021","Declared disabled","SEO/HEO","Undeclared","40","40","[c]","[c]"
"New entrant CS","2021","Declared disabled","SEO/HEO","Unknown","40","30","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Heterosexual / straight","100","90","23820","22920"
"New entrant CS","2021","Declared disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","AA/AO","Heterosexual / straight","9170","8980","21700","21010"
"New entrant CS","2021","Declared non-disabled","AA/AO","LGBO","780","770","21520","21010"
"New entrant CS","2021","Declared non-disabled","AA/AO","Undeclared","430","420","21380","21010"
"New entrant CS","2021","Declared non-disabled","AA/AO","Unknown","220","210","21930","21050"
"New entrant CS","2021","Declared non-disabled","EO","Heterosexual / straight","9590","9380","27870","27570"
"New entrant CS","2021","Declared non-disabled","EO","LGBO","900","890","27710","27570"
"New entrant CS","2021","Declared non-disabled","EO","Undeclared","480","470","27690","27570"
"New entrant CS","2021","Declared non-disabled","EO","Unknown","150","150","26310","26000"
"New entrant CS","2021","Declared non-disabled","G6/G7","Heterosexual / straight","1470","1420","57670","54700"
"New entrant CS","2021","Declared non-disabled","G6/G7","LGBO","100","100","56900","54650"
"New entrant CS","2021","Declared non-disabled","G6/G7","Undeclared","100","100","59840","57220"
"New entrant CS","2021","Declared non-disabled","G6/G7","Unknown","50","50","56130","53260"
"New entrant CS","2021","Declared non-disabled","SCS","Heterosexual / straight","150","130","96920","91000"
"New entrant CS","2021","Declared non-disabled","SCS","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Heterosexual / straight","4800","4650","35150","34020"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","LGBO","420","410","34440","33570"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Undeclared","360","350","34760","33570"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Unknown","190","180","35650","35680"
"New entrant CS","2021","Declared non-disabled","Unknown","Heterosexual / straight","940","870","25600","22920"
"New entrant CS","2021","Declared non-disabled","Unknown","LGBO","70","70","23110","22920"
"New entrant CS","2021","Declared non-disabled","Unknown","Undeclared","40","30","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","Heterosexual / straight","320","310","21590","21010"
"New entrant CS","2021","Undeclared","AA/AO","LGBO","50","40","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","Undeclared","120","120","21450","21010"
"New entrant CS","2021","Undeclared","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","EO","Heterosexual / straight","370","360","27890","27570"
"New entrant CS","2021","Undeclared","EO","LGBO","70","70","27420","27570"
"New entrant CS","2021","Undeclared","EO","Undeclared","160","150","27430","27570"
"New entrant CS","2021","Undeclared","EO","Unknown","50","50","26590","29970"
"New entrant CS","2021","Undeclared","G6/G7","Heterosexual / straight","70","60","57650","56350"
"New entrant CS","2021","Undeclared","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","Undeclared","70","60","58550","56000"
"New entrant CS","2021","Undeclared","G6/G7","Unknown","30","30","[c]","[c]"
"New entrant CS","2021","Undeclared","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SCS","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SCS","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Heterosexual / straight","230","220","34700","33300"
"New entrant CS","2021","Undeclared","SEO/HEO","LGBO","40","40","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Undeclared","150","130","34780","33390"
"New entrant CS","2021","Undeclared","SEO/HEO","Unknown","110","110","33580","34710"
"New entrant CS","2021","Undeclared","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Heterosexual / straight","900","870","21570","21300"
"New entrant CS","2021","Unknown","AA/AO","LGBO","100","100","22190","22350"
"New entrant CS","2021","Unknown","AA/AO","Undeclared","120","110","21240","20850"
"New entrant CS","2021","Unknown","AA/AO","Unknown","7070","6870","21450","20600"
"New entrant CS","2021","Unknown","EO","Heterosexual / straight","1130","1120","28390","27570"
"New entrant CS","2021","Unknown","EO","LGBO","110","110","27790","27270"
"New entrant CS","2021","Unknown","EO","Undeclared","90","80","27880","27550"
"New entrant CS","2021","Unknown","EO","Unknown","3830","3760","26620","27130"
"New entrant CS","2021","Unknown","G6/G7","Heterosexual / straight","480","470","54640","53360"
"New entrant CS","2021","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","G6/G7","Undeclared","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","G6/G7","Unknown","1150","1120","58980","56160"
"New entrant CS","2021","Unknown","SCS","Heterosexual / straight","30","30","[c]","[c]"
"New entrant CS","2021","Unknown","SCS","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SCS","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SCS","Unknown","270","260","88830","74000"
"New entrant CS","2021","Unknown","SEO/HEO","Heterosexual / straight","1120","1100","36170","36500"
"New entrant CS","2021","Unknown","SEO/HEO","LGBO","110","110","34770","33570"
"New entrant CS","2021","Unknown","SEO/HEO","Undeclared","100","100","36470","36700"
"New entrant CS","2021","Unknown","SEO/HEO","Unknown","3370","3320","33920","32790"
