"Status","Year","Sexual_orientation","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Heterosexual / straight","Unknown","No function","1940","1780","31740","27570"
"In post","2022","Heterosexual / straight","Unknown","Project Delivery","200","190","42170","40000"
"In post","2022","Heterosexual / straight","Unknown","Property","50","40","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Security","80","70","31470","30250"
"In post","2022","Heterosexual / straight","Unknown","Unknown","280","270","35610","31140"
"In post","2022","Heterosexual / straight","White","Analysis","4480","4290","45010","39850"
"In post","2022","Heterosexual / straight","White","Commercial","3290","3180","42930","38980"
"In post","2022","Heterosexual / straight","White","Communications","4090","3930","37590","33370"
"In post","2022","Heterosexual / straight","White","Counter Fraud","8740","8080","33030","29290"
"In post","2022","Heterosexual / straight","White","Debt","3140","2760","24050","21260"
"In post","2022","Heterosexual / straight","White","Digital, Data & Technology","12410","12010","41650","38450"
"In post","2022","Heterosexual / straight","White","Finance","6850","6480","40150","36050"
"In post","2022","Heterosexual / straight","White","Grants Management","970","880","26280","24920"
"In post","2022","Heterosexual / straight","White","Human Resources","7540","7100","38340","33370"
"In post","2022","Heterosexual / straight","White","Internal Audit","470","440","46320","43610"
"In post","2022","Heterosexual / straight","White","Legal","6460","6030","46950","48830"
"In post","2022","Heterosexual / straight","White","No function","146300","135190","32330","27570"
"In post","2022","Heterosexual / straight","White","Project Delivery","16530","15870","42210","40000"
"In post","2022","Heterosexual / straight","White","Property","5750","5520","37600","33350"
"In post","2022","Heterosexual / straight","White","Security","6870","6700","32250","29360"
"In post","2022","Heterosexual / straight","White","Unknown","47420","44870","35030","30040"
"In post","2022","LGBO","Asian","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Debt","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2022","LGBO","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Legal","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","No function","400","380","32530","28060"
"In post","2022","LGBO","Asian","Project Delivery","30","30","[c]","[c]"
"In post","2022","LGBO","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Unknown","60","60","32560","28870"
"In post","2022","LGBO","Black","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Debt","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","No function","210","210","31830","30250"
"In post","2022","LGBO","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Property","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Security","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Unknown","40","40","[c]","[c]"
"In post","2022","LGBO","Mixed","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Mixed","Debt","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Mixed","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2022","LGBO","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Mixed","Human Resources","30","30","[c]","[c]"
"In post","2022","LGBO","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Mixed","Legal","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Mixed","No function","480","470","33020","29290"
"In post","2022","LGBO","Mixed","Project Delivery","40","40","[c]","[c]"
"In post","2022","LGBO","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Mixed","Unknown","80","80","39020","34600"
"In post","2022","LGBO","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Other ethnicity","No function","140","130","36990","31770"
"In post","2022","LGBO","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Undeclared","No function","190","180","31320","28310"
"In post","2022","LGBO","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","No function","150","140","35640","31610"
"In post","2022","LGBO","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","White","Analysis","490","480","40670","37610"
"In post","2022","LGBO","White","Commercial","190","180","39990","36500"
"In post","2022","LGBO","White","Communications","410","400","36180","33080"
"In post","2022","LGBO","White","Counter Fraud","540","520","32440","28920"
"In post","2022","LGBO","White","Debt","250","240","23420","21260"
"In post","2022","LGBO","White","Digital, Data & Technology","880","860","40070","36500"
"In post","2022","LGBO","White","Finance","360","350","39590","35310"
"In post","2022","LGBO","White","Grants Management","70","70","25680","24920"
"In post","2022","LGBO","White","Human Resources","570","560","38860","33300"
"In post","2022","LGBO","White","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","White","Legal","470","450","46500","48440"
"In post","2022","LGBO","White","No function","11190","10860","32780","27570"
"In post","2022","LGBO","White","Project Delivery","850","840","41910","38550"
"In post","2022","LGBO","White","Property","250","240","36400","33300"
"In post","2022","LGBO","White","Security","320","320","33580","32000"
"In post","2022","LGBO","White","Unknown","2560","2490","36050","30980"
"In post","2022","Undeclared","Asian","Analysis","30","30","[c]","[c]"
"In post","2022","Undeclared","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Asian","Counter Fraud","70","60","29210","27570"
"In post","2022","Undeclared","Asian","Debt","50","40","23420","21680"
"In post","2022","Undeclared","Asian","Digital, Data & Technology","70","70","41330","39320"
"In post","2022","Undeclared","Asian","Finance","60","60","36750","35310"
"In post","2022","Undeclared","Asian","Human Resources","30","30","[c]","[c]"
"In post","2022","Undeclared","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Asian","Legal","30","30","[c]","[c]"
"In post","2022","Undeclared","Asian","No function","960","870","30780","27570"
"In post","2022","Undeclared","Asian","Project Delivery","40","30","[c]","[c]"
"In post","2022","Undeclared","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Asian","Unknown","410","370","30720","28670"
"In post","2022","Undeclared","Black","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Black","Counter Fraud","40","30","[c]","[c]"
"In post","2022","Undeclared","Black","Debt","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Black","No function","490","460","31410","30330"
"In post","2022","Undeclared","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Black","Property","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Black","Security","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Black","Unknown","120","110","32670","29020"
"In post","2022","Undeclared","Mixed","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Mixed","Debt","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Mixed","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Mixed","No function","400","370","34400","30360"
"In post","2022","Undeclared","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Mixed","Unknown","100","90","33280","29370"
"In post","2022","Undeclared","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","No function","150","140","39150","32850"
"In post","2022","Undeclared","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","Unknown","30","30","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Analysis","140","130","46550","42080"
"In post","2022","Undeclared","Undeclared","Commercial","160","150","42590","40000"
"In post","2022","Undeclared","Undeclared","Communications","130","120","36260","33370"
"In post","2022","Undeclared","Undeclared","Counter Fraud","560","520","35410","33080"
"In post","2022","Undeclared","Undeclared","Debt","130","110","24120","22080"
"In post","2022","Undeclared","Undeclared","Digital, Data & Technology","880","850","41800","39280"
"In post","2022","Undeclared","Undeclared","Finance","360","340","39680","36020"
"In post","2022","Undeclared","Undeclared","Grants Management","30","30","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Human Resources","250","240","35920","33000"
"In post","2022","Undeclared","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Legal","220","210","50400","53050"
"In post","2022","Undeclared","Undeclared","No function","5620","5230","33900","30030"
"In post","2022","Undeclared","Undeclared","Project Delivery","980","940","42490","40540"
"In post","2022","Undeclared","Undeclared","Property","350","330","38000","33630"
"In post","2022","Undeclared","Undeclared","Security","460","450","36590","37640"
"In post","2022","Undeclared","Undeclared","Unknown","2790","2630","35230","30830"
"In post","2022","Undeclared","Unknown","Analysis","120","120","49740","53360"
"In post","2022","Undeclared","Unknown","Commercial","100","100","45890","41980"
"In post","2022","Undeclared","Unknown","Communications","160","160","45660","46580"
"In post","2022","Undeclared","Unknown","Counter Fraud","60","50","39660","37610"
"In post","2022","Undeclared","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Digital, Data & Technology","190","180","40380","37800"
"In post","2022","Undeclared","Unknown","Finance","180","180","41620","37060"
"In post","2022","Undeclared","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Human Resources","60","60","36550","32790"
"In post","2022","Undeclared","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","No function","1390","1310","39950","33520"
"In post","2022","Undeclared","Unknown","Project Delivery","90","90","46890","42350"
"In post","2022","Undeclared","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Security","40","30","[c]","[c]"
"In post","2022","Undeclared","Unknown","Unknown","130","130","38920","34830"
"In post","2022","Undeclared","White","Analysis","350","330","42910","38070"
"In post","2022","Undeclared","White","Commercial","260","250","40860","36820"
"In post","2022","Undeclared","White","Communications","270","260","36120","33080"
"In post","2022","Undeclared","White","Counter Fraud","800","720","31880","27570"
"In post","2022","Undeclared","White","Debt","280","240","23510","21260"
"In post","2022","Undeclared","White","Digital, Data & Technology","1120","1080","40280","37500"
"In post","2022","Undeclared","White","Finance","590","540","39570","35800"
"In post","2022","Undeclared","White","Grants Management","50","50","23340","21300"
"In post","2022","Undeclared","White","Human Resources","440","410","35210","31740"
"In post","2022","Undeclared","White","Internal Audit","50","50","46200","40520"
"In post","2022","Undeclared","White","Legal","340","320","49400","51250"
"In post","2022","Undeclared","White","No function","13530","12190","31360","27570"
"In post","2022","Undeclared","White","Project Delivery","1170","1100","42220","40000"
"In post","2022","Undeclared","White","Property","410","390","38720","34330"
"In post","2022","Undeclared","White","Security","580","560","35430","37320"
"In post","2022","Undeclared","White","Unknown","3750","3530","35130","30040"
"In post","2022","Unknown","Asian","Analysis","40","30","[c]","[c]"
"In post","2022","Unknown","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Asian","Communications","80","80","30170","26820"
"In post","2022","Unknown","Asian","Counter Fraud","220","200","30470","28920"
"In post","2022","Unknown","Asian","Debt","150","120","25150","25110"
"In post","2022","Unknown","Asian","Digital, Data & Technology","120","120","42040","39980"
"In post","2022","Unknown","Asian","Finance","120","110","36350","34290"
"In post","2022","Unknown","Asian","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Asian","Human Resources","40","30","[c]","[c]"
"In post","2022","Unknown","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Asian","Legal","140","120","43210","44040"
"In post","2022","Unknown","Asian","No function","1920","1680","31110","27570"
"In post","2022","Unknown","Asian","Project Delivery","130","120","41600","38600"
"In post","2022","Unknown","Asian","Property","40","40","[c]","[c]"
"In post","2022","Unknown","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Asian","Unknown","90","80","33370","28980"
"In post","2022","Unknown","Black","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Black","Counter Fraud","100","90","31140","31060"
"In post","2022","Unknown","Black","Debt","50","40","[c]","[c]"
"In post","2022","Unknown","Black","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2022","Unknown","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Black","Legal","80","80","44100","40450"
"In post","2022","Unknown","Black","No function","910","840","31410","30750"
"In post","2022","Unknown","Black","Project Delivery","40","40","[c]","[c]"
"In post","2022","Unknown","Black","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Black","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Black","Unknown","30","30","[c]","[c]"
"In post","2022","Unknown","Mixed","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Mixed","Counter Fraud","30","30","[c]","[c]"
"In post","2022","Unknown","Mixed","Debt","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Mixed","Legal","40","30","[c]","[c]"
"In post","2022","Unknown","Mixed","No function","340","310","32780","28390"
"In post","2022","Unknown","Mixed","Project Delivery","40","40","[c]","[c]"
"In post","2022","Unknown","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","150","130","35010","29260"
"In post","2022","Unknown","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Analysis","70","70","43300","47010"
"In post","2022","Unknown","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Communications","30","30","[c]","[c]"
"In post","2022","Unknown","Undeclared","Counter Fraud","280","240","31120","27570"
"In post","2022","Unknown","Undeclared","Debt","80","70","23700","22080"
"In post","2022","Unknown","Undeclared","Digital, Data & Technology","120","110","39170","35940"
"In post","2022","Unknown","Undeclared","Finance","90","80","35260","33370"
"In post","2022","Unknown","Undeclared","Grants Management","40","40","[c]","[c]"
"In post","2022","Unknown","Undeclared","Human Resources","40","40","[c]","[c]"
"In post","2022","Unknown","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Legal","50","40","[c]","[c]"
"In post","2022","Unknown","Undeclared","No function","2400","2110","32120","27570"
"In post","2022","Unknown","Undeclared","Project Delivery","170","160","42840","40090"
"In post","2022","Unknown","Undeclared","Property","250","220","36180","32890"
"In post","2022","Unknown","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Unknown","110","100","37180","33000"
"In post","2022","Unknown","Unknown","Analysis","780","760","40200","36840"
"In post","2022","Unknown","Unknown","Commercial","1680","1660","61390","61710"
"In post","2022","Unknown","Unknown","Communications","1900","1860","33420","26820"
"In post","2022","Unknown","Unknown","Counter Fraud","2050","1960","32280","30750"
"In post","2022","Unknown","Unknown","Debt","1200","1110","22610","21250"
"In post","2022","Unknown","Unknown","Digital, Data & Technology","2690","2650","41570","37980"
"In post","2022","Unknown","Unknown","Finance","1200","1140","36760","33300"
"In post","2022","Unknown","Unknown","Grants Management","850","810","23900","21300"
"In post","2022","Unknown","Unknown","Human Resources","920","890","35730","32000"
"In post","2022","Unknown","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Legal","1200","1120","48030","50500"
"In post","2022","Unknown","Unknown","No function","36070","33940","29940","27080"
"In post","2022","Unknown","Unknown","Project Delivery","2400","2340","42250","40000"
"In post","2022","Unknown","Unknown","Property","1270","1230","31940","26950"
"In post","2022","Unknown","Unknown","Security","1300","1280","31490","27680"
"In post","2022","Unknown","Unknown","Unknown","10750","10420","35020","30780"
"In post","2022","Unknown","White","Analysis","810","780","41050","38070"
"In post","2022","Unknown","White","Commercial","240","230","45070","40010"
"In post","2022","Unknown","White","Communications","270","250","36670","31560"
"In post","2022","Unknown","White","Counter Fraud","1440","1270","30610","27570"
"In post","2022","Unknown","White","Debt","530","460","24790","22080"
"In post","2022","Unknown","White","Digital, Data & Technology","940","900","40890","36960"
"In post","2022","Unknown","White","Finance","740","670","36310","32890"
"In post","2022","Unknown","White","Grants Management","210","180","25090","21300"
"In post","2022","Unknown","White","Human Resources","410","370","33470","29180"
"In post","2022","Unknown","White","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","White","Legal","1130","1010","48670","53350"
"In post","2022","Unknown","White","No function","18900","16410","30690","27570"
"In post","2022","Unknown","White","Project Delivery","1540","1430","42240","39940"
"In post","2022","Unknown","White","Property","290","280","35650","33300"
"In post","2022","Unknown","White","Security","350","340","37410","38070"
"In post","2022","Unknown","White","Unknown","2310","2160","37050","31990"
"Leaver CS","2021","Heterosexual / straight","Asian","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Asian","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Asian","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Asian","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Asian","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Asian","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Asian","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Asian","Legal","40","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Asian","No function","290","270","30000","24390"
"Leaver CS","2021","Heterosexual / straight","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Asian","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Asian","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Asian","Unknown","340","310","28010","27400"
"Leaver CS","2021","Heterosexual / straight","Black","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Black","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Black","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Black","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Black","Finance","[c]","[c]","[c]","[c]"
