"Status","Year","Sexual_orientation","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","LGBO","Male","Operational Delivery","4690","4550","29030","27570"
"In post","2022","LGBO","Male","Operational Research","40","40","[c]","[c]"
"In post","2022","LGBO","Male","Other","530","520","30970","27570"
"In post","2022","LGBO","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Male","Policy","1320","1300","48870","48500"
"In post","2022","LGBO","Male","Project Delivery","340","330","44500","40520"
"In post","2022","LGBO","Male","Property","130","130","40260","35840"
"In post","2022","LGBO","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Male","Science and Engineering","260","260","36980","32910"
"In post","2022","LGBO","Male","Security","160","160","34650","33630"
"In post","2022","LGBO","Male","Social Research","30","30","[c]","[c]"
"In post","2022","LGBO","Male","Statistics","90","90","41350","37930"
"In post","2022","LGBO","Male","Tax","530","520","34080","33020"
"In post","2022","LGBO","Male","Unknown","900","890","41520","34640"
"In post","2022","LGBO","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Commercial","340","320","39870","37860"
"In post","2022","Undeclared","Female","Communications","260","240","42530","39000"
"In post","2022","Undeclared","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Counter Fraud","360","300","27660","27570"
"In post","2022","Undeclared","Female","Digital, Data and Technology","640","620","41350","38450"
"In post","2022","Undeclared","Female","Economics","70","60","44490","40650"
"In post","2022","Undeclared","Female","Finance","720","680","38190","33370"
"In post","2022","Undeclared","Female","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Human Resources","480","450","35480","32790"
"In post","2022","Undeclared","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Intelligence Analysis","180","160","33460","30500"
"In post","2022","Undeclared","Female","Internal Audit","50","50","46770","43070"
"In post","2022","Undeclared","Female","International Trade","40","40","[c]","[c]"
"In post","2022","Undeclared","Female","Knowledge and Information Management","150","140","33230","31860"
"In post","2022","Undeclared","Female","Legal","510","460","48870","47100"
"In post","2022","Undeclared","Female","Medicine","160","140","63190","54340"
"In post","2022","Undeclared","Female","Operational Delivery","12130","10500","28160","26820"
"In post","2022","Undeclared","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Other","1390","1290","29270","26670"
"In post","2022","Undeclared","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Policy","1610","1550","45680","41100"
"In post","2022","Undeclared","Female","Project Delivery","630","590","40990","39420"
"In post","2022","Undeclared","Female","Property","280","260","37740","33370"
"In post","2022","Undeclared","Female","Psychology","60","60","34940","31180"
"In post","2022","Undeclared","Female","Science and Engineering","440","400","39680","38680"
"In post","2022","Undeclared","Female","Security","200","190","33240","31020"
"In post","2022","Undeclared","Female","Social Research","60","50","43070","38340"
"In post","2022","Undeclared","Female","Statistics","80","70","41440","38340"
"In post","2022","Undeclared","Female","Tax","600","550","37760","33370"
"In post","2022","Undeclared","Female","Unknown","760","730","43070","39660"
"In post","2022","Undeclared","Female","Veterinarian","40","40","[c]","[c]"
"In post","2022","Undeclared","Male","Commercial","310","300","42720","40650"
"In post","2022","Undeclared","Male","Communications","200","200","42730","39180"
"In post","2022","Undeclared","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Male","Counter Fraud","240","230","29990","27570"
"In post","2022","Undeclared","Male","Digital, Data and Technology","1340","1320","42090","38710"
"In post","2022","Undeclared","Male","Economics","110","110","49470","51120"
"In post","2022","Undeclared","Male","Finance","580","570","43410","40520"
"In post","2022","Undeclared","Male","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Male","Human Resources","260","260","38340","34770"
"In post","2022","Undeclared","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Male","Intelligence Analysis","240","230","36050","33300"
"In post","2022","Undeclared","Male","Internal Audit","40","40","[c]","[c]"
"In post","2022","Undeclared","Male","International Trade","50","50","48930","51710"
"In post","2022","Undeclared","Male","Knowledge and Information Management","150","150","36720","33300"
"In post","2022","Undeclared","Male","Legal","460","440","47810","44780"
"In post","2022","Undeclared","Male","Medicine","90","80","71600","70330"
"In post","2022","Undeclared","Male","Operational Delivery","9200","8700","30480","27570"
"In post","2022","Undeclared","Male","Operational Research","40","40","[c]","[c]"
"In post","2022","Undeclared","Male","Other","1300","1260","31720","27570"
"In post","2022","Undeclared","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Male","Policy","1530","1510","48660","47200"
"In post","2022","Undeclared","Male","Project Delivery","730","710","47200","42700"
"In post","2022","Undeclared","Male","Property","430","410","39650","36450"
"In post","2022","Undeclared","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Male","Science and Engineering","1110","1070","39760","38330"
"In post","2022","Undeclared","Male","Security","760","740","35800","39070"
"In post","2022","Undeclared","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Male","Statistics","90","90","43300","38500"
"In post","2022","Undeclared","Male","Tax","760","720","40860","35980"
"In post","2022","Undeclared","Male","Unknown","770","760","45710","40600"
"In post","2022","Undeclared","Male","Veterinarian","30","30","[c]","[c]"
"In post","2022","Undeclared","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Commercial","440","410","35760","33370"
"In post","2022","Unknown","Female","Communications","410","400","42230","38750"
"In post","2022","Unknown","Female","Corporate Finance","40","40","[c]","[c]"
"In post","2022","Unknown","Female","Counter Fraud","810","680","28670","27570"
"In post","2022","Unknown","Female","Digital, Data and Technology","1240","1190","41260","37930"
"In post","2022","Unknown","Female","Economics","110","100","43150","37160"
"In post","2022","Unknown","Female","Finance","790","730","37970","34290"
"In post","2022","Unknown","Female","Geography","40","30","[c]","[c]"
"In post","2022","Unknown","Female","Human Resources","710","670","36500","32290"
"In post","2022","Unknown","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Intelligence Analysis","140","140","33170","29680"
"In post","2022","Unknown","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","International Trade","220","220","44260","39210"
"In post","2022","Unknown","Female","Knowledge and Information Management","180","170","36560","33080"
"In post","2022","Unknown","Female","Legal","1650","1480","48980","51470"
"In post","2022","Unknown","Female","Medicine","330","280","53300","40730"
"In post","2022","Unknown","Female","Operational Delivery","31030","26950","26710","24920"
"In post","2022","Unknown","Female","Operational Research","150","140","41850","38070"
"In post","2022","Unknown","Female","Other","2260","2060","31310","27570"
"In post","2022","Unknown","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Policy","2330","2230","46250","41950"
"In post","2022","Unknown","Female","Project Delivery","1310","1210","40260","38070"
"In post","2022","Unknown","Female","Property","510","470","32500","29750"
"In post","2022","Unknown","Female","Psychology","200","190","35850","34340"
"In post","2022","Unknown","Female","Science and Engineering","1080","1020","39530","38070"
"In post","2022","Unknown","Female","Security","320","310","34060","31600"
"In post","2022","Unknown","Female","Social Research","120","120","40200","38340"
"In post","2022","Unknown","Female","Statistics","160","150","38820","36840"
"In post","2022","Unknown","Female","Tax","2730","2530","30050","26820"
"In post","2022","Unknown","Female","Unknown","5750","5490","39270","32000"
"In post","2022","Unknown","Female","Veterinarian","30","30","[c]","[c]"
"In post","2022","Unknown","Male","Commercial","410","390","39540","36650"
"In post","2022","Unknown","Male","Communications","300","300","42820","38930"
"In post","2022","Unknown","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Counter Fraud","580","540","30620","27570"
"In post","2022","Unknown","Male","Digital, Data and Technology","2720","2690","42330","38450"
"In post","2022","Unknown","Male","Economics","240","240","45660","37610"
"In post","2022","Unknown","Male","Finance","730","720","40580","37470"
"In post","2022","Unknown","Male","Geography","90","80","31150","29290"
"In post","2022","Unknown","Male","Human Resources","320","320","37950","33370"
"In post","2022","Unknown","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Intelligence Analysis","190","190","34740","33080"
"In post","2022","Unknown","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","International Trade","250","250","46700","40520"
"In post","2022","Unknown","Male","Knowledge and Information Management","170","160","36450","33080"
"In post","2022","Unknown","Male","Legal","1250","1210","46870","41750"
"In post","2022","Unknown","Male","Medicine","150","130","65240","54280"
"In post","2022","Unknown","Male","Operational Delivery","22900","21690","28490","26820"
"In post","2022","Unknown","Male","Operational Research","310","300","44750","47010"
"In post","2022","Unknown","Male","Other","3300","3250","35700","32700"
"In post","2022","Unknown","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Planning Inspectors","40","30","[c]","[c]"
"In post","2022","Unknown","Male","Policy","1990","1960","46950","42890"
"In post","2022","Unknown","Male","Project Delivery","1130","1110","43530","40520"
"In post","2022","Unknown","Male","Property","780","760","37280","33370"
"In post","2022","Unknown","Male","Psychology","30","30","[c]","[c]"
"In post","2022","Unknown","Male","Science and Engineering","2440","2380","41090","38600"
"In post","2022","Unknown","Male","Security","1100","1090","33190","30690"
"In post","2022","Unknown","Male","Social Research","70","70","41420","38340"
"In post","2022","Unknown","Male","Statistics","200","200","41740","38020"
"In post","2022","Unknown","Male","Tax","3140","3040","32420","30750"
"In post","2022","Unknown","Male","Unknown","5490","5400","41750","33250"
"In post","2022","Unknown","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Female","Commercial","60","60","37140","35370"
"Leaver CS","2021","Heterosexual / straight","Female","Communications","70","60","37530","34160"
"Leaver CS","2021","Heterosexual / straight","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Female","Digital, Data and Technology","70","60","41980","38100"
"Leaver CS","2021","Heterosexual / straight","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Female","Finance","80","80","36820","32430"
"Leaver CS","2021","Heterosexual / straight","Female","Human Resources","130","120","37740","32550"
"Leaver CS","2021","Heterosexual / straight","Female","Inspector of Education and Training","40","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Female","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Female","Knowledge and Information Management","50","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Female","Legal","140","120","53480","52670"
"Leaver CS","2021","Heterosexual / straight","Female","Medicine","130","100","46900","37110"
"Leaver CS","2021","Heterosexual / straight","Female","Operational Delivery","2330","2010","26470","22240"
"Leaver CS","2021","Heterosexual / straight","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Female","Other","390","360","27030","21580"
"Leaver CS","2021","Heterosexual / straight","Female","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Female","Policy","210","200","45340","40700"
"Leaver CS","2021","Heterosexual / straight","Female","Project Delivery","140","130","37510","33080"
"Leaver CS","2021","Heterosexual / straight","Female","Property","70","60","32220","26500"
"Leaver CS","2021","Heterosexual / straight","Female","Psychology","60","60","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Female","Science and Engineering","180","170","31460","28170"
"Leaver CS","2021","Heterosexual / straight","Female","Security","40","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Female","Unknown","2020","1660","27940","26120"
"Leaver CS","2021","Heterosexual / straight","Female","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Male","Commercial","70","70","42030","40470"
"Leaver CS","2021","Heterosexual / straight","Male","Communications","60","60","36630","32700"
"Leaver CS","2021","Heterosexual / straight","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Male","Digital, Data and Technology","160","160","43310","38770"
"Leaver CS","2021","Heterosexual / straight","Male","Economics","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Male","Finance","90","90","46770","44790"
"Leaver CS","2021","Heterosexual / straight","Male","Human Resources","80","80","41280","36100"
"Leaver CS","2021","Heterosexual / straight","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Male","Intelligence Analysis","40","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Male","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Male","Legal","100","80","53740","55000"
"Leaver CS","2021","Heterosexual / straight","Male","Medicine","50","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Male","Operational Delivery","2250","2050","30310","25710"
"Leaver CS","2021","Heterosexual / straight","Male","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Male","Other","500","490","31140","29200"
"Leaver CS","2021","Heterosexual / straight","Male","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Male","Policy","200","190","49870","41970"
"Leaver CS","2021","Heterosexual / straight","Male","Project Delivery","180","170","45210","40020"
"Leaver CS","2021","Heterosexual / straight","Male","Property","170","150","34010","33000"
"Leaver CS","2021","Heterosexual / straight","Male","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Male","Science and Engineering","310","300","33200","29520"
"Leaver CS","2021","Heterosexual / straight","Male","Security","220","210","30100","26930"
"Leaver CS","2021","Heterosexual / straight","Male","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Male","Unknown","1390","1280","30940","27040"
"Leaver CS","2021","Heterosexual / straight","Male","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Operational Delivery","170","160","26110","21590"
"Leaver CS","2021","LGBO","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Unknown","110","100","28960","25110"
"Leaver CS","2021","LGBO","Female","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Operational Delivery","100","90","29690","23810"
"Leaver CS","2021","LGBO","Male","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Unknown","120","110","29760","27570"
"Leaver CS","2021","LGBO","Male","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Operational Delivery","440","370","27090","22820"
"Leaver CS","2021","Undeclared","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Other","50","40","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Policy","30","30","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Unknown","240","190","27440","26890"
"Leaver CS","2021","Undeclared","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Operational Delivery","400","350","29850","26550"
"Leaver CS","2021","Undeclared","Male","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Other","80","80","27850","26670"
"Leaver CS","2021","Undeclared","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Policy","30","30","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Project Delivery","30","30","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Property","30","30","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Science and Engineering","50","40","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Security","40","30","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Unknown","210","180","33190","27570"
"Leaver CS","2021","Undeclared","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Communications","50","50","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Digital, Data and Technology","50","40","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Human Resources","40","30","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Legal","70","60","53260","55610"
"Leaver CS","2021","Unknown","Female","Medicine","40","30","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Operational Delivery","1210","1090","25160","21590"
"Leaver CS","2021","Unknown","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Other","130","120","32310","26670"
"Leaver CS","2021","Unknown","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Policy","150","140","38710","33170"
"Leaver CS","2021","Unknown","Female","Project Delivery","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Property","50","40","28380","24800"
"Leaver CS","2021","Unknown","Female","Psychology","[c]","[c]","[c]","[c]"
