"Status","Year","Responsibility_level","Organisation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","G6/G7","Health and Safety Executive","Undeclared","40","40","[c]","[c]"
"In post","2021","G6/G7","Health and Safety Executive","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","HM Courts and Tribunals Service","Declared disabled","50","50","[c]","[c]"
"In post","2021","G6/G7","HM Courts and Tribunals Service","Declared non-disabled","540","530","55700","54710"
"In post","2021","G6/G7","HM Courts and Tribunals Service","Undeclared","50","50","[c]","[c]"
"In post","2021","G6/G7","HM Courts and Tribunals Service","Unknown","30","30","[c]","[c]"
"In post","2021","G6/G7","HM Land Registry","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","HM Land Registry","Declared non-disabled","190","170","63370","61260"
"In post","2021","G6/G7","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","HM Land Registry","Unknown","90","90","60280","59760"
"In post","2021","G6/G7","HM Prison and Probation Service","Declared disabled","70","70","71640","69910"
"In post","2021","G6/G7","HM Prison and Probation Service","Declared non-disabled","600","580","73660","70300"
"In post","2021","G6/G7","HM Prison and Probation Service","Undeclared","80","70","73230","72010"
"In post","2021","G6/G7","HM Prison and Probation Service","Unknown","30","30","[c]","[c]"
"In post","2021","G6/G7","HM Revenue and Customs (excl. agencies)","Declared disabled","610","580","57140","53150"
"In post","2021","G6/G7","HM Revenue and Customs (excl. agencies)","Declared non-disabled","4900","4720","57110","52580"
"In post","2021","G6/G7","HM Revenue and Customs (excl. agencies)","Undeclared","430","410","58360","55610"
"In post","2021","G6/G7","HM Revenue and Customs (excl. agencies)","Unknown","1370","1320","57300","53630"
"In post","2021","G6/G7","HM Treasury (excl. agencies)","Declared disabled","80","80","58730","55850"
"In post","2021","G6/G7","HM Treasury (excl. agencies)","Declared non-disabled","630","610","58460","56030"
"In post","2021","G6/G7","HM Treasury (excl. agencies)","Undeclared","120","120","58530","56600"
"In post","2021","G6/G7","HM Treasury (excl. agencies)","Unknown","30","30","[c]","[c]"
"In post","2021","G6/G7","Home Office (incl. agencies)","Declared disabled","250","250","60650","57680"
"In post","2021","G6/G7","Home Office (incl. agencies)","Declared non-disabled","2710","2640","60920","57680"
"In post","2021","G6/G7","Home Office (incl. agencies)","Undeclared","170","170","61180","57740"
"In post","2021","G6/G7","Home Office (incl. agencies)","Unknown","230","230","59540","57430"
"In post","2021","G6/G7","Insolvency Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Insolvency Service","Declared non-disabled","90","90","59980","57670"
"In post","2021","G6/G7","Insolvency Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Insolvency Service","Unknown","30","30","[c]","[c]"
"In post","2021","G6/G7","Institute for Apprenticeships and Technical Education","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Institute for Apprenticeships and Technical Education","Declared non-disabled","100","100","55730","53950"
"In post","2021","G6/G7","Institute for Apprenticeships and Technical Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Legal Aid Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Legal Aid Agency","Declared non-disabled","80","80","58450","55490"
"In post","2021","G6/G7","Legal Aid Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Legal Aid Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Maritime and Coastguard Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Maritime and Coastguard Agency","Declared non-disabled","120","120","60510","57050"
"In post","2021","G6/G7","Maritime and Coastguard Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Maritime and Coastguard Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Medicines and Healthcare Products Regulatory Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Medicines and Healthcare Products Regulatory Agency","Declared non-disabled","210","200","59930","54440"
"In post","2021","G6/G7","Medicines and Healthcare Products Regulatory Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Medicines and Healthcare Products Regulatory Agency","Unknown","190","180","58710","53860"
"In post","2021","G6/G7","Met Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Met Office","Declared non-disabled","540","510","52280","48540"
"In post","2021","G6/G7","Ministry of Defence (excl. agencies)","Declared disabled","210","200","62480","59730"
"In post","2021","G6/G7","Ministry of Defence (excl. agencies)","Declared non-disabled","1810","1740","62490","59730"
"In post","2021","G6/G7","Ministry of Defence (excl. agencies)","Undeclared","170","160","62110","59520"
"In post","2021","G6/G7","Ministry of Defence (excl. agencies)","Unknown","450","420","65610","62730"
"In post","2021","G6/G7","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","90","90","56610","53130"
"In post","2021","G6/G7","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","760","740","56960","53650"
"In post","2021","G6/G7","Ministry of Housing, Communities and Local Government (excl. agencies)","Undeclared","50","50","56830","53720"
"In post","2021","G6/G7","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","90","90","56140","53130"
"In post","2021","G6/G7","Ministry of Justice (excl. agencies)","Declared disabled","120","110","59220","58250"
"In post","2021","G6/G7","Ministry of Justice (excl. agencies)","Declared non-disabled","1000","970","59060","58130"
"In post","2021","G6/G7","Ministry of Justice (excl. agencies)","Undeclared","100","100","60430","58190"
"In post","2021","G6/G7","Ministry of Justice (excl. agencies)","Unknown","230","220","59070","57910"
"In post","2021","G6/G7","National Crime Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","National Crime Agency","Declared non-disabled","170","170","65140","64410"
"In post","2021","G6/G7","National Crime Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","National Crime Agency","Unknown","180","180","64220","60990"
"In post","2021","G6/G7","National Infrastructure Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","National Infrastructure Commission","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","National Infrastructure Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","National Records of Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","National Records of Scotland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","National Records of Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","National Savings and Investments","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","National Savings and Investments","Declared non-disabled","60","60","59230","57240"
"In post","2021","G6/G7","National Savings and Investments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Northern Ireland Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Northern Ireland Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Northern Ireland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Office for Budget Responsibility","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Office for Budget Responsibility","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Office for Budget Responsibility","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Office for Standards in Education, Children's Services and Skills","Declared disabled","40","40","[c]","[c]"
"In post","2021","G6/G7","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","530","520","73380","75500"
"In post","2021","G6/G7","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Office of Gas and Electricity Markets","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Office of Gas and Electricity Markets","Declared non-disabled","380","370","60170","59160"
"In post","2021","G6/G7","Office of Gas and Electricity Markets","Unknown","40","40","[c]","[c]"
"In post","2021","G6/G7","Office of Qualifications and Examinations Regulation","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Office of Qualifications and Examinations Regulation","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","G6/G7","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Office of Qualifications and Examinations Regulation","Unknown","30","30","[c]","[c]"
"In post","2021","G6/G7","Office of Rail and Road","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Office of Rail and Road","Declared non-disabled","160","150","62480","61880"
"In post","2021","G6/G7","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Office of the Public Guardian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Office of the Public Guardian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Office of the Public Guardian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Office of the Public Guardian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Office of the Scottish Charity Regulator","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Office of the Scottish Charity Regulator","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Office of the Scottish Charity Regulator","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Planning Inspectorate","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Planning Inspectorate","Declared non-disabled","310","280","58090","58810"
"In post","2021","G6/G7","Planning Inspectorate","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Planning Inspectorate","Unknown","80","70","57580","58810"
"In post","2021","G6/G7","Public Health England","Declared disabled","70","70","58200","54150"
"In post","2021","G6/G7","Public Health England","Declared non-disabled","1080","1010","57860","54230"
"In post","2021","G6/G7","Public Health England","Undeclared","150","140","57970","55130"
"In post","2021","G6/G7","Public Health England","Unknown","580","560","59150","55210"
"In post","2021","G6/G7","Queen Elizabeth II Centre","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Queen Elizabeth II Centre","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Registers of Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Registers of Scotland","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","G6/G7","Registers of Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Registers of Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Revenue Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Revenue Scotland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Revenue Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Rural Payments Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Rural Payments Agency","Declared non-disabled","90","90","52830","50100"
"In post","2021","G6/G7","Rural Payments Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Rural Payments Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Scotland Office (incl. Office of the Advocate General for Scotland)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Scotland Office (incl. Office of the Advocate General for Scotland)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Scotland Office (incl. Office of the Advocate General for Scotland)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Scottish Courts and Tribunals Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Scottish Courts and Tribunals Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Scottish Courts and Tribunals Service","Unknown","50","50","57740","55420"
"In post","2021","G6/G7","Scottish Fiscal Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Scottish Fiscal Commission","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Scottish Fiscal Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Scottish Forestry","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Scottish Forestry","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Scottish Forestry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Scottish Government (excl. agencies)","Declared disabled","160","150","61200","61010"
"In post","2021","G6/G7","Scottish Government (excl. agencies)","Declared non-disabled","1290","1230","62630","61010"
"In post","2021","G6/G7","Scottish Government (excl. agencies)","Undeclared","40","40","[c]","[c]"
"In post","2021","G6/G7","Scottish Government (excl. agencies)","Unknown","640","610","61760","61010"
"In post","2021","G6/G7","Scottish Housing Regulator","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Scottish Housing Regulator","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Scottish Housing Regulator","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Scottish Housing Regulator","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Scottish Prison Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Scottish Prison Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Scottish Prison Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Scottish Prison Service","Unknown","110","100","61190","55110"
"In post","2021","G6/G7","Scottish Public Pensions Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Scottish Public Pensions Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Scottish Public Pensions Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Scottish Public Pensions Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Serious Fraud Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Serious Fraud Office","Declared non-disabled","120","110","60670","58590"
"In post","2021","G6/G7","Serious Fraud Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Serious Fraud Office","Unknown","60","60","60490","58590"
"In post","2021","G6/G7","Social Security Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Social Security Scotland","Declared non-disabled","70","70","58890","60120"
"In post","2021","G6/G7","Social Security Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Social Security Scotland","Unknown","50","50","61930","61010"
"In post","2021","G6/G7","Standards and Testing Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Standards and Testing Agency","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","G6/G7","Standards and Testing Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Standards and Testing Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Student Awards Agency for Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Student Awards Agency for Scotland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Student Awards Agency for Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Teaching Regulation Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Teaching Regulation Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Teaching Regulation Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","The National Archives","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","The National Archives","Declared non-disabled","60","60","52710","50290"
"In post","2021","G6/G7","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Transport Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Transport Scotland","Declared non-disabled","80","80","63640","62120"
"In post","2021","G6/G7","Transport Scotland","Unknown","50","50","[c]","[c]"
"In post","2021","G6/G7","UK Export Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","UK Export Finance","Declared non-disabled","120","120","67860","66690"
"In post","2021","G6/G7","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","UK Hydrographic Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","UK Hydrographic Office","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","G6/G7","UK Hydrographic Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","UK Hydrographic Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","UK Intellectual Property Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","UK Intellectual Property Office","Declared non-disabled","290","270","60100","59720"
"In post","2021","G6/G7","UK Intellectual Property Office","Unknown","40","40","[c]","[c]"
"In post","2021","G6/G7","UK Space Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","UK Space Agency","Declared non-disabled","50","50","56380","53600"
"In post","2021","G6/G7","UK Space Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","UK Space Agency","Unknown","50","40","[c]","[c]"
"In post","2021","G6/G7","UK Supreme Court","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","UK Supreme Court","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","United Kingdom Statistics Authority","Declared disabled","70","60","53050","50790"
"In post","2021","G6/G7","United Kingdom Statistics Authority","Declared non-disabled","580","560","53030","50090"
"In post","2021","G6/G7","United Kingdom Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","United Kingdom Statistics Authority","Unknown","270","270","52370","49120"
"In post","2021","G6/G7","Valuation Office Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Valuation Office Agency","Declared non-disabled","300","290","58590","55930"
"In post","2021","G6/G7","Valuation Office Agency","Undeclared","40","40","[c]","[c]"
"In post","2021","G6/G7","Valuation Office Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Vehicle Certification Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Vehicle Certification Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Veterinary Medicines Directorate","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Veterinary Medicines Directorate","Declared non-disabled","50","50","57820","56190"
"In post","2021","G6/G7","Veterinary Medicines Directorate","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Veterinary Medicines Directorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Wales Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Wales Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Wales Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Water Services Regulation Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Water Services Regulation Authority","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","G6/G7","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Welsh Government (excl. agencies)","Declared disabled","50","40","[c]","[c]"
"In post","2021","G6/G7","Welsh Government (excl. agencies)","Declared non-disabled","910","880","61620","60830"
"In post","2021","G6/G7","Welsh Government (excl. agencies)","Undeclared","40","40","[c]","[c]"
"In post","2021","G6/G7","Welsh Government (excl. agencies)","Unknown","40","40","[c]","[c]"
"In post","2021","G6/G7","Welsh Revenue Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Welsh Revenue Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Welsh Revenue Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Wilton Park","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Wilton Park","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Wilton Park","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Accountant in Bankruptcy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Accountant in Bankruptcy","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Advisory, Conciliation and Arbitration Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Advisory, Conciliation and Arbitration Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Advisory, Conciliation and Arbitration Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Animal and Plant Health Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Animal and Plant Health Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Attorney General's Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Attorney General's Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Attorney General's Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Cabinet Office (excl. agencies)","Declared disabled","50","40","[c]","[c]"
"In post","2021","SCS","Cabinet Office (excl. agencies)","Declared non-disabled","440","430","98070","91440"
"In post","2021","SCS","Cabinet Office (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Cabinet Office (excl. agencies)","Unknown","460","460","86880","72580"
"In post","2021","SCS","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Centre for Environment, Fisheries and Aquaculture Science","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Charity Commission","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Companies House","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Companies House","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Competition and Markets Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Competition and Markets Authority","Declared non-disabled","90","90","107820","100770"
"In post","2021","SCS","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Criminal Injuries Compensation Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Criminal Injuries Compensation Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Crown Commercial Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Crown Commercial Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Crown Office and Procurator Fiscal Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Crown Office and Procurator Fiscal Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Crown Office and Procurator Fiscal Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Crown Prosecution Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Crown Prosecution Service","Declared non-disabled","70","70","92780","88150"
"In post","2021","SCS","Crown Prosecution Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Crown Prosecution Service Inspectorate","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Crown Prosecution Service Inspectorate","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Debt Management Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Debt Management Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Debt Management Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Defence Electronics and Components Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Defence Electronics and Components Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Defence Equipment and Support","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Defence Equipment and Support","Declared non-disabled","90","90","104740","95170"
"In post","2021","SCS","Defence Equipment and Support","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Defence Science and Technology Laboratory","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Defence Science and Technology Laboratory","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Defence Science and Technology Laboratory","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Department for Business, Energy and Industrial Strategy (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Department for Business, Energy and Industrial Strategy (excl. agencies)","Declared non-disabled","270","250","81920","75000"
"In post","2021","SCS","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Department for Digital, Culture, Media and Sport","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Department for Digital, Culture, Media and Sport","Declared non-disabled","100","90","85300","76320"
"In post","2021","SCS","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Department for Education (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Department for Education (excl. agencies)","Declared non-disabled","180","170","82260","74100"
"In post","2021","SCS","Department for Education (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared non-disabled","150","150","83460","77240"
"In post","2021","SCS","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","40","40","[c]","[c]"
"In post","2021","SCS","Department for International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Department for International Trade","Declared non-disabled","110","110","85420","76810"
"In post","2021","SCS","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Department for International Trade","Unknown","50","50","[c]","[c]"
"In post","2021","SCS","Department for Transport (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Department for Transport (excl. agencies)","Declared non-disabled","170","170","88630","79910"
"In post","2021","SCS","Department for Transport (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
