"Status","Year","Parent_department","Sexual_orientation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department of Health and Social Care","Undeclared","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Department of Health and Social Care","Undeclared","Finance","30","30","[c]","[c]"
"In post","2021","Department of Health and Social Care","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","Undeclared","No function","750","660","45070","38890"
"In post","2021","Department of Health and Social Care","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","Undeclared","Unknown","130","130","51370","46460"
"In post","2021","Department of Health and Social Care","Unknown","Analysis","140","140","52890","53360"
"In post","2021","Department of Health and Social Care","Unknown","Commercial","130","120","48690","40650"
"In post","2021","Department of Health and Social Care","Unknown","Communications","120","120","45150","40650"
"In post","2021","Department of Health and Social Care","Unknown","Digital, Data & Technology","140","140","44680","40650"
"In post","2021","Department of Health and Social Care","Unknown","Finance","250","240","39380","32790"
"In post","2021","Department of Health and Social Care","Unknown","Human Resources","60","60","37610","32790"
"In post","2021","Department of Health and Social Care","Unknown","No function","2250","2130","48810","41970"
"In post","2021","Department of Health and Social Care","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","Unknown","Unknown","370","350","51180","46460"
"In post","2021","ESTYN","Heterosexual / straight","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Heterosexual / straight","No function","80","70","62210","74730"
"In post","2021","ESTYN","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Heterosexual / straight","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Heterosexual / straight","Counter Fraud","50","50","38850","37320"
"In post","2021","Food Standards Agency","Heterosexual / straight","Digital, Data & Technology","50","40","[c]","[c]"
"In post","2021","Food Standards Agency","Heterosexual / straight","Finance","30","30","[c]","[c]"
"In post","2021","Food Standards Agency","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Heterosexual / straight","No function","590","570","36410","32830"
"In post","2021","Food Standards Agency","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Undeclared","No function","90","90","39150","34730"
"In post","2021","Food Standards Agency","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Unknown","No function","250","240","31440","26750"
"In post","2021","Food Standards Agency","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Analysis","50","50","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Commercial","140","140","41900","39190"
"In post","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Communications","90","90","47940","42330"
"In post","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Digital, Data & Technology","240","230","42000","39630"
"In post","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Finance","210","200","44420","39600"
"In post","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Human Resources","220","210","44500","39580"
"In post","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Internal Audit","40","40","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Legal","90","70","56230","57760"
"In post","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","No function","2730","2700","47790","39350"
"In post","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Project Delivery","1200","1160","51930","55060"
"In post","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Property","330","330","41360","38360"
"In post","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Security","410","400","39360","34770"
"In post","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Unknown","230","230","49630","42420"
"In post","2021","Foreign, Commonwealth and Development Office","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","LGBO","No function","210","210","47760","40050"
"In post","2021","Foreign, Commonwealth and Development Office","LGBO","Project Delivery","90","90","51990","52430"
"In post","2021","Foreign, Commonwealth and Development Office","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Undeclared","No function","400","390","48400","40120"
"In post","2021","Foreign, Commonwealth and Development Office","Undeclared","Project Delivery","60","50","54350","55620"
"In post","2021","Foreign, Commonwealth and Development Office","Undeclared","Property","50","50","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Undeclared","Security","60","50","43160","37470"
"In post","2021","Foreign, Commonwealth and Development Office","Undeclared","Unknown","40","40","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","Commercial","30","30","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","Communications","40","40","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","Digital, Data & Technology","100","100","40580","39190"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","Finance","70","60","36290","33930"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","Human Resources","40","40","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","No function","340","340","48460","48840"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","Project Delivery","720","700","50150","53000"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","Property","70","70","41640","41450"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","Security","80","80","40290","35900"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","HM Land Registry","Heterosexual / straight","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Heterosexual / straight","Digital, Data & Technology","380","350","39360","38450"
"In post","2021","HM Land Registry","Heterosexual / straight","Finance","30","30","[c]","[c]"
"In post","2021","HM Land Registry","Heterosexual / straight","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Heterosexual / straight","Human Resources","70","60","43630","38550"
"In post","2021","HM Land Registry","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Heterosexual / straight","Legal","160","140","50870","57000"
"In post","2021","HM Land Registry","Heterosexual / straight","No function","2770","2480","29080","27130"
"In post","2021","HM Land Registry","Heterosexual / straight","Project Delivery","90","90","41370","38550"
"In post","2021","HM Land Registry","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","LGBO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","LGBO","No function","120","110","27660","22350"
"In post","2021","HM Land Registry","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Undeclared","Digital, Data & Technology","70","60","38590","38450"
"In post","2021","HM Land Registry","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Undeclared","Legal","50","40","[c]","[c]"
"In post","2021","HM Land Registry","Undeclared","No function","570","490","30340","27130"
"In post","2021","HM Land Registry","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Unknown","Digital, Data & Technology","220","210","35620","33840"
"In post","2021","HM Land Registry","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Unknown","Legal","60","50","49070","57000"
"In post","2021","HM Land Registry","Unknown","No function","1580","1440","26280","22350"
"In post","2021","HM Land Registry","Unknown","Project Delivery","40","40","[c]","[c]"
"In post","2021","HM Land Registry","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs","Heterosexual / straight","Analysis","430","410","46010","41340"
"In post","2021","HM Revenue and Customs","Heterosexual / straight","Commercial","80","80","37250","35000"
"In post","2021","HM Revenue and Customs","Heterosexual / straight","Communications","2210","2120","30060","25560"
"In post","2021","HM Revenue and Customs","Heterosexual / straight","Counter Fraud","5360","5040","33700","31810"
"In post","2021","HM Revenue and Customs","Heterosexual / straight","Debt","2150","1920","24010","21440"
"In post","2021","HM Revenue and Customs","Heterosexual / straight","Digital, Data & Technology","1520","1460","39810","38630"
"In post","2021","HM Revenue and Customs","Heterosexual / straight","Finance","1440","1300","35230","31810"
"In post","2021","HM Revenue and Customs","Heterosexual / straight","Human Resources","1090","1020","36950","31810"
"In post","2021","HM Revenue and Customs","Heterosexual / straight","Internal Audit","60","50","43630","41350"
"In post","2021","HM Revenue and Customs","Heterosexual / straight","Legal","710","680","40090","32100"
"In post","2021","HM Revenue and Customs","Heterosexual / straight","No function","16560","14990","30050","25560"
"In post","2021","HM Revenue and Customs","Heterosexual / straight","Project Delivery","2960","2800","44010","38630"
"In post","2021","HM Revenue and Customs","Heterosexual / straight","Property","2030","1880","34600","31100"
"In post","2021","HM Revenue and Customs","Heterosexual / straight","Security","90","90","41300","38630"
"In post","2021","HM Revenue and Customs","LGBO","Analysis","50","50","42610","36160"
"In post","2021","HM Revenue and Customs","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs","LGBO","Communications","170","160","29670","25560"
"In post","2021","HM Revenue and Customs","LGBO","Counter Fraud","270","260","33520","31810"
"In post","2021","HM Revenue and Customs","LGBO","Debt","150","140","23180","20140"
"In post","2021","HM Revenue and Customs","LGBO","Digital, Data & Technology","80","80","38010","32100"
"In post","2021","HM Revenue and Customs","LGBO","Finance","60","50","32600","31810"
"In post","2021","HM Revenue and Customs","LGBO","Human Resources","70","70","36410","31810"
"In post","2021","HM Revenue and Customs","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs","LGBO","Legal","60","60","49300","41760"
"In post","2021","HM Revenue and Customs","LGBO","No function","1020","970","28850","25560"
"In post","2021","HM Revenue and Customs","LGBO","Project Delivery","180","170","46870","38650"
"In post","2021","HM Revenue and Customs","LGBO","Property","100","90","31240","29450"
"In post","2021","HM Revenue and Customs","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs","Undeclared","Analysis","50","50","44800","38630"
"In post","2021","HM Revenue and Customs","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs","Undeclared","Communications","200","190","29490","25560"
"In post","2021","HM Revenue and Customs","Undeclared","Counter Fraud","880","820","35440","31810"
"In post","2021","HM Revenue and Customs","Undeclared","Debt","320","270","24020","21440"
"In post","2021","HM Revenue and Customs","Undeclared","Digital, Data & Technology","190","180","39030","35000"
"In post","2021","HM Revenue and Customs","Undeclared","Finance","230","200","31390","28130"
"In post","2021","HM Revenue and Customs","Undeclared","Human Resources","110","100","33520","28850"
"In post","2021","HM Revenue and Customs","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs","Undeclared","Legal","90","80","41930","32520"
"In post","2021","HM Revenue and Customs","Undeclared","No function","2120","1900","31010","28130"
"In post","2021","HM Revenue and Customs","Undeclared","Project Delivery","350","320","44530","38630"
"In post","2021","HM Revenue and Customs","Undeclared","Property","340","310","35840","32110"
"In post","2021","HM Revenue and Customs","Undeclared","Security","30","30","[c]","[c]"
"In post","2021","HM Revenue and Customs","Unknown","Analysis","150","150","39690","36160"
"In post","2021","HM Revenue and Customs","Unknown","Commercial","50","50","36650","35000"
"In post","2021","HM Revenue and Customs","Unknown","Communications","1600","1550","28200","25560"
"In post","2021","HM Revenue and Customs","Unknown","Counter Fraud","2320","2180","30970","29570"
"In post","2021","HM Revenue and Customs","Unknown","Debt","2030","1860","22170","20140"
"In post","2021","HM Revenue and Customs","Unknown","Digital, Data & Technology","910","880","38650","33060"
"In post","2021","HM Revenue and Customs","Unknown","Finance","760","670","28990","21440"
"In post","2021","HM Revenue and Customs","Unknown","Human Resources","400","370","32330","28130"
"In post","2021","HM Revenue and Customs","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs","Unknown","Legal","410","380","38870","31810"
"In post","2021","HM Revenue and Customs","Unknown","No function","11830","10540","25680","21440"
"In post","2021","HM Revenue and Customs","Unknown","Project Delivery","1080","1020","42310","38630"
"In post","2021","HM Revenue and Customs","Unknown","Property","1030","960","30390","26000"
"In post","2021","HM Revenue and Customs","Unknown","Security","60","60","39530","38630"
"In post","2021","HM Treasury","Heterosexual / straight","Analysis","100","100","51150","52530"
"In post","2021","HM Treasury","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Heterosexual / straight","Communications","30","30","[c]","[c]"
"In post","2021","HM Treasury","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Heterosexual / straight","Debt","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Heterosexual / straight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Heterosexual / straight","Finance","90","80","49810","52500"
"In post","2021","HM Treasury","Heterosexual / straight","Human Resources","90","80","42860","39200"
"In post","2021","HM Treasury","Heterosexual / straight","Internal Audit","300","280","50340","48780"
"In post","2021","HM Treasury","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Heterosexual / straight","No function","1210","1190","48080","52500"
"In post","2021","HM Treasury","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Heterosexual / straight","Unknown","50","50","[c]","[c]"
"In post","2021","HM Treasury","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","LGBO","Debt","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","LGBO","No function","130","130","47730","52500"
"In post","2021","HM Treasury","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Undeclared","Internal Audit","40","30","[c]","[c]"
"In post","2021","HM Treasury","Undeclared","No function","220","210","43710","36500"
"In post","2021","HM Treasury","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Unknown","Analysis","30","30","[c]","[c]"
"In post","2021","HM Treasury","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Unknown","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","HM Treasury","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Unknown","No function","70","70","49600","42200"
"In post","2021","HM Treasury","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","Home Office","Heterosexual / straight","Unknown","28190","26120","31830","27370"
"In post","2021","Home Office","LGBO","Unknown","1170","1130","32850","27370"
"In post","2021","Home Office","Undeclared","Unknown","4230","3880","32750","28650"
"In post","2021","Home Office","Unknown","Unknown","1780","1740","31790","25770"
"In post","2021","Ministry of Defence","Heterosexual / straight","Analysis","490","470","40260","37360"
"In post","2021","Ministry of Defence","Heterosexual / straight","Commercial","1590","1540","36670","34500"
"In post","2021","Ministry of Defence","Heterosexual / straight","Communications","650","630","31980","28650"
"In post","2021","Ministry of Defence","Heterosexual / straight","Digital, Data & Technology","730","710","33780","33000"
"In post","2021","Ministry of Defence","Heterosexual / straight","Finance","1710","1640","38340","33300"
"In post","2021","Ministry of Defence","Heterosexual / straight","Human Resources","1750","1640","32440","26670"
"In post","2021","Ministry of Defence","Heterosexual / straight","Internal Audit","110","110","38420","33810"
"In post","2021","Ministry of Defence","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Defence","Heterosexual / straight","No function","2050","1980","39190","37320"
"In post","2021","Ministry of Defence","Heterosexual / straight","Project Delivery","12750","12360","37890","35270"
"In post","2021","Ministry of Defence","Heterosexual / straight","Property","2130","2070","32680","33300"
"In post","2021","Ministry of Defence","Heterosexual / straight","Security","4370","4280","28590","22650"
"In post","2021","Ministry of Defence","Heterosexual / straight","Unknown","13900","13370","30100","26670"
"In post","2021","Ministry of Defence","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Defence","LGBO","Commercial","60","60","34970","32850"
"In post","2021","Ministry of Defence","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Defence","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Defence","LGBO","Finance","40","40","[c]","[c]"
"In post","2021","Ministry of Defence","LGBO","Human Resources","70","70","34690","29130"
"In post","2021","Ministry of Defence","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Defence","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Defence","LGBO","No function","110","110","34180","28660"
