"Status","Year","Sexual_orientation","Profession_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Unknown","Property","Declared disabled","40","30","[c]","[c]"
"In post","2022","Unknown","Property","Declared non-disabled","330","300","38910","36500"
"In post","2022","Unknown","Property","Undeclared","80","70","36440","32390"
"In post","2022","Unknown","Property","Unknown","860","830","33940","30600"
"In post","2022","Unknown","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Psychology","Declared non-disabled","70","60","42420","41660"
"In post","2022","Unknown","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Psychology","Unknown","140","130","32440","29060"
"In post","2022","Unknown","Science and Engineering","Declared disabled","110","110","37510","38070"
"In post","2022","Unknown","Science and Engineering","Declared non-disabled","2360","2270","40860","38110"
"In post","2022","Unknown","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Science and Engineering","Unknown","1040","990","40380","38930"
"In post","2022","Unknown","Security","Declared disabled","40","40","[c]","[c]"
"In post","2022","Unknown","Security","Declared non-disabled","320","310","36670","36650"
"In post","2022","Unknown","Security","Undeclared","40","40","[c]","[c]"
"In post","2022","Unknown","Security","Unknown","1020","1010","32090","28650"
"In post","2022","Unknown","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Social Research","Declared non-disabled","30","30","[c]","[c]"
"In post","2022","Unknown","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Social Research","Unknown","150","150","39730","38340"
"In post","2022","Unknown","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Statistics","Declared non-disabled","90","80","45120","40520"
"In post","2022","Unknown","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Statistics","Unknown","260","260","38810","36840"
"In post","2022","Unknown","Tax","Declared disabled","110","100","36720","33440"
"In post","2022","Unknown","Tax","Declared non-disabled","680","620","37430","33430"
"In post","2022","Unknown","Tax","Undeclared","60","50","41210","35980"
"In post","2022","Unknown","Tax","Unknown","5020","4800","30270","26820"
"In post","2022","Unknown","Unknown","Declared disabled","170","160","34780","30040"
"In post","2022","Unknown","Unknown","Declared non-disabled","1650","1550","40330","35390"
"In post","2022","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Unknown","9410","9170","40610","32000"
"In post","2022","Unknown","Veterinarian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Veterinarian","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Commercial","Declared non-disabled","100","90","41570","39520"
"Leaver CS","2021","Heterosexual / straight","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Communications","Declared non-disabled","110","100","37610","33260"
"Leaver CS","2021","Heterosexual / straight","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Digital, Data and Technology","Declared disabled","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Digital, Data and Technology","Declared non-disabled","170","160","44530","40000"
"Leaver CS","2021","Heterosexual / straight","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Economics","Declared non-disabled","50","50","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Economics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Economics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Finance","Declared non-disabled","140","130","42760","39800"
"Leaver CS","2021","Heterosexual / straight","Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Human Resources","Declared disabled","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Human Resources","Declared non-disabled","160","150","38950","34260"
"Leaver CS","2021","Heterosexual / straight","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Inspector of Education and Training","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Inspector of Education and Training","Declared non-disabled","50","50","68120","75500"
"Leaver CS","2021","Heterosexual / straight","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Intelligence Analysis","Declared non-disabled","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","International Trade","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Knowledge and Information Management","Declared non-disabled","60","50","33290","31630"
"Leaver CS","2021","Heterosexual / straight","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Legal","Declared non-disabled","190","160","54610","54200"
"Leaver CS","2021","Heterosexual / straight","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Medicine","Declared non-disabled","130","110","52380","37890"
"Leaver CS","2021","Heterosexual / straight","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Medicine","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Operational Delivery","Declared disabled","620","540","26170","21640"
"Leaver CS","2021","Heterosexual / straight","Operational Delivery","Declared non-disabled","3470","3090","28110","23360"
"Leaver CS","2021","Heterosexual / straight","Operational Delivery","Undeclared","240","210","26550","21800"
"Leaver CS","2021","Heterosexual / straight","Operational Delivery","Unknown","250","230","32310","26780"
"Leaver CS","2021","Heterosexual / straight","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Other","Declared disabled","120","110","28150","25970"
"Leaver CS","2021","Heterosexual / straight","Other","Declared non-disabled","630","600","29130","26670"
"Leaver CS","2021","Heterosexual / straight","Other","Undeclared","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Other","Unknown","110","100","32190","29930"
"Leaver CS","2021","Heterosexual / straight","Planning","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Planning","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Planning Inspectors","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Planning Inspectors","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Policy","Declared disabled","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Policy","Declared non-disabled","340","320","47990","41950"
"Leaver CS","2021","Heterosexual / straight","Policy","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Policy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Project Delivery","Declared disabled","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Project Delivery","Declared non-disabled","250","230","42690","37970"
"Leaver CS","2021","Heterosexual / straight","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Property","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Property","Declared non-disabled","190","170","33740","30630"
"Leaver CS","2021","Heterosexual / straight","Property","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Psychology","Declared non-disabled","60","50","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Science and Engineering","Declared disabled","50","50","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Science and Engineering","Declared non-disabled","390","370","32690","29470"
"Leaver CS","2021","Heterosexual / straight","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Science and Engineering","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Security","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Security","Declared non-disabled","180","170","30900","27050"
"Leaver CS","2021","Heterosexual / straight","Security","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Security","Unknown","40","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Social Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Social Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Statistics","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Statistics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","Declared disabled","570","470","27540","26890"
"Leaver CS","2021","Heterosexual / straight","Unknown","Declared non-disabled","2640","2290","29280","26120"
"Leaver CS","2021","Heterosexual / straight","Unknown","Undeclared","130","110","29250","27570"
"Leaver CS","2021","Heterosexual / straight","Unknown","Unknown","100","90","38820","33950"
"Leaver CS","2021","Heterosexual / straight","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Veterinarian","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Economics","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Inspector of Education and Training","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Inspector of Education and Training","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Intelligence Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Medicine","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Operational Delivery","Declared disabled","60","50","[c]","[c]"
"Leaver CS","2021","LGBO","Operational Delivery","Declared non-disabled","190","180","27280","21590"
"Leaver CS","2021","LGBO","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Other","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Other","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Other","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Planning","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Planning","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Planning Inspectors","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Planning Inspectors","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Policy","Declared non-disabled","40","30","[c]","[c]"
"Leaver CS","2021","LGBO","Policy","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Policy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Property","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Psychology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Science and Engineering","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Security","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Security","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Social Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Statistics","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","Declared disabled","70","70","29190","27570"
"Leaver CS","2021","LGBO","Unknown","Declared non-disabled","140","130","29510","25110"
"Leaver CS","2021","LGBO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Veterinarian","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Economics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Economics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Inspector of Education and Training","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Inspector of Education and Training","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Intelligence Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Medicine","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Medicine","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Operational Delivery","Declared disabled","120","90","26680","22510"
"Leaver CS","2021","Undeclared","Operational Delivery","Declared non-disabled","410","340","27870","24280"
"Leaver CS","2021","Undeclared","Operational Delivery","Undeclared","190","170","30500","26780"
"Leaver CS","2021","Undeclared","Operational Delivery","Unknown","130","110","28900","22820"
"Leaver CS","2021","Undeclared","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Other","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Other","Declared non-disabled","50","50","26900","25860"
"Leaver CS","2021","Undeclared","Other","Undeclared","40","30","[c]","[c]"
"Leaver CS","2021","Undeclared","Other","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Planning Inspectors","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Policy","Declared non-disabled","30","30","[c]","[c]"
"Leaver CS","2021","Undeclared","Policy","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Policy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Property","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Property","Declared non-disabled","30","30","[c]","[c]"
"Leaver CS","2021","Undeclared","Property","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Psychology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Science and Engineering","Declared non-disabled","40","30","[c]","[c]"
"Leaver CS","2021","Undeclared","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
