"Status","Year","Parent_department","Disability","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Department for Environment, Food and Rural Affairs","Declared disabled","Heterosexual / straight","1030","970","35550","31640"
"In post","2022","Department for Environment, Food and Rural Affairs","Declared disabled","LGBO","160","150","36310","32560"
"In post","2022","Department for Environment, Food and Rural Affairs","Declared disabled","Undeclared","140","130","35120","32560"
"In post","2022","Department for Environment, Food and Rural Affairs","Declared disabled","Unknown","100","90","28230","25190"
"In post","2022","Department for Environment, Food and Rural Affairs","Declared non-disabled","Heterosexual / straight","6930","6600","37000","33340"
"In post","2022","Department for Environment, Food and Rural Affairs","Declared non-disabled","LGBO","500","490","36330","32560"
"In post","2022","Department for Environment, Food and Rural Affairs","Declared non-disabled","Undeclared","600","570","36350","32960"
"In post","2022","Department for Environment, Food and Rural Affairs","Declared non-disabled","Unknown","1570","1470","27780","24920"
"In post","2022","Department for Environment, Food and Rural Affairs","Undeclared","Heterosexual / straight","240","230","37920","35900"
"In post","2022","Department for Environment, Food and Rural Affairs","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Undeclared","Undeclared","230","220","37720","35900"
"In post","2022","Department for Environment, Food and Rural Affairs","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","Heterosexual / straight","80","80","40750","36430"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","Unknown","1150","1090","38860","35900"
"In post","2022","Department for International Trade","Declared disabled","Heterosexual / straight","150","150","47000","41180"
"In post","2022","Department for International Trade","Declared disabled","LGBO","40","40","[c]","[c]"
"In post","2022","Department for International Trade","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Declared non-disabled","Heterosexual / straight","1240","1220","47580","47980"
"In post","2022","Department for International Trade","Declared non-disabled","LGBO","120","120","47050","41750"
"In post","2022","Department for International Trade","Declared non-disabled","Undeclared","80","80","45040","40820"
"In post","2022","Department for International Trade","Declared non-disabled","Unknown","100","100","43630","38540"
"In post","2022","Department for International Trade","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Undeclared","Undeclared","30","30","[c]","[c]"
"In post","2022","Department for International Trade","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Unknown","Heterosexual / straight","330","320","46520","41450"
"In post","2022","Department for International Trade","Unknown","LGBO","40","40","[c]","[c]"
"In post","2022","Department for International Trade","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Unknown","Unknown","660","660","45420","40050"
"In post","2022","Department for Levelling Up, Housing and Communities","Declared disabled","Heterosexual / straight","310","310","41410","36340"
"In post","2022","Department for Levelling Up, Housing and Communities","Declared disabled","LGBO","90","80","39430","34860"
"In post","2022","Department for Levelling Up, Housing and Communities","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Declared non-disabled","Heterosexual / straight","2470","2380","46490","46040"
"In post","2022","Department for Levelling Up, Housing and Communities","Declared non-disabled","LGBO","220","220","45600","42980"
"In post","2022","Department for Levelling Up, Housing and Communities","Declared non-disabled","Undeclared","130","120","43830","40720"
"In post","2022","Department for Levelling Up, Housing and Communities","Declared non-disabled","Unknown","110","100","36270","32760"
"In post","2022","Department for Levelling Up, Housing and Communities","Undeclared","Heterosexual / straight","100","90","43580","39600"
"In post","2022","Department for Levelling Up, Housing and Communities","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Undeclared","Undeclared","80","70","45790","46120"
"In post","2022","Department for Levelling Up, Housing and Communities","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","Heterosexual / straight","90","80","42780","40720"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","Undeclared","50","50","46280","45060"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","Unknown","450","430","44650","40600"
"In post","2022","Department for Transport","Declared disabled","Heterosexual / straight","890","800","30860","26780"
"In post","2022","Department for Transport","Declared disabled","LGBO","110","100","35170","30730"
"In post","2022","Department for Transport","Declared disabled","Undeclared","350","290","26720","21840"
"In post","2022","Department for Transport","Declared disabled","Unknown","30","30","[c]","[c]"
"In post","2022","Department for Transport","Declared non-disabled","Heterosexual / straight","8820","8300","34870","30130"
"In post","2022","Department for Transport","Declared non-disabled","LGBO","480","460","36070","30730"
"In post","2022","Department for Transport","Declared non-disabled","Undeclared","1780","1550","29930","26780"
"In post","2022","Department for Transport","Declared non-disabled","Unknown","200","170","28980","26780"
"In post","2022","Department for Transport","Undeclared","Heterosexual / straight","500","470","33250","27930"
"In post","2022","Department for Transport","Undeclared","LGBO","60","50","34150","30730"
"In post","2022","Department for Transport","Undeclared","Undeclared","540","500","34040","29730"
"In post","2022","Department for Transport","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Unknown","Heterosexual / straight","220","210","30230","26840"
"In post","2022","Department for Transport","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Unknown","Undeclared","40","40","[c]","[c]"
"In post","2022","Department for Transport","Unknown","Unknown","2350","2240","31280","26700"
"In post","2022","Department for Work and Pensions","Declared disabled","Heterosexual / straight","11870","10440","27720","27570"
"In post","2022","Department for Work and Pensions","Declared disabled","LGBO","1220","1150","27900","27570"
"In post","2022","Department for Work and Pensions","Declared disabled","Undeclared","1720","1500","27050","27570"
"In post","2022","Department for Work and Pensions","Declared disabled","Unknown","1310","1100","26500","27570"
"In post","2022","Department for Work and Pensions","Declared non-disabled","Heterosexual / straight","49480","45050","29040","27570"
"In post","2022","Department for Work and Pensions","Declared non-disabled","LGBO","2570","2470","28790","27570"
"In post","2022","Department for Work and Pensions","Declared non-disabled","Undeclared","5000","4450","28400","27570"
"In post","2022","Department for Work and Pensions","Declared non-disabled","Unknown","13310","11290","27260","27570"
"In post","2022","Department for Work and Pensions","Undeclared","Heterosexual / straight","2390","2210","28330","27570"
"In post","2022","Department for Work and Pensions","Undeclared","LGBO","210","200","28250","27570"
"In post","2022","Department for Work and Pensions","Undeclared","Undeclared","1060","990","30290","27570"
"In post","2022","Department for Work and Pensions","Undeclared","Unknown","640","570","27210","27570"
"In post","2022","Department for Work and Pensions","Unknown","Heterosexual / straight","390","360","28580","27570"
"In post","2022","Department for Work and Pensions","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Unknown","Undeclared","40","30","[c]","[c]"
"In post","2022","Department for Work and Pensions","Unknown","Unknown","2920","2800","30130","27570"
"In post","2022","Department of Health and Social Care","Declared disabled","Heterosexual / straight","420","390","41810","36330"
"In post","2022","Department of Health and Social Care","Declared disabled","LGBO","100","100","38580","32790"
"In post","2022","Department of Health and Social Care","Declared disabled","Undeclared","60","60","43780","40990"
"In post","2022","Department of Health and Social Care","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Declared non-disabled","Heterosexual / straight","4300","4010","42660","37470"
"In post","2022","Department of Health and Social Care","Declared non-disabled","LGBO","290","270","42510","36820"
"In post","2022","Department of Health and Social Care","Declared non-disabled","Undeclared","460","420","42730","36820"
"In post","2022","Department of Health and Social Care","Declared non-disabled","Unknown","110","110","57800","53100"
"In post","2022","Department of Health and Social Care","Undeclared","Heterosexual / straight","50","50","43220","39420"
"In post","2022","Department of Health and Social Care","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Undeclared","Undeclared","50","50","46740","41020"
"In post","2022","Department of Health and Social Care","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Unknown","Heterosexual / straight","2060","1980","46970","40850"
"In post","2022","Department of Health and Social Care","Unknown","LGBO","210","200","45000","40650"
"In post","2022","Department of Health and Social Care","Unknown","Undeclared","1690","1630","46830","41130"
"In post","2022","Department of Health and Social Care","Unknown","Unknown","1970","1890","48840","42120"
"In post","2022","Estyn","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Declared non-disabled","Heterosexual / straight","90","80","58800","75480"
"In post","2022","Estyn","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Declared disabled","Heterosexual / straight","80","80","38870","37350"
"In post","2022","Food Standards Agency","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Declared non-disabled","Heterosexual / straight","650","630","38770","36960"
"In post","2022","Food Standards Agency","Declared non-disabled","LGBO","40","40","[c]","[c]"
"In post","2022","Food Standards Agency","Declared non-disabled","Undeclared","40","40","[c]","[c]"
"In post","2022","Food Standards Agency","Declared non-disabled","Unknown","190","180","32230","27190"
"In post","2022","Food Standards Agency","Undeclared","Heterosexual / straight","260","260","37780","37350"
"In post","2022","Food Standards Agency","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Undeclared","Undeclared","70","60","38860","37350"
"In post","2022","Food Standards Agency","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Unknown","Heterosexual / straight","40","40","[c]","[c]"
"In post","2022","Food Standards Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Unknown","Unknown","30","30","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Declared disabled","Heterosexual / straight","620","600","44110","38600"
"In post","2022","Foreign, Commonwealth and Development Office","Declared disabled","LGBO","80","80","44690","38600"
"In post","2022","Foreign, Commonwealth and Development Office","Declared disabled","Undeclared","50","50","47450","43180"
"In post","2022","Foreign, Commonwealth and Development Office","Declared disabled","Unknown","40","40","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Declared non-disabled","Heterosexual / straight","4790","4680","48000","43320"
"In post","2022","Foreign, Commonwealth and Development Office","Declared non-disabled","LGBO","300","290","48220","44880"
"In post","2022","Foreign, Commonwealth and Development Office","Declared non-disabled","Undeclared","370","360","48650","44710"
"In post","2022","Foreign, Commonwealth and Development Office","Declared non-disabled","Unknown","210","210","45720","42890"
"In post","2022","Foreign, Commonwealth and Development Office","Undeclared","Heterosexual / straight","120","110","47080","40380"
"In post","2022","Foreign, Commonwealth and Development Office","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Undeclared","Undeclared","200","190","50110","44740"
"In post","2022","Foreign, Commonwealth and Development Office","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Unknown","Heterosexual / straight","230","230","54190","54750"
"In post","2022","Foreign, Commonwealth and Development Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Unknown","Unknown","1190","1170","48200","51420"
"In post","2022","HM Land Registry","Declared disabled","Heterosexual / straight","480","420","30240","27130"
"In post","2022","HM Land Registry","Declared disabled","LGBO","40","40","[c]","[c]"
"In post","2022","HM Land Registry","Declared disabled","Undeclared","70","60","31170","27130"
"In post","2022","HM Land Registry","Declared disabled","Unknown","80","70","27510","27130"
"In post","2022","HM Land Registry","Declared non-disabled","Heterosexual / straight","2900","2620","33320","30600"
"In post","2022","HM Land Registry","Declared non-disabled","LGBO","80","80","32330","27130"
"In post","2022","HM Land Registry","Declared non-disabled","Undeclared","390","340","33110","31740"
"In post","2022","HM Land Registry","Declared non-disabled","Unknown","780","680","30380","27130"
"In post","2022","HM Land Registry","Undeclared","Heterosexual / straight","90","80","31860","27130"
"In post","2022","HM Land Registry","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","Undeclared","Undeclared","160","140","34420","33840"
"In post","2022","HM Land Registry","Undeclared","Unknown","30","30","[c]","[c]"
"In post","2022","HM Land Registry","Unknown","Heterosexual / straight","500","480","27930","22600"
"In post","2022","HM Land Registry","Unknown","LGBO","50","50","[c]","[c]"
"In post","2022","HM Land Registry","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","Unknown","Unknown","960","920","27440","22600"
"In post","2022","HM Revenue and Customs","Declared disabled","Heterosexual / straight","4650","4210","33370","30750"
"In post","2022","HM Revenue and Customs","Declared disabled","LGBO","570","550","33320","33080"
"In post","2022","HM Revenue and Customs","Declared disabled","Undeclared","530","480","33210","29610"
"In post","2022","HM Revenue and Customs","Declared disabled","Unknown","640","550","29800","26590"
"In post","2022","HM Revenue and Customs","Declared non-disabled","Heterosexual / straight","34160","32030","35150","33080"
"In post","2022","HM Revenue and Customs","Declared non-disabled","LGBO","1980","1930","34390","33080"
"In post","2022","HM Revenue and Customs","Declared non-disabled","Undeclared","2210","2020","34620","33080"
"In post","2022","HM Revenue and Customs","Declared non-disabled","Unknown","3500","3050","31390","26820"
"In post","2022","HM Revenue and Customs","Undeclared","Heterosexual / straight","1090","1010","33020","30750"
"In post","2022","HM Revenue and Customs","Undeclared","LGBO","150","140","31490","26820"
"In post","2022","HM Revenue and Customs","Undeclared","Undeclared","1910","1760","36980","33370"
"In post","2022","HM Revenue and Customs","Undeclared","Unknown","310","280","34680","30610"
"In post","2022","HM Revenue and Customs","Unknown","Heterosexual / straight","1910","1700","32000","28010"
"In post","2022","HM Revenue and Customs","Unknown","LGBO","120","110","31080","26820"
"In post","2022","HM Revenue and Customs","Unknown","Undeclared","300","260","32430","28920"
"In post","2022","HM Revenue and Customs","Unknown","Unknown","17350","16240","30060","26820"
"In post","2022","HM Treasury","Declared disabled","Heterosexual / straight","210","200","45910","43160"
"In post","2022","HM Treasury","Declared disabled","LGBO","30","30","[c]","[c]"
"In post","2022","HM Treasury","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Declared non-disabled","Heterosexual / straight","1610","1560","48780","49680"
"In post","2022","HM Treasury","Declared non-disabled","LGBO","140","130","47060","50000"
"In post","2022","HM Treasury","Declared non-disabled","Undeclared","130","130","46860","44310"
"In post","2022","HM Treasury","Declared non-disabled","Unknown","30","30","[c]","[c]"
"In post","2022","HM Treasury","Undeclared","Heterosexual / straight","230","230","46030","43600"
"In post","2022","HM Treasury","Undeclared","LGBO","40","40","[c]","[c]"
"In post","2022","HM Treasury","Undeclared","Undeclared","130","130","45670","43220"
"In post","2022","HM Treasury","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Unknown","Heterosexual / straight","50","50","[c]","[c]"
"In post","2022","HM Treasury","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Unknown","Unknown","130","130","57360","52500"
"In post","2022","Home Office","Declared disabled","Heterosexual / straight","2360","2180","31930","27370"
"In post","2022","Home Office","Declared disabled","LGBO","230","220","34180","30500"
"In post","2022","Home Office","Declared disabled","Undeclared","390","360","32550","28790"
"In post","2022","Home Office","Declared disabled","Unknown","50","50","31680","28650"
"In post","2022","Home Office","Declared non-disabled","Heterosexual / straight","22830","21260","32630","28650"
"In post","2022","Home Office","Declared non-disabled","LGBO","810","780","33860","28660"
"In post","2022","Home Office","Declared non-disabled","Undeclared","2370","2170","32930","28650"
"In post","2022","Home Office","Declared non-disabled","Unknown","110","110","31900","28650"
"In post","2022","Home Office","Undeclared","Heterosexual / straight","540","500","31820","28790"
"In post","2022","Home Office","Undeclared","LGBO","40","40","[c]","[c]"
"In post","2022","Home Office","Undeclared","Undeclared","1070","990","34080","30460"
"In post","2022","Home Office","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Unknown","Heterosexual / straight","1280","1260","33370","28650"
"In post","2022","Home Office","Unknown","LGBO","110","110","33130","27740"
"In post","2022","Home Office","Unknown","Undeclared","80","80","[c]","[c]"
"In post","2022","Home Office","Unknown","Unknown","4250","4110","32350","27370"
"In post","2022","Ministry of Defence","Declared disabled","Heterosexual / straight","3790","3640","33310","31600"
"In post","2022","Ministry of Defence","Declared disabled","LGBO","260","250","33330","30280"
"In post","2022","Ministry of Defence","Declared disabled","Undeclared","620","600","35240","33300"
"In post","2022","Ministry of Defence","Declared disabled","Unknown","260","250","36270","34010"
"In post","2022","Ministry of Defence","Declared non-disabled","Heterosexual / straight","31640","30600","34330","32750"
"In post","2022","Ministry of Defence","Declared non-disabled","LGBO","980","960","33930","31890"
"In post","2022","Ministry of Defence","Declared non-disabled","Undeclared","2770","2660","35410","33300"
"In post","2022","Ministry of Defence","Declared non-disabled","Unknown","4140","3980","39880","38070"
"In post","2022","Ministry of Defence","Undeclared","Heterosexual / straight","1830","1770","32850","29290"
"In post","2022","Ministry of Defence","Undeclared","LGBO","100","100","33430","33000"
"In post","2022","Ministry of Defence","Undeclared","Undeclared","1920","1860","35320","33300"
"In post","2022","Ministry of Defence","Undeclared","Unknown","120","110","34910","33300"
"In post","2022","Ministry of Defence","Unknown","Heterosexual / straight","3050","2930","33770","31470"
"In post","2022","Ministry of Defence","Unknown","LGBO","120","110","31280","27780"
"In post","2022","Ministry of Defence","Unknown","Undeclared","600","580","36070","33300"
"In post","2022","Ministry of Defence","Unknown","Unknown","5640","5500","34620","32700"
"In post","2022","Ministry of Justice","Declared disabled","Heterosexual / straight","8170","7580","30180","27980"
"In post","2022","Ministry of Justice","Declared disabled","LGBO","980","950","30460","28140"
"In post","2022","Ministry of Justice","Declared disabled","Undeclared","940","870","31030","28200"
"In post","2022","Ministry of Justice","Declared disabled","Unknown","270","240","29680","28760"
"In post","2022","Ministry of Justice","Declared non-disabled","Heterosexual / straight","48020","45210","30710","27700"
"In post","2022","Ministry of Justice","Declared non-disabled","LGBO","2920","2850","30980","27700"
"In post","2022","Ministry of Justice","Declared non-disabled","Undeclared","3560","3290","31400","28310"
"In post","2022","Ministry of Justice","Declared non-disabled","Unknown","2730","2410","31470","31650"
"In post","2022","Ministry of Justice","Undeclared","Heterosexual / straight","4000","3680","31420","31180"
"In post","2022","Ministry of Justice","Undeclared","LGBO","300","290","31720","30450"
"In post","2022","Ministry of Justice","Undeclared","Undeclared","2250","2100","32100","31080"
"In post","2022","Ministry of Justice","Undeclared","Unknown","1980","1750","31190","31650"
"In post","2022","Ministry of Justice","Unknown","Heterosexual / straight","550","520","28200","25480"
"In post","2022","Ministry of Justice","Unknown","LGBO","50","50","[c]","[c]"
"In post","2022","Ministry of Justice","Unknown","Undeclared","50","50","[c]","[c]"
"In post","2022","Ministry of Justice","Unknown","Unknown","10140","9630","27920","25210"
"In post","2022","National Crime Agency","Declared disabled","Heterosexual / straight","190","190","38620","36740"
"In post","2022","National Crime Agency","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","National Crime Agency","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","National Crime Agency","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","National Crime Agency","Declared non-disabled","Heterosexual / straight","1400","1350","44160","41870"
"In post","2022","National Crime Agency","Declared non-disabled","LGBO","60","60","41230","37560"
"In post","2022","National Crime Agency","Declared non-disabled","Undeclared","100","100","42510","41340"
"In post","2022","National Crime Agency","Declared non-disabled","Unknown","70","70","42150","40210"
"In post","2022","National Crime Agency","Unknown","Heterosexual / straight","2670","2620","39120","36740"
"In post","2022","National Crime Agency","Unknown","LGBO","140","140","36720","36200"
"In post","2022","National Crime Agency","Unknown","Undeclared","230","230","38500","36410"
"In post","2022","National Crime Agency","Unknown","Unknown","630","600","41660","39840"
"In post","2022","Northern Ireland Office","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Declared non-disabled","Heterosexual / straight","90","90","46910","41750"
"In post","2022","Northern Ireland Office","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Unknown","Unknown","50","50","46430","41750"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Declared disabled","Heterosexual / straight","120","120","46820","46360"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","Heterosexual / straight","1320","1270","51950","51360"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","LGBO","110","110","50740","46360"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","Undeclared","70","70","47650","46360"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","Unknown","30","30","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Unknown","Heterosexual / straight","70","70","44150","51360"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Unknown","Unknown","60","60","38920","32010"
"In post","2022","Office of Gas and Electricity Markets","Declared disabled","Heterosexual / straight","50","50","[c]","[c]"
"In post","2022","Office of Gas and Electricity Markets","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Office of Gas and Electricity Markets","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Office of Gas and Electricity Markets","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Office of Gas and Electricity Markets","Declared non-disabled","Heterosexual / straight","630","620","42000","35050"
"In post","2022","Office of Gas and Electricity Markets","Declared non-disabled","LGBO","80","70","37710","32160"
"In post","2022","Office of Gas and Electricity Markets","Declared non-disabled","Undeclared","60","60","41640","37120"
"In post","2022","Office of Gas and Electricity Markets","Declared non-disabled","Unknown","410","410","47930","43650"
"In post","2022","Office of Gas and Electricity Markets","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Office of Gas and Electricity Markets","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Office of Gas and Electricity Markets","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Office of Gas and Electricity Markets","Unknown","Unknown","50","40","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Declared non-disabled","Heterosexual / straight","170","160","44430","38760"
"In post","2022","Office of Qualifications and Examinations Regulation","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Unknown","Unknown","60","50","49340","46660"
"In post","2022","Office of Rail and Road","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","Declared non-disabled","Heterosexual / straight","200","190","53240","52500"
"In post","2022","Office of Rail and Road","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","Declared non-disabled","Undeclared","30","30","[c]","[c]"
"In post","2022","Office of Rail and Road","Declared non-disabled","Unknown","70","70","59670","60020"
"In post","2022","Office of Rail and Road","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","Declared non-disabled","Heterosexual / straight","40","30","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
