"Status","Year","Organisation","Sexual_orientation","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Scottish Fiscal Commission","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Fiscal Commission","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Fiscal Commission","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Forestry","Heterosexual / straight","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Forestry","Heterosexual / straight","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Forestry","Heterosexual / straight","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Forestry","Heterosexual / straight","50-59","30","30","[c]","[c]"
"In post","2022","Scottish Forestry","Heterosexual / straight","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Forestry","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Forestry","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Forestry","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Forestry","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Forestry","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Forestry","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Forestry","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Forestry","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Forestry","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Forestry","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Forestry","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Forestry","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Forestry","Unknown","40-49","30","30","[c]","[c]"
"In post","2022","Scottish Forestry","Unknown","50-59","30","30","[c]","[c]"
"In post","2022","Scottish Forestry","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Forestry","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government (excl. agencies)","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government (excl. agencies)","Heterosexual / straight","20-29","920","920","31830","31540"
"In post","2022","Scottish Government (excl. agencies)","Heterosexual / straight","30-39","1490","1430","42610","39660"
"In post","2022","Scottish Government (excl. agencies)","Heterosexual / straight","40-49","1610","1530","50600","47490"
"In post","2022","Scottish Government (excl. agencies)","Heterosexual / straight","50-59","1330","1290","50170","47490"
"In post","2022","Scottish Government (excl. agencies)","Heterosexual / straight","60-64","250","220","46570","44810"
"In post","2022","Scottish Government (excl. agencies)","Heterosexual / straight","65+","60","50","40660","35240"
"In post","2022","Scottish Government (excl. agencies)","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government (excl. agencies)","LGBO","20-29","170","170","32170","31540"
"In post","2022","Scottish Government (excl. agencies)","LGBO","30-39","180","180","41870","39660"
"In post","2022","Scottish Government (excl. agencies)","LGBO","40-49","100","100","52310","50150"
"In post","2022","Scottish Government (excl. agencies)","LGBO","50-59","60","60","53110","49860"
"In post","2022","Scottish Government (excl. agencies)","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government (excl. agencies)","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government (excl. agencies)","Undeclared","20-29","70","70","32350","31540"
"In post","2022","Scottish Government (excl. agencies)","Undeclared","30-39","130","120","43130","40130"
"In post","2022","Scottish Government (excl. agencies)","Undeclared","40-49","110","100","50460","47490"
"In post","2022","Scottish Government (excl. agencies)","Undeclared","50-59","90","80","51540","47490"
"In post","2022","Scottish Government (excl. agencies)","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government (excl. agencies)","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government (excl. agencies)","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government (excl. agencies)","Unknown","20-29","430","420","30700","30040"
"In post","2022","Scottish Government (excl. agencies)","Unknown","30-39","510","490","40900","39660"
"In post","2022","Scottish Government (excl. agencies)","Unknown","40-49","480","450","46560","43000"
"In post","2022","Scottish Government (excl. agencies)","Unknown","50-59","610","580","47800","47490"
"In post","2022","Scottish Government (excl. agencies)","Unknown","60-64","150","130","45050","37120"
"In post","2022","Scottish Government (excl. agencies)","Unknown","65+","70","60","39680","35380"
"In post","2022","Scottish Housing Regulator","Heterosexual / straight","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Housing Regulator","Heterosexual / straight","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Housing Regulator","Heterosexual / straight","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Housing Regulator","Heterosexual / straight","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Housing Regulator","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Housing Regulator","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Housing Regulator","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Housing Regulator","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Housing Regulator","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Housing Regulator","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Housing Regulator","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Housing Regulator","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Housing Regulator","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Housing Regulator","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Housing Regulator","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Housing Regulator","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Housing Regulator","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","Heterosexual / straight","20-29","90","90","28770","28390"
"In post","2022","Scottish Prison Service","Heterosexual / straight","30-39","330","310","32780","35000"
"In post","2022","Scottish Prison Service","Heterosexual / straight","40-49","300","290","35000","35000"
"In post","2022","Scottish Prison Service","Heterosexual / straight","50-59","600","580","37520","35000"
"In post","2022","Scottish Prison Service","Heterosexual / straight","60-64","160","100","37000","35000"
"In post","2022","Scottish Prison Service","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","LGBO","30-39","40","40","[c]","[c]"
"In post","2022","Scottish Prison Service","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Prison Service","Unknown","20-29","590","580","25890","23330"
"In post","2022","Scottish Prison Service","Unknown","30-39","790","770","30290","29900"
"In post","2022","Scottish Prison Service","Unknown","40-49","440","420","32600","35000"
"In post","2022","Scottish Prison Service","Unknown","50-59","810","770","34830","35000"
"In post","2022","Scottish Prison Service","Unknown","60-64","210","150","34180","35000"
"In post","2022","Scottish Prison Service","Unknown","65+","60","40","36180","35000"
"In post","2022","Scottish Public Pensions Agency","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Public Pensions Agency","Heterosexual / straight","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Public Pensions Agency","Heterosexual / straight","30-39","40","40","[c]","[c]"
"In post","2022","Scottish Public Pensions Agency","Heterosexual / straight","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Public Pensions Agency","Heterosexual / straight","50-59","40","40","[c]","[c]"
"In post","2022","Scottish Public Pensions Agency","Heterosexual / straight","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Public Pensions Agency","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Public Pensions Agency","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Public Pensions Agency","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Public Pensions Agency","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Public Pensions Agency","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Public Pensions Agency","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Public Pensions Agency","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Public Pensions Agency","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Public Pensions Agency","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Public Pensions Agency","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Public Pensions Agency","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Public Pensions Agency","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Public Pensions Agency","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Public Pensions Agency","Unknown","40-49","40","40","[c]","[c]"
"In post","2022","Scottish Public Pensions Agency","Unknown","50-59","50","40","[c]","[c]"
"In post","2022","Scottish Public Pensions Agency","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Public Pensions Agency","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","Heterosexual / straight","20-29","40","40","[c]","[c]"
"In post","2022","Serious Fraud Office","Heterosexual / straight","30-39","80","80","45140","40980"
"In post","2022","Serious Fraud Office","Heterosexual / straight","40-49","80","70","51190","51320"
"In post","2022","Serious Fraud Office","Heterosexual / straight","50-59","100","90","50600","44300"
"In post","2022","Serious Fraud Office","Heterosexual / straight","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","Unknown","30-39","30","30","[c]","[c]"
"In post","2022","Serious Fraud Office","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Serious Fraud Office","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","Social Security Scotland","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Social Security Scotland","Heterosexual / straight","20-29","290","280","27030","27230"
"In post","2022","Social Security Scotland","Heterosexual / straight","30-39","440","430","31490","27940"
"In post","2022","Social Security Scotland","Heterosexual / straight","40-49","420","400","33400","27940"
"In post","2022","Social Security Scotland","Heterosexual / straight","50-59","310","300","35600","31540"
"In post","2022","Social Security Scotland","Heterosexual / straight","60-64","30","30","[c]","[c]"
"In post","2022","Social Security Scotland","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2022","Social Security Scotland","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Social Security Scotland","LGBO","20-29","70","70","25500","27230"
"In post","2022","Social Security Scotland","LGBO","30-39","70","70","30020","27230"
"In post","2022","Social Security Scotland","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Social Security Scotland","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Social Security Scotland","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Social Security Scotland","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2022","Social Security Scotland","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Social Security Scotland","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Social Security Scotland","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Social Security Scotland","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Social Security Scotland","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Social Security Scotland","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Social Security Scotland","Unknown","20-29","180","180","25180","24400"
"In post","2022","Social Security Scotland","Unknown","30-39","200","190","28990","27230"
"In post","2022","Social Security Scotland","Unknown","40-49","150","150","30750","27230"
"In post","2022","Social Security Scotland","Unknown","50-59","120","120","30370","27230"
"In post","2022","Social Security Scotland","Unknown","60-64","30","30","[c]","[c]"
"In post","2022","Social Security Scotland","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","Heterosexual / straight","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","Heterosexual / straight","30-39","40","40","[c]","[c]"
"In post","2022","Standards and Testing Agency","Heterosexual / straight","40-49","30","30","[c]","[c]"
"In post","2022","Standards and Testing Agency","Heterosexual / straight","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","Heterosexual / straight","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","Heterosexual / straight","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","Heterosexual / straight","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","Heterosexual / straight","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","Heterosexual / straight","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","Heterosexual / straight","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","Unknown","20-29","40","40","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","Unknown","40-49","30","30","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","Unknown","50-59","30","30","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","Submarine Delivery Agency","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Submarine Delivery Agency","Heterosexual / straight","20-29","350","350","28710","27540"
"In post","2022","Submarine Delivery Agency","Heterosexual / straight","30-39","370","360","39380","39110"
"In post","2022","Submarine Delivery Agency","Heterosexual / straight","40-49","340","330","45000","42280"
"In post","2022","Submarine Delivery Agency","Heterosexual / straight","50-59","370","360","50120","46630"
"In post","2022","Submarine Delivery Agency","Heterosexual / straight","60-64","90","80","49620","43820"
"In post","2022","Submarine Delivery Agency","Heterosexual / straight","65+","30","30","[c]","[c]"
"In post","2022","Submarine Delivery Agency","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Submarine Delivery Agency","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Submarine Delivery Agency","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Submarine Delivery Agency","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Submarine Delivery Agency","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Submarine Delivery Agency","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Submarine Delivery Agency","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2022","Submarine Delivery Agency","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Submarine Delivery Agency","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Submarine Delivery Agency","Undeclared","30-39","30","30","[c]","[c]"
"In post","2022","Submarine Delivery Agency","Undeclared","40-49","50","50","[c]","[c]"
"In post","2022","Submarine Delivery Agency","Undeclared","50-59","60","60","49400","46970"
"In post","2022","Submarine Delivery Agency","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Submarine Delivery Agency","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2022","Submarine Delivery Agency","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Submarine Delivery Agency","Unknown","20-29","40","40","[c]","[c]"
"In post","2022","Submarine Delivery Agency","Unknown","30-39","40","40","[c]","[c]"
"In post","2022","Submarine Delivery Agency","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Submarine Delivery Agency","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Submarine Delivery Agency","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Submarine Delivery Agency","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Heterosexual / straight","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Heterosexual / straight","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Heterosexual / straight","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Heterosexual / straight","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Heterosexual / straight","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","Heterosexual / straight","20-29","70","70","25040","21130"
"In post","2022","The Insolvency Service","Heterosexual / straight","30-39","180","170","30340","26290"
"In post","2022","The Insolvency Service","Heterosexual / straight","40-49","300","290","35860","35510"
"In post","2022","The Insolvency Service","Heterosexual / straight","50-59","310","300","38390","37550"
"In post","2022","The Insolvency Service","Heterosexual / straight","60-64","70","60","33790","32070"
"In post","2022","The Insolvency Service","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","Unknown","20-29","100","100","23210","21130"
"In post","2022","The Insolvency Service","Unknown","30-39","140","130","31040","28280"
"In post","2022","The Insolvency Service","Unknown","40-49","160","150","31550","29320"
"In post","2022","The Insolvency Service","Unknown","50-59","180","180","32540","27570"
"In post","2022","The Insolvency Service","Unknown","60-64","60","50","30270","25060"
"In post","2022","The Insolvency Service","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Heterosexual / straight","20-29","50","50","[c]","[c]"
"In post","2022","The National Archives","Heterosexual / straight","30-39","50","50","33870","33000"
"In post","2022","The National Archives","Heterosexual / straight","40-49","80","70","44270","42420"
"In post","2022","The National Archives","Heterosexual / straight","50-59","60","60","40600","39990"
"In post","2022","The National Archives","Heterosexual / straight","60-64","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Unknown","30-39","50","40","[c]","[c]"
"In post","2022","The National Archives","Unknown","40-49","60","50","34940","34580"
"In post","2022","The National Archives","Unknown","50-59","60","60","37370","33660"
"In post","2022","The National Archives","Unknown","60-64","30","30","[c]","[c]"
"In post","2022","The National Archives","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","Transport Scotland","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Transport Scotland","Heterosexual / straight","20-29","40","40","[c]","[c]"
"In post","2022","Transport Scotland","Heterosexual / straight","30-39","70","70","43890","40810"
"In post","2022","Transport Scotland","Heterosexual / straight","40-49","110","100","52790","51110"
"In post","2022","Transport Scotland","Heterosexual / straight","50-59","100","90","49930","47490"
"In post","2022","Transport Scotland","Heterosexual / straight","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Transport Scotland","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2022","Transport Scotland","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Transport Scotland","LGBO","20-29","[c]","[c]","[c]","[c]"
