"Status","Year","Function_of_post","Disability","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Grants Management","Declared disabled","Heterosexual / straight","110","100","26230","24920"
"In post","2022","Grants Management","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Declared disabled","Unknown","50","50","24210","21300"
"In post","2022","Grants Management","Declared non-disabled","Heterosexual / straight","920","830","26130","24920"
"In post","2022","Grants Management","Declared non-disabled","LGBO","70","60","25820","24920"
"In post","2022","Grants Management","Declared non-disabled","Undeclared","50","50","23750","21300"
"In post","2022","Grants Management","Declared non-disabled","Unknown","1050","980","24230","21300"
"In post","2022","Grants Management","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Declared disabled","Heterosexual / straight","1240","1170","38560","34160"
"In post","2022","Human Resources","Declared disabled","LGBO","190","180","38210","33370"
"In post","2022","Human Resources","Declared disabled","Undeclared","120","110","34910","31740"
"In post","2022","Human Resources","Declared disabled","Unknown","50","50","34730","30800"
"In post","2022","Human Resources","Declared non-disabled","Heterosexual / straight","6700","6340","38490","33530"
"In post","2022","Human Resources","Declared non-disabled","LGBO","390","380","39830","34550"
"In post","2022","Human Resources","Declared non-disabled","Undeclared","390","370","35590","31060"
"In post","2022","Human Resources","Declared non-disabled","Unknown","390","360","33980","29880"
"In post","2022","Human Resources","Undeclared","Heterosexual / straight","350","330","36570","33370"
"In post","2022","Human Resources","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Undeclared","Undeclared","210","200","36670","33300"
"In post","2022","Human Resources","Undeclared","Unknown","40","30","[c]","[c]"
"In post","2022","Human Resources","Unknown","Heterosexual / straight","530","510","35600","32330"
"In post","2022","Human Resources","Unknown","LGBO","40","40","[c]","[c]"
"In post","2022","Human Resources","Unknown","Undeclared","100","100","33830","31450"
"In post","2022","Human Resources","Unknown","Unknown","960","920","35490","32000"
"In post","2022","Internal Audit","Declared disabled","Heterosexual / straight","70","70","44630","39980"
"In post","2022","Internal Audit","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Declared non-disabled","Heterosexual / straight","480","450","46300","43710"
"In post","2022","Internal Audit","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Declared non-disabled","Undeclared","50","50","46710","43200"
"In post","2022","Internal Audit","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Undeclared","Heterosexual / straight","40","30","[c]","[c]"
"In post","2022","Internal Audit","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","Unknown","30","30","[c]","[c]"
"In post","2022","Legal","Declared disabled","Heterosexual / straight","910","840","44040","41750"
"In post","2022","Legal","Declared disabled","LGBO","110","100","45280","49650"
"In post","2022","Legal","Declared disabled","Undeclared","90","80","48890","52530"
"In post","2022","Legal","Declared disabled","Unknown","120","100","42040","35700"
"In post","2022","Legal","Declared non-disabled","Heterosexual / straight","6510","6090","47340","50500"
"In post","2022","Legal","Declared non-disabled","LGBO","380","370","48710","50500"
"In post","2022","Legal","Declared non-disabled","Undeclared","340","320","50610","51940"
"In post","2022","Legal","Declared non-disabled","Unknown","1260","1130","48390","53170"
"In post","2022","Legal","Undeclared","Heterosexual / straight","140","130","50510","52980"
"In post","2022","Legal","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Undeclared","Undeclared","130","120","51540","53490"
"In post","2022","Legal","Undeclared","Unknown","30","30","[c]","[c]"
"In post","2022","Legal","Unknown","Heterosexual / straight","980","940","39840","38090"
"In post","2022","Legal","Unknown","LGBO","50","50","34020","26970"
"In post","2022","Legal","Unknown","Undeclared","100","90","41180","40000"
"In post","2022","Legal","Unknown","Unknown","1250","1150","47930","50500"
"In post","2022","No function","Declared disabled","Heterosexual / straight","24450","22120","30080","27570"
"In post","2022","No function","Declared disabled","LGBO","2940","2820","30880","27570"
"In post","2022","No function","Declared disabled","Undeclared","3300","2940","29390","27570"
"In post","2022","No function","Declared disabled","Unknown","2280","1960","28600","27570"
"In post","2022","No function","Declared non-disabled","Heterosexual / straight","136780","127410","32420","27570"
"In post","2022","No function","Declared non-disabled","LGBO","8400","8160","33390","28140"
"In post","2022","No function","Declared non-disabled","Undeclared","12340","11170","31680","27570"
"In post","2022","No function","Declared non-disabled","Unknown","20090","17480","30100","27570"
"In post","2022","No function","Undeclared","Heterosexual / straight","7640","7060","31150","27570"
"In post","2022","No function","Undeclared","LGBO","710","680","31430","27570"
"In post","2022","No function","Undeclared","Undeclared","5120","4770","33510","30450"
"In post","2022","No function","Undeclared","Unknown","2620","2310","30160","31650"
"In post","2022","No function","Unknown","Heterosexual / straight","9680","9110","36240","33370"
"In post","2022","No function","Unknown","LGBO","710","690","35540","32770"
"In post","2022","No function","Unknown","Undeclared","1790","1690","42330","36820"
"In post","2022","No function","Unknown","Unknown","35720","33670","30610","27120"
"In post","2022","Project Delivery","Declared disabled","Heterosexual / straight","1980","1890","39740","37300"
"In post","2022","Project Delivery","Declared disabled","LGBO","210","200","40570","35990"
"In post","2022","Project Delivery","Declared disabled","Undeclared","270","260","39760","39100"
"In post","2022","Project Delivery","Declared disabled","Unknown","150","140","38610","35860"
"In post","2022","Project Delivery","Declared non-disabled","Heterosexual / straight","15290","14730","42450","40000"
"In post","2022","Project Delivery","Declared non-disabled","LGBO","660","650","42300","39650"
"In post","2022","Project Delivery","Declared non-disabled","Undeclared","1190","1130","42730","40130"
"In post","2022","Project Delivery","Declared non-disabled","Unknown","1620","1520","40920","38070"
"In post","2022","Project Delivery","Undeclared","Heterosexual / straight","590","560","40510","39140"
"In post","2022","Project Delivery","Undeclared","LGBO","50","50","[c]","[c]"
"In post","2022","Project Delivery","Undeclared","Undeclared","690","660","42960","40520"
"In post","2022","Project Delivery","Undeclared","Unknown","70","70","40760","39390"
"In post","2022","Project Delivery","Unknown","Heterosexual / straight","1060","1020","42770","40220"
"In post","2022","Project Delivery","Unknown","LGBO","50","50","[c]","[c]"
"In post","2022","Project Delivery","Unknown","Undeclared","190","180","43440","40580"
"In post","2022","Project Delivery","Unknown","Unknown","2500","2420","43300","40410"
"In post","2022","Property","Declared disabled","Heterosexual / straight","600","570","36710","33300"
"In post","2022","Property","Declared disabled","LGBO","50","50","38350","35190"
"In post","2022","Property","Declared disabled","Undeclared","80","70","37080","33300"
"In post","2022","Property","Declared disabled","Unknown","50","50","[c]","[c]"
"In post","2022","Property","Declared non-disabled","Heterosexual / straight","5250","5040","37900","33370"
"In post","2022","Property","Declared non-disabled","LGBO","190","180","36160","32890"
"In post","2022","Property","Declared non-disabled","Undeclared","450","420","38610","34000"
"In post","2022","Property","Declared non-disabled","Unknown","390","360","37470","34000"
"In post","2022","Property","Undeclared","Heterosexual / straight","270","260","37090","33680"
"In post","2022","Property","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Undeclared","Undeclared","260","250","38720","34000"
"In post","2022","Property","Undeclared","Unknown","90","80","35410","31790"
"In post","2022","Property","Unknown","Heterosexual / straight","430","420","34820","32650"
"In post","2022","Property","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Unknown","Undeclared","40","40","[c]","[c]"
"In post","2022","Property","Unknown","Unknown","1350","1300","31660","26880"
"In post","2022","Security","Declared disabled","Heterosexual / straight","670","650","32710","30730"
"In post","2022","Security","Declared disabled","LGBO","50","50","[c]","[c]"
"In post","2022","Security","Declared disabled","Undeclared","90","90","35040","33630"
"In post","2022","Security","Declared disabled","Unknown","50","50","[c]","[c]"
"In post","2022","Security","Declared non-disabled","Heterosexual / straight","5690","5550","32450","29890"
"In post","2022","Security","Declared non-disabled","LGBO","240","240","33280","31990"
"In post","2022","Security","Declared non-disabled","Undeclared","490","480","35410","35670"
"In post","2022","Security","Declared non-disabled","Unknown","290","280","36020","36100"
"In post","2022","Security","Undeclared","Heterosexual / straight","390","380","32380","29960"
"In post","2022","Security","Undeclared","LGBO","40","40","[c]","[c]"
"In post","2022","Security","Undeclared","Undeclared","400","390","36970","39070"
"In post","2022","Security","Undeclared","Unknown","40","40","[c]","[c]"
"In post","2022","Security","Unknown","Heterosexual / straight","770","750","32160","30890"
"In post","2022","Security","Unknown","LGBO","40","40","[c]","[c]"
"In post","2022","Security","Unknown","Undeclared","120","120","35710","39070"
"In post","2022","Security","Unknown","Unknown","1320","1300","31830","28680"
"In post","2022","Unknown","Declared disabled","Heterosexual / straight","5020","4720","33370","29080"
"In post","2022","Unknown","Declared disabled","LGBO","580","550","35550","30830"
"In post","2022","Unknown","Declared disabled","Undeclared","740","690","33720","29080"
"In post","2022","Unknown","Declared disabled","Unknown","250","240","34690","30040"
"In post","2022","Unknown","Declared non-disabled","Heterosexual / straight","45340","42840","34740","29430"
"In post","2022","Unknown","Declared non-disabled","LGBO","1840","1790","36310","31210"
"In post","2022","Unknown","Declared non-disabled","Undeclared","4230","3950","34880","29430"
"In post","2022","Unknown","Declared non-disabled","Unknown","2000","1880","37610","32040"
"In post","2022","Unknown","Undeclared","Heterosexual / straight","1480","1400","31970","27400"
"In post","2022","Unknown","Undeclared","LGBO","110","100","33570","28920"
"In post","2022","Unknown","Undeclared","Undeclared","1840","1740","34500","30820"
"In post","2022","Unknown","Undeclared","Unknown","80","70","34480","29530"
"In post","2022","Unknown","Unknown","Heterosexual / straight","4360","4200","37820","32390"
"In post","2022","Unknown","Unknown","LGBO","280","280","36620","31210"
"In post","2022","Unknown","Unknown","Undeclared","520","510","38700","33860"
"In post","2022","Unknown","Unknown","Unknown","10990","10630","35000","30780"
"Leaver CS","2021","Analysis","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Declared non-disabled","Heterosexual / straight","110","100","40710","33430"
"Leaver CS","2021","Analysis","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Unknown","Unknown","90","90","30650","25730"
"Leaver CS","2021","Commercial","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Declared non-disabled","Heterosexual / straight","120","110","44670","40000"
"Leaver CS","2021","Commercial","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","Unknown","80","80","61020","57710"
"Leaver CS","2021","Communications","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Declared non-disabled","Heterosexual / straight","110","100","37690","32730"
"Leaver CS","2021","Communications","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","Unknown","70","70","37000","35600"
"Leaver CS","2021","Counter Fraud","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Declared non-disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Declared non-disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Declared non-disabled","Heterosexual / straight","150","150","43990","38700"
"Leaver CS","2021","Digital, Data & Technology","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Unknown","Unknown","150","140","40590","37540"
"Leaver CS","2021","Finance","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Declared non-disabled","Heterosexual / straight","120","110","42100","39000"
"Leaver CS","2021","Finance","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Unknown","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Grants Management","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Declared non-disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Unknown","Unknown","90","80","24950","21050"
"Leaver CS","2021","Human Resources","Declared disabled","Heterosexual / straight","30","30","[c]","[c]"
"Leaver CS","2021","Human Resources","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Declared non-disabled","Heterosexual / straight","160","150","38990","34560"
"Leaver CS","2021","Human Resources","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","Unknown","50","40","[c]","[c]"
"Leaver CS","2021","Internal Audit","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Declared non-disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Declared disabled","Heterosexual / straight","30","30","[c]","[c]"
"Leaver CS","2021","Legal","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Declared non-disabled","Heterosexual / straight","260","230","47020","48830"
"Leaver CS","2021","Legal","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Declared non-disabled","Undeclared","30","30","[c]","[c]"
"Leaver CS","2021","Legal","Declared non-disabled","Unknown","70","50","48990","53630"
"Leaver CS","2021","Legal","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Unknown","Heterosexual / straight","50","50","[c]","[c]"
"Leaver CS","2021","Legal","Unknown","Undeclared","110","100","28830","22820"
"Leaver CS","2021","Legal","Unknown","Unknown","80","70","46270","44640"
"Leaver CS","2021","No function","Declared disabled","Heterosexual / straight","650","570","27350","21790"
"Leaver CS","2021","No function","Declared disabled","LGBO","70","70","[c]","[c]"
"Leaver CS","2021","No function","Declared disabled","Undeclared","110","90","26080","22080"
"Leaver CS","2021","No function","Declared disabled","Unknown","60","50","[c]","[c]"
"Leaver CS","2021","No function","Declared non-disabled","Heterosexual / straight","3770","3420","32990","26010"
"Leaver CS","2021","No function","Declared non-disabled","LGBO","230","220","32640","23270"
"Leaver CS","2021","No function","Declared non-disabled","Undeclared","440","370","32310","26380"
"Leaver CS","2021","No function","Declared non-disabled","Unknown","480","390","35850","27130"
"Leaver CS","2021","No function","Undeclared","Heterosexual / straight","280","240","30600","22450"
"Leaver CS","2021","No function","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","Undeclared","Undeclared","220","190","34530","30780"
"Leaver CS","2021","No function","Undeclared","Unknown","290","230","32990","32890"
"Leaver CS","2021","No function","Unknown","Heterosexual / straight","290","260","36670","32090"
"Leaver CS","2021","No function","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","Unknown","Undeclared","40","30","[c]","[c]"
"Leaver CS","2021","No function","Unknown","Unknown","2220","2100","30010","24250"
"Leaver CS","2021","Project Delivery","Declared disabled","Heterosexual / straight","70","60","36590","33040"
"Leaver CS","2021","Project Delivery","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Declared non-disabled","Heterosexual / straight","430","410","39600","35450"
"Leaver CS","2021","Project Delivery","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Declared non-disabled","Undeclared","40","40","[c]","[c]"
"Leaver CS","2021","Project Delivery","Declared non-disabled","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Project Delivery","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Unknown","Heterosexual / straight","40","40","[c]","[c]"
"Leaver CS","2021","Project Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Unknown","Unknown","120","110","33870","28650"
"Leaver CS","2021","Property","Declared disabled","Heterosexual / straight","30","30","[c]","[c]"
"Leaver CS","2021","Property","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Declared non-disabled","Heterosexual / straight","220","200","32890","29050"
"Leaver CS","2021","Property","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Declared non-disabled","Undeclared","30","30","[c]","[c]"
"Leaver CS","2021","Property","Declared non-disabled","Unknown","60","50","29370","26530"
"Leaver CS","2021","Property","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Unknown","Unknown","140","120","26450","24500"
"Leaver CS","2021","Security","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Declared non-disabled","Heterosexual / straight","170","160","30720","27050"
"Leaver CS","2021","Security","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Unknown","Heterosexual / straight","40","30","[c]","[c]"
"Leaver CS","2021","Security","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Unknown","Unknown","110","110","26910","24230"
"Leaver CS","2021","Unknown","Declared disabled","Heterosexual / straight","760","630","28770","26890"
