"Status","Year","Ethnicity","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","White","Heterosexual / straight","Inspector of Education and Training","730","710","65990","70500"
"In post","2022","White","Heterosexual / straight","Intelligence Analysis","2060","1970","33620","30820"
"In post","2022","White","Heterosexual / straight","Internal Audit","470","450","46540","43490"
"In post","2022","White","Heterosexual / straight","International Trade","700","690","48940","51370"
"In post","2022","White","Heterosexual / straight","Knowledge and Information Management","1390","1330","35600","32400"
"In post","2022","White","Heterosexual / straight","Legal","6580","6140","49140","49860"
"In post","2022","White","Heterosexual / straight","Medicine","1450","1290","52020","40060"
"In post","2022","White","Heterosexual / straight","Operational Delivery","139050","127300","29060","27380"
"In post","2022","White","Heterosexual / straight","Operational Research","470","450","47020","47010"
"In post","2022","White","Heterosexual / straight","Other","18220","17220","29970","26670"
"In post","2022","White","Heterosexual / straight","Planning","160","150","46700","42980"
"In post","2022","White","Heterosexual / straight","Planning Inspectors","270","240","56200","58810"
"In post","2022","White","Heterosexual / straight","Policy","18410","17800","48600","47470"
"In post","2022","White","Heterosexual / straight","Project Delivery","9690","9300","44130","40520"
"In post","2022","White","Heterosexual / straight","Property","4760","4570","38510","33960"
"In post","2022","White","Heterosexual / straight","Psychology","1020","980","36070","31180"
"In post","2022","White","Heterosexual / straight","Science and Engineering","7400","7130","38930","37400"
"In post","2022","White","Heterosexual / straight","Security","5980","5840","31630","28080"
"In post","2022","White","Heterosexual / straight","Social Research","840","800","43100","39100"
"In post","2022","White","Heterosexual / straight","Statistics","1410","1350","45350","40910"
"In post","2022","White","Heterosexual / straight","Tax","8980","8500","37520","33370"
"In post","2022","White","Heterosexual / straight","Unknown","15290","14760","43080","37300"
"In post","2022","White","Heterosexual / straight","Veterinarian","250","240","43750","39330"
"In post","2022","White","LGBO","Commercial","230","230","37670","34610"
"In post","2022","White","LGBO","Communications","220","220","41020","38620"
"In post","2022","White","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","White","LGBO","Counter Fraud","190","180","29220","27570"
"In post","2022","White","LGBO","Digital, Data and Technology","740","730","40370","36500"
"In post","2022","White","LGBO","Economics","120","120","44770","39910"
"In post","2022","White","LGBO","Finance","340","340","41590","36780"
"In post","2022","White","LGBO","Geography","[c]","[c]","[c]","[c]"
"In post","2022","White","LGBO","Human Resources","440","430","40290","35310"
"In post","2022","White","LGBO","Inspector of Education and Training","50","50","71020","75500"
"In post","2022","White","LGBO","Intelligence Analysis","100","100","33980","30480"
"In post","2022","White","LGBO","Internal Audit","30","30","[c]","[c]"
"In post","2022","White","LGBO","International Trade","90","90","48180","49370"
"In post","2022","White","LGBO","Knowledge and Information Management","100","100","34270","31990"
"In post","2022","White","LGBO","Legal","420","410","50110","51250"
"In post","2022","White","LGBO","Medicine","60","50","59460","46440"
"In post","2022","White","LGBO","Operational Delivery","9180","8850","28710","27470"
"In post","2022","White","LGBO","Operational Research","70","60","39850","38020"
"In post","2022","White","LGBO","Other","900","880","30190","27570"
"In post","2022","White","LGBO","Planning","[c]","[c]","[c]","[c]"
"In post","2022","White","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","White","LGBO","Policy","2030","2000","46960","42460"
"In post","2022","White","LGBO","Project Delivery","540","530","42900","40040"
"In post","2022","White","LGBO","Property","200","200","37990","33310"
"In post","2022","White","LGBO","Psychology","70","60","31480","29060"
"In post","2022","White","LGBO","Science and Engineering","420","400","35390","31770"
"In post","2022","White","LGBO","Security","270","260","33700","31990"
"In post","2022","White","LGBO","Social Research","110","100","40340","37610"
"In post","2022","White","LGBO","Statistics","160","160","40450","38250"
"In post","2022","White","LGBO","Tax","770","750","34110","33080"
"In post","2022","White","LGBO","Unknown","1520","1500","39820","34550"
"In post","2022","White","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","White","Undeclared","Commercial","310","290","39590","36810"
"In post","2022","White","Undeclared","Communications","190","180","41150","37740"
"In post","2022","White","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","White","Undeclared","Counter Fraud","360","320","28040","27570"
"In post","2022","White","Undeclared","Digital, Data and Technology","940","910","41190","38160"
"In post","2022","White","Undeclared","Economics","90","90","46930","44410"
"In post","2022","White","Undeclared","Finance","620","590","40180","35360"
"In post","2022","White","Undeclared","Geography","[c]","[c]","[c]","[c]"
"In post","2022","White","Undeclared","Human Resources","380","360","36690","33310"
"In post","2022","White","Undeclared","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","White","Undeclared","Intelligence Analysis","200","200","34410","30970"
"In post","2022","White","Undeclared","Internal Audit","50","50","[c]","[c]"
"In post","2022","White","Undeclared","International Trade","50","40","[c]","[c]"
"In post","2022","White","Undeclared","Knowledge and Information Management","160","160","34870","33280"
"In post","2022","White","Undeclared","Legal","490","450","49600","47240"
"In post","2022","White","Undeclared","Medicine","130","120","64130","47470"
"In post","2022","White","Undeclared","Operational Delivery","12640","11220","28320","26910"
"In post","2022","White","Undeclared","Operational Research","40","30","[c]","[c]"
"In post","2022","White","Undeclared","Other","1540","1440","29860","26670"
"In post","2022","White","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2022","White","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","White","Undeclared","Policy","1580","1530","46970","42200"
"In post","2022","White","Undeclared","Project Delivery","710","670","43960","40520"
"In post","2022","White","Undeclared","Property","350","330","39350","35970"
"In post","2022","White","Undeclared","Psychology","60","60","35690","31180"
"In post","2022","White","Undeclared","Science and Engineering","820","770","38940","36290"
"In post","2022","White","Undeclared","Security","510","500","34990","38200"
"In post","2022","White","Undeclared","Social Research","60","60","42880","38340"
"In post","2022","White","Undeclared","Statistics","110","100","42000","38340"
"In post","2022","White","Undeclared","Tax","630","590","38040","33370"
"In post","2022","White","Undeclared","Unknown","870","850","43830","39660"
"In post","2022","White","Undeclared","Veterinarian","40","30","[c]","[c]"
"In post","2022","White","Unknown","Commercial","250","230","38620","36650"
"In post","2022","White","Unknown","Communications","140","140","42090","38620"
"In post","2022","White","Unknown","Corporate Finance","50","50","42490","38580"
"In post","2022","White","Unknown","Counter Fraud","670","560","28270","27570"
"In post","2022","White","Unknown","Digital, Data and Technology","940","890","41420","38030"
"In post","2022","White","Unknown","Economics","50","50","[c]","[c]"
"In post","2022","White","Unknown","Finance","440","410","38800","35310"
"In post","2022","White","Unknown","Geography","[c]","[c]","[c]","[c]"
"In post","2022","White","Unknown","Human Resources","280","260","35720","32590"
"In post","2022","White","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","White","Unknown","Intelligence Analysis","90","80","35150","31530"
"In post","2022","White","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","White","Unknown","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","White","Unknown","Knowledge and Information Management","130","130","37390","33240"
"In post","2022","White","Unknown","Legal","1040","940","52110","55610"
"In post","2022","White","Unknown","Medicine","90","80","76010","68290"
"In post","2022","White","Unknown","Operational Delivery","16960","14470","27740","27130"
"In post","2022","White","Unknown","Operational Research","290","280","45630","47010"
"In post","2022","White","Unknown","Other","1250","1140","32390","27570"
"In post","2022","White","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2022","White","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","White","Unknown","Policy","640","610","50650","50130"
"In post","2022","White","Unknown","Project Delivery","860","810","41540","40000"
"In post","2022","White","Unknown","Property","250","240","36790","36400"
"In post","2022","White","Unknown","Psychology","70","60","42940","43870"
"In post","2022","White","Unknown","Science and Engineering","2210","2120","41550","38820"
"In post","2022","White","Unknown","Security","350","340","37540","38160"
"In post","2022","White","Unknown","Social Research","40","40","[c]","[c]"
"In post","2022","White","Unknown","Statistics","90","80","44590","39850"
"In post","2022","White","Unknown","Tax","970","880","36950","33370"
"In post","2022","White","Unknown","Unknown","1860","1740","39590","34600"
"In post","2022","White","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Heterosexual / straight","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Heterosexual / straight","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Heterosexual / straight","Operational Delivery","240","220","26450","23500"
"Leaver CS","2021","Asian","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Heterosexual / straight","Policy","30","30","[c]","[c]"
"Leaver CS","2021","Asian","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Heterosexual / straight","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Heterosexual / straight","Science and Engineering","60","50","28840","24910"
"Leaver CS","2021","Asian","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Heterosexual / straight","Unknown","260","240","27280","25490"
"Leaver CS","2021","Asian","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Undeclared","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Undeclared","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Unknown","310","250","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","Operational Delivery","160","150","26490","23730"
"Leaver CS","2021","Black","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","Unknown","150","140","28880","25120"
"Leaver CS","2021","Black","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Undeclared","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Unknown","90","70","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
