"Status","Year","Sexual_orientation","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","LGBO","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Undeclared","Security","40","40","[c]","[c]"
"In post","2022","LGBO","Undeclared","Unknown","110","100","33570","28920"
"In post","2022","LGBO","Unknown","Analysis","70","60","37840","33210"
"In post","2022","LGBO","Unknown","Commercial","40","30","[c]","[c]"
"In post","2022","LGBO","Unknown","Communications","50","40","[c]","[c]"
"In post","2022","LGBO","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Digital, Data & Technology","80","80","39610","36500"
"In post","2022","LGBO","Unknown","Finance","40","40","[c]","[c]"
"In post","2022","LGBO","Unknown","Human Resources","40","40","[c]","[c]"
"In post","2022","LGBO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Legal","50","50","34020","26970"
"In post","2022","LGBO","Unknown","No function","710","690","35540","32770"
"In post","2022","LGBO","Unknown","Project Delivery","50","50","[c]","[c]"
"In post","2022","LGBO","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Security","40","40","[c]","[c]"
"In post","2022","LGBO","Unknown","Unknown","280","280","36620","31210"
"In post","2022","Undeclared","Declared disabled","Analysis","70","60","42070","35840"
"In post","2022","Undeclared","Declared disabled","Commercial","50","50","38830","38190"
"In post","2022","Undeclared","Declared disabled","Communications","60","50","34730","31700"
"In post","2022","Undeclared","Declared disabled","Counter Fraud","230","210","30200","27570"
"In post","2022","Undeclared","Declared disabled","Debt","80","70","23280","21260"
"In post","2022","Undeclared","Declared disabled","Digital, Data & Technology","240","230","39280","35730"
"In post","2022","Undeclared","Declared disabled","Finance","110","100","36500","33000"
"In post","2022","Undeclared","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared disabled","Human Resources","120","110","34910","31740"
"In post","2022","Undeclared","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared disabled","Legal","90","80","48890","52530"
"In post","2022","Undeclared","Declared disabled","No function","3300","2940","29390","27570"
"In post","2022","Undeclared","Declared disabled","Project Delivery","270","260","39760","39100"
"In post","2022","Undeclared","Declared disabled","Property","80","70","37080","33300"
"In post","2022","Undeclared","Declared disabled","Security","90","90","35040","33630"
"In post","2022","Undeclared","Declared disabled","Unknown","740","690","33720","29080"
"In post","2022","Undeclared","Declared non-disabled","Analysis","310","300","44300","40180"
"In post","2022","Undeclared","Declared non-disabled","Commercial","250","230","41210","37770"
"In post","2022","Undeclared","Declared non-disabled","Communications","240","230","36370","33370"
"In post","2022","Undeclared","Declared non-disabled","Counter Fraud","760","680","31800","28240"
"In post","2022","Undeclared","Declared non-disabled","Debt","280","240","23730","21260"
"In post","2022","Undeclared","Declared non-disabled","Digital, Data & Technology","1270","1220","40990","38470"
"In post","2022","Undeclared","Declared non-disabled","Finance","590","550","39720","36850"
"In post","2022","Undeclared","Declared non-disabled","Grants Management","50","50","23750","21300"
"In post","2022","Undeclared","Declared non-disabled","Human Resources","390","370","35590","31060"
"In post","2022","Undeclared","Declared non-disabled","Internal Audit","50","50","46710","43200"
"In post","2022","Undeclared","Declared non-disabled","Legal","340","320","50610","51940"
"In post","2022","Undeclared","Declared non-disabled","No function","12340","11170","31680","27570"
"In post","2022","Undeclared","Declared non-disabled","Project Delivery","1190","1130","42730","40130"
"In post","2022","Undeclared","Declared non-disabled","Property","450","420","38610","34000"
"In post","2022","Undeclared","Declared non-disabled","Security","490","480","35410","35670"
"In post","2022","Undeclared","Declared non-disabled","Unknown","4230","3950","34880","29430"
"In post","2022","Undeclared","Undeclared","Analysis","100","90","45180","40520"
"In post","2022","Undeclared","Undeclared","Commercial","110","110","42000","40600"
"In post","2022","Undeclared","Undeclared","Communications","130","120","34640","33080"
"In post","2022","Undeclared","Undeclared","Counter Fraud","510","470","36350","33370"
"In post","2022","Undeclared","Undeclared","Debt","120","100","23780","22080"
"In post","2022","Undeclared","Undeclared","Digital, Data & Technology","590","580","40960","37960"
"In post","2022","Undeclared","Undeclared","Finance","290","270","39800","35310"
"In post","2022","Undeclared","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Human Resources","210","200","36670","33300"
"In post","2022","Undeclared","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Legal","130","120","51540","53490"
"In post","2022","Undeclared","Undeclared","No function","5120","4770","33510","30450"
"In post","2022","Undeclared","Undeclared","Project Delivery","690","660","42960","40520"
"In post","2022","Undeclared","Undeclared","Property","260","250","38720","34000"
"In post","2022","Undeclared","Undeclared","Security","400","390","36970","39070"
"In post","2022","Undeclared","Undeclared","Unknown","1840","1740","34500","30820"
"In post","2022","Undeclared","Unknown","Analysis","190","180","48740","50710"
"In post","2022","Undeclared","Unknown","Commercial","140","140","45290","40650"
"In post","2022","Undeclared","Unknown","Communications","190","190","45040","40650"
"In post","2022","Undeclared","Unknown","Counter Fraud","60","60","38180","34560"
"In post","2022","Undeclared","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Digital, Data & Technology","220","220","43010","40140"
"In post","2022","Undeclared","Unknown","Finance","240","240","40790","36820"
"In post","2022","Undeclared","Unknown","Human Resources","100","100","33830","31450"
"In post","2022","Undeclared","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Legal","100","90","41180","40000"
"In post","2022","Undeclared","Unknown","No function","1790","1690","42330","36820"
"In post","2022","Undeclared","Unknown","Project Delivery","190","180","43440","40580"
"In post","2022","Undeclared","Unknown","Property","40","40","[c]","[c]"
"In post","2022","Undeclared","Unknown","Security","120","120","35710","39070"
"In post","2022","Undeclared","Unknown","Unknown","520","510","38700","33860"
"In post","2022","Unknown","Declared disabled","Analysis","50","50","37710","36060"
"In post","2022","Unknown","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Counter Fraud","190","160","30200","28110"
"In post","2022","Unknown","Declared disabled","Debt","80","70","22970","22080"
"In post","2022","Unknown","Declared disabled","Digital, Data & Technology","90","80","39480","36840"
"In post","2022","Unknown","Declared disabled","Finance","70","70","32340","28670"
"In post","2022","Unknown","Declared disabled","Grants Management","50","50","24210","21300"
"In post","2022","Unknown","Declared disabled","Human Resources","50","50","34730","30800"
"In post","2022","Unknown","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Legal","120","100","42040","35700"
"In post","2022","Unknown","Declared disabled","No function","2280","1960","28600","27570"
"In post","2022","Unknown","Declared disabled","Project Delivery","150","140","38610","35860"
"In post","2022","Unknown","Declared disabled","Property","50","50","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Security","50","50","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Unknown","250","240","34690","30040"
"In post","2022","Unknown","Declared non-disabled","Analysis","810","780","40470","38070"
"In post","2022","Unknown","Declared non-disabled","Commercial","210","200","48860","38070"
"In post","2022","Unknown","Declared non-disabled","Communications","260","250","36240","33080"
"In post","2022","Unknown","Declared non-disabled","Counter Fraud","1540","1350","29910","27570"
"In post","2022","Unknown","Declared non-disabled","Debt","580","490","23920","21260"
"In post","2022","Unknown","Declared non-disabled","Digital, Data & Technology","990","940","40210","35990"
"In post","2022","Unknown","Declared non-disabled","Finance","820","750","37400","33400"
"In post","2022","Unknown","Declared non-disabled","Grants Management","1050","980","24230","21300"
"In post","2022","Unknown","Declared non-disabled","Human Resources","390","360","33980","29880"
"In post","2022","Unknown","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","Legal","1260","1130","48390","53170"
"In post","2022","Unknown","Declared non-disabled","No function","20090","17480","30100","27570"
"In post","2022","Unknown","Declared non-disabled","Project Delivery","1620","1520","40920","38070"
"In post","2022","Unknown","Declared non-disabled","Property","390","360","37470","34000"
"In post","2022","Unknown","Declared non-disabled","Security","290","280","36020","36100"
"In post","2022","Unknown","Declared non-disabled","Unknown","2000","1880","37610","32040"
"In post","2022","Unknown","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Counter Fraud","90","80","31670","28920"
"In post","2022","Unknown","Undeclared","Debt","40","30","[c]","[c]"
"In post","2022","Unknown","Undeclared","Digital, Data & Technology","50","50","39440","36120"
"In post","2022","Unknown","Undeclared","Finance","50","40","[c]","[c]"
"In post","2022","Unknown","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Human Resources","40","30","[c]","[c]"
"In post","2022","Unknown","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Legal","30","30","[c]","[c]"
"In post","2022","Unknown","Undeclared","No function","2620","2310","30160","31650"
"In post","2022","Unknown","Undeclared","Project Delivery","70","70","40760","39390"
"In post","2022","Unknown","Undeclared","Property","90","80","35410","31790"
"In post","2022","Unknown","Undeclared","Security","40","40","[c]","[c]"
"In post","2022","Unknown","Undeclared","Unknown","80","70","34480","29530"
"In post","2022","Unknown","Unknown","Analysis","880","850","41030","37020"
"In post","2022","Unknown","Unknown","Commercial","1740","1710","60290","60140"
"In post","2022","Unknown","Unknown","Communications","2020","1970","33270","26820"
"In post","2022","Unknown","Unknown","Counter Fraud","2320","2210","32600","31020"
"In post","2022","Unknown","Unknown","Debt","1320","1220","23370","21250"
"In post","2022","Unknown","Unknown","Digital, Data & Technology","2820","2770","41860","38450"
"In post","2022","Unknown","Unknown","Finance","1250","1180","36330","33080"
"In post","2022","Unknown","Unknown","Human Resources","960","920","35490","32000"
"In post","2022","Unknown","Unknown","Internal Audit","30","30","[c]","[c]"
"In post","2022","Unknown","Unknown","Legal","1250","1150","47930","50500"
"In post","2022","Unknown","Unknown","No function","35720","33670","30610","27120"
"In post","2022","Unknown","Unknown","Project Delivery","2500","2420","43300","40410"
"In post","2022","Unknown","Unknown","Property","1350","1300","31660","26880"
"In post","2022","Unknown","Unknown","Security","1320","1300","31830","28680"
"In post","2022","Unknown","Unknown","Unknown","10990","10630","35000","30780"
"Leaver CS","2021","Heterosexual / straight","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Declared disabled","Human Resources","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Declared disabled","Legal","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Declared disabled","No function","650","570","27350","21790"
"Leaver CS","2021","Heterosexual / straight","Declared disabled","Project Delivery","70","60","36590","33040"
"Leaver CS","2021","Heterosexual / straight","Declared disabled","Property","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Declared disabled","Unknown","760","630","28770","26890"
"Leaver CS","2021","Heterosexual / straight","Declared non-disabled","Analysis","110","100","40710","33430"
"Leaver CS","2021","Heterosexual / straight","Declared non-disabled","Commercial","120","110","44670","40000"
"Leaver CS","2021","Heterosexual / straight","Declared non-disabled","Communications","110","100","37690","32730"
"Leaver CS","2021","Heterosexual / straight","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Declared non-disabled","Digital, Data & Technology","150","150","43990","38700"
"Leaver CS","2021","Heterosexual / straight","Declared non-disabled","Finance","120","110","42100","39000"
"Leaver CS","2021","Heterosexual / straight","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Declared non-disabled","Human Resources","160","150","38990","34560"
"Leaver CS","2021","Heterosexual / straight","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Declared non-disabled","Legal","260","230","47020","48830"
"Leaver CS","2021","Heterosexual / straight","Declared non-disabled","No function","3770","3420","32990","26010"
"Leaver CS","2021","Heterosexual / straight","Declared non-disabled","Project Delivery","430","410","39600","35450"
"Leaver CS","2021","Heterosexual / straight","Declared non-disabled","Property","220","200","32890","29050"
"Leaver CS","2021","Heterosexual / straight","Declared non-disabled","Security","170","160","30720","27050"
"Leaver CS","2021","Heterosexual / straight","Declared non-disabled","Unknown","3810","3350","29910","26890"
"Leaver CS","2021","Heterosexual / straight","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Undeclared","No function","280","240","30600","22450"
"Leaver CS","2021","Heterosexual / straight","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Undeclared","Unknown","160","150","28710","26890"
"Leaver CS","2021","Heterosexual / straight","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","Legal","50","50","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","No function","290","260","36670","32090"
"Leaver CS","2021","Heterosexual / straight","Unknown","Project Delivery","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","Security","40","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","Unknown","230","210","35420","32670"
"Leaver CS","2021","LGBO","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Declared disabled","No function","70","70","[c]","[c]"
"Leaver CS","2021","LGBO","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Declared disabled","Unknown","90","80","29920","27570"
"Leaver CS","2021","LGBO","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Declared non-disabled","No function","230","220","32640","23270"
"Leaver CS","2021","LGBO","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Declared non-disabled","Unknown","170","160","31260","27150"
"Leaver CS","2021","LGBO","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Undeclared","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Declared disabled","No function","110","90","26080","22080"
"Leaver CS","2021","Undeclared","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Declared disabled","Unknown","120","100","28190","27370"
"Leaver CS","2021","Undeclared","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Declared non-disabled","Legal","30","30","[c]","[c]"
"Leaver CS","2021","Undeclared","Declared non-disabled","No function","440","370","32310","26380"
"Leaver CS","2021","Undeclared","Declared non-disabled","Project Delivery","40","40","[c]","[c]"
"Leaver CS","2021","Undeclared","Declared non-disabled","Property","30","30","[c]","[c]"
"Leaver CS","2021","Undeclared","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Declared non-disabled","Unknown","430","370","32010","27570"
"Leaver CS","2021","Undeclared","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Undeclared","No function","220","190","34530","30780"
"Leaver CS","2021","Undeclared","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Undeclared","Unknown","120","100","29590","27450"
"Leaver CS","2021","Undeclared","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Legal","110","100","28830","22820"
"Leaver CS","2021","Undeclared","Unknown","No function","40","30","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","No function","60","50","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Unknown","740","590","26000","26890"
"Leaver CS","2021","Unknown","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Legal","70","50","48990","53630"
"Leaver CS","2021","Unknown","Declared non-disabled","No function","480","390","35850","27130"
"Leaver CS","2021","Unknown","Declared non-disabled","Project Delivery","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Property","60","50","29370","26530"
"Leaver CS","2021","Unknown","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Unknown","3780","3020","27980","26890"
"Leaver CS","2021","Unknown","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","No function","290","230","32990","32890"
"Leaver CS","2021","Unknown","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Unknown","430","360","35660","29930"
