"Status","Year","Sexual_orientation","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Heterosexual / straight","Property","Security","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Property","Unknown","90","90","48640","49700"
"In post","2022","Heterosexual / straight","Security","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Security","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Security","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Security","Intelligence Analysis","740","720","38800","36140"
"In post","2022","Heterosexual / straight","Security","Knowledge and Information Management","60","50","36670","32500"
"In post","2022","Heterosexual / straight","Security","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Security","Other","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Security","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Security","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Security","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Security","Security","6050","5910","31290","27680"
"In post","2022","Heterosexual / straight","Security","Unknown","630","600","34900","33300"
"In post","2022","Heterosexual / straight","Unknown","Commercial","110","110","37700","36690"
"In post","2022","Heterosexual / straight","Unknown","Communications","240","230","44690","41960"
"In post","2022","Heterosexual / straight","Unknown","Counter Fraud","160","150","27260","25310"
"In post","2022","Heterosexual / straight","Unknown","Digital, Data and Technology","1200","1180","49030","44970"
"In post","2022","Heterosexual / straight","Unknown","Economics","120","120","49540","43950"
"In post","2022","Heterosexual / straight","Unknown","Finance","2180","2110","38240","33300"
"In post","2022","Heterosexual / straight","Unknown","Human Resources","680","650","40760","37450"
"In post","2022","Heterosexual / straight","Unknown","Intelligence Analysis","1090","1020","29720","27370"
"In post","2022","Heterosexual / straight","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Knowledge and Information Management","150","140","39200","38160"
"In post","2022","Heterosexual / straight","Unknown","Legal","130","120","57580","61440"
"In post","2022","Heterosexual / straight","Unknown","Medicine","1330","1180","47220","39030"
"In post","2022","Heterosexual / straight","Unknown","Operational Delivery","20670","19050","29040","25630"
"In post","2022","Heterosexual / straight","Unknown","Operational Research","60","60","51290","48440"
"In post","2022","Heterosexual / straight","Unknown","Other","10280","9880","27830","23170"
"In post","2022","Heterosexual / straight","Unknown","Planning","60","60","44050","38160"
"In post","2022","Heterosexual / straight","Unknown","Policy","4390","4240","46900","41980"
"In post","2022","Heterosexual / straight","Unknown","Project Delivery","1440","1390","44600","41950"
"In post","2022","Heterosexual / straight","Unknown","Property","70","60","40960","38160"
"In post","2022","Heterosexual / straight","Unknown","Science and Engineering","1500","1470","35680","33000"
"In post","2022","Heterosexual / straight","Unknown","Security","280","270","30870","28650"
"In post","2022","Heterosexual / straight","Unknown","Social Research","150","150","46640","44080"
"In post","2022","Heterosexual / straight","Unknown","Statistics","140","130","42090","40100"
"In post","2022","Heterosexual / straight","Unknown","Unknown","9740","9370","41850","36130"
"In post","2022","Heterosexual / straight","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Analysis","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Analysis","Communications","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Analysis","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Analysis","Economics","90","90","42890","37610"
"In post","2022","LGBO","Analysis","Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Analysis","Geography","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Analysis","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Analysis","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Analysis","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Analysis","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Analysis","Operational Delivery","40","40","[c]","[c]"
"In post","2022","LGBO","Analysis","Operational Research","50","50","[c]","[c]"
"In post","2022","LGBO","Analysis","Other","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Analysis","Policy","40","30","[c]","[c]"
"In post","2022","LGBO","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Analysis","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Analysis","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Analysis","Security","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Analysis","Social Research","100","100","39790","35920"
"In post","2022","LGBO","Analysis","Statistics","160","160","41010","38340"
"In post","2022","LGBO","Analysis","Tax","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Commercial","Commercial","160","160","37890","35910"
"In post","2022","LGBO","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Commercial","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Commercial","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Commercial","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Commercial","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Commercial","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Commercial","Other","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Commercial","Policy","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Commercial","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Commercial","Tax","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Commercial","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Communications","Communications","210","200","40750","37910"
"In post","2022","LGBO","Communications","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Communications","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Communications","Operational Delivery","80","80","30640","32970"
"In post","2022","LGBO","Communications","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Communications","Other","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Communications","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Communications","Tax","120","120","29110","26820"
"In post","2022","LGBO","Communications","Unknown","40","40","[c]","[c]"
"In post","2022","LGBO","Counter Fraud","Counter Fraud","220","210","29080","27570"
"In post","2022","LGBO","Counter Fraud","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Counter Fraud","Economics","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Counter Fraud","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Counter Fraud","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Counter Fraud","Legal","110","110","33920","33080"
"In post","2022","LGBO","Counter Fraud","Operational Delivery","140","140","29390","26820"
"In post","2022","LGBO","Counter Fraud","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Counter Fraud","Other","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Counter Fraud","Tax","70","70","43400","37930"
"In post","2022","LGBO","Counter Fraud","Unknown","40","40","[c]","[c]"
"In post","2022","LGBO","Debt","Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Debt","Operational Delivery","130","120","24960","21250"
"In post","2022","LGBO","Debt","Other","110","100","22930","21260"
"In post","2022","LGBO","Debt","Tax","60","60","22150","21250"
"In post","2022","LGBO","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Digital, Data & Technology","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Digital, Data & Technology","Digital, Data and Technology","740","730","40160","36340"
"In post","2022","LGBO","Digital, Data & Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Digital, Data & Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Digital, Data & Technology","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Digital, Data & Technology","Knowledge and Information Management","40","30","[c]","[c]"
"In post","2022","LGBO","Digital, Data & Technology","Legal","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Digital, Data & Technology","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Digital, Data & Technology","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Digital, Data & Technology","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Digital, Data & Technology","Other","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Digital, Data & Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Digital, Data & Technology","Property","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Digital, Data & Technology","Science and Engineering","60","60","35320","37420"
"In post","2022","LGBO","Digital, Data & Technology","Security","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Digital, Data & Technology","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Digital, Data & Technology","Tax","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Digital, Data & Technology","Unknown","110","110","48660","54700"
"In post","2022","LGBO","Finance","Commercial","30","30","[c]","[c]"
"In post","2022","LGBO","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Finance","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Finance","Economics","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Finance","Finance","290","290","41760","36960"
"In post","2022","LGBO","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Finance","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Finance","Operational Delivery","40","40","[c]","[c]"
"In post","2022","LGBO","Finance","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Finance","Other","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Finance","Policy","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Finance","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Finance","Security","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Finance","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Finance","Tax","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Grants Management","Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Grants Management","Operational Delivery","80","70","25490","24920"
"In post","2022","LGBO","Grants Management","Policy","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Human Resources","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Human Resources","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Human Resources","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Human Resources","Economics","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Human Resources","Human Resources","440","430","40280","35310"
"In post","2022","LGBO","Human Resources","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Human Resources","Legal","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Human Resources","Operational Delivery","80","80","30440","27570"
"In post","2022","LGBO","Human Resources","Other","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Human Resources","Policy","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Human Resources","Property","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Human Resources","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Human Resources","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Human Resources","Tax","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Human Resources","Unknown","90","90","39590","34550"
"In post","2022","LGBO","Internal Audit","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Internal Audit","Internal Audit","40","30","[c]","[c]"
"In post","2022","LGBO","Internal Audit","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Internal Audit","Other","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Internal Audit","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Internal Audit","Security","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Legal","Communications","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Legal","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Legal","Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Legal","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Legal","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Legal","Legal","330","320","56330","55090"
"In post","2022","LGBO","Legal","Operational Delivery","160","150","27640","25480"
"In post","2022","LGBO","Legal","Other","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Legal","Policy","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Legal","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Legal","Property","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Legal","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Legal","Security","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Legal","Tax","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","No function","Commercial","30","30","[c]","[c]"
"In post","2022","LGBO","No function","Communications","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","No function","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","No function","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","No function","Economics","40","40","[c]","[c]"
"In post","2022","LGBO","No function","Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","No function","Geography","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","No function","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","No function","Inspector of Education and Training","50","50","69840","75500"
"In post","2022","LGBO","No function","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","No function","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","No function","International Trade","110","110","48280","46150"
"In post","2022","LGBO","No function","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2022","LGBO","No function","Legal","50","50","[c]","[c]"
"In post","2022","LGBO","No function","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","No function","Operational Delivery","8650","8330","28620","27570"
"In post","2022","LGBO","No function","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","No function","Other","420","410","30770","27570"
"In post","2022","LGBO","No function","Planning","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","No function","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","No function","Policy","1880","1850","46010","40650"
"In post","2022","LGBO","No function","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","No function","Property","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","No function","Psychology","70","70","31490","29060"
"In post","2022","LGBO","No function","Science and Engineering","250","240","35250","31660"
"In post","2022","LGBO","No function","Security","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","No function","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","No function","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","No function","Tax","580","560","34960","33080"
"In post","2022","LGBO","No function","Unknown","400","390","40240","34550"
"In post","2022","LGBO","No function","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Project Delivery","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Project Delivery","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Project Delivery","Economics","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Project Delivery","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Project Delivery","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Project Delivery","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Project Delivery","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Project Delivery","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Project Delivery","Legal","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Project Delivery","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Project Delivery","Operational Delivery","80","70","35790","33370"
"In post","2022","LGBO","Project Delivery","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Project Delivery","Other","100","100","34810","28730"
"In post","2022","LGBO","Project Delivery","Policy","120","110","55150","54160"
"In post","2022","LGBO","Project Delivery","Project Delivery","490","480","42800","40050"
"In post","2022","LGBO","Project Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Project Delivery","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Project Delivery","Science and Engineering","90","90","34930","31690"
"In post","2022","LGBO","Project Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Project Delivery","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Project Delivery","Tax","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Property","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Property","Communications","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Property","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Property","Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Property","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Property","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Property","Legal","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Property","Operational Delivery","50","50","31560","22040"
"In post","2022","LGBO","Property","Other","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Property","Policy","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Property","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Property","Property","210","200","38370","33370"
"In post","2022","LGBO","Property","Security","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Security","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Security","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Security","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Security","Intelligence Analysis","30","30","[c]","[c]"
"In post","2022","LGBO","Security","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Security","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Security","Other","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Security","Policy","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Security","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Security","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Security","Security","280","270","33380","31960"
"In post","2022","LGBO","Security","Unknown","50","50","31410","29750"
"In post","2022","LGBO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Digital, Data and Technology","70","70","46990","40280"
"In post","2022","LGBO","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Finance","70","70","38490","33300"
"In post","2022","LGBO","Unknown","Human Resources","40","40","[c]","[c]"
"In post","2022","LGBO","Unknown","Intelligence Analysis","40","40","[c]","[c]"
"In post","2022","LGBO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Medicine","40","40","[c]","[c]"
"In post","2022","LGBO","Unknown","Operational Delivery","820","790","29090","25310"
"In post","2022","LGBO","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Other","310","300","28830","26350"
"In post","2022","LGBO","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Policy","320","310","47310","43080"
"In post","2022","LGBO","Unknown","Project Delivery","70","70","44940","41950"
"In post","2022","LGBO","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Science and Engineering","50","40","[c]","[c]"
"In post","2022","LGBO","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Unknown","880","860","38310","33070"
"In post","2022","LGBO","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Analysis","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Analysis","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Analysis","Economics","120","110","48110","51350"
"In post","2022","Undeclared","Analysis","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Analysis","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Analysis","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Analysis","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Analysis","Operational Delivery","70","60","39910","36760"
"In post","2022","Undeclared","Analysis","Operational Research","50","40","[c]","[c]"
"In post","2022","Undeclared","Analysis","Other","40","40","[c]","[c]"
"In post","2022","Undeclared","Analysis","Policy","80","80","50380","53360"
"In post","2022","Undeclared","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Analysis","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Analysis","Science and Engineering","40","40","[c]","[c]"
"In post","2022","Undeclared","Analysis","Social Research","60","50","41040","38340"
"In post","2022","Undeclared","Analysis","Statistics","150","140","42130","38430"
"In post","2022","Undeclared","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Commercial","Commercial","430","410","40590","39650"
"In post","2022","Undeclared","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Commercial","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Commercial","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Commercial","Operational Delivery","30","30","[c]","[c]"
"In post","2022","Undeclared","Commercial","Other","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Commercial","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Commercial","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Commercial","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Commercial","Unknown","30","30","[c]","[c]"
"In post","2022","Undeclared","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Communications","Communications","380","370","42270","37640"
"In post","2022","Undeclared","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Communications","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Communications","Operational Delivery","90","80","30700","26820"
"In post","2022","Undeclared","Communications","Other","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Communications","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Communications","Tax","100","90","29220","26820"
"In post","2022","Undeclared","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Counter Fraud","Counter Fraud","580","520","28650","27570"
"In post","2022","Undeclared","Counter Fraud","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Counter Fraud","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Counter Fraud","Legal","320","300","35450","33370"
"In post","2022","Undeclared","Counter Fraud","Operational Delivery","340","310","30030","27570"
"In post","2022","Undeclared","Counter Fraud","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Counter Fraud","Other","40","30","[c]","[c]"
"In post","2022","Undeclared","Counter Fraud","Tax","200","180","45660","40520"
"In post","2022","Undeclared","Counter Fraud","Unknown","40","40","[c]","[c]"
"In post","2022","Undeclared","Debt","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Debt","Operational Delivery","260","220","24920","22080"
"In post","2022","Undeclared","Debt","Other","220","180","22260","21260"
