"Status","Year","Function_of_post","Responsibility_level","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Finance","SEO/HEO","Ministry of Housing, Communities and Local Government","60","50","39140","39600"
"In post","2021","Finance","SEO/HEO","Ministry of Justice","390","370","38230","37210"
"In post","2021","Finance","SEO/HEO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SEO/HEO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SEO/HEO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SEO/HEO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SEO/HEO","Scottish Government","80","80","39530","38610"
"In post","2021","Finance","SEO/HEO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SEO/HEO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SEO/HEO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SEO/HEO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SEO/HEO","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","Finance","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","AA/AO","Department for Environment, Food and Rural Affairs","950","860","21010","21050"
"In post","2021","Grants Management","EO","Department for Environment, Food and Rural Affairs","540","500","25510","25190"
"In post","2021","Grants Management","EO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","G6/G7","Department for Environment, Food and Rural Affairs","60","60","52580","49800"
"In post","2021","Grants Management","SCS","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","SEO/HEO","Department for Environment, Food and Rural Affairs","330","310","32740","31150"
"In post","2021","Human Resources","AA/AO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","Cabinet Office","170","150","21010","20800"
"In post","2021","Human Resources","AA/AO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","Department for Transport","40","40","[c]","[c]"
"In post","2021","Human Resources","AA/AO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","Foreign, Commonwealth and Development Office","30","30","[c]","[c]"
"In post","2021","Human Resources","AA/AO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","HM Revenue and Customs","300","260","20960","21170"
"In post","2021","Human Resources","AA/AO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","Ministry of Defence","770","700","21250","21130"
"In post","2021","Human Resources","AA/AO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","Ministry of Justice","30","30","[c]","[c]"
"In post","2021","Human Resources","AA/AO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","Scottish Government","80","80","21870","20850"
"In post","2021","Human Resources","AA/AO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Attorney General's Departments","40","40","[c]","[c]"
"In post","2021","Human Resources","EO","Cabinet Office","220","210","26240","25760"
"In post","2021","Human Resources","EO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Department for Business, Energy and Industrial Strategy","90","80","25940","25460"
"In post","2021","Human Resources","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Department for Education","40","30","[c]","[c]"
"In post","2021","Human Resources","EO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Department for Transport","100","90","27730","26780"
"In post","2021","Human Resources","EO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Department of Health and Social Care","60","60","26990","27270"
"In post","2021","Human Resources","EO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Foreign, Commonwealth and Development Office","50","40","[c]","[c]"
"In post","2021","Human Resources","EO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","HM Revenue and Customs","370","350","26190","25560"
"In post","2021","Human Resources","EO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Ministry of Defence","370","340","26210","26670"
"In post","2021","Human Resources","EO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Ministry of Justice","120","110","26660","26410"
"In post","2021","Human Resources","EO","National Crime Agency","30","30","[c]","[c]"
"In post","2021","Human Resources","EO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Scottish Government","70","70","30060","30080"
"In post","2021","Human Resources","EO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","United Kingdom Statistics Authority","30","30","[c]","[c]"
"In post","2021","Human Resources","EO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Attorney General's Departments","60","60","57890","54760"
"In post","2021","Human Resources","G6/G7","Cabinet Office","270","260","57550","56520"
"In post","2021","Human Resources","G6/G7","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Department for Business, Energy and Industrial Strategy","110","110","55860","54130"
"In post","2021","Human Resources","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Department for Education","30","30","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Department for Environment, Food and Rural Affairs","110","100","54080","52290"
"In post","2021","Human Resources","G6/G7","Department for International Trade","50","50","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Department for Transport","60","60","56460","54760"
"In post","2021","Human Resources","G6/G7","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Department of Health and Social Care","90","80","57080","53860"
"In post","2021","Human Resources","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Foreign, Commonwealth and Development Office","90","90","60580","58470"
"In post","2021","Human Resources","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","HM Revenue and Customs","320","310","56950","53130"
"In post","2021","Human Resources","G6/G7","HM Treasury","40","40","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Ministry of Defence","200","190","58680","57770"
"In post","2021","Human Resources","G6/G7","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Ministry of Justice","190","190","61070","60300"
"In post","2021","Human Resources","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Scottish Government","30","30","[c]","[c]"
"In post","2021","Human Resources","G6/G7","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","United Kingdom Statistics Authority","50","40","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Cabinet Office","40","40","[c]","[c]"
"In post","2021","Human Resources","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Ministry of Defence","30","30","[c]","[c]"
"In post","2021","Human Resources","SCS","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Attorney General's Departments","110","100","34720","33420"
"In post","2021","Human Resources","SEO/HEO","Cabinet Office","420","410","36270","36310"
"In post","2021","Human Resources","SEO/HEO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Department for Business, Energy and Industrial Strategy","180","170","37040","36740"
"In post","2021","Human Resources","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Department for Education","60","60","33540","32210"
"In post","2021","Human Resources","SEO/HEO","Department for Environment, Food and Rural Affairs","120","110","34880","36520"
"In post","2021","Human Resources","SEO/HEO","Department for International Trade","50","50","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Department for Transport","210","200","36020","34710"
"In post","2021","Human Resources","SEO/HEO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Department of Health and Social Care","110","100","35410","33880"
"In post","2021","Human Resources","SEO/HEO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Foreign, Commonwealth and Development Office","100","100","37770","37560"
"In post","2021","Human Resources","SEO/HEO","HM Land Registry","50","40","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","HM Revenue and Customs","650","610","34710","32150"
"In post","2021","Human Resources","SEO/HEO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Ministry of Defence","600","570","36490","34640"
"In post","2021","Human Resources","SEO/HEO","Ministry of Housing, Communities and Local Government","30","30","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Ministry of Justice","610","590","37810","35320"
"In post","2021","Human Resources","SEO/HEO","National Crime Agency","100","100","41830","40600"
"In post","2021","Human Resources","SEO/HEO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Scottish Government","130","120","38990","38450"
"In post","2021","Human Resources","SEO/HEO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","United Kingdom Statistics Authority","120","120","33060","32520"
"In post","2021","Human Resources","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Ministry of Defence","220","210","37380","32710"
"In post","2021","Human Resources","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","EO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","EO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","EO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","EO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","EO","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","HM Treasury","140","130","58100","56450"
"In post","2021","Internal Audit","G6/G7","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SCS","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SCS","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SCS","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SCS","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SCS","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SEO/HEO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SEO/HEO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SEO/HEO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SEO/HEO","Foreign, Commonwealth and Development Office","50","40","[c]","[c]"
"In post","2021","Internal Audit","SEO/HEO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SEO/HEO","HM Revenue and Customs","50","50","39310","40480"
"In post","2021","Internal Audit","SEO/HEO","HM Treasury","190","180","41630","42000"
"In post","2021","Internal Audit","SEO/HEO","Ministry of Defence","90","90","38070","36460"
"In post","2021","Internal Audit","SEO/HEO","Ministry of Justice","40","40","[c]","[c]"
"In post","2021","Internal Audit","SEO/HEO","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SEO/HEO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","Attorney General's Departments","1480","1360","22300","21950"
"In post","2021","Legal","AA/AO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","HM Revenue and Customs","150","130","22110","21440"
"In post","2021","Legal","AA/AO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","Scottish Government","900","790","21690","22820"
"In post","2021","Legal","AA/AO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Legal","EO","Attorney General's Departments","1560","1460","28150","28430"
"In post","2021","Legal","EO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Legal","EO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Legal","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","EO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Legal","EO","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Legal","EO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Legal","EO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Legal","EO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Legal","EO","HM Land Registry","60","50","27620","27130"
"In post","2021","Legal","EO","HM Revenue and Customs","220","200","27200","26990"
"In post","2021","Legal","EO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Legal","EO","Ministry of Justice","90","80","24850","24820"
"In post","2021","Legal","EO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Legal","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Legal","EO","Scottish Government","450","410","28680","29350"
"In post","2021","Legal","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Legal","EO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Legal","EO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","G6/G7","Attorney General's Departments","4470","4120","58390","55610"
"In post","2021","Legal","G6/G7","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Legal","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Legal","G6/G7","Competition and Markets Authority","110","110","67860","72430"
"In post","2021","Legal","G6/G7","Department for Business, Energy and Industrial Strategy","50","50","59250","57120"
"In post","2021","Legal","G6/G7","Department for Education","50","50","59360","61010"
"In post","2021","Legal","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Legal","G6/G7","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Legal","G6/G7","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Legal","G6/G7","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Legal","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Legal","G6/G7","Foreign, Commonwealth and Development Office","90","70","62840","61010"
"In post","2021","Legal","G6/G7","HM Land Registry","140","130","64300","65970"
"In post","2021","Legal","G6/G7","HM Revenue and Customs","350","320","61640","59160"
"In post","2021","Legal","G6/G7","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Legal","G6/G7","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Legal","G6/G7","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Legal","G6/G7","Ministry of Justice","310","290","59650","57330"
"In post","2021","Legal","G6/G7","National Crime Agency","40","30","[c]","[c]"
"In post","2021","Legal","G6/G7","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Legal","G6/G7","Office of Gas and Electricity Markets","70","70","62850","63540"
"In post","2021","Legal","G6/G7","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Legal","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Legal","G6/G7","Scottish Government","210","200","65030","68470"
"In post","2021","Legal","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Legal","G6/G7","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Legal","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","G6/G7","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SCS","Attorney General's Departments","280","270","86920","82500"
"In post","2021","Legal","SCS","Cabinet Office","50","50","[c]","[c]"
"In post","2021","Legal","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SCS","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SCS","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SCS","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SCS","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SCS","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SCS","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SCS","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SCS","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SCS","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SCS","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SCS","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SCS","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SCS","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
