"Status","Year","Ethnicity","Function_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","White","Project Delivery","Declared non-disabled","15830","15200","42540","40000"
"In post","2022","White","Project Delivery","Undeclared","710","670","40750","39860"
"In post","2022","White","Project Delivery","Unknown","1370","1310","42830","40520"
"In post","2022","White","Property","Declared disabled","620","590","36150","33300"
"In post","2022","White","Property","Declared non-disabled","5240","5030","38100","33380"
"In post","2022","White","Property","Undeclared","330","310","37470","34000"
"In post","2022","White","Property","Unknown","510","500","33570","31900"
"In post","2022","White","Security","Declared disabled","720","690","32620","30450"
"In post","2022","White","Security","Declared non-disabled","5950","5810","32690","30450"
"In post","2022","White","Security","Undeclared","530","520","33660","33300"
"In post","2022","White","Security","Unknown","920","890","32770","33200"
"In post","2022","White","Unknown","Declared disabled","5270","4970","33660","29080"
"In post","2022","White","Unknown","Declared non-disabled","44140","41740","35220","30500"
"In post","2022","White","Unknown","Undeclared","1750","1660","32140","27370"
"In post","2022","White","Unknown","Unknown","4870","4680","37420","31540"
"Leaver CS","2021","Asian","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Debt","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Debt","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Grants Management","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Grants Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Legal","Declared non-disabled","30","30","[c]","[c]"
"Leaver CS","2021","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","No function","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","No function","Declared non-disabled","270","250","30760","24490"
"Leaver CS","2021","Asian","No function","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Property","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Security","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Declared disabled","70","60","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Declared non-disabled","510","440","27220","25120"
"Leaver CS","2021","Asian","Unknown","Undeclared","30","30","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Unknown","70","60","[c]","[c]"
"Leaver CS","2021","Black","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Debt","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Debt","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Grants Management","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Grants Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","No function","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","No function","Declared non-disabled","160","160","31870","25530"
"Leaver CS","2021","Black","No function","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Property","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Security","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Declared non-disabled","220","200","28410","25120"
"Leaver CS","2021","Black","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Debt","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Debt","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Grants Management","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Grants Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","No function","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","No function","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","No function","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Property","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Security","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Debt","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Debt","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Grants Management","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Grants Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","No function","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","No function","Declared non-disabled","100","90","28980","23060"
"Leaver CS","2021","Mixed","No function","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Property","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Security","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Declared non-disabled","140","130","28960","26120"
"Leaver CS","2021","Mixed","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Debt","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Debt","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Grants Management","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Grants Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","No function","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","No function","Declared non-disabled","40","30","[c]","[c]"
"Leaver CS","2021","Other ethnicity","No function","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Property","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Security","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","Declared non-disabled","40","30","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Analysis","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Undeclared","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","No function","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","No function","Declared non-disabled","90","80","35710","27590"
"Leaver CS","2021","Undeclared","No function","Undeclared","140","120","32960","32350"
"Leaver CS","2021","Undeclared","No function","Unknown","150","130","26520","19520"
"Leaver CS","2021","Undeclared","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Property","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Property","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Security","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Security","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Declared disabled","90","80","26740","27240"
"Leaver CS","2021","Undeclared","Unknown","Declared non-disabled","260","210","28960","26890"
"Leaver CS","2021","Undeclared","Unknown","Undeclared","260","230","31340","27570"
"Leaver CS","2021","Undeclared","Unknown","Unknown","70","60","[c]","[c]"
"Leaver CS","2021","Unknown","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Commercial","Unknown","80","80","62490","60500"
"Leaver CS","2021","Unknown","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Communications","Unknown","70","60","37980","36970"
"Leaver CS","2021","Unknown","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data & Technology","Unknown","120","120","41720","38550"
"Leaver CS","2021","Unknown","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Finance","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","Grants Management","Unknown","90","80","24950","21050"
"Leaver CS","2021","Unknown","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Legal","Unknown","170","160","35240","26550"
"Leaver CS","2021","Unknown","No function","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","No function","Declared non-disabled","210","180","41670","32410"
"Leaver CS","2021","Unknown","No function","Undeclared","80","70","[c]","[c]"
"Leaver CS","2021","Unknown","No function","Unknown","1980","1900","28890","24000"
"Leaver CS","2021","Unknown","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Project Delivery","Unknown","110","100","34000","29180"
"Leaver CS","2021","Unknown","Property","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Property","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Property","Unknown","130","110","26810","24500"
"Leaver CS","2021","Unknown","Security","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Security","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Security","Unknown","100","90","26970","24610"
"Leaver CS","2021","Unknown","Unknown","Declared disabled","50","40","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Declared non-disabled","320","270","31000","27570"
