"Status","Year","Organisation","Region_ITL1","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","No function","60","50","30550","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","No function","70","70","34390","30420"
"In post","2022","Animal and Plant Health Agency","East of England","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East of England","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East of England","No function","150","140","31020","29180"
"In post","2022","Animal and Plant Health Agency","London","No function","110","100","35420","31800"
"In post","2022","Animal and Plant Health Agency","London","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North East (England)","No function","50","50","30770","26520"
"In post","2022","Animal and Plant Health Agency","North East (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North West (England)","No function","250","230","28060","24920"
"In post","2022","Animal and Plant Health Agency","North West (England)","Project Delivery","60","50","24960","21300"
"In post","2022","Animal and Plant Health Agency","Scotland","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Scotland","No function","130","120","31880","27720"
"In post","2022","Animal and Plant Health Agency","Scotland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","South East (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","South East (England)","No function","750","720","32950","28750"
"In post","2022","Animal and Plant Health Agency","South East (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","South West (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","South West (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","South West (England)","No function","440","410","29030","25100"
"In post","2022","Animal and Plant Health Agency","South West (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Wales","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Wales","No function","310","280","27960","24920"
"In post","2022","Animal and Plant Health Agency","Wales","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","West Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","West Midlands (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","West Midlands (England)","No function","230","210","29040","25420"
"In post","2022","Animal and Plant Health Agency","West Midlands (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Yorkshire and The Humber","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Yorkshire and The Humber","No function","220","210","28870","25400"
"In post","2022","Animal and Plant Health Agency","Yorkshire and The Humber","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","London","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","London","Legal","30","30","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East Midlands (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East Midlands (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East Midlands (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East Midlands (England)","No function","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East Midlands (England)","Property","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East of England","Commercial","60","60","59440","56920"
"In post","2022","Cabinet Office (excl. agencies)","East of England","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East of England","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East of England","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East of England","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East of England","No function","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East of England","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East of England","Property","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East of England","Security","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","London","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","London","Commercial","830","820","73170","65500"
"In post","2022","Cabinet Office (excl. agencies)","London","Communications","330","320","49120","42990"
"In post","2022","Cabinet Office (excl. agencies)","London","Counter Fraud","110","100","48040","49700"
"In post","2022","Cabinet Office (excl. agencies)","London","Digital, Data & Technology","910","900","52250","54700"
"In post","2022","Cabinet Office (excl. agencies)","London","Finance","90","90","47730","42760"
"In post","2022","Cabinet Office (excl. agencies)","London","Human Resources","430","420","47900","42270"
"In post","2022","Cabinet Office (excl. agencies)","London","Legal","60","60","79770","79760"
"In post","2022","Cabinet Office (excl. agencies)","London","No function","3200","3170","42930","34550"
"In post","2022","Cabinet Office (excl. agencies)","London","Project Delivery","170","170","69140","59820"
"In post","2022","Cabinet Office (excl. agencies)","London","Property","60","60","53140","54700"
"In post","2022","Cabinet Office (excl. agencies)","London","Security","210","210","43610","40600"
"In post","2022","Cabinet Office (excl. agencies)","North East (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","North East (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","North East (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","North East (England)","Human Resources","370","340","27410","24100"
"In post","2022","Cabinet Office (excl. agencies)","North East (England)","No function","70","70","33210","29250"
"In post","2022","Cabinet Office (excl. agencies)","North East (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","North East (England)","Property","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","North East (England)","Security","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","North West (England)","Commercial","210","200","62880","63500"
"In post","2022","Cabinet Office (excl. agencies)","North West (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","North West (England)","Digital, Data & Technology","70","70","43210","37300"
"In post","2022","Cabinet Office (excl. agencies)","North West (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","North West (England)","Human Resources","130","120","39230","37300"
"In post","2022","Cabinet Office (excl. agencies)","North West (England)","No function","90","90","32410","29250"
"In post","2022","Cabinet Office (excl. agencies)","North West (England)","Property","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","North West (England)","Security","40","30","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Northern Ireland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Northern Ireland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Northern Ireland","No function","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Northern Ireland","Property","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Northern Ireland","Security","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Scotland","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Scotland","Commercial","50","50","65250","63550"
"In post","2022","Cabinet Office (excl. agencies)","Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Scotland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Scotland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Scotland","Human Resources","40","40","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Scotland","No function","100","100","38470","32000"
"In post","2022","Cabinet Office (excl. agencies)","Scotland","Property","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Scotland","Security","80","70","35390","32000"
"In post","2022","Cabinet Office (excl. agencies)","South East (England)","Commercial","70","70","71600","68950"
"In post","2022","Cabinet Office (excl. agencies)","South East (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","South East (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","South East (England)","No function","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","South East (England)","Security","110","100","32390","33300"
"In post","2022","Cabinet Office (excl. agencies)","South West (England)","Commercial","100","100","74510","66730"
"In post","2022","Cabinet Office (excl. agencies)","South West (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","South West (England)","Digital, Data & Technology","50","50","47400","49700"
"In post","2022","Cabinet Office (excl. agencies)","South West (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","South West (England)","No function","40","40","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","South West (England)","Property","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","South West (England)","Security","30","30","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Commercial","60","60","53190","53110"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","No function","280","280","33310","29250"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Security","50","40","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Wales","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Wales","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Wales","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Wales","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Wales","No function","40","40","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Wales","Property","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Wales","Security","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","West Midlands (England)","Commercial","70","70","77000","68470"
"In post","2022","Cabinet Office (excl. agencies)","West Midlands (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","West Midlands (England)","No function","40","40","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","West Midlands (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","West Midlands (England)","Property","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","West Midlands (England)","Security","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Commercial","160","150","63020","62010"
"In post","2022","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Human Resources","100","90","41800","38420"
"In post","2022","Cabinet Office (excl. agencies)","Yorkshire and The Humber","No function","100","90","34280","32000"
"In post","2022","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Property","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Security","460","440","29940","26670"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","East of England","Analysis","320","310","34700","30220"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","East of England","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","East of England","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","East of England","Digital, Data & Technology","50","50","31740","29990"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","East of England","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","East of England","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","East of England","No function","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","East of England","Project Delivery","50","40","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Analysis","140","130","33550","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","No function","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","No function","50","50","40520","37910"
"In post","2022","Charity Commission","London","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","Security","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","North West (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","North West (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","North West (England)","Digital, Data & Technology","50","50","34430","29160"
"In post","2022","Charity Commission","North West (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","North West (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","North West (England)","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","North West (England)","No function","230","220","29430","29160"
"In post","2022","Charity Commission","North West (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","North West (England)","Property","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","North West (England)","Security","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","South West (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","South West (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","South West (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","South West (England)","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","South West (England)","No function","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","South West (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Wales","No function","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","East Midlands (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","London","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","London","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","London","No function","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","North East (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","North West (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Northern Ireland","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Northern Ireland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Northern Ireland","No function","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Scotland","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Scotland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Scotland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Scotland","No function","40","40","[c]","[c]"
"In post","2022","Companies House","South East (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","South West (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Wales","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Wales","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Wales","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Wales","Counter Fraud","160","150","24880","22740"
"In post","2022","Companies House","Wales","Digital, Data & Technology","210","210","39840","38000"
"In post","2022","Companies House","Wales","Finance","70","60","30060","24730"
"In post","2022","Companies House","Wales","Human Resources","60","50","37260","39820"
"In post","2022","Companies House","Wales","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Wales","No function","480","430","27290","22740"
"In post","2022","Companies House","Wales","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Wales","Property","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Wales","Security","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","West Midlands (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Yorkshire and The Humber","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Yorkshire and The Humber","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","London","Analysis","130","120","62170","56360"
"In post","2022","Competition and Markets Authority","London","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","London","Communications","30","30","[c]","[c]"
"In post","2022","Competition and Markets Authority","London","Digital, Data & Technology","70","70","57770","58030"
"In post","2022","Competition and Markets Authority","London","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","London","Human Resources","40","40","[c]","[c]"
"In post","2022","Competition and Markets Authority","London","Legal","160","150","67960","71370"
"In post","2022","Competition and Markets Authority","London","Project Delivery","330","320","62590","58030"
"In post","2022","Competition and Markets Authority","London","Property","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","London","Security","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Northern Ireland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Northern Ireland","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Northern Ireland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Scotland","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Scotland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Scotland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Scotland","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Scotland","Project Delivery","30","30","[c]","[c]"
"In post","2022","Competition and Markets Authority","Wales","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Wales","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Scotland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Scotland","No function","320","300","27550","25120"
"In post","2022","Criminal Injuries Compensation Authority","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","East Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","East Midlands (England)","No function","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","East of England","Commercial","70","70","37650","38330"
"In post","2022","Crown Commercial Service","East of England","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","East of England","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2022","Crown Commercial Service","East of England","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","East of England","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","East of England","No function","30","30","[c]","[c]"
"In post","2022","Crown Commercial Service","East of England","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","London","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","London","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","London","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","London","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","London","No function","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","London","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","North East (England)","No function","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","North West (England)","Commercial","180","180","35770","38330"
"In post","2022","Crown Commercial Service","North West (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","North West (England)","Digital, Data & Technology","50","40","[c]","[c]"
"In post","2022","Crown Commercial Service","North West (England)","Finance","30","30","[c]","[c]"
"In post","2022","Crown Commercial Service","North West (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","North West (England)","No function","80","80","37240","31250"
"In post","2022","Crown Commercial Service","North West (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Scotland","No function","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","South East (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","South East (England)","No function","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","South West (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","South West (England)","No function","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","South West (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Wales","Commercial","70","60","34520","31250"
"In post","2022","Crown Commercial Service","Wales","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Wales","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Wales","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Wales","No function","30","30","[c]","[c]"
"In post","2022","Crown Commercial Service","Wales","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","West Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","West Midlands (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","West Midlands (England)","No function","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Yorkshire and The Humber","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Yorkshire and The Humber","No function","[c]","[c]","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Scotland","Digital, Data & Technology","60","60","41540","38600"
"In post","2022","Crown Office and Procurator Fiscal Service","Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Scotland","Human Resources","50","40","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Scotland","Legal","720","690","54240","53490"
"In post","2022","Crown Office and Procurator Fiscal Service","Scotland","No function","1490","1390","28000","23230"
"In post","2022","Crown Office and Procurator Fiscal Service","Scotland","Security","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","East Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","East Midlands (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","East Midlands (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","East Midlands (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","East Midlands (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","East Midlands (England)","Legal","440","410","40030","38750"
"In post","2022","Crown Prosecution Service","East Midlands (England)","Property","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","East Midlands (England)","Security","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","East of England","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","East of England","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","East of England","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","East of England","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","East of England","Legal","510","460","41240","35630"
"In post","2022","Crown Prosecution Service","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","London","Commercial","[c]","[c]","[c]","[c]"
