"Status","Year","Sex","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Female","Veterinary Medicines Directorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","Water Services Regulation Authority","Heterosexual / straight","100","90","53860","45370"
"In post","2022","Female","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Female","Water Services Regulation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Female","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","Welsh Government (excl. agencies)","Heterosexual / straight","2930","2710","40760","38160"
"In post","2022","Female","Welsh Government (excl. agencies)","LGBO","110","110","40220","38160"
"In post","2022","Female","Welsh Government (excl. agencies)","Undeclared","390","360","41600","38160"
"In post","2022","Female","Welsh Government (excl. agencies)","Unknown","70","70","37900","31210"
"In post","2022","Female","Welsh Revenue Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Female","Welsh Revenue Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Female","Welsh Revenue Authority","Unknown","50","40","[c]","[c]"
"In post","2022","Female","Wilton Park","Heterosexual / straight","60","50","35540","30700"
"In post","2022","Female","Wilton Park","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Female","Wilton Park","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Female","Wilton Park","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Accountant in Bankruptcy","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Male","Accountant in Bankruptcy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Accountant in Bankruptcy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","280","260","36200","34500"
"In post","2022","Male","Advisory, Conciliation and Arbitration Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Advisory, Conciliation and Arbitration Service","Undeclared","50","50","36840","34950"
"In post","2022","Male","Advisory, Conciliation and Arbitration Service","Unknown","60","60","28690","24250"
"In post","2022","Male","Animal and Plant Health Agency","Heterosexual / straight","800","780","31910","29180"
"In post","2022","Male","Animal and Plant Health Agency","LGBO","80","80","27040","24920"
"In post","2022","Male","Animal and Plant Health Agency","Undeclared","160","150","34770","31450"
"In post","2022","Male","Animal and Plant Health Agency","Unknown","140","130","30680","26520"
"In post","2022","Male","Attorney General's Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Male","Attorney General's Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Attorney General's Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Cabinet Office (excl. agencies)","Heterosexual / straight","2050","2030","50750","49700"
"In post","2022","Male","Cabinet Office (excl. agencies)","LGBO","290","290","46280","40600"
"In post","2022","Male","Cabinet Office (excl. agencies)","Undeclared","280","280","50250","49700"
"In post","2022","Male","Cabinet Office (excl. agencies)","Unknown","1980","1970","49930","38740"
"In post","2022","Male","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","120","120","35700","30220"
"In post","2022","Male","Centre for Environment, Fisheries and Aquaculture Science","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","Centre for Environment, Fisheries and Aquaculture Science","Unknown","180","180","36720","35900"
"In post","2022","Male","Charity Commission","Heterosexual / straight","90","90","34300","29160"
"In post","2022","Male","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","Charity Commission","Unknown","70","70","33830","29160"
"In post","2022","Male","Companies House","Heterosexual / straight","320","320","34320","31820"
"In post","2022","Male","Companies House","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Companies House","Undeclared","50","50","33440","27460"
"In post","2022","Male","Companies House","Unknown","120","120","28370","24500"
"In post","2022","Male","Competition and Markets Authority","Heterosexual / straight","340","330","63380","59140"
"In post","2022","Male","Competition and Markets Authority","LGBO","50","40","[c]","[c]"
"In post","2022","Male","Competition and Markets Authority","Undeclared","30","30","[c]","[c]"
"In post","2022","Male","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Criminal Injuries Compensation Authority","Heterosexual / straight","80","70","27290","25120"
"In post","2022","Male","Criminal Injuries Compensation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Criminal Injuries Compensation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","Criminal Injuries Compensation Authority","Unknown","40","40","[c]","[c]"
"In post","2022","Male","Crown Commercial Service","Heterosexual / straight","270","270","42250","38980"
"In post","2022","Male","Crown Commercial Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Crown Commercial Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","Crown Commercial Service","Unknown","70","70","38530","32040"
"In post","2022","Male","Crown Office and Procurator Fiscal Service","Heterosexual / straight","550","540","37770","31540"
"In post","2022","Male","Crown Office and Procurator Fiscal Service","LGBO","50","50","36170","28460"
"In post","2022","Male","Crown Office and Procurator Fiscal Service","Undeclared","40","40","[c]","[c]"
"In post","2022","Male","Crown Office and Procurator Fiscal Service","Unknown","30","30","[c]","[c]"
"In post","2022","Male","Crown Prosecution Service","Heterosexual / straight","1630","1590","44450","48080"
"In post","2022","Male","Crown Prosecution Service","LGBO","140","140","42770","38180"
"In post","2022","Male","Crown Prosecution Service","Undeclared","80","80","41880","44660"
"In post","2022","Male","Crown Prosecution Service","Unknown","460","440","46900","53050"
"In post","2022","Male","Defence Electronics and Components Agency","Heterosexual / straight","120","120","28850","26710"
"In post","2022","Male","Defence Electronics and Components Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Defence Electronics and Components Agency","Undeclared","240","220","30010","29470"
"In post","2022","Male","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Defence Equipment and Support","Heterosexual / straight","5580","5480","38090","36020"
"In post","2022","Male","Defence Equipment and Support","LGBO","180","180","34740","33050"
"In post","2022","Male","Defence Equipment and Support","Undeclared","790","760","40130","39420"
"In post","2022","Male","Defence Equipment and Support","Unknown","480","470","34480","32070"
"In post","2022","Male","Defence Science and Technology Laboratory","Heterosexual / straight","600","590","42460","40580"
"In post","2022","Male","Defence Science and Technology Laboratory","LGBO","50","50","36630","32830"
"In post","2022","Male","Defence Science and Technology Laboratory","Undeclared","50","50","[c]","[c]"
"In post","2022","Male","Defence Science and Technology Laboratory","Unknown","2300","2240","42490","42020"
"In post","2022","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","Heterosexual / straight","2210","2190","50110","53380"
"In post","2022","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","270","260","49260","49860"
"In post","2022","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","300","290","52000","53380"
"In post","2022","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","250","240","46890","40400"
"In post","2022","Male","Department for Digital, Culture, Media and Sport","Heterosexual / straight","660","660","48140","51730"
"In post","2022","Male","Department for Digital, Culture, Media and Sport","LGBO","120","120","46600","51730"
"In post","2022","Male","Department for Digital, Culture, Media and Sport","Undeclared","60","60","46610","51730"
"In post","2022","Male","Department for Digital, Culture, Media and Sport","Unknown","70","70","45600","40280"
"In post","2022","Male","Department for Education (excl. agencies)","Heterosexual / straight","1780","1760","45400","42220"
"In post","2022","Male","Department for Education (excl. agencies)","LGBO","180","180","44550","40230"
"In post","2022","Male","Department for Education (excl. agencies)","Undeclared","200","200","45500","43250"
"In post","2022","Male","Department for Education (excl. agencies)","Unknown","340","340","44120","40300"
"In post","2022","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","Heterosexual / straight","1990","1970","43720","39330"
"In post","2022","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","LGBO","220","220","42820","38750"
"In post","2022","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","220","220","41170","38750"
"In post","2022","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","470","460","41900","37480"
"In post","2022","Male","Department for International Trade","Heterosexual / straight","900","890","48050","47000"
"In post","2022","Male","Department for International Trade","LGBO","130","130","46950","41730"
"In post","2022","Male","Department for International Trade","Undeclared","80","70","48820","51710"
"In post","2022","Male","Department for International Trade","Unknown","390","390","47170","40850"
"In post","2022","Male","Department for Levelling Up, Housing and Communities (excl. agencies)","Heterosexual / straight","1120","1110","46180","42690"
"In post","2022","Male","Department for Levelling Up, Housing and Communities (excl. agencies)","LGBO","160","160","46420","48200"
"In post","2022","Male","Department for Levelling Up, Housing and Communities (excl. agencies)","Undeclared","110","110","47180","42980"
"In post","2022","Male","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","180","170","45340","39600"
"In post","2022","Male","Department for Transport (excl. agencies)","Heterosexual / straight","1270","1250","51860","49570"
"In post","2022","Male","Department for Transport (excl. agencies)","LGBO","160","160","49350","44480"
"In post","2022","Male","Department for Transport (excl. agencies)","Undeclared","210","210","52090","54110"
"In post","2022","Male","Department for Transport (excl. agencies)","Unknown","400","390","43710","42470"
"In post","2022","Male","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","21390","20610","29330","27570"
"In post","2022","Male","Department for Work and Pensions (excl. agencies)","LGBO","2070","2010","28490","27570"
"In post","2022","Male","Department for Work and Pensions (excl. agencies)","Undeclared","2760","2620","28540","27570"
"In post","2022","Male","Department for Work and Pensions (excl. agencies)","Unknown","6190","5890","28900","27570"
"In post","2022","Male","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","760","740","49790","49530"
"In post","2022","Male","Department of Health and Social Care (excl. agencies)","LGBO","120","120","49260","49530"
"In post","2022","Male","Department of Health and Social Care (excl. agencies)","Undeclared","560","550","47780","49530"
"In post","2022","Male","Disclosure Scotland","Heterosexual / straight","110","110","30830","23230"
"In post","2022","Male","Disclosure Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Disclosure Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","Disclosure Scotland","Unknown","50","40","[c]","[c]"
"In post","2022","Male","Driver and Vehicle Licensing Agency","Heterosexual / straight","1650","1590","29730","26130"
"In post","2022","Male","Driver and Vehicle Licensing Agency","LGBO","80","80","25940","21840"
"In post","2022","Male","Driver and Vehicle Licensing Agency","Undeclared","510","490","28720","23280"
"In post","2022","Male","Driver and Vehicle Licensing Agency","Unknown","320","300","26830","21840"
"In post","2022","Male","Driver and Vehicle Standards Agency","Heterosexual / straight","2050","1960","30520","27930"
"In post","2022","Male","Driver and Vehicle Standards Agency","LGBO","90","90","30590","29420"
"In post","2022","Male","Driver and Vehicle Standards Agency","Undeclared","580","540","29750","27030"
"In post","2022","Male","Driver and Vehicle Standards Agency","Unknown","690","670","27870","26700"
"In post","2022","Male","Education and Skills Funding Agency","Heterosexual / straight","570","570","42740","37100"
"In post","2022","Male","Education and Skills Funding Agency","LGBO","50","50","[c]","[c]"
"In post","2022","Male","Education and Skills Funding Agency","Undeclared","60","60","43580","40860"
"In post","2022","Male","Education and Skills Funding Agency","Unknown","160","160","43650","40300"
"In post","2022","Male","Education Scotland","Heterosexual / straight","50","50","[c]","[c]"
"In post","2022","Male","Education Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Education Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","Education Scotland","Unknown","40","30","[c]","[c]"
"In post","2022","Male","Estyn","Heterosexual / straight","40","40","[c]","[c]"
"In post","2022","Male","Estyn","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Estyn","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","FCDO Services","Heterosexual / straight","590","570","40180","37750"
"In post","2022","Male","FCDO Services","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","FCDO Services","Undeclared","60","60","46640","43920"
"In post","2022","Male","FCDO Services","Unknown","110","100","42210","42080"
"In post","2022","Male","Food Standards Agency","Heterosexual / straight","530","520","37630","32830"
"In post","2022","Male","Food Standards Agency","LGBO","30","30","[c]","[c]"
"In post","2022","Male","Food Standards Agency","Undeclared","80","70","38760","37350"
"In post","2022","Male","Food Standards Agency","Unknown","170","160","30430","26750"
"In post","2022","Male","Food Standards Scotland","Heterosexual / straight","90","80","36340","31540"
"In post","2022","Male","Food Standards Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Food Standards Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","Food Standards Scotland","Unknown","60","60","36180","31540"
"In post","2022","Male","Foreign, Commonwealth and Development Office (excl. agencies)","Heterosexual / straight","2280","2260","50980","50840"
"In post","2022","Male","Foreign, Commonwealth and Development Office (excl. agencies)","LGBO","240","240","51910","53470"
"In post","2022","Male","Foreign, Commonwealth and Development Office (excl. agencies)","Undeclared","300","300","50850","47230"
"In post","2022","Male","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","620","610","49930","51500"
"In post","2022","Male","Forestry and Land Scotland","Heterosexual / straight","190","180","34990","31060"
"In post","2022","Male","Forestry and Land Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Forestry and Land Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","Forestry and Land Scotland","Unknown","450","440","32240","28980"
"In post","2022","Male","Government Actuary's Department","Heterosexual / straight","100","90","70820","59900"
"In post","2022","Male","Government Actuary's Department","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Government Actuary's Department","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","Government Actuary's Department","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Government Internal Audit Agency","Heterosexual / straight","190","180","51350","49750"
"In post","2022","Male","Government Internal Audit Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Government Internal Audit Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","Government Legal Department","Heterosexual / straight","580","560","52740","51250"
"In post","2022","Male","Government Legal Department","LGBO","90","90","54340","51350"
"In post","2022","Male","Government Legal Department","Undeclared","70","70","55490","52730"
"In post","2022","Male","Government Legal Department","Unknown","180","180","59470","65630"
"In post","2022","Male","Government Property Agency","Heterosexual / straight","130","120","54610","54700"
"In post","2022","Male","Government Property Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Government Property Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","Government Property Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Health and Safety Executive","Heterosexual / straight","940","920","48200","45870"
"In post","2022","Male","Health and Safety Executive","LGBO","50","50","41930","39330"
"In post","2022","Male","Health and Safety Executive","Undeclared","210","210","48050","45870"
"In post","2022","Male","Health and Safety Executive","Unknown","130","130","44490","41000"
"In post","2022","Male","HM Courts and Tribunals Service","Heterosexual / straight","3140","3030","27920","23720"
"In post","2022","Male","HM Courts and Tribunals Service","LGBO","280","270","28050","23720"
"In post","2022","Male","HM Courts and Tribunals Service","Undeclared","580","560","28570","23720"
"In post","2022","Male","HM Courts and Tribunals Service","Unknown","730","710","26140","21650"
"In post","2022","Male","HM Crown Prosecution Service Inspectorate","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Male","HM Crown Prosecution Service Inspectorate","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","HM Crown Prosecution Service Inspectorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","HM Land Registry","Heterosexual / straight","1500","1420","33690","31740"
"In post","2022","Male","HM Land Registry","LGBO","90","90","32090","27130"
"In post","2022","Male","HM Land Registry","Undeclared","270","240","34730","33840"
"In post","2022","Male","HM Land Registry","Unknown","770","740","29580","27130"
"In post","2022","Male","HM Prison and Probation Service","Heterosexual / straight","19850","19100","31370","30140"
"In post","2022","Male","HM Prison and Probation Service","LGBO","950","920","31360","29260"
"In post","2022","Male","HM Prison and Probation Service","Undeclared","2150","2040","33220","31650"
"In post","2022","Male","HM Prison and Probation Service","Unknown","5750","5340","29450","28700"
"In post","2022","Male","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","18200","17610","35810","33370"
"In post","2022","Male","HM Revenue and Customs (excl. agencies)","LGBO","1530","1500","34250","31020"
"In post","2022","Male","HM Revenue and Customs (excl. agencies)","Undeclared","2350","2230","36780","33370"
"In post","2022","Male","HM Revenue and Customs (excl. agencies)","Unknown","10070","9710","31560","26820"
"In post","2022","Male","HM Treasury (excl. agencies)","Heterosexual / straight","810","800","49340","52500"
"In post","2022","Male","HM Treasury (excl. agencies)","LGBO","100","90","46770","45650"
"In post","2022","Male","HM Treasury (excl. agencies)","Undeclared","130","130","47250","49500"
"In post","2022","Male","HM Treasury (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Home Office","Heterosexual / straight","12730","12290","33160","28670"
"In post","2022","Male","Home Office","LGBO","680","660","34820","30820"
"In post","2022","Male","Home Office","Undeclared","2020","1920","34280","30150"
"In post","2022","Male","Home Office","Unknown","2230","2150","32680","27370"
"In post","2022","Male","Institute for Apprenticeships and Technical Education","Heterosexual / straight","70","70","52130","50470"
"In post","2022","Male","Institute for Apprenticeships and Technical Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Institute for Apprenticeships and Technical Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","Institute for Apprenticeships and Technical Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Intellectual Property Office","Heterosexual / straight","490","470","42480","41420"
"In post","2022","Male","Intellectual Property Office","LGBO","40","40","[c]","[c]"
"In post","2022","Male","Intellectual Property Office","Undeclared","60","50","45820","42070"
"In post","2022","Male","Intellectual Property Office","Unknown","320","300","41380","40610"
"In post","2022","Male","Legal Aid Agency","Heterosexual / straight","350","340","32310","25670"
"In post","2022","Male","Legal Aid Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Legal Aid Agency","Undeclared","60","50","33150","25120"
"In post","2022","Male","Legal Aid Agency","Unknown","30","30","[c]","[c]"
"In post","2022","Male","Maritime and Coastguard Agency","Heterosexual / straight","560","560","40790","36180"
"In post","2022","Male","Maritime and Coastguard Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Maritime and Coastguard Agency","Undeclared","100","100","41160","37360"
"In post","2022","Male","Maritime and Coastguard Agency","Unknown","70","70","32250","28240"
"In post","2022","Male","Medicines and Healthcare Products Regulatory Agency","Heterosexual / straight","270","270","49030","43410"
"In post","2022","Male","Medicines and Healthcare Products Regulatory Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Medicines and Healthcare Products Regulatory Agency","Undeclared","50","50","[c]","[c]"
"In post","2022","Male","Medicines and Healthcare Products Regulatory Agency","Unknown","120","110","49980","41130"
"In post","2022","Male","Met Office","Heterosexual / straight","1010","980","40980","39650"
"In post","2022","Male","Met Office","LGBO","70","60","36320","39050"
"In post","2022","Male","Met Office","Undeclared","270","260","40430","39650"
"In post","2022","Male","Ministry of Defence (excl. agencies)","Heterosexual / straight","15720","15440","33450","31470"
"In post","2022","Male","Ministry of Defence (excl. agencies)","LGBO","490","490","35640","33300"
"In post","2022","Male","Ministry of Defence (excl. agencies)","Undeclared","2450","2400","35510","33300"
"In post","2022","Male","Ministry of Defence (excl. agencies)","Unknown","2240","2200","33080","29200"
"In post","2022","Male","Ministry of Justice (excl. agencies)","Heterosexual / straight","1730","1700","45470","41750"
"In post","2022","Male","Ministry of Justice (excl. agencies)","LGBO","210","200","46870","41750"
"In post","2022","Male","Ministry of Justice (excl. agencies)","Undeclared","230","230","45910","41750"
"In post","2022","Male","Ministry of Justice (excl. agencies)","Unknown","490","480","42480","38370"
"In post","2022","Male","National Crime Agency","Heterosexual / straight","2320","2300","42890","40190"
"In post","2022","Male","National Crime Agency","LGBO","100","100","38980","36410"
"In post","2022","Male","National Crime Agency","Undeclared","220","220","40330","38540"
"In post","2022","Male","National Crime Agency","Unknown","420","410","43530","40740"
"In post","2022","Male","National Infrastructure Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Male","National Infrastructure Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","National Infrastructure Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","National Records of Scotland","Heterosexual / straight","90","80","37540","35360"
"In post","2022","Male","National Records of Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","National Records of Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","National Records of Scotland","Unknown","100","100","33930","27230"
"In post","2022","Male","National Savings and Investments","Heterosexual / straight","70","70","53660","49270"
"In post","2022","Male","National Savings and Investments","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","National Savings and Investments","Undeclared","30","30","[c]","[c]"
"In post","2022","Male","Northern Ireland Office","Heterosexual / straight","40","40","[c]","[c]"
"In post","2022","Male","Northern Ireland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Northern Ireland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Office for Budget Responsibility","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Male","Office for Budget Responsibility","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Office for Budget Responsibility","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","Office for Budget Responsibility","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","460","450","53260","51360"
"In post","2022","Male","Office for Standards in Education, Children's Services and Skills","LGBO","70","70","47620","32390"
"In post","2022","Male","Office for Standards in Education, Children's Services and Skills","Undeclared","40","30","[c]","[c]"
"In post","2022","Male","Office for Standards in Education, Children's Services and Skills","Unknown","30","30","[c]","[c]"
"In post","2022","Male","Office of Gas and Electricity Markets","Heterosexual / straight","360","350","41940","35000"
"In post","2022","Male","Office of Gas and Electricity Markets","LGBO","60","60","38600","33400"
"In post","2022","Male","Office of Gas and Electricity Markets","Undeclared","40","40","[c]","[c]"
"In post","2022","Male","Office of Gas and Electricity Markets","Unknown","270","270","49470","44520"
"In post","2022","Male","Office of Qualifications and Examinations Regulation","Heterosexual / straight","70","70","48830","46660"
"In post","2022","Male","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Office of Rail and Road","Heterosexual / straight","120","120","54660","52870"
"In post","2022","Male","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","Office of Rail and Road","Unknown","50","50","[c]","[c]"
"In post","2022","Male","Office of the Public Guardian","Heterosexual / straight","430","410","24430","20970"
"In post","2022","Male","Office of the Public Guardian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Office of the Public Guardian","Undeclared","50","50","24560","21410"
"In post","2022","Male","Office of the Public Guardian","Unknown","130","120","22410","20970"
"In post","2022","Male","Office of the Scottish Charity Regulator","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Male","Office of the Scottish Charity Regulator","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Office of the Scottish Charity Regulator","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Male","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Office of the Secretary of State for Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Male","Office of the Secretary of State for Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Office of the Secretary of State for Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","Office of the Secretary of State for Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Planning Inspectorate","Heterosexual / straight","290","270","47760","47660"
"In post","2022","Male","Planning Inspectorate","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Planning Inspectorate","Undeclared","40","30","[c]","[c]"
"In post","2022","Male","Planning Inspectorate","Unknown","90","80","38800","34860"
"In post","2022","Male","Queen Elizabeth II Centre","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Male","Queen Elizabeth II Centre","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Queen Elizabeth II Centre","Unknown","30","30","[c]","[c]"
"In post","2022","Male","Registers of Scotland","Heterosexual / straight","340","340","34880","30840"
"In post","2022","Male","Registers of Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Registers of Scotland","Undeclared","40","30","[c]","[c]"
"In post","2022","Male","Registers of Scotland","Unknown","190","180","32110","30840"
"In post","2022","Male","Revenue Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Male","Revenue Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Revenue Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","Revenue Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Royal Fleet Auxiliary","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Male","Royal Fleet Auxiliary","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Royal Fleet Auxiliary","Unknown","1590","1590","37990","34460"
"In post","2022","Male","Rural Payments Agency","Heterosexual / straight","490","480","28100","25190"
"In post","2022","Male","Rural Payments Agency","LGBO","40","40","[c]","[c]"
"In post","2022","Male","Rural Payments Agency","Undeclared","60","50","26960","24920"
"In post","2022","Male","Rural Payments Agency","Unknown","510","500","25280","21300"
"In post","2022","Male","Scottish Courts and Tribunals Service","Heterosexual / straight","150","150","32820","27080"
"In post","2022","Male","Scottish Courts and Tribunals Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Scottish Courts and Tribunals Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","Scottish Courts and Tribunals Service","Unknown","430","400","27940","23780"
"In post","2022","Male","Scottish Fiscal Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Male","Scottish Fiscal Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Scottish Fiscal Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Scottish Forestry","Heterosexual / straight","40","40","[c]","[c]"
"In post","2022","Male","Scottish Forestry","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Scottish Forestry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","Scottish Forestry","Unknown","50","50","38630","38110"
"In post","2022","Male","Scottish Government (excl. agencies)","Heterosexual / straight","2380","2340","45680","40810"
