"Status","Year","Region_ITL3","Age","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Breckland and South Norfolk","16-19","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Breckland and South Norfolk","20-29","AA/AO","70","70","23650","23140"
"In post","2022","Breckland and South Norfolk","20-29","EO","[c]","[c]","[c]","[c]"
"In post","2022","Breckland and South Norfolk","20-29","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Breckland and South Norfolk","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Breckland and South Norfolk","30-39","AA/AO","70","60","25090","24430"
"In post","2022","Breckland and South Norfolk","30-39","EO","[c]","[c]","[c]","[c]"
"In post","2022","Breckland and South Norfolk","30-39","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Breckland and South Norfolk","30-39","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Breckland and South Norfolk","40-49","AA/AO","40","40","[c]","[c]"
"In post","2022","Breckland and South Norfolk","40-49","EO","[c]","[c]","[c]","[c]"
"In post","2022","Breckland and South Norfolk","40-49","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Breckland and South Norfolk","40-49","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Breckland and South Norfolk","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Breckland and South Norfolk","50-59","AA/AO","60","60","24080","21960"
"In post","2022","Breckland and South Norfolk","50-59","EO","50","50","[c]","[c]"
"In post","2022","Breckland and South Norfolk","50-59","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Breckland and South Norfolk","50-59","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Breckland and South Norfolk","60-64","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Breckland and South Norfolk","60-64","EO","[c]","[c]","[c]","[c]"
"In post","2022","Breckland and South Norfolk","60-64","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Breckland and South Norfolk","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Breckland and South Norfolk","65+","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Breckland and South Norfolk","65+","EO","[c]","[c]","[c]","[c]"
"In post","2022","Breckland and South Norfolk","65+","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Breckland and South Norfolk","65+","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Breckland and South Norfolk","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Brent","16-19","EO","[c]","[c]","[c]","[c]"
"In post","2022","Brent","20-29","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Brent","20-29","EO","70","70","30580","31060"
"In post","2022","Brent","20-29","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Brent","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Brent","30-39","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Brent","30-39","EO","60","50","30850","31060"
"In post","2022","Brent","30-39","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Brent","30-39","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Brent","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Brent","40-49","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Brent","40-49","EO","40","40","[c]","[c]"
"In post","2022","Brent","40-49","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Brent","40-49","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Brent","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Brent","50-59","AA/AO","50","40","[c]","[c]"
"In post","2022","Brent","50-59","EO","80","80","30800","31060"
"In post","2022","Brent","50-59","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Brent","50-59","SEO/HEO","40","40","[c]","[c]"
"In post","2022","Brent","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Brent","60-64","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Brent","60-64","EO","[c]","[c]","[c]","[c]"
"In post","2022","Brent","60-64","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Brent","60-64","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Brent","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Brent","65+","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Brent","65+","EO","[c]","[c]","[c]","[c]"
"In post","2022","Brent","65+","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Brent","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Bridgend and Neath Port Talbot","16-19","EO","[c]","[c]","[c]","[c]"
"In post","2022","Bridgend and Neath Port Talbot","20-29","AA/AO","40","40","[c]","[c]"
"In post","2022","Bridgend and Neath Port Talbot","20-29","EO","[c]","[c]","[c]","[c]"
"In post","2022","Bridgend and Neath Port Talbot","20-29","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Bridgend and Neath Port Talbot","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Bridgend and Neath Port Talbot","30-39","AA/AO","60","50","21150","21260"
"In post","2022","Bridgend and Neath Port Talbot","30-39","EO","60","60","28350","27570"
"In post","2022","Bridgend and Neath Port Talbot","30-39","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Bridgend and Neath Port Talbot","30-39","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Bridgend and Neath Port Talbot","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Bridgend and Neath Port Talbot","40-49","AA/AO","60","50","21110","21260"
"In post","2022","Bridgend and Neath Port Talbot","40-49","EO","80","70","27900","27570"
"In post","2022","Bridgend and Neath Port Talbot","40-49","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Bridgend and Neath Port Talbot","40-49","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Bridgend and Neath Port Talbot","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Bridgend and Neath Port Talbot","50-59","AA/AO","60","60","21080","21260"
"In post","2022","Bridgend and Neath Port Talbot","50-59","EO","90","80","28410","27570"
"In post","2022","Bridgend and Neath Port Talbot","50-59","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Bridgend and Neath Port Talbot","50-59","SEO/HEO","40","40","[c]","[c]"
"In post","2022","Bridgend and Neath Port Talbot","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Bridgend and Neath Port Talbot","60-64","AA/AO","40","30","[c]","[c]"
"In post","2022","Bridgend and Neath Port Talbot","60-64","EO","[c]","[c]","[c]","[c]"
"In post","2022","Bridgend and Neath Port Talbot","60-64","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Bridgend and Neath Port Talbot","60-64","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Bridgend and Neath Port Talbot","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Bridgend and Neath Port Talbot","65+","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Bridgend and Neath Port Talbot","65+","EO","[c]","[c]","[c]","[c]"
"In post","2022","Bridgend and Neath Port Talbot","65+","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Bridgend and Neath Port Talbot","65+","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Bridgend and Neath Port Talbot","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Brighton and Hove","16-19","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Brighton and Hove","20-29","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Brighton and Hove","20-29","EO","40","40","[c]","[c]"
"In post","2022","Brighton and Hove","20-29","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Brighton and Hove","20-29","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Brighton and Hove","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Brighton and Hove","30-39","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Brighton and Hove","30-39","EO","40","30","[c]","[c]"
"In post","2022","Brighton and Hove","30-39","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Brighton and Hove","30-39","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Brighton and Hove","30-39","Unknown","40","40","[c]","[c]"
"In post","2022","Brighton and Hove","40-49","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Brighton and Hove","40-49","EO","50","40","[c]","[c]"
"In post","2022","Brighton and Hove","40-49","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Brighton and Hove","40-49","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Brighton and Hove","40-49","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Brighton and Hove","40-49","Unknown","30","30","[c]","[c]"
"In post","2022","Brighton and Hove","50-59","AA/AO","40","30","[c]","[c]"
"In post","2022","Brighton and Hove","50-59","EO","100","90","27800","27570"
"In post","2022","Brighton and Hove","50-59","G6/G7","40","40","[c]","[c]"
"In post","2022","Brighton and Hove","50-59","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Brighton and Hove","50-59","SEO/HEO","30","30","[c]","[c]"
"In post","2022","Brighton and Hove","50-59","Unknown","40","30","[c]","[c]"
"In post","2022","Brighton and Hove","60-64","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Brighton and Hove","60-64","EO","[c]","[c]","[c]","[c]"
"In post","2022","Brighton and Hove","60-64","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Brighton and Hove","60-64","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Brighton and Hove","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Brighton and Hove","65+","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Brighton and Hove","65+","EO","[c]","[c]","[c]","[c]"
"In post","2022","Brighton and Hove","65+","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Brighton and Hove","65+","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Brighton and Hove","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Bristol, City of","16-19","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Bristol, City of","16-19","EO","[c]","[c]","[c]","[c]"
"In post","2022","Bristol, City of","20-29","AA/AO","360","350","21840","21270"
"In post","2022","Bristol, City of","20-29","EO","310","310","26140","26590"
"In post","2022","Bristol, City of","20-29","G6/G7","80","80","51940","49930"
"In post","2022","Bristol, City of","20-29","SEO/HEO","460","460","33120","33080"
"In post","2022","Bristol, City of","20-29","Unknown","90","80","24790","23170"
"In post","2022","Bristol, City of","30-39","AA/AO","270","250","22180","21270"
"In post","2022","Bristol, City of","30-39","EO","280","260","26850","26820"
"In post","2022","Bristol, City of","30-39","G6/G7","390","370","53840","52450"
"In post","2022","Bristol, City of","30-39","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Bristol, City of","30-39","SEO/HEO","710","680","35340","33370"
"In post","2022","Bristol, City of","30-39","Unknown","60","50","27900","25560"
"In post","2022","Bristol, City of","40-49","AA/AO","240","210","22030","21300"
"In post","2022","Bristol, City of","40-49","EO","280","260","27070","27530"
"In post","2022","Bristol, City of","40-49","G6/G7","390","380","55760","54940"
"In post","2022","Bristol, City of","40-49","SCS","40","40","[c]","[c]"
"In post","2022","Bristol, City of","40-49","SEO/HEO","550","520","36080","35900"
"In post","2022","Bristol, City of","40-49","Unknown","70","60","32640","31420"
"In post","2022","Bristol, City of","50-59","AA/AO","320","290","21990","21270"
"In post","2022","Bristol, City of","50-59","EO","350","330","27320","27570"
"In post","2022","Bristol, City of","50-59","G6/G7","320","310","57390","55610"
"In post","2022","Bristol, City of","50-59","SCS","30","30","[c]","[c]"
"In post","2022","Bristol, City of","50-59","SEO/HEO","510","480","37190","36510"
"In post","2022","Bristol, City of","50-59","Unknown","40","40","[c]","[c]"
"In post","2022","Bristol, City of","60-64","AA/AO","90","70","21770","21260"
"In post","2022","Bristol, City of","60-64","EO","130","100","27410","27570"
"In post","2022","Bristol, City of","60-64","G6/G7","50","50","61050","57600"
"In post","2022","Bristol, City of","60-64","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Bristol, City of","60-64","SEO/HEO","120","90","36930","35240"
"In post","2022","Bristol, City of","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Bristol, City of","65+","AA/AO","50","40","20840","21260"
"In post","2022","Bristol, City of","65+","EO","40","30","[c]","[c]"
"In post","2022","Bristol, City of","65+","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Bristol, City of","65+","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Bristol, City of","65+","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Bristol, City of","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Bromley","20-29","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Bromley","20-29","EO","[c]","[c]","[c]","[c]"
"In post","2022","Bromley","20-29","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Bromley","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Bromley","30-39","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Bromley","30-39","EO","[c]","[c]","[c]","[c]"
"In post","2022","Bromley","30-39","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Bromley","30-39","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Bromley","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Bromley","40-49","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Bromley","40-49","EO","40","40","[c]","[c]"
"In post","2022","Bromley","40-49","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Bromley","40-49","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Bromley","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Bromley","50-59","AA/AO","50","50","[c]","[c]"
"In post","2022","Bromley","50-59","EO","100","90","31260","31060"
"In post","2022","Bromley","50-59","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Bromley","50-59","SEO/HEO","30","30","[c]","[c]"
"In post","2022","Bromley","50-59","Unknown","50","40","[c]","[c]"
"In post","2022","Bromley","60-64","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Bromley","60-64","EO","[c]","[c]","[c]","[c]"
"In post","2022","Bromley","60-64","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Bromley","60-64","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Bromley","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Bromley","65+","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Bromley","65+","EO","[c]","[c]","[c]","[c]"
"In post","2022","Bromley","65+","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Bromley","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Buckinghamshire","16-19","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Buckinghamshire","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Buckinghamshire","20-29","AA/AO","120","110","25300","23170"
"In post","2022","Buckinghamshire","20-29","EO","80","80","28000","27570"
"In post","2022","Buckinghamshire","20-29","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Buckinghamshire","20-29","SEO/HEO","50","50","[c]","[c]"
"In post","2022","Buckinghamshire","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Buckinghamshire","30-39","AA/AO","110","100","26550","28140"
"In post","2022","Buckinghamshire","30-39","EO","100","100","29040","28350"
"In post","2022","Buckinghamshire","30-39","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Buckinghamshire","30-39","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Buckinghamshire","30-39","SEO/HEO","90","90","38160","36150"
"In post","2022","Buckinghamshire","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Buckinghamshire","40-49","AA/AO","90","80","25520","23220"
"In post","2022","Buckinghamshire","40-49","EO","100","90","29020","28350"
"In post","2022","Buckinghamshire","40-49","G6/G7","30","30","[c]","[c]"
"In post","2022","Buckinghamshire","40-49","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Buckinghamshire","40-49","SEO/HEO","130","120","39500","38160"
"In post","2022","Buckinghamshire","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Buckinghamshire","50-59","AA/AO","130","130","25300","23380"
"In post","2022","Buckinghamshire","50-59","EO","140","130","29200","28670"
"In post","2022","Buckinghamshire","50-59","G6/G7","40","30","[c]","[c]"
"In post","2022","Buckinghamshire","50-59","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Buckinghamshire","50-59","SEO/HEO","160","150","39920","38160"
"In post","2022","Buckinghamshire","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Buckinghamshire","60-64","AA/AO","60","50","24640","23380"
"In post","2022","Buckinghamshire","60-64","EO","50","50","28640","27570"
"In post","2022","Buckinghamshire","60-64","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Buckinghamshire","60-64","SEO/HEO","40","40","[c]","[c]"
"In post","2022","Buckinghamshire","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Buckinghamshire","65+","AA/AO","30","30","[c]","[c]"
"In post","2022","Buckinghamshire","65+","EO","[c]","[c]","[c]","[c]"
"In post","2022","Buckinghamshire","65+","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Buckinghamshire","65+","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Buckinghamshire","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Buckinghamshire","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","20-29","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","20-29","EO","[c]","[c]","[c]","[c]"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","30-39","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","30-39","EO","[c]","[c]","[c]","[c]"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","30-39","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","30-39","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","40-49","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","40-49","EO","[c]","[c]","[c]","[c]"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","40-49","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","50-59","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","50-59","EO","[c]","[c]","[c]","[c]"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","50-59","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","50-59","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","60-64","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","60-64","EO","[c]","[c]","[c]","[c]"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","60-64","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","65+","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","65+","EO","[c]","[c]","[c]","[c]"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","65+","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Calderdale and Kirklees","16-19","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Calderdale and Kirklees","16-19","EO","[c]","[c]","[c]","[c]"
"In post","2022","Calderdale and Kirklees","20-29","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Calderdale and Kirklees","20-29","EO","80","80","27480","27570"
"In post","2022","Calderdale and Kirklees","20-29","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Calderdale and Kirklees","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Calderdale and Kirklees","30-39","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Calderdale and Kirklees","30-39","EO","110","100","27400","27570"
"In post","2022","Calderdale and Kirklees","30-39","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Calderdale and Kirklees","30-39","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Calderdale and Kirklees","30-39","Unknown","40","30","[c]","[c]"
"In post","2022","Calderdale and Kirklees","40-49","AA/AO","40","30","[c]","[c]"
"In post","2022","Calderdale and Kirklees","40-49","EO","150","140","27440","27570"
"In post","2022","Calderdale and Kirklees","40-49","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Calderdale and Kirklees","40-49","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Calderdale and Kirklees","40-49","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Calderdale and Kirklees","40-49","Unknown","50","50","29590","28200"
"In post","2022","Calderdale and Kirklees","50-59","AA/AO","70","50","20930","21260"
"In post","2022","Calderdale and Kirklees","50-59","EO","180","160","27310","27570"
"In post","2022","Calderdale and Kirklees","50-59","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Calderdale and Kirklees","50-59","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Calderdale and Kirklees","50-59","SEO/HEO","40","30","[c]","[c]"
"In post","2022","Calderdale and Kirklees","50-59","Unknown","40","40","[c]","[c]"
"In post","2022","Calderdale and Kirklees","60-64","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Calderdale and Kirklees","60-64","EO","50","40","27350","27570"
"In post","2022","Calderdale and Kirklees","60-64","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Calderdale and Kirklees","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Calderdale and Kirklees","65+","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Calderdale and Kirklees","65+","EO","[c]","[c]","[c]","[c]"
"In post","2022","Calderdale and Kirklees","65+","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Calderdale and Kirklees","65+","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Calderdale and Kirklees","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cambridgeshire CC","16-19","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Cambridgeshire CC","16-19","EO","[c]","[c]","[c]","[c]"
"In post","2022","Cambridgeshire CC","20-29","AA/AO","230","230","25190","26140"
"In post","2022","Cambridgeshire CC","20-29","EO","120","110","26530","26350"
"In post","2022","Cambridgeshire CC","20-29","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Cambridgeshire CC","20-29","SEO/HEO","100","90","33950","33000"
"In post","2022","Cambridgeshire CC","20-29","Unknown","30","30","[c]","[c]"
"In post","2022","Cambridgeshire CC","30-39","AA/AO","260","250","26870","27260"
"In post","2022","Cambridgeshire CC","30-39","EO","140","140","28040","26670"
"In post","2022","Cambridgeshire CC","30-39","G6/G7","50","40","[c]","[c]"
"In post","2022","Cambridgeshire CC","30-39","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Cambridgeshire CC","30-39","SEO/HEO","250","250","36110","33300"
"In post","2022","Cambridgeshire CC","30-39","Unknown","40","40","[c]","[c]"
"In post","2022","Cambridgeshire CC","40-49","AA/AO","220","210","26920","27160"
"In post","2022","Cambridgeshire CC","40-49","EO","160","150","29260","27570"
"In post","2022","Cambridgeshire CC","40-49","G6/G7","90","80","58540","54540"
"In post","2022","Cambridgeshire CC","40-49","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Cambridgeshire CC","40-49","SEO/HEO","290","280","37270","36050"
"In post","2022","Cambridgeshire CC","40-49","Unknown","50","40","[c]","[c]"
"In post","2022","Cambridgeshire CC","50-59","AA/AO","290","280","26260","22330"
"In post","2022","Cambridgeshire CC","50-59","EO","240","230","29460","27570"
"In post","2022","Cambridgeshire CC","50-59","G6/G7","90","90","60160","55550"
"In post","2022","Cambridgeshire CC","50-59","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Cambridgeshire CC","50-59","SEO/HEO","370","360","38610","36480"
"In post","2022","Cambridgeshire CC","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cambridgeshire CC","60-64","AA/AO","130","100","24100","21820"
"In post","2022","Cambridgeshire CC","60-64","EO","50","50","28320","27570"
"In post","2022","Cambridgeshire CC","60-64","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Cambridgeshire CC","60-64","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Cambridgeshire CC","60-64","SEO/HEO","90","80","38410","36460"
"In post","2022","Cambridgeshire CC","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cambridgeshire CC","65+","AA/AO","40","30","[c]","[c]"
"In post","2022","Cambridgeshire CC","65+","EO","30","30","[c]","[c]"
"In post","2022","Cambridgeshire CC","65+","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Cambridgeshire CC","65+","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Cambridgeshire CC","65+","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Cambridgeshire CC","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Camden and City of London","16-19","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Camden and City of London","16-19","EO","[c]","[c]","[c]","[c]"
"In post","2022","Camden and City of London","20-29","AA/AO","130","130","23870","23720"
"In post","2022","Camden and City of London","20-29","EO","80","80","28950","28310"
"In post","2022","Camden and City of London","20-29","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Camden and City of London","20-29","SEO/HEO","100","100","37810","35710"
"In post","2022","Camden and City of London","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Camden and City of London","30-39","AA/AO","110","100","24180","23720"
"In post","2022","Camden and City of London","30-39","EO","100","90","29160","28750"
"In post","2022","Camden and City of London","30-39","G6/G7","130","120","65420","59490"
"In post","2022","Camden and City of London","30-39","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Camden and City of London","30-39","SEO/HEO","120","120","40570","39780"
"In post","2022","Camden and City of London","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Camden and City of London","40-49","AA/AO","120","120","24680","24150"
"In post","2022","Camden and City of London","40-49","EO","100","90","29670","28990"
"In post","2022","Camden and City of London","40-49","G6/G7","140","130","75350","69930"
"In post","2022","Camden and City of London","40-49","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Camden and City of London","40-49","SEO/HEO","100","100","40500","38080"
"In post","2022","Camden and City of London","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Camden and City of London","50-59","AA/AO","190","180","24480","24310"
"In post","2022","Camden and City of London","50-59","EO","120","110","30170","29660"
"In post","2022","Camden and City of London","50-59","G6/G7","80","80","76670","66950"
"In post","2022","Camden and City of London","50-59","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Camden and City of London","50-59","SEO/HEO","110","110","40210","38000"
"In post","2022","Camden and City of London","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Camden and City of London","60-64","AA/AO","100","90","24760","24310"
