"Status","Year","Disability","Sexual_orientation","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Undeclared","Unknown","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Ministry of Defence (excl. agencies)","100","90","32680","31870"
"In post","2021","Undeclared","Unknown","Ministry of Justice (excl. agencies)","60","50","41640","37540"
"In post","2021","Undeclared","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Public Health England","60","50","53130","45780"
"In post","2021","Undeclared","Unknown","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Valuation Office Agency","100","90","34060","30000"
"In post","2021","Undeclared","Unknown","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","340","310","35680","34500"
"In post","2021","Unknown","Heterosexual / straight","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Cabinet Office (excl. agencies)","60","60","48480","49700"
"In post","2021","Unknown","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Charity Commission","40","30","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Crown Commercial Service","330","320","37050","34800"
"In post","2021","Unknown","Heterosexual / straight","Crown Office and Procurator Fiscal Service","40","40","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Crown Prosecution Service","850","830","35890","32280"
"In post","2021","Unknown","Heterosexual / straight","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Defence Equipment and Support","480","460","36080","33680"
"In post","2021","Unknown","Heterosexual / straight","Defence Science and Technology Laboratory","70","60","34880","28660"
"In post","2021","Unknown","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","310","300","44500","40050"
"In post","2021","Unknown","Heterosexual / straight","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Department for Education (excl. agencies)","460","450","38240","36500"
"In post","2021","Unknown","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","60","60","44510","39460"
"In post","2021","Unknown","Heterosexual / straight","Department for International Trade","290","290","45250","38540"
"In post","2021","Unknown","Heterosexual / straight","Department for Transport (excl. agencies)","120","110","44540","42470"
"In post","2021","Unknown","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","380","350","28160","27570"
"In post","2021","Unknown","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","570","550","45790","40650"
"In post","2021","Unknown","Heterosexual / straight","Disclosure Scotland","50","50","33020","29190"
"In post","2021","Unknown","Heterosexual / straight","Driver and Vehicle Licensing Agency","40","30","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Education and Skills Funding Agency","100","100","36260","36500"
"In post","2021","Unknown","Heterosexual / straight","Education Scotland","70","70","60310","69160"
"In post","2021","Unknown","Heterosexual / straight","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Food Standards Scotland","30","30","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","230","230","54340","55430"
"In post","2021","Unknown","Heterosexual / straight","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Government Legal Department","60","50","48320","51830"
"In post","2021","Unknown","Heterosexual / straight","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","HM Courts and Tribunals Service","60","60","24150","21300"
"In post","2021","Unknown","Heterosexual / straight","HM Land Registry","560","540","27210","22350"
"In post","2021","Unknown","Heterosexual / straight","HM Prison and Probation Service","270","260","27260","25810"
"In post","2021","Unknown","Heterosexual / straight","HM Revenue and Customs (excl. agencies)","2040","1790","29580","25560"
"In post","2021","Unknown","Heterosexual / straight","HM Treasury (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Home Office (incl. agencies)","270","270","33700","28650"
"In post","2021","Unknown","Heterosexual / straight","Insolvency Service","120","110","29340","24260"
"In post","2021","Unknown","Heterosexual / straight","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Maritime and Coastguard Agency","120","120","33740","31350"
"In post","2021","Unknown","Heterosexual / straight","Medicines and Healthcare Products Regulatory Agency","350","340","43100","40450"
"In post","2021","Unknown","Heterosexual / straight","Ministry of Defence (excl. agencies)","2520","2430","32140","27420"
"In post","2021","Unknown","Heterosexual / straight","Ministry of Housing, Communities and Local Government (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Ministry of Justice (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","National Crime Agency","2420","2380","38010","36410"
"In post","2021","Unknown","Heterosexual / straight","National Records of Scotland","50","50","35710","33620"
"In post","2021","Unknown","Heterosexual / straight","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","70","70","43880","51360"
"In post","2021","Unknown","Heterosexual / straight","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Planning Inspectorate","40","40","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Public Health England","470","440","49140","42370"
"In post","2021","Unknown","Heterosexual / straight","Registers of Scotland","40","40","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Scottish Government (excl. agencies)","1120","1070","43120","39660"
"In post","2021","Unknown","Heterosexual / straight","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Scottish Prison Service","1310","1210","33610","33650"
"In post","2021","Unknown","Heterosexual / straight","Scottish Public Pensions Agency","50","50","25820","24110"
"In post","2021","Unknown","Heterosexual / straight","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Social Security Scotland","100","100","38170","30650"
"In post","2021","Unknown","Heterosexual / straight","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Submarine Delivery Agency","90","90","47120","45290"
"In post","2021","Unknown","Heterosexual / straight","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","The National Archives","30","30","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Transport Scotland","80","80","48060","46600"
"In post","2021","Unknown","Heterosexual / straight","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","UK Intellectual Property Office","30","30","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","United Kingdom Statistics Authority","1070","970","31200","29540"
"In post","2021","Unknown","Heterosexual / straight","Valuation Office Agency","40","40","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Welsh Government (excl. agencies)","130","130","35800","28850"
"In post","2021","Unknown","Heterosexual / straight","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Crown Prosecution Service","50","50","29750","25480"
"In post","2021","Unknown","LGBO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Department for Business, Energy and Industrial Strategy (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Unknown","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Department for Education (excl. agencies)","50","50","37030","32940"
"In post","2021","Unknown","LGBO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Department for International Trade","30","30","[c]","[c]"
"In post","2021","Unknown","LGBO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Department of Health and Social Care (excl. agencies)","80","80","43000","40650"
"In post","2021","Unknown","LGBO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","HM Land Registry","60","60","25430","22350"
"In post","2021","Unknown","LGBO","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","HM Revenue and Customs (excl. agencies)","110","110","29260","25560"
"In post","2021","Unknown","LGBO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Ministry of Defence (excl. agencies)","70","70","29070","25540"
"In post","2021","Unknown","LGBO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","National Crime Agency","130","120","35020","34140"
"In post","2021","Unknown","LGBO","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Scottish Government (excl. agencies)","60","60","42010","38540"
"In post","2021","Unknown","LGBO","Scottish Prison Service","60","60","31270","33650"
"In post","2021","Unknown","LGBO","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","United Kingdom Statistics Authority","80","80","31790","29540"
"In post","2021","Unknown","LGBO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Advisory, Conciliation and Arbitration Service","110","100","35370","34500"
"In post","2021","Unknown","Undeclared","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Crown Prosecution Service","80","70","35330","30130"
"In post","2021","Unknown","Undeclared","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Defence Equipment and Support","120","110","39650","39280"
"In post","2021","Unknown","Undeclared","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Department for Education (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Unknown","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Department for Transport (excl. agencies)","90","90","48920","44030"
"In post","2021","Unknown","Undeclared","Department for Work and Pensions (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Unknown","Undeclared","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","HM Prison and Probation Service","30","30","[c]","[c]"
"In post","2021","Unknown","Undeclared","HM Revenue and Customs (excl. agencies)","340","310","30320","25630"
"In post","2021","Unknown","Undeclared","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Medicines and Healthcare Products Regulatory Agency","60","50","45480","41010"
"In post","2021","Unknown","Undeclared","Ministry of Defence (excl. agencies)","570","550","34240","33300"
"In post","2021","Unknown","Undeclared","Ministry of Housing, Communities and Local Government (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Unknown","Undeclared","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","National Crime Agency","220","220","36720","34570"
"In post","2021","Unknown","Undeclared","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Public Health England","100","90","54030","47090"
"In post","2021","Unknown","Undeclared","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Scottish Courts and Tribunals Service","1650","1490","27670","22820"
"In post","2021","Unknown","Undeclared","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Scottish Government (excl. agencies)","70","60","47620","46600"
"In post","2021","Unknown","Undeclared","Scottish Prison Service","50","50","33840","33650"
"In post","2021","Unknown","Undeclared","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","UK Intellectual Property Office","40","40","[c]","[c]"
"In post","2021","Unknown","Undeclared","UK Space Agency","60","60","45090","40310"
"In post","2021","Unknown","Undeclared","United Kingdom Statistics Authority","60","50","29890","29540"
"In post","2021","Unknown","Undeclared","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Welsh Government (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Unknown","Undeclared","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Advisory, Conciliation and Arbitration Service","250","240","28440","24250"
"In post","2021","Unknown","Unknown","Animal and Plant Health Agency","170","160","29180","25330"
"In post","2021","Unknown","Unknown","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Cabinet Office (excl. agencies)","3890","3840","44550","32000"
"In post","2021","Unknown","Unknown","Centre for Environment, Fisheries and Aquaculture Science","170","160","38070","35900"
"In post","2021","Unknown","Unknown","Charity Commission","160","150","35470","29550"
"In post","2021","Unknown","Unknown","Companies House","260","230","27720","22490"
"In post","2021","Unknown","Unknown","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Unknown","Unknown","Criminal Injuries Compensation Authority","40","30","[c]","[c]"
"In post","2021","Unknown","Unknown","Crown Commercial Service","150","150","34100","30590"
"In post","2021","Unknown","Unknown","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Crown Prosecution Service","490","450","40250","34650"
"In post","2021","Unknown","Unknown","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Debt Management Office","110","110","58840","51550"
"In post","2021","Unknown","Unknown","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Defence Equipment and Support","460","450","31840","29100"
"In post","2021","Unknown","Unknown","Defence Science and Technology Laboratory","650","630","40840","37700"
"In post","2021","Unknown","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","510","500","44680","40050"
"In post","2021","Unknown","Unknown","Department for Digital, Culture, Media and Sport","220","220","48400","48580"
"In post","2021","Unknown","Unknown","Department for Education (excl. agencies)","510","490","42070","36660"
"In post","2021","Unknown","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","750","720","42980","38750"
"In post","2021","Unknown","Unknown","Department for International Trade","660","660","44300","38540"
"In post","2021","Unknown","Unknown","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Department for Work and Pensions (excl. agencies)","2750","2640","28840","27570"
"In post","2021","Unknown","Unknown","Department of Health and Social Care (excl. agencies)","1850","1820","45690","40650"
"In post","2021","Unknown","Unknown","Disclosure Scotland","90","80","25370","22230"
"In post","2021","Unknown","Unknown","Driver and Vehicle Licensing Agency","620","560","24600","21590"
"In post","2021","Unknown","Unknown","Driver and Vehicle Standards Agency","790","780","28040","26580"
"In post","2021","Unknown","Unknown","Education and Skills Funding Agency","80","80","40250","36500"
"In post","2021","Unknown","Unknown","Education Scotland","100","90","51460","52480"
"In post","2021","Unknown","Unknown","FCDO Services","30","30","[c]","[c]"
"In post","2021","Unknown","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Food Standards Scotland","90","90","33590","30650"
"In post","2021","Unknown","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","1240","1220","47950","48840"
"In post","2021","Unknown","Unknown","Forestry and Land Scotland","30","30","[c]","[c]"
"In post","2021","Unknown","Unknown","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Government Legal Department","310","280","59000","64680"
"In post","2021","Unknown","Unknown","Health and Safety Executive","40","40","[c]","[c]"
"In post","2021","Unknown","Unknown","HM Courts and Tribunals Service","1570","1520","22470","19930"
"In post","2021","Unknown","Unknown","HM Land Registry","1310","1260","27390","22350"
"In post","2021","Unknown","Unknown","HM Prison and Probation Service","4680","4520","26030","24920"
"In post","2021","Unknown","Unknown","HM Revenue and Customs (excl. agencies)","16870","15620","27900","25560"
"In post","2021","Unknown","Unknown","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Home Office (incl. agencies)","1710","1670","31780","25630"
"In post","2021","Unknown","Unknown","Insolvency Service","380","380","27970","22490"
"In post","2021","Unknown","Unknown","Legal Aid Agency","60","60","22090","19930"
"In post","2021","Unknown","Unknown","Maritime and Coastguard Agency","120","110","30680","26590"
"In post","2021","Unknown","Unknown","Medicines and Healthcare Products Regulatory Agency","280","270","49250","41950"
"In post","2021","Unknown","Unknown","Ministry of Defence (excl. agencies)","2840","2740","32970","29200"
