"Status","Year","Profession_of_post","Ethnicity","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Psychology","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","Mixed","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Psychology","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","Unknown","Unknown","150","140","32100","29060"
"In post","2022","Psychology","White","Heterosexual / straight","1020","980","36070","31180"
"In post","2022","Psychology","White","LGBO","70","60","31480","29060"
"In post","2022","Psychology","White","Undeclared","60","60","35690","31180"
"In post","2022","Psychology","White","Unknown","70","60","42940","43870"
"In post","2022","Science and Engineering","Asian","Heterosexual / straight","450","440","36900","33950"
"In post","2022","Science and Engineering","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Asian","Undeclared","40","40","[c]","[c]"
"In post","2022","Science and Engineering","Asian","Unknown","100","90","43210","40640"
"In post","2022","Science and Engineering","Black","Heterosexual / straight","230","220","37530","36510"
"In post","2022","Science and Engineering","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Black","Unknown","40","30","[c]","[c]"
"In post","2022","Science and Engineering","Mixed","Heterosexual / straight","140","140","36940","34150"
"In post","2022","Science and Engineering","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Mixed","Unknown","50","50","38510","38070"
"In post","2022","Science and Engineering","Other ethnicity","Heterosexual / straight","40","40","[c]","[c]"
"In post","2022","Science and Engineering","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Undeclared","Heterosexual / straight","70","70","41060","40060"
"In post","2022","Science and Engineering","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Undeclared","Undeclared","560","530","40320","39990"
"In post","2022","Science and Engineering","Undeclared","Unknown","360","350","44290","43840"
"In post","2022","Science and Engineering","Unknown","Heterosexual / straight","80","80","37740","37350"
"In post","2022","Science and Engineering","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Unknown","Undeclared","90","80","42930","39650"
"In post","2022","Science and Engineering","Unknown","Unknown","740","720","35430","31600"
"In post","2022","Science and Engineering","White","Heterosexual / straight","7400","7130","38930","37400"
"In post","2022","Science and Engineering","White","LGBO","420","400","35390","31770"
"In post","2022","Science and Engineering","White","Undeclared","820","770","38940","36290"
"In post","2022","Science and Engineering","White","Unknown","2210","2120","41550","38820"
"In post","2022","Security","Asian","Heterosexual / straight","300","290","32180","29370"
"In post","2022","Security","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Security","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Security","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Security","Black","Heterosexual / straight","130","120","32500","30200"
"In post","2022","Security","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Security","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Security","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Security","Mixed","Heterosexual / straight","80","80","35680","35440"
"In post","2022","Security","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Security","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Security","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Security","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Security","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Security","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Security","Undeclared","Heterosexual / straight","40","40","[c]","[c]"
"In post","2022","Security","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Security","Undeclared","Undeclared","380","370","35970","38310"
"In post","2022","Security","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Security","Unknown","Heterosexual / straight","70","70","31270","26670"
"In post","2022","Security","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Security","Unknown","Undeclared","30","30","[c]","[c]"
"In post","2022","Security","Unknown","Unknown","1020","1010","31840","27700"
"In post","2022","Security","White","Heterosexual / straight","5980","5840","31630","28080"
"In post","2022","Security","White","LGBO","270","260","33700","31990"
"In post","2022","Security","White","Undeclared","510","500","34990","38200"
"In post","2022","Security","White","Unknown","350","340","37540","38160"
"In post","2022","Social Research","Asian","Heterosexual / straight","50","50","[c]","[c]"
"In post","2022","Social Research","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","Unknown","Unknown","140","140","39680","38340"
"In post","2022","Social Research","White","Heterosexual / straight","840","800","43100","39100"
"In post","2022","Social Research","White","LGBO","110","100","40340","37610"
"In post","2022","Social Research","White","Undeclared","60","60","42880","38340"
"In post","2022","Social Research","White","Unknown","40","40","[c]","[c]"
"In post","2022","Statistics","Asian","Heterosexual / straight","160","150","43350","40290"
"In post","2022","Statistics","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Black","Heterosexual / straight","50","50","40050","38360"
"In post","2022","Statistics","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Mixed","Heterosexual / straight","40","40","[c]","[c]"
"In post","2022","Statistics","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Undeclared","Undeclared","40","40","[c]","[c]"
"In post","2022","Statistics","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Unknown","Unknown","250","240","38760","36360"
"In post","2022","Statistics","White","Heterosexual / straight","1410","1350","45350","40910"
"In post","2022","Statistics","White","LGBO","160","160","40450","38250"
"In post","2022","Statistics","White","Undeclared","110","100","42000","38340"
"In post","2022","Statistics","White","Unknown","90","80","44590","39850"
"In post","2022","Tax","Asian","Heterosexual / straight","1530","1480","33550","33080"
"In post","2022","Tax","Asian","LGBO","50","50","30770","31020"
"In post","2022","Tax","Asian","Undeclared","80","80","33390","33080"
"In post","2022","Tax","Asian","Unknown","310","290","34580","33370"
"In post","2022","Tax","Black","Heterosexual / straight","500","480","32700","33080"
"In post","2022","Tax","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Tax","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Tax","Black","Unknown","60","60","34990","33400"
"In post","2022","Tax","Mixed","Heterosexual / straight","230","220","35430","33220"
"In post","2022","Tax","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Tax","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Tax","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Tax","Other ethnicity","Heterosexual / straight","70","60","35280","33370"
"In post","2022","Tax","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Tax","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Tax","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Tax","Undeclared","Heterosexual / straight","80","80","36900","33370"
"In post","2022","Tax","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Tax","Undeclared","Undeclared","540","500","42120","38020"
"In post","2022","Tax","Undeclared","Unknown","120","110","40660","35980"
"In post","2022","Tax","Unknown","Heterosexual / straight","120","110","38420","33430"
"In post","2022","Tax","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Tax","Unknown","Undeclared","70","60","40880","34890"
"In post","2022","Tax","Unknown","Unknown","4380","4200","29490","26820"
"In post","2022","Tax","White","Heterosexual / straight","8980","8500","37520","33370"
"In post","2022","Tax","White","LGBO","770","750","34110","33080"
"In post","2022","Tax","White","Undeclared","630","590","38040","33370"
"In post","2022","Tax","White","Unknown","970","880","36950","33370"
"In post","2022","Unknown","Asian","Heterosexual / straight","1270","1240","38950","34550"
"In post","2022","Unknown","Asian","LGBO","50","50","[c]","[c]"
"In post","2022","Unknown","Asian","Undeclared","60","50","40670","37300"
"In post","2022","Unknown","Asian","Unknown","80","70","35310","31150"
"In post","2022","Unknown","Black","Heterosexual / straight","570","570","39580","35590"
"In post","2022","Unknown","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Mixed","Heterosexual / straight","380","370","42730","37300"
"In post","2022","Unknown","Mixed","LGBO","70","70","41370","38830"
"In post","2022","Unknown","Mixed","Undeclared","40","40","[c]","[c]"
"In post","2022","Unknown","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Heterosexual / straight","90","80","40300","36650"
"In post","2022","Unknown","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Heterosexual / straight","100","90","44010","37120"
"In post","2022","Unknown","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Undeclared","450","430","45900","40520"
"In post","2022","Unknown","Undeclared","Unknown","70","70","38350","33370"
"In post","2022","Unknown","Unknown","Heterosexual / straight","90","90","48230","47490"
"In post","2022","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Undeclared","80","80","45470","40650"
"In post","2022","Unknown","Unknown","Unknown","9180","8960","40700","32000"
"In post","2022","Unknown","White","Heterosexual / straight","15290","14760","43080","37300"
"In post","2022","Unknown","White","LGBO","1520","1500","39820","34550"
"In post","2022","Unknown","White","Undeclared","870","850","43830","39660"
"In post","2022","Unknown","White","Unknown","1860","1740","39590","34600"
"In post","2022","Veterinarian","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Unknown","Unknown","30","30","[c]","[c]"
"In post","2022","Veterinarian","White","Heterosexual / straight","250","240","43750","39330"
"In post","2022","Veterinarian","White","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","White","Undeclared","40","30","[c]","[c]"
"In post","2022","Veterinarian","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Asian","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Black","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Black","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Chinese","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Mixed","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","White","Heterosexual / straight","120","120","39250","37250"
"Leaver CS","2021","Commercial","White","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","White","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Asian","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Black","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Chinese","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Mixed","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","Unknown","70","60","37500","33730"
"Leaver CS","2021","Communications","White","Heterosexual / straight","110","100","38090","33300"
"Leaver CS","2021","Communications","White","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","White","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Asian","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Black","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Chinese","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Mixed","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","White","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","White","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Asian","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Black","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Chinese","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Mixed","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","White","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","White","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","White","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Asian","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Asian","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Black","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Chinese","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Mixed","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Unknown","Unknown","120","120","42310","38500"
"Leaver CS","2021","Digital, Data and Technology","White","Heterosexual / straight","190","180","42770","38700"
"Leaver CS","2021","Digital, Data and Technology","White","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","White","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Asian","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Black","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Chinese","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Mixed","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","White","Heterosexual / straight","50","50","[c]","[c]"
"Leaver CS","2021","Economics","White","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","White","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Asian","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Black","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Black","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Chinese","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Chinese","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Mixed","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Unknown","Unknown","40","30","[c]","[c]"
"Leaver CS","2021","Finance","White","Heterosexual / straight","140","130","41550","37070"
"Leaver CS","2021","Finance","White","LGBO","[c]","[c]","[c]","[c]"
