"Status","Year","Disability","Profession_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Undeclared","Digital, Data and Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data and Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data and Technology","Undeclared","430","420","42100","39060"
"In post","2022","Undeclared","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data and Technology","White","560","550","40450","37640"
"In post","2022","Undeclared","Economics","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Economics","Black","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Economics","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Economics","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Economics","White","50","50","44120","37900"
"In post","2022","Undeclared","Finance","Asian","40","40","[c]","[c]"
"In post","2022","Undeclared","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Undeclared","220","210","41180","37870"
"In post","2022","Undeclared","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","White","360","350","39530","35300"
"In post","2022","Undeclared","Geography","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Geography","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Geography","White","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Black","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Undeclared","120","110","37960","33950"
"In post","2022","Undeclared","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","White","300","290","38000","35820"
"In post","2022","Undeclared","Intelligence Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Intelligence Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Intelligence Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Intelligence Analysis","Undeclared","110","100","36440","33300"
"In post","2022","Undeclared","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Intelligence Analysis","White","160","150","33260","30450"
"In post","2022","Undeclared","Internal Audit","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","Black","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","White","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","International Trade","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","International Trade","Black","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","International Trade","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","International Trade","White","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Knowledge and Information Management","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Knowledge and Information Management","Black","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Knowledge and Information Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Knowledge and Information Management","Undeclared","60","60","36860","33250"
"In post","2022","Undeclared","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Knowledge and Information Management","White","80","80","34880","31990"
"In post","2022","Undeclared","Legal","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Black","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Undeclared","230","220","44230","40180"
"In post","2022","Undeclared","Legal","Unknown","30","30","[c]","[c]"
"In post","2022","Undeclared","Legal","White","230","210","48940","47100"
"In post","2022","Undeclared","Medicine","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Medicine","Black","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Medicine","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Medicine","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Medicine","White","60","50","50520","39630"
"In post","2022","Undeclared","Operational Delivery","Asian","740","680","28210","27570"
"In post","2022","Undeclared","Operational Delivery","Black","510","480","30610","29750"
"In post","2022","Undeclared","Operational Delivery","Mixed","230","220","29260","27570"
"In post","2022","Undeclared","Operational Delivery","Other ethnicity","70","70","29440","28590"
"In post","2022","Undeclared","Operational Delivery","Undeclared","2980","2760","30090","27570"
"In post","2022","Undeclared","Operational Delivery","Unknown","710","640","28950","27570"
"In post","2022","Undeclared","Operational Delivery","White","9660","8770","29090","27570"
"In post","2022","Undeclared","Operational Research","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Operational Research","Black","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Operational Research","White","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other","Asian","60","50","27430","25160"
"In post","2022","Undeclared","Other","Black","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other","Undeclared","430","410","30520","27570"
"In post","2022","Undeclared","Other","Unknown","40","30","[c]","[c]"
"In post","2022","Undeclared","Other","White","1100","1040","27510","26110"
"In post","2022","Undeclared","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Planning","White","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Planning Inspectors","White","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Policy","Asian","120","120","42860","38060"
"In post","2022","Undeclared","Policy","Black","60","60","35620","33570"
"In post","2022","Undeclared","Policy","Mixed","60","60","44280","38630"
"In post","2022","Undeclared","Policy","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Policy","Undeclared","540","530","49380","49360"
"In post","2022","Undeclared","Policy","Unknown","50","50","47400","46380"
"In post","2022","Undeclared","Policy","White","860","840","46420","41900"
"In post","2022","Undeclared","Project Delivery","Asian","50","50","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Undeclared","290","280","45150","41380"
"In post","2022","Undeclared","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","White","380","360","42770","40520"
"In post","2022","Undeclared","Property","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","Black","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","Undeclared","230","220","38630","34000"
"In post","2022","Undeclared","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","White","260","250","38300","35480"
"In post","2022","Undeclared","Psychology","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Psychology","White","100","100","37820","31180"
"In post","2022","Undeclared","Science and Engineering","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Science and Engineering","Black","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Science and Engineering","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Science and Engineering","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Science and Engineering","Undeclared","230","230","40540","39370"
"In post","2022","Undeclared","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Science and Engineering","White","380","360","36580","33000"
"In post","2022","Undeclared","Security","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","Black","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","Undeclared","230","220","36760","39070"
"In post","2022","Undeclared","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","White","490","480","33380","33300"
"In post","2022","Undeclared","Social Research","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Social Research","Black","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Social Research","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Social Research","White","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Statistics","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Statistics","Black","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Statistics","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Statistics","White","50","40","[c]","[c]"
"In post","2022","Undeclared","Tax","Asian","50","50","37340","33440"
"In post","2022","Undeclared","Tax","Black","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Tax","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Tax","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Tax","Undeclared","450","420","42680","40180"
"In post","2022","Undeclared","Tax","Unknown","30","30","[c]","[c]"
"In post","2022","Undeclared","Tax","White","370","350","36830","33370"
"In post","2022","Undeclared","Unknown","Asian","60","60","38220","34550"
"In post","2022","Undeclared","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Undeclared","190","180","44840","39330"
"In post","2022","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","White","490","470","40080","34710"
"In post","2022","Undeclared","Veterinarian","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Veterinarian","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Veterinarian","White","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Asian","40","40","[c]","[c]"
"In post","2022","Unknown","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Undeclared","40","40","[c]","[c]"
"In post","2022","Unknown","Commercial","Unknown","570","550","39230","36820"
"In post","2022","Unknown","Commercial","White","570","540","39530","37290"
"In post","2022","Unknown","Communications","Asian","40","40","[c]","[c]"
"In post","2022","Unknown","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Unknown","630","620","43990","40000"
"In post","2022","Unknown","Communications","White","320","320","41980","38620"
"In post","2022","Unknown","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Corporate Finance","White","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","Unknown","220","220","34550","29290"
"In post","2022","Unknown","Counter Fraud","White","70","60","30660","27570"
"In post","2022","Unknown","Digital, Data and Technology","Asian","220","220","42580","38990"
"In post","2022","Unknown","Digital, Data and Technology","Black","70","70","39630","37210"
"In post","2022","Unknown","Digital, Data and Technology","Mixed","30","30","[c]","[c]"
"In post","2022","Unknown","Digital, Data and Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data and Technology","Undeclared","100","100","41340","38000"
"In post","2022","Unknown","Digital, Data and Technology","Unknown","2510","2480","42440","38500"
"In post","2022","Unknown","Digital, Data and Technology","White","1220","1200","41900","38450"
"In post","2022","Unknown","Economics","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Economics","Black","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Economics","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Economics","Unknown","290","290","42700","35050"
"In post","2022","Unknown","Economics","White","130","130","44640","39010"
"In post","2022","Unknown","Finance","Asian","120","120","38270","36500"
"In post","2022","Unknown","Finance","Black","40","30","[c]","[c]"
"In post","2022","Unknown","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","Undeclared","50","40","[c]","[c]"
"In post","2022","Unknown","Finance","Unknown","960","930","39940","36820"
"In post","2022","Unknown","Finance","White","770","740","39610","36380"
"In post","2022","Unknown","Geography","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Geography","Unknown","110","100","30580","29290"
"In post","2022","Unknown","Geography","White","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Asian","60","60","34170","32000"
"In post","2022","Unknown","Human Resources","Black","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Undeclared","30","30","[c]","[c]"
"In post","2022","Unknown","Human Resources","Unknown","690","670","37230","32790"
"In post","2022","Unknown","Human Resources","White","580","550","35500","32000"
"In post","2022","Unknown","Inspector of Education and Training","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Inspector of Education and Training","White","50","50","57940","51360"
"In post","2022","Unknown","Intelligence Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","Unknown","220","210","33770","30750"
"In post","2022","Unknown","Intelligence Analysis","White","120","120","38330","33720"
"In post","2022","Unknown","Internal Audit","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","White","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","International Trade","Asian","40","40","[c]","[c]"
"In post","2022","Unknown","International Trade","Black","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","International Trade","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","International Trade","Undeclared","50","50","52950","52400"
"In post","2022","Unknown","International Trade","Unknown","340","340","44210","38540"
"In post","2022","Unknown","International Trade","White","130","130","48350","51710"
"In post","2022","Unknown","Knowledge and Information Management","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Knowledge and Information Management","Black","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Knowledge and Information Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Knowledge and Information Management","Unknown","150","140","38010","33950"
"In post","2022","Unknown","Knowledge and Information Management","White","90","90","34850","30590"
"In post","2022","Unknown","Legal","Asian","130","130","46290","48080"
"In post","2022","Unknown","Legal","Black","50","50","42840","38000"
"In post","2022","Unknown","Legal","Mixed","30","30","[c]","[c]"
"In post","2022","Unknown","Legal","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","Undeclared","60","60","46690","43620"
"In post","2022","Unknown","Legal","Unknown","1410","1340","43690","37930"
"In post","2022","Unknown","Legal","White","830","790","46500","48080"
"In post","2022","Unknown","Medicine","Asian","60","60","79600","74240"
"In post","2022","Unknown","Medicine","Black","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Medicine","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Medicine","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Medicine","Undeclared","40","30","[c]","[c]"
"In post","2022","Unknown","Medicine","Unknown","320","280","49840","39330"
"In post","2022","Unknown","Medicine","White","300","260","63020","45840"
"In post","2022","Unknown","Operational Delivery","Asian","1010","940","29940","26820"
"In post","2022","Unknown","Operational Delivery","Black","400","380","31170","28030"
"In post","2022","Unknown","Operational Delivery","Mixed","270","250","31950","28920"
"In post","2022","Unknown","Operational Delivery","Other ethnicity","80","80","31730","28880"
"In post","2022","Unknown","Operational Delivery","Undeclared","860","800","33110","32330"
"In post","2022","Unknown","Operational Delivery","Unknown","28000","26290","27520","24880"
"In post","2022","Unknown","Operational Delivery","White","10360","9570","31920","28840"
"In post","2022","Unknown","Operational Research","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Research","Black","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Research","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Research","Unknown","80","80","40980","36800"
"In post","2022","Unknown","Operational Research","White","30","30","[c]","[c]"
"In post","2022","Unknown","Other","Asian","140","140","33810","29290"
"In post","2022","Unknown","Other","Black","50","50","32080","28100"
"In post","2022","Unknown","Other","Mixed","40","40","[c]","[c]"
"In post","2022","Unknown","Other","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other","Undeclared","130","120","32600","28800"
"In post","2022","Unknown","Other","Unknown","3610","3540","35260","32700"
"In post","2022","Unknown","Other","White","1730","1650","32080","26670"
"In post","2022","Unknown","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning","White","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning Inspectors","Unknown","40","30","[c]","[c]"
"In post","2022","Unknown","Planning Inspectors","White","30","30","[c]","[c]"
"In post","2022","Unknown","Policy","Asian","250","250","42460","39360"
"In post","2022","Unknown","Policy","Black","130","130","42650","38780"
"In post","2022","Unknown","Policy","Mixed","110","110","45810","45250"
"In post","2022","Unknown","Policy","Other ethnicity","40","30","[c]","[c]"
"In post","2022","Unknown","Policy","Undeclared","100","100","47000","43840"
"In post","2022","Unknown","Policy","Unknown","3500","3440","45750","41950"
"In post","2022","Unknown","Policy","White","1630","1590","45860","40650"
"In post","2022","Unknown","Project Delivery","Asian","80","80","43270","40520"
"In post","2022","Unknown","Project Delivery","Black","40","40","[c]","[c]"
"In post","2022","Unknown","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Project Delivery","Undeclared","50","50","45800","41920"
"In post","2022","Unknown","Project Delivery","Unknown","1160","1130","43630","40180"
"In post","2022","Unknown","Project Delivery","White","780","750","44670","40580"
"In post","2022","Unknown","Property","Asian","40","30","[c]","[c]"
"In post","2022","Unknown","Property","Black","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Property","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Property","Undeclared","30","30","[c]","[c]"
"In post","2022","Unknown","Property","Unknown","750","720","34260","30600"
"In post","2022","Unknown","Property","White","400","380","34750","33000"
"In post","2022","Unknown","Psychology","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Psychology","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Psychology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Psychology","Unknown","140","130","31800","29060"
"In post","2022","Unknown","Psychology","White","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Science and Engineering","Asian","110","110","41650","40560"
"In post","2022","Unknown","Science and Engineering","Black","40","40","[c]","[c]"
"In post","2022","Unknown","Science and Engineering","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Science and Engineering","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Science and Engineering","Undeclared","180","160","46000","42620"
"In post","2022","Unknown","Science and Engineering","Unknown","400","390","34460","30410"
"In post","2022","Unknown","Science and Engineering","White","1030","980","42850","40580"
"In post","2022","Unknown","Security","Asian","40","40","[c]","[c]"
"In post","2022","Unknown","Security","Black","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Security","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Security","Undeclared","40","40","[c]","[c]"
"In post","2022","Unknown","Security","Unknown","920","910","31710","27700"
"In post","2022","Unknown","Security","White","850","830","31990","31980"
"In post","2022","Unknown","Social Research","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Social Research","Black","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Social Research","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Social Research","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Social Research","Unknown","140","140","39870","38130"
"In post","2022","Unknown","Social Research","White","170","170","37700","38340"
"In post","2022","Unknown","Statistics","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Statistics","Black","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Statistics","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Statistics","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Statistics","Unknown","240","240","38600","36600"
"In post","2022","Unknown","Statistics","White","190","190","41320","38340"
"In post","2022","Unknown","Tax","Asian","240","230","34830","33370"
"In post","2022","Unknown","Tax","Black","60","60","33350","33080"
"In post","2022","Unknown","Tax","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Tax","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Tax","Undeclared","90","80","39990","35680"
"In post","2022","Unknown","Tax","Unknown","4380","4200","29480","26820"
"In post","2022","Unknown","Tax","White","720","670","36260","33370"
"In post","2022","Unknown","Unknown","Asian","110","110","38280","34550"
"In post","2022","Unknown","Unknown","Black","50","50","[c]","[c]"
"In post","2022","Unknown","Unknown","Mixed","50","40","[c]","[c]"
"In post","2022","Unknown","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Undeclared","70","70","45220","39530"
"In post","2022","Unknown","Unknown","Unknown","9080","8860","40610","32000"
"In post","2022","Unknown","Unknown","White","2270","2170","43580","39660"
"In post","2022","Unknown","Veterinarian","Unknown","30","30","[c]","[c]"
"In post","2022","Unknown","Veterinarian","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Commercial","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Commercial","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Commercial","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Commercial","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Commercial","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Communications","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Communications","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Communications","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Communications","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Communications","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Corporate Finance","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Corporate Finance","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Corporate Finance","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Corporate Finance","Mixed","[c]","[c]","[c]","[c]"
