"Status","Year","Function_of_post","Disability","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Security","Unknown","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Unknown","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Unknown","UK Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Unknown","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Department for Work and Pensions (excl. agencies)","130","110","25700","24250"
"Leaver CS","2022","Unknown","Declared disabled","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","HM Revenue and Customs (excl. agencies)","410","330","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Home Office","200","160","31110","27240"
"Leaver CS","2022","Unknown","Declared disabled","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Ministry of Defence (excl. agencies)","200","180","27900","22360"
"Leaver CS","2022","Unknown","Declared disabled","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Scottish Government (excl. agencies)","40","30","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Department for Work and Pensions (excl. agencies)","570","510","27220","26120"
"Leaver CS","2022","Unknown","Declared non-disabled","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","120","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Forestry and Land Scotland","110","100","30040","27360"
"Leaver CS","2022","Unknown","Declared non-disabled","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","HM Revenue and Customs (excl. agencies)","2340","1960","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Home Office","1420","1190","32030","27250"
"Leaver CS","2022","Unknown","Declared non-disabled","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Ministry of Defence (excl. agencies)","1160","1090","29690","25390"
"Leaver CS","2022","Unknown","Declared non-disabled","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Scottish Government (excl. agencies)","170","160","47130","39660"
"Leaver CS","2022","Unknown","Declared non-disabled","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Welsh Government (excl. agencies)","200","180","42330","37410"
"Leaver CS","2022","Unknown","Declared non-disabled","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Department for Work and Pensions (excl. agencies)","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","HM Revenue and Customs (excl. agencies)","220","190","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Home Office","90","80","33850","30550"
"Leaver CS","2022","Unknown","Undeclared","Ministry of Defence (excl. agencies)","130","130","29570","23280"
"Leaver CS","2022","Unknown","Undeclared","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Department for Work and Pensions (excl. agencies)","570","560","26080","27570"
"Leaver CS","2022","Unknown","Unknown","Department of Health and Social Care (excl. agencies)","60","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","50","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","HM Revenue and Customs (excl. agencies)","1560","1350","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Home Office","370","360","31400","28330"
"Leaver CS","2022","Unknown","Unknown","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Ministry of Defence (excl. agencies)","370","340","31860","27200"
"Leaver CS","2022","Unknown","Unknown","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Royal Fleet Auxiliary","240","240","36010","33270"
"Leaver CS","2022","Unknown","Unknown","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Scottish Government (excl. agencies)","200","190","37390","31540"
"Leaver CS","2022","Unknown","Unknown","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","UK Space Agency","30","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared disabled","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Ministry of Housing, Communities and Local Government (excl. agencies)","30","30","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Undeclared","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Undeclared","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Undeclared","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Undeclared","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Undeclared","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Undeclared","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
