"Status","Year","Function_of_post","Responsibility_level","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Project Delivery","SCS","Declared non-disabled","470","450","92650","84220"
"In post","2022","Project Delivery","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","SCS","Unknown","80","70","93180","85380"
"In post","2022","Project Delivery","SEO/HEO","Declared disabled","1320","1260","36500","36460"
"In post","2022","Project Delivery","SEO/HEO","Declared non-disabled","9260","8900","36610","36910"
"In post","2022","Project Delivery","SEO/HEO","Undeclared","760","720","37250","37930"
"In post","2022","Project Delivery","SEO/HEO","Unknown","1710","1640","37250","37930"
"In post","2022","Project Delivery","Unknown","Declared disabled","160","160","39430","36550"
"In post","2022","Project Delivery","Unknown","Declared non-disabled","1150","1120","41100","39760"
"In post","2022","Project Delivery","Unknown","Undeclared","110","110","44020","41650"
"In post","2022","Project Delivery","Unknown","Unknown","190","190","40550","37450"
"In post","2022","Property","AA/AO","Declared disabled","150","140","21830","22010"
"In post","2022","Property","AA/AO","Declared non-disabled","940","870","21070","21840"
"In post","2022","Property","AA/AO","Undeclared","100","90","21170","21960"
"In post","2022","Property","AA/AO","Unknown","650","620","22070","21750"
"In post","2022","Property","EO","Declared disabled","160","150","26630","26670"
"In post","2022","Property","EO","Declared non-disabled","1210","1140","26740","26880"
"In post","2022","Property","EO","Undeclared","140","130","26930","26950"
"In post","2022","Property","EO","Unknown","400","390","26860","26350"
"In post","2022","Property","G6/G7","Declared disabled","140","140","57730","56170"
"In post","2022","Property","G6/G7","Declared non-disabled","1270","1240","58610","57150"
"In post","2022","Property","G6/G7","Undeclared","100","100","59490","58250"
"In post","2022","Property","G6/G7","Unknown","220","210","57220","55000"
"In post","2022","Property","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Property","SCS","Declared non-disabled","80","80","90130","82120"
"In post","2022","Property","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Property","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Property","SEO/HEO","Declared disabled","310","290","36880","34640"
"In post","2022","Property","SEO/HEO","Declared non-disabled","2740","2630","37640","36460"
"In post","2022","Property","SEO/HEO","Undeclared","290","280","38600","37300"
"In post","2022","Property","SEO/HEO","Unknown","570","550","37220","36720"
"In post","2022","Property","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Property","Unknown","Declared non-disabled","40","40","[c]","[c]"
"In post","2022","Property","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Security","AA/AO","Declared disabled","360","340","26570","21850"
"In post","2022","Security","AA/AO","Declared non-disabled","3390","3310","26120","21830"
"In post","2022","Security","AA/AO","Undeclared","420","410","28020","22810"
"In post","2022","Security","AA/AO","Unknown","1480","1460","28570","25000"
"In post","2022","Security","EO","Declared disabled","170","160","30590","27570"
"In post","2022","Security","EO","Declared non-disabled","960","930","31730","28670"
"In post","2022","Security","EO","Undeclared","130","120","35460","33240"
"In post","2022","Security","EO","Unknown","260","250","30760","27500"
"In post","2022","Security","G6/G7","Declared disabled","50","50","[c]","[c]"
"In post","2022","Security","G6/G7","Declared non-disabled","410","400","59500","58040"
"In post","2022","Security","G6/G7","Undeclared","40","40","[c]","[c]"
"In post","2022","Security","G6/G7","Unknown","110","100","58390","55640"
"In post","2022","Security","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Security","SCS","Declared non-disabled","40","40","[c]","[c]"
"In post","2022","Security","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Security","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Security","SEO/HEO","Declared disabled","260","260","37990","36460"
"In post","2022","Security","SEO/HEO","Declared non-disabled","1780","1740","38860","37280"
"In post","2022","Security","SEO/HEO","Undeclared","260","260","41070","39200"
"In post","2022","Security","SEO/HEO","Unknown","370","360","37960","36680"
"In post","2022","Security","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Security","Unknown","Declared non-disabled","130","130","32850","28610"
"In post","2022","Security","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","AA/AO","Declared disabled","1860","1700","22060","21680"
"In post","2022","Unknown","AA/AO","Declared non-disabled","12850","11820","22210","21680"
"In post","2022","Unknown","AA/AO","Undeclared","910","850","21770","21680"
"In post","2022","Unknown","AA/AO","Unknown","3420","3270","22310","21680"
"In post","2022","Unknown","EO","Declared disabled","1900","1770","27610","27230"
"In post","2022","Unknown","EO","Declared non-disabled","15930","14880","27470","27230"
"In post","2022","Unknown","EO","Undeclared","1050","970","27700","27370"
"In post","2022","Unknown","EO","Unknown","4190","4010","27450","27230"
"In post","2022","Unknown","G6/G7","Declared disabled","740","720","61460","59730"
"In post","2022","Unknown","G6/G7","Declared non-disabled","6900","6640","62120","61440"
"In post","2022","Unknown","G6/G7","Undeclared","380","370","62110","60310"
"In post","2022","Unknown","G6/G7","Unknown","2160","2080","62450","61440"
"In post","2022","Unknown","SCS","Declared disabled","80","70","89360","83230"
"In post","2022","Unknown","SCS","Declared non-disabled","760","740","88770","82810"
"In post","2022","Unknown","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SCS","Unknown","160","160","94100","84710"
"In post","2022","Unknown","SEO/HEO","Declared disabled","2010","1930","37610","36650"
"In post","2022","Unknown","SEO/HEO","Declared non-disabled","16920","16330","38030","37460"
"In post","2022","Unknown","SEO/HEO","Undeclared","1140","1100","37690","37000"
"In post","2022","Unknown","SEO/HEO","Unknown","4230","4110","38810","38160"
"In post","2022","Unknown","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Declared non-disabled","50","50","[c]","[c]"
"In post","2022","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Unknown","2000","2000","37350","34160"
"Leaver CS","2021","Analysis","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","AA/AO","Declared non-disabled","40","40","[c]","[c]"
"Leaver CS","2021","Analysis","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","AA/AO","Unknown","60","60","20240","19130"
"Leaver CS","2021","Analysis","EO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","EO","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","G6/G7","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","SEO/HEO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","SEO/HEO","Declared non-disabled","50","40","[c]","[c]"
"Leaver CS","2021","Analysis","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","SEO/HEO","Unknown","40","30","[c]","[c]"
"Leaver CS","2021","Commercial","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","AA/AO","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","EO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","EO","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","G6/G7","Declared non-disabled","40","30","[c]","[c]"
"Leaver CS","2021","Commercial","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","G6/G7","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Commercial","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","SEO/HEO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","SEO/HEO","Declared non-disabled","60","60","38490","37430"
"Leaver CS","2021","Commercial","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","AA/AO","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","EO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","EO","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Declared non-disabled","70","70","35760","34140"
"Leaver CS","2021","Communications","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Counter Fraud","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","AA/AO","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","EO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","EO","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","G6/G7","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SEO/HEO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SEO/HEO","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","G6/G7","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","SEO/HEO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","SEO/HEO","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AA/AO","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","EO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","EO","Declared non-disabled","40","40","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","EO","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","Declared non-disabled","50","50","59940","59740"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","Unknown","50","50","58670","57280"
"Leaver CS","2021","Digital, Data & Technology","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","Declared non-disabled","80","80","37970","38360"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","Unknown","60","60","37710","37890"
"Leaver CS","2021","Digital, Data & Technology","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","Declared non-disabled","40","40","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Declared non-disabled","70","60","39630","39060"
"Leaver CS","2021","Finance","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","AA/AO","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","AA/AO","Unknown","50","40","[c]","[c]"
"Leaver CS","2021","Grants Management","EO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","EO","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","G6/G7","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","SEO/HEO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","SEO/HEO","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","Declared non-disabled","40","40","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","Declared non-disabled","30","30","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","Declared non-disabled","40","40","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SCS","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","Declared non-disabled","70","70","38790","38570"
"Leaver CS","2021","Human Resources","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","EO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","EO","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","G6/G7","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","SEO/HEO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","SEO/HEO","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","AA/AO","Declared non-disabled","50","50","23030","23470"
"Leaver CS","2021","Legal","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","AA/AO","Unknown","90","80","21360","20850"
"Leaver CS","2021","Legal","EO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","EO","Declared non-disabled","50","40","[c]","[c]"
"Leaver CS","2021","Legal","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","EO","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Legal","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","G6/G7","Declared non-disabled","170","140","59170","55610"
"Leaver CS","2021","Legal","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","G6/G7","Unknown","60","50","58300","55000"
"Leaver CS","2021","Legal","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","SEO/HEO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","SEO/HEO","Declared non-disabled","90","70","42310","43160"
"Leaver CS","2021","Legal","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","SEO/HEO","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","No function","AA/AO","Declared disabled","460","400","19890","19830"
"Leaver CS","2021","No function","AA/AO","Declared non-disabled","2640","2370","20390","20100"
"Leaver CS","2021","No function","AA/AO","Undeclared","490","400","20650","20100"
"Leaver CS","2021","No function","AA/AO","Unknown","1530","1440","20740","20810"
"Leaver CS","2021","No function","EO","Declared disabled","140","120","27930","26780"
"Leaver CS","2021","No function","EO","Declared non-disabled","630","560","26430","26470"
"Leaver CS","2021","No function","EO","Undeclared","100","90","[c]","[c]"
"Leaver CS","2021","No function","EO","Unknown","350","330","27950","27020"
"Leaver CS","2021","No function","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","G6/G7","Declared non-disabled","360","330","60400","57940"
"Leaver CS","2021","No function","G6/G7","Undeclared","50","40","[c]","[c]"
"Leaver CS","2021","No function","G6/G7","Unknown","170","160","59440","56500"
"Leaver CS","2021","No function","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","SCS","Declared non-disabled","90","80","107620","104580"
"Leaver CS","2021","No function","SCS","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","SCS","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","No function","SEO/HEO","Declared disabled","120","110","35690","33840"
"Leaver CS","2021","No function","SEO/HEO","Declared non-disabled","790","710","37460","35910"
"Leaver CS","2021","No function","SEO/HEO","Undeclared","130","120","36520","34530"
"Leaver CS","2021","No function","SEO/HEO","Unknown","380","360","36400","35590"
"Leaver CS","2021","No function","Unknown","Declared disabled","140","120","[c]","[c]"
"Leaver CS","2021","No function","Unknown","Declared non-disabled","400","340","[c]","[c]"
"Leaver CS","2021","No function","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","Unknown","Unknown","100","80","[c]","[c]"
"Leaver CS","2021","Project Delivery","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","AA/AO","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","EO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","EO","Declared non-disabled","110","100","23220","22780"
"Leaver CS","2021","Project Delivery","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","EO","Unknown","60","50","19670","19000"
"Leaver CS","2021","Project Delivery","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","G6/G7","Declared non-disabled","90","80","60000","56840"
"Leaver CS","2021","Project Delivery","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","G6/G7","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Project Delivery","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","SEO/HEO","Declared disabled","40","40","[c]","[c]"
"Leaver CS","2021","Project Delivery","SEO/HEO","Declared non-disabled","260","250","36380","36630"
"Leaver CS","2021","Project Delivery","SEO/HEO","Undeclared","30","30","[c]","[c]"
"Leaver CS","2021","Project Delivery","SEO/HEO","Unknown","60","50","36940","36920"
"Leaver CS","2021","Project Delivery","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","AA/AO","Declared non-disabled","90","80","21230","21010"
"Leaver CS","2021","Property","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","AA/AO","Unknown","80","70","20560","19850"
"Leaver CS","2021","Property","EO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","EO","Declared non-disabled","90","80","26970","26150"
"Leaver CS","2021","Property","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","EO","Unknown","50","40","25590","25100"
"Leaver CS","2021","Property","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","G6/G7","Declared non-disabled","30","30","[c]","[c]"
"Leaver CS","2021","Property","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SEO/HEO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SEO/HEO","Declared non-disabled","100","90","38020","36460"
"Leaver CS","2021","Property","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
