"Status","Year","Responsibility_level","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Unknown","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Project Delivery","Undeclared","50","50","[c]","[c]"
"In post","2022","Unknown","Project Delivery","Unknown","30","30","[c]","[c]"
"In post","2022","Unknown","Property","Heterosexual / straight","40","40","[c]","[c]"
"In post","2022","Unknown","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Psychology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Psychology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Science and Engineering","Heterosexual / straight","610","610","41280","39860"
"In post","2022","Unknown","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Science and Engineering","Undeclared","90","90","43850","43180"
"In post","2022","Unknown","Science and Engineering","Unknown","70","70","36820","32710"
"In post","2022","Unknown","Security","Heterosexual / straight","150","140","32470","29680"
"In post","2022","Unknown","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Commercial","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Communications","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Economics","Heterosexual / straight","40","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Economics","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Economics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Economics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Finance","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Human Resources","Heterosexual / straight","50","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Intelligence Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","International Trade","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","International Trade","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Legal","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Medicine","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Medicine","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Medicine","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Operational Delivery","Heterosexual / straight","2740","2430","20670","20650"
"Leaver CS","2021","AA/AO","Operational Delivery","LGBO","180","170","20460","19940"
"Leaver CS","2021","AA/AO","Operational Delivery","Undeclared","450","380","20730","20420"
"Leaver CS","2021","AA/AO","Operational Delivery","Unknown","1840","1660","20640","20650"
"Leaver CS","2021","AA/AO","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Other","Heterosexual / straight","340","320","20670","20920"
"Leaver CS","2021","AA/AO","Other","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Other","Undeclared","60","60","20860","20920"
"Leaver CS","2021","AA/AO","Other","Unknown","70","70","21310","20810"
"Leaver CS","2021","AA/AO","Planning Inspectors","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Planning Inspectors","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Policy","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Policy","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Policy","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Property","Heterosexual / straight","40","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Property","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Property","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Property","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","AA/AO","Psychology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Psychology","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Psychology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Science and Engineering","Heterosexual / straight","130","130","20130","20150"
"Leaver CS","2021","AA/AO","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Science and Engineering","Unknown","70","60","21010","21050"
"Leaver CS","2021","AA/AO","Security","Heterosexual / straight","200","190","27380","21830"
"Leaver CS","2021","AA/AO","Security","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Security","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Security","Unknown","70","70","26880","24970"
"Leaver CS","2021","AA/AO","Social Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Social Research","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Social Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Statistics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Statistics","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Statistics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Unknown","Heterosexual / straight","1470","1270","21330","21010"
"Leaver CS","2021","AA/AO","Unknown","LGBO","100","90","21700","21010"
"Leaver CS","2021","AA/AO","Unknown","Undeclared","170","130","21140","21010"
"Leaver CS","2021","AA/AO","Unknown","Unknown","3360","2700","21230","21010"
"Leaver CS","2021","EO","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Commercial","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Communications","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Digital, Data and Technology","Heterosexual / straight","40","40","[c]","[c]"
"Leaver CS","2021","EO","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Digital, Data and Technology","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","EO","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Economics","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Economics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Finance","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Human Resources","Heterosexual / straight","30","30","[c]","[c]"
"Leaver CS","2021","EO","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Intelligence Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","International Trade","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","International Trade","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Legal","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Medicine","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Medicine","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Medicine","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Operational Delivery","Heterosexual / straight","730","650","27010","26700"
"Leaver CS","2021","EO","Operational Delivery","LGBO","40","30","[c]","[c]"
"Leaver CS","2021","EO","Operational Delivery","Undeclared","180","150","27610","26780"
"Leaver CS","2021","EO","Operational Delivery","Unknown","330","300","27920","26410"
"Leaver CS","2021","EO","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Other","Heterosexual / straight","290","280","27460","27580"
"Leaver CS","2021","EO","Other","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Other","Undeclared","40","40","[c]","[c]"
"Leaver CS","2021","EO","Other","Unknown","90","90","25850","26930"
"Leaver CS","2021","EO","Planning","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Planning","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Planning Inspectors","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Planning Inspectors","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Policy","Heterosexual / straight","50","50","[c]","[c]"
"Leaver CS","2021","EO","Policy","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Policy","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Policy","Unknown","70","70","23200","24920"
"Leaver CS","2021","EO","Project Delivery","Heterosexual / straight","40","40","[c]","[c]"
"Leaver CS","2021","EO","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Property","Heterosexual / straight","70","60","26050","25970"
"Leaver CS","2021","EO","Property","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Property","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Property","Unknown","60","50","25670","25500"
"Leaver CS","2021","EO","Psychology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Psychology","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Psychology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Science and Engineering","Heterosexual / straight","80","80","24500","25190"
"Leaver CS","2021","EO","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Security","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Security","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Social Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Social Research","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Social Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Statistics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Statistics","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Statistics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Heterosexual / straight","1120","940","27730","27570"
"Leaver CS","2021","EO","Unknown","LGBO","70","70","27490","27570"
"Leaver CS","2021","EO","Unknown","Undeclared","160","130","27690","27570"
"Leaver CS","2021","EO","Unknown","Unknown","2160","1760","28220","27570"
"Leaver CS","2021","G6/G7","Commercial","Heterosexual / straight","30","30","[c]","[c]"
"Leaver CS","2021","G6/G7","Commercial","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Communications","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Digital, Data and Technology","Heterosexual / straight","60","50","60240","58550"
"Leaver CS","2021","G6/G7","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Digital, Data and Technology","Unknown","50","40","[c]","[c]"
"Leaver CS","2021","G6/G7","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Economics","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Economics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Finance","Heterosexual / straight","40","40","[c]","[c]"
"Leaver CS","2021","G6/G7","Finance","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Human Resources","Heterosexual / straight","40","40","[c]","[c]"
"Leaver CS","2021","G6/G7","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Inspector of Education and Training","Heterosexual / straight","40","30","[c]","[c]"
"Leaver CS","2021","G6/G7","Inspector of Education and Training","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Intelligence Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","International Trade","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","International Trade","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Legal","Heterosexual / straight","150","130","57930","55610"
"Leaver CS","2021","G6/G7","Legal","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Legal","Unknown","70","60","60500","55610"
"Leaver CS","2021","G6/G7","Medicine","Heterosexual / straight","40","30","[c]","[c]"
"Leaver CS","2021","G6/G7","Medicine","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Medicine","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Operational Delivery","Heterosexual / straight","160","150","60020","56870"
"Leaver CS","2021","G6/G7","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Operational Delivery","Undeclared","30","30","[c]","[c]"
"Leaver CS","2021","G6/G7","Operational Delivery","Unknown","70","70","58820","57000"
"Leaver CS","2021","G6/G7","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Other","Heterosexual / straight","30","30","[c]","[c]"
"Leaver CS","2021","G6/G7","Other","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Other","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Other","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Planning","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Planning","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Planning Inspectors","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Planning Inspectors","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Policy","Heterosexual / straight","140","130","59520","57600"
"Leaver CS","2021","G6/G7","Policy","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Policy","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Policy","Unknown","90","80","57420","55060"
"Leaver CS","2021","G6/G7","Project Delivery","Heterosexual / straight","70","70","58910","55860"
"Leaver CS","2021","G6/G7","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Property","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Property","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Psychology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Psychology","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Science and Engineering","Heterosexual / straight","50","40","55520","53030"
"Leaver CS","2021","G6/G7","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Security","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Social Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Social Research","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Statistics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Statistics","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Statistics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Heterosexual / straight","230","200","60710","59700"
