"Status","Year","Parent_department","Profession_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department for Education","Communications","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Communications","20-29","90","90","32870","29360"
"In post","2021","Department for Education","Communications","30-39","70","70","40760","38830"
"In post","2021","Department for Education","Communications","40-49","90","80","43820","42220"
"In post","2021","Department for Education","Communications","50-59","60","60","40100","36780"
"In post","2021","Department for Education","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Corporate Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Digital, Data and Technology","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Digital, Data and Technology","20-29","190","190","34790","32940"
"In post","2021","Department for Education","Digital, Data and Technology","30-39","250","240","41090","37100"
"In post","2021","Department for Education","Digital, Data and Technology","40-49","250","240","42890","40230"
"In post","2021","Department for Education","Digital, Data and Technology","50-59","170","170","40310","37100"
"In post","2021","Department for Education","Digital, Data and Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Digital, Data and Technology","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Finance","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Finance","20-29","140","140","35160","32940"
"In post","2021","Department for Education","Finance","30-39","210","200","43500","40940"
"In post","2021","Department for Education","Finance","40-49","230","220","44280","42580"
"In post","2021","Department for Education","Finance","50-59","170","170","44750","42520"
"In post","2021","Department for Education","Finance","60-64","30","30","[c]","[c]"
"In post","2021","Department for Education","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Human Resources","20-29","40","40","[c]","[c]"
"In post","2021","Department for Education","Human Resources","30-39","40","40","[c]","[c]"
"In post","2021","Department for Education","Human Resources","40-49","40","40","[c]","[c]"
"In post","2021","Department for Education","Human Resources","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Intelligence Analysis","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Legal","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Legal","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Legal","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Legal","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Legal","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Legal","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Operational Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Operational Delivery","20-29","270","270","32040","29730"
"In post","2021","Department for Education","Operational Delivery","30-39","410","390","39920","36780"
"In post","2021","Department for Education","Operational Delivery","40-49","450","430","45460","40940"
"In post","2021","Department for Education","Operational Delivery","50-59","400","390","45570","40300"
"In post","2021","Department for Education","Operational Delivery","60-64","60","50","43280","40300"
"In post","2021","Department for Education","Operational Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Other","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Planning","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Planning","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Policy","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Policy","20-29","740","730","38190","36500"
"In post","2021","Department for Education","Policy","30-39","900","860","47360","49860"
"In post","2021","Department for Education","Policy","40-49","740","690","51000","50400"
"In post","2021","Department for Education","Policy","50-59","550","530","48340","44460"
"In post","2021","Department for Education","Policy","60-64","80","80","44140","40940"
"In post","2021","Department for Education","Policy","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Property","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Property","20-29","60","60","32190","29360"
"In post","2021","Department for Education","Property","30-39","130","120","47090","49860"
"In post","2021","Department for Education","Property","40-49","160","160","54870","54400"
"In post","2021","Department for Education","Property","50-59","170","160","54730","61010"
"In post","2021","Department for Education","Property","60-64","30","30","[c]","[c]"
"In post","2021","Department for Education","Property","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Security","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Security","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Security","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Security","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Security","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Commercial","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Commercial","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Commercial","30-39","40","30","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Commercial","40-49","50","50","39110","37240"
"In post","2021","Department for Environment, Food and Rural Affairs","Commercial","50-59","50","40","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Commercial","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Communications","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Communications","20-29","50","50","34710","33120"
"In post","2021","Department for Environment, Food and Rural Affairs","Communications","30-39","80","70","43280","39670"
"In post","2021","Department for Environment, Food and Rural Affairs","Communications","40-49","90","80","44380","37790"
"In post","2021","Department for Environment, Food and Rural Affairs","Communications","50-59","40","40","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Corporate Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Corporate Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Corporate Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Corporate Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Corporate Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","20-29","50","50","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","30-39","140","140","41680","39420"
"In post","2021","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","40-49","240","230","43840","45300"
"In post","2021","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","50-59","220","220","46000","47630"
"In post","2021","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","60-64","40","40","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Economics","20-29","90","90","35640","33120"
"In post","2021","Department for Environment, Food and Rural Affairs","Economics","30-39","40","40","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Economics","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Economics","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Economics","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Economics","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Finance","20-29","30","30","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Finance","30-39","70","70","42350","37940"
"In post","2021","Department for Environment, Food and Rural Affairs","Finance","40-49","140","130","44450","40030"
"In post","2021","Department for Environment, Food and Rural Affairs","Finance","50-59","120","120","44430","40080"
"In post","2021","Department for Environment, Food and Rural Affairs","Finance","60-64","30","30","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Human Resources","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Human Resources","30-39","60","50","40540","36970"
"In post","2021","Department for Environment, Food and Rural Affairs","Human Resources","40-49","100","90","42870","38060"
"In post","2021","Department for Environment, Food and Rural Affairs","Human Resources","50-59","80","80","47560","48370"
"In post","2021","Department for Environment, Food and Rural Affairs","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Operational Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Operational Delivery","20-29","620","610","24010","22430"
"In post","2021","Department for Environment, Food and Rural Affairs","Operational Delivery","30-39","740","680","26020","24920"
"In post","2021","Department for Environment, Food and Rural Affairs","Operational Delivery","40-49","1080","980","27600","25190"
"In post","2021","Department for Environment, Food and Rural Affairs","Operational Delivery","50-59","1000","940","28830","26320"
"In post","2021","Department for Environment, Food and Rural Affairs","Operational Delivery","60-64","310","270","27380","25190"
"In post","2021","Department for Environment, Food and Rural Affairs","Operational Delivery","65+","90","70","27570","25330"
"In post","2021","Department for Environment, Food and Rural Affairs","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Operational Research","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Operational Research","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Operational Research","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Other","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Other","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Other","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Other","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Planning","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Policy","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Policy","20-29","730","720","35560","32680"
"In post","2021","Department for Environment, Food and Rural Affairs","Policy","30-39","680","650","44470","39680"
"In post","2021","Department for Environment, Food and Rural Affairs","Policy","40-49","560","530","49560","48990"
"In post","2021","Department for Environment, Food and Rural Affairs","Policy","50-59","430","420","45610","40200"
"In post","2021","Department for Environment, Food and Rural Affairs","Policy","60-64","60","60","43290","36210"
"In post","2021","Department for Environment, Food and Rural Affairs","Policy","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Project Delivery","20-29","50","50","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Project Delivery","30-39","90","90","39600","36210"
"In post","2021","Department for Environment, Food and Rural Affairs","Project Delivery","40-49","140","130","42530","37230"
"In post","2021","Department for Environment, Food and Rural Affairs","Project Delivery","50-59","100","100","41980","37280"
"In post","2021","Department for Environment, Food and Rural Affairs","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Property","20-29","40","40","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Property","30-39","90","80","34590","35900"
"In post","2021","Department for Environment, Food and Rural Affairs","Property","40-49","100","100","38970","36110"
"In post","2021","Department for Environment, Food and Rural Affairs","Property","50-59","130","120","39720","35900"
"In post","2021","Department for Environment, Food and Rural Affairs","Property","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Property","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Science and Engineering","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Science and Engineering","20-29","190","190","27270","24920"
"In post","2021","Department for Environment, Food and Rural Affairs","Science and Engineering","30-39","320","300","32720","30040"
"In post","2021","Department for Environment, Food and Rural Affairs","Science and Engineering","40-49","330","310","36700","33790"
"In post","2021","Department for Environment, Food and Rural Affairs","Science and Engineering","50-59","360","340","37360","34630"
"In post","2021","Department for Environment, Food and Rural Affairs","Science and Engineering","60-64","90","80","33930","29850"
"In post","2021","Department for Environment, Food and Rural Affairs","Science and Engineering","65+","30","20","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Social Research","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Social Research","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Social Research","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Social Research","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Social Research","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Statistics","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Statistics","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Statistics","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Statistics","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Statistics","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Statistics","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Veterinarian","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Veterinarian","30-39","100","90","39390","37240"
"In post","2021","Department for Environment, Food and Rural Affairs","Veterinarian","40-49","150","140","44060","38300"
"In post","2021","Department for Environment, Food and Rural Affairs","Veterinarian","50-59","90","90","52930","51760"
"In post","2021","Department for Environment, Food and Rural Affairs","Veterinarian","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Veterinarian","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Commercial","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Commercial","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Commercial","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Commercial","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Commercial","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Communications","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Communications","20-29","50","50","33330","32120"
"In post","2021","Department for International Trade","Communications","30-39","40","40","[c]","[c]"
"In post","2021","Department for International Trade","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Digital, Data and Technology","20-29","40","40","[c]","[c]"
"In post","2021","Department for International Trade","Digital, Data and Technology","30-39","40","40","[c]","[c]"
"In post","2021","Department for International Trade","Digital, Data and Technology","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Digital, Data and Technology","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Digital, Data and Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Digital, Data and Technology","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Economics","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Economics","20-29","100","100","36900","31800"
"In post","2021","Department for International Trade","Economics","30-39","30","30","[c]","[c]"
"In post","2021","Department for International Trade","Economics","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Economics","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Human Resources","20-29","50","50","39060","32120"
"In post","2021","Department for International Trade","Human Resources","30-39","30","30","[c]","[c]"
"In post","2021","Department for International Trade","Human Resources","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Human Resources","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","20-29","420","410","38160","35560"
"In post","2021","Department for International Trade","International Trade","30-39","390","380","51300","51970"
"In post","2021","Department for International Trade","International Trade","40-49","230","220","53860","52400"
"In post","2021","Department for International Trade","International Trade","50-59","220","220","53540","51970"
"In post","2021","Department for International Trade","International Trade","60-64","40","30","[c]","[c]"
"In post","2021","Department for International Trade","International Trade","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Knowledge and Information Management","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Knowledge and Information Management","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Knowledge and Information Management","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Knowledge and Information Management","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Legal","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Legal","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Legal","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Legal","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Operational Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Operational Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Operational Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Operational Delivery","50-59","50","50","[c]","[c]"
"In post","2021","Department for International Trade","Operational Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Operational Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Operational Research","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Operational Research","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Other","20-29","80","80","35140","32120"
"In post","2021","Department for International Trade","Other","30-39","30","30","[c]","[c]"
"In post","2021","Department for International Trade","Other","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Other","50-59","40","30","[c]","[c]"
"In post","2021","Department for International Trade","Other","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Other","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Planning","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Planning","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Planning","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Policy","20-29","100","100","38650","35560"
"In post","2021","Department for International Trade","Policy","30-39","70","70","50390","51970"
"In post","2021","Department for International Trade","Policy","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Policy","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Policy","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Property","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Property","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Property","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Science and Engineering","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Security","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Security","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Security","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Security","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Security","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Social Research","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Social Research","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Social Research","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Statistics","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Statistics","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Statistics","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Statistics","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Commercial","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Commercial","20-29","40","40","[c]","[c]"
"In post","2021","Department for Transport","Commercial","30-39","80","70","37850","34710"
"In post","2021","Department for Transport","Commercial","40-49","90","90","40890","34710"
"In post","2021","Department for Transport","Commercial","50-59","60","50","41520","41230"
"In post","2021","Department for Transport","Commercial","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Communications","20-29","60","60","32630","31040"
"In post","2021","Department for Transport","Communications","30-39","100","100","39970","39250"
"In post","2021","Department for Transport","Communications","40-49","70","70","39600","38160"
"In post","2021","Department for Transport","Communications","50-59","50","50","39510","33350"
"In post","2021","Department for Transport","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Corporate Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Corporate Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Corporate Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Corporate Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Corporate Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Digital, Data and Technology","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Digital, Data and Technology","20-29","160","160","31320","30500"
"In post","2021","Department for Transport","Digital, Data and Technology","30-39","340","330","37180","32180"
"In post","2021","Department for Transport","Digital, Data and Technology","40-49","330","320","42160","40080"
"In post","2021","Department for Transport","Digital, Data and Technology","50-59","250","250","42610","41140"
"In post","2021","Department for Transport","Digital, Data and Technology","60-64","70","60","44520","42050"
"In post","2021","Department for Transport","Digital, Data and Technology","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Economics","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Economics","20-29","110","110","39350","34710"
"In post","2021","Department for Transport","Economics","30-39","40","30","[c]","[c]"
"In post","2021","Department for Transport","Economics","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Economics","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Economics","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Economics","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Finance","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Finance","20-29","70","60","36880","33770"
"In post","2021","Department for Transport","Finance","30-39","110","110","40750","38650"
"In post","2021","Department for Transport","Finance","40-49","130","130","44140","42470"
"In post","2021","Department for Transport","Finance","50-59","130","120","42410","41090"
"In post","2021","Department for Transport","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Human Resources","20-29","50","40","[c]","[c]"
"In post","2021","Department for Transport","Human Resources","30-39","110","110","36960","31860"
"In post","2021","Department for Transport","Human Resources","40-49","110","100","38660","38650"
"In post","2021","Department for Transport","Human Resources","50-59","100","100","39200","33350"
"In post","2021","Department for Transport","Human Resources","60-64","30","30","[c]","[c]"
"In post","2021","Department for Transport","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Intelligence Analysis","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Intelligence Analysis","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Intelligence Analysis","40-49","[c]","[c]","[c]","[c]"
